,name,bar_code,brand,markets,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,generic_name,quantity,packaging,categories,labels,ingredients_origins,traceability_code,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,manufacturing,palm_ingredients,link
1529,"Sauce Bolognaise (20 % Bœuf) - Leader Price - 190g, 212ml",3263850662799,['Leader Price'],['Leader Price'],['France'],"['Tomates 65 % ', 'purée et pulpe', 'viande de bœuf 20 %', 'légumes 9 % ', 'oignons', 'carottes', 'huile de tournesol', 'sucre', 'sel', 'épaississant : amidon transformé de maïs', 'vin blanc', 'mélange d’épices et plantes aromatiques ', 'contient céleri', 'acidifiant : acide lactique']","['E14XX - Amidons modifiés', 'E270 - Acide lactique']",['Céleri'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,349,?,349 kj(83 kcal),"4,1","1,2","6,2","5,4","4,3","1,2","0,48",E,Sauce tomate à la viande de bœuf,"190 g, 212 ml","['Bocal', 'Verre', 'Couvercle', 'Métal', 'Conserve']","['Epicerie', 'Conserves', 'Produits à la viande', 'Sauces', 'Sauces à la viande', 'Sauces pour pâtes', 'Sauce tomate à la viande', 'Sauces bolognaises']","['Point Vert', 'Eco-Emballages']",,"['FR 84.080.002 CE', 'Monteux (Vaucluse, France)', 'EMB 84080', 'Monteux (Vaucluse, France)']",4.1 g,en quantité modérée,1.2 g,en faible quantité,5.4 g,en quantité modérée,1.2 g,en quantité modérée,0%,,-3%,-0%,-2%,-5%,+14%,-4%,+9%,+9%,2,-12%,B,-12%,91.7%,4.0%,1.7%,1.5%,0.7%,0.5%,24,"['Louis Martin Production - Quartier La Peyrouse - Chemin de la Buire - 84170 Monteux', 'Vaucluse', ""Provence-Alpes-Côte d'Azur"", 'France']",,
1530,Sauce risotto champignons - Leader Price,3263850663710,['Leader Price'],['Leader Price'],['France'],[],,,[],,?,?,,?,,?,,?,,,B,,,,"['Epicerie', 'Sauces', 'Sauces aux champignons', 'Sauce pour risotto', 'Sauce pour risotto aux champignons']",,,,,,,,,,,,,,,,,,,,,,,,,,48.9%,25.3%,10.1%,8.4%,4.3%,3.0%,88,,,
1531,Sauce tomates poivrons et mozzarella - Leader Price - 190g e,3263850665813,['Leader Price'],['Leader Price'],['France'],"['Tomates 34% ', 'dés de tomate', 'jus de tomate', ""correcteur d'acidité : acide citrique"", 'concentré de tomate 19%', 'huile de tournesol', 'mozzarella 11%', ' poivrons rouges 8%', 'oignons', 'sel', 'fructose', 'amidon de maïs transformé', ""correcteur d'acidité :acide lactique"", 'ail', 'arômes naturels', 'poivre noir', 'piment rouge en poudre']","['E330 - Acide citrique', 'E270 - Acide lactique']",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,?,223,933 kj(223 kcal),"19,6","3,1","6,8","6,1","3,3","1,4","0,56",A,"Sauce tomate, à la mozzarella et aux poivrons",190 g e,"['Verre', 'Bocal']","['Epicerie', 'Sauces', 'Sauces tomate']","['Point Vert', 'Fabriqué en Italie']",,,19.6 g,en quantité modérée,3.1 g,en quantité modérée,6.1 g,en quantité modérée,1.4 g,en quantité modérée,,+153%,+161%,+807%,+786%,-43%,-37%,+112%,+9%,+9%,8,+56%,C,+56%,48.3%,19.8%,11.8%,11.5%,5.0%,3.5%,91,['Italie'],,
1532,Antipasti Artichauts grillés - Leader Price - 170g,3263850666018,['Leader Price'],['Leader Price'],['France'],"['Artichauts grillés 55,7% - huile de tournesol 39,3% - vinaigre de vin - sel - acidifiant : acide citrique - antioxydant : acide ascorbique']","['E330 - Acide citrique', 'E300 - Acide ascorbique']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,598,145,598 kj(145 kcal),"13,4","1,5","1,9","0,35",2,"2,464","0,986",,artichauts grillés marinés à l'huile,170g,['bocal en verre'],"['Snacks', 'Snacks salés', 'Apéritif', 'Artichauts grillés']",,['Italie'],,13.4 g,en quantité modérée,1.5 g,en quantité modérée,0.35 g,en faible quantité,2.46 g,en quantité élevée,-70%,-69%,-69%,-44%,-63%,-96%,-89%,-74%,+58%,+58%,7,-45%,C,-45%,,,,,,,,,,
1533,Sauce Tomate pancetta - Marché Franprix - 190g,3263850666612,"['Marché Franprix', 'Franprix']",['Franprix'],['France'],"['Tomates 55% ', 'dés de tomate', 'jus de tomate', ""correcteur d'acidité : acide citrique"", 'concentré de tomate 16%', 'pancetta 15% ', 'poitrine de porc', 'sel', 'sucre', 'dextrose', 'épices', 'arômes', 'antioxydant : ascorbate de sodium', 'conservateur : nitrate de potassium', 'nitrate de sodium', 'huile de tournesol', 'oignons', 'persil', 'sel', ""correcteur d'acidité : acide lactique"", 'fructose', 'ail', 'arômes naturels', 'poivre noir', 'piment rouge en poudre']","['E330 - Acide citrique', 'E301 - Ascorbate de sodium', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition', 'E251 - Nitrate de sodium', '', 'Risque élevé de sur-exposition', 'E270 - Acide lactique']",,"['Non végétalien', 'Non végétarien']",4,626,?,626 kj(150 kcal),"11,9","2,4","6,9","6,9",3,"1,2","0,48",B,Sauce aux tomates et pancetta,190 g,"['Bocal', 'Verre', 'Couvercle', 'Métal']","['Epicerie', 'Sauces', 'Sauces tomate']",['Point Vert'],,['IT 2353 CE'],11.9 g,en quantité modérée,2.4 g,en quantité modérée,6.9 g,en quantité modérée,1.2 g,en quantité modérée,+101%,,+75%,+451%,+586%,-42%,-29%,+92%,-7%,-7%,4,-22%,C,-22%,48.3%,19.8%,11.8%,11.5%,5.0%,3.5%,91,['Italie'],,
1534,Sauce tomates séchées - Marché Franprix - 190g,3263850667015,"['Marché Franprix', 'Franprix']",['Franprix'],['France'],"['Eau', 'concentré de tomates', 'huile de tournesol', 'tomates séchées 10,7%', 'sel', 'sucre', 'vinaigre de vin rouge', 'ail', 'poivre']",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,706,?,706 kj(169 kcal),"13,1","1,4",9,"6,8","2,5","2,8","1,12",B,Sauce à base de tomates séchées,190 g,"['Bocal', 'Verre', 'Couvercle', 'Métal']","['Epicerie', 'Sauces', 'Sauces tomate']",,,,13.1 g,en quantité modérée,1.4 g,en faible quantité,6.8 g,en quantité modérée,2.8 g,en quantité élevée,+126%,,+98%,+506%,+300%,-24%,-30%,+60%,+117%,+117%,11,+114%,D,+114%,48.3%,19.8%,11.8%,11.5%,5.0%,3.5%,91,,,
1535,Poivrons grillés - Marché Franprix - 280g (égoutté : 170g),3263850667619,['Marché Franprix'],['Franprix'],['France'],"['Poivrons rouges et jaunes grillés ', '53,2 %', 'huile de tournesol ', '42,9 %', 'vinaigre de vin', 'sel', ""correcteur d'acidité : acide citrique""]",['E330 - Acide citrique'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,399,?,399 kj(95 kcal),"8,3","0,3","3,3","2,7","0,7","1,8","0,72",A,,280 g (égoutté : 170 g),"['Bocal', 'Verre']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Poivrons', 'Poivrons en conserve']",,,,8.3 g,en quantité modérée,0.3 g,en faible quantité,2.7 g,en faible quantité,1.8 g,en quantité élevée,+198%,,+106%,+609%,+114%,-37%,-34%,-30%,+137%,+137%,0,,B,,67.3%,0.0%,0.0%,14.4%,14.9%,3.3%,96,,,
1536,Pulpe de Tomates Cuisinée à l'Huile d'Olive 4% - Leader Price Premium - 200g / 212ml,3263850681912,"['Leader Price Premium', 'Leader Price']",['Leader Price'],['France'],"['Pulpe de tomates 94%', ""huile d'olive 4%"", 'sucre', 'sel']",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,?,87,364 kj(87 kcal),4,"0,5","9,9","9,7","1,6","0,39","0,156",B,,200 g / 212 ml,"['Conserve', 'Métal']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Tomates et dérivés', 'Pulpes de tomates']",,,,4 g,en quantité modérée,0.5 g,en faible quantité,9.7 g,en quantité modérée,0.39 g,en quantité modérée,,+222%,+231%,+1567%,+1088%,+137%,+175%,+34%,+91%,+91%,-1,,A,,22.3%,36.4%,17.3%,10.4%,8.3%,5.3%,94,,,
1537,Sauce SAMOURAÏ - Leader Price - 247g,3263850683411,['Leader Price'],['Leader Price'],"['France', 'Guadeloupe']","[""eau - huile de colza - vinaigre d'alcool - poivre de Cayenne 4,5% - poivrons 4% - amidon transformé de mais - concentré de tomates - pulpe de poivrons - sel - jaune d'oeuf - sucre ail - épices "", 'contient moutarde', ' - jus de citron concentré - farine de riz - épaississant: gomme xanthane']","['E14XX - Amidons modifiés', 'E415 - Gomme xanthane']","['Œufs', 'Moutarde']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,?,275,1151 kj(275 kcal),"27,8",2,"4,4","1,9","0,9","1,9","0,76",D,,247 g,,"['Epicerie', 'Sauces', 'Sauces samouraï']",,,"['EMB 21273', ""Fleurey-sur-Ouche (Côte-d'Or, France)""]",27.8 g,en quantité élevée,2 g,en quantité modérée,1.9 g,en faible quantité,1.9 g,en quantité élevée,,-52%,-52%,-55%,-58%,+36%,+24%,-20%,-9%,-9%,12,-38%,D,-38%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,
1538,Tomato ketchup harissa - Leader Price - 288g,3263850683664,['Leader Price'],['Leader Price'],['France'],"[""eau - purée de tomates double concentrée 26,3% - sucre - piments 5,1 % - vinaigre d'alcool - sel - amidon modifié de mais - poudre de tomates 0,5% - épices - huile de colza - ail en poudre - extrait d épices - conservateur: E 200"", 'E 202 - épaississant : E 415 - acidifiant: E 260', ' Traces de moutarde']","['E14XX - Amidons modifiés', 'E200 - Acide sorbique', '', 'Risque élevé de sur-exposition', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane', 'E260 - Acide acétique']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,?,125,523 kj(125 kcal),"0,5","0,1",27,24,"1,5","4,3","1,72",B,,288 g,,"['Epicerie', 'Sauces', 'Sauces tomate', 'Ketchup']",,,,0.5 g,en faible quantité,0.1 g,en faible quantité,24 g,en quantité élevée,4.3 g,en quantité élevée,,+18%,+19%,+105%,+57%,+19%,+22%,+15%,+116%,+116%,16,+32%,D,+32%,37.2%,25.2%,17.2%,12.9%,5.9%,1.6%,94,,,
1539,Sauce ketchup - LE PRIX GAGNANT ! - 570g,3263850683718,['LE PRIX GAGNANT !'],['Leader Price'],['France'],"['purée de tomates 72,5%', 'sirop de glucose-fructose', ""vinaigre d'alcool"", 'sucre', 'amidon transformé de maïs', 'sel', ""arôme naturel d'épices avec autres arômes naturels""]",['E14XX - Amidons modifiés'],,"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,359,84,359 kj(84 kcal),0,0,20,17,"1,1",2,"0,8",B,Sauce ketchup,570 g,['Plastique'],"['Epicerie', 'Sauces', 'Sauces tomate', 'Ketchup']",,,"['EMB 84029A', 'Camaret-sur-Aigues (Vaucluse, France)']",0 g,en faible quantité,0 g,en faible quantité,17 g,en quantité élevée,2 g,en quantité élevée,-16%,-21%,-18%,-100%,-100%,-12%,-13%,-15%,+1%,+1%,10,-17%,C,-17%,37.2%,25.2%,17.2%,12.9%,5.9%,1.6%,94,['France'],,
1540,Ketchup épicé - Leader Price - 560g,3263850684012,['Leader Price'],['Leader Price'],['France'],"['eau - purée de tomate double concentrée ', '123 g de tomates fraîches dans 100g de ketchup', "" - sucre vinaigre d'alcool - amidon modifié de maïs et de pomme de terre sel épices "", 'contient moutarde', "" - extrait d épice - poudre d'ail"", ' Les informations en gras sont destinées aux personnes allergiques ou intolérantes']",['E14XX - Amidons modifiés'],['Moutarde'],[],4,?,0,0 kj(0 kcal),"0,2","0,1",26,22,"1,1","2,4","0,96",B,,560 g,,"['Epicerie', 'Sauces', 'Sauces tomate', 'Ketchup']",,,,0.2 g,en faible quantité,0.1 g,en faible quantité,22 g,en quantité élevée,2.4 g,en quantité élevée,,-100%,-100%,-18%,+57%,+15%,+12%,-15%,+21%,+21%,13,+7%,D,+7%,37.2%,25.2%,17.2%,12.9%,5.9%,1.6%,94,,,
1541,Passata purée de tomates - Le prix gagnant - 500g,3263850687914,['Le prix gagnant'],,['France'],"['Tomates', 'sel']",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,94,?,94 kj(22 kcal),~ 0,~ 0,"3,8","3,8","1,1","0,5","0,2",A,purée de tomates,500 g,['Brique'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Tomates et dérivés', 'Sauces', 'Sauces tomate', 'Purées de tomates']",,,,0 g,en faible quantité,0 g,en faible quantité,3.8 g,en faible quantité,0.5 g,en quantité modérée,-23%,,-54%,-100%,-100%,-34%,-16%,-30%,+12%,+12%,-4,,A,,22.8%,37.1%,17.7%,10.6%,8.4%,3.3%,96,,,
1542,Sauce italienne à la viande rôtie - Leader Price - 380g (2x 190g),3263850735813,['Leader Price'],"['Franprix', 'Leader Price']",['France'],"['Purée de tomate mi-réduite 60 %', 'viande bovine 14 % ', 'origine UE', 'eau', 'carotte 6,2 %', 'oignons 2,3 %', 'sucre', 'huile de tournesol', 'sel', 'vin blanc', 'amidon transformé de maïs', ""blanc d'oeuf"", ""mélange d'épices et de plantes aromatiques en poudre "", 'contient céleri', 'protéines de lait']",['E14XX - Amidons modifiés'],"['Céleri', 'Œufs', 'Lait']","['Non végétalien', 'Non végétarien']",4,362,?,362 kj(87 kcal),"4,1",2,"7,5","5,5","4,1","1,4","0,56",A,"Sauce à la tomate, à la viande bovine et aux légumes",380 g (2 x 190 g),"['Conserve', 'Carton']","['Epicerie', 'Sauces', 'Sauces tomate']",,,"['FR 84.029.001 CE', 'Camaret-sur-Aigues (Vaucluse, France)', 'EMB 84029', 'Camaret-sur-Aigues (Vaucluse, France)']",4.1 g,en quantité modérée,2 g,en quantité modérée,5.5 g,en quantité modérée,1.4 g,en quantité modérée,+16%,,+1%,+90%,+471%,-37%,-43%,+163%,+9%,+9%,4,-22%,C,-22%,48.3%,19.8%,11.8%,11.5%,5.0%,3.5%,91,,,
1543,Farine de blé T55 - LE PRIX GAGNANT ! - 1kg,3263850754012,['LE PRIX GAGNANT !'],,['France'],['blé 100%'],,['Gluten'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,?,337,1410 kj(337 kcal),"1,1","0,3","70,6",1,"9,1","0,1","0,04",A,Farine de blé,1kg,['sachet papier'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de blé', 'en:White wheat flours']",,,"['EMB 94041M', 'Ivry-sur-Seine (Val-de-Marne, France)']",1.1 g,en faible quantité,0.3 g,en faible quantité,1 g,en faible quantité,0.1 g,en faible quantité,,-2%,-2%,-1%,+35%,0%,-28%,-12%,+282%,+282%,-5,,A,,77.8%,3.5%,0.0%,10.3%,8.3%,0.0%,97,,,
1544,Pain multi-céréales - Leader Price - 1kg,3263850754210,['Leader Price'],['Leader Price'],['France'],"['farine de blé', 'farine de seigle', 'avoine décortiquée concassée', 'graines de tournesol', 'graines de lin', 'farine de malt', 'son de blé', 'sel', 'émulsifiant ', 'E472e', 'agent de traitement de la farine ', 'acide ascorbique']","[""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras"", 'E300 - Acide ascorbique']",['Gluten'],"[""Pourrait contenir de l'huile de palme"", 'Peut-être végétalien', 'Peut-être végétarien']",4,?,338,1414 kj(338 kcal),5,"1,1",59,1,11,3,"1,2",,Preparation pour pain multi-céréales,1 kg,"['Sachet papier', 'Point vert']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales']",,,['EMB D66440'],5 g,en quantité modérée,1.1 g,en faible quantité,1 g,en faible quantité,3 g,en quantité élevée,,-2%,-2%,+187%,+257%,-15%,-30%,+6%,+9736%,+9736%,10,,C,,,,,,,,,['Union Européenne'],,
1545,Barres céréalières aux noisettes - Le Prix Gagnant! - 6 * 21g (126g),3263850762314,['Le Prix Gagnant!'],,['France'],"['Céréales [céréales extrudées ', 'farine de riz', 'farine de blé', 'sucre', 'farine de malt de blé', 'sel', 'sucre caramélisé en poudre', ""flocons d'avoine"", 'riz extrudé ', 'farine de riz', 'farine de blé', 'sucre', 'extrait de malt de blé', 'émulsifiant : lécithine de tournesol', 'pétales de maïs ', 'maïs', 'sel', ""extrait de malt d'orge"", 'émulsifiant : lécithine de tournesol', ']', 'sirop de glucose', 'noisettes ', '8 %', 'sucre', 'humectants : glycérol ', 'soja', 'sorbitol', 'maltodextrine', 'sirop de sucre inverti', 'huile de tournesol', 'raisins secs', 'émulsifiant : lécithine de soja', ""extrait de malt d'orge"", 'sel', 'arôme', 'sirop de sucre caramélisé']","['E322i - Lécithine', 'E422 - Glycérol', 'E420 - Sorbitol']","['Gluten', 'Fruits à coque', 'Avoine', 'Soja']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,?,401,1678 kj(401 kcal),"13,2","1,4",74,20,"6,4","0,89","0,356",D,,6 * 21 g (126 g),['Carton'],"['Snacks', 'Snacks sucrés', 'Barres', 'Barres de céréales', 'Barres de céréales aux fruits à coques', 'Barre céréalière aux amandes ou aux noisettes', 'Barre céréalière aux noisettes']",,,,13.2 g,en quantité modérée,1.4 g,en faible quantité,20 g,en quantité élevée,0.89 g,en quantité modérée,,-6%,-6%,-19%,-62%,+22%,-7%,-11%,+149%,+149%,10,+6%,C,+6%,88.8%,5.9%,2.5%,1.8%,1.1%,0.0%,35,['Union Européenne'],,
1546,Barres céréales Abricot - Leader Price - 126g,3263850763915,['Leader Price'],['Leader Price'],['France'],"[""Céréales 44,3% [flocons d'avoine 17,8% - farine de blé 11,4% - pétales de maïs "", ""maïs - sel - extrait de malt d'orge"", ' - farine de riz] - sirop de glucose - abricot 14,9% ', 'abricot - farine de riz - conservateur : sulfite', ' - huile de tournesol - stabilisant : sorbitols - dextrose - sucre - caramel aromatique ', ""sucre - eau - correcteur d'acidité : hydroxyde de sodium"", ' - sel - arôme - émulsifiant : lécithine de soja - antioxydant : extrait riche en tocophérols']","['E420 - Sorbitol', 'E524 - Hydroxyde de sodium', 'E322i - Lécithine', 'E306 - Extrait riche en tocophérols']","['Gluten', 'Avoine', 'Soja']",['Sans huile de palme'],4,1574,372,1574 kj(372 kcal),"5,2","0,6",74,"26,7","5,3","0,48","0,192",C,Barre céréalière à l'abricot,126 g,"['Sachet', 'Plastique', 'Etui', 'Carton', 'Sachet individuel plastique à jeter', 'Étui carton à recycler', 'Triman', 'Point vert', 'Pensez au tri!']","['Snacks', 'Snacks sucrés', 'Barres', 'Barres de céréales', 'Barres de céréales aux fruits', ""Barres de céréales à l'abricot""]",,,"['EMB 45008A', 'Artenay (Loiret, France)', 'RSI 20-36711/TO']",5.2 g,en quantité modérée,0.6 g,en faible quantité,26.7 g,en quantité élevée,0.48 g,en quantité modérée,,+6%,+5%,-29%,-76%,+8%,+4%,-3%,+3%,+3%,7,-12%,C,-12%,80.5%,10.3%,4.6%,2.5%,2.1%,0.0%,56,,,
1547,Top choco leader price - 6fois23grammes soit 138gr,3263850764097,['Leader Price'],['Leader Price'],['France'],[],,,[],,?,427,1787 kj(427 kcal),"12,8","6,2","70,3","33,1","6,7","0,3","0,12",,,6fois23grammes soit 138gr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1548,Barre de Céréales Chocolat au lait Banane - Leader Price - 156g (6 * 26g),3263850764417,['Leader Price'],['Leader Price'],"['France', 'Nouvelle-Calédonie']","['Céréales 31% ', ""flocons d'avoine"", 'farine de blé 11,3%', 'sirop de glucose', 'chocolat au lait 28% ', 'sucre', 'beurre de cacao', 'lait entier en poudre', 'pâte de cacao', 'émulsifiant : lécithines de tournesol et de soja', 'arôme', 'banane 6,7% [flocons de banane', 'banane chips ', 'banane', 'huile de coco', 'sucre', ']', 'huile de tournesol', 'stabilisant : sorbitols', 'sucre', 'dextrose', 'sel', 'arôme naturel', 'caramel aromatique ', 'sirop de glucose', 'sucre', 'eau', 'antioxydant : extrait riche en tocophérols', 'émulsifiant : lécithine de soja']","['E322i - Lécithine', 'E420 - Sorbitol', 'E306 - Extrait riche en tocophérols']","['Gluten', 'Lait', 'Avoine', 'Soja']",['Non végétalien'],4,1865,?,1865 kj(446 kcal),16,"8,7","67,5","34,8","5,8","0,2","0,08",C,,156 g (6 * 26 g),"['Carton', 'Sachets', 'Plastique']","['Snacks', 'Snacks sucrés', 'Barres', 'Barres de céréales', 'Barres de céréales au chocolat', 'Barres de céréales aux fruits', 'Barres de céréales à la banane']",,,,16 g,en quantité modérée,8.7 g,en quantité élevée,34.8 g,en quantité élevée,0.2 g,en faible quantité,+14%,,+14%,+65%,+218%,+2%,+29%,-6%,-43%,-43%,17,+86%,D,+86%,80.5%,10.3%,4.6%,2.5%,2.1%,0.0%,56,,,
1549,Barres céréales - Leader Price - 126g (6 *21g),3263850764516,['Leader Price'],['Leader Price'],['France'],"['Céréales 42,7% [pétales de blé complet 16,7% ', 'blé complet', 'sel', ""extrait de malt d'orge"", ""flocons d'avoine 15,4%"", 'farine de blé 7,5%', 'farine de riz]', 'sirop de glucose', 'figue 17,2% ', 'figue séchée', 'dextrose', 'huile de tournesol', 'dextrose', 'stabilisant : sorbitols', 'sucre', 'arôme', 'sel', 'antioxydant : extrait riche en tocophérols', 'caramel aromatique ', 'sirop de glucose', 'sucre', 'eau', 'émulsifiant : lécithine de soja']","['E420 - Sorbitol', 'E306 - Extrait riche en tocophérols', 'E322i - Lécithine']","['Gluten', 'Avoine', 'Soja']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,1586,?,1586 kj(379 kcal),"5,1","0,9","74,6","30,3","5,7","0,5","0,2",,,126 g (6 *21 g),"['Sachet', 'Plastique', 'Etui', 'Carton']","['Snacks', 'Snacks sucrés', 'Barres', 'Barres de céréales', 'Barre de céréales à la figue']",,,,5.1 g,en quantité modérée,0.9 g,en faible quantité,30.3 g,en quantité élevée,0.5 g,en quantité modérée,-14%,,-11%,-68%,-85%,+24%,+11%,-24%,+28%,+28%,8,-39%,C,-39%,,,,,,,,,,
1550,"Barres de son d'avoine & amandes - Leader Price - 150g, 6barres de 25g",3263850764714,['Leader Price'],['Leader Price'],['France'],"[""son d'avoine 40"", '3%', 'édulcorant ', 'sirop de maltitol', ""flocons d'avoine 9,3% - céréales croustillantes riches en protéines "", 'isola de protéine de soja', 'farine de riz', ""extrait de malt d'orge"", 'sel', ' amande 5,5%', 'huile de tournesol', ""fibre d'avoine"", 'émulsifiant ', 'lécithine de soja', 'antioxydant : extrait riche en tocophérols', 'arôme naturel']","['E965ii - Sirop de maltitol', 'E322i - Lécithine', 'E306 - Extrait riche en tocophérols']","['Gluten', 'Fruits à coque', 'Avoine', 'Soja']",[],4,?,375,1569 kj(375 kcal),11,"1,4",59,"1,3",12,"0,2","0,08",,"Barres de son d'avoine ax amandes, avec sucres et édulcorants","150 g, 6 barres de 25 g","['Étui carton à recycler', 'Sachets plastiques individuels à jeter', 'Triman', 'Green dot', 'Pensez au tri!']","['Snacks', 'Snacks sucrés', 'Barres', 'Barres de céréales']",,,"['EMB 45008A', 'Artenay (Loiret, France)']",11 g,en quantité modérée,1.4 g,en faible quantité,1.3 g,en faible quantité,0.2 g,en faible quantité,,-11%,-12%,-30%,-77%,-2%,-95%,+60%,-49%,-49%,-5,-138%,A,-138%,,,,,,,,"['Artenay Bars', '45410', 'Artenay', 'France']",,
1551,Lingots blancs de France - Franprix,3263850783616,['Franprix'],['Franprix'],['France'],[],,,[],,?,296,1238 kj(296 kcal),"1,8","0,2",40,"2,2",21,"0,02","0,008",,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Haricots', 'Haricots blancs', 'Lingots blancs']",,,,1.8 g,en faible quantité,0.2 g,en faible quantité,2.2 g,en faible quantité,0.02 g,en faible quantité,,+33%,+33%,+33%,-35%,+22%,+37%,+33%,-95%,-95%,-2,,A,,,,,,,,,,,
1552,Haricots rouges - Franprix - 450g,3263850783715,['Franprix'],['Franprix'],['France'],"['Haricots rouges', ' Traces de gluten']",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,1249,?,1249 kj(299 kcal),"1,8","0,2",40,"2,2",21,"0,02","0,008",B,,450 g,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Haricots', 'Haricots rouges']",,,"['EMB 43062A', 'Chaspuzac (Haute-Loire, France)', 'FSC-C123652']",1.8 g,en faible quantité,0.2 g,en faible quantité,2.2 g,en faible quantité,0.02 g,en faible quantité,+93%,,+87%,+114%,+45%,+86%,+53%,+84%,-95%,-95%,-7,,A,,21.5%,38.3%,18.4%,8.4%,5.2%,8.2%,92,,,
1553,Corn Flakes Pétales de maïs dorés au four - Leader Price - 500g e,3263850801211,['Leader Price'],['Leader Price'],['France'],"['Maïs 92% - sucre - sel - extrait de malt d’orge - vitamines : niacine ', 'PP', 'vitamine E', 'acide pantothénique ', 'B5', 'vitamine B6', 'riboﬂavine ', 'B2', 'thiamine ', 'B1', 'acide folique ', 'B9', 'vitamine B|2 - diphosphate ferrique']",,['Gluten'],[],3,?,379,1586 kj(379 kcal),"0,8","0,2",82,7,8,"1,1","0,44",C,Pétales de maïs dorés au four,500 g e,"['Boîte', 'Carton', 'Plastique']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Flocons', 'Flocons de céréales', 'Céréales extrudées', 'Flocons extrudés', 'Corn-flakes']",['Point Vert'],,"['EMB 80302A', 'Faverolles (Somme, France)']",0.8 g,en faible quantité,0.2 g,en faible quantité,7 g,en quantité modérée,1.1 g,en quantité modérée,,+1%,+0%,-27%,-30%,-1%,-35%,+11%,-9%,-9%,2,-73%,B,-73%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,,
