,name,bar_code,brand,markets,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,generic_name,quantity,packaging,categories,additives,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,ingredients_origins,manufacturing,traceability_code,palm_ingredients,link,producer_info,brand_owner
1731,Thon entier au naturel - Saupiquet - 200g,3165951713014,['Saupiquet'],['Carrefour'],['France'],"['Thon albacore', 'eau', 'sel']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,127,531 kj(127 kcal),"2,5","0,6",0,0,26,"1,1","0,44",E,,200 g,['Conserve'],"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Thons', 'Thons en conserve', 'Thons au naturel']",,,3,2.5 g,en faible quantité,0.6 g,en faible quantité,0 g,en faible quantité,1.1 g,en quantité modérée,,+10%,+10%,+66%,+28%,-100%,-100%,+4%,+6%,+6%,0,-100%,B,-100%,68.8%,7.5%,16.1%,6.6%,0.5%,0.5%,28,,['Thaïlande'],"['Quimper', 'France']",,,,,
1732,Court-Bouillon Poissons & Curstacés - Ducros - 20g,3166290199200,['Ducros'],['Magasins U'],['France'],"['carotte déshydratée', '31%', 'sarriette', 'oignon déshydraté ', '10%', 'ail déshydraté', 'graine de coriandre', 'poivre noir', 'piment de Jamaïque', 'basilic', 'laurier ', '5%', 'fenouil']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,,Mélange d'épices et d'aromates,20 g,"['Boîte', 'Carton', 'Sachet']","['Epicerie', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Bouillons', 'Bouillons déshydratés', 'Bouillons en poudre']",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Point Vert'],,,,,,,
1733,Bouquet Garni - Ducros - 18g,3166290200173,['Ducros'],['Magasins U'],['France'],"['Feuille de laurier 25%', 'sarriette', 'thym 20%', 'persil', 'romarin', 'basilic', 'céleri']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,Mélange d'herbes aromatiques,18 g,['Flacon'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices']",,['Céleri'],1,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,-100%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,,,,,,,,,,,,,,,,,,,
1734,Quatre Épices Moulues - Ducros - 37g,3166290200937,['Ducros'],,['France'],"['cannelle 44%', 'gingembre 24%', 'girofle', 'muscade']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,Épices,37 g,"['Verre', 'Flacon']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices']",,,1,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,-100%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,,,,,,,,,,,,,,,,,,,
1735,Moulin Ail - Ducros - 40g,3166291457507,['Ducros'],['Magasins U'],['France'],['Ail déshydraté'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,1,4 kj(1 kcal),"0,01",0,"0,02",0,2,0,0,,,40g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1736,Carvi - Ducros - 38g,3166291465205,['Ducros'],['Magasins U'],['France'],['Carvi'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,,,38g,"['Bocal', 'Verre']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices']",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1737,Piment De Cayenne Entier Ducros,3166291503600,['Ducros'],['Magasins U'],['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,B,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Poivres', 'Piments', 'Capsicum frutescens', 'Piments de Cayenne']",,,,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,,-100%,-100%,-100%,-100%,-100%,-100%,,,,,,,41.9%,0.0%,34.8%,11.8%,11.5%,0.0%,94,,,,,,,,
1738,Mélange Malin Tajine Marocain - Ducros - 18g e,3166291520805,"['Ducros', 'McCormick']","['Carrefour', 'Magasins U']",['France'],"['Oignon déshydraté ', '21,5%', 'farine de blé', 'sel', 'ail déshydraté ', '9%', 'cumin', 'paprika', 'arôme naturel de citron', 'sucre', 'graine de coriandre', 'tomate en poudre', 'thym', 'cannelle', 'persil', 'poivre noir', 'épices', 'gingembre ', '1%', 'graine de moutarde', 'antiagglomérant: dioxyde de silicium']","['Sans huile de palme', 'Végétalien', 'Végétarien']",1312,312,1312 kj(312 kcal),"5,2",1,"47,4","18,9","10,8","8,63","3,452",,,18 g e,"['Sachet', 'Plastique']","['Epicerie', 'Condiments', 'Assaisonnements']",['E551 - Dioxyde de silicium'],"['Gluten', 'Moutarde']",4,5.2 g,en quantité modérée,1 g,en faible quantité,18.9 g,en quantité élevée,8.63 g,en quantité élevée,+29%,+53%,+45%,-44%,-22%,+124%,+101%,+158%,-8%,-8%,17,+53%,D,+53%,,,,,,,,"['Sans arômes artificiels', 'Point Vert', 'Fabriqué en France', 'Sans colorants artificiels', 'Sans colorants', 'Sans matière grasse hydrogénée', 'Sans conservateurs']",,['France'],,,,,
1739,MOULIN GRILLADES DUCROS,3166291542968,['Ducros'],['Magasins U'],['France'],"['Poivre noir ', '23%', 'oignon déshydraté', 'sel', 'graine de moutarde', 'poivron rouge', 'ail  déshydraté', 'romarin', 'graine de  coriandre', 'piment fort', ' thym', '  origan', ' huile de tournesol', ' colorant : extrait de paprika', 'antiagglomérant : E552']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,309,1293 kj(309 kcal),"6,9","0,9","40,2","5,9","10,6","7,9","3,16",,,,['moulin en verre'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices']","['E160c - Extrait de paprika', 'E552 - Silicate de calcium']",['Moutarde'],4,6.9 g,en quantité modérée,0.9 g,en faible quantité,5.9 g,en quantité modérée,7.9 g,en quantité élevée,,+136%,+123%,+104%,+41%,+107%,-20%,+179%,+68%,+68%,,,,,,,,,,,,,,,['901049774'],,,,
1740,Chips nature - Lay's - 270g,3168930003885,"[""Lay's"", 'Pepsico']",['U'],['France'],"['pomme de terre', 'huiles végétales 34% ', 'tournesol', 'colza', 'sel']","['Sans huile de palme', 'Végétalien', 'Végétarien']",2256,?,2256 kj(539 kcal),34,"2,7",52,"0,3","6,1","1,3","0,52",B,chips de pomme de terre gout nature,270 g,['Plastique'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre']",,,3,34 g,en quantité élevée,2.7 g,en quantité modérée,0.3 g,en faible quantité,1.3 g,en quantité modérée,+2%,,+2%,+4%,-13%,+1%,-79%,+2%,0%,0%,9,-20%,C,-20%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,"['Sans colorants artificiels', 'Sans colorants', 'Sans conservateurs', 'en:palm-oil-free']",,,,,,,
1741,Cruesli chocolat au lait (format familial) - Quaker - 965g,3168930005247,"['Quaker', 'Cruesli', 'PepsiCo']",,['France'],"['Avoine complète ', '35%', ' sucre', 'chocolat au lait 13% ', 'sucre', 'lait en poudre', 'pâte de cacao', 'beurre de cacao', 'émulsifiant ', 'lécithine de soja', 'huile de tournesol', 'blé complet ', '9%', 'sirop de glucose', 'farines de riz et de blé', ' noix de coco', 'mélasse', 'sel', 'cannelle', 'antioxydant ', 'tocophérol', ' arôme', ' // Le chocolat au lait contient 30% de cacao minimum,']",['Non végétalien'],1980,?,1980 kj(473 kcal),20,5,63,28,7,"0,6","0,24",C,,965g,"['Carton', 'Sachet', 'Boite', 'Plastique']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Céréales au chocolat', 'Pépites de céréales croustillantes', 'Pépites de céréales au chocolat']","['E322i - Lécithine', 'E307c - Tocophérol']","['Gluten', 'Lait', 'Avoine', 'Soja']",4,20 g,en quantité modérée,5 g,en quantité modérée,28 g,en quantité élevée,0.6 g,en quantité modérée,+4%,,+3%,+8%,-12%,+3%,+33%,-12%,+60%,+60%,12,+9%,D,+9%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,,,,,,,
1742,Maxi Craquantes Vinaigre - Lay's - 120g,3168930006022,"[""Lay's""]",,['France'],"['Pommes de terre', 'huile de tournesol ', '33%', 'base aromatisante sel et vinaigre ', 'arômes', ""régulateurs d'acidité "", 'acide citrique', 'acétate de sodium', 'exhausteurs de goût ', 'glutamate monosodique ', 'blé', ""5' ribonucléotides de sodium"", 'sucre', 'extrait de levure', 'sel']",[],2280,?,2280 kj(545 kcal),33,"3,33",54,"0,667","6,33","1,44","0,576",B,,120 g,"['Sachet', 'Plastique']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre', 'Chips au sel et vinaigre', ""Chips de pommes de terre à l'huile de tournesol""]","['E330 - Acide citrique', 'E262i - Acétate de sodium', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', ""E635 - 5'-ribonucléotide disodique""]",['Gluten'],4,33 g,en quantité élevée,3.33 g,en quantité modérée,0.667 g,en faible quantité,1.44 g,en quantité modérée,+3%,,+3%,+3%,+17%,+4%,-51%,+7%,-11%,-11%,12,-2%,D,-2%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,,,,,,http://lays.fr/sel_et_vinaigre.html,,
1743,Bénénuts Twinuts goût bacon 2 x 150 g + 10% offert - 330g,3168930006220,"['BENENUTS', 'Twinuts']",['Noz'],['France'],"['CACAHUÈTES ', '38%', "",farine de riz,amidon de BLÉ,huile de tournesol,sucre,base aromatisante saveur bacon [poudre d'oignon et d'ail"", 'poudre de FROMAGE', 'arôme', 'chlorure de potassium', 'arôme de fumée', 'acidifiant ', 'acide citrique', '],sel,colorant ', 'jus de betterave concentré', 'curcumine']",['Non végétalien'],2284,548,2284 kj(548 kcal),35,"5,1",42,"7,3",14,"2,8","1,12",B,Cacahuètes enrobées de biscuit aromatisé,330 g,"['Sachet', 'Plastique', 'Sachet']","['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs']","['E330 - Acide citrique', 'E100 - Curcumine']","['Gluten', 'Lait', 'Arachides']",4,35 g,en quantité élevée,5.1 g,en quantité élevée,7.3 g,en quantité modérée,2.8 g,en quantité élevée,+14%,+18%,+17%,+76%,-6%,-29%,+86%,+41%,+40%,+40%,19,+23%,E,+23%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,['Point Vert'],,,,,,,
1744,Dégustation Sel de mer d'Anglesey - Lay's - 130g,3168930007500,"[""Lay's""]",['Cora'],['France'],"['Pommes de terre', 'huiles végétales 22% ', 'tournesol', 'colza', ""sel de mer d'Anglesey""]",['Sans huile de palme'],1980,?,1980 kj(473 kcal),22,"1,7",60,"0,5","6,8","1,2","0,48",B,Chips de pommes de terre goût nature,130 g,"['Sachet', 'Plastique']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre']",,,3,22 g,en quantité élevée,1.7 g,en quantité modérée,0.5 g,en faible quantité,1.2 g,en quantité modérée,-11%,,-11%,-33%,-45%,+17%,-64%,+14%,-8%,-8%,6,-47%,C,-47%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,['en:palm-oil-free'],,,,,,,
1745,Lay's saveur moutarde pickles maxi format - 360g,3168930008446,"[""Lay's"", 'Lays']",,['France'],"['Pommes de terre 60%,huiles végétales ', 'tournesol', 'colza', 'en proportion variable', ',base aromatisante moutarde pickles [LACTOSE ', 'de LAIT', 'sucre', ""correcteurs d'acidité "", 'acide citrique', 'diacétate de sodium', 'épices', 'MOUTARDE', 'arômes ', 'dont MOUTARDE', 'crème en poudre ', 'de LAIT', 'protéine végétale hydrolysée ', 'de SOJA', '],sel']",['Non végétalien'],2213,531,2213 kj(531 kcal),32,"2,6",52,"3,3",6,"1,3","0,52",B,"Chips de pommes de terre à la moutarde, aromatisées",360 g,"['Sachet', 'Plastique']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre', 'Chips de pommes de terre aromatisées', 'Chips à la moutarde']","['E330 - Acide citrique', 'E262ii - Diacétate de sodium']","['Lait', 'Moutarde', 'Soja']",4,32 g,en quantité élevée,2.6 g,en quantité modérée,3.3 g,en faible quantité,1.3 g,en quantité modérée,-2%,-2%,-3%,-5%,-14%,+4%,+74%,+2%,-16%,-16%,9,-27%,C,-27%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,"['Point Vert', 'Sans colorants artificiels', 'Sans colorants', 'Sans huile de palme', 'Sans conservateurs']",,,,,,,
1746,Lay's Chips à l'ancienne nature 6 x - 100g,3168930011170,"[""Lay's"", 'Lays']",,['France'],"['Pommes de terre 60%,huiles végétales 39% ', 'tournesol', 'colza', 'en proportion variable', ',sel']","['Sans huile de palme', 'Végétalien', 'Végétarien']",2438,585,2438 kj(585 kcal),39,"3,1",51,"0,4",6,"1,3","0,52",B,Chips de pommes de terre à l'ancienne goût nature,100 g,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre', ""Chips à l'ancienne""]",,,3,39 g,en quantité élevée,3.1 g,en quantité modérée,0.4 g,en faible quantité,1.3 g,en quantité modérée,+4%,+5%,+5%,+5%,-6%,+4%,-43%,+6%,-2%,-2%,11,-5%,D,-5%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,"['Point Vert', 'Sans conservateurs']",,,,,,,
1747,Bénénuts 3D's Bugles goût bacon 2 x 85 g +15% offert - 195g,3168930501732,"['Bénénuts', ""3D's Bugles""]",,['France'],"['Farine de maïs,huile de tournesol ', '31%', ',base aromatisante bacon [arômes ', 'CONTIENT SOJA', 'BLÉ', 'exhausteurs de goût ', 'glutamate monosodique', ""5'-ribonucléotide disodique"", 'protéines végétales hydrolysées ', 'BLÉ', 'SOJA', 'CÉLERI', 'dextrose ', 'BLÉ', 'levure fumée', 'levure', 'poudre de PETIT-LAIT', 'farine de caroube', ""correcteur d'acidité "", 'acide citrique', ""farine de malt d'ORGE"", 'graine de CÉLERI', 'colorants ', 'extrait de paprika', ""caramel au sulfite d'ammonium"", 'arôme fumé],sel']",['Non végétalien'],2250,540,2250 kj(540 kcal),32,"2,4",55,"3,5",6,"2,97","1,188",B,Produit soufflé à base de maïs goût bacon,195 g,"['Sachet', 'Plastique']","['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs', 'Biscuits apéritifs soufflés', 'Biscuits apéritifs soufflés à base de maïs']","['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', ""E635 - 5'-ribonucléotide disodique"", 'E410 - Gomme de caroube', 'E330 - Acide citrique', 'E160c - Extrait de paprika', ""E150d - Caramel au sulfite d'ammonium""]","['Céleri', 'Gluten', 'Lait', 'Soja']",4,32 g,en quantité élevée,2.4 g,en quantité modérée,3.5 g,en faible quantité,2.97 g,en quantité élevée,+8%,+8%,+8%,+26%,-32%,-3%,0%,-33%,+57%,+57%,16,+8%,D,+8%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,['Point Vert'],,,,,,,
1748,Quatre-Quarts Pur Beurre au Cacao - Biscuits Mistral - 720g,3171910602855,['Biscuits Mistral'],['Biscuits Mistral'],['France'],"['Sucre - œufs frais 23 % - beurre extra fin 23 % - farine de blé 23 %- fourrage cacao 15 % ', 'sucre', 'huile végétale ', 'tournesol', 'karité', 'noix de coco', 'cacao maigre', 'noisettes 3,5 %', ' émulsifiant : lécithine de tournesol', 'arôme', ' humectant : glycérol - arôme naturel ', 'contient alcool', ' - poudre à lever : diphosphate disodique', 'carbonate acide de sodium - arôme - sel marin']",['Non végétalien'],?,424,1774 kj(424 kcal),24,13,45,29,"5,5","0,7","0,28",C,Quatre-Quarts Pur Beurre au Cacao,720 g,"['Carton', 'boîte', 'Plastique']","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat', 'Gâteaux marbrés', 'Quatre-quarts']","['E322i - Lécithine', 'E422 - Glycérol', 'E450i - Pyrophosphate de sodium acide', 'E500ii - Carbonate acide de sodium']","['Œufs', 'Gluten', 'Lait', 'Fruits à coque']",4,24 g,en quantité élevée,13 g,en quantité élevée,29 g,en quantité élevée,0.7 g,en quantité modérée,,-2%,-2%,+4%,+158%,-10%,+4%,-4%,+5%,+5%,24,+44%,E,+44%,83.1%,9.9%,3.4%,1.8%,1.8%,0.0%,50,"['Fabriqué en France', 'Pur beurre', 'Blé français']","['France', 'Bourgogne']",['France'],,,,,
1749,Papillotes Irrésistiblement Noir - Cémoi - 380g,3173287496488,['Cémoi'],,['France'],"['Sucre', 'beurre de cacao', 'pâte de cacao', 'pâte de cacao Equateur', 'pâte de noisettes', 'graisses Végétales ', 'palme', 'palmiste', 'sirop de glucose', 'cacao maigre en poudre', 'lait concentré', 'matière grasse de lait anhydre', 'céréales croustillantes ', 'farine de blé', 'sucre', 'malt de blé', 'poudre à lever : carbonates de sodium', 'émulsifiant : lécithine de tournesol', 'sel', 'arôme', 'sirop de sucre inverti', 'lactosérum en poudre', 'huile végétale ', 'tournesol', 'émulsifiant : lécithine de tournesol', 'arômes', 'stabilisant : sorbitols', 'conservateur : acide sorbique', 'poudre de lait entier', 'lactose', 'arôme naturel de vanille Bourbon', "" Peut contenir des traces d'autres fruits à coque et d’œufs""]","['Huile de palme', 'Non végétalien']",?,569,2381 kj(569 kcal),40,22,44,40,"5,4","0,05","0,02",E,,380 g,"['Sachet', 'Plastique']","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Bonbons', 'Assortiments de bonbons de chocolat', 'Papillotes en chocolat']","['E500 - Carbonates de sodium', 'E322i - Lécithine', 'E420 - Sorbitol', 'E200 - Acide sorbique', '', 'Risque élevé de sur-exposition']","['Gluten', 'Lait', 'Fruits à coque']",4,40 g,en quantité élevée,22 g,en quantité élevée,40 g,en quantité élevée,0.05 g,en faible quantité,,+7%,+7%,+22%,+33%,-15%,-18%,-11%,-50%,-50%,25,+0%,E,+0%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,https://www.cemoi.fr/shop/chocolats-de-noel/26-sachet-papillotes-irresistiblement-noir-3173287496488.html,,
1750,Part de Brioche - Viennoiseries Thomas - 370g,3173310014986,['Viennoiseries Thomas'],,['France'],"['Farine de blé ', 'gluten', 'œufs frais', 'Sucre', 'beurre 14,5%', 'levain ', 'farine de _blé,', ' eau', 'arômes', 'levure', 'sel', 'Décor : sucre']","['Sans huile de palme', 'Non végétalien']",1747,?,1747 kj(418 kcal),16,"11,5",52,"14,9","9,6","0,9","0,36",C,,370 g,"['Sachet', 'Plastique']","['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Brioches pur beurre']",,"['Œufs', 'Gluten', 'Lait']",4,16 g,en quantité modérée,11.5 g,en quantité élevée,14.9 g,en quantité élevée,0.9 g,en quantité modérée,+16%,,+15%,+17%,+31%,+2%,+8%,+17%,-7%,-7%,21,+19%,E,+19%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,"['Sans additifs', 'Sans colorants', 'Sans conservateurs', 'Pur beurre']",,,,,,,
1751,Brioche bio en tranches - Brioches thomas - 350g,3173310021250,['Brioches thomas'],,['France'],"['farine L blé* ', 'gluten', 'frais', 'Ettre* 14,7%', 'sucre*', 'levain* ', 'çŒire —Z blé* ', 'eau', 'levure', 'sel fiTin ', 'Noinmutier ou Guérande', ' DŒtre: * ngé&nts dffigire agicde obtenus Elon le biologque', ' Ingrédients mierunt du GRAD-OIESI contient : gluten', 'œufs et lait', ' Traces éventuelles de sQb', ' SANS - SANS ADDITIF']",[],?,376,1573 kj(376 kcal),15,"8,8",52,16,9,"0,8","0,32",,,350g,,['Boulangerie'],,"['Œufs', 'Gluten', 'Lait']",4,15 g,en quantité modérée,8.8 g,en quantité élevée,16 g,en quantité élevée,0.8 g,en quantité modérée,,+52%,+57%,+250%,+633%,+27%,+721%,+14%,-34%,-34%,18,+423%,D,+423%,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-09', 'Sans additifs', 'Sans colorants', 'Sans conservateurs']",,['Vendée'],"['EMB 85084', 'Essarts (Vendée, France)']",,http://Www.malinethomas.com,,
1752,Gache bio,3173310022646,,,['France'],[],[],?,410,1715 kj(410 kcal),"18,3","11,3","51,4","18,8","8,7","0,73","0,292",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,
1753,Pancake - LEMARIÉ PÂTISSIER - 1kg,3173320040241,['LEMARIÉ PÂTISSIER'],['Costco'],['France'],"['Farine de blé - œufs entiers pasteurisés sucre-eau-stabilisant: glycérol-sirop de glucose poudre  lait entier-huile de colza - poudres à lever ', 'contient gluten', ': diphosphates', 'carbonates de sodium arôme naturel de vanile-conservateur: sorbate de potassium-sel,']",[],?,302,1264 kj(302 kcal),"6,2","1,6","54,5","28,1","6,4","0,65","0,26",,,1kg,,['Pancakes'],"['E422 - Glycérol', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",['Gluten'],4,6.2 g,en quantité modérée,1.6 g,en quantité modérée,28.1 g,en quantité élevée,0.65 g,en quantité modérée,,-1%,-0%,-33%,-20%,+33%,+73%,-30%,-36%,-36%,11,+1%,D,+1%,,,,,,,,['Fabriqué en France'],,['France'],,,,,
1754,Le camembert que je préfère - Laiterie de Verneuil - 250g,3173980020157,['Laiterie de Verneuil'],['Intermarché'],['France'],"['lait de ', 'henni%é sel', 'lactiques présutvz / : rnffk ', 'origin : Francel Lactic']",['Non végétalien'],?,301,1259 kj(301 kcal),25,17,"0,1","0,03",19,"1,5","0,6",D,,250 g,['Frais'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Camemberts']",['E270 - Acide lactique'],['Lait'],,25 g,en quantité élevée,17 g,en quantité élevée,0.03 g,en faible quantité,1.5 g,en quantité modérée,,+8%,+9%,+16%,+14%,-82%,-91%,-5%,-4%,-4%,14,-3%,D,-3%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,"['FR 23.117.001 CE', 'Maison-Feyne (Creuse, France)']",,,,
1755,Fourré goût chocolat noisette - Biscuits St Georges,3173990026910,['Biscuits St Georges'],['Magasins U'],['France'],"['Céréales 53,8% [farine de blé 30,6%', 'céréales complètes 23,2% ', 'farine complète de blé 11,7%', ""flocons d'avoine 8,5%"", 'farine complète de seigle 1%', ""farine complète d'orge 1%"", ""farine complète d'épeautre 1%"", ']', 'sucre', 'huile de tournesol', 'amidon de blé', 'cacao maigre en poudre 4,3%', 'beurre de karité', 'graisse de coprah', 'lait écrémé en poudre', 'lait demi-écrémé', 'émulsifiants ', ""mono - et diglycérides d'acides gras - lécithines - esters monoacétyltartriques et diacétyltartriques des mono - et diglycérides d'acides gras"", 'sel', 'poudres à lever ', ""carbonates d'ammonium et de sodium - diphosphates"", 'minéraux ', 'carbonate de magnésium - fer', 'vitamines ', 'E', 'B1', 'B3', 'arômes', 'antioxydant : extrait riche en tocophérols']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,473,1979 kj(473 kcal),18,"4,7","67,8","25,1","7,5","0,55","0,22",D,,,,"['Snacks', 'Snacks sucrés', 'Petit-déjeuners', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Biscuits fourrés']","[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E322 - Lécithines', ""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras"", ""E503 - Carbonates d'ammonium"", 'E500 - Carbonates de sodium', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E306 - Extrait riche en tocophérols']","['Gluten', 'Lait']",4,18 g,en quantité modérée,4.7 g,en quantité modérée,25.1 g,en quantité élevée,0.55 g,en quantité modérée,,+1%,+0%,-6%,-45%,+1%,-24%,+29%,-1%,-1%,12,-39%,D,-39%,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,,,,,,,,
1756,WE BIO POMME - Valade en Corrèze - 650g,3174061051107,['Valade en Corrèze'],,['France'],"['Purée de pommes** 96%', 'sucre de canne**', 'antioxydant ade ascorbique', '"" Ingrédients issus de ľ\'agriculture biologique', ' lla']",[],?,74,310 kj(74 kcal),"0,6","0,2",16,"13,4","0,5",0,0,,,650 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Peu ou pas de sucre', 'Peu de sucre', 'Bio', 'Bio européen', 'Allégé en sucre', 'AB Agriculture Biologique', 'Fabriqué en France']",,,,,,,
