,name,bar_code,eco_score,brand,categories,traceability_code,markets,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,labels,additives,allergens,nova_score,brand_owner,generic_name,packaging,palm_ingredients,manufacturing,link,ingredients_origins
471,"Mini viennoiseries - Pur beurre, cuites du jour",,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472,Les Lapins Praliné noisettes - 24kg,3110844799149,,,,,,['France'],[],[],,,,,,,,,?,,541,,2264 kj(541 kcal),,34,,17,,52,,50,,6,,"0,15",,"0,06",,,,,,,,,,,,,24 kg,,,,,,,,,,,
473,Chorizo,3346380007169,,,,,,['France'],[],[],,,,,,,,,?,,410,,1715 kj(410 kcal),,"35,5",,"13,2",,"20,7",,"1,5",,20,,"2,8",,"1,12",,,,,,,,,,,,,,"['Viande-francaise', 'Viande-porcine-francaise']",,,,,,,,,,
474,Sauce Worcester,8851639000976,,,"['Epicerie', 'Sauces', 'Sauces Worcestershire', 'en:Worcester sauce']",,,['France'],[],[],0.2 g,en faible quantité,0.1 g,en faible quantité,27 g,en quantité élevée,6.5 g,en quantité élevée,?,,117,+7%,490 kj(117 kcal),+8%,"0,2",-51%,"0,1",-39%,28,+31%,27,+44%,"1,1",+43%,"6,5",+105%,"2,6",+105%,16,+12%,D,+12%,,,,,,,,,,,,,,,,,,,
475,Terrine de foie,2408367015558,,,,"['FR 61.077.012 CE', 'Cerisé (Orne, France)']",,['France'],[],[],,,,,,,,,?,,1498,,6268 kj(1498 kcal),,"34,31",,"12,9",,"4,44",,"2,59",,9,,"1,94",,"0,776",,,,,,,,,,,,,,,,,,,,,,,,
476,Mini Tablette Noir Goût Corsé - Fauchon - 30g,0697893036560,E,['Fauchon'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",,,['France'],"['Pâte de cacao', 'sucre', 'émulsifiant: lécithine de soja', 'arôme naturel de vanille', ' Teneur en cacao:70% minimum', ' Peut contenir des traces de gluten', 'oeufs', 'lait et fruits à coque']",[],38.4 g,en quantité élevée,24.1 g,en quantité élevée,26.9 g,en quantité élevée,0 g,en faible quantité,?,,537,-3%,2247 kj(537 kcal),-3%,"38,4",-3%,"24,1",+4%,"31,1",-19%,"26,9",-15%,"8,8",+15%,0,-100%,0,-100%,21,-1%,E,-1%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,30 g,,['E322i - Lécithine'],,4,,,,,,,
477,Chutney d'airelles - 100g,3253331003845,,,,"['FR 95.306.002 CE', ""Herblay (Val-d'Oise, France)""]",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,100 g,,,,,,,,,,,
478,1/4 avant agneau,0209159272881,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,Muffin oreo,0211373023941,,,,,,['France'],[],[],,,,,,,,,?,,441,,1845 kj(441 kcal),,"24,7",,"4,6",,"50,9",,"27,2",,"4,4",,"0,51",,"0,204",,,,,,,,,,,,,,,,,,,,,,,,
480,Crème fraîche,80217497,,,,,,['France'],[],[],,,,,,,,,?,,232,,971 kj(232 kcal),,23,,17,,"3,7",,"3,6",,"2,5",,"0,08",,"0,032",,,,,,,,,,,,,,,,,,,,,,,,
