,name,bar_code,eco_score,brand,categories,traceability_code,markets,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,labels,additives,allergens,nova_score,brand_owner,generic_name,packaging,palm_ingredients,manufacturing,link,ingredients_origins
83,Coulommiers,0239965028808,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Fromages de France', 'Coulommiers', 'Coulomniers']",,,['France'],[],[],22 g,en quantité élevée,15 g,en quantité élevée,0.5 g,en faible quantité,1.7 g,en quantité élevée,?,,284,+2%,1188 kj(284 kcal),+2%,22,-1%,15,-3%,"0,5",-2%,"0,5",+92%,21,+11%,"1,7",+14%,"0,68",+14%,15,+6%,D,+6%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,
84,Sesam - 68g,8697411250432,E,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Sésame']",,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.1%,0.0%,3.8%,5.0%,2.6%,1.6%,30,68 g,,,,,,,['Plastik'],,,,
85,Minis,34340561,,,,,,['France'],[],[],,,,,,,,,?,,100,,418 kj(100 kcal),,"0,5",,"0,1",,38,,38,,3,,"0,01",,"0,004",,,,,,,,,,,,,,['Sans colorants'],,,,,,,,,,
86,Volaille Fermière Origine France,0227010023168,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,
87,KASHMIR TCHAÏ - Kusmi Tea,3585810051185,,['Kusmi Tea'],,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Just Wholefoods All Natural Custard Powder,5022775000110,,,,,,['France'],[],[],,,,,,,,,?,,353,,1477 kj(353 kcal),,"0,1",,0,,88,,0,,"0,3",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
89,"Joghurt 3,5% Fett, Kand?ra Yo?urdu %3,5 Ya?l? - Marmara",4012625510242,,['Marmara'],,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Sauce tomate basilic,3760014295157,,,,,,['France'],[],[],,,,,,,,,?,,52,,218 kj(52 kcal),,"1,86",,"0,25",,"5,77",,4,,"2,86",,"0,9",,"0,36",,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01', 'Fabriqué en Italie']",,,,,,,,,,
91,Fruits secs noisettes - Tresors De Chefs,3663327001265,,['Tresors De Chefs'],,,,['France'],[],[],,,,,,,,,?,,681,,2849 kj(681 kcal),,"63,4",,"4,3",,24,,"8,4",,"13,8",,"0,14",,"0,056",,,,,,,,,,,,,,,,,,,,,,,,
92,Chocolats noirs - Neuhaus,5413676641296,,['Neuhaus'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Assortiments de bonbons de chocolat']",,,['France'],"['pâte de cacao', 'sucre', 'crème ', 'contient du lait', ' amandes torréfiées', 'noisettes torréfiées', 'sirop de glucose', 'beurre concentre ', 'contient du lait', 'beurre de cacao', 'caramel stabilisant: glycérol de colza', 'lait entier en poudre', 'poudre de cacao dégraissée', 'huile de palme', 'sirop de sucre candi', 'huile de palmiste huile de tournesol', 'stabilisant: sorbitol de blé', 'émulsifiant: lécithine de soja', 'framboises', 'morceaux de framboises déshydratées', 'beurre ', 'contient du lait', 'sirop de glucose et fructose', 'dextrose', 'arômes', 'huile de colza', 'purée de pommes', 'miel', 'sel', 'fécule de pomme de terre sureau', ""correcteur d'acidité: acide malique"", ""blanc d'ceuf"", 'émulsifiant lécithine de tournesol', 'colorant: E100', 'E120', 'E171', ' Traces possibles de gluten', 'de sésame', ""d'arachides et d'autres noix""]","['Huile de palme', 'Non végétalien', 'Non végétarien']",33.5 g,en quantité élevée,18.1 g,en quantité élevée,37.7 g,en quantité élevée,0.06 g,en faible quantité,?,,515,-5%,2155 kj(515 kcal),-5%,"33,52",-0%,"18,13",+3%,"43,61",-15%,"37,69",-20%,"6,37",+5%,"0,06",-58%,"0,024",-58%,24,-4%,E,-4%,,,,,,,,,,"['E422 - Glycérol', 'E420 - Sorbitol', 'E322i - Lécithine', 'E296 - Acide malique', 'E100 - Curcumine', 'E120 - Acide carminique', 'E171 - Oxyde de titane']",['Lait'],4,,,,['Huile de palme'],,,
93,Saucisses fumées bio - Biocoop,2462846455587,,['Biocoop'],"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses fumées']",,,['France'],[],[],23 g,en quantité élevée,8.7 g,en quantité élevée,0.6 g,en faible quantité,15 g,en quantité élevée,?,,273,-5%,1142 kj(273 kcal),-6%,23,-6%,"8,7",-8%,"0,6",-51%,"0,6",-15%,17,+10%,15,+608%,6,+608%,21,+6%,E,+6%,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-10', 'Fabriqué en France', 'AB Agriculture Biologique']",,,,,,,,,,
94,Cesti - 42g,8009121001042,,,,,,['France'],[],[],,,,,,,,,?,,421,,1761 kj(421 kcal),,"7,11",,"0,43",,"81,34",,"7,1",,"8,03",,"0,27",,"0,108",,,,,,,,,,,,,42 g,['Fabriqué en Italie'],,,,,,,,,,
95,Pâté en croûte (pâté de Pâques),2234606064878,,,,"['FR 37.281.031 CE', 'Vouvray (Indre-et-Loire, France)']",,['France'],[],[],,,,,,,,,?,,338,,1414 kj(338 kcal),,"23,8",,"12,6",,"17,8",,"1,4",,"13,1",,"1,42",,"0,568",,,,,,,,,,,,,,,,,,,,,,,,
96,Thai jasmine Rice,8853096009158,C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz parfumés', 'Riz de variété indica', 'Riz long grain', 'Riz thaï']",,,['France'],[],[],0.5 g,en faible quantité,0.1 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,349,-0%,1460 kj(349 kcal),-1%,"0,5",-52%,"0,1",-61%,79,+5%,0,-100%,"7,1",-3%,0,-100%,0,-100%,0,,B,,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,,,,,,,,,,,,
97,Foie de beuf,2438434007612,,,,"['FR 49.099.002 CE', 'Cholet (Maine-et-Loire, France)']",,['France'],[],[],,,,,,,,,?,,128,,536 kj(128 kcal),,"3,6",,"1,2",,"3,9",,0,,20,,"0,17",,"0,068",,,,,,,,,,,,,,"['Viande-francaise', 'Viande-bovine-francaise']",,,,,,,,,,
98,Petits pois très fins et carottes à l'étuvée,3030210541007,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Légumineuses en conserve', 'Petits pois et carottes en conserve']",,,['France'],[],[],0.6 g,en faible quantité,0.2 g,en faible quantité,3.7 g,en faible quantité,0.6 g,en quantité modérée,?,,59,+2%,247 kj(59 kcal),+2%,"0,6",+21%,"0,2",+59%,"7,6",-6%,"3,7",+9%,"3,4",+10%,"0,6",+2%,"0,24",+2%,-5,,A,,26.6%,34.8%,16.3%,8.2%,7.5%,6.7%,88,,,,,,,,,,,,
99,P'tits beignets choco-noisette,3404112014417,,,"['Snacks', 'Snacks sucrés', 'Beignets sucrés']",,,['France'],[],[],10 g,en quantité modérée,6.5 g,en quantité élevée,14 g,en quantité élevée,0.74 g,en quantité modérée,?,,250,-30%,1046 kj(250 kcal),-30%,10,-37%,"6,5",+87%,35,-23%,14,-14%,"4,5",-29%,"0,74",+0%,"0,296",+0%,15,+25%,D,+25%,,,,,,,,,['Fabriqué en France'],,,,,,,,,,
100,Filet mignon de porc,2209252007241,,,,,,['France'],[],[],,,,,,,,,?,,116,,485 kj(116 kcal),,"3,5",,"1,6",,0,,0,,21,,"0,13",,"0,052",,,,,,,,,,,,,,,,,,,,,,,,
101,Quiche Lorraine,3383460041095,D,,"['Plats préparés', 'Pizzas tartes salées et quiches', 'Quiches', 'Quiches lorraines']",,,['France'],[],[],16.6 g,en quantité modérée,9.27 g,en quantité élevée,2.4 g,en faible quantité,1.17 g,en quantité modérée,?,,275,+4%,1151 kj(275 kcal),+5%,"16,6",+2%,"9,27",+6%,"18,6",-4%,"2,4",+4%,"12,3",+33%,"1,17",+12%,"0,468",+12%,17,+20%,D,+20%,75.2%,13.0%,2.5%,2.6%,1.4%,5.3%,45,,,,,,,,,,,,
102,Magret d'oie aux cèpes,0212059089930,,,,,,['France'],[],[],,,,,,,,,?,,405,,1695 kj(405 kcal),,39,,"10,6",,"1,8",,0,,13,,"0,74",,"0,296",,,,,,,,,,,,,,,,,,,,,,,,
103,Pesto à la Genovese,3272970190051,C,,"['Epicerie', 'Sauces', 'Sauces Pesto', 'Pestos au basilic']",,,['France'],[],[],45 g,en quantité élevée,4.5 g,en quantité modérée,1.3 g,en faible quantité,4 g,en quantité élevée,?,,435,-3%,1820 kj(435 kcal),-3%,45,+2%,"4,5",-31%,"1,3",-78%,"1,3",-43%,"3,2",-32%,4,+62%,"1,6",+62%,19,-3%,E,-3%,77.0%,10.9%,4.6%,4.2%,2.0%,1.4%,56,,['Bio'],,,,,,,,,,
104,Bananes - 1kg,0072146008998,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Bananes']",,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,63.7%,0.0%,0.0%,23.1%,9.9%,3.2%,95,1 kg,,,,,,,,,,,
105,Louis eschenauer colombar chardonnay,3500610028328,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Chocolats peluche Farmy Music Fizzy,3395502870891,,,,,,['France'],[],[],,,,,,,,,?,,543,,2272 kj(543 kcal),,32,,19,,58,,57,,"5,8",,"0,28",,"0,112",,,,,,,,,,,,,,,,,,,,,,,,
107,Pistache grillée et salée,8412669050708,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Pistaches', 'Pistaches grillées', 'Pistache grillée salée']",,,['France'],[],[],50 g,en quantité élevée,6.4 g,en quantité élevée,7.6 g,en quantité modérée,2.2 g,en quantité élevée,?,,604,-1%,2527 kj(604 kcal),-1%,50,+2%,"6,4",-0%,"9,4",-37%,"7,6",+12%,24,+7%,"2,2",+82%,"0,88",+82%,13,+107%,D,+107%,80.2%,0.0%,5.4%,8.3%,3.7%,2.3%,40,,,,,,,,,,,,
108,Roquefort,0297041019096,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte persillée', 'Fromages à pâte persillée français', 'Fromages de brebis', 'Roqueforts']","['FR 12.203.036 CE', 'Roquefort-sur-Soulzon (Aveyron, France)']",,['France'],[],[],32 g,en quantité élevée,24 g,en quantité élevée,0.01 g,en faible quantité,3.5 g,en quantité élevée,?,,366,-0%,1531 kj(366 kcal),+0%,32,+0%,24,+8%,"0,1",-85%,"0,01",-72%,19,-2%,"3,5",-2%,"1,4",-2%,19,0%,E,0%,88.4%,4.4%,2.4%,3.1%,1.4%,0.4%,44,,,,,,,,,,,,
109,Farine de Manioc,3700019522520,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Farines', 'Farines de manioc']",,,['France'],[],[],0.5 g,en faible quantité,0.1 g,en faible quantité,0.5 g,en faible quantité,0.01 g,en faible quantité,?,,323,-2%,1351 kj(323 kcal),-3%,"0,5",+194%,"0,1",+111%,79,+3%,"0,5",+12%,"1,6",+80%,"0,01",-83%,"0,004",-83%,4,+42%,C,+42%,,,,,,,,,,,,,,,,,,,
110,L'authentique palette a la tomate,0290733083184,,,,,,['France'],[],[],,,,,,,,,?,,141,,590 kj(141 kcal),,"8,8",,"3,9",,"1,2",,"0,6",,"14,3",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
111,Sempio Macarrão Bibim,8801005541510,,,,,,['France'],[],[],,,,,,,,,?,,302,,1264 kj(302 kcal),,"1,6",,0,,64,,11,,8,,"3,5",,"1,4",,,,,,,,,,,,,,,,,,,,,,,,
112,Pain chocolat pur beurre - Migros,3021990078845,D,['Migros'],"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains au chocolat']",,,['France'],"[' farine de BLÉ', 'BEURRE charentes poitou aop 21 %', 'eau', 'chocolat 8', '7% ', 'sucre', 'pâte de cacao', 'BEURRE de cacao', 'emulsifiant ', ' lécithine de SOJA', 'arôme naturel de vanille', 'sucre', 'levure', 'LAIT entier en poudre', 'GLUTEN de BLE', 'sel', 'enzymes ', 'amylases', 'hémicellulases', 'agent de traitement de la farine ', 'acide ascorbique', 'Œufs ']",['Non végétalien'],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,81.1%,12.4%,3.5%,2.7%,0.3%,0.0%,50,,,"['E322i - Lécithine', 'E1100 - Amylases', 'E300 - Acide ascorbique']","['Œufs', 'Gluten', 'Lait', 'Soja']",4,,,,,,,
113,Poulet prêt à cuire,2227532033650,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Halal'],,,,,,,,,,
114,0204567029195,0204567029195,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,fromage blanc - les vaches de lesnevez - 250g,3760268060051,,['les vaches de lesnevez'],,"['FR-29-197-090', 'Plouhinec (Finistère, France)']",,['France'],"['lait entier pasteurisé', 'présure', 'ferments lactiques']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,250g,,,['Lait'],,,,,,['Plouhinec'],,
116,Étoiles pur beurre marbrées,3558390001116,,,,,,['France'],[],[],,,,,,,,,?,,441,,1845 kj(441 kcal),,23,,14,,53,,29,,6,,"0,72",,"0,288",,,,,,,,,,,,,,,,,,,,,,,,
117,Gouda au cumin,0210861028215,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages des Pays-Bas', 'Goudas', 'Goudas au cumin']",,,['France'],[],[],32 g,en quantité élevée,21 g,en quantité élevée,0.5 g,en faible quantité,1.5 g,en quantité modérée,?,,368,-2%,1540 kj(368 kcal),-1%,32,+4%,21,0%,"0,5",+122%,"0,5",+131%,24,+1%,"1,5",-18%,"0,6",-18%,15,-9%,D,-9%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,
118,Piment rouge fort,3250390115410,,,,"['EMB 41164A', 'Noyers-sur-Cher (Loir-et-Cher, France)']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Père Noël en chocolat,3273071020353,,,,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,32,,20,,57,,56,,6,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
120,Ad Lib - Hoppy Road - 33cl,3760271170006,C,['Hoppy Road'],"['Boissons', 'Boissons alcoolisées', 'Produits artisanaux', 'Bières', 'Alcools artisanaux', 'Bières françaises', 'Bières artisanales', 'en:India Pale Ale']",,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,33 cl,['Déconseillé aux femmes enceintes'],,,,,,"['Bouteille', 'Verre']",,['France'],,
121,Confiture black cherry,25545005,,,,,,['France'],[],[],,,,,,,,,?,,250,,1046 kj(250 kcal),,0,,0,,65,,65,,0,,0,,0,,,,,,,,,,,,,,['Sans conservateurs'],,,,,,,,,,
122,Thé vert Darjeeling Lotus - Terre d'Oc,3700324426063,,"[""Terre d'Oc""]",,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture non UE', 'FR-BIO-01']",,,,,,,,,,
123,Mille Feuille 6/8 pers - Leclerc,0020009495683,,['Leclerc'],,,,['France'],[],[],,,,,,,,,?,,30,,126 kj(30 kcal),,"13,37",,"7,76",,"40,8",,"20,84",,"5,13",,"0,48",,"0,192",,,,,,,,,,,,,,,,,,,,,,,,
124,Immune boosting - Prozis,5600499509975,,['Prozis'],,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Gratons de canard,0204238014635,,,,,,['France'],[],[],,,,,,,,,?,,529,,2213 kj(529 kcal),,42,,15,,"4,1",,0,,34,,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,,,,
126,Pain spécial aux céréales,0260022009188,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Guimauves criks,2600687017919,,,,,,['France'],[],[],,,,,,,,,?,,433,,1812 kj(433 kcal),,19,,13,,61,,51,,4,,"0,14",,"0,056",,,,,,,,,,,,,,['Fabriqué en France'],,,,,,,,,,
128,Mini galettes de maïs au romarin - Primeal,00876334,B,['Primeal'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Galettes de céréales soufflées', 'Galettes de maïs soufflé']",,,['France'],[],[],16.7 g,en quantité modérée,1.9 g,en quantité modérée,0.3 g,en faible quantité,0.93 g,en quantité modérée,?,,473,+20%,1979 kj(473 kcal),+19%,"16,7",+312%,"1,9",+137%,"73,1",-8%,"0,3",-83%,"6,4",-17%,"0,93",+117%,"0,372",+117%,7,+370%,C,+370%,57.0%,19.3%,12.5%,10.4%,0.8%,0.0%,92,,"['Bio', 'en:gluten-free']",,,,,,,,,,
129,Yaourt brassé sur lit de fruits,0602561194404,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Briochette,0257810014431,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Sushi mix,3701035400823,,,,,,['France'],[],[],,,,,,,,,?,,144,,602 kj(144 kcal),,"3,3",,"0,8",,"19,4",,"2,4",,"8,8",,"0,6",,"0,24",,,,,,,,,,,,,,,,,,,,,,,,
132,Nectar de pomme et de mirabelle,3760104610129,D,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits']",,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,,,
133,Les Marinés porc provençale,0210676022507,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Croûtons spéciale soupe de poissons,3770004133673,E,,"['Plats préparés', 'Soupes', 'Soupes à réchauffer', 'Soupes de poissons']","['EMB 13001', 'Aix-en-Provence (Bouches-du-Rhône, France)']",,['France'],[],[],5.3 g,en quantité modérée,0.8 g,en faible quantité,3.2 g,en faible quantité,1.8 g,en quantité élevée,?,,390,+712%,1632 kj(390 kcal),+720%,"5,3",+179%,"0,8",+78%,"72,6",+3889%,"3,2",+392%,"12,8",+148%,"1,8",+104%,"0,72",+104%,11,+1161%,D,+1161%,89.9%,2.6%,1.2%,5.2%,0.8%,0.3%,25,,,,,,,,,,,,
135,Mélange salé - Menguy's,3327271202191,,"[""Menguy's""]",,,,['France'],[],[],,,,,,,,,?,,619,,2590 kj(619 kcal),,52,,"6,1",,11,,"5,6",,24,,"0,86",,"0,344",,,,,,,,,,,,,,,,,,,,,,,,
136,Brioche tressée - 600g,2279834005606,C,,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Brioches tressées']",,,['France'],[],[],13 g,en quantité modérée,8.8 g,en quantité élevée,13 g,en quantité élevée,1.2 g,en quantité modérée,?,,363,+2%,1519 kj(363 kcal),+2%,13,+2%,"8,8",+38%,54,+5%,13,-10%,"7,5",-7%,"1,2",+20%,"0,48",+20%,19,+19%,E,+19%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,600 g,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,
137,Mousse chocolat noir - 180g,3036858077014,,,,,,['France'],[],[],,,,,,,,,?,,323,,1351 kj(323 kcal),,21,,"14,6",,"25,2",,"24,8",,"7,4",,"0,2",,"0,08",,,,,,,,,,,,,180 g,,,,,,,,,,,
138,Saucisson Catalan,8426572071040,,,,,,['France'],[],[],,,,,,,,,?,,435,,1820 kj(435 kcal),,"30,89",,"10,2",,"4,14",,"1,7",,"34,94",,"4,19",,"1,676",,,,,,,,,,,,,,,,,,,,,,,,
139,Dattes branchées,2600120026447,,,,,,['France'],[],[],,,,,,,,,?,,329,,1377 kj(329 kcal),,"0,4",,0,,75,,"63,3",,"2,4",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
140,Harrys longue conservation,39246035,,,,,,['France'],[],[],,,,,,,,,?,,288,,1205 kj(288 kcal),,"4,3",,"0,5",,"51,8",,5,,9,,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,,,,
141,Gnocchi a poeler,4343361544346,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Gnocchi', 'Gnocchis cuits', 'Gnocchi à poêler']",,,['France'],[],[],2.7 g,en faible quantité,0.3 g,en faible quantité,1 g,en faible quantité,1.1 g,en quantité modérée,?,,183,-10%,766 kj(183 kcal),-10%,"2,7",-34%,"0,3",-78%,33,-1%,1,-44%,5,-15%,"1,1",-17%,"0,44",-17%,3,-49%,C,-49%,46.0%,1.2%,22.2%,18.3%,9.7%,2.6%,97,,['Sans conservateurs'],,,,,,,,,,
142,Tartelettes framboises x2,3660133021692,D,,"['Tartes', 'Tartelettes', 'Tartelettes aux fruits', 'Biscuit sec nappé aux fruits', 'Tartelettes à la framboise']",,,['France'],[],[],15 g,en quantité modérée,1.7 g,en quantité modérée,22 g,en quantité élevée,0.03 g,en faible quantité,?,,309,-13%,1293 kj(309 kcal),-14%,15,+15%,"1,7",-75%,38,-31%,22,-26%,"4,1",+5%,"0,03",-87%,"0,012",-87%,6,-62%,C,-62%,83.8%,8.2%,3.7%,2.3%,2.0%,0.0%,53,,,,,,,,,,,,
143,Jus de fruitu,3760208361163,,,,,,['France'],[],[],,,,,,,,,?,,40,,167 kj(40 kcal),,0,,0,,10,,10,,"0,5",,0,,0,,,,,,,,,,,,,,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,
144,Rayon de lune,3225820042734,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Jyoty Massala - La Route des Comptoirs,3760011138372,,['La Route des Comptoirs'],,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Papillotes à la crevette - Le cantonnais,3492590000336,,['Le cantonnais'],,,,['France'],[],[],,,,,,,,,?,,291,,1218 kj(291 kcal),,"15,1",,"3,3",,"28,2",,"1,9",,"10,3",,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,,,,
147,Chips bolognaise,5400101038165,,,,,,['France'],[],[],,,,,,,,,?,,534,,2234 kj(534 kcal),,33,,"3,3",,52,,"3,3",,"5,8",,"1,6",,"0,64",,,,,,,,,,,,,,,,,,,,,,,,
148,Pain aux noix -,0250034017127,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains aux noix']",,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Vin riesling,3274550517869,,,"['Boissons', 'Boissons alcoolisées', 'Vins']",,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Aberlour 12 Year Old Sherry Cask Matured 1L,5000299298312,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Moulage de chocolat au lait,4039198654227,,,,,,['France'],[],[],,,,,,,,,?,,577,,2414 kj(577 kcal),,38,,23,,53,,53,,"5,6",,"0,16",,"0,064",,,,,,,,,,,,,,,,,,,,,,,,
152,JE MÉRITE ce chocolat BIO ! - Nature & Découvertes,3663787451754,,['Nature & Découvertes'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat']",,,['France'],"['Chocolat au lait à 40% de cacao minimum*: 55,5% ', 'sucre de canne*', 'beurre de cacao*', 'poudre de LAIT entier*', 'pâte de cacao*', 'NOISETTES* 21%', 'sucre de canne*', 'beurre de cacao*', 'pâte de cacao*', "" / *Ingrédients issus de l'agriculture biologique"", "" / Peut contenir des traces d'ARACHIDES"", ""d'autres FRUITS À COQUE et de SÉSAME""]",['Non végétalien'],40.3 g,en quantité élevée,17.4 g,en quantité élevée,44 g,en quantité élevée,0.1 g,en faible quantité,?,,586,+11%,2452 kj(586 kcal),+11%,"40,3",+26%,"17,4",0%,"45,4",-13%,44,-7%,"7,9",+34%,"0,1",-35%,"0,04",-35%,26,+7%,E,+7%,,,,,,,,,['Bio'],,"['Lait', 'Fruits à coque']",3,,,,,,,
153,Scarmoza fresca,0277182023947,,,,,,['France'],[],[],,,,,,,,,?,,226,,946 kj(226 kcal),,16,,"8,2",,0,,0,,20,,"0,5",,"0,2",,,,,,,,,,,,,,,,,,,,,,,,
154,Rosé de l'Horte,3760086203661,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
