,name,bar_code,quantity,packaging,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,categories,labels,markets,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,allergens,nova_score,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,manufacturing,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,traceability_code,brand_owner,ingredients_origins,generic_name,link,palm_ingredients
868,Palitos de Surimi - Alipende - 300g,8421691851016,300 g,,['Alipende'],"['France', 'Espagne']",[],[],?,131,"6,1","9,7","8,2","['Produits de la mer', 'Poissons', 'Plats préparés', 'Préparations de poisson', 'Plats préparés au poisson', 'Surimi']",,,,+10%,+30%,-15%,+10%,B,52.0%,22.5%,10.3%,8.6%,5.2%,1.4%,92,,,548 kj(131 kcal),"0,6","3,5",2,"0,8",,6.1 g,en quantité modérée,0.6 g,en faible quantité,3.5 g,en faible quantité,2 g,en quantité élevée,+10%,-8%,+22%,+16%,+16%,4,-9%,C,-9%,,,,,,,
869,Yaourt citron - Lait'Age d'Or,3760274150340,,,"[""Lait'Age d'Or""]",['France'],[],[],?,9,3,"13,1","3,94","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts au lait de vache', 'Yaourts au citron']","['Bio', 'Bio européen', 'FR-BIO-01']",,,-92%,-27%,-2%,+13%,B,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,,,38 kj(9 kcal),"2,14","10,5","0,15","0,06",,3 g,en quantité modérée,2.14 g,en quantité modérée,10.5 g,en quantité modérée,0.15 g,en faible quantité,-91%,-19%,-17%,+25%,+25%,2,-45%,B,-45%,,"['FR 81.124.002 CE', 'Lacaune (Tarn, France)']",,,,,
870,Saint marcellin fromage,,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
871,Vandevi Hing Powder 50 G,8906044469013,,,,['France'],[],[],?,297,4,"59,2","6,2",,,,,,,,,,,,,,,,,,,1243 kj(297 kcal),"1,4",0,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,
872,Pastèque - Bouquet Bio,8412276221270,,,['Bouquet Bio'],['France'],[],[],?,?,?,?,?,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Melons et pastèques', 'Pastèques']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'ES-ECO-021-EX', 'Agriculture UE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Espagne'],,,
873,Chèvre frais poivre,3475432091501,,,,['France'],[],[],?,160,12,3,10,,,,,,,,,,,,,,,,,,,669 kj(160 kcal),8,3,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,
874,Cereales con Galleta - Naturbalance,8410175066176,,,['Naturbalance'],"['France', 'Espagne']","['Harina hidrolizada de 8 cereales ', '97 %', 'trigo', 'maiz', 'arroz', 'avena', 'cebada', 'centeno', 'sorgo y mijo', 'galleta ', '2%', ' ', 'contiene harina de trigo', 'minerales ', 'calcio y hierro', 'aroma y vitaminas ', 'C', 'niacina', 'E', 'ác', ' pantoténico', 'B2', 'B6', 'B1', 'A', 'ác', ' fólico', 'biotina', 'D y B12']",[],?,378,2,79,"9,5","['Aliments pour bébé', 'Céréales pour bébé']",,,,+6%,-12%,+25%,+29%,,,,,,,,,['Gluten'],4,1582 kj(378 kcal),"0,4",22,"0,05","0,02",,,,,,,,,,+20%,-45%,+59%,-8%,-8%,,,,,,,,,,,
875,Andouillettes Spécial Grill aux herbes - Armand Terroir - 500g,3700212514117,500g,,['Armand Terroir'],['France'],"['Chaudin et fuseau de porc', 'rosette de porc', 'oignon', 'couenne', 'plasma de porc', 'estomac de porc', 'Matieres sel', 'épices', 'plantes aromatiques 0,2%', 'herbes de provence ', '0,04%', 'arôme-naturel de poivre', 'acidifiant: E330', 'conservateur: E250', 'enveloppe: boyau de porc', ' Protéines ', 'g', ' Fabriqué à Vire', 'abats de porc origine France et UE 1 Energie ', 'k', ' Energie kea']","['Non végétalien', 'Non végétarien']",?,?,?,?,?,"['Viandes', 'Charcuteries', 'Charcuteries cuites', 'Andouillettes']",,,,,,,,E,82.4%,13.2%,3.1%,0.8%,0.4%,0.1%,11,,4,,,,,,,,,,,,,,,,,,,,,,,,"['E330 - Acide citrique', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['FR 14.762.026 CE', 'Vire (Calvados, France)']",,,,,
876,Gouda - Boni,5400141129137,,,['Boni'],['France'],[],[],?,394,33,0,25,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages des Pays-Bas', 'Goudas', 'Goudas mi-vieux']","['Nutriscore', 'Nutriscore D']",,,+6%,+8%,-100%,+4%,D,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,1648 kj(394 kcal),23,0,"1,9","0,76",,33 g,en quantité élevée,23 g,en quantité élevée,0 g,en faible quantité,1.9 g,en quantité élevée,+6%,+12%,-100%,+1%,+1%,17,+1%,D,+1%,,,,,,,
877,Salsa Brava - Ferrer,8411026014858,,,['Ferrer'],['France'],[],[],?,190,14,15,2,"['Epicerie', 'Sauces', 'Sauces tomate', 'Sauces bravas']",['Sans colorants'],,,+10%,0%,+52%,+71%,B,48.3%,19.8%,11.8%,11.5%,5.0%,3.5%,91,,,795 kj(190 kcal),"1,8","7,4","3,2","1,28",,14 g,en quantité modérée,1.8 g,en quantité modérée,7.4 g,en quantité modérée,3.2 g,en quantité élevée,+10%,-7%,+18%,+10%,+10%,14,+4%,D,+4%,,,,,,,
878,Rahmojoghurt - Weihenstephan,4008452040274,,,['Weihenstephan'],['France'],[],[],?,143,8,"14,2","2,7",,,,,,,,,,,,,,,,,,,598 kj(143 kcal),"5,4","12,5","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,
879,Peach black tea - Fuzetea,57088815,,,['Fuzetea'],['France'],[],[],?,79,0,"4,4",0,,,,,,,,,,,,,,,,,,,331 kj(79 kcal),0,"4,3","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,
880,Kebab de poulet & semoule - 800g,3780134804909,800 g,['Barquette'],,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
881,"dark couverture chocolate, bitter orange fusion - bali chocolat factory - 100g",9010204015480,100g,,['bali chocolat factory'],['France'],"['Cacao mass', 'Cacao butter Sugar', 'Pure Vanilla', 'Orange Oil']",[],?,?,?,?,?,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs', 'Chocolats aromatisés', 'Chocolats noirs aromatisés']",,,,,,,,E,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,3,,,,,,['bali indonesia'],,,,,,,,,,,,,,,,,,,,,,,,
882,Lakonis Ariane domaine Lantzanaki - 3L,5200112809934,3 L,,['Lakonis'],['France'],[],[],?,824,92,0,0,['Huile d’olive Grec'],"['Bio', 'Bio européen', 'FR-BIO-01', 'GR-BIO-01']",,,,,,,,,,,,,,,,,3448 kj(824 kcal),14,0,0,0,,92 g,en quantité élevée,14 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,,,,,20,,E,,,,,,,,
883,Marmellata Di bergamotto,8017139105348,,,,['France'],[],[],?,243,"0,1",60,"0,3",,,,,,,,,,,,,,,,,,,1017 kj(243 kcal),0,58,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
884,VAR 2018,3760172574477,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
885,Glace carte d'or Vanille Bio,8711327306134,,,"[""Carte d'Or""]",['France'],[],[],?,229,12,25,"4,7",,"['Bio', 'Bio européen', 'IT-BIO-007']",,,,,,,,,,,,,,,,,958 kj(229 kcal),"9,2",22,"0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,
886,John Frieda Red Boosting Conditioner - 250ml,5037156246872,250 ml,['Stück'],,"['Autriche', 'France']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
887,Donut - Milka,0202854019027,,,['Milka'],['France'],[],[],?,264,28,46,"5,9","['Biscuits et gâteaux', 'Gâteaux', 'Donuts']",,,,-35%,+23%,+3%,-0%,B,65.3%,17.3%,8.4%,4.6%,4.4%,0.0%,87,,,1105 kj(264 kcal),14,18,"0,7","0,28",,28 g,en quantité élevée,14 g,en quantité élevée,18 g,en quantité élevée,0.7 g,en quantité modérée,-35%,+32%,+7%,-26%,-26%,19,-3%,E,-3%,,,,,,,
888,Country Birchermüesli -,7613413585137,,['Beutel'],,"['France', 'Suisse']",[],[],?,?,?,?,?,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Mueslis']",,,,,,,,B,53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
889,Pain aux noix campaniere - Intermarché - 300g,0260066010508,300g,,['Intermarché'],['France'],"['Farine de BLÉ', 'eau', 'NOIX 12%', 'farine de SEIGLE et guten de BLE', 'sel', 'levain de BLE dévitalisé', 'farine de BLE malé', 'émulsifiants : E471', 'agent de traitement de la farine: acide ascorbique Fabriqué par: Le Moulin de la Chaume', 'ZI Jean Jaurès', '07800 Voulte-sur-Rhone Fra']","[""Pourrait contenir de l'huile de palme""]",?,?,?,?,?,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains aux noix']",,,,,,,,,,,,,,,,"['Gluten', 'Fruits à coque']",4,,,,,,,,,,,,,,,,,,,,,,,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E300 - Acide ascorbique']",,,,,,
890,8690574105212,8690574105212,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891,Café grains Éthiopie,3564884020457,,,,['France'],[],[],?,?,?,?,?,,"['Bio', 'Bio européen', 'FR-BIO-12']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
892,La ferme de l'enclave boudin,3553260000039,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
893,9782845976795,9782845976795,,,,['France'],[],[],?,250,12,40,10,"['Plats préparés', 'Plats à base de pâtes', 'Pâtes à la carbonara', 'Tagliatelles à la carbonara']",,,,+40%,+26%,+161%,+63%,C,67.1%,20.0%,4.3%,4.5%,2.4%,1.7%,66,,,1046 kj(250 kcal),5,6,"1,1","0,44",,12 g,en quantité modérée,5 g,en quantité modérée,6 g,en quantité modérée,1.1 g,en quantité modérée,+43%,+2%,+388%,+49%,+49%,8,+36%,C,+36%,,,,,,,
894,Caramels beurre salé,3561770001354,,,,['France'],[],[],?,418,"12,5",72,"4,3",,,,,,,,,,,,,,,,,,,1749 kj(418 kcal),7,"47,4","1,08","0,432",,,,,,,,,,,,,,,,,,,,,,,,,
895,"Dessert de fruits - Pomme, poire - Sanofruit - 2x110g",3566141100131,2x110g,,['Sanofruit'],['France'],"['Pomme ', '70%', ' / Provence - Poire ', '30%', ' / Provence']",[],?,51,"0,151","11,39","0,427","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme', 'Compotes pommes poires']","['Bio', 'Bio européen', 'FR-BIO-01', 'Sans sucre ajouté']",,,-18%,-54%,-17%,+22%,B,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,,1,213 kj(51 kcal),"0,02","10,45","0,008","0,003",,0.151 g,en faible quantité,0.02 g,en faible quantité,10.4 g,en quantité modérée,0.008 g,en faible quantité,-18%,-77%,-16%,-5%,-5%,-3,,A,,,,,,,,
896,Chupa chups the best of,8410031960334,,,['Chupa Chups'],['France'],[],[],?,390,"0,7",95,0,,,,,,,,,,,,,,,,,,,1632 kj(390 kcal),"0,4",78,"0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,
897,St Hubert Bio,9559594325347,,,,['France'],[],[],?,522,58,0,0,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,2184 kj(522 kcal),26,0,"0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,
898,3580255050540,3580255050540,,,,['France'],[],[],?,?,?,?,?,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
899,Pain au muesli - pural - 620g,0181410801651,620 g,['Sachet'],['Pural'],['France'],"['farine de BLÉ* complète', 'eau', 'raisins secs*', 'abricots*', 'farine de BLÉ* ', 'T55', 'NOISETTES*', 'figues* hachées', 'NOIX DE CAJOU*', 'dattes* confites', 'gluten de BLÉ*', 'NOIX*', 'beurre* ', 'LAIT', 'levure*', 'AMANDES* 1%', 'farine de SOJA*', 'sel', 'huile de tournesol*', ""malt d'ORGE*\r *issu de l'agriculture biologique""]","['Sans huile de palme', 'Non végétalien']",1259,301,10,49,8,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Pains', 'Pains précuits', 'Pains complets', 'Pain aux fruits secs']","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'NL-BIO-01', 'Sans sucre ajouté', 'en:palm-oil-free', 'Ecoinform']",['bio monde'],+17%,+19%,+305%,+2%,+4%,,,,,,,,,"['Gluten', 'Lait', 'Fruits à coque', 'Soja']",4,1259 kj(301 kcal),1,,1,"0,4",['pays -bas'],10 g,en quantité modérée,1 g,en faible quantité,,,1 g,en quantité modérée,+18%,+79%,,-19%,-19%,,,,,,,,,pain précuit à la farine de blé complet et aux fruits secs issus de l'agriculture biologique,http://www.pural.bio/fr/produit/?ean=3184340801651,
900,Pain au muesli - pural - 620g,0181410801651,620 g,['Sachet'],['Pural'],['France'],"['farine de BLÉ* complète', 'eau', 'raisins secs*', 'abricots*', 'farine de BLÉ* ', 'T55', 'NOISETTES*', 'figues* hachées', 'NOIX DE CAJOU*', 'dattes* confites', 'gluten de BLÉ*', 'NOIX*', 'beurre* ', 'LAIT', 'levure*', 'AMANDES* 1%', 'farine de SOJA*', 'sel', 'huile de tournesol*', ""malt d'ORGE*\r *issu de l'agriculture biologique""]","['Sans huile de palme', 'Non végétalien']",1259,301,10,49,8,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Pains', 'Pains précuits', 'Pains complets', 'Pain aux fruits secs']","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'NL-BIO-01', 'Sans sucre ajouté', 'en:palm-oil-free', 'Ecoinform']",['bio monde'],+17%,+19%,+305%,+2%,+4%,,,,,,,,,"['Gluten', 'Lait', 'Fruits à coque', 'Soja']",4,1259 kj(301 kcal),1,,1,"0,4",['pays -bas'],10 g,en quantité modérée,1 g,en faible quantité,,,1 g,en quantité modérée,+18%,+79%,,-19%,-19%,,,,,,,,,pain précuit à la farine de blé complet et aux fruits secs issus de l'agriculture biologique,http://www.pural.bio/fr/produit/?ean=3184340801651,
901,Maxi croissant,5601363120012,,,,['France'],[],[],?,377,"16,2",49,"7,6",,,,,,,,,,,,,,,,,,,1577 kj(377 kcal),"9,5","18,9","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,
902,Cola Autenthic Taste,8718452242290,,,,['France'],[],[],?,38,0,"23,8","0,1",,,,,,,,,,,,,,,,,,,159 kj(38 kcal),0,"23,6",0,0,,,,,,,,,,,,,,,,,,,,,,,,,
903,8420102425679,8420102425679,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
904,Madeleine de Commercy bio - 500g,3700537500611,500 g,,,['France'],[],[],?,472,25,56,"5,6",,['Bio'],,,,,,,,,,,,,,,,,1975 kj(472 kcal),"4,7",33,"0,64","0,256",,,,,,,,,,,,,,,,,,,,,,,,,
905,Fromage -,5701638138220,,,,['France'],"['Lait de vache pasteurisé', 'sel', 'présure microbienne', 'culture bactérienne', ' Conserver à 2-5°C']",['Non végétalien'],?,300,28,"0,5",12,,,,,,,,,,,,,,,,,,,1255 kj(300 kcal),20,"0,5","2,8","1,12",,,,,,,,,,,,,,,,,,,,,,,,,
906,Délice de canard - Biraben,3292320042519,,,['Biraben'],['France'],[],[],?,287,23,"1,4",18,,,,,,,,,,,,,,,,,,,1201 kj(287 kcal),"5,7","1,3","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,
907,yaourt a la grecque fruits rouges et muesli - La compagnie fraîche - 105g,3760159103799,105g,,['La compagnie fraîche'],['France'],"[""Yaourt brasse nature' 58% "", ""LAIT écremé concentre - CREME' "", 'LAIT,ferments LACTIQUES ', 'LAIT', "" pure de fraise' 16%-flocons D'AVOINE "", 'GLUTEN', ' 9% - Sucre - purée de myrtilles 4%-cranberries 3% ', 'raneries 2%', 'sucre de canne - huile de tournesol', '-graines de courge 2 - eau - gélifiant agar-agar']",['Non végétalien'],?,175,8,21,6,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Produits laitiers', 'Produits fermentés', 'Petit-déjeuners', 'Céréales et dérivés', 'Produits laitiers fermentés', 'Céréales pour petit-déjeuner', 'Mueslis', 'Céréales aux fruits', 'Yaourts', 'Yaourts aux fruits', 'Mueslis aux fruits']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",['bio c bon'],,-56%,-25%,-66%,-37%,B,53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,"['Gluten', 'Lait', 'Avoine']",4,732 kj(175 kcal),4,10,0,0,,8 g,en quantité modérée,4 g,en quantité modérée,10 g,en quantité modérée,0 g,en faible quantité,-56%,+48%,-44%,-100%,-100%,1,-71%,B,-71%,['E406 - Agar-agar'],"['FR 94.017.106 CE', 'Champigny-sur-Marne (Val-de-Marne, France)']",,,,,
908,Saucisse fraîche - Leclerc - 500g,0251536026501,500g,,['Leclerc'],['France'],[],[],?,277,24,"1,1",15,"['Viandes', 'Charcuteries', 'Saucisses']",,,,+9%,+15%,-23%,-1%,,,,,,,,,,,1159 kj(277 kcal),"8,5",0,"2,3","0,92",,24 g,en quantité élevée,8.5 g,en quantité élevée,0 g,en faible quantité,2.3 g,en quantité élevée,+8%,+7%,-100%,+17%,+17%,21,+20%,E,+20%,,,,,,,
909,mille feuille 6 parts,0202817050845,,,,['France'],[],[],?,313,"16,1","37,8",4,,,,,,,,,,,,,,,,,,,1310 kj(313 kcal),"11,5","20,7","0,48","0,192",,,,,,,,,,,,,,,,,,,,,,,,,
910,Comté portion affinage 6mois minimum Au lait cru,2165743005861,,,,['France'],[],[],?,430,35,1,27,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",,,,+3%,+1%,+116%,+0%,D,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,1799 kj(430 kcal),23,1,"0,8","0,32",,35 g,en quantité élevée,23 g,en quantité élevée,1 g,en faible quantité,0.8 g,en quantité modérée,+3%,+1%,+273%,-5%,-5%,13,0%,D,0%,,,,,,,
911,Ravioli au boeuf - 500g,3416310801041,500 g,,,['France'],[],[],?,216,"2,4","38,2","10,3","['Plats préparés', 'Produits à la viande', 'Plats à base de pâtes', 'Plats préparés à la viande', 'Pâtes farcies', 'Plats au bœuf', 'Pates farcies à la viande', 'Ravioli', 'Ravioli à la viande', 'Raviolis au bœuf']",,,,+59%,-31%,+105%,+87%,E,92.9%,3.7%,1.3%,1.1%,0.6%,0.4%,19,,,904 kj(216 kcal),"0,7","1,1","0,1","0,04",,2.4 g,en faible quantité,0.7 g,en faible quantité,1.1 g,en faible quantité,0.1 g,en faible quantité,+61%,-42%,-56%,-89%,-89%,-3,-238%,A,-238%,,,,,,,
912,Sal Marina Teneguia,8423093206111,,,,['France'],[],[],?,0,?,?,?,,,,,,,,,,,,,,,,,,,0 kj(0 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
913,Chocolat au lait d'amande - Ikalia,3370077582967,,,['Ikalia'],['France'],[],[],?,546,"39,2","31,1","11,7",,,,,,,,,,,,,,,,,,,2284 kj(546 kcal),"23,5","23,5","15,2","6,08",,,,,,,,,,,,,,,,,,,,,,,,,
914,Médaillons de fromage de chèvre panés,8410381968103,,,,['France'],[],[],?,351,25,18,19,,,,,,,,,,,,,,,,,,,1469 kj(351 kcal),"9,7","0,8","0,98","0,392",,,,,,,,,,,,,,,,,,,,,,,,,
915,Roll Saumon 6,3760228710248,,,,['France'],[],[],?,160,"5,4",21,"6,8",,,,,,,,,,,,,,,,,,,669 kj(160 kcal),"1,8","0,5","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,
916,Sorbet pleins fruits ananas,3770006482205,,,,['France'],[],[],?,77,"0,1",19,"0,2",,,,,,,,,,,,,,,,,,,322 kj(77 kcal),"0,1",19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
917,Croque monsieur bistrot,3512660039766,,,,['France'],[],[],?,?,?,?,?,"['Sandwichs', 'Croque-monsieur']",,,,,,,,D,75.7%,13.8%,5.3%,3.1%,1.7%,0.5%,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
918,Rouleau de surimi,3760048441698,,,,['France'],[],[],?,97,"1,3",15,"6,8",,"['Pêche durable', 'Pêche durable MSC']",,,,,,,,,,,,,,,,,406 kj(97 kcal),"0,01","3,4","2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,
919,Gelatine,4008726115691,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
920,3449610264001,3449610264001,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
921,Rosé,3256811115175,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
922,"Cavendish - 0,788",2873496010307,"0,788",,['Cavendish'],['France'],[],[],?,?,?,?,?,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Bananes']","['Bio', 'Bio européen', 'FR-BIO-01', 'Agriculture non UE']",,,,,,,B,63.7%,0.0%,0.0%,23.1%,9.9%,3.2%,95,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 13027W', 'Châteaurenard (Bouches-du-Rhône, France)', 'EMB 13027H', 'Châteaurenard (Bouches-du-Rhône, France)']",,,,,
923,Rillettes bio de poulet,3000243216548,,,,['France'],[],[],?,?,?,?,?,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande blanche', 'Rillettes de volaille', 'Rillettes de poulet']",['Bio'],,,,,,,D,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
924,Karaosel,3389750006980,,,,['France'],[],[],?,530,30,57,7,,,,,,,,,,,,,,,,,,,2218 kj(530 kcal),18,50,"0,958","0,383",,,,,,,,,,,,,,,,,,,,,,,,,
925,87g,3365620025848,87 g,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
926,3 brochettes de dinde marinée au curry,2478870055631,,,,['France'],[],[],?,94,1,"0,7","20,4",,,,,,,,,,,,,,,,,,,393 kj(94 kcal),"0,3","0,4","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,
927,Le gâteau au fromage blanc - 700g,3260890000352,700 g,,,['France'],[],[],?,177,"3,2",30,"7,4",,,,,,,,,,,,,,,,,,,741 kj(177 kcal),"1,6",19,"0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,,
928,Rizla,4030700111320,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
929,0253066009054,0253066009054,,,,['France'],[],[],?,?,?,?,?,,['IGP'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930,Gingembre -,0278158058383,,,,['France'],[],[],?,358,"0,1",87,"0,1",,,,,,,,,,,,,,,,,,,1498 kj(358 kcal),0,79,"0,54","0,216",,,,,,,,,,,,,,,,,,,,,,,,,
931,8534720018622,8534720018622,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
932,50ml,3282779060134,50 ml,,,['France'],[],[],?,?,?,?,?,,['Fabriqué en France'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
933,Casino bio - 120g,222476906519,120 g,"['Plastique', 'Sachet']",['Casino bio'],['France'],[],[],?,504,26,58,"7,1",['Biscuits et gâteaux'],"['Bio', 'Bio européen', 'FR-BIO-01']",,,+17%,+36%,+2%,+20%,,,,,,,,,,,2109 kj(504 kcal),16,31,"0,6","0,24",,26 g,en quantité élevée,16 g,en quantité élevée,31 g,en quantité élevée,0.6 g,en quantité modérée,+17%,+87%,+7%,+7%,+7%,19,+3%,E,+3%,,,,,,,
934,Vegetais linguine - Nacional,5601066302289,,,['Nacional'],['France'],[],[],?,350,"1,7",70,12,,,,,,,,,,,,,,,,,,,1464 kj(350 kcal),"0,4",6,"0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,
935,"Drink Bacardi Orange 0, 275ML. - 275g",5010677551311,275 g,['Stück'],['Bacardi'],"['Autriche', 'France']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
936,Sauce ail eh fines herbes,7340138805034,,,,['France'],[],[],?,244,"24,9",5,"0,5",,,,,,,,,,,,,,,,,,,1021 kj(244 kcal),"1,7",5,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,
937,Reveil des tropiques - Tropicana,15221964,,,['Tropicana'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
