,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,quantity,packaging,labels,allergens,nova_score,manufacturing,traceability_code,markets,additives,ingredients_origins,link,palm_ingredients,brand_owner
1647,Jus de pomme frais du pressoir - Ramseier - 1l,7610057006363,B,['Ramseier'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits pur jus', 'Jus de pomme', 'Jus de pommes pur jus']",['France'],"['Jus de pomme suisse', 'jus de poire suisse  ', 'max 10%']",[],0.5 g,en faible quantité,,,,,0 g,en faible quantité,?,,45,-2%,188 kj(45 kcal),-2%,"< 0,5",+178%,,,11,0%,,,"< 0,5",+128%,0,-100%,0,-100%,,,,,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,,1 l,"['Bouteille', 'Plastique']",,,,['Suisse'],,,,['Suisse'],https://www.ramseier.ch/fr/hochstaemmer.html,,
1648,Agneau Sauce Salicornes - Conserverie St Christophe - 900g,3565700000110,,['Conserverie St Christophe'],"['en:Agneau Sauce', 'en:Lamb dish']",['France'],"['Agneau 450g', 'Sauce: Salicornes 8%', 'Oignons', 'CRÉME FRAÎCHE', ' Poitrine Fumée', 'Farine ', 'GLUTEN', 'Sel', 'Poivre', 'Aromates', ' Viande origine Irlande']","['Non végétalien', 'Non végétarien']",8.6 g,en quantité modérée,3.6 g,en quantité modérée,2.4 g,en faible quantité,0.34 g,en quantité modérée,583,,140,,583 kj(140 kcal),,"8,6",,"3,6",,"2,7",,"2,4",,13,,"0,34",,"0,136",,0,,B,,,,,,,,,,900 g,,,"['Gluten', 'Lait']",4,,,,,,,,
1649,Pringles Prosecco et Poivre rose,5053990148134,B,['Pringles'],"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Tuiles salées']",['France'],[],[],31 g,en quantité élevée,2.9 g,en quantité modérée,4.5 g,en faible quantité,1.5 g,en quantité modérée,?,,509,0%,2130 kj(509 kcal),0%,31,+5%,"2,9",-14%,52,-6%,"4,5",+30%,4,-9%,"1,5",0%,"0,6",0%,14,+4%,D,+4%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,,,,,,,,,,,,,,
1650,Cassoulet - Conserverie St Christophe - 900g,3565700000691,A,['Conserverie St Christophe'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à base de haricots', 'Cassoulets']",['France'],"['Porc 400g', 'Haricots', 'Carottes', 'Oignons', 'Sauce : Eau', 'Farine ', 'GLUTEN', 'Concentré de tomates', 'Sel', 'Poivre', 'Aromates']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",6.3 g,en quantité modérée,2.2 g,en quantité modérée,1.8 g,en faible quantité,1.1 g,en quantité modérée,?,,132,-6%,552 kj(132 kcal),-6%,"6,3",-9%,"2,2",-13%,"8,6",+7%,"1,8",+130%,"8,3",-12%,"1,1",+25%,"0,44",+25%,2,+213%,B,+213%,14.6%,32.7%,20.0%,15.1%,8.8%,8.8%,95,,900 g,"['Bocal', 'Verre']",,['Gluten'],4,,,,,,,,
1651,Noisettes,3502490882106,,,,['France'],[],[],,,,,,,,,?,,660,,2761 kj(660 kcal),,63,,"8,4",,"4,7",,"4,5",,15,,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,,
1652,Biscottes farine complete - Borsa,3174503427224,B,['Borsa'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains grillés', 'en:wholemeal-rusk', 'en:zwieback']",['France'],[],['Sans huile de palme'],6.6 g,en quantité modérée,0.7 g,en faible quantité,5.2 g,en quantité modérée,1.4 g,en quantité modérée,?,,393,+2%,1644 kj(393 kcal),+1%,"6,6",+6%,"0,7",-31%,65,+1%,"5,2",+19%,13,-2%,"1,4",+10%,"0,56",+10%,11,+148%,D,+148%,48.2%,30.5%,12.1%,8.1%,1.1%,0.0%,95,,,,"['Bio', 'Agriculture UE/Non UE', 'en:palm-oil-free']",,,,,,,,,,
1653,Banane cavendich biologique,2805379012009,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-10', 'AB Agriculture Biologique']",,,,,,,,,,
1654,3419466238471,3419466238471,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1655,Pur soupe - Liebig - 1litre,112302654,,['Liebig'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,1 litre,,,,,,,,,,,,
1656,Clara de huevo - Roig,8437008240312,D,['Roig'],"[""Produits d'élevages"", 'Œufs']","['France', 'Espagne']",[],[],0.5 g,en faible quantité,0 g,en faible quantité,1.1 g,en faible quantité,0.16 g,en faible quantité,?,,50,-62%,209 kj(50 kcal),-62%,"0,5",-95%,0,-100%,"1,1",+62%,"1,1",+126%,10,-19%,"0,16",-39%,"0,064",-39%,-5,,A,,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,,,,['Sans additifs'],,,,,,,,,,
1657,Pop-Tarts Glaçage à La Myrtille - Kellogg's - 416g,0038000310102,D,"[""Kellogg's""]","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Tartes', 'Biscuits', 'Tartes sucrées', 'Pâtisseries', 'Grillardises']","['France', 'États-Unis']","['Enriched flour ', 'wheat flour', 'niacin', 'reduced iron', 'vitamin b1 [thiamin mononitrate]', 'vitamin b2 [riboflavin]', 'folic acid', 'corn syrup', 'high fructose corn syrup', 'dextrose', 'soybean and palm oil ', 'with tbhq for freshness', 'sugar', 'cracker meal', 'contains two percent or less of wheat starch', 'salt', 'dried blueberries', 'dried grapes', 'dried apples', 'leavening ', 'baking soda', 'sodium acid pyrophosphate', 'monocalcium phosphate', 'citric acid', 'milled corn', 'gelatin', 'soybean oil', 'modified corn starch', 'modified wheat starch', 'soy lecithin', 'xanthan gum', 'caramel color', 'red 40', 'vitamin a palmitate', 'niacinamide', 'reduced iron', 'natural and artificial flavor', 'blue 2', 'blue 1', 'vitamin b6 ', 'pyridoxine hydrochloride', 'color added', 'turmeric extract', 'vitamin b2 ', 'riboflavin', 'vitamin b1 ', 'thiamin hydrochloride']","['Huile de palme', 'Non végétalien', 'Non végétarien']",9.62 g,en quantité modérée,2.88 g,en quantité modérée,30.8 g,en quantité élevée,0.795 g,en quantité modérée,?,,385,-2%,1611 kj(385 kcal),-2%,"9,62",-3%,"2,88",-18%,"73,08",+3%,"30,77",-6%,"3,85",-10%,"0,795",-25%,"0,318",-25%,14,-17%,D,-17%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,416 g,"['Carton', 'Plastique']",,"['Gluten', 'Soja']",4,,,,"['E500ii - Carbonate acide de sodium', 'E450i - Pyrophosphate de sodium acide', 'E341i - Phosphate monocalcique', 'E330 - Acide citrique', 'E428 - Gélatine', 'E322i - Lécithine', 'E415 - Gomme xanthane', 'E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition', 'E129 - Rouge allura AC', ""E132 - Indigotine carmin d'indigo"", 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition', 'E100 - Curcumine']",,,,The Kellogg Company
1658,Raisins secs Golden - Boni - 250g,5400141205374,D,['Boni'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Raisins secs']","['Belgique', 'France']","['Raisins secs - Raisins secs Golden', 'huile de tournesol', 'antioxydant ', 'E220', 'contient des sulfites']",[],0.8 g,en faible quantité,0.2 g,en faible quantité,60 g,en quantité élevée,0.02 g,en faible quantité,?,,337,+7%,1410 kj(337 kcal),+7%,"0,8",+38%,"0,2",+43%,74,+2%,60,-4%,"2,6",-8%,"0,02",-63%,"0,008",-63%,3,-47%,C,-47%,37.4%,55.6%,3.3%,1.3%,2.3%,0.0%,44,Raisins secs blonds,250 g,['Sachet'],,['Anhydride sulfureux et sulfites'],3,,,['Colruyt'],"['E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition']",,,,
1659,Expresso Ethical Coffee Company inca soave - 50g,7640143680795,,['Ethical Coffee Company'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Cafés', 'Dosettes', 'Cafés en dosettes', 'Cafés en dosettes compatible Nespresso']",['France'],"['café Arabica pure origine', 'Pérou']",[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,50 g,['10 capsules compatibles Nespresso'],"['Bio', 'Commerce équitable', 'Fairtrade International']",,,,,,,['Pérou'],,,
1660,Chili  con carne - monoprix - 300g,3350033459014,E,['Monoprix'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Chili con carne']",['France'],"['Riz cuit 30% ', 'eau', 'riz', ' - tomate pelée concassée 19% ', 'tomate', 'jus de tomate', ' - viande bovine cuite 14% ', 'origine : France', ' haricot rouge 7,9% ', 'haricot rouge', 'eau', 'sucre', 'sel', ' - oignon 6,2% - eau poivrons rouges', 'verts et oranges 3,7% - huile de tournesol - purée de tomate double concentrée 2,4% - cheddar râpé 2% ', 'lait pasteurisé', 'sel', 'ferments lactiques', 'coagulant microbien', 'amidon de pomme de terre', ' maïs doux en grains 1,6% ', 'mais', 'eau', 'sel', "" - beurre - épices 0,5% - ail - arômes naturels - farine de blé - sel - purée d'ail persil 0,1% - amidon transformé de riz - coriandre 0,08% - piments 0,03% - purée de tomate 0,02% - vinaigre d'alcool""]","['Non végétalien', 'Non végétarien']",7.3 g,en quantité modérée,2.8 g,en quantité modérée,1.5 g,en faible quantité,0.56 g,en quantité modérée,?,,146,+24%,611 kj(146 kcal),+22%,"7,3",+116%,"2,8",+150%,12,-2%,"1,5",-29%,"6,2",-8%,"0,56",-30%,"0,224",-30%,-1,,A,,94.4%,3.1%,0.8%,0.9%,0.5%,0.3%,14,,300g,['Barquette'],,"['Gluten', 'Lait']",4,,['29188A'],['Monoprix'],['E14XX - Amidons modifiés'],,,,
1661,Liquorice and peppermint,5060136750212,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1662,"Coquillettes Jambon Emmental, surgelées - monoprix - 300g",3350033156807,,['Monoprix'],"['Surgelés', 'Plats préparés', 'Plats à base de pâtes', 'Plats préparés surgelés']",['France'],"['Pâtes coquillettes cuites 46% ', 'eau ', 'semoule de blé dur', 'huile de tournesol', 'sel', ' - eau - jambon cuit supérieur 12% [jambon de porc ', 'origine UE', 'sel', 'sirop de glucose', 'dextrose', 'arômes naturels', 'antioxydant : ascorbate de sodium', 'conservateurs: nitrite de sodium] - crème 11% - emmental 8,8% - farine de blé - amidon transformé - lait entier en poudre - beurre - sel - arômes naturels ', 'contient lait', ' - extrait de poivre - muscade']","['Non végétalien', 'Non végétarien']",8.4 g,en quantité modérée,5.1 g,en quantité élevée,1.3 g,en faible quantité,0.7 g,en quantité modérée,?,,177,+19%,741 kj(177 kcal),+18%,"8,4",+20%,"5,1",+96%,16,+22%,"1,3",-38%,"8,7",+29%,"0,7",-8%,"0,28",-8%,4,+65%,C,+65%,,,,,,,,,300g,['Barquette'],,"['Gluten', 'Lait']",4,,['14630A'],['Monoprix'],"['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés']",,,,
1663,Gelatina melancia - Royal,7622210479716,,['Royal'],"['Desserts', 'Desserts gélifiés']",['France'],"['Água', 'gelatina ', '1,9 %', 'edulcorantes ', 'maltitol', 'aspartame', 'acessulfame K', 'reguladores de acidez ', 'ácido fumárico', 'citrato trissódico', 'ácido cítrico', 'aromas', 'corante ', 'E-163', 'sal', ' Contém uma fonte de fenilalanina', ' Produto isento de glúten']","['Non végétalien', 'Non végétarien']",0.1 g,en faible quantité,0.1 g,en faible quantité,0 g,en faible quantité,0.1 g,en faible quantité,?,,10,-81%,42 kj(10 kcal),-81%,"0,1",+183%,"0,1",+277%,"0,8",-92%,0,-100%,"1,6",+36%,"0,1",-30%,"0,04",-30%,0,-100%,B,-100%,,,,,,,,Sobremesa aquosa com gelatina sabor a melancia. Contém edulcorantes.,,,['Avec édulcorants'],,4,,,,"['E428 - Gélatine', 'E965 - Maltitol', 'E951 - Aspartame', 'E950 - Acésulfame K', 'E297 - Acide fumarique', 'E331iii - Citrate trisodique', 'E330 - Acide citrique', 'E163 - Anthocyanes']",,,,
1664,Tropézienne - Auchan - 500g,2090000179408,,['Auchan'],"['Tartes', 'Tartes sucrées', 'Tartes tropéziennes']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,500g,,,,,,,['Auchan'],,,,,
1665,Expresso Decaffeinato - Belle France,3258561031040,,['Belle France'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Cafés', 'Dosettes', 'Cafés décaféinés', 'Cafés en dosettes']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1666,French Candy Berlingot,3045431001407,,,,['France'],[],[],,,,,,,,,?,,389,,1628 kj(389 kcal),,"0,1",,"0,1",,"95,6",,"57,7",,"0,1",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,
1667,Coffret Breakfast,3585810045740,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1668,Geles Dulces Rellenitos Fresa - Miguelañez,8411823507379,E,['Miguelañez'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",['France'],[],[],3 g,en quantité modérée,2.7 g,en quantité modérée,60 g,en quantité élevée,0.133 g,en faible quantité,?,,332,-7%,1389 kj(332 kcal),-7%,3,+61%,"2,7",+155%,80,-4%,60,+3%,"2,2",+4%,"0,133",+10%,"0,053",+10%,16,+11%,D,+11%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,['Sans colorants'],,,,,,,,,,
1669,26062402,26062402,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1670,Pavé de Rumsteck Bio Sourires de campagne,3265980153833,,,"['Viandes', 'Bœuf', 'Pavé de rumsteck']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,"['FR 38.051.001 CE', 'Bougé-Chambalud (Isère, France)']",,,,,,
1671,Chocolat Bio de Gnaw - 100g,5060463490898,D,"['Gnaw', 'La chocolaterie de GNAW']","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",['France'],"['Masse de cacao *', 'sucre', 'beurre de cacao *', 'canneberges * ', '10%', ' ', 'canneberges *', 'sucre *', 'huile de tournesol *', 'noix de coco * ', '5%', 'poudre de vanille *', "" * ingrédients issus de l'agriculture biologique""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",35.8 g,en quantité élevée,22.5 g,en quantité élevée,42.7 g,en quantité élevée,0.1 g,en faible quantité,?,,532,-4%,2226 kj(532 kcal),-4%,"35,8",-9%,"22,5",-3%,"46,6",+21%,"42,7",+35%,"4,9",-36%,"0,1",+114%,"0,04",+114%,25,+18%,E,+18%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,100g,['Emballage recyclable 5PP'],"['Bio', 'Végétarien', 'Ecocert', 'Bio européen', 'Commerce équitable', 'en:gluten-free', 'Végétalien', 'AB Agriculture Biologique']",,3,['Royaume-Uni'],,"['Carrefour', 'Franprix', 'Cojean']",,"['France', 'Belgique', 'Brésil']",https://www.gnawchocolate-france.com,,
1672,Paella poulet fruits merle,3276559742273,C,,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à base de riz', 'Paëllas']",['France'],[],[],3.3 g,en quantité modérée,0.7 g,en faible quantité,1.2 g,en faible quantité,1 g,en quantité modérée,?,,128,-9%,536 kj(128 kcal),-9%,"3,3",-30%,"0,7",-34%,"17,6",+8%,"1,2",+5%,"6,7",-7%,1,+9%,"0,4",+9%,1,+9%,B,+9%,74.9%,10.9%,3.7%,6.9%,2.1%,1.5%,60,,,,,,,,,,,,,,
1673,Risotto,27008867,,,,['France'],[],[],,,,,,,,,?,,345,,1443 kj(345 kcal),,"1,1",,"0,4",,77,,"0,5",,"5,8",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,,
1674,Pain Complet,2030508079565,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1675,Ricoré - Nestlé,7163035676497,E,['Nestlé'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons instantanées', 'Chicorée soluble']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,9.1 g,en quantité élevée,0.23 g,en quantité modérée,?,,141,-33%,590 kj(141 kcal),-38%,0,-100%,0,-100%,"9,1",-78%,"9,1",-39%,"2,7",-51%,"0,23",-45%,"0,092",-45%,,,,,78.8%,9.8%,6.8%,3.1%,1.4%,0.0%,25,,,,,,,,,,,,,,
1676,8 Fondant Fancies - M&S,00252362,,['M&S'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux']","['France', 'Royaume-Uni']","['Sugar', 'Water', 'Wheatflour contains Gluten ', 'with Wheatflour', 'Calcium Carbonate', 'Iron', 'Niacin', 'Thiamin', ' Glucose Syrup', 'Vegetable Oils ', 'Palm', 'Rapeseed', 'Palm Kernel', 'Shea', ' Butter ', 'Milk', 'Vegetable Fats ', 'Palm', 'Shea', 'Humectant: Glycerol', 'Dried Egg', 'Milk Protein', 'Fat Reduced Cocoa Powder', 'Dried Egg White', 'Salt', 'Dried Whey ', 'Milk', 'Cornflour', 'Emulsifier: E471', 'Soya Lecithin', 'Raising Agent: E450', 'Sodium Bicarbonate', 'Preservative: E202', 'Flavourings', 'Colour: E120', 'Lutein']","['Huile de palme', 'Non végétalien', 'Non végétarien']",8.1 g,en quantité modérée,3.4 g,en quantité modérée,54.2 g,en quantité élevée,0.53 g,en quantité modérée,?,,369,-8%,1544 kj(369 kcal),-8%,"8,1",-58%,"3,4",-55%,"70,6",+42%,"54,2",+94%,"2,7",-50%,"0,53",-13%,"0,212",-13%,19,+6%,E,+6%,,,,,,,,8 sponge cakes topped with buttercream and covered in fondant icing,8,['Boite'],,"['Gluten', 'Lait', 'Soja']",4,['Uk'],,"['Mark et Spencer', 'Marks & Spencer']","['E422 - Glycérol', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E322i - Lécithine', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500ii - Carbonate acide de sodium', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E120 - Acide carminique', 'E161b - Lutéine']",['Union européenne'],,,
1677,Cheveux d'anges,3800114012442,,,,['France'],[],[],,,,,,,,,?,,296,,1238 kj(296 kcal),,"0,7",,"0,1",,53,,"0,3",,"7,3",,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,
1678,20884956,20884956,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679,Basil seed goût cocktail de fruits - Dem's - 290ml,8936143032115,B,"[""Dem's""]","['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'en:Basil seeds drinks', 'Boissons avec sucre ajouté']",['France'],"['Eau', 'Jus de Fruits Mixé: Ananas', 'Mangue', 'Fruit de la Passion', 'Sucre', 'Acide Citrique', 'Acide Ascorbique', 'Gelifiant: E418', 'Arome de Jus de Fruits', 'Colorants: E102', 'E110', 'E211']",[],0 g,en faible quantité,0 g,en faible quantité,11 g,en quantité élevée,0.3 g,en quantité modérée,?,,46,-28%,192 kj(46 kcal),-28%,0,-100%,0,,"11,5",-28%,11,-26%,0,-100%,"0,3",+92%,"0,12",+92%,16,+150%,E,+150%,36.8%,6.4%,25.7%,17.4%,10.7%,2.9%,70,,290ml,['Bouteille en verre'],,,4,,,,"['E330 - Acide citrique', 'E418 - Gomme gellane', 'E102 - Tartrazine', 'E110 - Jaune orangé S', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition']",,,,
1680,Biscuits Danois,5708413024280,,,,['France'],[],[],,,,,,,,,?,,507,,2121 kj(507 kcal),,24,,13,,66,,29,,"5,2",,"0,26",,"0,104",,,,,,,,,,,,,,,,,,,,,,,,,,
1681,Self-rising flour - Delhaize - 1kg,5400601063452,,['Delhaize'],,"['Belgique', 'France']",[],[],,,,,,,,,?,,340,,1423 kj(340 kcal),,"1,4",,"0,4",,68,,"0,6",,"11,9",,"1,63",,"0,652",,,,,,,,,,,,,,1 kg,,,,,,,['Delhaize'],,,,,
1682,Crostini integrali - Certossa - 250g,20345105,,['Certossa'],,"['France', 'Italie']",[],[],,,,,,,,,?,,407,,1703 kj(407 kcal),,"8,3",,"0,7",,"68,9",,"2,1",,"11,1",,2,,"0,8",,,,,,,,,,,,,,250 g,,,,,,,,,,,,
1683,Eau de fleur d'oranger,5285001292097,,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1684,Allumettes nature - Auchan - 450g,3596710438358,,['Auchan'],,['France'],[],[],,,,,,,,,?,,189,,791 kj(189 kcal),,12,,"3,9",,"0,5",,"0,5",,20,,"2,1",,"0,84",,,,,,,,,,,,,,450 g,['Frais'],['Fabriqué en France'],,,,"['EMB 44180', 'Saint-Mars-la-Jaille (Loire-Atlantique, France)']",['Auchan'],,,,,
1685,Crème Dessert Au Chocolat - Yabon,3034470002711,,['Yabon'],,['France'],[],[],,,,,,,,,?,,120,,502 kj(120 kcal),,"3,3",,2,,"18,2",,"15,9",,"3,8",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1686,Yaourt nature fermier,3760175730016,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1687,Grüntee mit minze geschmack,4251093300164,,,,['France'],[],[],,,,,,,,,?,,78,,326 kj(78 kcal),,"0,5",,"0,1",,"4,3",,"4,3",,"0,5",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,,
1688,Himalayan Pink Salt,0667888263295,B,,"['Epicerie', 'Condiments', 'Sels', ""Sels de l'Himalaya""]",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,21 g,en quantité élevée,?,,0,-100%,0 kj(0 kcal),-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,21,-63%,"8,4",-63%,,,,,50.9%,0.0%,27.5%,11.1%,10.5%,0.0%,98,,,,,,,,,,,,,,
1689,Cadbury F / T Cocoa 125g - 125gr,5034660021421,,['Cadbury'],['Boisson chocolatée'],"['France', 'Portugal']","['Cocoa powder acidity regulator ', 'sodium carbonate']",[],21.5 g,en quantité élevée,15.5 g,en quantité élevée,2 g,en faible quantité,1.4 g,en quantité modérée,?,,415,,1736 kj(415 kcal),,"21,5",,"15,5",,"15,5",,2,,23,,"1,4",,"0,56",,16,,D,,,,,,,,,,125gr,"['Boite', 'composite-pot']",,,,,,,['E500i - Carbonate de sodium'],,,,
1690,chaussons au thon - La cuisine du poissonnier - 280g,04572077,,['La cuisine du poissonnier'],,['France'],"['farine de blé', 'thon listao 16,4% ', 'origine Equateur', 'eau', 'concassé de tomate ', 'tomates', 'jus de tomate', 'acidifiant: acide citrique', ""poivrons rouges rissolés à l'huile de tournesol"", 'beurre', 'oignons', ""courgettes rissolées à l'huile de tournesol"", 'ceuf entier', 'huile de tournesol', 'concentré de tomate', ""huile d'olive"", 'ail pulpe 1% ', 'ail', 'sel', 'sel,levure', 'amidon transformé de mais', 'cumin 0,1%', 'poivre noir', 'curcuma 0,01%']","['Non végétalien', 'Non végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,280g,,['Sans conservateurs'],"['Gluten', 'Lait']",4,,"['EMB 87085', 'Limoges (Haute-Vienne, France)']",,"['E330 - Acide citrique', 'E14XX - Amidons modifiés']",,,,
1691,Miel Acacia Hongrie - Gabriel Perronneau - 500g,3263620400361,B,"['Gabriel Perronneau', 'Apidis']","['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', ""Miels d'acacia""]",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,500 g,,,,,,,,,['Hongrie'],,,
1692,Puur wasabi soja boin - Albert Heijn - 100g,8718906698925,E,['Albert Heijn'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",['France'],"['cacaomassa', 'suiker', 'cacaoboter', '2,5% mierikswortel', '1,5% gedroogde sojaboon', '1,5% gedroogde edamameboon', 'gemodificeerd maïszetmeel', 'zwarte boon', 'tarwebloem', 'plantaardige olie ', 'palm', 'kokos', 'zonnebloem', 'emulgator ', 'sojalecithine', 'E471', 'natuurlijk vanille - aroma', 'dextrose', 'zout', 'rijsmiddel ', 'E503', 'spirulina', 'specerijen ', 'o', 'a', ' mosterdzaad', 'maltodextrine', 'mosterdmeel', 'gistextract', 'mierikswortelpoeder', 'voedingszuur ', 'citroenzuur', 'dextrine', 'maïszetmeel', 'mosterdpoeder', 'wasabipoeder', 'mosterdolie', 'capsicumextract', 'stabilisator ', 'arabische gom', ' Cacaobestanddelen ten minste 58%']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,100 g,,,,4,,,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", ""E503 - Carbonates d'ammonium"", 'E1400 - Dextrines']",,,,
