,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,quantity,packaging,labels,allergens,nova_score,manufacturing,traceability_code,markets,additives,ingredients_origins,link,palm_ingredients,brand_owner
31,Daube à la provencale -  - 650g,3760028710103,,,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Daubes']",['France'],[],[],3 g,en quantité modérée,2.38 g,en quantité modérée,1 g,en faible quantité,0.9 g,en quantité modérée,?,,526,+308%,2201 kj(526 kcal),+308%,3,-45%,"2,38",+9%,3,+30%,1,+6%,"13,7",-12%,"0,9",+27%,"0,36",+27%,11,+6487%,D,+6487%,,,,,,,,,650 g,,"['Fabriqué en France', 'Sans colorants']",,,,,,,,,,
32,Queues de crevettes cuites semi decortiquees marinees ail,2869643060875,D,,"['Produits de la mer', 'Crustacés', 'Crevettes', 'Queues de crevettes', 'Crevettes décortiquées']",['France'],[],[],5.8 g,en quantité modérée,0.85 g,en faible quantité,0.5 g,en faible quantité,1.76 g,en quantité élevée,?,,116,+18%,485 kj(116 kcal),+18%,"5,8",+193%,"0,85",+76%,"0,6",+11%,"0,5",+123%,"15,4",-17%,"1,76",+2%,"0,704",+2%,3,-9%,C,-9%,78.1%,0.0%,4.9%,11.3%,2.5%,3.2%,38,,,,,,,,,,,,,,
33,Kool Aid Tropical Punch Big - Kraft Foods,0043000953501,,['Kraft Foods'],,['France'],[],[],,,,,,,,,?,,60,,251 kj(60 kcal),,0,,0,,16,,16,,0,,0,,0,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,
34,Saucisse de montbeliard IGP,2866863060944,D,,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses de Montbéliard']",['France'],[],[],27 g,en quantité élevée,9.9 g,en quantité élevée,0.8 g,en faible quantité,2.3 g,en quantité élevée,?,,361,+10%,1510 kj(361 kcal),+10%,27,-4%,"9,9",-12%,1,+15%,"0,8",+14%,17,+5%,"2,3",+5%,"0,92",+5%,23,+3%,E,+3%,72.4%,18.3%,4.1%,1.4%,0.8%,3.0%,28,,,,"['Sans lactose', 'Bleu Blanc Cœur']",,,,,,,,,,
35,Mousse de porc aromatisée aux herbes - Jean Brunet,3269617104519,,['Jean Brunet'],,['France'],[],[],,,,,,,,,?,,355,,1485 kj(355 kcal),,"33,1",,"12,4",,"3,6",,"1,3",,"11,1",,"1,79",,"0,716",,,,,,,,,,,,,,,,['Sans conservateurs'],,,,,,,,,,
36,Brousse Allégée en matières grasses - La fermière,3279231506446,,['La fermière'],,['France'],[],[],,,,,,,,,?,,123,,515 kj(123 kcal),,"5,1",,"3,8",,10,,"4,6",,"9,4",,"0,73",,"0,292",,,,,,,,,,,,,,,,,,,,,,,,,,
37,Stoney ginger,5449000166050,,,,['France'],[],[],,,,,,,,,?,,47,,197 kj(47 kcal),,0,,0,,"11,8",,"11,8",,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Pan crujiente cacao - Le Pain des Fleurs,3380380074097,B,['Le Pain des Fleurs'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Tartines craquantes']","['France', 'Espagne']",[],"['Végétalien', 'Végétarien']",2.3 g,en faible quantité,1 g,en faible quantité,15 g,en quantité élevée,0.06 g,en faible quantité,?,,394,+3%,1648 kj(394 kcal),+3%,"2,3",-50%,1,-3%,"83,3",+18%,15,+169%,"7,7",-22%,"0,06",-93%,"0,024",-93%,3,-2%,C,-2%,65.1%,19.7%,8.5%,5.9%,0.7%,0.0%,90,,,,"['Végétarien', 'Végétalien']",,,,,,,,,,
39,pain aux céréales - U Bio - 400g,18182133,,['U Bio'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains multicéréales']",['France'],"['Farine ', 'blé', 'seigle', 'épeautre', 'eau', 'mélange de graines 9% ', 'tournesol*', 'lin brun', 'sésame', 'millet', 'levain ', 'eau', 'farines de blé* et de malt de blé', 'amidon de blé', 'améliorant* ', 'farine de blé', 'gluten de blé', 'acide ascorbique', 'sel de Guérande', 'levure', ' Décor: azyme : amidon de mais', 'fécule de pomme de terre*', 'poudre de cacao', 'colorant:caramel', 'émulsifiant: lécithine de tournesol']",[],,,,,,,,,?,,112,,469 kj(112 kcal),,"4,1",,"0,6",,22,,1,,"4,6",,"0,36",,"0,144",,,,,,,,,,,,,,400 g,['Sachet'],['Bio'],"['Gluten', 'Graines de sésame']",4,,,"['Super U', 'Magasins U']","['E150 - Caramel', 'E322i - Lécithine']",,,,
40,75CL Pinot Gris Alsace Blanc 2009 - 75cL,3245414688117,C,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,75 cL,,,,,,,,,['France'],,,
