,name,bar_code,quantity,traceability_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,allergens,packaging,additives,nova_score,generic_name,palm_ingredients,manufacturing,link,ingredients_origins,markets,brand_owner
36,Moulage de chocolat noir - Confiserie Rohan,3400936819405,,,['France'],[],[],?,500,2092 kj(500 kcal),13,1,45,40,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Confiserie Rohan'],,,,,,,,,,,
37,"Ysomega 1 G Naturactive, 60 Capsules Molles",3400936846197,,,['France'],[],[],?,1,4 kj(1 kcal),0,0,0,0,"0,01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Nicorette Menthe Glaciale Gommes 4 MG Sans Sucre,3400937097628,,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Terbinafine - 15g,3400938987638,15 g,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['boîte'],,,,,,,,,
40,Pensement Urgo Optiskin,3401043375129,,,['France'],[],[],?,1,4 kj(1 kcal),1,1,1,1,1,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Kijimea Colon Irritable 28 Gelules,3401060038892,,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Léro Hydracur Phytodraineur - Laboratoire Lero,3401060099046,,,['France'],"[""au-Glycérine-Extraitdefleurd'hibiscus "", 'Hibiscussabdarlffo', ' f E\\tlòltdebaies de cynorrhodon ', 'Rosa canina', ' - Extrait de feuille de pissenlit ', 'Taraxacum officinale', ' - Extrait de feuille de cassis ', 'Ribes nigrum l', ' - Acidifiant : acide citrique Conservateurs sorbate de potassium', 'ben- 20atedesodium - Extrait de queue de cerise ', 'Cerosus vulgaris mill', ' - Extrait de sommité fleurie dereines-des-prés ', 'Filipendula ulmair', ""? Ilestdéconseilléchezles personnes souffrant d'allergie aux dérivés salicylés"", ' consommer de préférence avant fin :']",[],?,1,4 kj(1 kcal),1,1,1,1,1,0,0,,,['Boissons'],1 g,en faible quantité,1 g,en quantité modérée,1 g,en faible quantité,0 g,en faible quantité,,-98%,-98%,+188%,+747%,-91%,-89%,+102%,-100%,-100%,2,-74%,C,-74%,,,,,,,,['Laboratoire Lero'],,,['E330 - Acide citrique'],,,,,,,,
43,Lyomer spray - 100ml,3401073959580,100 ml,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Itinéraire des saveurs fraises,3401076665419,,,['France'],[],[],?,215,900 kj(215 kcal),"0,5","0,1","52,7","51,1","0,5","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Baccide Spray Assainissant Aux Huiles Essentielles,3401079963048,,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
