,name,bar_code,brand,labels,markets,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,packaging,ingredients_origins,manufacturing,nova_score,brand_owner,additives,allergens,link,palm_ingredients,generic_name,producer_info
297,Escalope de dinde,0209278017714,,,,['France'],[],[],?,127,"1,4","0,1","28,5",D,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,+5%,+6%,-97%,+24%,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,1.4 g,en faible quantité,0.5 g,en faible quantité,0.1 g,en faible quantité,0.875 g,en quantité modérée,531 kj(127 kcal),+5%,"0,5",+24%,"0,1",-87%,"0,875",+58%,"0,35",+58%,-1,,A,,,,,,,,,,,,,
298,Pesto de Basilic au soja - 30g,8015312774121,,"['Végétarien', 'en:gluten-free', 'Végétalien', 'Fabriqué en Italie']",,['France'],[],"['Végétalien', 'Végétarien']",?,444,46,"2,2",5,C,"['Epicerie', 'Sauces', 'Sauces Pesto', 'Pestos au basilic', 'en:Pesto au basilic']",,-1%,+4%,-63%,+5%,77.0%,10.9%,4.6%,4.2%,2.0%,1.4%,56,,46 g,en quantité élevée,4.9 g,en quantité modérée,1 g,en faible quantité,2.1 g,en quantité élevée,1858 kj(444 kcal),-1%,"4,9",-25%,1,-56%,"2,1",-15%,"0,84",-15%,18,-8%,D,-8%,30 g,,,,,,,,,,,
299,Proto-col Collagen Shot,5060260282160,,,,['France'],[],[],?,50,0,"7,1","4,8",,,,,,,,,,,,,,,,,,,,,,,,209 kj(50 kcal),,0,,7,,"0,04",,"0,016",,,,,,,,,,,,,,,,,
300,Jambon cru italien - 7.276kg,2323300072767,,,,['France'],[],[],?,159,"4,6",0,29,,,,,,,,,,,,,,,,,,,,,,,,665 kj(159 kcal),,"1,5",,0,,"6,1",,"2,44",,,,,,7.276 kg,,,,,,,,,,,
301,Confiture de griotte - Sabaton,3101740010049,['Sabaton'],,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,Jambon blanc,0206765019749,,,,['France'],[],[],?,167,"9,4",0,20,,,,,,,,,,,,,,,,,,,,,,,,699 kj(167 kcal),,"3,4",,0,,"1,7",,"0,68",,,,,,,,,,,,,,,,,
303,Saucisse à l ail des ours,3327750000706,,,,['France'],[],[],?,363,34,"2,1","11,6",,,,,,,,,,,,,,,,,,,,,,,,1519 kj(363 kcal),,12,,"0,6",,"2,1",,"0,84",,,,,,,,,,,,,,,,,
304,coeur fondant noisette - P'tit Déli,3564700519349,"[""P'tit Déli"", 'Marque Repère']",,['Leclerc'],['France'],[],[],?,495,23,64,"6,5",,,,,,,,,,,,,,,,,,,,,,,,2071 kj(495 kcal),,9,,37,,"0,44",,"0,176",,,,,,,,,,,,,,,,,
305,Saucisse aux choux,2309607004946,,,,['France'],[],[],?,182,"12,9","1,8","14,1",E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses de foie', 'Saucisses de foie de porc', 'Saucisses aux choux']",,-23%,-33%,-34%,+23%,88.6%,4.9%,1.5%,1.3%,0.8%,2.9%,27,,12.9 g,en quantité modérée,4.4 g,en quantité modérée,1.5 g,en faible quantité,1.8 g,en quantité élevée,761 kj(182 kcal),-21%,"4,4",-40%,"1,5",+38%,"1,8",-16%,"0,72",-16%,13,-26%,D,-26%,,,,,,,,,,,,
306,Salatka Firmowa,5900805091249,,,,['France'],[],[],?,24,"0,06","5,2","0,6",,,,,,,,,,,,,,,,,,,,,,,,100 kj(24 kcal),,0,,3,,"1,5",,"0,6",,,,,,,,,,,,,,,,,
307,Roti de porc cuit supérieur 4 tranches,2471248017125,,"['Viande-francaise', 'Viande-porcine-francaise']",,['France'],[],[],?,139,"5,2","0,9","22,2",E,"['Viandes', 'Porc', 'Rôtis de porc']",,-3%,+3%,+10%,-1%,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,,5.2 g,en quantité modérée,2.1 g,en quantité modérée,0.8 g,en faible quantité,1.98 g,en quantité élevée,582 kj(139 kcal),-2%,"2,1",+0%,"0,8",+28%,"1,98",+15%,"0,792",+15%,11,+54%,D,+54%,,,,,,,,,,,,
308,Riz noir,3700209730056,,,,['France'],[],[],?,350,0,"71,8",0,,,,,,,,,,,,,,,,,,,,,,,,1464 kj(350 kcal),,0,,0,,0,,0,,,,,,,,,,,,,,,,,
309,Les Milanaises,2424536025128,,,,['France'],[],[],?,165,6,11,16,D,"['Viandes', 'Volailles', 'Volailles cuites', 'Dindes', 'Escalopes de dinde', 'Escalopes de dinde à la milanaise']",,+25%,+285%,+60%,-25%,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,6 g,en quantité modérée,3.2 g,en quantité modérée,1.9 g,en faible quantité,1.4 g,en quantité modérée,690 kj(165 kcal),+26%,"3,2",+502%,"1,9",+3%,"1,4",+55%,"0,56",+55%,11,+1501%,D,+1501%,,,,,,,,,,,,
310,11653709,11653709,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,Ricotta artisanale,2861426011388,,['Sans conservateurs'],,['France'],[],[],?,183,"15,38","3,05","8,21",,,,,,,,,,,,,,,,,,,,,,,,766 kj(183 kcal),,"10,47",,"2,91",,"0,17",,"0,068",,,,,,,,,,,,,,,,,
312,Soupe,3781664504505,,,,['France'],[],[],?,27,"0,4",4,"1,1",,,,,,,,,,,,,,,,,,,,,,,,113 kj(27 kcal),,"0,2",,"0,4",,"0,62",,"0,248",,,,,,,,,,,,,,,,,
313,Parmigiano reggiano -,2305534010425,,['AOP'],,['France'],[],[],?,402,30,0,32,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Parmigiano Reggiano']",,+0%,+1%,-100%,-1%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,30 g,en quantité élevée,20 g,en quantité élevée,0 g,en faible quantité,1.6 g,en quantité élevée,1682 kj(402 kcal),+1%,20,+1%,0,,"1,6",0%,"0,64",0%,17,+2%,D,+2%,,,,,,,,,,,,
314,Filet de porc et son jus aux fines herbes - Bigard,2222600027357,['Bigard'],"['Viande-francaise', 'Viande-porcine-francaise']",,['France'],"['Viande de porc 73%', 'eau', 'amidon et fécule pomme de terre', 'arômes naturels', 'sel', 'extrait de vin blanc', 'dextrose', 'huile de tournesol', 'plantes aromatiques 0,15% ', 'basilic', 'estragon', 'ciboulette', 'persil', 'extrait de bœuf ', 'échalote', ""huile d'olive vierge extra"", 'sel', 'ail', 'poivre', ' Fabriqué dans un atelier qui utilise : gluten', 'crustacés', 'oeuf', 'poissons', 'soja', 'lait', 'fruits à coques', 'céleri', 'moutarde', 'graines de sésames', 'sulfites', 'mollusques', ' Viande porcine origine France']","['Non végétalien', 'Non végétarien']",?,126,3,"0,8",24,,"['Viandes', 'Porc']",,-34%,-73%,-10%,+21%,,,,,,,,,3 g,en quantité modérée,0.9 g,en faible quantité,0.7 g,en faible quantité,1.2 g,en quantité modérée,527 kj(126 kcal),-33%,"0,9",-79%,"0,7",+14%,"1,2",-37%,"0,48",-37%,1,-91%,B,-91%,,,,,4,,,,,,,
315,Raak orange mangue,87331035,,,,['France'],[],[],?,20,0,"4,9",0,,,,,,,,,,,,,,,,,,,,,,,,84 kj(20 kcal),,0,,"4,7",,0,,0,,,,,,,,,,,,,,,,,
316,Thé Pu-erh impérial Bio,5413393802413,,['Bio'],,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,Saucisse sèche,0257166034701,,,,['France'],[],[],?,424,"34,7","3,92","26,3",,,,,,,,,,,,,,,"['FR 63.165.009 CE', 'Giat (Puy-de-Dôme, France)']",,,,,,,,,1774 kj(424 kcal),,"12,9",,"1,47",,"4,73",,"1,892",,,,,,,,,,,,,,,,,
318,Doony's sucrée,0207394013788,,,,['France'],[],[],?,419,23,47,"5,1",B,"['Biscuits et gâteaux', 'Gâteaux', 'Donuts']",,+2%,+1%,+5%,-14%,65.3%,17.3%,8.4%,4.6%,4.4%,0.0%,87,,23 g,en quantité élevée,10 g,en quantité élevée,15 g,en quantité élevée,1 g,en quantité modérée,1753 kj(419 kcal),+3%,10,-6%,15,-11%,1,+5%,"0,4",+5%,21,+8%,E,+8%,,,,,,,,,,,,
319,Baguette bûcheron,3478920001228,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,Soupe de poissons de Loire & Écrevisses,3760029052417,,,,['France'],[],[],?,71,"8,3","2,2",0,E,"['Plats préparés', 'Soupes', 'Soupes à réchauffer', 'Soupes de poissons']",,+48%,+337%,+21%,-100%,89.9%,2.6%,1.2%,5.2%,0.8%,0.3%,25,,8.3 g,en quantité modérée,0 g,en faible quantité,0.5 g,en faible quantité,0.59 g,en quantité modérée,297 kj(71 kcal),+49%,0,-100%,"0,5",-23%,"0,59",-33%,"0,236",-33%,2,+129%,B,+129%,,,,,,,,,,,,
321,Salatka z burakow czerwonych,5907597400693,,,,['France'],[],[],?,47,"0,1","10,2","1,4",,,,,,,,,,,,,,,,,,,,,,,,197 kj(47 kcal),,"0,02",,"7,8",,"1,24",,"0,496",,,,,,,,,,,,,,,,,
322,Millefeuille,0020409110100,,,,['France'],[],[],?,?,?,?,?,B,"['Biscuits et gâteaux', 'Pâtisseries', 'Millefeuilles']",,,,,,73.1%,14.7%,6.0%,3.0%,3.2%,0.0%,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,Touron Croquant à L'ancienne Au Miel 200GR,3301510101223,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,Reduced sugar blackcurrant jam - Waitrose,5000169027790,['Waitrose'],,['Waitrose'],['France'],"['Blackcurrants', 'sugar', 'gelling agent ', 'pectin', 'acidity regulator ', 'sodium citrates', 'preservative ', 'potassium sorbate', 'acid ', 'citric acid', ' Prepared with 66g of fruit per 100g', ' Total sugar content 44g per 100g']",[],?,178,"0,7","40,6","0,7",D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de cassis']",,-23%,+148%,-25%,+16%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,0.7 g,en faible quantité,0.4 g,en faible quantité,39.2 g,en quantité élevée,0.33 g,en quantité modérée,745 kj(178 kcal),-22%,"0,4",+554%,"39,2",-24%,"0,33",+1127%,"0,132",+1127%,9,-3%,C,-3%,,,,,4,,"['E440 - Pectines', 'E331 - Citrates de sodium', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique']",,,,,
325,Podravka Homemade Meatsoup,3850104004964,['Podravka'],,,['France'],[],[],?,397,17,49,10,,,,,,,,,,,,,,,,,,,,,,,,1661 kj(397 kcal),,"9,9",,10,,"16,2",,"6,48",,,,,,,,,,,,,,,,,
326,"Eau minérale naturelle - Evian - 1,5l",9683346846450,['Evian'],,,['France'],['eau minérale naturelle'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,?,?,?,,"['Boissons', 'Eaux', 'Eaux de sources', 'Eaux minérales', 'Eaux minérales naturelles']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-100%,A,-100%,"1,5 l","['Bouteille', 'Plastique']","['France', 'Evian']",,1,,,,,,,
327,Baguette cereales bio,3000000117408,,['Bio'],,['France'],[],[],?,0,"7,3",64,0,,,,,,,,,,,,,,,,,,,,,,,,0 kj(0 kcal),,"1,1",,"2,3",,0,,0,,,,,,,,,,,,,,,,,
328,Lait de noix de coco - TAS Brand - 400ml,0804531210705,['TAS Brand'],,,['France'],[],[],?,244,6,"0,9","0,7",B,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Laits de coco']",,+54%,-62%,-68%,-45%,30.3%,10.4%,21.2%,23.2%,11.5%,3.4%,75,,6 g,en quantité modérée,5.4 g,en quantité élevée,0.7 g,en faible quantité,0 g,en faible quantité,1021 kj(244 kcal),+56%,"5,4",-60%,"0,7",-58%,0,-100%,0,-100%,8,-16%,C,-16%,400 ml,"['Conserve', 'métal']",,,,,,,,,,
329,"Miel de châtaignier d'Ardèche - Hediard - 4,4l oz",3418321264792,['Hediard'],,,['France'],[],[],?,?,?,?,?,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de châtaignier']",,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,,,,,,,,,,"4,4 l oz",,,,,,,,,,,
330,Lapin en chocolat - Hema,8716618265527,['Hema'],,,['France'],[],[],?,547,"33,6","52,9","7,2",,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Moulages en chocolat', 'Aliments de Pâques', 'Lapins en chocolat']",,-1%,-2%,-1%,+10%,,,,,,,,,33.6 g,en quantité élevée,20.2 g,en quantité élevée,51.8 g,en quantité élevée,0.21 g,en faible quantité,2289 kj(547 kcal),-1%,"20,2",-3%,"51,8",-1%,"0,21",+8%,"0,084",+8%,26,-1%,E,-1%,,,,,,,,,,,,
331,Beet boost,7310130009129,,,,['France'],[],[],?,350,"3,4",62,"8,8",,,,,,,,,,,,,,,,,,,,,,,,1464 kj(350 kcal),,1,,"3,4",,"1,2",,"0,48",,,,,,,,,,,,,,,,,
332,Women s best fit whey,9010128010899,"[""Women's Best""]",,,['France'],[],[],?,372,"3,6","4,7","79,6",,,,,,,,,,,,,,,,,,,,,,,,1556 kj(372 kcal),,"2,1",,"2,9",,"0,78",,"0,312",,,,,,,,,,,,,,,,,
333,Escalopes de Dinde - Père Dodu,2447038035952,['Père Dodu'],"['Viande-francaise', 'Volaille-francaise']",,['France'],['2 escalopes de dinde'],[],?,?,?,?,?,C,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,,,,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,"['FR 79.179.002 CE', 'Moncoutant (Deux-Sèvres, France)']",,,,,,,,,,,,,,,,,,,,,,,,"['Barquette', 'Plastique', 'Frais']",['France'],,,,,,,,,
334,Me yaourt bio Vanille infusée,3760210220038,,['Bio'],,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,Biscuits céréales - Louvat - 100g,3308960041055,['Louvat'],,,['France'],[],[],?,406,"15,2",61,"5,3",,,,,,,,,,,,,,,"['EMB 38386', 'Saint-Geoire-en-Valdaine (Isère, France)']",,,,,,,,,1699 kj(406 kcal),,"6,7",,"34,7",,"0,84",,"0,336",,,,,,100 g,,,,,,,,,,,
336,Assortiment de fruits sucrés,3364691335269,,,,['France'],[],[],?,93,"3,3",40,"3,3",,,,,,,,,,,,,,,,,,,,,,,,389 kj(93 kcal),,"3,3",,"3,3",,0,,0,,,,,,,,,,,,,,,,,
337,Chiffonnade de jambon sec VPF de montagne - 0.097kg,2871722015157,,,,['France'],[],[],?,240,14,"0,5",29,E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons crus', 'Jambons secs']",,+3%,+9%,-15%,0%,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,,14 g,en quantité modérée,5.3 g,en quantité élevée,0.5 g,en faible quantité,6.4 g,en quantité élevée,1004 kj(240 kcal),+2%,"5,3",+9%,"0,5",+33%,"6,4",+27%,"2,56",+27%,17,+2%,D,+2%,0.097 kg,,,,,,,,,,,
338,Pistaches Grillées Salées,3700146203972,,,,['France'],[],[],?,582,45,19,21,,,,,,,,,,,,,,,,,,,,,,,,2435 kj(582 kcal),,"5,5",,"7,7",,1,,"0,4",,,,,,,,,,,,,,,,,
339,Poulet Cuit - Fumé au bois de Hêtre - 1.564kg,2209629005559,,,,['France'],[],[],?,170,"9,6",1,20,,,,,,,,,,,,,,,,,,,,,,,,711 kj(170 kcal),,"2,8",,"0,9",,"1,3",,"0,52",,,,,,1.564 kg,,,,,,,,,,,
340,Pain au quinoa,0206283010822,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,Moringa tea,0738283962059,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,Magret de canard,2437468052285,,,,['France'],[],[],?,?,?,?,?,E,"['Viandes', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Volailles', 'Plats à la volaille', 'Plats au canard', 'Canards', 'Magrets de canard']",,,,,,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,100%vegetel avoine riz amande,0205661008536,,,,['France'],[],[],?,403,"1,7",18,"1,3",,,,,,,,,,,,,,,,,,,,,,,,1686 kj(403 kcal),,"0,7",,10,,"0,1",,"0,04",,,,,,,,,,,,,,,,,
344,Pain bûcheron 400g - 0.400kg,0221041012146,,,,['France'],[],[],?,240,"0,9",47,"8,8",,,,,,,,,,,,,,,,,,,,,,,,1004 kj(240 kcal),,"0,2",,0,,"1,3",,"0,52",,,,,,0.400 kg,,,,,,,,,,,
345,Tomates séchées,2600102021521,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,Fundiez apple,8710998412557,,,,['France'],[],[],?,426,20,56,"3,5",,,,,,,,,,,,,,,,,,,,,,,,1782 kj(426 kcal),,"9,5",,30,,"0,7",,"0,28",,,,,,,,,,,,,,,,,
347,Saucisson noisettes,2678259037528,,,,['France'],[],[],?,463,38,"2,8",27,,,,,,,,,,,,,,,,,,,,,,,,1937 kj(463 kcal),,13,,"1,3",,"4,5",,"1,8",,,,,,,,,,,,,,,,,
348,Confiture 55% fruits tomate verte - Vergers de Vendée - 350g,3770002248409,['Vergers de Vendée'],,,['France'],"['tomate verte', 'sucre', 'agar agar']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,212,0,53,"0,5",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Légumes et dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Tomates et dérivés', 'Confitures et marmelades', 'Confitures', 'Confitures de tomates', 'en:vegetable-jams']",,-1%,-100%,-2%,+0%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,"['EMB 79269', 'Saint-Maixent-de-Beugné (Deux-Sèvres, France)']",0 g,en faible quantité,0 g,en faible quantité,53 g,en quantité élevée,0 g,en faible quantité,887 kj(212 kcal),-1%,0,-100%,53,-1%,0,-100%,0,-100%,7,-9%,C,-9%,350 g,"['Pot', 'Verre', 'Aluminium']","['France', 'Bessay']",,4,,['E406 - Agar-agar'],,,,,
349,"Lasagnes boeuf façon ""Moussaka"" - Pâtes Daminiani - 300g",3760060588302,"['Pâtes Daminiani', 'Daminiani']","['Viande Française', 'Sans colorants', 'Sans conservateurs', 'Viande-bovine-francaise']",,['France'],"['Pâte : semoule de blé dur', 'œufs 30 g par kg de semoule', 'eau', "" \rFarce : viande de bœuf d'origine française "", '100% muscle', 'sauce tomate ', 'tomates', 'oignons', ""huile d'olives"", 'sel', 'poivre', 'crème fraîche à 15% MG', 'emmental rapé', 'aubergines grillées', 'oignons', ""huile d'olive vierge"", 'sel', 'poivre']",['Non végétalien'],686,?,10,"8,9",9,,"['Plats préparés', 'Plats à base de pâtes', 'Lasagnes préparées']",+27%,,+65%,-29%,+45%,,,,,,,,,10 g,en quantité modérée,4.3 g,en quantité modérée,0.7 g,en faible quantité,0.74 g,en quantité modérée,686 kj(164 kcal),+23%,"4,3",+69%,"0,7",-73%,"0,74",-5%,"0,296",-5%,4,+69%,C,+69%,300 g,"['Barquette', 'Plastique']",,['France'],3,,,"['Œufs', 'Gluten', 'Lait']",,,,
350,Rillettes de maquereau au piment d'espelette,3770011036073,,,,['France'],[],[],?,16,"9,7","6,4",11,E,"['Produits de la mer', 'Produits à tartiner', 'Poissons', 'Produits à tartiner salés', 'Rillettes', 'Préparations de poisson', 'Rillettes de poissons', 'Rillettes de maquereau']",,-93%,-48%,+178%,-13%,88.2%,4.1%,1.6%,5.2%,0.7%,0.2%,25,,9.7 g,en quantité modérée,2.8 g,en quantité modérée,1.8 g,en faible quantité,0.8 g,en quantité modérée,67 kj(16 kcal),-93%,"2,8",-62%,"1,8",+62%,"0,8",-28%,"0,32",-28%,0,-100%,B,-100%,,,,,,,,,,,,
351,Bugnes à la fleur d'oranger,3173310013934,,,,['France'],[],[],?,416,"19,4","49,6","9,8",,,,,,,,,,,,,,,,,,,,,,,,1741 kj(416 kcal),,"12,4",,"9,9",,"0,94",,"0,376",,,,,,,,,,,,,,,,,
352,Caviar d'aubergine,3760194320007,,"['Sans colorants', 'Sans conservateurs']",,['France'],[],[],?,134,"17,2","3,5","1,6",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Pâtes à tartiner végétales', ""Caviars d'aubergine""]",,-28%,+3%,-34%,+3%,,,,,,,,,17.2 g,en quantité modérée,2.3 g,en quantité modérée,2.8 g,en faible quantité,1.3 g,en quantité modérée,561 kj(134 kcal),-27%,"2,3",+11%,"2,8",-6%,"1,3",+14%,"0,52",+14%,8,+21%,C,+21%,,,,,,,,,,,,
353,Pastis landais,0260221052480,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,Fruits de mer Jacques Bockel,2010051740013,,,,['France'],[],[],?,516,32,"53,14","5,42",,,,,,,,,,,,,,,,,,,,,,,,2159 kj(516 kcal),,"12,5",,0,,"5,6",,"2,24",,,,,,,,,,,,,,,,,
355,Maroilles,0211080070191,,,,['France'],[],[],?,318,26,0,21,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Maroilles']",,-3%,-3%,-100%,-1%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,26 g,en quantité élevée,18 g,en quantité élevée,0 g,en faible quantité,2.3 g,en quantité élevée,1331 kj(318 kcal),-3%,18,+2%,0,-100%,"2,3",+7%,"0,92",+7%,18,+3%,D,+3%,,,,,,,,,,,,
356,Caramel bubble chocolate - Roshen,4823077615191,['Roshen'],,,['France'],[],[],?,546,"31,8","57,8","7,2",,,,,,,,,,,,,,,,,,,,,,,,2284 kj(546 kcal),,"18,9",,"57,8",,"0,29",,"0,116",,,,,,,,,,,,,,,,,
357,Quatre quart aux cerises,2030000022144,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,Poulette à croquer - Motta,3700125801687,['Motta'],['Bio'],,['France'],[],[],?,591,41,47,"6,3",,,,,,,,,,,,,,,,,,,,,,,,2473 kj(591 kcal),,25,,47,,"0,2",,"0,08",,,,,,,,,,,,,,,,,
359,Domaine De Clayou 2009,3362720030338,,,,['France'],[],[],?,?,?,?,?,,"['Boissons', 'Boissons alcoolisées', 'Vins']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,Boutargue,2415421157437,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,"['FR 94.041.004 CE', 'Ivry-sur-Seine (Val-de-Marne, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,natural vanilla extract - preema - 500ml,5021507164410,['Preema'],,['Noz'],"['France', 'Royaume-Uni']","['eau,glycol de mono propylène,extrait naturel de vanille']",[],?,?,?,?,?,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Additifs alimentaires', 'Arômes', 'Vanille', 'Arômes pâtisserie', 'Extrait de vanille']",,,,,,73.5%,0.0%,8.0%,13.6%,4.9%,0.0%,84,['5021507164410'],,,,,,,,,,,,,,,,,,,,,,,500ml,['store in cool dry place away from direct sunlight shake well before use'],['England'],['England'],1,,,,http://www.preema.co.uk,,,
362,Crispy green apple chips - Hema,8717763898820,['Hema'],,,['France'],[],[],?,354,"0,4",79,"2,1",,,,,,,,,,,,,,,,,,,,,,,,1481 kj(354 kcal),,"0,1",,59,,"0,02",,"0,008",,,,,,,,,,,,,,,,,
363,Bugnes natures,0209891019614,,,,['France'],[],[],?,391,16,53,"7,9",,,,,,,,,,,,,,,,,,,,,,,,1636 kj(391 kcal),,"4,4",,"8,6",,"0,95",,"0,38",,,,,,,,,,,,,,,,,
364,Orangettes enrobées chocolat noir 70% - 150g,3760242650513,,"['Bio', 'Bio européen', 'FR-BIO-01']",,['France'],[],[],?,491,"27,8","51,4","5,8",,,,,,,,,,,,,,,,,,,,,,,,2054 kj(491 kcal),,"16,6",,"46,25",,"0,04",,"0,016",,,,,,150 g,,,,,,,,,,,
365,Jambon a l'ancienne cuit au torchon,0253028031758,,"['Viande-francaise', 'Viande-porcine-francaise']",,['France'],[],[],?,177,"10,6","0,3","19,8",E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', ""Jambons cuits à l'ancienne""]",,+16%,+72%,-40%,-11%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,10.6 g,en quantité modérée,3.9 g,en quantité modérée,0.2 g,en faible quantité,1.7 g,en quantité élevée,741 kj(177 kcal),+16%,"3,9",+62%,"0,2",-59%,"1,7",-13%,"0,68",-13%,12,+23%,D,+23%,,,,,,,,,,,,
366,Cassoulet campagnard,3468521506024,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,Dates Mazafati,8718531641785,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,Smiley fizz,3116740035916,,,,['France'],[],[],?,341,0,"78,4","5,7",,,,,,,,,,,,,,,,,,,,,,,,1427 kj(341 kcal),,0,,"67,5",,"0,29",,"0,116",,,,,,,,,,,,,,,,,
