,name,bar_code,quantity,packaging,brand,labels,traceability_code,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,generic_name,categories,ingredients_origins,manufacturing,link,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,markets,origin_detail,palm_ingredients,brand_owner,producer_info
657,Aguacate hass ecológico,8436046500709,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
658,Gouda aux poivres,5900512110301,,,,,,['France'],[],,,[],,?,361,1510 kj(361 kcal),29,19,0,0,25,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659,Gros sel au piment d'espelette,3424090305376,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,Aloevera mango,0296427013116,,,,,,['France'],[],,,[],,?,4,17 kj(4 kcal),"14,4",0,11,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661,Orecchiette baresi dedicato,8007290330901,,,,,,['France'],[],,,[],,?,355,1485 kj(355 kcal),"1,5","0,5",71,3,13,0,0,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Orecchiette']",,,,1.5 g,en faible quantité,0.5 g,en faible quantité,3 g,en faible quantité,0 g,en faible quantité,,+3%,+4%,+6%,+47%,+5%,+13%,+10%,-100%,-100%,-1,,A,,,,,,,,,,,,,
662,Dragée Amandes,3322219103196,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663,Atún claro - Calvo - 4x52g,8410090051370,4x52g,['Latas'],['Calvo'],,,"['France', 'Espagne']","['Atún claro', 'aceite de oliva y sal']",,,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,?,?,,20,,0,,20,"1,2","0,48",D,,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Thons', 'Thons en conserve', 'Thons tropicaux', 'Thons albacore']",,,,20 g,en quantité modérée,,,,,1.2 g,en quantité modérée,,,,+857%,,-100%,,-20%,+24%,+24%,,,,,86.9%,0.0%,2.5%,9.0%,1.2%,0.3%,41,,,,,
664,2091626015224,2091626015224,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665,Pâte lentille de corail,4260654781090,,,,,,['France'],[],,,[],,?,379,1586 kj(379 kcal),"6,6",1,50,"2,2",26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666,Pave de saumon,2869878047757,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
