,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,quantity,brand,categories,traceability_code,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,nova_score,packaging,ingredients_origins,allergens,manufacturing,generic_name,link,additives,palm_ingredients
1041,Foie gras de canard - Monoprix Exploitation,3350033747036,['France'],[],[],?,521,2180 kj(521 kcal),53,23,"0,5","0,5","9,5","1,4","0,56",B,,"['Monoprix Exploitation', 'Monoprix Gourmet']","['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers', 'Foies gras de canard entiers']","['EMB 46102C', 'Figeac (Lot, France)']",,53 g,en quantité élevée,23 g,en quantité élevée,0.5 g,en faible quantité,1.4 g,en quantité modérée,,-2%,-1%,-2%,-1%,-79%,-62%,+26%,+17%,+17%,22,+6%,E,+6%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,,,,,,,,
1042,Sour filled pencils,5020243080077,['France'],[],[],?,380,1590 kj(380 kcal),"0,75","0,32",91,66,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1043,Strawberry yogurt,5099839579608,['France'],[],[],?,89,372 kj(89 kcal),"1,6",1,"13,8",12,"4,8","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1044,Mini rolle wafers,8004800005519,['France'],[],[],?,505,2113 kj(505 kcal),"23,9","21,9","66,8","48,8","3,7","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1045,Duck cracklings,0634158534508,['France'],[],[],?,673,2816 kj(673 kcal),"56,5","11,1","6,4","0,4","34,2","1,26","0,504",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046,Berocca,5010605401138,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047,Moutarde au roquefort et aux noix - Le Temps Des Mets,3760037571894,['France'],[],[],?,204,854 kj(204 kcal),"14,7","0,97","8,6","4,7","9,2","5,5","2,2",B,,['Le Temps Des Mets'],"['Epicerie', 'Condiments', 'Sauces', 'Moutardes']",,,14.7 g,en quantité modérée,0.97 g,en faible quantité,4.7 g,en faible quantité,5.5 g,en quantité élevée,,+20%,+20%,+36%,+18%,+25%,+22%,+40%,+17%,+17%,13,+12%,D,+12%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,,,,,,,,,
1048,Tocchetti di focaccia genovese,8032610252311,['France'],[],[],?,454,1900 kj(454 kcal),"15,9","2,5","66,9","3,1","9,9","2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049,Peze,9044400825673,['France'],[],[],?,400,1674 kj(400 kcal),"1,6","1,6",95,95,0,"0,83","0,332",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050,Jardin anglais,05685882,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,2",0,"0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
