,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,traceability_code,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,additives,allergens,nova_score,brand_owner,generic_name,packaging,ingredients_origins,markets,manufacturing,link,palm_ingredients,producer_info
698,Energy organic bar,4260278820403,,['France'],[],[],?,392,1640 kj(392 kcal),17,2,49,45,"7,9","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
699,Poulet émincé pommes de terre et champignons - Fleury Michon,3302740694028,['Fleury Michon'],['France'],[],[],?,308,1289 kj(308 kcal),13,"4,5",27,"2,5",19,"2,2","0,88",,,,,,,,,,,,,,,"['Sans colorants', 'Nutriscore', 'Nutriscore B']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,Activia,3033491380945,['Activia'],['France'],[],[],?,93,389 kj(93 kcal),"3,1",2,"12,6","12,6","3,6","0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701,Pâté de foie champenois tranche,0252540014492,,['France'],[],[],?,261,1092 kj(261 kcal),22,"8,4","2,3","1,6","11,5","1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
702,Pépite De Sucre D'érable,3760063320701,,['France'],[],[],?,352,1473 kj(352 kcal),"0,1","0,1",88,79,"0,1","0,011","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
703,Appenzeller,2463715028802,,['France'],[],[],?,422,1766 kj(422 kcal),34,21,1,0,28,"1,7","0,68",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de Suisse', 'Appenzeller']",,+13%,+12%,+6%,+12%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,['Fabriqué en Suisse'],,34 g,en quantité élevée,21 g,en quantité élevée,0 g,en faible quantité,1.7 g,en quantité élevée,+13%,+21%,-100%,+11%,+11%,17,+16%,D,+16%,,,,,,,,,,,,,
704,Terine de campagne au poivre vert - Jean Brunet,3269617103413,['Jean Brunet'],['France'],[],[],?,346,1448 kj(346 kcal),32,15,"0,8","0,4",13,"1,7","0,68",,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de campagne']",,+7%,+13%,-65%,-7%,,,,,,,,"['Fabriqué en France', 'Sans colorants', 'Sans conservateurs']",,32 g,en quantité élevée,15 g,en quantité élevée,0.4 g,en faible quantité,1.7 g,en quantité élevée,+7%,+39%,-54%,+6%,+6%,21,+8%,E,+8%,,,,,,,,,,,,,
705,Baguette pontchatelaine,2001306678335,,['France'],[],[],?,?,,?,,?,,?,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Baguettes']",,,,,,46.8%,27.9%,16.1%,8.1%,1.1%,0.0%,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,Hipp Hackfleisch,4062300266360,['Hipp'],"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
707,Parmigiano Reggiano,2449185018635,,['France'],[],[],?,402,1682 kj(402 kcal),30,20,0,0,32,"1,6","0,64",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Parmigiano Reggiano']",,+0%,+1%,-100%,-1%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,30 g,en quantité élevée,20 g,en quantité élevée,0 g,en faible quantité,1.6 g,en quantité élevée,+1%,+1%,,0%,0%,17,+2%,D,+2%,,,,,,,,,,,,,
708,Pousses de bambou - Go-Tan,8710605030679,['Go-Tan'],"['France', 'Suisse']",[],[],?,?,,?,,?,,?,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pousses', 'Pousses de bambou']",,,,,,87.9%,0.0%,0.0%,4.8%,5.7%,1.5%,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
709,Macaroni cheese - Tesco,5052004540193,['Tesco'],['France'],[],[],?,588,2460 kj(588 kcal),"1,8","1,1","24,3","2,6","5,7","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
710,Légumes pour wok,3270580756896,,['France'],[],[],?,52,218 kj(52 kcal),"1,4","0,2","4,8","3,9","3,8","0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
711,Fromage de chevre,3614170096496,,['France'],[],[],?,314,1314 kj(314 kcal),26,18,"1,4","0,5",18,"1,4","0,56",E,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de chèvre']",,+11%,+14%,-16%,+4%,91.6%,3.0%,2.1%,2.1%,0.9%,0.3%,33,,,26 g,en quantité élevée,18 g,en quantité élevée,0.5 g,en faible quantité,1.4 g,en quantité modérée,+11%,+12%,-48%,+4%,+4%,14,+5%,D,+5%,,,,,,,,,,,,,
712,Confiture de Savoie Pomme - Bellamy,3491500000558,['Bellamy'],['France'],"['Pommes', 'sucre', 'eau', 'pectine de fruits']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,241,1008 kj(241 kcal),"0,2",0,"58,4","57,6","0,35",0,0,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de pommes']",,+8%,-40%,+10%,+6%,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,['Sans conservateurs'],"['EMB 74126A', 'Fessy (Haute-Savoie, France)']",0.2 g,en faible quantité,0 g,en faible quantité,57.6 g,en quantité élevée,0 g,en faible quantité,+8%,-100%,+12%,-100%,-100%,12,+25%,D,+25%,,['E440 - Pectines'],,4,,,,,,,,,
713,Sirop d'agave,3760005726240,,['France'],[],[],?,?,,?,,?,,?,,,,"['Édulcorants', 'Sirops', 'Sirops simples', ""Sirops d'agave""]",,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
