,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,brand,traceability_code,quantity,markets,packaging,additives,allergens,nova_score,brand_owner,generic_name,manufacturing,ingredients_origins,link
53,Véritable andouille de Guémené,2210050004844,['France'],[],[],?,253,1059 kj(253 kcal),21,11,"0,5","0,5",16,"1,9","0,76",E,"['Viandes', 'Charcuteries', 'Andouilles', 'Andouilles de Guémené']",21 g,en quantité élevée,11 g,en quantité élevée,0.5 g,en faible quantité,1.9 g,en quantité élevée,,+1%,+2%,+4%,+9%,+33%,+78%,-2%,-21%,-21%,21,-3%,E,-3%,81.2%,13.0%,3.0%,0.8%,0.4%,1.6%,11,,,,,,,,,,,,,,
54,Bugnes,0208178020664,['France'],[],[],?,391,1636 kj(391 kcal),16,"4,4",63,"8,6","7,9","0,95","0,38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Filets de poulet,2227365050312,['France'],[],[],?,?,,?,,?,,?,0,0,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,
56,Chorizo,0237087038835,['France'],[],[],?,275,1151 kj(275 kcal),19,"3,5","1,4","0,6",74,"3,1","1,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Thé Le Père Fouettard,3760259310110,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Riettes de maquereau au vin blanc - Pêcheurs d'Islande,3760025370621,['France'],[],[],?,185,774 kj(185 kcal),13,"5,4","3,8",1,13,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""Pêcheurs d'Islande""]",,,,,,,,,,,,
59,Petit camembert bio à cuire - Laiterie St Hilaire de Briouze - 150g,3267031602000,['France'],[],[],1163,280,1163 kj(280 kcal),22,18,"0,5","< 0,5",20,"1,6","0,64",C,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Camemberts']",22 g,en quantité élevée,18 g,en quantité élevée,0.5 g,en faible quantité,1.6 g,en quantité élevée,+1%,+1%,+0%,+2%,+21%,-8%,+49%,0%,+3%,+3%,15,+4%,D,+4%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,"['Bio', 'Bio européen', 'FR-BIO-10']",['Laiterie St Hilaire de Briouze'],,150 g,,['Frais'],,,,,,,,
60,Escalope de poulet - Le Gaulois,0217650022836,['France'],[],[],?,?,,?,,?,,?,,,D,"['Viandes', 'Volailles', 'Poulets', 'Volailles cuites', 'Escalopes de poulet']",,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,['Le Gaulois'],,,,,,,,,,,,
61,Oignons rouges bio - 500g,3363296595061,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,500 g,,,,,,,,,,
62,Clove rock,5033305003891,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Beaufort - Reflets de France,0219751017513,['France'],[],[],1630,393,1630 kj(393 kcal),30,20,0,0,27,"1,3","0,52",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Beaufort']",30 g,en quantité élevée,20 g,en quantité élevée,0 g,en faible quantité,1.3 g,en quantité modérée,-2%,-2%,-3%,-7%,-3%,-100%,-100%,+2%,+14%,+14%,14,+1%,D,+1%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,['AOP'],['Reflets de France'],,,,,,,,,Fromage au lait cru de vache à pâte pressée cuite,,,
64,Duo de carotte et céleri finement râpés,2253032018248,['France'],[],[],?,547,2289 kj(547 kcal),12,"0,9",4,"2,6",1,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Rouille du pecheur - 400g,3701113700128,['France'],[],[],?,213,891 kj(213 kcal),17,"3,6","7,2","0,3","6,7","0,52","0,208",D,"['Epicerie', 'Sauces', 'Mayonnaises', 'Sauce rouille', 'Rouille']",17 g,en quantité modérée,3.6 g,en quantité modérée,0.3 g,en faible quantité,0.52 g,en quantité modérée,,-49%,-48%,-62%,-12%,+77%,-75%,+152%,-63%,-63%,3,-78%,C,-78%,81.1%,9.7%,5.1%,2.2%,1.9%,0.0%,53,,,,400 g,,,,,,,,,,
66,Pains au chocolat,07673831,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Soupe à l'oseille,3760242120177,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,La GRANDE box 4 fromages,0205736011034,['France'],[],[],?,190,795 kj(190 kcal),"8,7","4,3",20,"1,2","7,2",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,sirop a la violette - Nos régions ont du talent,3564709171968,['France'],[],[],?,312,1305 kj(312 kcal),"0,5","0,1",78,77,"0,5","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Nos régions ont du talent'],,,,,,,,,,,,
70,Ognion,3760109230056,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Tisane l'herboriste n.108 - Palais Des Thés - 40g,16598311,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],['Palais Des Thés'],,40 g,,,,,,,,,,
72,Navy Child's Chair Emeco,3000000004395,['France'],[],[],?,150,628 kj(150 kcal),"8,6","2,9","7,5",1,"11,4","0,48","0,192",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Fromage salers,0200009033195,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Monoprix'],['Film en plastique'],,,,,,,,
74,Butter cookies / Biscuits au beurre. - 1000g,0031784186253,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000 g,,,,,,,,,,
75,Fizzy pop shocks,3395503059554,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
