,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,brand,traceability_code,quantity,markets,packaging,additives,allergens,nova_score,brand_owner,generic_name,manufacturing,ingredients_origins,link
1757,Pot noodle original curry - 90g,8710522603437,['France'],[],[],?,145,607 kj(145 kcal),"5,4","2,6",21,2,"2,8","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90 g,,,,,,,,,,
1758,Ramen aux Légumes - 320g,5410238951602,['France'],[],[],?,74,310 kj(74 kcal),"0,9","0,1","12,5","1,4","4,1","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320 g,,,,,,,,,,
1759,Mais frit salé,8032669100342,['France'],[],[],?,419,1753 kj(419 kcal),12,"4,6",66,"0,7","7,2",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1760,50g,3760184280519,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50 g,,,,,,,,,,
1761,Organic great northern beans - Organics,0079893122014,"['France', 'États-Unis']","['Prepared organic great northern beans', 'water', 'sea salt']",[],?,77,322 kj(77 kcal),0,0,"14,62","0,77","5,38","0,192","0,077",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Légumineuses', 'Aliments à base de plantes en conserve', 'Légumineuses en conserve', 'Haricots en conserve']",0 g,en faible quantité,0 g,en faible quantité,0.77 g,en faible quantité,0.193 g,en faible quantité,,-13%,-13%,-100%,-100%,+24%,-4%,-5%,-73%,-73%,-8,,A,,40.4%,27.0%,12.4%,6.4%,8.7%,5.1%,79,['Bio'],['Organics'],,,,,,,3,Glencourt Inc.,,,,
1762,Giant cookie - Quai Sud,3662051003774,['France'],[],[],?,470,1966 kj(470 kcal),22,8,63,51,0,"0,237","0,095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Quai Sud'],,,,,,,,,,,,
1763,Mimolette vieille beffroi,2480970026893,['France'],[],[],?,385,1611 kj(385 kcal),29,21,"0,5","0,5",31,3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764,Boudin basque,2676350027684,['France'],[],[],?,248,1038 kj(248 kcal),20,"6,8",1,1,18,18,"7,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1765,Pain de campagne Auchan,0207302009841,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1766,Collection d'asie,3366760029840,['France'],[],[],?,219,916 kj(219 kcal),12,"2,1",20,"4,8","6,8","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1767,Crepes,0299016032475,['France'],[],[],?,262,1096 kj(262 kcal),"8,87","4,66","38,8","14,76","1,22","0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768,Ecume de Wimereux,2895041035757,['France'],[],[],?,275,1151 kj(275 kcal),"24,39","17,4","3,3","0,1","10,66","1,17","0,468",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 62.889.030 CE', 'Wierre-Effroy (Pas-de-Calais, France)']",,,,,,,,,,,
1769,Filets de poulet - La Nouvelle Agriculture,0213311069998,['France'],[],[],?,109,456 kj(109 kcal),"1,3","0,4",0,0,23,"0,11","0,044",D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",1.3 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,0.11 g,en faible quantité,,-17%,-16%,-55%,-46%,-100%,-100%,+1%,-85%,-85%,-4,,A,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,['La Nouvelle Agriculture'],,,,,,,,,,,,
1770,0261219100695,0261219100695,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Viande Française', 'Viande-bovine-francaise']",,,,,,,,,,,,,
1771,2 cuisses de lapin,2410710030705,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Point Vert'],,"['FR 81.120.006 CE', 'Labruguière (Tarn, France)']",,,,,,,,,,,
1772,Berlingots - DV SAS - 250g,3555080222141,['France'],[],[],?,?,,?,,?,,?,0,0,E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,['Fabriqué en France'],['DV SAS'],,250 g,,,,,,,,,,
1773,Aiguillettes de poulet cornflakes,0203730011029,['France'],[],[],?,?,,?,,?,,?,,,D,"['Viandes', 'Volailles', 'Poulets', 'Aiguillettes de poulet']",,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,
1774,Australie - Vin rouge,9311043007743,['France'],[],[],?,?,,?,,?,,?,,,D,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges']",,,,,,,,,,,,,,,,,,,,,,,38.9%,16.2%,33.0%,8.1%,2.4%,1.3%,43,,,,,,,,,,,,,,
1775,Confiture Framboise -,3565033750034,['France'],[],[],?,236,987 kj(236 kcal),"0,4",0,57,"52,5","0,51","0,05","0,02",C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de framboises']",0.4 g,en faible quantité,0 g,en faible quantité,52.5 g,en quantité élevée,0.05 g,en faible quantité,,+5%,+5%,+48%,-100%,+7%,+2%,-24%,+135%,+135%,11,+24%,D,+24%,65.8%,9.7%,13.4%,8.4%,2.2%,0.6%,60,,,,,,,,,,,,,,
1776,Terrine Auchan Au Cabillaud,3596710359875,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Auchan'],,,['Auchan'],,,,,,,,,
1777,Terrine forestiere - Despi,2274704015877,['France'],[],[],?,332,1389 kj(332 kcal),"29,3",12,7,"2,6","9,9","1,32","0,528",,['Terrines'],29.3 g,en quantité élevée,12 g,en quantité élevée,2.6 g,en faible quantité,1.32 g,en quantité modérée,,+10%,+11%,+14%,+26%,+223%,+232%,-29%,-14%,-14%,19,+7%,E,+7%,,,,,,,,,['Despi'],,,,,,,,,,,,
1778,Huile d'olive vierge extra - Auchan - 50cl,3596710364589,['France'],[],[],?,?,,?,,?,,?,,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,,,,,,,,,,,,,,,,,,,,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,['Auchan'],,50 cl,,,,,,,,,,
1779,Medaillon de foie gras de canard,2448695026895,['France'],[],[],?,367,1536 kj(367 kcal),35,15,"2,3",1,11,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1780,Galette - 300g,0654479276277,['France'],[],[],?,439,1837 kj(439 kcal),"21,4","13,7","55,9","24,4","4,8",1,"0,4",,"['Crêpes et galettes', 'Galettes']",21.4 g,en quantité élevée,13.7 g,en quantité élevée,24.4 g,en quantité élevée,1 g,en quantité modérée,,+120%,+120%,+317%,+520%,+92%,+1397%,-31%,-21%,-21%,24,+298%,E,+298%,,,,,,,,,,,300 g,['Casino'],,,,,,,,,
1781,Duo chèvres papaye,0203946019611,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1782,Sel aromatique cuisine & grillade,0204993017919,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1783,Japonica sushi rice,3760299440006,['France'],[],[],?,349,1460 kj(349 kcal),"0,6","0,1",78,"0,3","7,4","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784,Filet de poulet nourri aux graines de lin,0215679024602,['France'],[],[],?,114,477 kj(114 kcal),2,"0,2",0,0,24,"0,15","0,06",D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",2 g,en faible quantité,0.2 g,en faible quantité,0 g,en faible quantité,0.15 g,en faible quantité,,-13%,-12%,-31%,-73%,-100%,-100%,+5%,-80%,-80%,-4,,A,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,
1785,Ribambelle de la mer,3660806016949,['France'],[],[],?,213,891 kj(213 kcal),15,"2,3","4,7","3,3",15,"3,4","1,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1786,Houmous au sesame grille,3312345601017,['France'],[],[],?,?,,?,,?,,?,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Produits à tartiner salés', 'Pâtes à tartiner végétales', 'Houmous']",,,,,,,,,,,,,,,,,,,,,,,51.0%,18.6%,11.1%,13.1%,4.9%,1.3%,91,,,,,,,,,,,,,,
1787,Mimolette jeune - €co+,2860132013457,['France'],[],[],?,311,1301 kj(311 kcal),23,16,"0,5","0,5",26,"2,7","1,08",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Mimolettes', 'Mimolettes jeunes', 'Fromages-du-nord-pas-de-calais']",23 g,en quantité élevée,16 g,en quantité élevée,0.5 g,en faible quantité,2.7 g,en quantité élevée,,-3%,-3%,-5%,-2%,+56%,+59%,+1%,+6%,+6%,18,-2%,D,-2%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,"['Nutriscore', 'Nutriscore D']",['€co+'],,,,,,,,,,,,
1788,Original roast smooth peanutbutter,5060560280057,['France'],[],[],?,642,2686 kj(642 kcal),"53,9","6,2","12,2","6,3","24,3","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789,Gésiers cuisinés en confit,3230890849800,['France'],[],[],?,263,1100 kj(263 kcal),19,"5,4",0,0,23,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,
1790,Pâtes Fusili - Colavita,0039153140707,['France'],[],[],?,352.94117647059,1477 kj(352 kcal),"0,588","0,235","70,588","3,529","12,941","8,824","3,529",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Colavita'],,,,,,,,,,,,
1791,Bœuf aux haricots,3021690019599,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Halal'],,,,,,,,,,,,,
1792,Chocolate creamo,4823105800469,['France'],[],[],?,560,2343 kj(560 kcal),37,"17,1",41,0,"6,5","0,23","0,092",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1793,Harissa,6130294000180,['France'],[],[],?,?,,?,,?,,?,0,0,C,"['Epicerie', 'Sauces', 'Harissas']",,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,78.7%,9.3%,4.7%,4.8%,2.0%,0.5%,57,,,,,,,,,,,,,,
1794,2 biftecks tendres & savoureux - Charal,0292472043238,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Charal'],,,,,,,,,,,,
1795,Cuisse de poulet rôti - Le Gaulois,0217637039956,['France'],[],[],?,168,703 kj(168 kcal),10,"2,6",0,0,19,"1,4","0,56",D,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",10 g,en quantité modérée,2.6 g,en quantité modérée,0 g,en faible quantité,1.4 g,en quantité modérée,,-12%,-12%,-19%,-22%,-100%,-100%,+3%,+84%,+84%,5,+42%,C,+42%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,['Le Gaulois'],"['FR 72.264.002 CE', 'Sablé-sur-Sarthe (Sarthe, France)']",,,,,,,,,,,
1796,Citrons -,8438001588531,['France'],[],[],?,?,,?,,?,,?,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Agrumes', 'Fruits frais', 'Citrons', 'Citrons frais']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1797,Houmous à la mangue - 200g,0637913841217,['France'],[],[],?,277,1159 kj(277 kcal),"18,6","2,2","21,1","15,2","4,7","0,86","0,344",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Produits à tartiner salés', 'Pâtes à tartiner végétales', 'Houmous']",18.6 g,en quantité modérée,2.2 g,en quantité modérée,15.2 g,en quantité élevée,0.86 g,en quantité modérée,,+5%,+5%,-8%,-11%,+99%,+1034%,-28%,-17%,-17%,11,+120%,D,+120%,51.0%,18.6%,11.1%,13.1%,4.9%,1.3%,91,,,,200 g,,,,,,,,,,
1798,Sport shots sucette,3587361059108,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1799,Jardin oriental - Palais des Thés,2700966001254,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Palais des Thés'],,,,,,,,,,,,
1800,Thé kukicha sachets - Lima,5411788038034,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,B,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés']",,,,,,,,,,-100%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,0,-100%,B,-100%,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,['Lima'],,,,,,,,,,,,
1801,Waitrose Merlot Grape Juice,5000169180907,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Waitrose'],,,,,,,,,,,,
1802,Salsa mexicana - Ybarra - 250ml,8410086394634,['France'],[],[],?,386,1615 kj(386 kcal),35,"3,6",14,11,"2,2","1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Ybarra'],,250 ml,,,,,,,,,,
1803,Raclette en cube - 500g,3330410006710,['France'],[],[],?,344,1439 kj(344 kcal),28,18,1,"0,5",2,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 62.205.003 CE', 'Campagne-lès-Wardrecques (Pas-de-Calais, France)']",500 g,,,,,,,,,,
1804,Tavaillon de Savoie,2309637001700,['France'],[],[],?,206,862 kj(206 kcal),5,"1,2","0,7","0,6","38,8","4,52","1,808",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1805,Nem crevette + sauce nuoc mam,3701007300175,['France'],[],[],?,?,,?,,?,,?,0,0,C,"['Plats préparés', 'Nems']",,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,62.8%,18.1%,4.7%,5.0%,2.0%,7.4%,57,,,,,,,,,,,,,,
1806,Pain baguette,3289664214504,['France'],[],[],?,281,1176 kj(281 kcal),"0,7","0,1",56,"1,5",11,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1807,Saint agur,3651504005540,['France'],[],[],?,361,1510 kj(361 kcal),33,23,"0,5","0,5",16,"2,2","0,88",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte persillée', 'Fromages à pâte persillée français']",33 g,en quantité élevée,23 g,en quantité élevée,0.5 g,en faible quantité,2.2 g,en quantité élevée,,+1%,+1%,+8%,+8%,-33%,+146%,-18%,-23%,-23%,18,-3%,D,-3%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,"['Concours général agricole', ""Médaille d'argent du Concours général agricole"", ""Médaille d'argent du concours général agricole 2019""]","['Saint Agur', 'Savencia']",,,,['Frais'],,,,,,,,
1808,Miel des Pays Tarnais -,3770010615163,['France'],[],[],?,?,,?,,?,,?,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels français', 'Miels de châtaignier']",,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,
1809,Bière du Comté numéro 3 Ambrée,3760252660038,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1810,Mie goreng,8992735249750,['France'],[],[],?,270,1130 kj(270 kcal),12,2,28,23,3,"8,6","3,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1811,Tarallini - 40g,8003007813705,['France'],[],[],?,455,1904 kj(455 kcal),15,"1,9","70,5","1,7","8,7","2,6","1,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40 g,,,,,,,,,,
1812,Banano,7862119800567,['France'],[],[],?,100,418 kj(100 kcal),11,7,11,7,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1813,Dr. Aloe,8801382147572,['France'],[],[],?,10,42 kj(10 kcal),0,0,12,11,0,8,"3,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1814,Couronne aux pépites de chocolat,0250875019021,['France'],[],[],?,313,1310 kj(313 kcal),10,"6,1",46,14,"7,6","0,95","0,38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1815,Coppa espagnole,8422003003048,['France'],[],[],?,266,1113 kj(266 kcal),"14,5","4,9","0,91","0,23",33,"3,09","1,236",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['en:gluten-free', 'Fabriqué en Espagne']",,,,,,,,,,,,,
1816,Énergie Boost,3515450034163,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,
1817,Ail doux au piment - La Bodega,3700972900458,['France'],[],[],?,57,238 kj(57 kcal),"2,5","0,19","5,6","0,7","3,1","2,99","1,196",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Plantes condimentaires', 'Légumes et dérivés', 'Ail et dérivés', 'Ail']",2.5 g,en faible quantité,0.19 g,en faible quantité,0.7 g,en faible quantité,2.99 g,en quantité élevée,,-36%,-44%,+10%,-39%,-59%,-72%,-29%,+375%,+375%,4,,C,,58.5%,0.0%,0.0%,19.1%,16.5%,5.8%,98,,['La Bodega'],,,,,,,,,,,,
1818,Bases de pizza sin gluten y sin aceite de palma,8436018830704,['France'],[],[],?,395.33,1654 kj(395 kcal),"13,65","10,39","63,76","5,38","1,48","1,83","0,732",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1819,Cinco Jotas Cerdo Iberico Loncheado De p Loncheado De Presa,8410468002072,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1820,Milupa Aptamil Ha Pre Schoppen,7611471002160,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Milupa'],,,,,,,,,,,,
1821,Feves,0735143003075,['France'],[],[],?,393,1644 kj(393 kcal),"0,7",0,13,"1,6","8,9","0,75","0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1822,Champignons de Paris - 500g,3760129800062,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500 g,,,,,,,,,,
1823,La Chimie Du Slime,3373910028301,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1824,Organic baby food,0846675003249,['France'],[],[],?,6.19,26 kj(6 kcal),"1,77",0,"8,85","1,77","2,65","0,067","0,027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1825,Piémontaise au jambonsaveurs d'Antoine,3700009270097,['France'],[],[],?,?,,?,,?,,?,0,0,C,"['Plats préparés', 'Salades', 'Salades composées', 'Plats à base de pommes de terre', 'Salades de pommes de terre', 'Salades piémontaises']",,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,72.8%,14.2%,6.7%,3.8%,2.0%,0.5%,58,,,,,,,,,,,,,,
1826,Sauce tartare,3700238320075,['France'],[],[],?,656,2745 kj(656 kcal),"70,7","5,8","3,2","2,2","1,4","1,5","0,6",B,"['Epicerie', 'Sauces', 'Sauces tartare']",70.7 g,en quantité élevée,5.8 g,en quantité élevée,2.2 g,en faible quantité,1.5 g,en quantité modérée,,+25%,+26%,+30%,+28%,-32%,-19%,+20%,-16%,-16%,19,+9%,E,+9%,52.2%,31.5%,7.2%,5.2%,3.1%,0.8%,77,,,,,,,,,,,,,,
1827,Tilleuls des Baronnies Provençales,3760013112318,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,
1828,Miel de fleurs Nouvelle Aquitaine et gelée royale -,3425601535787,['France'],[],[],?,?,,?,,?,,?,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']",,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,
1829,Mandarine feuille  bio - 1kg,8437017382164,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'ES-ECO-020-CV']",,,1 kg,,,,,,,,,,
1830,cool fruits,72358597,['France'],[],[],?,51,213 kj(51 kcal),"0,2",0,11,10,"0,4",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE']",,,,,,,,,,,,,
1831,Le carafon,3322490032239,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1832,Olives à la romaine,2609806016208,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,Chocolat noir vegan artisanal au lait d'amande,3370077583056,['France'],[],"['Végétalien', 'Végétarien']",?,575,2406 kj(575 kcal),"42,3","26,2",42,19,"12,1","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Végétarien', 'en:gluten-free', 'Végétalien']",,,,,,,,,,,,,
1834,Happy baby organics pears,0819573014822,['France'],[],[],?,6.1946902654867,26 kj(6 kcal),"0,442",0,"14,16","6,195","1,77",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1835,Bâtonnets luc et lea,3511016055450,['France'],[],[],?,109,456 kj(109 kcal),2,1,0,0,9,4,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,Pain complet leclerc,0255827006562,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,Lait fermenté,04125648,['France'],[],[],?,180.43,755 kj(180 kcal),"1,1","0,7","4,8","4,8","3,4","0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1838,Bonbons artisanaux - 100g,5425032133031,['France'],[],[],?,369,1544 kj(369 kcal),"0,3",0,"98,2","98,2",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'BE-BIO-02']",,,100 g,,,,,,,,,,
1839,Miel eucalyptus - Miel Besacier,3110770007004,['France'],[],[],?,?,,?,,?,,?,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', ""Miels d'eucalyptus""]",,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,['Miel Besacier'],,,,,,,,,,,,
1840,Alubia blanca,8433329078917,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1841,Foie gras de canard entier,3579370504366,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1842,Sahlep - Sebahat - 200g,5411944369446,['France'],[],[],?,406,1699 kj(406 kcal),"2,9","1,5",93,85,2,"0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sebahat'],,200 g,,,,,,,,,,
1843,Cuisse de poulet,2607755029782,['France'],[],[],?,?,,?,,?,,?,,,D,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,"['FR 73.006.086 CE', 'Aime (Savoie, France)']",,,,,,,,,,,
1844,Ragusa Friends Blond 24er,7610008036098,['France'],[],[],?,582,2435 kj(582 kcal),38,16,51,48,8,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1845,Tisane Génépi,0745114253743,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
