,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,quantity,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,markets,traceability_code,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,packaging,allergens,nova_score,additives,generic_name,manufacturing,ingredients_origins,link,palm_ingredients,brand_owner
1175,Queso G.baquero Semicurado Mini,8412289000060,,['France'],[],[],?,417,1745 kj(417 kcal),"34,5","23,4","1,5","1,5",25,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1176,Lay's super chips kenz tomato ketchup - Heinz,8710398512031,,['France'],[],[],?,529,2213 kj(529 kcal),32,"2,6",53,"2,9","5,7","1,3","0,52",B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre']",32 g,en quantité élevée,2.6 g,en quantité modérée,2.9 g,en faible quantité,1.3 g,en quantité modérée,,-0%,-0%,-2%,-16%,+3%,+107%,-5%,0%,0%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,['Heinz'],,,13,+15%,D,+15%,,,,,,,,,,
1177,Saveur arabi goût veau,3286952408409,['Organisme de contrôle indépendant AVS halal'],['France'],[],[],?,212,887 kj(212 kcal),"18,1","6,15",0,0,"12,3","2,05","0,82",,,['Saussisson'],18.1 g,en quantité modérée,6.15 g,en quantité élevée,0 g,en faible quantité,2.05 g,en quantité élevée,,,,,,,,,,,,,,,,,,['Arabi'],,,17,,D,,,,,,,,,,,
1178,Green detox,5410063035843,,['France'],[],[],?,18,75 kj(18 kcal),0,0,"4,4","2,6",0,"0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1179,Roti de porc cuit choix,3180050138902,['Point Vert'],['France'],[],[],?,115,481 kj(115 kcal),"3,7","1,5","1,3","1,3",19,"2,1","0,84",E,,"['Viandes', 'Porc', 'Rôtis de porc']",3.7 g,en quantité modérée,1.5 g,en quantité modérée,1.3 g,en faible quantité,2.1 g,en quantité élevée,,-20%,-19%,-26%,-28%,+59%,+108%,-15%,+22%,+22%,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,,,,11,+54%,D,+54%,,,,,,,,,,
1180,Feuille de chêne  rouge - Cora,3257986789949,,['France'],[],[],?,17,71 kj(17 kcal),"0,5","0,1","1,9","0,5",0,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Cora'],,,,,,,,,,,,,,,,
1181,Conté au lait cru - Monoprix,2200974035093,,['France'],[],[],?,427,1787 kj(427 kcal),35,25,1,0,27,"0,76","0,304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Monoprix'],['Monoprix'],"['EMB 25039A', 'Avoudrey (Doubs, France)', 'FR 25.039.003 CE', 'Avoudrey (Doubs, France)']",,,,,,,,,,,,,,
1182,Dijon Mosterd Mostaza De Dijon.,40737829,,['France'],[],[],?,156,653 kj(156 kcal),12,"0,8","3,2","2,7","7,2","6,5","2,6",B,,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes', 'Moutardes de Dijon']",12 g,en quantité modérée,0.8 g,en faible quantité,2.7 g,en faible quantité,6.5 g,en quantité élevée,,-2%,-2%,+4%,+5%,-12%,+20%,+0%,+10%,+10%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,,,11,+2%,D,+2%,,,,,,,,,,
1183,Morceaux de morue desalee,8436581143423,,['France'],[],[],?,62,259 kj(62 kcal),"0,4","0,1",0,0,15,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1184,Friand gourmand à la viande - Tempé - 900g,3301091915738,,['France'],[],[],?,279,1167 kj(279 kcal),16,"8,7",23,"1,2",11,"1,4","0,56",E,900 g,"['Plats préparés', 'Feuilleté salé', 'Friands', 'Feuilleté à la viande']",16 g,en quantité modérée,8.7 g,en quantité élevée,1.2 g,en faible quantité,1.4 g,en quantité modérée,,-15%,-16%,-24%,-18%,-7%,-12%,+14%,-1%,-1%,90.4%,4.5%,1.1%,1.2%,0.6%,2.3%,21,['Tempé'],,,17,-7%,D,-7%,,,,,,,,,,
1185,Coeur de saumon fumé betterave - Dom Petroff,3019898382195,['Élevé en Ecosse'],['France'],"['SAUMON', 'sel', 'jus concentré de betterave ', 'eau', 'jus concentré de betterave rouge', 'condiment [eau', 'sel', 'exhausteur de goût : glutamate monosodique', 'ribonucléotide disodique', 'vinaigre', 'glucose', 'aromate ', 'CELERI', ""] correcteur d'acidité : acide citrique"", 'sel', ' Salmo salar - Elevé en Ecosse -']","['Non végétalien', 'Non végétarien']",?,187,782 kj(187 kcal),11,"1,8","0,5","0,5",22,"2,4","0,96",E,,"['Produits de la mer', 'Poissons', 'Saumons']",11 g,en quantité modérée,1.8 g,en quantité modérée,0.5 g,en faible quantité,2.4 g,en quantité élevée,,+2%,+2%,+5%,-12%,-3%,+57%,+1%,-1%,-1%,96.3%,0.0%,1.4%,1.4%,0.7%,0.2%,24,['Dom Petroff'],,"['EMB 49267D', ""Saint-Barthélemy-d'Anjou (Maine-et-Loire, France)"", 'FR 49.007.335 CE', 'Angers (Maine-et-Loire, France)']",13,+18%,D,+18%,,"['Céleri', 'Poisson']",4,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique']",,,,,,
1186,Laguiole AOP - Coopérative Jeune Montagne,2251691024204,['AOP'],['France'],[],[],?,?,,?,,?,,?,0,0,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Laguiole']",,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,['Coopérative Jeune Montagne'],,"['FR 63.113.081 CE', 'Clermont-Ferrand (Puy-de-Dôme, France)']",,,,,,,,,,,,,,
1187,Bloc de foie gras de canard - Labeyrie,3033610031345,,['France'],[],[],?,511,2138 kj(511 kcal),53,23,2,"1,6","6,4","1,1","0,44",B,,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Bloc de foie gras']",53 g,en quantité élevée,23 g,en quantité élevée,1.6 g,en faible quantité,1.1 g,en quantité modérée,,+4%,+5%,+5%,+7%,-6%,+20%,+5%,-10%,-10%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,['Labeyrie'],,"['FR 40.261.001 CE', 'Saint-Geours-de-Maremne (Landes, France)']",20,-2%,E,-2%,['Sous vide'],,,,,['France'],['France'],,,
1188,Utica (huile dolive extra vierge bio),3770015446014,['Bio'],['France'],[],[],?,900,3766 kj(900 kcal),92,14,0,0,0,0,0,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",92 g,en quantité élevée,14 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,+5%,+5%,-4%,0%,,,,-100%,-100%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,6,-2%,C,-2%,,,,,,,,,,
1189,Saucisses fumées cuites Touloulou - 5x 100g,3445425039735,,['France'],[],[],?,338,1414 kj(338 kcal),"30,7","11,68",0,0,"15,4","1,6","0,64",,5 x 100 g,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses fumées']",30.7 g,en quantité élevée,11.7 g,en quantité élevée,0 g,en faible quantité,1.6 g,en quantité élevée,,+18%,+17%,+25%,+23%,-100%,-100%,-1%,-25%,-25%,,,,,,,,,,,21,+6%,E,+6%,,,,,,,,,,
1190,granola,4622440746742,,['France'],[],[],?,524,2192 kj(524 kcal),30,13,57,31,"5,6","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1191,Beaujolais Villages -,3760255730028,,['France'],[],[],?,?,,?,,?,,?,,,C,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges', 'Vins français', 'Beaujolais Villages']",,,,,,,,,,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,,,,,,,['France'],,,
1192,Apple and Blackcurrant Squash,5054781377610,,['France'],[],[],?,1,4 kj(1 kcal),"0,5","0,1","0,5","0,5","0,5","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1193,Zotadkowa - Gorzka - 500ml,5902573008306,"['Déconseillé à certaines catégories de personnes', 'Non recommandé aux femmes enceintes']",['France'],[],[],?,?,,?,,?,,?,,,E,500 ml,"['Boissons', 'Boissons alcoolisées', 'Liqueurs']",,,,,,,,,,,,,,,,,,,57.4%,11.3%,20.5%,8.1%,1.7%,1.0%,33,['Gorzka'],['Lidl'],,,,,,['Glasflasche'],,,,,,,,,
1194,Klaasdoosje 180G - Lotus - 180g,5410126036572,,['France'],[],[],?,488,2042 kj(488 kcal),20,"10,4","71,2","38,5","5,1","0,86","0,344",,180 g,,,,,,,,,,,,,,,,,,,,,,,,,,,['Lotus'],,,,,,,,,,,,,,,,
1195,Passata de tomates bio - Kazidomi - 700g,00005012,"['Bio', 'Bio européen', 'Agriculture UE', 'IT-BIO-009']","['Belgique', 'France']",['Tomates 100%'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",131,31,131 kj(31 kcal),"0,2",0,"4,8","4,3","1,6",0,0,A,700 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Tomates et dérivés', 'Sauces', 'Sauces tomate', 'Purées de tomates', 'Coulis de tomates']",0.2 g,en faible quantité,0 g,en faible quantité,4.3 g,en faible quantité,0 g,en faible quantité,-11%,-18%,-15%,-18%,-100%,-21%,-16%,+1%,-100%,-100%,22.8%,37.1%,17.7%,10.6%,8.4%,3.3%,96,['Kazidomi'],['Kazidomi'],,-6,,A,,"['Verre', 'sous vide']",['Aucun'],1,,,['Italie'],['Italie'],https://www.kazidomi.com/fr/sauces-pour-les-pates/5800-kazidomi-passata-bio-700g.html,,
1196,Saucisse cockail pur porc - Casino - 400g,3222477435797,"['Viande Française', 'Viande Porcine Française']",['France'],[],[],?,277,1159 kj(277 kcal),25,9,1,"0,8",12,"1,9","0,76",,400 g,,,,,,,,,,,,,,,,,,,,,,,,,,,['Casino'],['Casino'],"['EMB 95280', ""Goussainville (Val-d'Oise, France)""]",,,,,,,,,,,,,,
1197,35539,35539,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198,Dodo avec mon amie la lune - Ballot-Flurin,3760016581470,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Ballot-Flurin'],,,,,,,,,,,,,,,,
1199,Granola banane noisette cacao,3760159103720,"['Végétarien', 'Végétalien', 'Sans sucre ajouté']",['France'],[],"['Végétalien', 'Végétarien']",?,392,1640 kj(392 kcal),"12,4","6,1",52,"14,1","13,4","0,022","0,009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200,Puree potimarron - Auchan,3596710475414,"['Bio', 'Bio européen', 'FR-BIO-01', 'Nutriscore', 'Nutriscore A']",['France'],[],[],?,43,180 kj(43 kcal),"0,9","0,2","6,4","3,9","1,3","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Auchan'],['Auchan'],,,,,,,,,,,,,,,
1201,Champagne,3350210106007,,['France'],[],[],?,?,,?,,?,,?,,,D,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins effervescents', 'Champagnes']",,,,,,,,,,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,,,,,,,,,,
1202,Pocky Milk Cookie,6901845010176,,['France'],[],[],?,554,2318 kj(554 kcal),"28,4","0,8","65,3","27,3","7,5","0,691","0,276",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1203,oeufs de lompe - 2x 80g,7312740044538,,['France'],[],[],?,85,356 kj(85 kcal),"4,5",1,"1,1","0,2",10,"4,5","1,8",,2 x 80 g,"['Conserves', 'Frais', 'Œufs de poisson', 'Semi-conserves', 'Œufs de lump']",4.5 g,en quantité modérée,1 g,en faible quantité,0.2 g,en faible quantité,4.5 g,en quantité élevée,,0%,+1%,+18%,+10%,-4%,-26%,+1%,+3%,+3%,,,,,,,,,,,11,+37%,D,+37%,,,,,,,,,,
1204,Grosses lentilles vertes - Amio,8058774730380,,['France'],[],[],?,317,1326 kj(317 kcal),"1,6","0,2",48,"1,1",23,"0,02","0,008",B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Lentilles']",1.6 g,en faible quantité,0.2 g,en faible quantité,1.1 g,en faible quantité,0.02 g,en faible quantité,,+30%,+30%,+9%,-23%,+46%,-11%,+29%,-93%,-93%,57.6%,0.0%,16.2%,14.1%,4.5%,7.6%,99,['Amio'],,,-7,,A,,,,,,,,,,,
1205,Riz long parfumé thai - Haudecoeur,3276650013289,,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,0,0,C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz parfumés', 'Riz long grain']",,,,,,,0 g,en faible quantité,,-100%,-100%,,,,,,-100%,-100%,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,"['Haudecoeur', 'Riz du monde']",,,,,,,,,,,,,,,,
1206,Manchego - 150g,8437007488685,,['France'],[],[],?,420,1757 kj(420 kcal),36,20,0,0,23,"1,5","0,6",D,150 g,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",36 g,en quantité élevée,20 g,en quantité élevée,0 g,en faible quantité,1.5 g,en quantité modérée,,+28%,+28%,+35%,+12%,-100%,-100%,+13%,+15%,+15%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,16,+17%,D,+17%,,,,,,,,,,
1207,bi-phase micellaire - Barbara Gould - 400ml,3331300040906,,['France'],[],[],?,?,,?,,?,,?,,,,400 ml,['Beauté'],,,,,,,,,,,,,,,,,,,,,,,,,,['Barbara Gould'],,,,,,,,,,,,,,,,
1208,Moka Chocolat 6P Décongelé - Super U - 780g,,,['France'],"['BEURRE', ' Sucre', ' eau', 'sirop de glucose', 'DEUFS', ' farine de BLE-poud re DE cacao saigre 3%', 'huile de colza', ' pate de cacao 1,6%', ' RhUN', 'am i don', ' BL E', ' Enuisifiants:E322', ' colza', ' 5OJA', ' E471', ' E472b', ' E475', ' E477', ' E492', ' poudre de RIT ecreme', 'chocolat 0', '3%', 'pate de cacao', 'sucre', 'emulsifiant:E322 5OJA', ' arome naturel de vanille', 'poudre a lever:E450ui', ' maltodextrine', 'stabilisan t:E341 ii', ' Correcteur d acidite:ES00i i', ' agents d-enrobage :E414', ' ES04', ' sel', 'g elifiant:E401', ' epaissi ssant:E466', 'conservateur:E202', "" arome naturel de vanille avec d'autres aromes naturels"", 'LAIT']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,?,,?,,?,,?,,,D,780 g,"['Desserts', 'Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat']",,,,,,,,,,,,,,,,,,,82.4%,11.4%,2.3%,2.6%,1.2%,0.0%,38,['Super U'],['Super U'],,,,,,,"['Gluten', 'Lait']",4,"['E322 - Lécithines', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", ""E472b - Ester diacétyl-lactique de mono- et diglycérides d'acides gras"", ""E475 - Esters polyglycériques d'acides gras"", ""E477 - Esters du propylène-glycol d'acide gras"", 'E492 - Tristéarate de sorbitane', '', 'Risque élevé de sur-exposition', 'E341ii - Phosphate dicalcique', ""E414 - Gomme d'acacia"", 'E401 - Alginate de sodium', 'E466 - Carboxyméthylcellulose', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",,,,,,
1209,Serpents acidulés (zure slangen) - Hema - 215g,8718537412976,"['Végétarien', 'Végétalien']",['France'],"['Sucre', 'sirop', 'de glucose', 'sirop de glucose fructose', 'fécule de pommes de ferre modifiée', 'amidon de mais', 'acidifiants E296 E270 E330', ""correcteur d'acidité E331"", 'arome naturel', ""agent d'enrobage E903"", 'concentrés colorants ', 'coarthame', ' spiruline', 'carotte', 'cassis', 'jus concentrés pomme', 'cerise', 'framboise', 'fraise', 'orange abricot', 'ananas', 'renadale', 'citron', 'pamplemousse banare peche', 'raisin biang Poire', 'cassis', ' Peut contenir LAIT']","['Végétalien', 'Végétarien']",?,332,1389 kj(332 kcal),0,0,"83,1",58,0,0,0,E,215g,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Bonbons gélifiés', 'Bonbons acidulés gélifiés']",0 g,en faible quantité,0 g,en faible quantité,58 g,en quantité élevée,0 g,en faible quantité,,-4%,-4%,-100%,-100%,+3%,-4%,-100%,-100%,-100%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,['Hema'],,,14,-3%,D,-3%,['Paquet'],,4,"['E296 - Acide malique', 'E270 - Acide lactique', 'E331 - Citrates de sodium', 'E903 - Cire de carnauba']",,['Allemagne'],,,,
1210,Pain de figues espagnoles - Auchan - 200g,8435177061165,"['Sans sucre ajouté', 'Nutriscore', 'Nutriscore B']",['France'],"['Figues 90% et amandes 10%', "" Peut contenir traces d'autres fruits à coque"", ' Origine :UE et non-UE ', ' Sans Sucre ajouté', ' Contient des sucres naturellement présents']","['Sans huile de palme', 'Végétalien', 'Végétarien']",1204,288,1204 kj(288 kcal),"4,7","0,5",51,48,5,"0,2","0,08",,200 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Produits déshydratés', 'Confiseries de Noël', 'Aliments à base de plantes séchées', 'Gâteaux aux figues sèches', 'es:Panes de frutas desecadas']",4.7 g,en quantité modérée,0.5 g,en faible quantité,48 g,en quantité élevée,0.2 g,en faible quantité,,-14%,-13%,-26%,-23%,-12%,-4%,-1%,+23%,+23%,,,,,,,,['Auchan'],['Auchan'],,0,-100%,B,-100%,,['Fruits à coque'],3,,,,,,,
1211,Miso blanc - Danival,3431590014578,"['Bio', 'Bio européen', 'Sans gluten', 'Fabriqué en France', 'AB Agriculture Biologique']",['France'],[],[],?,205,858 kj(205 kcal),"4,3","0,7",32,20,"8,4","2,7","1,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Danival'],,,,,,,,,,,,,,,,
1212,50 mini feuilletés et son présentoir festif - Deluxe,4056489137726,,['France'],[],[],?,297,1243 kj(297 kcal),"17,3",9,"28,8","2,3","5,8","1,22","0,488",,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Deluxe'],,,,,,,,,,,,,,,,
1213,Truffes fantaisie,3481290034178,,['France'],[],[],?,591,2473 kj(591 kcal),44,37,43,39,"4,2","0,12","0,048",,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Truffes en chocolat']",44 g,en quantité élevée,37 g,en quantité élevée,39 g,en quantité élevée,0.12 g,en faible quantité,,+1%,+1%,+1%,+13%,+6%,+6%,-11%,-8%,-8%,,,,,,,,,,,25,+5%,E,+5%,,,,,,,,,,
1214,Haricots blancs,3700238305751,,['France'],[],[],?,98,410 kj(98 kcal),"0,5","0,1","14,1","0,6","6,5","0,46","0,184",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215,Amendes decortiquees,2600112056674,,['France'],[],[],?,?,,?,,?,,?,,,E,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Fruits à coques décortiqués', 'Amandes', 'Amandes décortiquées']",,,,,,,,,,,,,,,,,,,96.4%,0.5%,1.0%,1.5%,0.7%,0.0%,11,,,,,,,,,,,,,,,,,
1216,Monster,5060337505338,,['France'],[],[],?,37,155 kj(37 kcal),0,0,"9,4","8,4",0,"0,21","0,084",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1217,Jambon cuit à l'ancienne Domaine Picard sans sel nitrite,2470526035493,,['France'],[],[],?,123,515 kj(123 kcal),"3,1","1,4","0,5","0,5",23,2,"0,8",E,,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', ""Jambons cuits à l'ancienne""]",3.1 g,en quantité modérée,1.4 g,en faible quantité,0.5 g,en faible quantité,2 g,en quantité élevée,,-19%,-19%,-50%,-42%,+1%,+3%,+3%,+3%,+3%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,['Picard'],"['FR 80.798.003 CE', 'Villers-Bocage (Somme, France)']",5,-49%,C,-49%,,,,,,,,,,
1218,"Pineapple, coconut & white chocolate cookies - Marks & Spencer - 200g",00395274,,['France'],"['Farine de blé contient Gluten ', 'avec Farine de blé', 'Carbonate de calcium', 'Fer', 'Niacine', 'Thiamine', ' · Beurre demi-sel ', '23%', ' ', 'Beurre ', 'Lait', ' · Sel', ' · Sucre · Pépites de chocolat blanc belge ', '11%', ' ', 'Sucre · Lait en poudre entier · Beurre de cacao · Lait en poudre écrémé · Émulsifiant : Lécithine de soja · Arôme vanille', "" · Morceaux d'ananas déshydratés sucrés "", '11%', ' ', 'Ananas · Sucre · Acidifiant : Acide citrique', ' · Noix de coco déshydratée ', '9%', ' · Sirop de sucre inverti · Poudre à lever : E450', 'Bicarbonate de soude', 'E503 · Arôme', ' Chocolat blanc contient matière sèche de lait 23% minimum']",['Non végétalien'],?,518,2167 kj(518 kcal),"29,4",20,"56,7",33,"5,1","0,6","0,24",C,200 g,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",29.4 g,en quantité élevée,20 g,en quantité élevée,33 g,en quantité élevée,0.6 g,en quantité modérée,,+9%,+9%,+41%,+98%,-11%,+12%,-22%,+2%,+2%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,"['Marks & Spencer', 'Marks And Spencer']",,,22,+11%,E,+11%,,"['Gluten', 'Lait']",4,"['E322i - Lécithine', 'E330 - Acide citrique', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500ii - Carbonate acide de sodium', ""E503 - Carbonates d'ammonium""]",,,,,,
1219,"Joghurterteugnis Mit Sahne 3,5% Fett Fulya Yayla GMBH",4027394007800,['Halal'],['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Yayla'],,,,,,,,,,,,,,,,
1220,Croûtons de pains - Tipiak - 3x 80g,3185200000993,,['France'],[],[],?,410,1715 kj(410 kcal),"6,6","0,92","72,7",2,"11,3","2,2","0,88",D,3 x 80 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Croûtons']",6.6 g,en quantité modérée,0.92 g,en faible quantité,2 g,en faible quantité,2.2 g,en quantité élevée,,-13%,-13%,-68%,-69%,+24%,-46%,+20%,+13%,+13%,87.8%,8.3%,1.9%,1.8%,0.2%,0.0%,35,['Tipiak'],,,14,-4%,D,-4%,,,,,,,,,,
1221,Foies Gras - Delpeyrat,3067163645841,,['France'],[],[],?,482,2017 kj(482 kcal),50,21,"2,1","0,9","5,9","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Delpeyrat'],,,,,,,,,,,,,,,,
1222,Starmix,4001686726839,,['France'],[],[],?,342,1431 kj(342 kcal),"0,5","0,1",77,47,"6,6","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1223,Pizza boite,8032578320763,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1224,Epeautre - Gallo - 400g,8001420009712,,['France'],[],[],?,338,1414 kj(338 kcal),"2,2","0,4","62,5",1,"13,2",0,0,,400 g,,,,,,,,,,,,,,,,,,,,,,,,,,,['Gallo'],,,,,,,,,,,,,,,,
1225,Ail - Saint Eloi,3250392850456,"['Bio', 'Nutriscore', 'Nutriscore A']",['France'],[],[],?,154,644 kj(154 kcal),"4,5","0,7","20,8","1,2",5,0,0,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Plantes condimentaires', 'Légumes et dérivés', 'Ail et dérivés', 'Ail']",4.5 g,en quantité modérée,0.7 g,en faible quantité,1.2 g,en faible quantité,0 g,en faible quantité,,+73%,+52%,+97%,+123%,+53%,-52%,+15%,-100%,-100%,58.5%,0.0%,0.0%,19.1%,16.5%,5.8%,98,['Saint Eloi'],,['FSC-C104639'],-7,,A,,,,,,,,,,,
1226,Rillettes au homard européen - Autour du Saumon - 90g,3700189555311,"['Bio', 'Bio européen', 'FR-BIO-01']",['France'],"['POISSONS 45%', 'CRÈME FRAÎCHE*', 'CHAIR DE HOMARD EUROPÉEN 20%', 'SEL DE GUÉRANDE', 'POIVRE', 'ÉPAISSISSANT: CARRAGHÉNANES', "" *33% DES PRODUITS AGRICOLES SONT ISSUS DE L'AGRICULTURE BIOLOGIQUE"", 'CERTIFIÉE PAR FR-BIO-01']","['Non végétalien', 'Non végétarien']",648,156,648 kj(156 kcal),11,"6,9",12,"0,8",13,"0,96","0,384",C,90 g,"['Viandes', 'Produits de la mer', 'Produits à tartiner', 'Poissons', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Préparations de poisson', 'Rillettes de poissons']",11 g,en quantité modérée,6.9 g,en quantité élevée,0.8 g,en faible quantité,0.96 g,en quantité modérée,-30%,-29%,-30%,-35%,+21%,+433%,-20%,-5%,-12%,-12%,74.4%,12.5%,3.8%,7.2%,1.7%,0.5%,51,['Autour du Saumon'],,"['FR 22.272.006 CE', ""Saint-Agathon (Côtes-d'Armor, France)""]",11,+14%,D,+14%,,"['Poisson', 'Lait']",4,"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",,,,,,
