,name,bar_code,brand,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,salt_quantity,salt_comment,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,packaging,labels,ingredients_origins,manufacturing,traceability_code,link,markets,palm_ingredients,brand_owner
34,Saucisse seche le porcillin - Auchan,3596710434268,['Auchan'],['France'],"['Saucisse sèche qualité supérieure', ' INGRÉDIENTS VALEURS Viande de porc ', 'Origine France', 'sel de mer', 'épices et plantes Valeurs moyennes pour aromatiques', 'dextrose', 'sucre', 'conservateur : nitrate de potassium ', ' ferments', 'boyau naturel Énergie de porc', ' 200g de viande de porc ont été mis en œuvre Matières grasses pour fabriquer 100g de produit fini', ' dont a', 'g', 'saturés']","['E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition']",,[],4,?,399,1669 kj(399 kcal),"27,5","10,5","0,7","0,7","37,2","4,95","1,98",D,"['Viandes', 'Charcuteries', 'Saucissons', 'Saucisses sèches']",27.5 g,en quantité élevée,10.5 g,en quantité élevée,0.7 g,en faible quantité,,-3%,-3%,-15%,-17%,-69%,-53%,+29%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,4.95 g,en quantité élevée,+7%,+7%,24,-0%,E,-0%,,,,,,,,['Auchan'],,
35,Festonati - Auchan,3596710437252,['Auchan'],['France'],"['pâtes àl', 'mentairest ingrédient de blé dur de qualité supérieure Contient gluten', "" Traces éventuelles d'œufs""]",,['Gluten'],[],,?,352,1473 kj(352 kcal),"1,2","0,3",72,3,12,"0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Auchan'],,
36,Macaroni - Auchan - 500g,3596710437306,['Auchan'],['France'],"['Semoule de blé dur de qualité supérieure ', 'contient gluten', "" Traces éventuelles d'œufs""]",,['Gluten'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,?,352,1473 kj(352 kcal),"1,2","0,3",72,3,12,"0,02","0,008",C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches', 'Pâtes de blé dur', 'Macaroni de blé dur']",1.2 g,en faible quantité,0.3 g,en faible quantité,3 g,en faible quantité,,-2%,-2%,-33%,-19%,+1%,-14%,-1%,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,500 g,0.02 g,en faible quantité,+9%,+9%,-4,,A,,,,,,,,,['Auchan'],,
37,Goûters Fourrés Cacao - Auchan,3596710439164,['Auchan'],['France'],"['en poudre', 'pomme e de 4%', 'urre ', 'wvtt Et', 'blan', ' Es en poudre ', "" poudres à : d'ammrii'um conseil czbrtetes de "", ' sel', 'jaunes dœufs en amidon de maïs', 'émulsifiant : lécfrines ', 'tournes00', 'arôme Traces @Ava I @ Ingre±ntes : de riz', 'ajcar', 'aceite vegetal de girasol$ harina de arroz', 'leche desnatada en pojvo', 'fécula de patata', 'fécda de @Ante arcras', 'Pude trazas de frutos de céscara y de granos de sésamo', ' Àcons de cacau', 'cacauem pé raqteiga de F,eleiro ', 'contém leite', 'cura de ovo em PO', 'levedantes : carbonatos de aiTio', ""*'tatos @ de sédo"", 'diosfatos ', ' sd$ gama de ovo em Pô', 'amido de mitho', 'emulsionante : de girasol', 'Pode conter vestigios de']",,,[],4,?,473,1979 kj(473 kcal),19,"6,8",68,30,"6,9","0,83","0,332",D,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Biscuits fourrés']",19 g,en quantité modérée,6.8 g,en quantité élevée,30 g,en quantité élevée,,+1%,+0%,-1%,-20%,+2%,-9%,+19%,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,,0.83 g,en quantité modérée,+50%,+50%,20,+1%,E,+1%,,,['en:gluten-free'],,,,,['Auchan'],,
38,Mon petit crousti au cheddar - Snack Baby (Auchan),3596710440023,"['Snack Baby (Auchan)', 'Auchan baby']",['France'],"['Farine de maïs* 78%', 'cheddar* en poudre 12% ', 'cheddar* en poudre 93% ', 'contient lait', 'émulsifiant : citrate de sodium', 'huile de tournesol*', 'vitamine BI', ' *biologiques']",['E331 - Citrates de sodium'],['Lait'],['Non végétalien'],4,?,448,1874 kj(448 kcal),13,"2,7",70,"3,9",11,"0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'IT-BIO-014']",,,,,['Auchan'],,
39,Citron confit - Auchan - 200g,3596710440795,['Auchan'],['France'],[],,,[],,?,41,172 kj(41 kcal),"0,6","0,1","6,8","0,5","0,6",6,"2,4",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Aliments à base de fruits et de légumes', 'Snacks sucrés', 'Confiseries', 'Fruits et produits dérivés', 'Fruits confits', 'Citron confit']",0.6 g,en faible quantité,0.1 g,en faible quantité,0.5 g,en faible quantité,,-44%,-42%,+131%,+45%,-51%,-95%,-23%,,,,,,,,200 g,6 g,en quantité élevée,+19%,+19%,5,-2%,C,-2%,,,['Point Vert'],,,,,['Auchan'],,
40,20 gougères à l'emmental - Auchan - 140g,3596710440887,['Auchan'],['France'],[],,,[],,?,326,1364 kj(326 kcal),19,11,21,"0,2",16,"1,4","0,56",C,"['Plats préparés', 'Feuilleté salé', 'Gougère']",19 g,en quantité modérée,11 g,en quantité élevée,0.2 g,en faible quantité,,-3%,-4%,-14%,-13%,+7%,-75%,+10%,77.7%,11.0%,3.7%,4.0%,2.1%,1.5%,60,140 g,1.4 g,en quantité modérée,+27%,+27%,20,+17%,E,+17%,,['Barquette en plastique'],['Produit en braille'],,,,,['Auchan'],,
41,Yaourt de brebis sur lit de fruits rouges - Auchan - 500g (4x125g),3596710444229,['Auchan'],['France'],"['Lait de brebis à 3% de matières grasses', 'sucre 11,7%', 'fraise 4,2%', 'cerise 4,2%', 'framboise 2,1% amidon modifié de tapioca', 'épaississant: carraghénanes', 'arôme naturel', 'conservateur de fruit : sorbate de potassium', 'acidifiant: citrate de sodium', 'ferments lactiques ', 'contient lait', ' Elaboré à partir de lait origine France']","['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E331 - Citrates de sodium']",['Lait'],[],4,?,95,397 kj(95 kcal),"2,2","1,7",14,13,"4,3","0,13","0,052",C,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts au lait de brebis', 'Yaourts aux fruits rouges']",2.2 g,en faible quantité,1.7 g,en quantité modérée,13 g,en quantité élevée,,,-1%,-19%,+9%,+7%,+12%,+24%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,500 g (4x125g),0.13 g,en faible quantité,+16%,+16%,2,-7%,B,-7%,,,['en:lait-francais-french-milk'],,,,,['Auchan'],,
42,Yaourt brassé - Auchan,3596710445134,['Auchan'],['France'],"['A conserver cr!tm OOC ct 09%2 FR 45', '187', '001 500g ', 'sbit 4x125gJell ', 'yaourt biassé hature sucié au suère deicanne ingrédients Lait entier 88,6%', 'sucre de canne 8%', 'poudre de lait Clémé', 'ferment lacüques confient lait', ' Xiaboré à partir de lait origine France,']",,,[],,?,92,385 kj(92 kcal),"3,2","2,1",12,12,4,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 45.187.001 CE', 'Lorris (Loiret, France)']",,['Auchan'],,
43,épinards branches à la crème - auchan,3596710446087,['Auchan'],['France'],"['Epinards branches 70%', 'eau', 'crème fraîche ', 'contient lalt origine France', ' 8%', 'F huile de colza', 'amidon modifié de pomme de terre', 'arôme naturel', 'sel', 'beurre concentré ', 'contient lait origine UE', ' épaississants:gomme xanthane', 'gomme guar', ' muscade', 'poivre']","['E14XX - Amidons modifiés', 'E415 - Gomme xanthane', 'E412 - Gomme de guar']",['Lait'],['Non végétalien'],4,?,49,205 kj(49 kcal),"2,5","1,1","1,7","0,5",3,"0,56","0,224",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Surgelés', 'Légumes et dérivés', 'Aliments à base de plantes surgelés', 'Légumes surgelés', 'Légumes-feuilles', 'Épinards', 'Épinards surgelés']",2.5 g,en faible quantité,1.1 g,en faible quantité,0.5 g,en faible quantité,,+29%,+31%,+70%,+68%,-15%,-29%,+10%,45.1%,0.0%,0.0%,22.1%,31.7%,1.1%,99,,0.56 g,en quantité modérée,+69%,+69%,-4,,A,,,,,,,,,['Auchan'],,
44,Lardons nature - Auchan - 200g,3596710450411,['Auchan'],['France'],"['Poitrine de porc', 'conservateurs : lactate de potassium', 'érythorbate de sodium', 'nitrite de sodium ', ' sel', 'dextrose', 'chlorure de potassium', ' Élaboré à partir de porc origine UE conseil de conservation À conserver entre OOC et +40C et']","['E326 - Lactate de potassium', 'E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,"['Non végétalien', 'Non végétarien']",4,?,257,1075 kj(257 kcal),20,7,1,"0,8",18,"2,5",1,,,,,,,,,,,,,,,,,,,,,,,,200 g,,,,,,,,,,,['Fabriqué en France'],,,"['EMB 29051', 'Ergué-Gabéric (Finistère, France)']",,['Auchan'],,
45,Filets d anchois marinés à l ail - Auchan - 75g,3596710452286,['Auchan'],['France'],[],,,[],,?,128,536 kj(128 kcal),"4,3","0,7","1,4","1,1",21,"2,5",1,B,"['Produits de la mer', 'Poissons', 'Anchois', 'Filets de poissons', ""Filets d'anchois"", ""Filets d'anchois marinés"", ""Filets d'anchois marinés à l'huile végétale""]",4.3 g,en quantité modérée,0.7 g,en faible quantité,1.1 g,en faible quantité,,-37%,-38%,-66%,-71%,-3%,+315%,+1%,57.5%,14.4%,6.7%,17.0%,3.4%,0.9%,81,75 g,2.5 g,en quantité élevée,-63%,-63%,11,-12%,D,-12%,,,,,,,,['Auchan'],,
46,Pates & salade Jambon Emmental - Auchan - 250g,3596710452675,['Auchan'],['France'],"['Pâtes alimentaires cuites 34 % ', 'eau', 'semoule de blé dur ', 'contient gluten', 'huile de colza', 'sel', 'mélange de salades 21 % ', 'scarole', 'frisée', 'chicorée rouge', 'sauce fromage blanc fines herbes 12% ', 'eau', 'fromage blanc 0% 3,6% ', 'contient lait', 'huile de colza', 'crème fraîche ', 'contient lait', 'vinaigre d alcool', 'moutarde de Dijon ', 'eau', 'graines de moutarde', ""vinaigre d'alcool"", 'sel', 'antioxydant : disulfite de potassium', 'acidifiant : acide citrique', 'sucre', 'amidon modifié', 'sel', 'herbes de Provence 0,1 %', 'ail', 'épaississant : gomme de xanthane', 'conservateur : sorbate de potassium', 'jambon cuit supérieur ', 'jambon de porc', 'sel', 'sirop de glucose', 'dextrose', 'arômes', 'antioxydant : ascorbate de sodium', 'consermeur nitrite de sodium', 'emmental 10% ', 'contient lait', 'carotte 7 %', 'tomates cerises 6 %']","['E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E14XX - Amidons modifiés', 'E415 - Gomme xanthane', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium']","['Gluten', 'Lait', 'Moutarde', 'Anhydride sulfureux et sulfites']","['Non végétalien', 'Non végétarien']",4,?,124,519 kj(124 kcal),5,"2,3",12,"1,5","7,1","0,55","0,22",,"['Plats préparés', 'Salades', 'Salades composées', 'Réfrigérés', 'Plats préparés réfrigérés']",5 g,en quantité modérée,2.3 g,en quantité modérée,1.5 g,en faible quantité,,-32%,-31%,-45%,-19%,-19%,-31%,-5%,,,,,,,,250 g,0.55 g,en quantité modérée,-47%,-47%,1,-80%,B,-80%,,"['Frais', 'Plastique']","['Point Vert', 'Fabriqué en France', 'Nutriscore']",['Union européenne'],['France'],"['EMB 45082', 'Châteauneuf-sur-Loire (Loiret, France)', 'EMB 13018D', 'Cabannes (Bouches-du-Rhône, France)']",,['Auchan'],,
47,Aneth - Auchan,3596710454013,['Auchan'],['France'],[],,,[],,?,12,50 kj(12 kcal),65,45,22,8,1,1,"0,4",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Plantes condimentaires', 'Plantes aromatiques', 'Herbes aromatiques', 'Aneth']",65 g,en quantité élevée,45 g,en quantité élevée,8 g,en quantité modérée,,-76%,-82%,+3679%,+10849%,+249%,+692%,-69%,63.0%,0.0%,17.1%,8.8%,8.2%,2.9%,94,,1 g,en quantité modérée,+70%,+70%,,,,,,,,,,,,['Auchan'],,
48,Snacks - Auchan,3596710454747,['Auchan'],['France'],"['flocons pomme de terre 30% ', 'contient conservateur disulfite de sodium', 'amidon de pomme de - re ', 'contient conservateur : disulfite de sodiuu\\ matière grasse végétale de palme', 'farine de viz', 'sel', 'dextrose', 'chapelure de blé ', 'contient guien', 'arômes nature!s ', 'contient lait', 'curcuma déshydraté', 'oignon', 'fromage fondu en poudre 0,06% ', 'contient iaii', 'feut contenir des traces darachidns et dlautres céréales contenant du gluten', ' CONSEILS DE CONSERVATION Ouverture : craint la chaleur et Ilhumiditi', 'n ouverture : à consen/er dans récipient hermétique et consommer dans les 72 heures', 'INFORMATIONS']",,['Lait'],['Non végétalien'],4,?,479,2004 kj(479 kcal),23,11,62,"3,2","4,5","3,4","1,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Auchan'],,
49,Sardines à la luzienne - Auchan,3596710455645,['Auchan'],['France'],[],,,[],,?,249,1042 kj(249 kcal),20,"3,7","1,2","0,7",16,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sardines à la sauce tomate, ...",,,,,"['EMB 29046G', 'Douarnenez (Finistère, France)']",,['Auchan'],,
50,Le camembert - Auchan - 375g,3596710462100,['Auchan'],['France'],[],,,[],,?,271,1134 kj(271 kcal),21,15,"0,5","0,5",20,"1,5","0,6",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Camemberts']",21 g,en quantité élevée,15 g,en quantité élevée,0.5 g,en faible quantité,,-3%,-2%,-3%,+1%,-8%,+49%,0%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,375 g,1.5 g,en quantité modérée,-4%,-4%,14,-3%,D,-3%,,,"['Nutriscore', 'Fabriqué en France']",,,"['FR 50.168.001 CE', 'Ducey (Manche, France)', 'EMB 50168A', 'Ducey (Manche, France)']",,['Auchan'],,
51,Lait demi écrémé - Les 30 fermes de can’t avey’lot,3597246004390,['Les 30 fermes de can’t avey’lot'],['France'],[],,,[],,?,46,192 kj(46 kcal),"1,55",1,"4,8","4,6","3,2","0,1","0,04",D,"['Produits laitiers', 'Laits', 'Laits homogénéisés', 'Laits demi-écrémés', 'Laits UHT']",1.55 g,en faible quantité,1 g,en faible quantité,4.6 g,en faible quantité,,-2%,-3%,-8%,-3%,0%,-4%,-1%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,0.1 g,en faible quantité,-10%,-10%,0,-100%,B,-100%,,,['Omega-3'],,,,,,,
52,Lait Demi Ecreme - Prospérité - 1L,3597680001139,['Prospérité'],['France'],['Lait demi-écrémé'],,['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",1,?,46,192 kj(46 kcal),"1,6",1,"4,8","4,8","3,2","0,1","0,04",B,"['Produits laitiers', 'Laits', 'Laits demi-écrémés']",1.6 g,en faible quantité,1 g,en faible quantité,4.8 g,en faible quantité,,-2%,-2%,+2%,-1%,-0%,+0%,-2%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,1 L,0.1 g,en faible quantité,-9%,-9%,0,,B,,,"['Plastique', 'Bouteille']","['Point Vert', 'Origine France', 'Triman', 'en:lait-francais-french-milk']",['France'],['France'],"['FR 62.767.030 CE', 'Saint-Pol-sur-Ternoise (Pas-de-Calais, France)']",,,,
53,Crème glacée Cornes de Gazelle - Altiflore - 450g,3598050004590,['Altiflore'],['France'],[],,,[],,?,212,887 kj(212 kcal),10,5,28,24,"3,7","0,16","0,064",B,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Crèmes glacées en pot']",10 g,en quantité modérée,5 g,en quantité modérée,24 g,en quantité élevée,,-4%,-3%,-8%,-27%,+7%,+7%,+11%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,450g,0.16 g,en faible quantité,+6%,+6%,11,-13%,D,-13%,,['Surgelé'],,,,,,,,
54,FOIE GRAS DE CANARD ENTIER DU PERIGORD - Valette - 125g,3598960017963,['Valette'],['France'],"['foie gras de canard', 'Porto', 'sel', 'poivre', 'sucre']",,,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,?,543,2272 kj(543 kcal),"55,6","20,3","2,4","1,1",8,"1,25","0,5",B,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers', 'Foies gras de canard entiers']",55.6 g,en quantité élevée,20.3 g,en quantité élevée,1.1 g,en faible quantité,,+3%,+3%,+2%,-12%,+1%,-17%,+6%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,125 g,1.25 g,en quantité modérée,+4%,+4%,21,+1%,E,+1%,,,['Sans nitrite de sodium'],,,,,,,
55,Quinoa gourmand - Tipiak - 400g,3600900010696,['Tipiak'],"['France', 'Allemagne', 'Suisse']","['Quinoa ', 'blanc et rouge', ' ', '50%', 'blé dur précuit ', 'gluten', ' ', '50%', '\rTraces possibles de lait', 'œuf', 'soja', 'céleri', 'moutarde', 'lupin', 'sésame']",,"['Céleri', 'Œufs', 'Gluten', 'Lupin', 'Moutarde', 'Graines de sésame', 'Soja']",['Non végétalien'],4,1523,360,1523 kj(360 kcal),"4,3","0,5",65,"2,7",13,0,0,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Quinoa']",4.3 g,en quantité modérée,0.5 g,en faible quantité,2.7 g,en faible quantité,+4%,+9%,+10%,-20%,-23%,+18%,+7%,+10%,80.5%,0.0%,5.8%,10.4%,3.3%,0.0%,70,400g,0 g,en faible quantité,-100%,-100%,-6,,A,,,['Sachet'],['Fabriqué en France'],,,,,['Coop'],,
56,Tarte aux noix,3602826451737,,['France'],[],,,[],,?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,"['Tartes', 'Tartes sucrées', 'Tartes aux noix de pécan']",0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,-100%,-100%,-100%,-100%,-100%,-100%,-100%,,,,,,,,,0 g,en faible quantité,-100%,-100%,0,-100%,B,-100%,,,,,,,,,,
57,LPG endermologie The bio minceur,3607492301805,['Lpg Endermologie'],['France'],[],,,[],,?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,['Boissons'],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,-100%,-100%,-100%,-100%,-100%,-100%,-100%,,,,,,,,,0 g,en faible quantité,-100%,-100%,0,-100%,B,-100%,,,"['Bio', 'Fabriqué en France']",,,,,,,
58,Saucisse aux choux - Tradival,3608568201388,['Tradival'],['France'],"['Viande de porc* 56%', 'choux 24%', 'couenne de porc*', 'épinard', 'conservateurs : E326-E262-E250', 'sel', 'eau', 'arômes naturels', 'dextrose', 'épices et plantes aromatiques', 'antioxydants : E301-E300-E316', ' Boyau naturel de porc', ' *Viande de porc origine France', ' Conservation :']","['E326 - Lactate de potassium', 'E262 - Acétates de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium', 'E300 - Acide ascorbique', 'E316 - Érythorbate de sodium']",,"['Non végétalien', 'Non végétarien']",4,?,203,849 kj(203 kcal),17,"6,9","1,6","1,3",12,"2,5",1,E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses de foie', 'Saucisses de foie de porc', 'Saucisses aux choux']",17 g,en quantité modérée,6.9 g,en quantité élevée,1.3 g,en faible quantité,,-14%,-12%,-11%,-7%,-41%,+19%,+4%,88.6%,4.9%,1.5%,1.3%,0.8%,2.9%,27,,2.5 g,en quantité élevée,+17%,+17%,18,+2%,D,+2%,,['Sachets'],['Sans colorants'],,,,,,,
59,Compote pomme - Andros - 388g,3608580004820,['Andros'],"['France', 'Suisse']","['Pommes 99', '7%', 'extrait de pomme', 'antioxydant : acide ascorbique']",['E300 - Acide ascorbique'],,['Sans huile de palme'],1,232,?,232 kj(55 kcal),"0,2",0,12,12,"0,3",0,0,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme']",0.2 g,en faible quantité,0 g,en faible quantité,12 g,en quantité modérée,-13%,,-15%,-39%,-100%,-16%,-8%,-20%,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,388 g,0 g,en faible quantité,-100%,-100%,-4,,A,,,"['Carton', 'Plastique']","['Sans colorants', 'Sans conservateurs', 'Fabriqué en France', 'Sans sucre ajouté']",,"['Biars-sur-Cère', 'France']",,,['Migros'],,
60,Brioche vendeenne - Sicard - 400g,3608732275139,['Sicard'],['France'],"['Farine de BLÉ', 'ŒUFS BEURRE 14', '5% ', 'LAIT', 'levain de pâte ', 'GLUTEN de BLÉ', 'sucre', 'sirop de sucre inverti', 'eau', 'arômes', 'levure fraîche', 'sel marin de Noirmoutier', 'rhum', 'GLUTEN de BLÉ', 'agent de traitement de la farine ', 'acide ascorbique']",['E300 - Acide ascorbique'],"['Œufs', 'Gluten', 'Lait', 'Graines de sésame', 'Soja', 'Anhydride sulfureux et sulfites']",['Non végétalien'],4,?,376,1573 kj(376 kcal),"15,8","9,8","47,8","13,7","8,5",1,"0,4",C,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Brioches Vendéennes']",15.8 g,en quantité modérée,9.8 g,en quantité élevée,13.7 g,en quantité élevée,,0%,+0%,+4%,-4%,-3%,-6%,+2%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,400 g,1 g,en quantité modérée,+7%,+7%,20,+5%,E,+5%,,,['Label Rouge'],,,,,,,
61,Préfou au chèvre,3608737778444,,['France'],[],,,[],,?,287,1201 kj(287 kcal),12,"6,5",36,"1,2","9,4","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,My mix love framboise - N.A !,3609200006859,['N.A !'],['France'],"['41% pépites à base de fruits [purée de pommes concentrée', 'jus de pommes concentré', 'purée de framboises ', '9,3%', 'jus de baies de sureau concentré', 'gélifiant ', 'pectines de fruits', 'fibres de citrus', 'arôme naturel de framboise]', '26% noix de cajou 22% amandes 11% graines de courge']",['E440 - Pectines'],['Fruits à coque'],[],4,?,494,2067 kj(494 kcal),28,"4,1",44,33,13,"0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Sans sucre ajouté']",,,,,,,
