,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,packaging,brand,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,allergens,nova_score,quantity,ingredients_origins,manufacturing,additives,markets,palm_ingredients,generic_name,link,origin_detail
1331,Pois chiches,3760300060131,['France'],[],[],?,83,347 kj(83 kcal),2,"0,2","9,1",0,"4,9","0,9","0,36",B,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Pois chiches']",,2 g,en faible quantité,0.2 g,en faible quantité,0 g,en faible quantité,0.9 g,en quantité modérée,,-56%,-56%,-34%,-49%,-61%,-100%,-52%,+88%,+88%,1,,B,,56.9%,0.0%,16.0%,22.6%,4.5%,0.0%,96,,,,,,,,,,,,
1332,Pâtes Alimentaires,5410028096667,['France'],[],[],?,345,1443 kj(345 kcal),"1,5","0,1",72,"3,5","11,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1333,Rhum Seleccion,8420128000331,['France'],[],[],?,?,,?,,?,,?,0,0,,['Bottle'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1334,Mon petit Granola tarte aux pommes -,3760287220771,['France'],[],[],?,362,1515 kj(362 kcal),11,"1,4",57,14,"7,4",,,B,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Mueslis']",,11 g,en quantité modérée,1.4 g,en faible quantité,14 g,en quantité élevée,,,,-13%,-13%,-16%,-58%,-6%,-17%,-25%,,,,,,,53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,,,,,,,,,,,,
1335,Rôti de bison,2205331175931,['France'],[],[],?,109,456 kj(109 kcal),"1,8","0,6",0,0,22,"0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1336,The El Taj,3558820008685,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1337,Soles entiere,8717545873489,['France'],[],[],?,225,941 kj(225 kcal),0,0,0,0,14,"0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1338,Pintade,2260102006340,['France'],[],[],?,887,3711 kj(887 kcal),"14,5",4,"17,2","0,5","19,7","0,1","0,04",D,,,"['Viandes', 'Volailles', 'Pintades']",,14.5 g,en quantité modérée,4 g,en quantité modérée,0.5 g,en faible quantité,0.1 g,en faible quantité,,+253%,+332%,+6%,-3%,+1032%,+4%,+5%,-81%,-81%,13,+215%,D,+215%,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,,,,,,,,,,,,
1339,Galette des rois,0273672045857,['France'],[],[],?,415,1736 kj(415 kcal),29,16,31,"9,3","6,6","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1340,Sapine per uomo,10221,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
