,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,quantity,packaging,additives,nova_score,allergens,generic_name,traceability_code,markets,manufacturing,ingredients_origins,palm_ingredients,link,brand_owner
1889,Basilic,3193840032687,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1890,Beignets de calmar à la romaine,3265220013897,['France'],[],[],?,198,828 kj(198 kcal),8,"0,95","24,6",4,"6,85","1,19","0,476",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1891,Cervelas sauce vinaigrette,0205856011020,['France'],[],[],?,234,979 kj(234 kcal),22,"6,3","0,5","0,5","7,9","1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1892,Clous de girofle - Hediard,3418321218436,['France'],[],[],?,?,,?,,?,,?,,,['Hediard'],B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Clous de girofle']",,,,,,,,,,,,,,,,,,,,,,,63.8%,0.0%,18.2%,12.0%,6.0%,0.0%,79,,,,,,,,,,,,,,
1893,Vapor X5 - Muscletech - 8.04oz,0631656254013,['France'],[],[],?,20,84 kj(20 kcal),0,0,"0,01",0,0,0,0,['Muscletech'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.04 oz,,,,,,,,,,,,
1894,Regilait low fat,3043931494118,['France'],[],[],?,?,,?,,?,,?,,,['Régilait'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1895,Caramel au beurre salé aux graines de Sarrasin BIO,3770003694281,['France'],[],[],?,460,1925 kj(460 kcal),"21,14","0,73",65,"41,14","1,6","0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,
1896,Boîte à sucre,8718964029983,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1897,curry de légumes coco et crevettes,3760194202358,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1898,L'apéro Rio,3760194202334,['France'],[],[],?,154,644 kj(154 kcal),"4,9","1,5","26,6","22,2","1,8","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899,Souris agneau - Tendre & Plus,2224658060096,['France'],[],[],?,123,515 kj(123 kcal),"4,9","1,9","1,7","0,9",18,"1,3","0,52",['Tendre & Plus'],,"['Viandes', ""Viandes d'agneau"", ""Souris d'agneau""]",4.9 g,en quantité modérée,1.9 g,en quantité modérée,0.9 g,en faible quantité,1.3 g,en quantité modérée,,-14%,-14%,-23%,-22%,+21%,+17%,-6%,+18%,+18%,2,-14%,B,-14%,,,,,,,,,,,,,,,,,,,,,
1900,Bleu de laqueuille,0200698019357,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1901,Preparation a base de vinaigre de canne à sucre,3440950201152,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1902,Dr. Oetker Backspray - 125g,9008200011810,"['Autriche', 'France']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125 g,"['Stück', 'Stück']",,,,,,,,,,,
1903,Palette à la Diable,2657317055636,['France'],[],[],?,120,502 kj(120 kcal),"7,7",3,"0,7","0,5",12,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1904,"Cervelas en salade - 0,385kg",0218000025910,['France'],[],[],?,300,1255 kj(300 kcal),"27,7","4,6","1,1","1,1","11,3","2,3","0,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,385 kg",,,,,,,,,,,,
1905,Bran flakes - Dunnes Stores - 500g,5099874173922,"['France', 'Irlande']","['Whole Wheat ', '81%', 'Wheat Bran ', '17%', 'Sugar', 'Barley Malt Extract', 'Salt', 'Niacin', 'Iron', 'Pantothenic Acid', 'Thiamin ', 'B1', 'Vitamin B6', 'Riboflavin ', 'B2', 'Folic Acid', 'Vitamin D', 'Vitamin B12']",['Sans huile de palme'],?,356,1490 kj(356 kcal),"2,4","0,4",64,14,17,"0,62","0,248",['Dunnes Stores'],C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Flocons']",2.4 g,en faible quantité,0.4 g,en faible quantité,14 g,en quantité élevée,0.62 g,en quantité modérée,,-9%,-9%,-70%,-79%,-3%,+22%,+72%,+82%,+82%,-1,-129%,A,-129%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,500 g,"['Card', 'plastic']",,3,['Gluten'],,,['Dunnes Stores'],['United Kingdom'],,,,
1906,Endives au jambon superieur,0221524075248,['France'],[],[],?,102,427 kj(102 kcal),6,3,"5,1","2,5","6,8","0,9","0,36",,C,"['Plats préparés', 'Endives au jambon']",6 g,en quantité modérée,3 g,en quantité modérée,2.5 g,en faible quantité,0.9 g,en quantité modérée,,-3%,-3%,+1%,-5%,-9%,-2%,+11%,+19%,+19%,2,-27%,B,-27%,71.8%,15.1%,6.0%,3.7%,2.0%,1.4%,57,,,,,,,,,,,,,,
1907,Lasagnes,0221046081345,['France'],[],[],?,157,657 kj(157 kcal),"8,4","3,7","10,9","3,8",9,"0,9","0,36",,,"['Surgelés', 'Plats préparés', 'Plats à base de pâtes', 'Lasagnes préparées', 'Lasagnes surgelées']",8.4 g,en quantité modérée,3.7 g,en quantité modérée,3.8 g,en faible quantité,0.9 g,en quantité modérée,,+22%,+23%,+48%,+45%,-14%,+51%,+52%,+27%,+27%,2,+17%,B,+17%,,,,,,,,,,,,,,,,,,,,,
1908,Huile d'olive vierge extra,3336590458479,['France'],[],[],?,?,,?,,?,,?,,,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,,,,,,,,,,,,,,,,,,,,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,,,
1909,"Gratin de courgettes -  - 0,994kg",0218247042053,['France'],[],[],?,145,607 kj(145 kcal),"12,6","7,5","3,1","2,6","4,6","0,4","0,16",,B,"['Plats préparés', 'Gratins', 'Gratins de légumes']",12.6 g,en quantité modérée,7.5 g,en quantité élevée,2.6 g,en faible quantité,0.4 g,en quantité modérée,,+33%,+34%,+85%,+117%,-48%,-11%,+18%,-35%,-35%,7,+163%,C,+163%,71.1%,12.3%,5.4%,6.1%,3.0%,2.1%,76,,"0,994 kg",,,,,,"['FR 69.027.063 CE', 'Brignais (Rhône, France)']",,,,,,
1910,prune séché,8057737400025,['France'],[],[],?,321,1343 kj(321 kcal),"1,4","0,9",72,46,"2,4","0,45","0,18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1911,Félicité,3760128200184,['France'],[],[],?,37,155 kj(37 kcal),"0,5","0,1","7,5","7,1","0,8","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1912,Pain hamburger x 4 - Auchan,2030507999376,['France'],[],[],?,?,,?,,?,,?,,,['Auchan'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Auchan'],,,,,
1913,Lait bio demi écrémé -,3252920107308,['France'],[],[],?,46,192 kj(46 kcal),"1,5",1,"4,8","4,8","3,3","0,11","0,044",,C,"['Produits laitiers', 'Laits', 'Laits demi-écrémés']",1.5 g,en faible quantité,1 g,en faible quantité,4.8 g,en faible quantité,0.11 g,en faible quantité,,-2%,-2%,-4%,-1%,-0%,0%,+2%,0%,0%,-1,,A,,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,"['Bio', 'Bio européen', 'Source naturelle de calcium']",,,,,,,,,,,,,
1914,Filet mignon de porc - boucherie st clément - 1,2106662007055,['France'],['viande de porc 100%'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,119,498 kj(119 kcal),3,1,0,0,23,"45,72","18,288",['boucherie st clément'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
1915,Lait uht demi écrémé -,05558360,['France'],[],[],?,46,192 kj(46 kcal),"1,6",1,"4,8","4,8","3,2","0,13","0,052",,D,"['Produits laitiers', 'Laits', 'Laits homogénéisés', 'Laits demi-écrémés', 'Laits UHT']",1.6 g,en faible quantité,1 g,en faible quantité,4.8 g,en faible quantité,0.13 g,en faible quantité,,-2%,-3%,-5%,-3%,0%,+0%,-1%,+17%,+17%,0,-100%,B,-100%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,,,,,,,,,,,,,
1916,Sirop de menthe bleue,3292485620058,['France'],[],[],?,315,1318 kj(315 kcal),"0,3",0,"77,7","75,4","0,3",0,0,,B,"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de menthe']",,,,,,,,,,+32%,+28%,+173%,-100%,+26%,+27%,+163%,-100%,-100%,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,,,,,,,,,
1917,Poulet fermier jaune,2209675005985,['France'],[],[],?,149,623 kj(149 kcal),7,"0,5","0,5","0,5",21,"0,2","0,08",,,"['Viandes', 'Volailles', 'Poulets', 'Poulets fermiers', 'Poulets fermiers jaunes']",7 g,en quantité modérée,0.5 g,en faible quantité,0.5 g,en faible quantité,0.2 g,en faible quantité,,+6%,+6%,+8%,-69%,+23%,+53%,+4%,+18%,+18%,-4,,A,,,,,,,,,,,,,,,,,,,,,,
1918,Paleron de boeuf - Bigard,2222602033653,['France'],[],[],?,164,686 kj(164 kcal),8,"3,4",2,"0,7",21,1,"0,4",['Bigard'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 29.233.001 CE', 'Quimperlé (Finistère, France)']",,,,,,
1919,2 filets de poulet rôties - Maître Coq,0215779036413,['France'],[],[],?,148,619 kj(148 kcal),"5,8","1,4",0,0,24,"1,4","0,56",['Maître Coq'],D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",5.8 g,en quantité modérée,1.4 g,en faible quantité,0 g,en faible quantité,1.4 g,en quantité modérée,,+13%,+14%,+101%,+88%,-100%,-100%,+5%,+87%,+87%,3,,C,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,['Sans conservateurs'],,,,,,,,,,,,,
1920,Tresse aux graines de céréales,2090000171600,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
