,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,eco_score,brand,categories,additives,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,ingredients_origins,manufacturing,traceability_code,generic_name,markets,palm_ingredients,link
1605,Coquillettes Riz Quinoa,3760038707544,['en:gluten-free'],['France'],[],[],?,380,"3,3",76,"9,3",,,,,,,,,,,,,,,,,1590 kj(380 kcal),,,"0,5",,,1,,,"0,15",,"0,06",,,,,,,,,,,,,,,,,,,,,
1606,Macaroni - Valpi Bio,3760038707568,"['Bio', 'Bio européen', 'en:gluten-free', 'AB Agriculture Biologique']",['France'],[],[],?,372,"2,1",78,"8,1",,['Valpi Bio'],,,,,,,,,,,,,,,1556 kj(372 kcal),,,"0,4",,,1,,,"0,15",,"0,06",,,,,,,,,,,,,,,,,,,,,
1607,Figatelli fumé - L'Aziana,3760038770609,,['France'],"['Foie et viande de porc ', 'origine France', 'sel', 'poivre', 'ail', 'sucres', 'conservateur E252', 'antioxydant E300', 'ferments', 'boyaux naturels', '\rRetirer le boyau avant consommation']","['Non végétalien', 'Non végétarien']",?,450,"36,9","2,4","27,1",D,"[""L'Aziana""]","['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses de foie', 'Saucisses de foie de porc', 'Figatellus']","['E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition', 'E300 - Acide ascorbique']",,3,36.9 g,en quantité élevée,13.9 g,en quantité élevée,0.6 g,en faible quantité,3.57 g,en quantité élevée,,-10%,1883 kj(450 kcal),-10%,-13%,"13,94",+2%,-37%,"0,6",-70%,+4%,"3,57",-4%,"1,428",-4%,25,+3%,E,+3%,88.6%,4.9%,1.5%,1.3%,0.8%,2.9%,27,,['Plastique'],"['France', 'Foie de porc origine France', 'Viande de porc origine France']",,,,,,
1608,Coppa fumée - L'Aziana,3760038770678,,['France'],"['Échine de porc origine France', 'sel', 'poivre', 'vinaigre', 'sucres', 'conservateur E252', 'boyaux naturels']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,293,"18,1",1,"32,6",E,"[""L'Aziana""]","['Viandes', 'Charcuteries', 'Coppa']","['E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition']",,3,18.1 g,en quantité modérée,7.72 g,en quantité élevée,0.2 g,en faible quantité,6.29 g,en quantité élevée,,-3%,1226 kj(293 kcal),-1%,-11%,"7,72",-2%,+63%,"0,2",-38%,+23%,"6,29",+41%,"2,516",+41%,20,-1%,E,-1%,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,,,"['France', 'Porc origine France']",,,,,,
1609,Lonzo fumé de l'île de beauté - L'Aziana - 500g,3760038770685,"['Viande-francaise', 'Viande-porcine-francaise']",['France'],"['Carré de porc origine France', 'sel', 'poivre', 'vinaigre', 'sucres', 'conservateur E252', 'boyaux naturels']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,190,"7,1",1,"31,5",D,"[""L'Aziana""]","['Viandes', 'Charcuteries', 'Porc', 'Filet maigre de porc', 'Filet de porc']","['E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition']",,3,7.1 g,en quantité modérée,3.27 g,en quantité modérée,0.4 g,en faible quantité,5.32 g,en quantité élevée,,,795 kj(190 kcal),+20%,+35%,"3,27",+60%,+39%,"0,4",-32%,+40%,"5,32",+283%,"2,128",+283%,15,+200%,D,+200%,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,500g,['Sec'],,,['FR 2A-031-014 CE'],,,,
1610,Saucisson sec Label rouge,3760038770715,['Label Rouge'],['France'],[],[],?,301,"16,7","0,8","36,8",D,,"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs']",,,,16.7 g,en quantité modérée,6.44 g,en quantité élevée,0.4 g,en faible quantité,5.8 g,en quantité élevée,,-25%,1259 kj(301 kcal),-26%,-47%,"6,44",-48%,-64%,"0,4",-71%,+33%,"5,8",+24%,"2,32",+24%,19,-21%,E,-21%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,,,,,,,,
1611,Boudin Noir,3760039210043,,['France'],[],[],?,282,25,"2,2",11,D,,"['Viandes', 'Charcuteries', 'Poissons et viandes et oeufs', 'Abats', 'Boudins', 'Produits tripiers', 'Boudins noirs', 'Boudin noir sauté']",,,,25 g,en quantité élevée,9.9 g,en quantité élevée,2.2 g,en faible quantité,1.5 g,en quantité modérée,,+16%,1180 kj(282 kcal),+16%,+24%,"9,9",+26%,-47%,"2,2",+5%,+3%,"1,5",+3%,"0,6",+3%,18,+15%,D,+15%,87.1%,4.2%,2.1%,1.8%,1.0%,3.9%,35,,,,,,,,,
1612,le titi parisien - la parisienne - 33cl,3760039240057,,['France'],[],[],?,?,?,?,?,,['la parisienne'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33 cl,,,,,,,,
1613,Jus de pomme,3760039400024,,['France'],[],[],?,44,0,11,0,C,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de pomme']",,,,0 g,en faible quantité,0 g,en faible quantité,11 g,en quantité élevée,,,,-4%,184 kj(44 kcal),-4%,-100%,0,-100%,+1%,11,+7%,-100%,,,,,,,,,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,,,,,,,,,
1614,Pur Jus De Pomme Bio - Biopom,3760039450012,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],[],[],?,42,?,?,"0,5",B,['Biopom'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits pur jus', 'Jus de pomme', 'Jus de pommes pur jus']",,,,,,0.5 g,en faible quantité,9.7 g,en quantité élevée,0.001 g,en faible quantité,,-9%,176 kj(42 kcal),-8%,,"0,5",+1384%,,"9,7",-7%,+128%,"0,001",-92%,0,-92%,,,,,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,,,,,,,,,
1615,100 % Pur Jus de Poire Biologique - Biopom - 1L,3760039450036,"['Peu ou pas de sucre', 'Bio', 'Ecocert', 'Bio européen', 'AB Agriculture Biologique', 'Point Vert', 'Fabriqué en France', 'Sans sucre ajouté', 'Sans colorants', 'Sans conservateurs', 'Pur jus', 'Eco-Emballages', 'Sans jus de poire concentré']",['France'],"[""Poires issues de l'agriculture biologique""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",165,?,"< 0,1","9,6","0,1",C,"['Biopom', 'Almata']","['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de poire', 'Jus de fruits pur jus', 'Jus de poire pur jus']",,,1,0.1 g,en faible quantité,0.02 g,en faible quantité,8.1 g,en quantité élevée,0.00254 g,en faible quantité,,,165 kj(39 kcal),-21%,-58%,"0,02",-54%,-17%,"8,1",-19%,-69%,"0,003",-65%,"0,001",-65%,2,-56%,C,-56%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,1 L,"['Brique', 'Carton', 'Bouchon', 'Plastique', 'Tetra Pak']",,"[""Laiterie de Saint-Denis-de-l'Hôtel (LSDH) - 10 Route de l'Aérodrome - Les Grandes Beaugines - 45550 Saint-Denis-de-l'Hôtel"", 'Loiret', 'Centre-Val de Loire', 'France']","['EMB 45273', ""Saint-Denis-de-l'Hôtel (Loiret, France)""]",,['Carrefour'],,http://www.almata.fr/produits.php?idp=2
1616,Anchoiade -,3760039500090,,['France'],[],[],?,436,41,"2,93",14,,,"['Produits à tartiner', 'Produits à tartiner salés', 'Anchoïade']",,,,41 g,en quantité élevée,4.65 g,en quantité modérée,0.14 g,en faible quantité,0.01 g,en faible quantité,,+9%,1824 kj(436 kcal),+9%,+3%,"4,65",-6%,+23%,"0,14",-73%,+69%,"0,01",-100%,"0,004",-100%,4,-79%,C,-79%,,,,,,,,,,,,,,,,
1617,Carottes râpées assaisonnées - Tout feu tout frais - 700g,3760039502018,"['Sans additifs', 'Sans colorants', 'Sans arômes ajoutés', 'Sans conservateurs']",['France'],"['Carottes râpées 84%', 'huile de colza', ""vinaigre d'alcool"", 'jus de citron', 'sel de Guérande', 'poivre']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,115,"9,7","4,8","0,6",B,"['Tout feu tout frais', 'Brédial']","['Plats préparés', 'Légumes préparés', 'Carottes râpées', 'Carottes râpées assaisonnées']",,,3,9.7 g,en quantité modérée,0.7 g,en faible quantité,2.6 g,en faible quantité,0.6 g,en quantité modérée,,+44%,481 kj(115 kcal),+45%,+92%,"0,7",+58%,-21%,"2,6",-48%,-31%,"0,6",-7%,"0,24",-7%,-5,-1226%,A,-1226%,62.4%,0.0%,0.0%,18.7%,12.9%,6.0%,98,700 g,"['Frais', 'Barquette', 'Plastique']",,['Bretagne'],"['FR 29.160.020 CE', 'Plabennec (Finistère, France)']",,,,https://www.toutfeu-toutfrais.com/carottes-fraiches-rapees-xml-469_471-7171.html
1618,Macedoine de legumes - mayonnaise - Tout feu tout frais - 800g,3760039502056,"['Sans additifs', 'Sans conservateur artificiel', 'Sans colorants', 'Sans arômes ajoutés', 'Sans sulfites']",['France'],"['Pomme de terre 44%', 'mayonnaise [huile de colza', ""jaune d'OEUF"", 'eau', 'MOUTARDE de Dijon ', 'eau', 'graines de MOUTARDE', 'vinaigre,\rsel', 'vinaigre', 'sel', 'sucre]', 'carotte 19%', 'petit pois 16 %', 'eau', 'sel de Guérande', 'jus de citron']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",713,?,15,"5,6","1,8",,['Tout feu tout frais'],"['Plats préparés', 'Légumes préparés', 'Entrées', 'Entrées froides', 'Macédoines de légumes']",,"['Œufs', 'Moutarde']",3,15 g,en quantité modérée,1.2 g,en faible quantité,2.9 g,en faible quantité,1.1 g,en quantité modérée,+91%,,713 kj(170 kcal),+83%,+167%,"1,2",+144%,-4%,"2,9",+79%,-23%,"1,1",+42%,"0,44",+42%,3,+1264%,C,+1264%,,,,,,,,800 g,,,['Bretagne'],"['FR 29.160.020 CE', 'Plabennec (Finistère, France)']",,,,http://www.bredial.com
1619,Salade Riviera - Tout feu tout frais - 500g,3760039502407,"['Sans conservateur artificiel', 'Sans sulfites']",['France'],"['Riz 32%', 'surimi 20% [eau', 'chair de POISSON 35 %', 'amidon de BLE', ""blanc d' OEUF poudre réhydraté"", 'huile de colza', 'sucre', 'sel,\rarômes ', 'contient POISSONS et CRUSTACES', 'colorant : extrait de paprika]', 'concombre 10%', 'carotte cuite', 'maïs', 'vinaigrette [huile de\rcolza', 'MOUTARDE de Dijon ', 'eau', 'graines de MOUTARDE', 'vinaigre', 'sel', ""vinaigre de vin blanc et d'alcool"", 'eau', 'sel]', 'sauce coleslaw\r[huile de colza', 'eau', 'fromage blanc à 3', '1% de matière grasse 10% ', 'LAIT demi-écrémé pasteurisé', 'ferments lactiques', 'sucre,\rMOUTARDE ', 'eau', 'graines de MOUTARDE', 'vinaigre', 'sel', 'vinaigre', ""jaune d'OEUF"", 'farine de carotte', 'sel] sel de Guérande', ' À\rCONSOMMER RAPIDEMENT']","['Non végétalien', 'Non végétarien']",?,177,13,2,"2,3",,"['Tout feu tout frais', 'Brédial']","['Plats préparés', 'Salades', 'Plats préparés au poisson', 'Salades composées']",['E160c - Extrait de paprika'],"['Crustacés', 'Œufs', 'Poisson', 'Gluten', 'Lait', 'Moutarde']",4,13 g,en quantité modérée,0.9 g,en faible quantité,1.4 g,en faible quantité,0.53 g,en quantité modérée,,+16%,741 kj(177 kcal),+17%,+45%,"0,9",-33%,-80%,"1,4",-38%,-58%,"0,53",-40%,"0,212",-40%,2,+32%,B,+32%,,,,,,,,500g,"['Frais', 'Barquette', 'Olastique']",,['Bretagne'],"['FR 29.160.020 CE', 'Plabennec (Finistère, France)']","Salade riz, surimi, vinaigrette, concombre, carotte et maïs",,,https://www.toutfeu-toutfrais.com/salade-riviera-xml-469_474-7237.html
1620,Far Breton aux Pruneaux - Tout Feu Tout Frais - 260g,3760039502902,"['Végétarien', 'Sans colorants', 'Sans arômes ajoutés']",['France'],"['LAIT', 'OEUF', 'pruneaux ', '17%', "" [pruneaux d'Agen"", 'conservateur : sorbate de potassium ', 'E202', ']', 'sucre', 'farine de blé ', 'GLUTEN', 'beurre ', 'LAIT', 'crème ', 'LAIT', 'fécule de manioc', 'sel']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",1002,?,"9,5",32,"5,2",C,"['Tout Feu Tout Frais', 'Bredial']","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Gâteaux bretons', 'Fars']","['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']","['Œufs', 'Gluten', 'Lait']",4,9.5 g,en quantité modérée,6.5 g,en quantité élevée,21 g,en quantité élevée,0.28 g,en faible quantité,,,1002 kj(239 kcal),+15%,+65%,"6,5",+159%,-4%,21,+5%,-0%,"0,28",-8%,"0,112",-8%,11,+73%,D,+73%,70.7%,20.7%,4.2%,2.1%,2.2%,0.0%,58,260 g,"['Frais', 'Aluminium', 'Barquette']",,"['France', 'Bretagne']","['FR 29.160.020 CE', 'Plabennec (Finistère, France)', 'FR 29.150.020 CE', 'Moëlan-sur-Mer (Finistère, France)']",Far Breton aux Pruneaux,,,https://www.toutfeu-toutfrais.com/far-breton-aux-pruneaux-parts-xml-356_362-7511.html
1621,Macédoine au surimi (20%) - Tout Feu Tout Frais - 500g,3760039505026,"['Sans conservateur artificiel', 'Sans sulfites']",['France'],"['Pomme de terre 34 %', 'surimi 20 % [eau', 'chair de POISSON 35%', 'amidon de BLE', ""blanc d'OEUF poudre réhydraté"", 'huile de colza,\rsucre', 'sel', 'arômes ', 'POISSONS et CRUSTACES', 'colorant: extrait de paprika]', 'carotte 15 %', 'mayonnaise [huile de colza', ""jaune d'OEUF,\reau"", 'MOUTARDE de Dijon ', 'eau', 'graines de MOUTARDE', 'vinaigre', 'sel', 'vinaigre', 'sel', 'sucre]', 'petit pois 8%', 'sel de Guérande', 'jus de\rcitron']","['Non végétalien', 'Non végétarien']",642,?,12,"7,7",3,,"['Tout Feu Tout Frais', 'Brédial']","['Plats préparés', 'Salades', 'Plats préparés au poisson', 'Salades composées']",['E160c - Extrait de paprika'],"['Crustacés', 'Œufs', 'Poisson', 'Gluten', 'Moutarde']",4,12 g,en quantité modérée,0.9 g,en faible quantité,0 g,en faible quantité,1.1 g,en quantité modérée,+5%,,642 kj(153 kcal),+2%,+34%,"0,9",-33%,-24%,0,-100%,-46%,"1,1",+25%,"0,44",+25%,2,+32%,B,+32%,,,,,,,,500g,"['Frais', 'Barquette', 'Plastique']",,['Bretagne'],"['FR 29.160.020 CE', 'Plabennec (Finistère, France)']",,,,https://www.toutfeu-toutfrais.com/macedoine-au-surimi-xml-469_474-7210.html
1622,Hachis parmentier pu boeuf français - Tout feu tout frais - 400g,3760039509673,"['Sans additifs', 'Sans colorants', 'Sans arômes ajoutés', 'Sans conservateurs']",['France'],"['Purée de pommes de terre 76', '5 % : pommes de terre 93', '6 %', 'LAIT', 'beurre ', 'LAIT', 'sel', ' Farce 23', '5 % : viande de boeuf haché ', 'origine FR', 'oignon', 'beurre ', 'LAIT', 'bouquet de légumes [légumes ', '65%', ' et jus de cuisson de légumes ', 'carotte', 'poireau', 'oignon', 'ail', 'extrait de vin blanc', 'sel', 'huile de tournesol', ""extraits d'épices "", 'thym', 'laurier', 'girofle', ']', 'fond de boeuf [viande de boeuf et jus de cuisson de viande de boeuf', 'sel]', 'fond de veau [viande et jus de cuisson de veau', 'sel]', 'persil', 'poivre']","['Non végétalien', 'Non végétarien']",534,?,"7,4","7,2","7,5",E,"['Tout feu tout frais', 'Brédial']","['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au bœuf', 'Hachis parmentier']",,['Lait'],3,7.4 g,en quantité modérée,4.3 g,en quantité modérée,0.5 g,en faible quantité,0.57 g,en quantité modérée,+10%,,534 kj(128 kcal),+3%,+21%,"4,3",+48%,-28%,"0,5",-69%,+21%,"0,57",-22%,"0,228",-22%,0,-100%,B,-100%,91.5%,4.4%,1.4%,1.5%,0.8%,0.5%,27,400g,"['Frais', 'Barquette']",,['Bretagne'],"['FR 29.160.020 CE', 'Plabennec (Finistère, France)']",,,,https://www.toutfeu-toutfrais.com/hachis-parmentier-boeuf-francais-part-xml-356_359-7517.html
1623,"Gratin de brocoli, chou-fleur et jambon - Tout feu tout frais - 380g",3760039509697,"['Sans additifs', 'Sans colorants', 'Sans arômes ajoutés', 'Sans conservateurs']",['France'],"['Brocoli 34 %', 'chou-fleur 34 %', 'jambon cuit supérieur origine FR 13', '4 % ', 'Jambon de porc ', '90%', 'eau', 'sel', 'dextrose', 'gelatine G de porc ', 'bouillon ', 'blette', 'acerola ', 'carotte', 'ferments', 'crème ', 'crème ', 'LAIT', 'ferments lactiques', 'emmental ', 'LAIT', 'sel', 'farine de blé ', 'GLUTEN', ' ', 'huile de colza', 'poivre']","['Non végétalien', 'Non végétarien']",482,?,"8,7",2,"6,2",,"['Tout feu tout frais', 'Brédial']","['Plats préparés', 'Frais', 'Gratins']",['E428 - Gélatine'],"['Gluten', 'Lait']",4,8.7 g,en quantité modérée,5 g,en quantité modérée,0 g,en faible quantité,1.1 g,en quantité modérée,-4%,,482 kj(115 kcal),-9%,+25%,5,+30%,-80%,0,-100%,+29%,"1,1",+55%,"0,44",+55%,2,-53%,B,-53%,,,,,,,,380g,"['Barquette', 'Frais']",,['Bretagne'],"['FR 29.160.020 CE', 'Plabennec (Finistère, France)']",,,,https://www.toutfeu-toutfrais.com/gratin-brocoli-chou-fleur-jambon-part-xml-356_359-7518.html
1624,Huile d'olive vierge extra -,3760039601087,,['France'],[],[],?,810,"91,5",0,0,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,,,91.5 g,en quantité élevée,12.6 g,en quantité élevée,0 g,en faible quantité,0.0024 g,en faible quantité,,-6%,3389 kj(810 kcal),-5%,-4%,"12,6",-10%,,0,,,"0,002",+4662%,"0,001",+4662%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,
1625,Huile de olive -  - 50cl,3760039601193,,['France'],[],[],3389,?,"91,5",0,0,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,,,91.5 g,en quantité élevée,12.6 g,en quantité élevée,0 g,en faible quantité,0.0025 g,en faible quantité,-4%,,3389 kj(810 kcal),-5%,-4%,"12,6",-10%,,0,,,"0,002",+4860%,"0,001",+4860%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,50 cl,,,,,huile d'olive,,,
1626,Croquants d'Auvergne - B. Cabugnac - 1,3760039720016,,['France'],[],[],?,?,?,?,?,,"['B. Cabugnac', 'artisan boulanger pâtissier']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
1627,3760039901354,3760039901354,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1628,Sylvaner - Cellier des Maymatten - Ruhlmann - 75cl,3760039903112,"['Déconseillé à certaines catégories de personnes', 'Fabriqué en France', 'Contient des sulfites', 'AOC', 'Déconseillé aux femmes enceintes']",['France'],"['Vin blanc', ' Contient des sulfites ', 'E220']","['Sans huile de palme', 'Peut-être végétalien', 'Végétarien']",?,?,?,?,?,B,['Ruhlmann'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Vins blancs', ""Vin d'Alsace""]","['E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition']",['Anhydride sulfureux et sulfites'],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,75 cl,"['Verre', 'Bouteille']",['France'],['France'],,,,,
1629,Dessert glacé - L'Angélys - 450g,3760039980175,"['en:gluten-free', 'Sans colorants', 'Sans conservateurs']",['France'],[],[],?,163,5,26,2,,"[""L'Angélys""]",,,,,,,,,,,,,,,682 kj(163 kcal),,,"3,1",,,22,,,"0,05",,"0,02",,,,,,,,,,,,,450g,,,,,,,,
1630,Dessert glacé - L’angélys,3760039980618,"['en:gluten-free', 'Sans colorants', 'Sans conservateurs']",['France'],"['Crème glacée Vanille ', '43%', ' : eau', 'sucre', 'lait demi-écrémé pasteurisé', ""jaune d'œuf"", 'crème', 'sirop de glucose de mais', 'de lait écrémé', 'beurre concentré', 'gousses de vanille bourbon ', '0', '6%', 'émulsifiant ', ""mono et diglycérides d'acides gras"", 'stabilisants de graines de caroube', 'farine de graines de guar', 'alginate de sodium et carraghénanes', ' Crème glacée Noix ', '43%', ' : eau', 'crème sucre', 'poudre de lait écrémé', 'purée de noix ', 'fruit à coque', ' ', '6', '5%', 'sirop de glucose de mais', 'émulsifiant ', ""mono et diglycéride-s d'acides gras"", 'stabilisants ', 'farine de graines de caroube', 'farine de graines de de sod\\um ex carraghénanes', ' Génoise imbibée ', '8%', ': génoise ', 'fécule de pomme de terre', 'sucre', 'oeufs entiers', 'eau', ""poudre de blanc d'eufs"", 'poudre lever ', 'diphosphate', 'carbonates de sodium', 'émulsifiant ', ""mono et diglycérides d'acides gras"", 'sel', 'eau', 'sucre', ' Décor ', '6%', ' : brisures de noix ', 'noix ', 'fruit à coque', 'sucre', 'beurre de cacao', 'chocolat ', 'beurre de cacao', 'sucre', 'colorant ', 'dioxyde de titane']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,654,"9,4",25,"4,3",,['L’angélys'],,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E412 - Gomme de guar', 'E401 - Alginate de sodium', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E410 - Gomme de caroube', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E171 - Oxyde de titane']","['Œufs', 'Lait', 'Fruits à coque']",4,,,,,,,,,,,2736 kj(654 kcal),,,"6,3",,,18,,,"0,05",,"0,02",,,,,,,,,,,,,,,,,,,,,
1631,Crème glacée yaourt au lait entier coulis de framboise - L angelys - 500g,3760039982407,,['France'],[],[],?,149,"3,7","24,59","2,42",,"['L angelys', ""L'Angélys""]",,,,,,,,,,,,,,,623 kj(149 kcal),,,"2,41",,,"23,56",,,"0,1",,"0,04",,,,,,,,,,,,,500 g,,,,,,,,
1632,Creme glacee yaourt lait entier coulis de fruit exotique - L'Angélys,3760039982414,"['en:gluten-free', 'Sans colorants', 'Sans conservateurs']",['France'],[],[],?,143,"3,7","23,12","2,45",,"[""L'Angélys""]",,,,,,,,,,,,,,,598 kj(143 kcal),,,"2,41",,,"21,86",,,"0,08",,"0,032",,,,,,,,,,,,,,,,,"['FR 17.164.003 CE', 'Fontcouverte (Charente-Maritime, France)']",,,,
1633,Crème glacée vanille noix de pécan coulis caramel ANGELYS - L angelys,3760039982421,,['France'],"[' Eau', 'sucre', 'coulis de INGREDIENTS caramel sirop de glucose de maïs', 'crème', 'ait entier', 'beurre frais', 'dextrose', 'émylsifiant ', 'lécithine de bicarbonëte de de noix pécan caramélisés ', '8%', ""'"", 'fruit à g—', "" jaupe cl'Œufs"", 'crème', 'ait écrémé', 'beurre concentré', 'gousses entieres de vanilFT/6', ""émulsifiant : mono et diglycérides d'acides gras"", 'stabilisants ', 'farine de graines de caroube et omme de cguar,alginatedesodiumetcarrag énanes']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,241,"12,56","24,96","4,29",B,['L angelys'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Crèmes glacées en pot', 'Crèmes glacées à la Noix de Pécan']","['E322i - Lécithine', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E410 - Gomme de caroube']",['Lait'],4,12.6 g,en quantité modérée,2.7 g,en quantité modérée,19.6 g,en quantité élevée,0.03 g,en faible quantité,,+10%,1008 kj(241 kcal),+10%,+15%,"2,7",-61%,-5%,"19,55",-13%,+28%,"0,03",-80%,"0,012",-80%,7,-44%,C,-44%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,,,,,,,,
1634,Crème glacée yaourt au lait entier coulis de fraise - L angelys - 750ml,3760039982445,['Sans colorants'],['France'],"['Yaourt brassé sucré au lait demi-écrémé', 'lait entier ', '31%', 'crème', 'sucre', 'coulis de fraise ', '8%', 'eau', 'sirop de glucose de maïs', 'émulsifiant ', ""mono et diglycérides d'acides gras"", 'stabilisants ', 'farine de graines de caroube', 'alginate de sodium', 'gomme de guar', 'carraghénanes']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,139,"3,75","22,09","2,42",,"['L angelys', ""L'Angelys""]",,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E410 - Gomme de caroube', 'E401 - Alginate de sodium', 'E412 - Gomme de guar', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",['Lait'],4,,,,,,,,,,,582 kj(139 kcal),,,"2,41",,,"20,34",,,"0,09",,"0,036",,,,,,,,,,,,,750 ml,,,,,,,,
1635,Sorbet Façon Mojito - L'Angélys - 750ml / 500g,3760039982605,"['Sans colorants', 'Sans conservateurs', 'en:gluten-free', 'Point Vert', 'Fabriqué en France', 'Sans arômes ajoutés', 'PEFC', 'Entrepreneurs + Engagés', 'Triman', 'Produits faisant référence au Mojito']",['France'],"['Eau', 'jus de citron vert zesté ', '27 %', 'sucre', 'sirop de glucose de maïs', 'rhum blanc 55 % vol ', '42 %', 'sirop de sucre inverti', 'feuille de menthe ', '0', '7 %', 'stabilisants ', 'farine de graine de caroube', 'pectine', 'protéine de pomme de terre']",[],?,123,"< 0,3","29,9","< 0,4",C,"[""L'Angélys""]","['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Sorbets', 'Sorbets au citron vert']","['E410 - Gomme de caroube', 'E440 - Pectines']",,4,0.3 g,en faible quantité,0 g,en faible quantité,22 g,en quantité élevée,0.13 g,en faible quantité,,+1%,515 kj(123 kcal),+2%,+16%,0,-100%,+2%,22,-8%,+32%,"0,13",+245%,"0,052",+245%,5,-10%,C,-10%,79.1%,7.1%,4.2%,4.2%,3.4%,2.0%,56,750 ml / 500 g,"['Bac', 'Plastique', 'Surgelé', 'Carton']",,"['France', 'Charente-Maritime']",,Sorbet Plein Fruit Façon Mojito,,,
