,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,brand,labels,ingredients_origins,manufacturing,traceability_code,markets,quantity,link,additives,allergens,nova_score,palm_ingredients,generic_name,brand_owner,origin_detail
1477,Panés de blé,3256228115010,['France'],[],[],?,273,15,18,15,,,,,,,,,,,,,1142 kj(273 kcal),,,"1,4",,,"0,5",,,"0,6",,"0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1478,Caramel Corn Snack,4901940111107,['France'],[],[],?,565,"34,8","58,6","4,3",,,,,,,,,,,,,2364 kj(565 kcal),,,"18,5",,,56,,,"0,5",,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1479,Pain hamburger,2020008770154,['France'],[],[],?,287,"2,6",55,"9,1",,,,,,,,,,,,,1201 kj(287 kcal),,,"0,5",,,"1,5",,,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1480,Soupe de poissons - 780g,3295982309709,['France'],[],[],?,48,"1,5","2,1","6,6",E,"['Plats préparés', 'Soupes', 'Soupes à réchauffer', 'Soupes de poissons']",1.5 g,en faible quantité,0.37 g,en faible quantité,0.2 g,en faible quantité,0.973 g,en quantité modérée,,0%,201 kj(48 kcal),+1%,-21%,"0,37",-18%,+15%,"0,2",-69%,+28%,"0,973",+10%,"0,389",+10%,0,-100%,B,-100%,89.9%,2.6%,1.2%,5.2%,0.8%,0.3%,25,,,['Label Rouge'],,,,,780 g,,,,,,,,
1481,Chocolat talons -,3760335344596,['France'],[],[],?,553,34,53,"7,4",,,,,,,,,,,,,2314 kj(553 kcal),,,22,,,50,,,"0,26",,"0,104",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1482,Chisheng Starch Ball,4713958217821,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1483,Mi Goreng,8994963002800,['France'],[],[],?,482,"20,8","62,2","9,8",,,,,,,,,,,,,2017 kj(482 kcal),,,"9,7",,,"6,8",,,2,,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1484,Pavé fibre & omega,3248288148879,['France'],[],[],?,293,"8,1",41,11,,,,,,,,,,,,,1226 kj(293 kcal),,,"0,9",,,"2,8",,,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1485,Viva Mexico,3520730017798,['France'],[],[],?,230,23,3,3,,,,,,,,,,,,,962 kj(230 kcal),,,4,,,0,,,"0,95",,"0,38",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1486,Wild Blueberry Honey,0079762003086,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1487,SMARTIES,7613287403216,['France'],[],[],?,471,"18,8","67,8","6,3",,,,,,,,,,,,,1971 kj(471 kcal),,,"11,4",,,"62,5",,,"0,12",,"0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1488,Blueberry Salsa,0665121227592,['France'],[],[],?,20,0,3,1,,,,,,,,,,,,,84 kj(20 kcal),,,0,,,2,,,"0,375",,"0,15",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1489,Thé noir aromatisé à la bergamote,0054881010917,['France'],[],[],?,1,0,"0,2","0,1",,,,,,,,,,,,,4 kj(1 kcal),,,0,,,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1490,Da il gigante olio extra vergine di oliva,8023797145879,['France'],[],[],?,824,92,0,0,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",92 g,en quantité élevée,15 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,-4%,3448 kj(824 kcal),-4%,-4%,15,+7%,,0,,,0,-100%,0,-100%,7,+14%,C,+14%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,,,,,
1491,Decaffeinated Royal Blend Tea,5053826000230,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1492,Pasta linguine,8023861216009,['France'],[],[],?,349.7,"1,5","72,2",13,,,,,,,,,,,,,1463 kj(349 kcal),,,"0,4",,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1493,Saucisson sex - Monoprix gourmet,2015621270174,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Monoprix gourmet'],,,,,,,,,,,,,,
1494,Cigare,4000862922102,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1495,Emmental 28%mg - Fromager st omer,2683570023662,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fromager st omer'],,,,,,,,,,,,,,
1496,Penne Mit Hähnchenbrust,24325738,['France'],[],[],?,497,"3,4","13,2",8,,,,,,,,,,,,,2079 kj(497 kcal),,,"1,2",,,"3,3",,,"0,5",,"0,2",,,,,,,,,,,,,,,,,,['FSC-C017110'],,,,,,,,,,
1497,Graine 2 bulle,3770010797258,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1498,muffin,8423915008954,['France'],[],[],?,414,20,"57,3","4,6",,,,,,,,,,,,,1732 kj(414 kcal),,,"3,5",,,"26,6",,,"0,75",,"0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1499,Terrine a la choucroute,3760037492816,['France'],[],[],?,230,17,3,16,,,,,,,,,,,,,962 kj(230 kcal),,,"6,5",,,"2,3",,,"2,4",,"0,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500,Citirtat,8698613388473,['France'],[],[],?,429,11,64,21,,,,,,,,,,,,,1795 kj(429 kcal),,,0,,,7,,,"2,455",,"0,982",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1501,Truffe melanosporum entiere,8421939810119,['France'],[],[],?,85,1,12,6,,,,,,,,,,,,,356 kj(85 kcal),,,0,,,"0,5",,,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1502,Schweppes agrum,0187015000055,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1503,Amande décortiquée BIO,0200002018830,['France'],[],[],?,?,?,?,?,E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Fruits à coques décortiqués', 'Amandes', 'Amandes décortiquées']",,,,,,,,,,,,,,,,,,,,,,,,,,,,96.4%,0.5%,1.0%,1.5%,0.7%,0.0%,11,,,,,,,,,,,,,,,,
1504,Mini bûchettes fume - Terre  de l’alpe,3760165981503,['France'],[],[],?,521,43,3,31,,,,,,,,,,,,,2180 kj(521 kcal),,,15,,,"2,5",,,,,,,,,,,,,,,,,,,['Terre  de l’alpe'],,,,"['FR 73.215.001 CE', 'Rochette (Savoie, France)']",,,,,,,,,,
1505,Brioche - Agidra - 450g,3580280748009,['France'],[],[],?,331,10,52,"7,4",C,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches']",10 g,en quantité modérée,6.2 g,en quantité élevée,10 g,en quantité modérée,0.95 g,en quantité modérée,,-9%,1385 kj(331 kcal),-9%,-28%,"6,2",-19%,+2%,10,-49%,-1%,"0,95",+31%,"0,38",+31%,16,-6%,D,-6%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,"['Sachet en plastique', 'Clip en plastique']",['Agidra'],['Fabriqué en France'],,,"['EMB 57497', 'Nelling (Moselle, France)']",,450 g,,,,,,,,
1506,Ficelles de Pain Froment - Pasquier - 210g,3182180002443,['France'],"['Farine de BLÉ 85% - Farine de maïs - Huile de tournesol - Sucre - Levure boulangère - Levain de BLÉ deshydraté - Sel - Minéraux de mer ', 'potassium', 'magnésium', 'calcium', ' - Protéines de BLÉ']",['Sans huile de palme'],"1644,6",389.8,"7,4",68,10,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains grillés', 'Ficelles de pain']",7.4 g,en quantité modérée,0.8 g,en faible quantité,5.1 g,en quantité modérée,1.3 g,en quantité modérée,+1%,+0%,"1644,6 kj(389 kcal)",+0%,+0%,"0,8",-49%,+4%,"5,1",-6%,-9%,"1,3",+6%,"0,52",+6%,0,-100%,B,-100%,64.1%,19.9%,9.0%,6.2%,0.8%,0.0%,91,"['Sachets fraîcheur de partitions film plastique', 'Film en plastique', 'Etui en carton', 'Film en plastique', 'Etui en carton']","['Pasquier', 'Brioche Pasquier']","['Sans OGM', 'Nutriscore', 'Nutriscore B']",,,,,210 g,,,['Gluten'],3,,Ficelles de pain,,
1507,Flocon d’avoine fin,3100000000020,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1508,Fusilli bio,3770014084064,['France'],[],[],?,348,"1,83","67,4","12,3",,,,,,,,,,,,,1456 kj(348 kcal),,,"0,4",,,"5,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1509,Nectar de Cerise,3760079080071,['France'],[],[],?,60,"0,5",14,"0,5",,,,,,,,,,,,,251 kj(60 kcal),,,"0,03",,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1510,Chips banane en vrac,0204554021126,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1511,MUSCLE MASS GAINER,5903111089320,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1512,MinibiscottIGPanna,8000212061334,['France'],[],[],?,92,"7,7",54,"5,6",,,,,,,,,,,,,385 kj(92 kcal),,,"4,6",,,23,,,"0,25",,"0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1513,Bohenia,8594000940654,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1514,Filetes de caballa de andalucía aceite de girasol,8411317101144,['France'],[],[],?,195,10,0,26,,,,,,,,,,,,,816 kj(195 kcal),,,"1,2",,,0,,,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1515,Pralines concassées-prêt à l’emploi,3336627001388,['France'],[],[],?,423,"5,9","88,5","2,8",,,,,,,,,,,,,1770 kj(423 kcal),,,"0,4",,,"87,9",,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1516,Le thé de Diane,0001580690001,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1517,Glace vanilla - Häagen-Dazs,12131100,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Häagen-Dazs'],,,,,,,,,,,,,,
1518,Canard de Pékin à griller avec tête - thomassen duck-to - 2400g,8717035043248,['France'],['Canard'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,313,28,?,"15,3",C,"['Viandes', 'Surgelés', 'Volailles', 'Canards', 'Canards surgelés']",28 g,en quantité élevée,9.3 g,en quantité élevée,0.19 g,en faible quantité,0.25 g,en faible quantité,,+20%,1310 kj(313 kcal),+20%,+44%,"9,3",+44%,,"< 0,19",-58%,-22%,"< 0,25",-81%,"0,1",-81%,13,+11%,D,+11%,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,"['Plastique', 'surgelé']",['thomassen duck-to'],"['Sans antibiotique', 'Halal']",['Pays-Bas'],,['NL 5944 EG'],['Paris Store'],2400 g,,,,1,,,,
1519,Jambon de coche mai son oberti,0206274023428,['France'],[],[],?,230,12,"1,9",29,,,,,,,,,,,,,962 kj(230 kcal),,,"3,6",,,0,,,"5,3",,"2,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1520,Boudin antillais,3760091790071,['France'],[],[],?,106,"8,6","21,25","5,84",,,,,,,,,,,,,444 kj(106 kcal),,,"1,34",,,"0,47",,,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1521,Jus de pomme poire bio,3770003450474,['France'],[],[],?,51,"0,5",11,"0,5",,,,,,,,,,,,,213 kj(51 kcal),,,"0,1",,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1522,Guimauve cricks,2600687031687,['France'],[],[],?,433,19,61,4,,,,,,,,,,,,,1812 kj(433 kcal),,,13,,,51,,,"0,14",,"0,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1523,Tri-C mango,0627164260028,['France'],[],[],?,50,"1,64",89,"0,57",,,,,,,,,,,,,209 kj(50 kcal),,,"0,89",,,89,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1524,Donut chocolat,6999902004756,['France'],[],[],?,437,27,39,"7,7",D,"['Biscuits et gâteaux', 'Gâteaux', 'Donuts', 'Beignets fourrés au chocolat']",27 g,en quantité élevée,14 g,en quantité élevée,14 g,en quantité élevée,1 g,en quantité modérée,,+1%,1828 kj(437 kcal),+1%,+4%,14,+11%,-8%,14,-11%,+19%,1,-4%,"0,4",-4%,22,+2%,E,+2%,77.1%,13.7%,3.6%,3.5%,1.9%,0.0%,52,,,,,,,,,,,,,,,,
1525,Cuisses de grenouille sauvages congelées - Java - 800g,3700887100370,['France'],['Cuisses de grenouille sauvages'],[],"303,7",72.31,"1,51",~ 0,"14,68",,"['Viandes', 'Surgelés', 'Grenouille', 'Cuisses de Grenouilles']",1.51 g,en faible quantité,1.28 g,en faible quantité,0.48 g,en faible quantité,0.003 g,en faible quantité,,-47%,"303,7 kj(72 kcal)",-48%,-80%,"1,28",-68%,-100%,"0,48",+245%,-5%,"0,003",-99%,"0,001",-99%,-4,-263%,A,-263%,,,,,,,,"['Carton', 'surgelé']",['Java'],['Traité par rayonnement ionisant'],['Indonésie'],,,['Paris Store'],800 g,,,,,,,,
1526,Mijoté de panais et chou kale au saumon,3760269312562,['France'],[],[],?,62,2,"7,1","2,6",,,,,,,,,,,,,259 kj(62 kcal),,,"0,3",,,"2,2",,,"0,05",,"0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1527,Cola zero,3222477710368,['France'],[],[],?,0,0,0,0,,,,,,,,,,,,,0 kj(0 kcal),,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,"['EMB 49099K', 'Cholet (Maine-et-Loire, France)']",,,,,,,,,,
1528,Fraise,0250611023480,['France'],[],[],?,0,0,0,"14,9",,,,,,,,,,,,,0 kj(0 kcal),,,0,,,0,,,"0,24",,"0,096",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1529,Perits poids,3083681128819,['France'],[],[],?,79,"0,6","9,3","5,8",,,,,,,,,,,,,331 kj(79 kcal),,,"0,1",,,"3,7",,,"0,55",,"0,22",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1530,Wantan aux crevettes - Vientiane - 440g,3700003900464,['France'],[],[],?,?,?,?,?,,"['Surgelés', 'Plats préparés', 'Plats préparés surgelés', 'Plats aux fruits de mer', 'Plats aux crevettes']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Barquette', 'Plastique', 'surgelé']",['Vientiane'],,,,"['FR 94.076.229 CE', 'Villejuif (Val-de-Marne, France)']",['Paris Store'],440 g,,,,,,,,
1531,"Compotée de tomate, panais et boulgour",3760269312685,['France'],[],[],?,54,"0,8","8,8","1,8",,,,,,,,,,,,,226 kj(54 kcal),,,"0,1",,,"3,3",,,"0,025",,"0,01",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1532,Biscuit le gingembre,3362958207090,['France'],[],[],?,466,"21,13","60,35","6,63",,,,,,,,,,,,,1950 kj(466 kcal),,,"10,1",,,"32,65",,,"0,28",,"0,112",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1533,Délice de carotte et courge butternut,3760269312555,['France'],[],[],?,46,"0,7","8,3","0,9",,,,,,,,,,,,,192 kj(46 kcal),,,"0,1",,,"4,1",,,"0,075",,"0,03",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1534,Tige de taro surgelée - Sans marque - 200g,8935000914069,['France'],['Tige de taro surgelée'],[],"58,64",14.03,"0,11","2,82","0,44",,"['Surgelés', 'Taro surgelé', 'Tiges de taro']",0.11 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,-92%,-92%,"58,64 kj(14 kcal)",-92%,-99%,0,-100%,-85%,0,-100%,-91%,0,-100%,0,-100%,0,-100%,B,-100%,,,,,,,,"['Sachet', 'Plastique', 'surgelé']",['Sans marque'],,,['Vietnam'],,['Paris Store'],200 g,,,,,,,,
1535,"Trio de légumes anciens : panais, topinambour, rutabaga",3760269312715,['France'],[],[],?,40,"0,2","7,4",1,,,,,,,,,,,,,167 kj(40 kcal),,,"0,1",,,"3,2",,,"0,025",,"0,01",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1536,Fleurs de violette,3593670200117,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1537,"Écrasé de chou-fleur, pomme de terre et colin d'Alaska",3760269312708,['France'],[],[],?,45,"1,1","5,5","2,5",,,,,,,,,,,,,188 kj(45 kcal),,,"0,1",,,"0,8",,,"0,075",,"0,03",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1538,Carotte patate douce lentilles corail façon dahl,3760269312692,['France'],[],[],?,55,"1,2","7,8",2,,,,,,,,,,,,,230 kj(55 kcal),,,"0,2",,,"3,2",,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1539,Jus d'Orange Sanguine - Franprix,3267856453917,['France'],[],[],?,49,"0,8","9,5","0,8",D,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'orange"", ""Jus d'orange sanguine""]",0.8 g,en faible quantité,0.1 g,en faible quantité,9.5 g,en quantité élevée,,,,+11%,205 kj(49 kcal),+11%,+476%,"0,1",+415%,-3%,"9,5",+1%,+36%,,,,,,,,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,['Franprix'],,,,,['Franprix'],,,,,,,,,
1540,Bip License Mix Power Dips X36,8714786192461,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1541,Donut milka que j’ai lancé sur la tête d’Homer,4017040222961,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1542,Funghi Trif.gr.180 Simens,8000565000042,['France'],[],[],?,60,"4,2","2,2","2,4",,,,,,,,,,,,,251 kj(60 kcal),,,"0,5",,,"1,3",,,"1,8",,"0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1543,Le brassé nature avoine,0205853013492,['France'],[],[],?,63,4,"3,7","1,3",,,,,,,,,,,,,264 kj(63 kcal),,,"1,9",,,"0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1544,Biotin,8682276688056,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1545,Arachide Wasabi,2600287012338,['France'],[],[],?,468,21,56,11,,,,,,,,,,,,,1958 kj(468 kcal),,,"6,8",,,"9,7",,,"0,96",,"0,384",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1546,Yaourt,7613287171979,['France'],[],[],?,66,"2,3","8,5","2,3",,,,,,,,,,,,,276 kj(66 kcal),,,"1,2",,,"5,4",,,"0,075",,"0,03",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1547,76827044,76827044,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Pot en verre'],,,,,,,,,,,,,,,
1548,ökovital Bio-jo-frutti,4038857114010,['France'],[],[],?,335,1,75,6,,,,,,,,,,,,,1402 kj(335 kcal),,,"0,2",,,61,,,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1549,Jus de pruneau bio,3760278864106,['France'],[],[],?,83,0,20,"0,5",,,,,,,,,,,,,347 kj(83 kcal),,,0,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1550,La Madeleine à l’orange,3770014059437,['France'],[],[],?,466,22,58,"8,5",,,,,,,,,,,,,1950 kj(466 kcal),,,14,,,33,,,"0,77",,"0,308",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1551,Canarejal cremoso,3544465000214,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1552,3 Pavés aux cereales,0745125040134,['France'],[],[],?,305,"5,5",52,"9,8",,,,,,,,,,,,,1276 kj(305 kcal),,,"0,7",,,"1,9",,,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1553,Chocolate whith creamy milk,7350000151862,['France'],[],[],?,387,15,38,35,,,,,,,,,,,,,1619 kj(387 kcal),,,"7,9",,,"4,2",,,"0,12",,"0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1554,Saku de saumon,3760122711303,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1555,Norocean crevettes rosee cuites calibre 30/50 300g,3700488502221,['France'],[],[],?,95,"0,5","0,5",22,,,,,,,,,,,,,397 kj(95 kcal),,,"0,5",,,0,,,"2,1",,"0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1556,Pte de dattes,6134186000104,['France'],[],[],?,120,0,24,1,,,,,,,,,,,,,502 kj(120 kcal),,,0,,,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1557,Seve de bouleau fraiche,3770005774028,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1558,Miel de fleurs,3560071311971,['France'],[],[],?,?,?,?,?,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,,
1559,Coco royal saveur cocktail graine de basilic,8855044043290,['France'],[],[],?,52,0,13,0,,,,,,,,,,,,,218 kj(52 kcal),,,0,,,"12,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1560,Le torchoney,0209083021975,['France'],[],[],?,137,"6,2","0,7","19,8",,,,,,,,,,,,,573 kj(137 kcal),,,"2,8",,,0,,,"1,91",,"0,764",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561,mini financier a lamande,2006050026180,['France'],[],[],?,452,27,43,"9,3",,,,,,,,,,,,,1891 kj(452 kcal),,,13,,,32,,,"0,38",,"0,152",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1562,sushis,3760299915870,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1563,L’escalope cordon bleu,2276738024474,['France'],[],[],?,139,"3,7","7,8",19,,,,,,,,,,,,,582 kj(139 kcal),,,2,,,0,,,"0,82",,"0,328",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1564,Cordon bleu,2300700010254,['France'],[],[],?,230,14,14,12,,,,,,,,,,,,,962 kj(230 kcal),,,"2,8",,,"0,6",,,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1565,Cornetti di mais,8023797084949,['France'],[],[],?,502,26,59,"6,8",,,,,,,,,,,,,2100 kj(502 kcal),,,"3,3",,,"1,2",,,21,,"8,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1566,"La surprenante potiron, roquefort, noix",3337530510226,['France'],[],[],?,173,13,"5,6","6,6",,,,,,,,,,,,,724 kj(173 kcal),,,"3,6",,,2,,,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1567,Roudor,4017100254758,['France'],[],[],?,513,27,61,6,,,,,,,,,,,,,2146 kj(513 kcal),,,17,,,24,,,"1,27",,"0,508",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1568,Bière Besac,3760189430391,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1569,POMME DE TERRE GRENAILLES,3700444473329,['France'],[],[],?,?,?,?,?,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pommes de terre', 'Pommes de terre grenaille']",,,,,,,,,,,,,,,,,,,,,,,,,,,,28.6%,0.0%,23.6%,24.0%,19.8%,4.1%,98,,,,,,,,,,,,,,,,
1570,Birra Moretti La Bianca,8006890620009,['France'],[],[],?,0,0,90,0,,,,,,,,,,,,,0 kj(0 kcal),,,0,,,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1571,Misto tostato e salato doy,8003435003280,['France'],[],[],?,630,"52,3","18,4","16,8",,,,,,,,,,,,,2636 kj(630 kcal),,,"8,7",,,"4,3",,,"1,05",,"0,42",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1572,Chardonnay La croix du pin. - 5l,3250391885985,['France'],[],[],?,?,?,?,?,C,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges', 'Vins français', 'Bourgogne', 'Vins blancs', 'Vins du Mâconnais', 'Vins rosés', 'Mâcon', 'Mâcon Chardonnay']",,,,,,,,,,,,,,,,,,,,,,,,,,,,46.7%,3.7%,29.6%,13.4%,5.1%,1.4%,45,['carton + poche plastique'],['La croix du pin.'],,['France'],,,,5l,,,,,,,,
1573,Saucisse seche aux noisettes,3700133917134,['France'],[],[],?,419,34,"3,2",25,,,,,,,,,,,,,1753 kj(419 kcal),,,12,,,"2,7",,,"4,3",,"1,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,
