,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,quantity,categories,labels,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,allergens,generic_name,packaging,additives,markets,manufacturing,ingredients_origins,link,palm_ingredients,brand_owner
30,Jambon Serrano,3100912307932,,['France'],[],[],?,?,,?,,?,,?,,,E,,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Jambons', 'Jambons crus', 'Jambons secs', 'Produits carnés espagnols', 'Jambons Serrano', 'en:raw-cured-ham']",,,,,,,,,,,,,,,,,,,,,,,,,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,,,,['Produit'],,,,,,,
31,3100994800086,3100994800086,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Huile d olive vierge extra - Barral,3101150000135,['Barral'],['France'],[],[],?,899,3761 kj(899 kcal),"99,9","13,8",0,0,0,"0,1","0,04",D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,,99.9 g,en quantité élevée,13.8 g,en quantité élevée,0 g,en faible quantité,0.1 g,en faible quantité,,+5%,+5%,+5%,-1%,,,,+198313%,+198313%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,
33,OLIVES VERTES Entières - Barral,3101150000593,['Barral'],['France'],[],[],?,145,607 kj(145 kcal),"13,9","1,3","1,3","0,5",1,5,2,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives vertes', 'Olives entières', 'Olives vertes entières']",,,13.9 g,en quantité modérée,1.3 g,en faible quantité,0.5 g,en faible quantité,5 g,en quantité élevée,,-10%,-9%,-13%,-47%,-13%,+175%,-15%,+31%,+31%,12,+5%,D,+5%,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,,,,,,,,,,,
34,Olives vertes farcies aux poivrons - Barral,3101150000692,['Barral'],['France'],[],[],?,115,481 kj(115 kcal),"10,2","2,28","4,3","0,5",0,"2,6","1,04",B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives vertes', 'Olives farcies', 'Olives vertes farcies', 'Olives vertes farcies au poivron']",,,10.2 g,en quantité modérée,2.28 g,en quantité modérée,0.5 g,en faible quantité,2.6 g,en quantité élevée,,-19%,-19%,-27%,-1%,+128%,+102%,-100%,-25%,-25%,13,+16%,D,+16%,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,,,,,,,,,,,
35,Barral Grønne Oliven M / Paprika Paste,3101150000760,['Barral'],['France'],[],[],?,145,607 kj(145 kcal),"13,9","1,3","1,3","0,5",1,"3,8","1,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Olives noires au naturel - Barral,3101150000852,['Barral'],['France'],[],[],?,162,678 kj(162 kcal),14,"1,4","1,7",0,"0,9",5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Huile d'olive de Nice AOP - Barral,3101150011704,['Barral'],['France'],[],[],?,899,3761 kj(899 kcal),"99,9","13,8",0,0,0,,,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,,99.9 g,en quantité élevée,13.8 g,en quantité élevée,0 g,en faible quantité,,,,+5%,+5%,+5%,-1%,,,,,,,,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,
38,Olives noires à la grecque - Starolive - 400g,3101150023479,['Starolive'],['France'],"['Olives', 'sel', 'huile de tournesol']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,389,1628 kj(389 kcal),"35,9","5,7","4,5",0,"1,9",8,"3,2",B,400 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives noires', 'Olives entières', ""Olives noires à l'huile"", 'Olives noires entières']",,3,35.9 g,en quantité élevée,5.7 g,en quantité élevée,0 g,en faible quantité,8 g,en quantité élevée,,+37%,+37%,+28%,+45%,+10%,-100%,+19%,+60%,+60%,19,+39%,E,+39%,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,"['EMB 06033A', 'Carros (Alpes-Maritimes, France)']",,Olives noires à la grecque,['Plastique'],,,,['Importation'],,,
39,Olives Vertes Importation 400g égoutté - 400g,3101150023486,,['France'],[],[],?,145,607 kj(145 kcal),"13,9","1,3","1,3","0,45",1,5,2,,400 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Olives vertes dénoyautées - Starolive - 600g,3101150025282,['Starolive'],['France'],"['Olives', 'eau', 'sel', 'acidifiant : acide citrique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,B,600 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives vertes', 'Olives dénoyautées', 'Olives vertes dénoyautées']",,3,,,,,,,,,,,,,,,,,,,,,,,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,"['EMB 06033A', 'Carros (Alpes-Maritimes, France)']",,Olives vertes dénoyautées,['Plastique'],['E330 - Acide citrique'],,,['Importation'],,,
