,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,quantity,brand,markets,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,allergens,nova_score,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,labels,traceability_code,packaging,brand_owner,additives,generic_name,manufacturing,link,palm_ingredients,ingredients_origins
1708,Jambon blanc,2855069031551,['France'],[],[],?,177,10,8,21,,,,741 kj(177 kcal),"4,3",8,"2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,
1709,"Bonbons de Chocolat Fourrés Confiserie, Crème à la Menthe - Abbaye de Bonneval - 225g",3551453213334,['France'],"['Sucre', 'glucose', 'cacao', 'beurre de cacao', 'eau', 'émulsifiant : lécithine de soja ', 'non OGM', 'huile essentielle de menthe ', '0,05 % ', 'sel', 'extrait pur de vanille']",[],?,466,"15,5","78,4","1,8",225 g,['Abbaye de Bonneval'],,1950 kj(466 kcal),"9,8","77,4","0,1","0,04",,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat']",['Soja'],4,,-12%,-52%,+50%,-69%,,,,,,,,15.5 g,en quantité modérée,9.8 g,en quantité élevée,77.4 g,en quantité élevée,0.1 g,en faible quantité,-12%,-44%,+63%,-35%,-35%,24,-2%,E,-2%,['Point Vert'],,"['Carton', 'Plastique']",,['E322i - Lécithine'],,,,,
1710,Spirale tricolore,0200828003805,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1711,Ail,3326505490106,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1712,Nouilles sautées a la chinoise,8850060396597,['France'],[],[],?,113,"4,9","12,5","3,6",,,,473 kj(113 kcal),"2,3",6,"0,66","0,264",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Nouilles', 'Nouilles chinoises']",,,,-55%,-5%,-70%,-49%,,,,,,,,4.9 g,en quantité modérée,2.3 g,en quantité modérée,6 g,en quantité modérée,0.66 g,en quantité modérée,-56%,+16%,+186%,-46%,-46%,4,+49%,C,+49%,,,,,,,,,,
1713,Poires Sechées,2601332033391,['France'],[],[],?,251,"0,8","53,5","1,3",,,,1050 kj(251 kcal),"0,2","41,3","0,23","0,092",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1714,Araignée de porc arizona,3213438050715,['France'],[],['Sans huile de palme'],?,181,11,1,20,,,,757 kj(181 kcal),"2,5","0,5","0,35","0,14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:palm-oil-free'],,,,,,,,,
1715,Sauce pour GYOZA,4901891301992,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1716,Rigatoni - Di Mauro - 500g,8054615565074,['France'],"['semoule de blé dur', 'eau']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,350,"1,5",75,13,500 g,['Di Mauro'],,1464 kj(350 kcal),"0,5","3,5",0,0,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes de blé dur', 'Rigatoni']",,1,,-0%,+6%,+7%,+1%,,,,,,,,1.5 g,en faible quantité,0.5 g,en faible quantité,3.5 g,en faible quantité,0 g,en faible quantité,-0%,+71%,+23%,-100%,-100%,-1,,A,,,,,,,,,,,
1717,Gouda jeune  cumin,0207022014965,['France'],[],[],?,376,31,0,24,,,,1573 kj(376 kcal),21,0,2,"0,8",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages des Pays-Bas', 'Goudas', 'Goudas au cumin', 'Goudas jeunes']",,,,+4%,+4%,-100%,+2%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,31 g,en quantité élevée,21 g,en quantité élevée,0 g,en faible quantité,2 g,en quantité élevée,+4%,+6%,-100%,+2%,+2%,17,+1%,D,+1%,,,,,,,,,,
