,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,quantity,brand,markets,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,allergens,nova_score,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,labels,traceability_code,packaging,brand_owner,additives,generic_name,manufacturing,link,palm_ingredients,ingredients_origins
1029,Champignons,6931653100004,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030,Tome des neiges,2191518004777,['France'],[],[],?,239,15,1,25,,,,1000 kj(239 kcal),10,1,"2,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 63.370.001 CE', 'Saint-Julien-Puy-Lavèze (Puy-de-Dôme, France)']",,,,,,,,
1031,Flor de sal d es trenc - 250g,8437006451062,"['France', 'Suisse']",[],[],?,?,?,?,?,250 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1032,Gnocchi a poêler - 300g,3266140061074,['France'],[],[],?,204,"2,4",39,"5,5",300 g,,,854 kj(204 kcal),"0,3","0,5","1,2","0,48",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Gnocchi', 'Gnocchi de pommes de terre', 'Gnocchis cuits', 'Gnocchi à poêler']",,,,+0%,-41%,+17%,-7%,46.0%,1.2%,22.2%,18.3%,9.7%,2.6%,97,2.4 g,en faible quantité,0.3 g,en faible quantité,0.5 g,en faible quantité,1.2 g,en quantité modérée,+1%,-78%,-72%,-9%,-9%,4,-32%,C,-32%,"['Bio', 'Bio européen', 'Agriculture UE', 'FR-BIO-01']",,,,,,,,,
1033,Pinces de Surimi,3760122247215,['France'],[],[],?,140,27,27,7,,,,586 kj(140 kcal),0,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034,Fromage de Chèvre,74366453,['France'],[],[],?,152,12,3,8,,,,636 kj(152 kcal),9,3,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1035,Melange Tokyo,2600803012200,['France'],[],[],?,467,"20,9","54,8","13,2",,,,1954 kj(467 kcal),"5,7","11,3","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036,Oignons doux,3262093703337,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037,Pâté de tête persillé,3346650200962,['France'],[],[],?,207,"16,7","0,4","13,8",,,,866 kj(207 kcal),6,"0,3","1,34","0,536",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1038,Jus de Tomate & Sel de Guérande,3770006349348,['France'],[],[],?,?,?,?,?,,,,,,,,,,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Boissons à base de végétaux', 'Aliments et boissons à base de légumes', 'Légumes et dérivés', 'Jus et nectars', 'Tomates et dérivés', 'Boissons aux légumes', 'Jus de légumes', 'Jus de tomates']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,
1039,Amandes grillées à sec et salées,2609882047431,['France'],[],[],?,662,"52,5",21,21,,,,2770 kj(662 kcal),4,"4,9",2,"0,8",E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Amandes', 'Amandes grillées']",,,,+6%,+0%,+64%,-4%,96.4%,0.5%,1.0%,1.5%,0.7%,0.0%,11,52.5 g,en quantité élevée,4 g,en quantité modérée,4.9 g,en faible quantité,2 g,en quantité élevée,+6%,-9%,-13%,+137%,+137%,10,+134%,C,+134%,,,,,,,,,,
1040,Saucisse au couteau,0211789047562,['France'],[],[],?,161,"9,8","0,8",17,,,,674 kj(161 kcal),"3,6","0,8","1,65","0,66",,"['Viandes', 'Charcuteries', 'Saucisses']",,,,-37%,-53%,-44%,+13%,,,,,,,,9.8 g,en quantité modérée,3.6 g,en quantité modérée,0.8 g,en faible quantité,1.65 g,en quantité élevée,-37%,-55%,+6%,-16%,-16%,12,-31%,D,-31%,"['Viande Française', 'Viande Porcine Française']",,,,,,,,,
1041,Harissa,6191537700083,['France'],[],[],?,71,"2,2","10,88","2,1",,,,297 kj(71 kcal),"0,61","5,24","1,89","0,756",C,"['Epicerie', 'Sauces', 'Harissas']",,,,-33%,-50%,+20%,-17%,78.7%,9.3%,4.7%,4.8%,2.0%,0.5%,57,2.2 g,en faible quantité,0.61 g,en faible quantité,5.24 g,en quantité modérée,1.89 g,en quantité élevée,-33%,-1%,+42%,-49%,-49%,8,-6%,C,-6%,,,,,,,,,,
1042,Chocolat menthe,62650250,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en Allemagne'],,,,,,,,,
1043,Rillons aux échalottes,3760147240550,['France'],[],[],?,666,66,"1,3","16,4",,,,2787 kj(666 kcal),35,"0,3","1,72","0,688",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1044,milano mora - 650g,7861026500362,"['France', 'États-Unis']",[],[],?,?,?,?,?,650 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1045,Melange d'epices pour Nasi Goreng - Conimex,8718114774190,['France'],[],[],?,119,0,17,"6,6",,['Conimex'],,498 kj(119 kcal),0,"1,7","0,43","0,172",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', ""Mélanges d'épices""]",,,,-47%,-100%,-44%,-12%,57.6%,0.0%,22.5%,15.7%,4.2%,0.0%,86,0 g,en faible quantité,0 g,en faible quantité,1.7 g,en faible quantité,0.43 g,en quantité modérée,-48%,-100%,-85%,-97%,-97%,,,,,['Sans colorants'],,,,,,,,,
1046,Ravioli nicois,3478220002741,['France'],[],[],?,247,"5,5","35,2","13,5",,,,1033 kj(247 kcal),2,"1,1","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,
1047,Thon et tomate picante,5600361741373,['France'],[],[],?,218,14,"0,4","25,6",,,,912 kj(218 kcal),2,"0,1","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1048,Brioche moulée pur beurre aop pamplie - E.Leclerc,3478920017717,['France'],[],[],?,?,?,?,?,,['E.Leclerc'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049,Jambon à l'ancienne - Domaine Picard,2602656027554,['France'],[],[],?,123,"3,1","0,5","2,3",,['Domaine Picard'],,515 kj(123 kcal),"1,4","0,5",2,"0,8",E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', ""Jambons cuits à l'ancienne""]",,,,-19%,-50%,+1%,-90%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,3.1 g,en quantité modérée,1.4 g,en faible quantité,0.5 g,en faible quantité,2 g,en quantité élevée,-19%,-42%,+3%,+3%,+3%,9,-8%,C,-8%,,,,,,,,,,
1050,Viande des Grisons IGP,2110464009704,['France'],[],[],?,211,5,0,41,,,,883 kj(211 kcal),2,0,"5,5","2,2",,"['Viandes', 'Bœuf', 'Préparations de viande', 'Préparations de viande bovine', 'Viandes séchées', 'Viande des grisons']",,,,+7%,+30%,-100%,+4%,,,,,,,,5 g,en quantité modérée,2 g,en quantité modérée,0 g,en faible quantité,5.5 g,en quantité élevée,+7%,+30%,-100%,+17%,+17%,13,+2%,D,+2%,,,,,,,,,,
1051,Préparation Sans Gluten - Muffin / Cupcakes,3700392485337,['France'],[],['Sans huile de palme'],?,511,27,60,"5,9",,,,2138 kj(511 kcal),"6,6",33,"0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['en:gluten-free', 'Sans conservateurs', 'en:palm-oil-free']",,,,,,,,,
1052,Poulet cuit fumé  au bois de hêtre,2209620004964,['France'],[],[],?,191,12,"0,7",20,,,,799 kj(191 kcal),"3,4","0,7","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1053,Melissen-Mischung - Meßmer,5008217158007,"['France', 'Allemagne']",[],[],?,?,?,?,?,,['Meßmer'],,,,,,,A,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Infusions', 'Infusions en sachets']",,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,,,,,,,,,,,,['Karton'],,,Kräutertee,,,,
1054,Alcare aloe wellness,6009660073830,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055,Pavé au poivre,8425545133259,['France'],[],[],?,295,21,"3,6",23,,,,1234 kj(295 kcal),"7,8","2,6","3,8","1,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1056,Eisbergsalat,8436535700610,"['France', 'Allemagne']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057,Houmous,0563460435374,['France'],[],[],?,302,26,"8,7","6,4",,,,1264 kj(302 kcal),"2,5","0,7","0,93","0,372",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Produits à tartiner salés', 'Pâtes à tartiner végétales', 'Houmous']",,,,+15%,+29%,-18%,-1%,51.0%,18.6%,11.1%,13.1%,4.9%,1.3%,91,26 g,en quantité élevée,2.5 g,en quantité modérée,0.7 g,en faible quantité,0.93 g,en quantité modérée,+15%,+2%,-48%,-11%,-11%,6,+20%,C,+20%,,,,,,,,,,
1058,Bio Kurkuma - 50g,4388860092011,"['France', 'Allemagne']",[],[],?,?,?,?,?,50 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,
1059,Riz à la Méditerraneéenne - Uncle Ben's,5010034000193,['France'],[],[],?,171,"3,3",31,"3,7",,"[""Uncle Ben's""]",,715 kj(171 kcal),"0,4","2,2","0,78","0,312",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1060,Boudin blanc aux champignons,3233130012002,['France'],[],[],?,238,21,"2,3","10,4",,,,996 kj(238 kcal),9,"2,3","1,95","0,78",D,"['Viandes', 'Charcuteries', 'Poissons et viandes et oeufs', 'Abats', 'Boudins', 'Produits tripiers', 'Boudins blancs', 'Boudins noirs', 'Boudin noir sauté']",,,,-2%,+4%,-47%,+1%,87.1%,4.2%,2.1%,1.8%,1.0%,3.9%,35,21 g,en quantité élevée,9 g,en quantité élevée,2.3 g,en faible quantité,1.95 g,en quantité élevée,-2%,+15%,+17%,+31%,+31%,18,+12%,D,+12%,,"['FR 12.052.009 CE', 'Capdenac-Gare (Aveyron, France)']",,,,,,,,
1061,Caramel beurre salé - Carabreizh,3760029240166,['France'],[],[],?,413,"10,4","76,8","3,1",,['Carabreizh'],,1728 kj(413 kcal),"6,3","55,3","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1062,Pains Au Chocolat x2,,['France'],[],[],?,436,23,48,"7,8",,,,1824 kj(436 kcal),15,13,"0,97","0,388",D,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains au chocolat']",,,,+10%,+5%,+13%,+9%,81.1%,12.4%,3.5%,2.7%,0.3%,0.0%,50,23 g,en quantité élevée,15 g,en quantité élevée,13 g,en quantité élevée,0.97 g,en quantité modérée,+10%,+13%,+8%,+7%,+7%,21,+7%,E,+7%,,,,,,,,,,
1063,Chocolat noir aux raisins - La Cabosse - 98g,3760044470395,['France'],"['masse de cacao 72%', 'beurre de cacao', 'sucre', 'raisins 10%']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,?,?,?,98 g,['La Cabosse'],,,,,,,E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",,3,,,,,,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,,,,,,,,,,,,,,,,,,,,,,,,,
1064,La fabrique gourmande - 110g,3543930000315,['France'],[],[],?,490,"22,9",61,"9,9",110 g,,,2050 kj(490 kcal),"2,2","12,4","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1065,Confiture d'orange - La Cour d'Orgères,3760194183787,['France'],"['Oranges douces 52,49%', 'sucre', 'gélifiant : pectine']",[],974,974,"0,5","56,9","0,5",,"[""La Cour d'Orgères""]",,974 kj(974 kcal),0,"56,9","0,1","0,04",D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'agrumes"", ""Confitures d'orange""]",,4,+14%,+353%,+113%,+9%,+2%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,0.5 g,en faible quantité,0 g,en faible quantité,56.9 g,en quantité élevée,0.1 g,en faible quantité,+9%,-100%,+13%,+283%,+283%,11,+17%,D,+17%,,,,,['E440 - Pectines'],,,,,
1066,Lentilles Corail,3700146208847,['France'],[],[],?,378,"2,2",59,25,,,,1582 kj(378 kcal),0,0,"0,02","0,008",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Lentilles', 'Lentilles décortiquées', 'Lentilles rouges', 'Lentilles corail']",,,,+13%,+36%,+22%,+0%,57.6%,0.0%,16.2%,14.1%,4.5%,7.6%,99,2.2 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.02 g,en faible quantité,+12%,-100%,-100%,-30%,-30%,-1,,A,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,
1067,Crème de champignons,3624871180332,['France'],[],[],?,25,"0,17","4,4","1,3",,,,105 kj(25 kcal),"0,03","0,7","0,24","0,096",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,
1068,Limonade pamplemousse rose,3700238369180,['France'],[],[],?,36,0,9,0,,,,151 kj(36 kcal),0,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1069,Terrine de cerf au Lignac,3270270004771,['France'],[],[],?,283,25,"1,5",13,,,,1184 kj(283 kcal),"6,8","0,6","1,86","0,744",,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de cerf']",,,,+3%,+9%,+28%,-12%,,,,,,,,25 g,en quantité élevée,6.8 g,en quantité élevée,0.6 g,en faible quantité,1.86 g,en quantité élevée,+2%,-20%,+39%,+19%,+19%,17,-2%,D,-2%,,,,,,,,,,
1070,Mirabelle - Sandrine Confiture,3760217400402,['France'],"['fruits', 'sucre', 'pectine']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,?,?,?,,['Sandrine Confiture'],,,,,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de prunes', 'Confitures de mirabelles']",,4,,,,,,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,,,,,,,,,,,,,,,,,,,,,,['E440 - Pectines'],,,,,
1071,l'incroyable mousse - Michel et Augustin,73785866,['France'],[],[],?,?,?,?,?,,['Michel et Augustin'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1072,Salade de lentilles poireau/carottes - Bio Verde,4000915100587,['France'],[],"['Végétalien', 'Végétarien']",?,125,"3,1",16,"5,9",,['Bio Verde'],,523 kj(125 kcal),"0,4","6,8","1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Végétarien', 'Végétalien']",,,,,,,,,
1073,Glace à l'amande - Glace de la Ferme,8717524101176,['France'],[],[],?,255,"14,7","25,8",5,,['Glace de la Ferme'],,1067 kj(255 kcal),"6,9","18,7","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1074,Miel de Bretagne -  - 400g,3770006413001,['France'],[],[],?,?,?,?,?,400 g,,,,,,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']",,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture France']",,,,,,,,,['France']
1075,Jambon Serrano Bodega,8437005247512,['France'],[],[],?,236,"12,6","0,5","30,6",,,,987 kj(236 kcal),"4,3",0,"4,1","1,64",E,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Jambons', 'Jambons crus', 'Jambons secs', 'Produits carnés espagnols', 'Jambons Serrano', 'en:raw-cured-ham']",,,,-1%,0%,-30%,+1%,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,12.6 g,en quantité modérée,4.3 g,en quantité modérée,0 g,en faible quantité,4.1 g,en quantité élevée,-1%,-8%,-100%,-13%,-13%,16,-2%,D,-2%,['en:gluten-free'],,,,,,,,,
1076,Crème de marrons Bio - Père Louis - 220g,3467661006333,['France'],[],[],?,270,"0,8",63,"1,3",220 g,['Père Louis'],,1130 kj(270 kcal),"0,3",50,"0,01","0,004",C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', 'Crèmes de marrons']",,,,+8%,+7%,+5%,+18%,66.1%,22.5%,5.7%,3.0%,2.6%,0.0%,66,0.8 g,en faible quantité,0.3 g,en faible quantité,50 g,en quantité élevée,0.01 g,en faible quantité,+8%,+107%,+0%,-47%,-47%,13,+13%,D,+13%,['Bio'],,,,,,,,,
1077,Hyperigold,7611278901260,['France'],[],[],?,252,"3,1","52,8","1,3",,,,1054 kj(252 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1078,Chausson de pommes -,0260155010174,['France'],[],[],?,?,?,?,?,,,,,,,,,B,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Chaussons aux pommes']",,,,,,,,75.3%,14.7%,6.1%,3.4%,0.5%,0.0%,75,,,,,,,,,,,,,,,,,,,,,,,,,,,
1079,Tavuk Sosis - 1200g,9120054460634,['France'],[],[],?,207,8,"9,8","12,6",1200 g,,,866 kj(207 kcal),"3,6",2,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Halal'],,,,,,,,,
1080,Croissant,0205003019619,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1081,Pain d'épice glacé avec nappage chocolat - Fortwenger,3279130108628,['France'],[],[],?,386,"6,55","73,3","6,9",,['Fortwenger'],,1615 kj(386 kcal),"3,83","30,1","0,227","0,091",B,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', ""Pains d'épices""]",,,,+15%,+88%,+4%,+59%,61.5%,18.9%,9.5%,5.0%,5.0%,0.0%,90,6.55 g,en quantité modérée,3.83 g,en quantité modérée,30.1 g,en quantité élevée,0.227 g,en faible quantité,+14%,+209%,-26%,-48%,-48%,14,-1%,D,-1%,,,,,,,,,,
1082,Brebis bio des Basques,2204373035036,['France'],[],[],?,422,35,"1,7",25,,,,1766 kj(422 kcal),25,"0,4","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-12']",,,,,,,,,
1083,joker bio - 1l,02706979,['France'],"[""jus d'orange à base de jus concentré "", '1', "" issu de l'agriculture biologique"", 'eau']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,?,?,?,1l,['Joker'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,
1084,Moment - Gullón - 100g,8410376048384,['France'],[],[],?,490,22,66,"5,7",100 g,"['Gullón', 'Moment']",,2050 kj(490 kcal),11,33,"0,73","0,292",C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",,,,+3%,+6%,+3%,-12%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,22 g,en quantité élevée,11 g,en quantité élevée,33 g,en quantité élevée,0.73 g,en quantité modérée,+3%,+9%,+12%,+24%,+24%,24,+21%,E,+21%,,,,,,,,https://gullon.es/producto/choco-star-milk-chocolate-cream/,,
1085,Noix de cajou grillées salées,3701178700217,['France'],[],[],?,631,"49,1","31,8","19,8",,,,2640 kj(631 kcal),"9,5","5,3","0,6","0,24",E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix de cajou']",,,,+5%,+7%,+24%,+6%,85.9%,1.5%,2.7%,6.9%,1.9%,1.2%,21,49.1 g,en quantité élevée,9.5 g,en quantité élevée,5.3 g,en quantité modérée,0.6 g,en quantité modérée,+6%,+12%,-18%,-4%,-4%,9,+19%,C,+19%,,,,,,,,,,
1086,Cheddar cheese jalapenos,8717154059960,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1087,"Riz au lait, Amandes et thé",3760201357446,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1088,"Carloni Tomaten geschält, Tomaten - 240g",24043427,"['Autriche', 'France']",[],[],?,21,"0,5","3,5","1,1",240 g,,,88 kj(21 kcal),"0,1",3,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['stück'],,,,,,,
1089,Tome Laious pur brebis,2480024022833,['France'],[],[],?,412,36,"0,1","22,6",,,,1724 kj(412 kcal),"22,8","0,1","1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 64.068.100 CE', 'Asson (Pyrénées-Atlantiques, France)']",,,,,,,,
1090,Riso venere -  - 1000g,8610831776160,"['France', 'Suisse']",[],[],?,?,?,?,?,1000 g,,,,,,,,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz']",,,,,,,,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,,,,,,,,,,,,,,,,,,,,,,,,,,,
1091,Quinoa - Migros - 350g,7613312132715,"['France', 'Suisse']",[],[],?,351,5,59,14,350 g,"['Migros', 'De la Région']",['Migros'],1469 kj(351 kcal),"0,5",0,0,0,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Quinoa']",,,,+7%,-7%,+7%,+19%,80.5%,0.0%,5.8%,10.4%,3.3%,0.0%,70,5 g,en quantité modérée,0.5 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,+6%,-23%,-100%,-100%,-100%,-1,,A,,,,['Sachet'],,,,,,,
1092,Epices poisson poudre - La Conquête des Saveurs - 80g,3390126000594,['France'],[],[],?,?,?,?,?,80 g,['La Conquête des Saveurs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1093,Maple Syrup Flavour Porridge Pot,00230582,['France'],[],[],?,363,"3,3",66,"14,2",,,,1519 kj(363 kcal),"1,3",21,"0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,
1094,"Mélatonine - 22,53g",3700446417611,['France'],[],[],?,?,?,?,?,"22,53 g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1095,Spaghettis multicolores - 250g,8018338004364,"['France', 'Japon', 'États-Unis']","['Durum wheat', 'water', 'red pasta with beetroot and paprika', 'green-spinach', 'violet-beetroot', 'yellow-turmeric', 'black-squid ink']",[],?,375,"1,79",75,"14,29",250 g,,,1569 kj(375 kcal),0,"3,57",0,0,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires']",,,,+13%,-31%,+21%,+23%,,,,,,,,1.79 g,en faible quantité,0 g,en faible quantité,3.57 g,en faible quantité,0 g,en faible quantité,+13%,-100%,+29%,-100%,-100%,-2,,A,,,,,Is Art,,,,,,
1096,Chocolat lait Pétales de violette - La Marchande de Violettes - 100g,3760148532937,['France'],"['chocolat de couverture au lait 35% de cacao minimum', ' sucre', 'beurre de cacao,poudre de LAIT entier', 'pâte de cacao', 'émulsifiant: lécithine de SOJA', 'arôme naturel de vanille', ' violettes cristallisées 5% sucre', 'fleurs naturelles violette', ""agent d'enrobage: gomme d'acacia"", 'colorants E120', 'E132', 'BEURRE', 'arôme violette', ""Traces d'allérgénes possible:sésame"", 'gruits à coque', 'céeéales contenant du gluten', 'sulfites', 'lait et produits à base de lait', ""d'oeuf"", 'soja']","['Non végétalien', 'Non végétarien']",?,538,"33,7","52,1","6,5",100g,['La Marchande de Violettes'],,2251 kj(538 kcal),"20,3","51,4","0,2","0,08",E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait']","['Lait', 'Soja']",4,,-3%,-2%,+0%,-9%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,33.7 g,en quantité élevée,20.3 g,en quantité élevée,51.4 g,en quantité élevée,0.2 g,en faible quantité,-3%,+4%,+5%,-14%,-14%,26,+2%,E,+2%,,,,,"['E322i - Lécithine', ""E414 - Gomme d'acacia"", 'E120 - Acide carminique', ""E132 - Indigotine carmin d'indigo""]",,,,,
1097,Bananacestbonpourlavie,0209239011416,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
