,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,markets,traceability_code,manufacturing,packaging,brand_owner,additives,allergens,nova_score,ingredients_origins,generic_name,link
1599,Ufit,5060317320821,,['France'],[],[],?,278,1163 kj(278 kcal),1,"0,6","3,4","3,4",10,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600,Max tone cla,7706849114160,,['France'],[],[],?,375,1569 kj(375 kcal),0,0,"32,5","7,5","57,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601,Tostada - Bandama,8411309500030,['Sans lactose'],"['France', 'Espagne']",[],[],?,449,1879 kj(449 kcal),"10,4","1,3","79,1","24,2","9,74","0,98","0,392",,,['es:galletas-tostadas'],10.4 g,en quantité modérée,1.3 g,en faible quantité,24.2 g,en quantité élevée,0.98 g,en quantité modérée,,,,,,,,,,,15,,D,,,,,,,,,['Bandama'],,,,,,,,,,,
1602,Cuisse de poulet - La Nouvelle Agriculture,0213402022703,,['France'],[],[],?,198,828 kj(198 kcal),14,"3,5",0,0,18,"0,18","0,072",,D,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",14 g,en quantité modérée,3.5 g,en quantité modérée,0 g,en faible quantité,0.18 g,en faible quantité,,+4%,+3%,+13%,+4%,-100%,-100%,-2%,-76%,-76%,0,-100%,B,-100%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,['La Nouvelle Agriculture'],,,,,,,,,,,
1603,Gauffrettes bio chèvre / baies roses - 90g,3770012386023,['Bio'],['France'],[],[],?,384,1607 kj(384 kcal),"20,66","12,96","37,18","0,96","10,38","1,17","0,468",90 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1604,Kéfir De Lait - 4 GR - Yalacta -  - 4g,3134004010103,,['France'],[],[],?,?,,?,,?,,?,,,4 g,,"['Boissons', 'Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Boissons lactées', 'Boissons fermentées', 'Boissons lactées fermentées', 'Kéfir']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1605,Nectar de fruits rouges,3700785001397,,['France'],[],[],?,43,180 kj(43 kcal),"0,1","0,1","9,2","8,8","0,5","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,100% pur jus Multifruits - Bio Village,3564707101165,['Bio'],['France'],[],[],?,44,184 kj(44 kcal),"0,5",0,11,11,"0,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio Village', 'Marque Repère']",['Leclerc'],,,,,,,,,,
1607,Croutons,00467834,,['France'],[],[],?,458,1916 kj(458 kcal),"16,8","2,6","63,9","4,8","10,8","1,25","0,5",,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Croûtons']",16.8 g,en quantité modérée,2.6 g,en quantité modérée,4.8 g,en faible quantité,1.25 g,en quantité modérée,,-3%,-3%,-18%,-14%,+9%,+30%,+15%,-36%,-36%,13,-11%,D,-11%,87.8%,8.3%,1.9%,1.8%,0.2%,0.0%,35,,,,,,,,,,,,
1608,French kiss,3428420020878,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],[],[],?,192,803 kj(192 kcal),"7,4",5,28,27,"3,6","0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1609,Spaghetti,8032578555172,,['France'],[],[],?,362,1515 kj(362 kcal),"1,8",0,73,"2,5",12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1610,Dinde noire grandes escalopes,0213566032211,,['France'],[],[],?,112,469 kj(112 kcal),"1,2","0,3",0,0,25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1611,Noix de cajou crues,2600203028993,,['France'],[],[],?,595,2489 kj(595 kcal),"43,9","7,8","30,2","5,9","18,2","0,03","0,012",,E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix de cajou']",43.9 g,en quantité élevée,7.8 g,en quantité élevée,5.9 g,en quantité modérée,0.03 g,en faible quantité,,-1%,-0%,-5%,-8%,+18%,-9%,-3%,-95%,-95%,5,-34%,C,-34%,85.9%,1.5%,2.7%,6.9%,1.9%,1.2%,21,,,,,,,,,,,,
1612,Roti de porc cuit - Carrefour Bio,2227849030311,"['Bio', 'Bio européen', 'FR-BIO-13', 'Fabriqué en France']",['France'],[],[],?,169,707 kj(169 kcal),"7,6",3,"0,6","0,5",24,"1,4","0,56",,D,"['Viandes', 'Porc', 'Rôtis de porc']",7.6 g,en quantité modérée,3 g,en quantité modérée,0.5 g,en faible quantité,1.4 g,en quantité modérée,,+17%,+19%,+51%,+44%,-27%,-20%,+7%,-19%,-19%,5,-30%,C,-30%,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,['Carrefour Bio'],['Carrefour'],"['EMB 29004D', 'Bannalec (Finistère, France)', 'FR 29.004.023 CE', 'Bannalec (Finistère, France)']",,,,,,,,,
1613,Jambon cru,0264581223429,,['France'],[],[],?,202,845 kj(202 kcal),"10,4","3,8","0,5","0,4","26,7","4,8","1,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1614,Gingembre Bio Eco 200 Gélules,3535400016421,['Bio'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1615,Chewing-gum,49437300,,['France'],[],[],?,16,67 kj(16 kcal),4,4,3,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1616,Saucisson d'albion,0277370039101,['Sans additifs'],['France'],[],[],?,405,1695 kj(405 kcal),"32,9","12,4","1,9","1,9","26,2","3,96","1,584",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1617,Bières des Alpes,3760053480071,['Fabriqué en France'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1618,Les griles,3211209969976,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1619,Bali gold (café ) - 100g,8992138521019,,['France'],[],[],?,?,,?,,?,,?,,,100 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1620,Flipz unicornz,5000168215013,,['France'],[],[],?,489,2046 kj(489 kcal),"20,3","16,1","68,1","41,9","8,1","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1621,Tajine de legume - U Saveurs,05804317,,['France'],[],[],?,62,259 kj(62 kcal),"2,8","0,4","6,5","5,5","1,7","0,47","0,188",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['U Saveurs'],['Magasins U'],,,,,,,,,,
1622,Piña en rodajas en jugo,24000102335,,['France'],[],[],?,66,276 kj(66 kcal),0,0,15,15,"0,4","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1623,91552037,91552037,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1624,Corned beef dans sa gelée - 340g,3479412054128,,['France'],[],[],?,209,874 kj(209 kcal),15,7,"0,5",0,18,"1,4","0,56",340 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1625,Petit pain ×5,0201346007870,,['France'],[],[],?,320,1339 kj(320 kcal),"1,7","0,4",64,"1,8",11,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1626,Beau et bon,6298857001194,,['France'],[],[],?,298,1247 kj(298 kcal),"7,5",1,"41,6",2,13,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1627,Crottin de chèvre,3760016740358,,['France'],[],[],?,316,1322 kj(316 kcal),26,19,"1,5","0,5",19,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 18.194.050 CE', 'Rians (Cher, France)']",,,,,,,,,
1628,Côte de Provence M,3760082588229,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1629,Vanilla honeybush herbal infusion - Whittard,5022032105800,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Whittard'],,,,,,,,,,,
1630,Demi baguette 125gr,0260500002038,,['France'],[],[],?,?,,?,,?,,?,,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Baguettes']",,,,,,,,,,,,,,,,,,,,,,,46.8%,27.9%,16.1%,8.1%,1.1%,0.0%,95,,,,,,,,,,,,
1631,Bel Pils,5411681080000,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1632,Salade de lentilles,3537940390399,,['France'],[],[],?,202,845 kj(202 kcal),"13,5","1,9","9,1","0,5","7,5","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1633,Asperges blanches miniatures,3564709448855,,['France'],[],[],?,11,46 kj(11 kcal),"0,5","0,1",1,1,1,1,"0,4",,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Légumes tiges', 'Asperges', 'Asperges blanches']",0.5 g,en faible quantité,0.1 g,en faible quantité,1 g,en faible quantité,1 g,en quantité modérée,,-42%,-40%,+101%,+199%,-49%,-15%,-32%,+27%,+27%,-1,,A,,63.9%,17.1%,7.8%,4.4%,4.6%,2.3%,58,,,,,,,,,,,,
1634,Mélange Tonus,2600285034578,,['France'],[],[],?,460,1925 kj(460 kcal),22,"2,1",42,26,20,"0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1635,Tagliatelles,3770004958092,,['France'],[],[],?,3,13 kj(3 kcal),2,1,3,2,2,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1636,Delice de Bourgogne,0207107016402,,['France'],[],[],?,408,1707 kj(408 kcal),40,29,2,0,10,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1637,Terrine aux Cèpes - Biraben,3292320044476,,['France'],[],[],?,368,1540 kj(368 kcal),34,15,"1,3","1,1",16,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Biraben'],,,,,,,,,,,
1638,Quart de Jambon sec,0264579054127,"['Viande Française', 'Viande Porcine Française']",['France'],[],[],?,226,946 kj(226 kcal),"11,8","4,2","0,5","0,4","29,5",6,"2,4",,E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons crus', 'Jambons secs']",11.8 g,en quantité modérée,4.2 g,en quantité modérée,0.4 g,en faible quantité,6 g,en quantité élevée,,-3%,-4%,-8%,-14%,-15%,+7%,+2%,+20%,+20%,16,-4%,D,-4%,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,,,,,,,,,,,,
1639,Tapenade Nyonsaise,3770003178163,,['France'],[],[],?,324,1356 kj(324 kcal),32,4,"3,6","0,5","2,3","4,5","1,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 84036D', 'Châteauneuf-de-Gadagne (Vaucluse, France)']",,,,,,,,,
1640,Glace façon pomme d amour - Erhard,3428420017564,,['France'],[],[],?,196,820 kj(196 kcal),"7,5","4,6",30,22,"2,1","0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Erhard'],,,,,,,,,,,
1641,Sirop de speeculos,3585263120001,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1642,Edelweiss Pilsner,90288111,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1643,Calmars au piment d'espelette,3418840571456,"['Sans colorants', 'Sans conservateurs']",['France'],[],[],?,193,808 kj(193 kcal),14,"1,8","1,4","0,6",15,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 29.250.500 CE', 'Saint-Hernin (Finistère, France)']",,,,,,,,,
1644,Algues corrienne,8801024821105,,['France'],[],[],?,24,100 kj(24 kcal),1,0,0,0,5,80,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1645,Sirop de canne,3012993064119,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1646,"Santé & Bien-être / Digestion, Transit, Flore / Psyllium - Fructivia",3760159373710,['Bio'],['France'],[],[],?,15,63 kj(15 kcal),"0,24",0,"2,17",0,"2,41","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fructivia'],,,,,,,,,,,
1647,Bonbons de chocolat - Le Chocolatier Sablais - 150g,3760059920328,,['France'],[],[],?,538,2251 kj(538 kcal),33,16,53,44,"7,8","0,48","0,192",150 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Le Chocolatier Sablais'],,,,,,,,,,,
1648,Saumon bio,2469431035094,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 73179', 'Motte-Servolex (Savoie, France)', 'FR 73.179.008 CE', 'Motte-Servolex (Savoie, France)']",,,,,,,,,
1649,Le gruyère,2112647007859,,['France'],[],[],?,400,1674 kj(400 kcal),32,19,"0,1","0,1",27,"1,5","0,6",,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Fromages de Suisse', 'Gruyères suisses']",32 g,en quantité élevée,19 g,en quantité élevée,0.1 g,en faible quantité,1.5 g,en quantité modérée,,0%,+0%,-2%,+5%,-77%,+0%,+0%,+3%,+3%,15,+5%,D,+5%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,
1650,Infusion en gelée à la Grenade-coco - Santé Nat - 510g,85980006,,['France'],[],[],?,234,979 kj(234 kcal),0,0,"58,4","44,1","0,13","0,32","0,128",510 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Santé Nat'],,,,,,,,,,,
1651,Crème de balsamique -,8411211999618,,['France'],"['""Aceto balsamico Modena IGP"" 39% ', 'vinagre de vino', 'mosto de uva concentrado', 'colorante: caramelo E150d', ' mosto de uva concentrado', 'jarabe de glucosa-fructosa', 'agua', 'almidon de maiz modificado', 'espesante: pectina', 'aroma frutos del bosque']",[],?,141,590 kj(141 kcal),0,0,"32,3","23,4",0,1,"0,4",,,"['Epicerie', 'Condiments', 'Crèmes de vinaigre']",0 g,en faible quantité,0 g,en faible quantité,23.4 g,en quantité élevée,1 g,en quantité modérée,,-33%,-34%,-100%,-100%,-35%,-44%,-100%,+687%,+687%,10,-8%,C,-8%,,,,,,,,,,,,,,"[""E150d - Caramel au sulfite d'ammonium"", 'E440 - Pectines']",,4,,,
1652,Arachides rouges,8429417101254,,['France'],[],[],?,563,2356 kj(563 kcal),46,"8,7","7,9","4,5",25,"0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1653,Chateau de Cransac,3760091770042,,['France'],[],[],?,?,,?,,?,,?,,,,,"['Boissons', 'Boissons alcoolisées', 'Vins']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1654,Olives cassées aux herbes de provence,2609866013056,,['France'],[],[],?,191,799 kj(191 kcal),"19,8","2,8","2,2","0,5","1,2","4,7","1,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1655,Cooked cocktailshrimps pud iqf,5414818037410,,['France'],[],[],?,90,377 kj(90 kcal),2,0,0,0,18,"0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1656,"Green Magma Bio / Jus D'orge, En Poudre - Celnat - 80g",3273120018812,"['Bio', 'Bio européen', 'Sans gluten', 'AB Agriculture Biologique']",['France'],[],[],?,?,,?,,?,,?,,,80 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Celnat'],,,,,,,,,,,
1657,Authentiques herbes de provence spécial pizza,3760025081015,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1658,Oignions croustillants,9416231031460,,['France'],[],[],?,583,2439 kj(583 kcal),42,"2,9",43,"2,6","6,1","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1659,Rillettes de Porc Bio - La table de Guillaume,3760020892364,['Bio'],['France'],[],[],?,427,1787 kj(427 kcal),42,17,"0,2","0,1",13,"1,1","0,44",,D,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande rouge', 'Rillettes de porc']",42 g,en quantité élevée,17 g,en quantité élevée,0.1 g,en faible quantité,1.1 g,en quantité modérée,,+8%,+8%,+14%,+21%,-60%,-71%,-18%,-14%,-14%,19,-3%,E,-3%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,['La table de Guillaume'],,,,,,,,,,,
1660,Aiguillettes de poulet marinées Curry Coco - Carrefour,2227244018631,,['France'],[],[],?,105,439 kj(105 kcal),"1,6","0,5","2,2","0,7",20,"1,2","0,48",,D,"['Viandes', 'Volailles', 'Poulets', 'Aiguillettes de poulet']",1.6 g,en faible quantité,0.5 g,en faible quantité,0.7 g,en faible quantité,1.2 g,en quantité modérée,,-17%,-16%,-14%,+5%,+143%,+134%,-12%,+175%,+175%,1,,B,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,['Carrefour'],['Carrefour'],,,,,,,,,,
1661,Poulet cuit fumé,0217221041921,,['France'],[],[],?,168,703 kj(168 kcal),"9,6","2,8",1,"0,9",20,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1662,Filet fumé tranches,2432408026111,,['France'],[],[],?,209,874 kj(209 kcal),"6,2","2,5","1,6","1,6",37,"5,5","2,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 25.361.020 CE', 'Malbuisson (Doubs, France)']",,,,,,,,,
1663,0038276953973,0038276953973,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1664,Sera Bulgur Corase,8690777002424,,['France'],[],[],?,348,1456 kj(348 kcal),1,0,74,0,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665,Kitkat chocolat blanc,59800505482,,['France'],[],[],?,420,1757 kj(420 kcal),22,12,52,42,6,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1666,Pêche blanche,3700551520961,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1667,Jambon cuit Superieur,0211405022560,,['France'],[],[],?,115,481 kj(115 kcal),"2,9","1,1","0,5","0,5","21,8","1,42","0,568",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1668,Poitrine fumée Jean Louis Amiotte,2643340021328,,['France'],[],[],?,323,1351 kj(323 kcal),"28,1","10,5","0,6","0,6","16,8","3,6","1,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1669,Brioche,2279896001882,['Sans conservateurs'],['France'],[],[],?,374,1565 kj(374 kcal),"15,1","9,5",53,"11,2","7,7",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1670,Chocolat au lait sésame,3760100221077,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1671,Rumsteack boeuf - Carrefour,2298867017455,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],['Carrefour'],,,,,,,,,,
1672,Magret de canard Montfort Séché au poivre,3104544013704,,['France'],[],[],?,?,,?,,?,,?,,,,E,"['Viandes', 'Volailles', 'Canards', 'Magrets de canard']",,,,,,,,,,,,,,,,,,,,,,,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,,,,,,,,,,,,
1673,Bateaux calabrais,3352750600083,,['France'],[],[],?,357,1494 kj(357 kcal),0,0,"88,9","62,8","0,3","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1674,Mond,8437010858642,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1675,Tropical fruits blue - tres-tres,8413425013401,,"['France', 'Espagne']",[],[],?,104,435 kj(104 kcal),0,0,"26,2",25,0,"0,02","0,008",,,"['Boissons', 'Boissons avec sucre ajouté']",0 g,en faible quantité,0 g,en faible quantité,25 g,en quantité élevée,0.02 g,en faible quantité,,+22%,+18%,-100%,-100%,+32%,+37%,-100%,-47%,-47%,20,+68%,E,+68%,,,,,,,,['Tres-tres'],,,,,,,,,,,
1676,Saint-jean Du Barroux L'argile (),5700000701079,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677,Fleurette de chou fleur,2868751023222,['Sans conservateurs'],['France'],[],[],?,21,88 kj(21 kcal),"0,5","0,1","1,6",0,0,"0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678,TARALLINI AI SEMI DI FINOCCHIO,8009004809215,,['France'],[],[],?,460,1925 kj(460 kcal),16,"2,5",68,"1,9",10,"2,4","0,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679,Pain boule polka froment,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680,Hazel Wafers - 5x 40g,8710998415602,,['France'],[],[],?,512,2142 kj(512 kcal),"28,6",5,"58,6","37,9","6,2","0,1","0,04",5 x 40 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1681,Péage de poivre long rouge notes cacaotées,3234750030698,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1682,Thee Van Oordt Natural Boost,8717825668576,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683,Sauce Champignons et Truffe d'été,8025386008909,,['France'],[],[],?,457,1912 kj(457 kcal),"48,6","6,8","1,4","0,3","2,4","0,57","0,228",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1684,Ergysport boisson récuperation,3664524000075,,['France'],[],[],?,364,1523 kj(364 kcal),"0,9","0,1",69,50,20,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1685,Ti Boul,3503610010348,,['France'],[],[],?,558,2335 kj(558 kcal),"34,7","4,1","53,5","2,6","7,2","1,12","0,448",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686,3381661000606,3381661000606,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1687,Hally-grain au poids,0200149012272,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688,Mixé,3291330002223,,['France'],[],[],?,109,456 kj(109 kcal),"3,4",2,"14,3","13,9","4,5","0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689,Fun and sweet gift,8713305809507,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1690,Griotte confiture extra,3760040450254,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1691,Kellogg's Rice Krispies Treats Original,38000265013,,['France'],[],[],?,409,1711 kj(409 kcal),"9,09","2,27","77,27","36,36","4,55","0,48","0,192",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""Kellogg's""]",,,,,,,,,,,
1692,Thé,9420023125701,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1693,Miel de tilleul du Haut Vallespir -,3301510190012,,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de tilleul']",,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,['Glas'],,,,,,,
1694,Melange mangue fraise,0200299025849,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1695,Pidy - 36 Zakouskis,20176021258,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
