,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,markets,traceability_code,manufacturing,packaging,brand_owner,additives,allergens,nova_score,ingredients_origins,generic_name,link
155,Beignet à la pomme,,['en:palm-oil-free'],['France'],[],['Sans huile de palme'],?,305,1276 kj(305 kcal),12,"1,8",42,19,"6,3","0,63","0,252",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Fruit punch,26595787096,,['France'],[],[],?,53,222 kj(53 kcal),0,0,17,14,0,6,"2,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Saucisson moirou,2276090038379,,['France'],[],[],?,412,1724 kj(412 kcal),33,"16,4","3,1","2,7","25,4","3,5","1,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 38.193.001 CE', ""Isle-d'Abeau (Isère, France)"", 'FR 30.193.001 CE', 'Parignargues (Gard, France)']",,,,,,,,,
158,Pain aux céréales bio - Carrefour,3123456004334,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],['Carrefour'],,,,,,,,,,
159,Gazpacho,0205738011629,,['France'],[],[],?,37,155 kj(37 kcal),"1,8","0,2","3,7","3,6","0,6","0,68","0,272",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Premium Wafer Selection,0637796404400,,['France'],[],[],?,567,2372 kj(567 kcal),"36,2","26,9","56,3","36,3","3,1","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Corsica Gelateria - 350g,3760125220079,,['France'],[],[],?,267,1117 kj(267 kcal),15,"7,5",30,27,"2,5","0,07","0,028",350 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Foie gras,2333561010187,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Saumon fumé,2316671010063,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Barquette'],,,,,,,
164,Activia au bifidus - 150g,0034767402807,,['France'],[],[],?,158,661 kj(158 kcal),"2,6",1,"15,7","10,6","5,9","0,11","0,044",150 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Muffin double chocolat,0260757019681,,['France'],[],[],?,380,1590 kj(380 kcal),"19,4","3,7",46,"25,8",5,"0,603","0,241",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,3412290009439,3412290009439,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,Kougelhopf,0214507032475,,['France'],[],[],?,340,1423 kj(340 kcal),12,"7,5",49,16,"7,6",1,"0,4",,,"['Biscuits et gâteaux', 'Gâteaux']",12 g,en quantité modérée,7.5 g,en quantité élevée,16 g,en quantité élevée,1 g,en quantité modérée,,-16%,-15%,-38%,-2%,-1%,-43%,+40%,+64%,+64%,18,+1%,D,+1%,,,,,,,,,,,,,,,,,,,
168,Sandwich,0208019008530,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,LES TANNES EN Occitanie,3760190501509,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Caramel Bonbon Chocolat,3760042510857,,['France'],[],[],?,389,1628 kj(389 kcal),"0,5","0,1",96,58,"0,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,BURRATA - Flor de Burgos - 250g,8436039436848,['en:gluten-free'],['France'],[],[],?,197,824 kj(197 kcal),17,10,"1,2","1,2",10,"0,75","0,3",250 g,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à pâte filée', 'Burrata']",17 g,en quantité modérée,10 g,en quantité élevée,1.2 g,en faible quantité,0.75 g,en quantité modérée,,-20%,-20%,-19%,-25%,-15%,-5%,-17%,+35%,+35%,9,-6%,C,-6%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,['Flor de Burgos'],,['ES 15.06509/BU CE'],,,,,,,,,
172,"Syrtos - 1,6kg (1kg poids net égoutté)",3073780957267,,['France'],[],[],?,269,1125 kj(269 kcal),21,14,1,1,19,"3,8","1,52","1,6 kg (1 kg poids net égoutté)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Syrtos', 'Bel']",,,,"['Seau', 'Plastique']",,,,,,,
173,Crêpes délicieuses bio,3307629999003,"['Bio', 'Bio européen', 'FR-BIO-01']",['France'],[],[],?,346,1448 kj(346 kcal),"7,2","4,1","61,55","30,1","8,6","1,32","0,528",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,Galettes de l'abbaye,2226289000311,,['France'],[],[],?,445,1862 kj(445 kcal),13,8,74,31,7,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,Guyader,3355200792758,['en:produced-in-bretagne'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Guyader'],,,,,,,,,,,
176,Bonbon Sweet Mix,8411500114678,,['France'],[],[],?,339,1418 kj(339 kcal),0,0,79,61,"5,7","0,133","0,053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,Batatas fritas lisas - Amanhecer,5601227017250,,['France'],[],[],?,529,2213 kj(529 kcal),"32,2",17,"51,2","0,5","6,5",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Amanhecer'],,,,,,,,,,,
