,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,brand,additives,allergens,nova_score,generic_name,quantity,labels,markets,traceability_code,manufacturing,palm_ingredients,link,ingredients_origins
1421,Fromage fondu - Inconnue - 140g (8*17.5g),3073781077384,D,"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Desserts lactés', 'Fromages blancs', 'Fromages blancs au lait de vache', 'Fromages fondus']",['France'],"['lait écrémé réhydraté', 'fromages', 'beure', 'protéines de lait', 'sels de fonte : polyphosphates et acide citrique', 'sel']",['Non végétalien'],19.5 g,en quantité modérée,13 g,en quantité élevée,6 g,en quantité modérée,2.1 g,en quantité élevée,?,,244,+142%,1021 kj(244 kcal),+146%,"19,5",+285%,13,+298%,6,+12%,6,+22%,11,+62%,"2,1",+1229%,"0,84",+1229%,23,+2336%,E,+2336%,79.5%,12.0%,2.9%,3.6%,1.6%,0.4%,49,['Frais'],['Inconnue'],"['E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique']",['Lait'],4,,140g (8*17.5g),,,"['FR 39.300.001 CE', 'Lons-le-Saunier (Jura, France)']",,,,
1422,Fromage à raclette - Maredsous,3073781079029,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Raclettes']",['France'],"['Raclette Croûte Fromage - kaas mangeable Ingrédients lait pasteurisé', 'protéines de lait', 'sel', 'ferments lactiques', 'présure végétarienne', 'colorant rocou', 'conservateur natamycine']",['Non végétalien'],27 g,en quantité élevée,18 g,en quantité élevée,0.5 g,en faible quantité,1.6 g,en quantité élevée,?,,339,-2%,1418 kj(339 kcal),-2%,27,-2%,18,-3%,"0,5",-32%,"0,5",+17%,24,+1%,"1,6",-5%,"0,64",-5%,16,+2%,D,+2%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,['Maredsous'],"['E160b - Rocou', 'E235 - Natamycine']",['Lait'],4,,,,,,,,,
1423,Roulés de Jambon Fumé Noisettes & 3 Noix - Boursin Apéritif - 100g e,3073781081442,,"['Snacks', 'Snacks salés', 'Apéritif', 'Produits décongelés']",['France'],"['Fromage noisettes & 3 noix 70% ', '43% de matières grasses', ' : lait et crème pasteurisés ', 'Origine : France', 'noisettes 5%', 'noix de Pécan 4%', 'ferments lactiques', 'sel', 'noix 0,5%', 'noix de Cajou 0,5%', 'conservateur : sorbate de potassium', ' Jambon cru fumé 30% : viande de porc ', 'Origine UE', 'sel', 'épices', 'plantes aromatiques', 'antioxygène : E301', 'conservateur : E250']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",34.5 g,en quantité élevée,20.5 g,en quantité élevée,1.9 g,en faible quantité,1.9 g,en quantité élevée,?,,374,+21%,1565 kj(374 kcal),+20%,"34,5",+127%,"20,5",+249%,"1,9",-94%,"1,9",-85%,14,+59%,"1,9",+64%,"0,76",+64%,22,+52%,E,+52%,,,,,,,,"['Frais', 'Plastique']","['Boursin Apéritif', 'Boursin']","['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Lait', 'Fruits à coque']",3,,100 g e,"['Point Vert', 'Nouveau']",['Auchan'],"['FR 72.264.001 CE', 'Sablé-sur-Sarthe (Sarthe, France)']",['France'],,,"['France', 'Union européenne']"
1424,La Vache Qui Rit Cheddar - Bel - 128g e,3073781082562,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages fondus']","['Belgique', 'France']","['Lait écrémé réhydraté', 'fromages fondus ', 'dont cheddar 24 %', 'protéines de lait', 'sels de fonte : triphosphates', 'polyphosphates', 'acide citrique', 'arôme']",[],9 g,en quantité modérée,6 g,en quantité élevée,6 g,en quantité modérée,1.6 g,en quantité élevée,?,,159,-37%,665 kj(159 kcal),-37%,9,-55%,6,-55%,6,+11%,6,+49%,"13,5",+15%,"1,6",-20%,"0,64",-20%,9,-42%,C,-42%,79.5%,12.0%,2.9%,3.6%,1.6%,0.4%,49,"['Carton', 'Plastique', 'boîte']","['Bel', 'La Vache Qui Rit']","['E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition']","['Lait', 'en:Lait', 'en:fromages', 'en:lait']",4,,128 g e,"['Point Vert', 'Nouveau']",,"['FR 39.198.001 CE', 'Dole (Jura, France)']",,,,
1425,3073781082654,3073781082654,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte fondue', 'Fromages apéritif']",['France'],"['lait écrémé réhydraté', 'fromages ', 'dont chèvre 13% dans la variété Chèvre', 'beurre', 'protéines de lait', 'sels de fonte : polyphosphates', 'citrates de sodium et acide citrique', 'préparation pour la variété tomate-poivron ', 'eau', 'tomates 1%', 'sel', 'ail', 'arôme', 'épice', 'colorant : extrait de paprika', 'sel', 'arômes naturels']",['Non végétalien'],18.5 g,en quantité modérée,12.5 g,en quantité élevée,5 g,en quantité modérée,2.2 g,en quantité élevée,?,,235,-18%,983 kj(235 kcal),-16%,"18,5",-24%,"12,5",-22%,5,+15%,5,+31%,12,+13%,"2,2",+36%,"0,88",+36%,17,+13%,D,+13%,78.1%,12.8%,3.1%,3.8%,1.7%,0.5%,52,,,"['E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E331 - Citrates de sodium', 'E330 - Acide citrique', 'E160c - Extrait de paprika']",['Lait'],4,,,,,,,,,
1426,Blue cheese - The Laughing Cow,3073781082906,,,['France'],[],[],,,,,,,,,?,,151,,632 kj(151 kcal),,"8,5",,"5,5",,"5,5",,"5,5",,13,,"1,6",,"0,64",,,,,,,,,,,,,,['The Laughing Cow'],,,,,,,,,,,,
1427,Kiri - Bel,3073781084122,,,['France'],"['Fromage fondu', ' Ih rédients : froma e blanc ', 'dont lait 32%', 'crème ', '27%', ' eau', 'protéines de lait', 'sels fonte : E452', 'E3?9 et E331', 'sel', 'gélifiant : carraghénanes', 'a vitamines B2 et B12', ' A conserver au froid après achat', ' A consommer de oréference avant le : voir sur la face avant']",['Non végétalien'],,,,,,,,,?,,308,,1289 kj(308 kcal),,"29,5",,20,,2,,2,,"8,5",,"1,5",,"0,6",,,,,,,,,,,,,,['Bel'],"['E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E331 - Citrates de sodium', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E101 - Riboflavine']",['Lait'],4,,,,,,,,,
1428,Kiri - Bel,3073781084139,,,['France'],"['fromage blanc ', 'dont lait 32%', 'crème ', '27%', 'eau', 'protéines de lait', 'sels de fonte : E452', 'E339 et E331', 'sel', 'gélifiant : carraghénanes', 'vitamines B2 et B12']","['Sans huile de palme', 'Non végétalien']",,,,,,,,,?,,308,,1289 kj(308 kcal),,"29,5",,20,,2,,2,,"8,5",,"1,5",,"0,6",,,,,,,,,,,,,,['Bel'],"['E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E339 - Phosphates de sodium', '', 'Risque élevé de sur-exposition', 'E331 - Citrates de sodium', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",['Lait'],4,,,,,,,,,
1429,Vache qui rit chef -,3073781084214,,,"['Algérie', 'France']",[],[],,,,,,,,,?,,206,,862 kj(206 kcal),,"15,5",,"10,5",,7,,6,,"9,5",,"2,5",,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1430,Chef - La Vache Qui Rit,3073781084221,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,11,,"10,5",,7,,0,,"9,5",,"2,5",,1,,,,,,,,,,,,,,['La Vache Qui Rit'],,,,,,,,,,,,
1431,Boursin ail et fines herbes,3073781084931,,,['France'],[],[],,,,,,,,,?,,395,,1653 kj(395 kcal),,39,,26,,3,,2,,8,,"1,2",,"0,48",,,,,,,,,,,,,,['Boursin'],,,,,,,,,,,,
1432,Garlic et herbs - Boursin,3073781085686,,,['France'],"['bouRëin• VERSE ROOMKAAS MET KNOFLOOK EN FIJNE KRUIDEN', ' Ingrediënten: gepasteuriseerde melk en room', 'zuursel ', 'bevat melk', 'knoflook en fijne kruiden 2,3%', 'zout', 'peper', 'Kan sporen van noten bevatten', ' Koel bewaren tussen +20C/+ 60C']",[],,,,,,,,,?,,395,,1653 kj(395 kcal),,39,,26,,3,,2,,8,,"1,2",,"0,48",,,,,,,,,,,,,,['Boursin'],,,,,,,,,,,,
1433,Boursin aperitif,3073781088564,,,['France'],"['lait entier ', 'Origine : France', 'crème ', 'Origine : France', 'ferments lactiques', 'ail et fines herbes ', '1,8%', 'sel/ lait écrémé en poudre ', 'Origine : France', 'épaississants ', 'carraghénanes et farine de graines de caroube', 'poivre', 'conservateur : sorbate de potassium,']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",,,,,,,,,?,,250,,1046 kj(250 kcal),,19,,"12,5",,5,,"4,5",,"3,5",,"1,2",,"0,48",,,,,,,,,,,,,,['Boursin'],"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E410 - Gomme de caroube', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",['Lait'],4,,,,,,,,,
1434,Boursin apéritif tomates et herbes méditerranéennes,3073781088571,,,['France'],[],[],,,,,,,,,?,,148,,619 kj(148 kcal),,13,,"8,5",,"4,5",,"4,5",,3,,"1,2",,"0,48",,,,,,,,,,,,,,['Boursin'],,,,,,,,,,,,
1435,Roulés de jambon fumé,3073781088687,,,['France'],[],[],,,,,,,,,?,,352,,1473 kj(352 kcal),,32,,"20,5",,2,,2,,14,,"2,1",,"0,84",,,,,,,,,,,,,,,,,,,,,,,,,,
1436,Babybel mini caractere,3073781090369,,,['France'],"['lait cnticr ', '98%', 'SCI', 'ferments lactiques', ""coagulantu A conserver au froid après achat'""]",[],,,,,,,,,?,,341,,1427 kj(341 kcal),,"28,5",,19,,"0,01",,"0,01",,21,,"1,6",,"0,64",,,,,,,,,,,,,,['Babybel'],,['Lait'],,,,,,,,,,
1437,Boursin apéritif - 100,3073781091595,,,['France'],[],[],,,,,,,,,?,,363,,1519 kj(363 kcal),,33,,"20,5",,"2,5",,2,,14,,"2,2",,"0,88",,,,,,,,,,,,,,['Boursin'],,,,,100,,,,,,,
1438,Mini Babybel x18,3073781091656,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages industriels']",['France'],"['lait ', '98%', 'sel', 'ferments lactiques', 'coagulant']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",23 g,en quantité élevée,15.5 g,en quantité élevée,0.001 g,en faible quantité,1.8 g,en quantité élevée,?,,293,-6%,1226 kj(293 kcal),-5%,23,-11%,"15,5",-14%,"0,001",-100%,"0,001",-100%,"21,5",+23%,"1,8",+31%,"0,72",+31%,15,+6%,D,+6%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,['Frais'],"['Babybel', 'Bel']",,['Lait'],3,,,,,,,,,
1439,La vache qui rit Mix,3073781097375,,,['France'],"[""Cream: pasteurized cow's milk"", 'cheese ', 'Cheddar 17%', 'cottage cheese', 'cow oil', 'rehydrated skim milk', 'milk mineral concentrate', 'milk protein', 'whey acid concentrate', 'no additives', ' Pepper', 'rehydrated skim milk', 'cheese', 'butter', 'sweet pepper in marinade ', 'pepper', 'water', 'vinegar', 'glucose syrup', 'salt', 'spice mixture', 'milk proteins', 'salt emulsifiers ', 'E452', 'E331', 'E450', 'E339', 'E330', ' Herbs: parsley', 'green onions', 'salt']",['Non végétalien'],,,,,,,,,?,,222,,929 kj(222 kcal),,18,,12,,"4,5",,"4,5",,"10,5",,"1,7",,"0,68",,,,,,,,,,,,,,['La Vache qui rit'],"['E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E331 - Citrates de sodium', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E339 - Phosphates de sodium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique']",['Lait'],4,,,['Sans additifs'],,,,,,
1440,3073781098075,3073781098075,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte fondue', 'Fromages apéritif']",['France'],[],[],20 g,en quantité modérée,13.5 g,en quantité élevée,4.5 g,en faible quantité,1.9 g,en quantité élevée,?,,244,-14%,1021 kj(244 kcal),-13%,20,-18%,"13,5",-16%,"4,5",+4%,"4,5",+17%,"11,5",+8%,"1,9",+17%,"0,76",+17%,16,+7%,D,+7%,78.1%,12.8%,3.1%,3.8%,1.7%,0.5%,52,,,,,,,,,,,,,,
1441,Fromage,3073781100235,,,['France'],[],[],,,,,,,,,?,,940,,3933 kj(940 kcal),,17,,"11,5",,11,,6,,"7,5",,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,,,,,,,,
1442,Leerdammer break - fruits sec - 42g,3073781101850,,"['Snacks', 'Snacks salés']",['France'],"['Lait pasteurisé', 'sel', 'ferments lactiques', 'enzyme coagulante microbienne', ' Mélange de fruits secs : noisettes décortiquées 60% et raisin sultanine 40% ', 'raisin sec', 'huile de coton']",['Non végétalien'],28 g,en quantité élevée,19 g,en quantité élevée,0.5 g,en faible quantité,0 g,en faible quantité,?,,352,-24%,1473 kj(352 kcal),-24%,28,+16%,19,+349%,"0,5",-99%,"0,5",-85%,25,+194%,0,-100%,0,-100%,14,+15%,D,+15%,,,,,,,,['conservés sous atmosphère protectrice'],['Leerdammer'],,"['Lait', 'Fruits à coque']",3,,42g,['Vaches en pâturages'],,['CZ223ES'],['Pays-bas'],,https://www.ribambel.com/leerdammer/produits,
1443,La vache qui rit dz,3073781105865,,,['France'],[],[],,,,,,,,,?,,271,,1134 kj(271 kcal),,23,,"15,5",,6,,6,,10,,5,,2,,,,,,,,,,,,,,['La Vache qui rit'],,,,,,,,,,,,
1444,Vache qui rit,3073781463279,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",['France'],[],[],18.5 g,en quantité modérée,12.5 g,en quantité élevée,6.5 g,en quantité modérée,1.8 g,en quantité élevée,?,,239,-27%,1000 kj(239 kcal),-27%,"18,5",-30%,"12,5",-30%,"6,5",+437%,"6,5",+776%,"11,5",-44%,"1,8",+38%,"0,72",+38%,15,+9%,D,+9%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,['Sans conservateurs'],,,,,,
1445,La vache qui rit,3073782883083,,,['France'],[],[],,,,,,,,,?,,543,,2272 kj(543 kcal),,36,,"12,5",,"6,5",,"6,5",,"1,5",,"1,8",,"0,72",,,,,,,,,,,,,,['La Vache qui rit'],,,,,,,,,,,,
1446,La vache qui rit,3073785100613,,,['France'],[],[],,,,,,,,,?,,990,,4142 kj(990 kcal),,"18,5",,"12,5",,"6,5",,"0,5",,"11,5",,"1,8",,"0,72",,,,,,,,,,,,,,['La Vache qui rit'],,,,,,['Sans conservateurs'],,,,,,
1447,Sardines Millésimées 2003 à l'Huile d'Olive vierge extra - Capitaine Cook,3073870000545,D,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', ""Sardines à l'huile"", ""Sardines à l'huile d'olive"", ""Sardines à l'ancienne"", 'Sardines Millésimées']",['France'],"['sardines frites ', '80%', ""huile d'olive vierge extra"", 'sel']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,26.2%,30.3%,28.3%,13.4%,0.9%,0.9%,42,,['Capitaine Cook'],,['Poisson'],3,Sardines Millésimées à l' huile d'olive vierge extra,,,['Intermarché'],,,,,
1448,Sardines a l'huile d'olive - Capitaine Cook,3073870005540,D,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', ""Sardines à l'huile"", ""Sardines à l'huile d'olive""]",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,26.2%,30.3%,28.3%,13.4%,0.9%,0.9%,42,,['Capitaine Cook'],,,,,,,,"['FR 29.215.500 CE', 'Plozévet (Finistère, France)']",,,,
1449,Thon Blanc à l'huile d'olive bio,3073870103024,E,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Thons', 'Thons en conserve', ""Thons à l'huile"", ""Thons à l'huile d'olive"", 'Thons blancs']",['France'],[],[],12.7 g,en quantité modérée,2.5 g,en quantité modérée,0.5 g,en faible quantité,1.04 g,en quantité modérée,?,,222,+4%,929 kj(222 kcal),+3%,"12,7",-5%,"2,5",-4%,"0,5",+24%,"0,5",+117%,"26,8",+14%,"1,04",+13%,"0,416",+13%,3,-31%,C,-31%,93.6%,0.0%,1.2%,4.4%,0.6%,0.2%,21,,,,,,,,,,,,,,
1450,Sardines huile olive extra et citron bio,3073870105356,C,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', ""Sardines à l'huile"", ""Sardines à l'huile d'olive"", ""Sardines à l'huile et au citron""]",['France'],[],[],25 g,en quantité élevée,5.5 g,en quantité élevée,0.5 g,en faible quantité,0.58 g,en quantité modérée,?,,300,+22%,1255 kj(300 kcal),+23%,25,+45%,"5,5",+47%,"0,5",+38%,"0,5",+110%,"18,7",-8%,"0,58",-33%,"0,232",-33%,5,-2%,C,-2%,26.2%,30.3%,28.3%,13.4%,0.9%,0.9%,42,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-10']",,,,,,
1451,Petits sucres,3075310120202,,,['France'],[],[],,,,,,,,,?,,400,,1674 kj(400 kcal),,0,,0,,100,,100,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1452,Sucre grains pâtissiers - Giraudon - 600g,3075310120257,B,"['Édulcorants', 'Sucres', 'Sucres blancs', 'Sucres perlés']",['France'],['Sucre en grains'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",0 g,en faible quantité,0 g,en faible quantité,100 g,en quantité élevée,0 g,en faible quantité,?,,400,0%,1674 kj(400 kcal),-0%,0,,0,,100,0%,100,+0%,0,,0,,0,,14,-2%,D,-2%,65.2%,10.9%,13.4%,7.2%,3.3%,0.0%,94,['Plastique'],['Giraudon'],,,2,,600 g,['Point Vert'],['Auchan'],,"['Vitrolles', 'France']",,,
1453,Sucre glace pur canne,3075310210033,,,['France'],[],[],,,,,,,,,?,,400,,1674 kj(400 kcal),,0,,0,,100,,100,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454,Sucre glace,3075310219005,B,"['Édulcorants', 'Sucres', 'Sucres glaces']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,97 g,en quantité élevée,,,?,,400,+6%,1674 kj(400 kcal),+6%,0,-100%,0,-100%,100,+1%,97,+2%,0,-100%,,,,,,,,,65.2%,10.9%,13.4%,7.2%,3.3%,0.0%,94,,,,,,,,,,,,,,
1455,Sucre complet bio - Giraudon,3075310441000,,,['France'],[],[],,,,,,,,,?,,326,,1364 kj(326 kcal),,0,,0,,86,,85,,"0,65",,"0,05",,"0,02",,,,,,,,,,,,,,['Giraudon'],,,,,,['Bio'],,,,,,
1456,Più gusto - San Carlo,3075360038502,,,['France'],"['} pommes de terre', 'huiles végétales ', 'palme et tourneso\\ò', 'préparation aromatique [', 'arômes ', 'poivre rose', 'citron vert', 'sucre', 'exhausteur de goût ', 'glutamate monosodique', 'extrait de levure', ""régulateurs d'acidité "", 'diacétate de sodium', 'acide citrique et citrate de potassium', ""poudre d'oignon]"", 'sel iodé', ' Produit dans une usine qui utilise de la farine de blé,']","[""Pourrait contenir de l'huile de palme""]",,,,,,,,,?,,493,,2063 kj(493 kcal),,26,,10,,56,,"2,2",,"6,7",,"1,7",,"0,68",,,,,,,,,,,,,,['San Carlo'],"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E262ii - Diacétate de sodium', 'E330 - Acide citrique', 'E332 - Citrates de potassium']",['Gluten'],4,,,"['Sans colorants', 'Sans conservateurs']",,,,['Huile de palme'],,
1457,Più gusto saveur amour de tomate - San Carlo,3075360038519,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre', 'Chips de pommes de terre aromatisées']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,"['Sachet', 'Plastique']",['San Carlo'],,,,,,,,,,,,
1458,Saveur Moutarde et Zeste d'Orange - San Carlo,3075360038526,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre', 'Chips de pommes de terre aromatisées']",['France'],[],[],26 g,en quantité élevée,10 g,en quantité élevée,2.1 g,en faible quantité,1.7 g,en quantité élevée,?,,492,-7%,2059 kj(492 kcal),-7%,26,-19%,10,+240%,56,+9%,"2,1",-9%,"6,4",+5%,"1,7",+19%,"0,68",+19%,22,+93%,E,+93%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,,['San Carlo'],,,,,,['Sans conservateurs'],,,,,,
1459,Più gusto - Saveur moutarde et zeste d'orange - San Carlo,3075360038724,,,['France'],[],[],,,,,,,,,?,,492,,2059 kj(492 kcal),,26,,10,,56,,"2,1",,"6,4",,"1,7",,"0,68",,,,,,,,,,,,,,['San Carlo'],,,,,,,,,,,,
1460,Croccante - San Carlo - 150g,3075360040109,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre', ""Chips de pommes de terre à l'huile de tournesol""]",['France'],[],[],27 g,en quantité élevée,10.6 g,en quantité élevée,0.9 g,en faible quantité,1.32 g,en quantité modérée,?,,502,-6%,2100 kj(502 kcal),-6%,27,-19%,"10,6",+257%,"56,3",+11%,"0,9",-30%,"6,3",+7%,"1,32",0%,"0,528",0%,17,+56%,D,+56%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,,['San Carlo'],,,,,150 g,"['en:gluten-free', 'Sans colorants', 'Sans conservateurs']",,,,,,
1461,Croûtons goût tomates et basilic,3075360055677,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Croûtons']","['Belgique', 'France']",[],[],15 g,en quantité modérée,5.6 g,en quantité élevée,2.6 g,en faible quantité,2.4 g,en quantité élevée,?,,443,-6%,1854 kj(443 kcal),-6%,15,-27%,"5,6",+86%,65,+11%,"2,6",-30%,11,+17%,"2,4",+23%,"0,96",+23%,20,+37%,E,+37%,87.8%,8.3%,1.9%,1.8%,0.2%,0.0%,35,,,,,,,,,,,,,,
1462,Huile De Tournesol Messidor 1L,3075711384050,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Graines de tournesol et dérivés', 'Huiles de tournesol']",['France'],[],[],100 g,en quantité élevée,5.9 g,en quantité élevée,0 g,en faible quantité,,,?,,900,+3%,3766 kj(900 kcal),+3%,100,+3%,"5,9",-44%,0,-100%,0,-100%,0,-100%,,,,,,,,,76.7%,11.6%,3.7%,6.1%,1.8%,0.0%,49,,,,,,,,,,,,,,
1463,Huile de tournesol - Maurel - 3l,3075711405090,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Graines de tournesol et dérivés', 'Huiles de tournesol']",['France'],['Huile de tournesol'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",100 g,en quantité élevée,11 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,3700,+2%,?,,3700 kj(884 kcal),+2%,100,+3%,11,+4%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,11,0%,D,0%,76.7%,11.6%,3.7%,6.1%,1.8%,0.0%,49,"['Bouteille', 'Plastique']",['Maurel'],,,2,,3 l,,,,,,,
1464,CROUTIDOR - SPÉCIALE FRITURE - Croustidor - 5l,3075711454005,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Graines de tournesol et dérivés', 'Huiles de tournesol']","['France', 'Polynésie française']","['Huile de tournesol', 'Oléisol® ', 'huile de tournesol à haute teneur en acide oléique', 'antimoussant : E900']","['Sans huile de palme', 'Végétalien', 'Végétarien']",100 g,en quantité élevée,10 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,900,+3%,3766 kj(900 kcal),+3%,100,+3%,10,-6%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,11,0%,D,0%,76.7%,11.6%,3.7%,6.1%,1.8%,0.0%,49,['Bidon plastique'],['Croustidor'],['E900 - E900 food additive'],,4,Huile de friture,5 l,,['Carrefour'],,,,,
1465,Huile D'arachide Maurel|maurel|bidon Peht 5 Litres|5l | Tableau_partenaire - 5l,3075712321085,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Matières grasses', 'Fruits à coques et dérivés', 'Matières grasses végétales', 'Huiles', 'Huiles de fruits à coques', 'Huiles de légumineuses', ""Huiles d'arachide""]","['France', 'Polynésie française']","[""Huile d'arachide""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",100 g,en quantité élevée,17.3 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,900,+4%,3766 kj(900 kcal),+4%,100,+4%,"17,3",+4%,0,,0,,0,,0,,0,,12,-1%,D,-1%,92.8%,2.3%,2.5%,1.3%,1.2%,0.0%,36,,['Maurel'],,,2,,5 l,,"['Carrefour', 'hyper u']",,,,,
