,name,bar_code,brand,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,packaging,categories,markets,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,manufacturing,additives,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,ingredients_origins,link,traceability_code,palm_ingredients,brand_owner,producer_info
1877,Raclette au lait cru,3123931281809,,,['France'],[],[],?,349,1460 kj(349 kcal),29,19,"0,5","0,5",22,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1878,Emmental français est central,3123939304500,,,['France'],[],[],?,396,1657 kj(396 kcal),32,20,"0,5","0,5",27,"0,35","0,14",,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages de France', 'Emmentals français']",,,,32 g,en quantité élevée,20 g,en quantité élevée,0.5 g,en faible quantité,0.35 g,en quantité modérée,,+4%,+5%,+8%,+1%,-18%,+6%,-3%,-41%,-41%,10,-11%,C,-11%,,,D,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,
1879,Citron vert menthe - Pulco,3124480168757,['Pulco'],,['France'],[],[],?,143,598 kj(143 kcal),0,0,"31,2","30,9","0,2","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1880,Quenelles de Brochet Lot de 2 - Ecochard - 2x6x40g,3153571012815,['Ecochard'],,['France'],"['ŒUFS frais 30%', 'farine de BLÉ 20%', 'eau', 'brochet 13%', 'huile de colza', 'blancs d’ŒUFS', 'sel', 'arôme naturel']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,206,862 kj(206 kcal),13,"1,6",14,"0,4","7,8","0,9","0,36",2x6x40 g,['Frais'],"['Plats préparés', 'Plats préparés au poisson', 'Quenelles', 'Quenelles de poisson', 'Quenelles de brochet']",,"['Œufs', 'Poisson', 'Gluten']",4,13 g,en quantité modérée,1.6 g,en quantité modérée,0.4 g,en faible quantité,0.9 g,en quantité modérée,,+7%,+7%,+6%,-68%,+9%,-48%,+7%,-13%,-13%,1,-88%,B,-88%,['Corbas'],,,,,,,,,,,,https://www.ecochard.com/,"['FR 69.273.004 CE', 'Corbas (Rhône, France)']",,,
1881,Pain multigraines - E Leclerc - 1,3162780969339,['E Leclerc'],,['France'],[],[],?,?,,?,,?,,?,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1882,Charbon végétale - Vecteur santé - 150g,3165830014911,['Vecteur santé'],,['France'],[],[],?,?,,?,,?,,?,,,150g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1883,carbo'activ - valeur santé - 49.5g,3165830014980,['valeur santé'],,['France'],"['Charbon végétal super activé ', 'Carbo vegetabilis issu de coques de noix de coco', ' gélatine de poisson bio ', 'gélule']","['Non végétalien', 'Non végétarien']",?,?,,?,,?,,?,,,49.5g,['boîte 120 gellules'],,,,4,,,,,,,,,,,,,,,,,,,,,,,['France'],['E153 - Charbon végétal médicinal'],,,,,,,,,,['Non Union Européenne'],,,,,
1884,thon entier au naturel - saupiquet - 200g,3165951713687,['Saupiquet'],,['France'],"[""Thon albacore'"", 'eau', 'sel Thunnus albacares']","['Non végétalien', 'Non végétarien']",?,127,531 kj(127 kcal),"2,5","0,6",0,0,26,"1,1","0,44",200g,['boite métal'],"['Produits de la mer', 'Poissons', 'Thons', 'Thons au naturel']",,,1,2.5 g,en faible quantité,0.6 g,en faible quantité,0 g,en faible quantité,1.1 g,en quantité modérée,,+10%,+10%,+66%,+28%,-100%,-100%,+4%,+6%,+6%,0,-100%,B,-100%,,,E,68.8%,7.5%,16.1%,6.6%,0.5%,0.5%,28,,,,,,,
1885,Melange chili mexicain bio - Ducros,3166296210916,['Ducros'],"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-09']",['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1886,Part de Brioche Suisse Raisins - THOMAS - 370g,3173310014993,['THOMAS'],,['France'],"['Pâte 85% : farine de blé', 'oeufs frais', 'beurre 16%', 'sucre', 'levain', 'arôme', 'levure', 'sel', 'conservateur : propionate de calcium', ' Fourrage 15% : garniture pâtissière 67% ', 'sucre', 'amidon modifié', 'poudre de lactosérum', 'poudre de lait entier', 'colorant bêta-carotène', 'arôme', 'conservateur: propionate de calcium', 'raisins 33%']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",1508,361,1508 kj(361 kcal),"14,1","10,1","48,9","17,7","8,4","0,75","0,3",370g,['Sachet'],"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Pains aux raisins', 'Brioches pur beurre']",['Intermarché'],"['Œufs', 'Lait']",4,14.1 g,en quantité modérée,10.1 g,en quantité élevée,17.7 g,en quantité élevée,0.75 g,en quantité modérée,,+22%,+21%,+28%,+68%,+11%,+4%,+46%,+18%,+18%,18,+30%,D,+30%,,"['E282 - Propionate de calcium', 'E14XX - Amidons modifiés', 'E160ai - Bêta-carotène']",C,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,,,,
1887,3174030005278,3174030005278,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1888,Roche Mazet,3175529647108,,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1889,Seasoning Sauce - Maggi - 800ml,0067073008708,['Maggi'],,['France'],[],[],?,66.666666666667,279 kj(66 kcal),0,0,"6,667","6,667","13,333",24,"9,6",800 ml,['Glass bottle'],"['Epicerie', 'Condiments', 'Sauces', 'Assaisonnements', 'Sauces au soja']",,,,0 g,en faible quantité,0 g,en faible quantité,6.67 g,en quantité modérée,24 g,en quantité élevée,,-39%,-39%,-100%,-100%,-63%,-47%,+108%,+100%,+100%,11,-2%,D,-2%,,,A,21.5%,31.6%,20.1%,15.9%,8.6%,2.3%,97,,,,,,,
1890,Crème de Carmel - Le bois jumel - 240g,3176630002114,['Le bois jumel'],['Bio'],['France'],"['lait entier ', '65%', 'sucre de canne*', 'beurre salé ', 'creme de lait pasteurisée', 'ferments lactiques 2% sel 2 %', 'sirop de glucose', 'caramel ', '3%', ' ', 'sucre*', 'eau', ' Peut contenir des traces de fruits à coques', "" *Ingrédients issus de l'agriculture biologique""]",['Non végétalien'],?,357,1494 kj(357 kcal),"10,4","7,5",62,50,"4,2","0,84","0,336",240g,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner au caramel']",,['Lait'],4,10.4 g,en quantité modérée,7.5 g,en quantité élevée,50 g,en quantité élevée,0.84 g,en quantité modérée,,-15%,-15%,-46%,-37%,+5%,+5%,+132%,+38%,+38%,24,-2%,E,-2%,,,,,,,,,,,,,,,,,
1891,Giffard crème de cassis d'Anjou 16° - 70cl,3180290028377,['Giffard'],,['France'],"['sucre', 'eau', 'alcool', 'cassis', 'bourgeons de cassis']",[],?,245,1025 kj(245 kcal),"40,9",,"40,9",,0,0,0,70 cl,['bouteille en verre'],"['Boissons', 'Boissons alcoolisées', 'Liqueurs']",,,3,,,,,,,,,,+81%,+86%,+372%,,+109%,,-100%,-100%,-100%,,,,,,,D,57.4%,11.3%,20.5%,8.1%,1.7%,1.0%,33,,,,,,,
1892,Jambon superieur - Madrange - Lot de 2,3180940081462,['Madrange'],,['France'],[],[],?,?,,?,,?,,?,,,Lot de 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1893,rouge - valbrian - 150cl,3186121100151,['Valbrian'],['Bouteille en plastique'],['France'],"[""pas d'ingrédients noté""]",[],?,?,,?,,?,,?,,,150cl,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges']",['Intermarché'],,,,,,,,,,,,,,,,,,,,,,,,,,,D,38.9%,16.2%,33.0%,8.1%,2.4%,1.3%,43,,,,,,,
