,name,bar_code,packaging,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,brand,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,generic_name,ingredients_origins,link,markets,nova_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,brand_owner,additives,traceability_code,allergens,manufacturing,palm_ingredients,producer_info,origin_detail
48,Sis Go Energy Mini Bar 40GR Blueberries Box 30 ? - Science In Sport,5025324008049,,['France'],"['FR', 'Au goût de myrtille tendra barre céréales aux Pourlaliste des ingrédients et le tableau nutritionnel veuillez visiter www', 'scienceinsport', 'com', ' Informations sur les allergies: Contient gluten', 'soja', ' Convient aux Végétariens', ' A conserver dans un endroit frais et sec']",['Végétarien'],?,347,1452 kj(347 kcal),"5,3","0,8",63,26,12,"0,3","0,12",,['Science In Sport'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Végétarien'],,,,"['Gluten', 'Soja']",,,,
49,Graham's Scottish Butter Unsalted 250G - 250g,5025840000879,,['France'],[],[],?,744,3113 kj(744 kcal),"82,2","52,1","0,6","0,6","0,6",0,0,250 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Cheddar au poivre - Wensleydale Creamery - 160g,5025960004481,"['Barquette', 'Plastique']",['France'],"['Fromage Cheddar 98% ', 'Lait', 'Poivre Noir', 'Conservateur: Sorbate de Potassium']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",1673,404,1673 kj(404 kcal),"33,9","21,2","0,1","0,1","24,5","1,7","0,68",160 g,['Wensleydale Creamery'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages du Royaume-Uni', ""Fromages d'Angleterre"", 'Fromages en tranches', 'Cheddars', 'Cheddar en tranches']",33.9 g,en quantité élevée,21.2 g,en quantité élevée,0.1 g,en faible quantité,1.7 g,en quantité élevée,,+10%,+8%,+10%,+7%,-95%,-89%,+9%,-7%,-7%,16,-5%,D,-5%,D,Fromage Cheddar au poivre noir moulu,,,,3,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,"['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",['UK PF300 EC'],['Lait'],['Royaume-Uni'],,,
51,Eau des Vikings pêche - Eau minérale aromatisée gazeuse - Blue keld - 50cl,5026356000100,"['Bouteille', 'Plastique']",['France'],"['Eau minérale naturellement gazeuse', 'acide ', 'acide citrique', 'arômes naturels de fruits', 'édulcorants ', 'aspartame', 'acésulfame-k', 'conservateur ', 'benzoate de sodium', 'antioxydant ', 'acide ascorbique']",[],?,< 1,< 4 kj(1 kcal),"< 0,5","< 0,1","< 0,5","< 0,5","< 0,5","< 0,01","0,004",50 cl,['Blue keld'],"['Boissons', 'Boissons gazeuses', 'Eaux', 'Boissons édulcorées', 'Eaux gazeuses', 'Eaux aromatisées']",0.5 g,en faible quantité,0.1 g,en faible quantité,0.5 g,en faible quantité,0.01 g,en faible quantité,,-89%,-89%,+414%,+1047%,-77%,-75%,+339%,-22%,-22%,2,-41%,C,-41%,,,,,,4,,,,,,,,,,"['E330 - Acide citrique', 'E951 - Aspartame', 'E950 - Acésulfame K', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition', 'E300 - Acide ascorbique']",,,,,,
52,Lentil chips,5026489484006,,['France'],[],[],?,466,1950 kj(466 kcal),"19,5","1,4",66,"2,2","9,3","2,8","1,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Eat Real Quinoa Chilli & Lime Flavoured Chips - 80g,5026489487069,,"['France', 'Irlande']","['O noa Flo ', '29%', 'Fi r', 'Flo ComS ch ti Flo PeaFI Rapeseed rsg Salt,Chil & line as in o', 'ait,DriedBll epper', 'Spices', 'ayenne', 'umin', 'ariicPowde', 'trc Adid,Natural Rawouri,Heb', 'Parey', 'omion Powde,Papia Etadi', ' oduct Desciption: Quinoa-based snack with chilli&lime flavour Shage Istructions:lo maintainfrestines', 'sore m a ol,dry pae away fom iret uli odous', ' Farine e quinoa 29% anne emas', 'fan e enz am ondemais fa nedele lle fa nedepo hui edecolza su e sel eta INGR taudit onvert 3% sure,farie derz', 'se po ro se ', 'epices por edeCa arcu e cu n alenpo dreacide it que,aines uei tret fines rbes perisi', 'poudre doignon', 'extrait de paprikal', ' ton du produit tnas à base de quinoa saveur piment et atron vert', ' ns de conservation: Pour maintenir la fraicheur', 'conservez dans un endroit rais,sec,loin de la lumiere du iour et dodeurs prégnantes']","['Végétalien', 'Végétarien']",?,480,2008 kj(480 kcal),21,"1,9","63,7",4,"6,8","1,9","0,76",80 g,['Eat Real'],"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips']",21 g,en quantité élevée,1.9 g,en quantité modérée,4 g,en faible quantité,1.9 g,en quantité élevée,,-6%,-7%,-29%,-39%,+18%,+70%,+19%,+43%,+43%,12,+3%,D,+3%,,,,,,,,,,,,,,"['Végétarien', 'en:gluten-free', 'Végétalien']",,,,,,,,
54,Rustic Rolls - Paul Hollywood,5027952012863,,['France'],"['Wheat Flour', 'Water', 'Rye Flour', 'Yeast', 'Salt', 'Wheat Gluten', 'Flour TreatmentAgent ', 'Ascorbic Acid', ' My rolls are packaged in a protective atmosphere With dever packaging to retain treshness without having to add preservatives', ' Allergy Advice: For allergens', 'including cereals containing gluten', 'see ingrdentsin May contain traces of nuts', 'mustard', 'sesame seeds and lupin Suitable for vegetarians']",[],?,265,1109 kj(265 kcal),1,"0,2","54,7","2,8","8,5","0,9","0,36",,['Paul Hollywood'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Gluten'],,,,
55,Drops Of Youth Concentrate (Sample),5028197469436,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Proper Job Cornish IPA - St Austell Brewery - 330ml,5028403170682,"['Bouteille', 'Verre', 'Capsule', 'Métal']",['France'],"[""Contient du malt d'orge""]",[],?,?,,?,,?,,?,,,330 ml,['St Austell Brewery'],"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières blondes', 'Bières anglaises']",,,,,,,,,,,,,,,,,,,,,,,C,Bière IPA anglaise,,https://www.staustellbrewery.co.uk/proper-job,,3,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,"['Point Vert', 'Déconseillé aux femmes enceintes']",,,,['Gluten'],"['St Austell', 'Corwall', 'Royaume-Uni', 'UK']",,,
57,Hot Ginger Beer,5029212001105,,['France'],[],[],?,30,126 kj(30 kcal),"0,2","0,1","7,7","7,7","0,1","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'GB-ORG-05']",,,,,,,,
58,"Lactrofree UHT - Old Jamaïca - 1,5L",5029578000330,"['Bouteille plastique', '', 'pet-bottle']",['France'],"['Eau gazéifiée', 'sucre', 'acide ', 'acide citrique', 'stabilisants ', 'gomme arabique', 'extrait de Quillaia', 'arômes ', 'y compris extrait de racine de gingembre', 'conservateur ', 'benzoate de sodium']",[],?,53,222 kj(53 kcal),"0,1","0,1","13,2","13,2","0,1","0,07","0,028","1,5 L","['Old Jamaïca', 'Arla']","['Boissons', 'Boissons sans alcool', 'Bières sans alcool', 'Bière de gingembre', 'Boissons avec sucre ajouté']",0.1 g,en faible quantité,0.1 g,en faible quantité,13.2 g,en quantité élevée,0.07 g,en faible quantité,,+29%,+32%,+43%,+67%,+35%,+38%,+67%,+451%,+451%,17,,E,,C,Bière de gingembre,,,['AZ sasu 45 rue Heurtault 93300 Aubervilliers'],4,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,"['E330 - Acide citrique', ""E414 - Gomme d'acacia"", 'E999 - Extraits de quillaia', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition']",,,,,,
59,Bunnahabhain Islay 12 Years Single Malt Whisky 46.3º - 70cl e,5029704217366,"['Bouteille', 'Verre']","['France', 'Royaume-Uni']",['Scotch whisky'],"['Sans huile de palme', 'Peut-être végétalien', 'Végétarien']",?,?,,?,,?,,?,,,70 cl e,['Bunnahabhain'],"['Boissons', 'Boissons alcoolisées', 'Alcools forts', 'Eaux-de-vie', 'Whiskys', 'Whisky écossais']",,,,,,,,,,,,,,,,,,,,,,,C,,,,,3,0.0%,41.3%,42.0%,11.2%,3.5%,2.0%,57,"['Point Vert', 'Déconseillé aux femmes enceintes']",,,,,"['Écosse', 'Royaume-Uni']",,,
60,Cadbury flake chocolate bar - 1,50201013,,"['France', 'Royaume-Uni', 'États-Unis']","['MILK', 'sugar', 'cocoa butter', 'cocoa mass', 'vegetable fats ', 'palm', 'shea', 'emulsifier ', 'E442', 'flavourings']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,535,2238 kj(535 kcal),"30,5",19,56,"55,5","8,1",0,0,1,['Cadbury'],"['Snacks', 'Snacks sucrés', 'Confiseries']",30.5 g,en quantité élevée,19 g,en quantité élevée,55.5 g,en quantité élevée,0 g,en faible quantité,,+27%,+27%,+107%,+194%,-16%,+12%,+92%,-100%,-100%,26,+43%,E,+43%,,,,,,4,,,,,,,,"['Pur beurre de cacao', 'en:Verified']",,"[""E442 - Phosphatides d'ammonium""]",,['Lait'],,,,
61,Fisherman's Friend Mint - Lofthouse of Fleetwood LTD. - 25g,50216383,,"['Autriche', 'France']","['Sorbit', 'Aroma: Pfefferminzöl', ' Trennmittel: Magnesiumstearat', ' Süßstoff: Aspartam ', 'enthält eine Phenylalaninquelle']",[],1008,?,1008 kj(241 kcal),"0,57","0,57","98,41","0,1","0,07",,,25g,['Lofthouse of Fleetwood LTD.'],"['Snacks', 'Snacks sucrés']",0.57 g,en faible quantité,0.57 g,en faible quantité,0.1 g,en faible quantité,,,-48%,,-46%,-97%,-94%,+71%,-100%,-99%,,,,,,,,Extra frische Pastillen mit Pfefferminz-Geschmack mit Süßungsmitteln,['de:England'],,['Billa'],4,,,,,,,,"['Peu ou pas de sucre', 'Sans sucre']",,"['E420 - Sorbitol', 'E572 - Stéarate de magnésium', 'E951 - Aspartame']",,,,,,
62,Polo spearmint,50251001,,['France'],[],[],?,402,1682 kj(402 kcal),1,1,"98,2","95,7",0,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Fruit Pastilles - Rowntrees,50251414,,"['Australie', 'France', 'Royaume-Uni']","['Sugar', 'Glucose Syrup ,Gelatine', 'Gum Arabic ', 'Modified Starch ', 'Concentrated Fruit Juice ', '1%', ' ', 'Grape', 'Apple', 'Lime', 'Orange', 'Blackcurrant', 'Strawberry', 'Lemon', ' ', 'Acids ', 'Malic Acid', 'Citric Acid', 'Lactic Acid', ' ', 'Acidity Regulator ', 'Trisodium Citrate', ' ,Flavourings', 'Naturally Sourced Colours ', 'Anthocyanins', 'Curcumin', 'Beta-Carotene', 'Copper Complexes of Chlorophyllins']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",?,352,1473 kj(352 kcal),"0,1",0,"82,6","55,9","4,1","0,3","0,12",,['Rowntrees'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",0.1 g,en faible quantité,0 g,en faible quantité,55.9 g,en quantité élevée,0.3 g,en quantité modérée,,-1%,-2%,-95%,-100%,-1%,-4%,+93%,+148%,+148%,15,+4%,D,+4%,E,,,,['Woolworths'],4,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,"['E428 - Gélatine', ""E414 - Gomme d'acacia"", 'E14XX - Amidons modifiés', 'E296 - Acide malique', 'E330 - Acide citrique', 'E270 - Acide lactique', 'E331iii - Citrate trisodique', 'E163 - Anthocyanes', 'E100 - Curcumine', 'E160ai - Bêta-carotène', 'E141ii - Sels de sodium et de potassium de complexes cupriques de chlorophyllines']",,,,,,
64,Polo Sugar Free Mints,50251797,"['paper-sleeve', 'mixed plastic-film']",['France'],[],[],?,235,983 kj(235 kcal),0,0,"0,01","0,01",0,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Super Food Grains - 255g,5030101028059,,['France'],[],[],?,196,820 kj(196 kcal),"6,5","0,6",29,"1,7","4,4","0,1","0,04",255 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Mrs Darlingtons Creamed Horseradish (pack of ),5030563000761,,['France'],[],[],?,195,816 kj(195 kcal),10,"3,4",21,"19,8",3,"3,6","1,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Gateau au chocolat avec bougies Happy Birthday - Lightbody,5030765022066,,['France'],[],[],?,437,1828 kj(437 kcal),"22,2","7,1","53,2","33,4",5,"0,3","0,12",,['Lightbody'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Thornton's Caramel Shortcake 10Pk,5030765028594,"['mixed plastic film-packet', 'pet-tray']",['France'],[],[],?,508,2125 kj(508 kcal),"30,8","17,5","52,5","41,6",4,"0,72","0,288",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Gâteau De Fête Pat patrouille - Lightbody - 750g,5030765032737,"['Carton', 'Blister', 'Plastique', 'Boite', 'Frais']",['France'],"['Sucre', 'farine de blé ', 'farine de blé', 'carbonate de calcium', 'fer', 'niacine', 'thiamine', 'œufs pasteurisés', 'huile de colza', 'beurre doux ', 'lait', 'crème fleurette ', 'lait', 'poudre de cacao allégé', 'humectant ', 'glycérine', 'beurre de cacao', 'sirop de sucre inverti', 'pâte de cacao', 'sirop de glucose', 'poudre de lait entier', 'amidon de maïs', 'poudre de lait écrémé', 'lactose ', 'lait', 'poudres à lever ', 'diphosphate et bicarbonate de sodium', 'émulsifiants ', 'lécithine de soja', 'de tournesol', ""mono et diglycérides d'acides gras"", 'polyricinoléate de polyglycérol', 'poudre de lactosérum ', 'lait', 'matières grasses de lait', 'huile de palmiste', 'huile de palme', 'conservateur ', 'sorbate de potassium', 'stabilisant ', 'gomme de xanthane', 'arôme', ""correcteur d'acidité "", 'acide tartrique', 'colorants ', 'anthocyanes', 'rouge de betterave', 'charbon végétal', 'riboflavine', ""blancs d'œufs déshydratés"", 'concentré de spiruline']","['Huile de palme', 'Non végétalien', 'Végétarien']",?,409,1711 kj(409 kcal),"22,5","8,1","46,2","34,4","4,6","0,3","0,12",750 g,['Lightbody'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Frais', 'Gâteaux', 'Pâtisseries', 'Gâteaux au chocolat', 'Produits décongelés']",22.5 g,en quantité élevée,8.1 g,en quantité élevée,34.4 g,en quantité élevée,0.3 g,en quantité modérée,,+32%,+32%,+48%,+38%,+45%,+169%,-48%,-74%,-74%,21,+45%,E,+45%,E,"Gâteau génoise, ganache et copeaux chocolat licence Pat Patrouile",,http://www.soufflermesbougies.fr/nos-gateaux-anniversaire/,['Carrefour'],4,82.4%,11.4%,2.3%,2.6%,1.2%,0.0%,38,"['Végétarien', 'Colorants naturels', 'Arômes naturels', 'Sans matière grasse hydrogénée', 'Décoré à la main']",,"['E422 - Glycérol', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500ii - Carbonate acide de sodium', 'E322i - Lécithine', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", ""E476 - Esters polyglycériques d'acides gras d'huile de ricin"", 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane', 'E334 - Acide L-tartrique', 'E163 - Anthocyanes', 'E162 - Rouge de betterave', 'E153 - Charbon végétal médicinal', 'E101i - Riboflavine']",,"['Œufs', 'Gluten', 'Lait', 'Soja']","['Rennes', 'Ile et Vilaine', 'France', 'Bretagne']",['Huile de palme'],,
70,Gâteau de Fête - Marvel Kitchen - 672g,5030765034311,"['Carton', 'Plastique']",['France'],"['Farine de blé ', 'farine de blé', 'carbonate de calcium', 'fer', 'niacine', 'thiamine', 'sucre', 'œufs pasteurisés', 'huile de colza', 'inuline', 'eau', 'huile de palme', 'amidon de tapioca', 'humectant ', 'glycérine', 'cacao maigre en poudre', 'fibre de tapioca', 'huile de palmiste', 'poudre de cacao', 'amidon de maïs', 'émulsifiants ', 'Stéaroyl-2-lactylate de sodium', ""mono-et diglycerides d'acides gras"", ""esters monoacétyltartriques et diacétyltartriques des mono-et diglycérides d'acides gras"", ""sucroester d'acides gras"", ""fibre d'avoine"", 'poudres à lever ', 'diphosphates', 'bicarbonate de potassium', 'stéarine de palme', 'arôme', 'conservateur ', 'sorbate de potassium', ""correcteurs d'acidité "", 'acide citrique', 'glucono-delta-lactone']","['Huile de palme', 'Non végétalien', 'Végétarien']",?,399,1669 kj(399 kcal),"19,2","4,4","50,7","21,6","3,8","0,26","0,104",672 g,['Marvel Kitchen'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Pâtisseries', 'Gâteaux au chocolat', 'Produits sous license']",19.2 g,en quantité modérée,4.4 g,en quantité modérée,21.6 g,en quantité élevée,0.26 g,en faible quantité,,+5%,+6%,+42%,-38%,-6%,-39%,-13%,+13%,+13%,13,-14%,D,-14%,E,Gâteau de Fête Marvel,,,,4,82.4%,11.4%,2.3%,2.6%,1.2%,0.0%,38,"['Peu ou pas de sucre', 'Peu de sucre', 'Végétarien', 'Allégé en sucre', 'Arômes naturels', 'Sans colorants', 'Sans matière grasse hydrogénée']",,"['E422 - Glycérol', 'E481 - Stéaroyl-2-lactylate de sodium', '', 'Risque élevé de sur-exposition', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", ""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras"", 'E473 - Sucroester', '', 'Risque élevé de sur-exposition', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E501ii - Carbonate acide de potassium', 'E570 - Acide stéarique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E575 - Glucono-delta-lactone']",,"['Œufs', 'Gluten', 'Avoine']","['Écosse', 'Royaume-Uni']","['Huile de palme', 'Stéarine de palme']",,
71,2 Venison Steaks - Holmed Farmed Venison - 240g (2 * 120g),5030823000401,"['Frais', 'sous vide', 'Plastique']",['France'],['Chevreuil 100%'],[],449,?,449 kj(107 kcal),"1,2","0,6","1,1","0,3","22,7","0,2","0,08",240 g (2 * 120 g),['Holmed Farmed Venison'],"['Viandes', 'Viandes fraîches', 'Gibiers', 'Chevreuil']",1.2 g,en faible quantité,0.6 g,en faible quantité,0.3 g,en faible quantité,0.2 g,en faible quantité,-10%,,-23%,-80%,-78%,+6%,-11%,+18%,-73%,-73%,-4,-276%,A,-276%,,,['Nouvelle-Zélande'],,,,,,,,,,,,,,['UK 2459 EC'],,['Yorkshire'],,,
72,Tesco Sparkling Water Hint of Apple and Raspberry 1 Litre,5031021335869,['pet-bottle'],"['France', 'Royaume-Uni']",[],[],?,9,38 kj(9 kcal),0,0,"0,3","0,2",0,,,,['Tesco'],,,,,,,,,,,,,,,,,,,,,,,,,,,,['Tesco'],,,,,,,,,,,,,,,,,
73,Tesco Mint Sauce 180G - 180g,5031021953612,,"['France', 'Royaume-Uni']","['ingredients partially reconstituted mint ', '40%', 'white wine vinegar ', 'sulphites', 'sugar ', 'sulphites', 'balsamic vinegar ', 'grape vinegar', 'grape must', ' ', 'sulphites', 'dried mint', 'salt', 'stabiliser ', 'xanthan gum', 'water', 'flavouring colour ', 'copper chlorophyllin complex', 'allergy advice for allergens', 'see ingredients in bold']",[],?,109,456 kj(109 kcal),"0,6","0,5","22,9",22,"1,6","1,4","0,56",180 g,['Tesco'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,['E415 - Gomme xanthane'],,['Anhydride sulfureux et sulfites'],,,,
74,Biona: Organic Chopped Tomatoes - 400G - 400g,5032722301016,,"['France', 'Royaume-Uni']","['Tomates concasseés*', 'jus de tomates*', ""\r* issus de l'agriculture biologique""]",[],?,22,92 kj(22 kcal),"0,15","0,02","3,75",3,"1,1","0,02","0,008",400 g,['Biona'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Tomates et dérivés', 'Tomates', 'Tomates en conserve']",0.15 g,en faible quantité,0.02 g,en faible quantité,3 g,en faible quantité,0.02 g,en faible quantité,,-29%,-25%,-51%,-57%,-14%,-18%,-18%,-92%,-92%,-6,,A,,B,,,,,1,67.0%,0.0%,0.0%,15.7%,13.1%,4.3%,97,['Bio'],,,,,,,,
75,Biona Organic Canned Beans - Mixed - 400g - 400g,5032722302921,"['BIONA WINDMILL ORGANIC Ltd', 'aluminium-tin']",['France'],"['haricots mélangés* des proportions variables: ', 'haricots de pinto*', 'haricots de cannelini* haricots rouge*', 'eau ', '40%', "" de l'agriculture biologique\r  Mixed beans in variable proportions "", 'Pinto beans*', 'Cannellini beans*', 'Kidney beans*', 'Water\r *=Certified Organic Ingredient']",[],?,101,423 kj(101 kcal),"0,5","0,1","16,6",1,"7,6","0,09","0,036",400 g,['Biona Organic'],,,,,,,,,,,,,,,,,,,,,,,,,,['Royaume-Uni'],,,,,,,,,,,"['Bio', 'Sans sucre ajouté', 'Certified by ORGANIC FOOD FEDERATION']",,,,,['UK'],,,
76,Biona Organic Omega Rye Bread,5032722303607,,['France'],"[""Rye Mea' • "", 'Waterl Rye Orpantc Ingredjents']",[],?,207,866 kj(207 kcal),"3,1","0,3","33,6","1,9","5,6","1,2","0,48",,['Biona'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,
77,Biona Organic Chilli Beans - 395g,5032722304802,,['France'],[],[],?,78,326 kj(78 kcal),"0,5","0,1",11,"3,4","5,2","0,9","0,36",395 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Biona Organic Squeezy Light Agave Syrup,5032722305120,,['France'],[],[],?,300,1255 kj(300 kcal),"0,5","0,1",75,75,"0,5","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Biona Organic Hot Pepper Sauce - 140ml,5032722305793,,['France'],[],"['Végétalien', 'Végétarien']",?,55,230 kj(55 kcal),0,0,11,8,1,4,"1,6",140 ml,['Biona'],"['Epicerie', 'Sauces', 'Sauces chili']",0 g,en faible quantité,0 g,en faible quantité,8 g,en quantité modérée,4 g,en quantité élevée,,-36%,-35%,-100%,-100%,-24%,-22%,+3%,+1%,+1%,11,+5%,D,+5%,,,,,,,,,,,,,,"['Bio', 'Végétarien', 'en:gluten-free', 'Végétalien']",,,,,,,,
80,Biona Lentils Vert 400G - 400g,5032722309784,,['France'],"['lentilles*', 'eàlj * issus Ainekset: linssit*', 'vesi = luomutuote EuoxartKd: npdotvEÇ ? ? h =BtoÀ0YIKriç yupyiaç vepo Ingredienten?', ' linser*', 'vann fra debiogodkjent Okologisk landbruk Ingrediénten: linzen*', 'water van biologische teelt vattell\r  lentils vert*', 'water\r*= certified organic ingredients']",[],?,90,377 kj(90 kcal),"0,5",0,"14,6","0,6","6,7","0,36","0,144",400 g,['Biona'],,,,,,,,,,,,,,,,,,,,,,,,,Biona Organic Canned Lentils - Lentils Vert - 400g,['Italie'],,,,,,,,,,,"['Bio', 'Sans sucre ajouté', 'Certified by ORGANIC FOOD FEDERATION']",,,,,['BIONA WIND MILL ORGANIC Ltd'],,,
81,Puree De Graines Bio Crues Raw,5032722311633,,['France'],[],[],?,665,2782 kj(665 kcal),"65,2","7,2","14,4","1,2","14,3","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,
82,Biona Org Ketchup Classic Squeezy 560 G X - Bionaturae,5032722313057,['Flacon'],['France'],"['purée de sucre de canne brut*', 'vinaigre*', 'sel', ""épices* issue de l'agriculture biologique""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,97,406 kj(97 kcal),"0,1",0,"20,7","20,6","1,1","2,5",1,560 g,['Bionaturae'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'DE-ÖKO-001', 'Agriculture UE/Non UE']",,,,,,,,
83,Apple apricot puree - Biona,5032722313323,,['France'],[],[],?,51,213 kj(51 kcal),"0,2",0,"12,5",10,"0,5",,,,['Biona'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,
84,Sirop d'agave au caramel - Biona,5032722313446,['Bouteille'],"['Belgique', 'France']",[],[],?,300,1255 kj(300 kcal),"0,1","0,1",75,75,"0,1","0,1","0,04",,['Biona'],"['Édulcorants', 'Sirops', 'Sirops simples', ""Sirops d'agave""]",0.1 g,en faible quantité,0.1 g,en faible quantité,75 g,en quantité élevée,0.1 g,en faible quantité,,-3%,-3%,-57%,+485%,-2%,+3%,+34%,+103%,+103%,13,+1%,D,+1%,,,,,,,,,,,,,,['Bio'],,,,,,,,
