,name,bar_code,quantity,packaging,brand,categories,labels,ingredients_origins,manufacturing,traceability_code,markets,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,palm_ingredients,link,brand_owner
1632,Assortiment chocolats,5413415905603,,,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Assortiments de chocolats']",,,,,,['France'],[],,,[],,34.5 g,en quantité élevée,21 g,en quantité élevée,42 g,en quantité élevée,0.04 g,en faible quantité,?,,537,-3%,2247 kj(537 kcal),-3%,"34,47",-5%,21,-0%,46,-0%,42,+1%,7,-2%,"0,04",-70%,"0,016",-70%,25,+2%,E,+2%,,,,,,,,,,,,
1633,Babelutte - Dolfin - 70g,5413415906105,70g,,['Dolfin'],,,,,,,"['Belgique', 'France']",[],,,[],,,,,,,,,,?,,528,,2209 kj(528 kcal),,33,,20,,50,,48,,7,,"0,16",,"0,064",,,,,,,,,,,,,,,,,
1634,Chocolat au lait 38% Spéculoos - Tohi - 70g,5413415906808,70 g,,['Tohi'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait', 'Chocolats au speculoos', 'Chocolat au lait au speculoos']","['Bio', 'Bio européen', 'Commerce équitable', 'BE-BIO-01', 'Fairtrade International', 'Fabriqué en Belgique']",,,,,['France'],"['SUCRE DE CANNE""', 'BEURRE DE CACAO*·POUDRE DE LAIT ENTIER""', 'PÂTE DE CACAO SPECULOOS* 406 ', 'FARINE DE BLÉ SUCRE DE CANNE* HUILES VEGETALES VIERGES', 'HUILE DE PALME', 'HUILE DE TOURNESOL', 'MIEL FARINE DE SOJA* BICARBONATE DE SODIUM', ' CANNELLE VANILLE* TENEUR MINIMUM EN CACAO: 38%,']",,"['Gluten', 'Lait', 'Soja']","['Huile de palme', 'Non végétalien']",3,38.2 g,en quantité élevée,23.2 g,en quantité élevée,48 g,en quantité élevée,0.2 g,en faible quantité,?,,575,+8%,2406 kj(575 kcal),+8%,"38,2",+15%,"23,2",+18%,50,-4%,48,+4%,"6,6",+5%,"0,2",-12%,"0,08",-12%,27,+6%,E,+6%,E,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,,['Huile de palme'],,
1635,"Minitafel Sortiert (27 X 10 G), Minitablette, Gift Box, Dolfin",5413415907201,,,['Dolfin'],,,,,,,['France'],"['masse de cacao', 'sucre', 'beurre de cacao', 'poudre de lait entier', 'amandes', 'noisettes', 'caramel ', 'sucre', 'glucose', 'lait concentré', 'beurre', 'sel de Guérande', 'spéculoos ', 'farine de froment', 'sucre de canne', 'huiles végétales -huiles de palme et tournesol', 'miel', 'farine de soja', 'bicarbonate de sodium', 'cannelle', 'poudre de cacao maigre', 'citron', 'orange', 'gingembre', 'poivre rose', 'émulsifiant : lécithine de soja', ""arôme naturel d'orange"", 'arôme naturel de vanille', 'arôme naturel spéculoos', 'arôme naturel caramel', ' Teneur minimum en cacao : chocolat au lait : 38%', 'chocolat noir : ou 88%']","['E500ii - Carbonate acide de sodium', 'E322i - Lécithine']","['Gluten', 'Lait', 'Fruits à coque', 'Soja']","['Huile de palme', 'Non végétalien']",4,,,,,,,,,?,,543,,2272 kj(543 kcal),,36,,22,,44,,40,,7,,"0,1",,"0,04",,,,,,,,,,,,,,,['Huile de palme'],,
1636,Mini Tablette Chocolat Au Lait - Dolfin - 30g,5413415907607,30 g,,['Dolfin'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait']",['Fabriqué en Belgique'],,,,,['France'],[],,,[],,34 g,en quantité élevée,21 g,en quantité élevée,50 g,en quantité élevée,0 g,en faible quantité,?,,550,-1%,2301 kj(550 kcal),-0%,34,-1%,21,+7%,52,+0%,50,+2%,7,-2%,0,-100%,0,-100%,26,+2%,E,+2%,E,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,,,,
1637,Mini Tablette Chocolat Au Lait Abricot Du Maroc - Dolfin,5413415907805,,,['Dolfin'],,['Fabriqué en Belgique'],,,,,['France'],[],,,[],,,,,,,,,,?,,543,,2272 kj(543 kcal),,33,,20,,53,,48,,7,,"0,16",,"0,064",,,,,,,,,,,,,,,,,
1638,"Spekulatius, Haselnuss, Rosa Pfeffer, Orange, 12 Chocolats Au Lait + Noirs Assortments, Dolfin",5413415910409,,,['Dolfin'],,,,,,,['France'],"['masse de cacao', 'sucre', 'beurre de cacao', 'poudre de lait entier', 'noisettes', 'spéculoos', 'poudre de cacao maigre', 'orange', 'poivre rose', 'émulsifiant : lécithine de soja', ""arôme naturel d'orange"", 'vanille naturelle', ' Teneur en cacao ', ' chocolat au lait : 38% min', 'chocolat noir : 60% min']",['E322i - Lécithine'],['Fruits à coque'],['Non végétalien'],4,,,,,,,,,?,,529,,2213 kj(529 kcal),,"34,32",,"20,7",,"47,39",,"40,85",,"6,9",,"3,48",,"1,392",,,,,,,,,,,,,,,,,
1639,Coffret Péchés Gourmands,5413415911482,,,,,['Fabriqué en Belgique'],,,,,['France'],[],,,[],,,,,,,,,,?,,540,,2259 kj(540 kcal),,34,,20,,48,,44,,7,,"0,1",,"0,04",,,,,,,,,,,,,,,,,
1640,Assortiment de 60 chocolats - Dolfin - 270g,5413415911628,270 g,,['Dolfin'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Assortiments de chocolats']",['Fabriqué en Belgique'],,,,,['France'],[],,,[],,35 g,en quantité élevée,21 g,en quantité élevée,42 g,en quantité élevée,0.08 g,en faible quantité,?,,540,-2%,2259 kj(540 kcal),-2%,35,-4%,21,-0%,46,-0%,42,+1%,7,-2%,"0,08",-41%,"0,032",-41%,25,+2%,E,+2%,,,,,,,,,,,,
1641,Assortiments de chocolats - Dolfin,5413415911895,,,['Dolfin'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Assortiments de chocolats']",,,,,,['France'],[],,,[],,34 g,en quantité élevée,21 g,en quantité élevée,47 g,en quantité élevée,0.1 g,en faible quantité,?,,540,-2%,2259 kj(540 kcal),-2%,34,-7%,21,-0%,48,+4%,47,+13%,7,-2%,"0,1",-26%,"0,04",-26%,26,+7%,E,+7%,,,,,,,,,,,,
1642,Caramel Au Beurre Salé Aux Superfruits,5413415912366,,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,489,,2046 kj(489 kcal),,29,,19,,52,,45,,4,,"0,8",,"0,32",,,,,,,,,,,,,,,,,
1643,"Chocolat Au Lait, Dulce De Leche Et Riz Soufflé - Dolfin",5413415912670,,,['Dolfin'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait', 'Chocolats au riz', 'Chocolats au lait au riz']",,,,,,['France'],"['Sucre', 'masse de cacao', 'poudre de lait entier', 'beurre de cacao', 'dulce de lèche 4% ', 'lactosérum', 'beurre', 'maltodexterine', 'sucre', 'lait écrémé', 'arôme naturel', 'riz soufflé 4%', 'caramel beurre salé ', 'émulsifiant: lécithine de soja', 'arôme naturel de vanille']",['E322i - Lécithine'],['Lait'],['Non végétalien'],4,32 g,en quantité élevée,19 g,en quantité élevée,50 g,en quantité élevée,0.175 g,en faible quantité,?,,539,+0%,2255 kj(539 kcal),+1%,32,+2%,19,-1%,54,-2%,50,+6%,7,+1%,"0,175",-45%,"0,07",-45%,23,-11%,E,-11%,E,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,,,,
1644,"Geschenkpackung 9er Carré, Liebe, 9 Carré Amour, Dolfin",5413415912991,,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,537,,2247 kj(537 kcal),,35,,21,,46,,42,,7,,"0,09",,"0,036",,,,,,,,,,,,,,,,,
1645,Chocolat - Thalys,5413415913547,,,['Thalys'],,,,,,,['France'],"['pâte de cacao', 'sucre', 'beurre de cacao', 'poudre de lait entier', 'Doudre de cacao dégraissée', 'nougatine ', 'sucre nolsettos', 'dulce de leche ', 'lactosérum', 'beurre maltodextrine', 'sucre', 'lait écrémé', ' arôme naturel', 'riz soufflé ', 'farine de riz sucre', 'gluton do blé', 'huile de palme', 'malt de blé', 'sel', 'caramel au beurre salé ', 'sucre glucose', 'lait concentré', 'beurre', 'sel de Guérande', 'émulsifianf : lécithine de soja', 'naturel de vanille', ""arôme naturel de caramel naturel d'orange"", ' Teneur minimum en cacao : Chocolat au lait 38 chocolat noir : 60 % et 70 %']",['E322i - Lécithine'],['Lait'],"['Huile de palme', 'Non végétalien']",4,,,,,,,,,?,,540,,2259 kj(540 kcal),,35,,21,,46,,42,,7,,"0,1",,"0,04",,,,,,,,,,,,,,,['Huile de palme'],,
1646,Epicerie / Epicerie Sucrée / Chocolat Bio - Gourmet Spiruline,5413415913776,,,['Gourmet Spiruline'],,['Bio'],,,,,['France'],"['DE DE DE FLEUR DE SEL EN ', '430', ' FLEUR DE SEL ', '02%', '74%', 'SPIRULINA ', '4%', ' wi SPOREU tiŒLK', ""SUGAR' FLEUR DE SEL "", '0,2K', ""SOUDS• KAKAO'/ASSE*"", 'ROHRZUŒEV', 'FLEUR DE SEL ', '0,270', 'PEUT DES DE LAIT', 'DE DE À COQUE', 'ET DE KAN vx', 'q son', 'EN GLUTEN BEVATTEN', ' AIIERGENS: OF sot TREE RUTS', 'EGGS SPIJREN VON SOJA,']",,"['Œufs', 'Gluten', 'Lait', 'Soja']","['Non végétalien', 'Non végétarien']",,,,,,,,,,?,,548,,2293 kj(548 kcal),,43,,26,,32,,26,,8,,"0,2",,"0,08",,,,,,,,,,,,,,,,,
1647,"Zartbitterschokolade Mit Karamell Und Miroirsalz, Noir éclats De Caramel Et Sel Miroir, Dolfin",5413415913851,,,['Dolfin'],,['Fabriqué en Belgique'],,,,,['France'],[],,,[],,,,,,,,,,?,,157,,657 kj(157 kcal),,33,,20,,45,,35,,7,,"0,2",,"0,08",,,,,,,,,,,,,,,,,
1648,Chocolat au Lait Nougat et Miel & Diamant de Sel du Cachemire - Dolfin - 30g,5413415913905,30 g,['Papier'],['Dolfin'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait', 'Chocolats au lait extra fin']","['Point Vert', 'Fabriqué en Belgique', 'Emballage neutre en CO2']",['Cachemire'],['Belgique'],,,['France'],"['Sucre', 'pâte de cacao', 'beurre de cacao', 'poudre de lait entier', 'nougat 4% ', 'sucre', 'amandes', 'sirop de glucose', 'miel', ""blanc d'œuf"", 'vanille', 'émulsifiant : lécithine de soja', 'diamant de sel du Cachemire 0', '1%', 'arôme naturel de miel', 'arôme naturel de vanille']",['E322i - Lécithine'],"['Œufs', 'Lait', 'Fruits à coque', 'Soja']",['Non végétalien'],4,33 g,en quantité élevée,20 g,en quantité élevée,50 g,en quantité élevée,0.3 g,en quantité modérée,2105,-8%,?,,2105 kj(503 kcal),-8%,33,-2%,20,0%,53,-1%,50,-4%,7,+4%,"0,3",+38%,"0,12",+38%,24,-8%,E,-8%,E,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,,,http://www.dolfin.be/fr/chocolat-au-lait-30g-nougat-et-miel-diamant-de-sel-du-cachemire.html,
1649,Chocolat en poudre aromatisé amande - Dolfin,5413415914131,,['Barquette'],['Dolfin'],"['Boissons', 'Petit-déjeuners', 'Cacao et dérivés', 'Cacaos et chocolats en poudre', 'Boissons instantanées', 'Chocolats en poudre']",['en:gluten-free'],,,,,['France'],"['I\\CRÉDIENIS : sv', 'tc', '0', '00 crcma raelk']",,,[],,,,,,,,,,?,,390,+17%,1632 kj(390 kcal),+14%,"8,5",+98%,"4,5",+76%,64,+1%,61,+8%,8,+26%,"0,2",-4%,"0,08",-4%,,,,,D,75.0%,1.1%,15.1%,5.7%,3.2%,0.0%,52,,,,
1650,Boisson au chocolat blanc - Dolfin,5413415914155,,,['Dolfin'],,,,,,,['France'],"['Chocolat blanc 55% ', 'sucre', 'beurre de cacao', 'lait entier en poudre', 'lait écrémé en poudre', 'sucre', 'lait écrémé en poudre', 'arôme', 'colorants : bétacarotène', 'vitamine B2']",['E101 - Riboflavine'],,"[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",4,,,,,,,,,?,,459,,1920 kj(459 kcal),,15,,"9,5",,68,,68,,12,,"0,425",,"0,17",,,,,,,,,,,,,,,,,
1651,Saucisson de Paris,5413422101913,,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,240,,1004 kj(240 kcal),,20,,7,,0,,0,,16,,2,,"0,8",,,,,,,,,,,,,,,,,
1652,Roulade à l'ail - Sans marque - 150g,5413422103689,150 g,"['Barquette', 'Papier']","['Sans marque', 'Le Nourrain']","['Viandes', 'Charcuteries']",,,,['BE B483 EC-EG'],,['France'],"['Viande de porc ', '77 %', 'eau', 'sel', 'farine de BLÉ', 'protéines de LAIT', 'épices et plantes aromatiques', 'dextrose', 'ail ', '0,2 %', 'arômes', 'stabilisateurs ', 'E450', 'E451', 'E407', 'exhausteur de goût ', 'E621', 'antioxydant ', 'E301', 'colorant ', 'E120', 'conservateur ', 'E250']","['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium', 'E120 - Acide carminique', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Gluten', 'Lait']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,20 g,en quantité modérée,7.2 g,en quantité élevée,1 g,en faible quantité,2.3 g,en quantité élevée,987,+2%,?,,987 kj(236 kcal),-9%,20,+4%,"7,2",-1%,2,+36%,1,+26%,13,-30%,"2,3",-3%,"0,92",-3%,19,+19%,E,+19%,,,,,,,,,,,,
1653,5413428013500,5413428013500,,,,,,,,['BE VE 6016 EC'],,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,
1654,Râble de saumon Atlantique fumé Lax Rygg - Sodial - 200g,5413428049509,200 g,"['Barquette', 'Plastique', 'Carton']","['Sodial', 'Ikea']","['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']","['Sans colorants', 'Sans conservateurs']",['Norvège'],['Belgique'],['BE VE 6016 EC'],['Ikéa'],['France'],"['Saumon atlantique ', 'Salmo Salar', ' 96,7%', 'sel ', '3%', 'sucre ', '0,3%']",,,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,14.9 g,en quantité modérée,2.8 g,en quantité modérée,0.5 g,en faible quantité,3.05 g,en quantité élevée,947,+23%,?,,947 kj(226 kcal),+23%,"14,9",+42%,"2,8",+36%,"0,5",+1%,"0,5",+50%,"22,8",+3%,"3,048",+8%,"1,219",+8%,14,+7%,D,+7%,D,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,,
1655,Pavé De Saumon Atlantique Asc Fumé à Chaud - Atelier Du Saumon,5413428402007,,,['Atelier Du Saumon'],"['Produits de la mer', 'Poissons', 'Saumons', 'Pavés de saumon']",,,,,,['France'],[],,,[],,,,2.8 g,en quantité modérée,0.5 g,en faible quantité,1.2 g,en quantité modérée,?,,227,+19%,950 kj(227 kcal),+20%,?,,"2,8",+38%,?,,"0,5",+179%,"22,8",+13%,"1,2",+231%,"0,48",+231%,,,,,E,96.3%,0.0%,1.4%,1.4%,0.7%,0.2%,24,,,,
1656,Lardons de saumon fumé élevé en Norvège,5413428501007,,,,"['Produits de la mer', 'Poissons', 'Poissons fumés', 'Lardons de saumon']",,,,,,['France'],[],,,[],,15 g,en quantité modérée,3 g,en quantité modérée,0 g,en faible quantité,1 g,en quantité modérée,?,,231,+12%,967 kj(231 kcal),+13%,15,+18%,3,+43%,0,-100%,0,-100%,23,+9%,1,-66%,"0,4",-66%,3,-77%,C,-77%,,,,,,,,,,,,
1657,Yaourt aux abricots - Bioferme - 150g,5413444200205,150 g,['Verre'],['Bioferme'],,"['Bio', 'Bio européen', 'Agriculture non UE', 'BE-BIO-01', 'Bio-dynamie', 'Agriculture UE', 'Agriculture UE/Non UE', 'Sans conservateurs', 'Nature et Progrès', 'Certisys Be bio']",,['Belgique'],,['Spar'],"['Belgique', 'France']","['Lait entier de vache à 3% matière grasse', 'preparation de abricot* ', 'abricot pulpe 7,5%', 'sucre de canne', 'pectine,jus oumcentré de citron*', 'poudre de LAlT écrémé*', 'ferments du yaurt LAIT']",['E440 - Pectines'],['Lait'],[],4,,,,,,,,,?,,93,,389 kj(93 kcal),,3,,"1,7",,13,,13,,"3,4",,"0,13",,"0,052",,,,,,,,,,,,,,,,,
1658,Filets de poulet tranché au paprika,5413458001119,,,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,['France'],[],,,[],,2 g,en faible quantité,0.6 g,en faible quantité,0.5 g,en faible quantité,0.65 g,en quantité modérée,?,,110,-16%,460 kj(110 kcal),-15%,2,-31%,"0,6",-20%,"0,5",+4%,"0,5",+106%,23,+1%,"0,65",-13%,"0,26",-13%,-2,,A,,D,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,
1659,Médaillon de filet de poulet - Plukon,5413458065104,,,['Plukon'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,['France'],['100% poulet'],,,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",1,2.4 g,en faible quantité,0.9 g,en faible quantité,0.5 g,en faible quantité,0.2 g,en faible quantité,?,,110,-16%,460 kj(110 kcal),-15%,"2,4",-17%,"0,9",+21%,"0,5",+4%,"0,5",+106%,22,-4%,"0,2",-73%,"0,08",-73%,-4,,A,,D,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,
1660,Délices de Poulet Viande de HMédaillons de Cuisse de Poulet,5413458066873,,,,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",,,,,,['France'],[],,,[],,6.1 g,en quantité modérée,2.1 g,en quantité modérée,0.2 g,en faible quantité,0.2 g,en faible quantité,?,,131,-31%,548 kj(131 kcal),-32%,"6,1",-51%,"2,1",-37%,"0,5",+57%,"0,2",+29%,19,+3%,"0,2",-74%,"0,08",-74%,-2,-157%,A,-157%,D,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,
1661,Riz a la creme,5413471005552,,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,139,,582 kj(139 kcal),,"2,7",,"1,6",,25,,15,,"3,2",,"0,08",,"0,032",,,,,,,,,,,,,,,,,
1662,Baguette Pérènes Campagne - Les mousquetaires,5413476928474,,,"['Les mousquetaires', 'Les Pains Pérènes']",,,,,,,['France'],"['Farine Label Rouge 61%1} levain : eau', 'farine de BLÉ ferments ', ' eau ', ' sel ', ' levure ', ' farine de BLÉ malté']",,['Gluten'],[],,,,,,,,,,?,,252,,1054 kj(252 kcal),,1,,"0,2",,52,,"0,9",,"7,4",,"1,21",,"0,484",,,,,,,,,,,,,,,,,
1663,Baguette multicéréales - Les Pains Pérènes,5413476928481,,,['Les Pains Pérènes'],,,,,,,['France'],"['Farines ', 'Label Rouge BLÉ CRC@ ', '53,5%', ' ', ' SEIGLE ', ' AVOINE ', ' ORGE maltée ', ' BLÉ malté ', ' BLÉ torréfie', ' ', ' levain ', 'eau ', ' farine BLÉ ', ' sel ', ' ferments', ' ', ' eau ', "" flocons d'AVOlNE "", ' graines de tournesol ', ' graines de lin brun ', ' graines de lin jaune ', ' sel ', ' graines de SÉSAME ', ' GLUTEN DE BLÉ ', ' levure']",,"['Gluten', 'Avoine', 'Graines de sésame']",[],4,,,,,,,,,?,,276,,1155 kj(276 kcal),,"3,3",,"0,4",,52,,"1,1",,"8,5",,"1,2",,"0,48",,,,,,,,,,,,,,,,,
1664,Pain pastourin,5413476947871,,,,,['Point Vert'],,,,,['France'],[],,,[],,,,,,,,,,?,,243,,1017 kj(243 kcal),,"0,9",,"0,1",,48,,"1,2",,"8,5",,"1,1",,"0,44",,,,,,,,,,,,,,,,,
1665,The original muffins,5413476974655,,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,429,,1795 kj(429 kcal),,22,,"4,8",,50,,25,,"5,5",,"0,85",,"0,34",,,,,,,,,,,,,,,,,
1666,Dont chips chups - Vandemoortele - 216g (4 * 54g),5413476980236,216 g (4 * 54 g),"['Plastique', 'Frais', 'décongelé']",['Vandemoortele'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Donuts', 'Produits sous license']",['Décongelé'],,,,,['France'],[],,,[],,26 g,en quantité élevée,14 g,en quantité élevée,17 g,en quantité élevée,1 g,en quantité modérée,?,,433,+14%,1812 kj(433 kcal),+15%,26,+93%,14,+96%,41,-24%,17,-52%,"6,7",+54%,1,+333%,"0,4",+333%,22,+45%,E,+45%,B,65.3%,17.3%,8.4%,4.6%,4.4%,0.0%,87,Donuts Chupa Chups saveur Fraise,,,
1667,Filled donut chupa chups cola flavour - Vandemoortele - 2 * 68g,5413476980243,2 * 68 g,"['boîte', 'Plastique', 'décongelé']",['Vandemoortele'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Donuts', 'Produits sous license']",,,,,['Cora'],['France'],[],,,[],,21 g,en quantité élevée,11 g,en quantité élevée,24 g,en quantité élevée,0.8 g,en quantité modérée,?,,382,+0%,1598 kj(382 kcal),+2%,21,+56%,11,+54%,43,-21%,24,-33%,"5,2",+20%,"0,8",+246%,"0,32",+246%,21,+38%,E,+38%,B,65.3%,17.3%,8.4%,4.6%,4.4%,0.0%,87,"Pâte levée frite, donut fourré avec un fourrage saveur cola (22%), couvert d'un nappage blanc (10%) et décoré avec des éclats de bonbon saveur cola (5,5%), décongelé, prêt à consommer",,,
1668,REBELS,5413495103869,,,,,['en:gluten-free'],,,,,['France'],[],,,[],,,,,,,,,,?,,312,,1305 kj(312 kcal),,20,,"11,7",,"33,2",,"32,9",,"3,8",,100,,40,,,,,,,,,,,,,,,,,
1669,Big bagra strawberry's,5413495104576,,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,202,,845 kj(202 kcal),,"7,8",,"4,8",,"33,3",,"29,6",,2,,"0,4",,"0,16",,,,,,,,,,,,,,,,,
1670,Big Bagra Brownie's,5413495104583,,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,224,,937 kj(224 kcal),,"10,9",,"0,7",,"29,1",,"9,7",,"2,4",,"0,012",,"0,005",,,,,,,,,,,,,,,,,
1671,5413508003025,5413508003025,,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,
1672,Haricots Verts Très Fin 1Er Px -,5413508004213,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Surgelés', 'Légumes et dérivés', 'Aliments à base de plantes surgelés', 'Légumineuses surgelées', 'Légumes surgelés', 'Haricots verts', 'Haricots verts surgelés']",,,,,,['France'],[],,,[],,0.1 g,en faible quantité,0.1 g,en faible quantité,1 g,en faible quantité,0.03 g,en faible quantité,?,,33,-6%,138 kj(33 kcal),-3%,"0,1",-66%,"0,1",+84%,"3,7",-14%,1,-35%,2,+4%,"0,03",+44%,"0,012",+44%,-6,,A,,B,71.3%,0.0%,0.0%,9.8%,14.0%,4.9%,95,,,,
1673,Suppengemüse,5413508020411,,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,113,,473 kj(113 kcal),,0,,0,,"3,9",,"2,7",,"1,3",,"0,1",,"0,04",,,,,,,,,,,,,,,,,
1674,Fromage frais au lait de vache fines herbes - fromagerie vasedel - 250  g,5413518000977,250  g,,['fromagerie vasedel'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à la crème']",,,,,,"['Belgique', 'France']",[],,,[],,10.5 g,en quantité modérée,7.9 g,en quantité élevée,2.5 g,en faible quantité,0.37 g,en quantité modérée,?,,138,-7%,577 kj(138 kcal),-8%,"10,5",-1%,"7,9",+14%,"4,3",-21%,"2,5",-48%,"6,6",-2%,"0,37",+11%,"0,148",+11%,5,+22%,C,+22%,D,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,
1675,Terrine de foie volaille halal,5413546137812,,,,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de foie', 'Terrines de foie de volaille']",['Halal'],,,,,['France'],[],,,[],,25.9 g,en quantité élevée,10.8 g,en quantité élevée,1.1 g,en faible quantité,1.5 g,en quantité modérée,?,,296,-2%,1238 kj(296 kcal),-3%,"25,9",-4%,"10,8",+4%,"3,2",+115%,"1,1",+99%,"12,5",-9%,"1,5",0%,"0,6",0%,19,+4%,E,+4%,,,,,,,,,,,,
1676,Lokum,5413547002164,,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,350,,1464 kj(350 kcal),,"0,7",,"0,2",,"85,7",,"85,7",,"0,2",,,,,,,,,,,,,,,,,,,,,
1677,Kinder surprise,5413548017921,,,['Kinder'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Moulages en chocolat', 'Aliments de Pâques', 'Œufs de Pâques', 'Œufs en chocolat creux']",,,,,,['France'],[],,,[],,33.7 g,en quantité élevée,22.2 g,en quantité élevée,53.1 g,en quantité élevée,0.12 g,en faible quantité,?,,554,0%,2318 kj(554 kcal),+0%,"33,7",-1%,"22,2",+2%,"53,3",-1%,"53,1",+0%,"8,8",+24%,"0,12",-49%,"0,048",-49%,26,-2%,E,-2%,,,,,,,,,,,,
1678,Schoko-Bons - Kinder - 350g,5413548021065,350g,,['Kinder'],,,,,,,['France'],[],,,[],,,,,,,,,,?,,576,,2410 kj(576 kcal),,"36,6",,"21,2",,"52,5",,"52,2",,"8,3",,"0,3",,"0,12",,,,,,,,,,,,,,,,,
