,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,packaging,eco_score,generic_name,quantity,categories,labels,ingredients_origins,manufacturing,link,markets,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand_owner,origin_detail,producer_info,traceability_code,additives,palm_ingredients
463,Salty soft corn,5400606979154,['France'],[],[],?,436,1824 kj(436 kcal),"13,3","1,3",66,"0,7","7,4","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,Chocolat au lait,3760178254021,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,Mélange pour punch,3700873217891,['France'],[],[],?,40,167 kj(40 kcal),7,6,80,66,1,"0,175","0,07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,Petit pain grillés au froment,8530700582695,['France'],[],[],?,411,1720 kj(411 kcal),"8,1","0,7",73,"8,5","9,8","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467,Paté de canard,3489660013327,['France'],[],[],?,304,1272 kj(304 kcal),"27,4","10,1","2,05","0,11","13,4","1,54","0,616",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,Borovnica Blueberry,3830054840768,['France'],[],[],?,35,146 kj(35 kcal),0,0,"8,7","8,6",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,Asiago dop stagionato,8003518104514,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,Emotion gusto mediterraneo,8002183015828,['France'],[],[],?,522,2184 kj(522 kcal),31,"3,2",51,1,"6,9","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,Muesli croustillant bio,24000271171,['France'],[],[],?,444,1858 kj(444 kcal),"5,6","2,7",68,19,"8,4","0,43","0,172",,['Etui en carton'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472,oursons guimauve,3173289213847,['France'],[],[],?,394,1648 kj(394 kcal),"9,4","5,8",73,58,"4,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473,Bio pera,8001440129070,['France'],[],[],?,60,251 kj(60 kcal),0,0,"14,8","14,1","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
474,O maté,3770020051081,['France'],[],[],?,1,4 kj(1 kcal),"0,1","0,1","0,1","0,1","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,Thé vert à la menthe,2708150001806,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
476,3297570022998,3297570022998,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477,Riso alla cantonese,8437014340402,['France'],[],[],?,200,837 kj(200 kcal),7,"1,3",27,"0,5",5,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478,Bigarreaux confits rouge,3612646582016,['France'],[],[],?,270,1130 kj(270 kcal),"0,5","0,3",68,56,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,suisse longue chocolat,0207536018374,['France'],[],[],?,325,1360 kj(325 kcal),15,"9,8",41,15,5,"0,85","0,34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480,Biscuits Sablés Saveurs de l’Apéro Sel Fumé,3770009162234,['France'],[],[],?,484,2025 kj(484 kcal),"33,6",21,40,"4,7","5,2","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481,petit pain au lardon,0209313010502,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482,Vache à boire - Michel et Augustin - 500ml,05128594,['France'],"['DES ET DE QUALITE', ""C'EST TOUT! La vamille Bourbon de Madagascar ? Un narfum floral delicat et des notes chaudes de cacao qu font fondre les trublians "", ' Les ingrédients de votre vacheà boire sont duyaourtau laitentier ', 'laitentier ORIGINE français', 'protéines de lait', 'ferments lactiques', 'uhE petite cuillère de sucre 7%', 'une infusion de vanille DAG ADA ACASO de Madaqascar', ""une larme de Sirop d'érable o,5%"", 'une pincee dalmidon', 'une goutte de jus de citron concentc une pluie de graines de vanille', "" Et c'est tout! s calories? Gigotez 3 fois par jour"", ' Pou 00 g:Energle Energy: Energiewert = 346kl - Vetstoffen= 3,1g']",[],?,?,,?,,?,,?,,,['Michel et Augustin'],['Bouteille'],E,,500ml,"['Boissons', 'Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Boissons lactées', 'Boissons fermentées', 'Boissons lactées fermentées', 'Yaourts', 'Yaourts à boire']",,,,,,['Lait'],,,,,,,,,,,,,,,,,,,,,,,,67.5%,13.2%,8.7%,6.1%,3.6%,1.0%,32,,,,,,
483,Bouchées aux écrevisses  sauce homardine,550000020289027,['France'],[],[],?,290,1213 kj(290 kcal),"18,3","12,2","24,7",2,"5,8","0,79","0,316",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
484,Farine de maïs,0645038625162,['France'],[],[],?,365,1527 kj(365 kcal),"4,7",0,74,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
485,Maiz Pozolero Carey,7503006910739,['France'],[],[],?,160,669 kj(160 kcal),"0,9","0,1","33,9",0,"4,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486,Tetines,5430000111089,['France'],[],[],?,313,1310 kj(313 kcal),0,0,72,57,"6,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
487,Plum cake allo yogurt,8002548001138,['France'],[],[],?,401,1678 kj(401 kcal),18,"3,2",53,31,"6,2","0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488,Vanilla rice pudding,0810041030634,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489,Ricota d'El passini,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490,Pains graines de sésame,3700411904283,['France'],[],[],?,278,1163 kj(278 kcal),5,"0,9",48,"5,6","9,1","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491,Saucisson sec enrobé herbes,3443024161871,['France'],[],[],?,389,1628 kj(389 kcal),29,12,1,"0,5",31,"4,5","1,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 69.095.004 CE', 'Grézieu-le-Marché (Rhône, France)']",,
492,Caramelle morettina,8002415731007,['France'],[],[],?,345,1443 kj(345 kcal),"0,2",0,"84,9","43,1","0,9","0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493,Gouda holland igp cumin,0202474018042,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
