,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,brand,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,quantity,packaging,labels,manufacturing,markets,allergens,nova_score,additives,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,ingredients_origins,generic_name,link,palm_ingredients,producer_info
1207,Lutenica Gold,5310038003085,['France'],[],[],?,136,569 kj(136 kcal),8,"0,71","11,71","3,05","3,37","1,34","0,536",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1208,Monument délicat common,5310041000521,['France'],[],[],?,365,1527 kj(365 kcal),0,0,89,72,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1209,Mini hélix,5310079003525,['France'],[],[],?,144,602 kj(144 kcal),2,"1,4","30,9","30,7","0,5","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210,Crunchy Muesli,5310099000979,['France'],[],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,411,1720 kj(411 kcal),11,"0,7",66,16,"7,5","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Végétarien', 'Végétalien', 'en:palm-oil-free']",,,,,,,,,,,,,,,,,,
1211,Multigrain Flakes with 30% fruits,5310099007398,['France'],[],[],?,370,1548 kj(370 kcal),"4,9","1,3","74,6",26,"6,8","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1212,Granola muesli Honey & Almond,5310099007527,['France'],[],[],?,402,1682 kj(402 kcal),12,"3,2",60,15,"10,2","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1213,Crunchy muesli,5310099008296,['France'],[],[],?,430,1799 kj(430 kcal),"15,5","2,5","62,8","19,6","6,6","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1214,Stracciatella cake,5310115005032,['France'],[],[],?,486,2033 kj(486 kcal),"26,8",12,"49,3","22,9","11,3","0,31","0,124",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215,Premier - Vincinni,5310115008057,['France'],[],[],?,542,2268 kj(542 kcal),31,"14,2",61,42,4,"0,06","0,024",,['Vincinni'],,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,
1216,Gjuveč - Vipro - 700g,5310149003394,['France'],"['Poivrons ', '26 %', 'tomates ', '23 %', 'aubergines ', '12 %', 'oignon', 'carottes', 'pâte de tomate', 'huile de tournesol', 'sel', 'épices']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,51,213 kj(51 kcal),"1,5","0,1","3,2","1,9","2,2","1,7","0,68",,['Vipro'],"['Conserves', 'Plats préparés', 'Légumes préparés', 'Plats préparés en conserve']",,-52%,-52%,-68%,-93%,-59%,+20%,-64%,+89%,+89%,4,+254%,C,+254%,,,,,,,,,700 g,"['Bocal', 'Verre']",['Sans conservateurs'],['Macédoine'],,,3,,1.5 g,en faible quantité,0.1 g,en faible quantité,1.9 g,en faible quantité,1.7 g,en quantité élevée,,,,,
