,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,brand,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,quantity,packaging,labels,manufacturing,markets,allergens,nova_score,additives,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,ingredients_origins,generic_name,link,palm_ingredients,producer_info
1942,Taboulé - Winny - 740g (560g + 180g),5400247032317,['France'],"['GARNITURE 560 g [Tomates fraîches ', '51 %', 'eau', 'oignons frais', ""huile d'olive"", 'huile de colza', 'sel', 'jus concentré de citron', 'persil', 'concentré de tomate', 'menthe', 'épaississants : farine de graines de caroube et gomme guar', 'arômes]', '\rSEMOULE DE BLÉ DUR PRÉCUITE À LA VAPEUR 180 g']",[],?,?,,?,,?,,?,,,B,"['Winny', 'Bloc cvba', 'Groupe Louis Delhaize']","['Conserves', 'Plats préparés', 'Plats préparés en conserve', 'Taboulés']",,,,,,,,,,,,,,,63.1%,7.6%,11.4%,10.7%,5.7%,1.6%,94,"['EMB 02617', 'Pouilly-sur-Serre (Aisne, France)']",740 g (560 g + 180 g),"['Boîte', 'Conserve', 'Métal', 'Coupelle', 'Couvercle', 'Plastique']","['Point Vert', 'Eco-Emballages']","['William Saurin (WS) - 26 Rue de Crécy - D35 - 02270 Pouilly-sur-Serre', 'Aisne', 'Picardie', 'France']",['Cora'],['Gluten'],4,"['E410 - Gomme de caroube', 'E412 - Gomme de guar']",,,,,,,,,,Taboulé,,,
1943,"Paella Volaille et Fruits de Mer - Winny - 1000g (800g de garniture, 200g de riz, 1sachet d'épices)",5400247032324,['France'],"['GARNITURE 800 g [Sauce {eau - concentré de tomates - sel - sucre - arômes ', 'contient crustacés', 'poisson', 'lait', ' - épaississants : E412', ""E410 - exhausteur de goût : E621} - Morceaux d'ailes de poulet non désossés 20 % - Légumes 17 % "", 'carottes - petits pois - poivrons', ' - Fruits de mer 8 % ', 'moules et/ou moules du Pacifique - anneaux de calamars', ']', ' \rRIZ 200 g', ' \rÉPICES']","['Non végétalien', 'Non végétarien']",580,140,580 kj(140 kcal),3,"0,5",20,1,7,"0,9","0,36",C,['Winny'],"['Conserves', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à base de riz', 'Plats à la volaille', 'Plats préparés en conserve', 'Plats au poulet', 'Paëllas']",-2%,-1%,-1%,-36%,-53%,+23%,-12%,-3%,-2%,-2%,-1,-209%,A,-209%,74.9%,10.9%,3.7%,6.9%,2.1%,1.5%,60,"['FR 44.190.005 CE', 'Saint-Sébastien-sur-Loire (Loire-Atlantique, France)', 'EMB 44190F', 'Saint-Sébastien-sur-Loire (Loire-Atlantique, France)']","1000 g (800 g de garniture, 200 g de riz, 1 sachet d'épices)","['Sachet - boîte et opercule plastique à jeter', 'Boîte métal à recycler', 'Conserve']","['Triman', 'Info-Tri Point Vert']","['Covi (Groupe Covi) - 341 Route de Clisson - 44230 Saint-Sébastien-sur-Loire', 'Loire-Atlantique', 'Pays de la Loire', 'France']",['Cora'],"['Crustacés', 'Poisson', 'Lait', 'Mollusques', 'Moules du Pacifique', 'Moules du Pacifique']",4,"['E412 - Gomme de guar', 'E410 - Gomme de caroube', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition']",3 g,en quantité modérée,0.5 g,en faible quantité,1 g,en faible quantité,0.9 g,en quantité modérée,,Paella volaille et fruits de mer,,,
1944,Assortiment de charcuterie Alsacienne - Winny - 250g,5400247032331,['France'],"['Maigre de porc dont jambon ', '38 %', 'gras de porc', 'viande de volaille séparée mécaniquement', 'glace', 'couenne', 'sirop de glucose', 'lactose', ""épices et extraits d'épices naturelles "", 'graine de moutarde moulue', 'céleri', 'protéines de lait', 'émulsifiants : diphosphates', 'triphosphates', 'plasma de porc', ""blanc d'œuf en poudre"", 'pistaches ', '0,5 %', 'sel', 'conservateur : nitrite de sodium ', ' lactosérum', 'antioxygènes : acide ascorbique', 'ascorbate de sodium']","['Non végétalien', 'Non végétarien']",?,?,,?,,?,,?,,,,"['Winny', 'Bloc cvba', 'Groupe Louis Delhaize']","['Viandes', 'Charcuteries', 'Frais', 'Assortiments de charcuterie']",,,,,,,,,,,,,,,,,,,,,,"['FR 67.008.002 CE', 'Altorf (Bas-Rhin, France)']",250 g,"['Frais', 'Barquette', 'Plastique', 'Opercule', 'Film plastique', 'Sous atmosphère protectrice']","['Point Vert', 'Eco-Emballages']","['Société André Bazin - Route de Dachstein - 67120 Altorf', 'Bas-Rhin', 'Alsace', 'France']",['Cora'],"['Céleri', 'Lait', 'Moutarde', 'Fruits à coque']",4,"['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E300 - Acide ascorbique', 'E301 - Ascorbate de sodium']",,,,,,,,,,Assortiment de charcuterie,,,
1945,Assortiment de bonbons - Winny - 475g,5400247032348,['France'],"['Sirop de glucose', 'sucre', 'lait concentré écrémé', 'matière grasse végétale hydrogénée', 'acidifiants: acide lactique - acide citrique', 'gélatine', 'sel', 'arômes', 'colorants : E100', 'E120', 'E131', 'extrait de paprika', 'émulsifiant : lécithine de soja']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,?,,?,,?,,?,,,E,['Winny'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",,,,,,,,,,,,,,,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,"['EMB 89345', 'Saint-Florentin (Yonne, France)']",475 g,"['Sachet', 'Plastique']",,,['Cora'],,4,"['E270 - Acide lactique', 'E330 - Acide citrique', 'E428 - Gélatine', 'E100 - Curcumine', 'E120 - Acide carminique', 'E131 - Bleu patenté V', '', 'Risque modéré de sur-exposition', 'E160c - Extrait de paprika', 'E322i - Lécithine']",,,,,,,,,,,,,
1946,Bonbons durs au goût menthol eucalyptus - Winny - 250g,5400247032355,['France'],"['Sirop de glucose', 'sucre', 'dextrose', 'arôme naturel et arôme naturel de menthe']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",1680,?,1680 kj(402 kcal),"< 0,2","< 0,1","98,8",69,"0,2","< 0,1","0,04",E,['Winny'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",+8%,,+12%,-89%,-91%,+19%,+19%,-91%,-17%,-17%,15,+4%,D,+4%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,250 g,"['Sachet', 'Plastique', 'Papier']",,,['Cora'],,4,,0.2 g,en faible quantité,0.1 g,en faible quantité,69 g,en quantité élevée,0.1 g,en faible quantité,,,,,
1947,Bonbons tendres - Winny - 700g,5400247032362,['France'],"['Sirop de glucose', 'sucre', 'graisse végétale totalement hydrogénée ', 'coprah', 'gélatine ', 'porc', 'acidifiant : acide citrique', 'arômes', ""émulsifiants : mono- et diglycérides d'acides gras"", 'lécithine de colza']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",?,395,1653 kj(395 kcal),"6,8","6,7",81,"56,5","1,8","0,005","0,002",E,['Winny'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",,+11%,+10%,+266%,+532%,-3%,-3%,-15%,-96%,-96%,20,+39%,E,+39%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,700 g,"['Sachet', 'Plastique']",,,['Cora'],,4,"['E428 - Gélatine', 'E330 - Acide citrique', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E322i - Lécithine']",6.8 g,en quantité modérée,6.7 g,en quantité élevée,56.5 g,en quantité élevée,0.005 g,en faible quantité,,,,,
1948,Glace parfum vanille - Winny - 1kg,5400247032393,['France'],"['Lait écrémé et composants du lait réhydraté', 'sirop de sucre inverti', 'matière grasse végétale', 'émulsifiant : E471', 'stabilisants : E412 - E410', 'arôme', 'colorant : bêta-carotène']","[""Pourrait contenir de l'huile de palme""]",753,?,753 kj(180 kcal),9,,"19,7",,"2,1",,,B,['Winny'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces']",-23%,,-23%,-23%,,-29%,,-34%,,,,,,,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,1 kg,"['Bac', 'Plastique', 'Surgelé']",,,['Cora'],['Lait'],4,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E412 - Gomme de guar', 'E410 - Gomme de caroube', 'E160ai - Bêta-carotène']",9 g,en quantité modérée,,,,,,,,,,,
1949,Glace parfum chocolat et pistache - Winny - 6 * 120ml (416g),5400247032447,['France'],"['sucre', 'lactose et protéines de lait', 'lait écrémé', 'eau', 'matière grasse de coprah', 'farine de blé', 'sirop de glucose-fructose', 'poudre de cacao maigre', 'émulsifiants ', 'lécithine de soja', 'E471', 'arôme naturel de pistache', 'concentré ', 'carthame', 'noisettes 0,1%', 'stabilisants ', 'E410', 'E412', 'arôme', 'colorant ', 'E133']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",1152,?,1152 kj(275 kcal),"12,5","10,8","36,7","27,6","3,4","0,15","0,06",B,['Winny'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Cônes glacés', 'Cônes chocolat pistache']",+2%,,-2%,-5%,+7%,+1%,+5%,+3%,+15%,+15%,19,+13%,E,+13%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,6 * 120 ml (416 g),"['Carton', 'surgelé', 'Papier']",,,,"['Gluten', 'Lait', 'Fruits à coque', 'Soja']",4,"['E322i - Lécithine', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E410 - Gomme de caroube', 'E412 - Gomme de guar', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition']",12.5 g,en quantité modérée,10.8 g,en quantité élevée,27.6 g,en quantité élevée,0.15 g,en faible quantité,,,,,
1950,Pistaches grillées salées - Winny - 250g,5400247032492,['France'],"['Pistaches 98%', 'sel']","['Sans huile de palme', 'Végétalien', 'Végétarien']",2650,?,2650 kj(633 kcal),"53,9","10,3","16,2","6,1","20,4","1,6","0,64",D,['Winny'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Snacks salés', 'Fruits à coques et dérivés', 'Fruits à coques', 'Pistaches', 'Pistaches grillées', 'Fruits à coque salés', 'Pistaches salées']",+5%,,+5%,+9%,+48%,+17%,-11%,-11%,+20%,+20%,11,+81%,D,+81%,80.2%,0.0%,5.4%,8.3%,3.7%,2.3%,40,,250 g,"['Sachet', 'Plastique']",,,['Cora'],['Fruits à coque'],3,,53.9 g,en quantité élevée,10.3 g,en quantité élevée,6.1 g,en quantité modérée,1.6 g,en quantité élevée,,,,,
1951,Bloc de foie gras de canard - Winny - 150g,5400247032515,['France'],"['Foie gras de canard', 'eau', 'Armagnac', 'sel', 'poivre', 'sucre']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,?,,?,,?,,?,,,A,['Winny'],"['Conserves', 'Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Bloc de foie gras']",,,,,,,,,,,,,,,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,"['EMB 46259', 'Saint-Clair (Lot, France)']",150 g,['Conserve'],['Sans nitrite de sodium'],['France'],['Cora'],,3,,,,,,,,,,['France'],,,,
1952,Moutarde de Dijon - Winny - 350g,5400247032546,['France'],"['Eau', 'graines de moutarde', 'vinaigre', 'sel', 'conservateur: sulfite acide de sodium']","['Sans huile de palme', 'Végétalien', 'Végétarien']",677,?,677 kj(162 kcal),12,"0,9","3,5","2,7","7,9","5,7","2,28",B,['Winny'],"['Epicerie', 'Condiments', 'Sauces', 'Moutardes', 'Moutardes de Dijon']",+5%,,+2%,+4%,+18%,-4%,+20%,+10%,-4%,-4%,12,+11%,D,+11%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,350 g,"['Bocal', 'Verre']",,,['Cora'],"['Moutarde', 'Anhydride sulfureux et sulfites']",3,"['E222 - Bisulfite de sodium', '', 'Risque élevé de sur-exposition']",12 g,en quantité modérée,0.9 g,en faible quantité,2.7 g,en faible quantité,5.7 g,en quantité élevée,,,,,
1953,Pain grillé - Winny - 500g,5400247032676,['France'],"['Farine de blé 92%', 'sucre', 'levure', 'matière grasse végétale ', 'palme', 'sel', 'agent de traitement de la farine : acide ascorbique']","['Huile de palme', 'Végétalien', 'Végétarien']",1642,?,1642 kj(392 kcal),4,"1,5",75,"5,5",11,"1,53","0,612",B,['Winny'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains grillés']",+1%,,+0%,-46%,-4%,+14%,+1%,0%,+24%,+24%,12,+116%,D,+116%,64.1%,19.9%,9.0%,6.2%,0.8%,0.0%,91,,500 g,['Carton'],,,['Cora'],['Gluten'],3,['E300 - Acide ascorbique'],4 g,en quantité modérée,1.5 g,en quantité modérée,5.5 g,en quantité modérée,1.53 g,en quantité élevée,,,,,
1954,Gratin Dauphinois - Winny - 850g,5400247032683,['France'],"['Pommes de terre ', '55%', ' ', 'pommes de terre', 'antioxydant : E300', 'conservateur : disulfite de sodium', '\rSauce : eau', 'crème fraîche ', '12% de la sauce', 'amidon modifié de maïs', 'sel', 'protéines de lait,fromage fondu ', 'emmental ', '0,5% de la sauce', 'fromage', 'eau', 'beurre', 'poudre de lactosérum', 'sels de fonte : E331', 'sel', 'arôme naturel fromage', ' - ou - ', 'emmental ', '0,5% de la sauce', 'fromage', 'eau', 'sels de fonte : E331', 'aromate', 'arôme', 'épices']",['Non végétalien'],?,?,,?,,?,,?,,,B,['Winny'],"['Conserves', 'Plats préparés', 'Gratins', 'Gratins de pomme de terre', 'Plats préparés en conserve', 'Gratins dauphinois']",,,,,,,,,,,,,,,54.5%,21.7%,7.8%,8.5%,4.4%,3.1%,89,"['EMB 56251E', 'Theix (Morbihan, France)']",850 g,"['Conserve', 'Appertisé']",,,['Cora'],['Lait'],4,"['E300 - Acide ascorbique', 'E223 - Disulfite de sodium', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés', 'E331 - Citrates de sodium']",,,,,,,,,,,,,
1955,Saucisses aux lentilles - Winny - 840g,5400247032690,['France'],"['Sauce : eau', 'sel', 'concentré de tomates', 'amidon modifié de maïs', 'aromate', 'arômes', 'sucre', '\rLégumes : lentilles réhydratées ', '23%', 'carottes', 'oignons', '\rSaucisses fumées ', '17%', ' ', 'viande séparée mécaniquement et peaux de dinde', 'eau', 'gras et couenne de porc', 'amidon de pois', 'plasma de porc', 'protéines de blé', 'sel', 'viande de porc', 'arômes', 'stabilisant : E451', 'aromate', 'sirop de glucose', 'antioxygène : E300', 'conservateur : E250']","['Non végétalien', 'Non végétarien']",?,?,,?,,?,,?,,,C,['Winny'],"['Conserves', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats préparés en conserve', 'Plats à base de lentilles', 'Saucisses aux lentilles']",,,,,,,,,,,,,,,64.9%,20.7%,7.0%,3.9%,2.1%,1.5%,59,"['EMB 56251E', 'Theix (Morbihan, France)']",840 g,['Conserve'],,,['Cora'],,4,"['E14XX - Amidons modifiés', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E300 - Acide ascorbique', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,,,,,,,,,,,
1956,Choucroute garnie - Winny - 800g,5400247032706,['France'],"['Choucroute 50%', 'eau', 'saucisses et saucisson fumés 15% ', 'gras et couenne de porc', 'eau', 'viande séparée mécaniquement de dinde', 'viande séparée mécaniquement de porc', 'viande de porc', 'amidon de pois', 'protéines de blé', 'plasma de porc', 'sel', 'stabilisant : E451', 'arômes naturels', 'gélifiants : E407 - E412 - E415', 'sucre', 'aromate', 'sirop de glucose', 'colorant : extrait de paprika', 'antioxydant : E300', 'conservateur : E250', 'viande de porc traitée en salaison et précuite 6% ', 'viande de porc', 'eau', 'sel', 'stabilisant : E451', 'gélifiant : E407a', 'conservateur : E250', 'saindoux', 'vin blanc 0,4%', 'sel', 'antioxydant : E300', 'arôme', 'baies de genièvre', 'grains de poivre']","['Non végétalien', 'Non végétarien']",332,?,332 kj(79 kcal),"6,2","2,5","1,4","0,4","3,6","1,35","0,54",C,['Winny'],"['Conserves', 'Plats préparés', 'Choucroutes', 'Plats préparés en conserve', 'Choucroutes garnies']",-25%,,-29%,-27%,-22%,-36%,-31%,-34%,+2%,+2%,4,-29%,C,-29%,59.3%,25.1%,6.2%,5.0%,2.6%,1.9%,70,"['EMB 56251E', 'Theix (Morbihan, France)']",800 g,"['Conserve', 'Appertisé']",,,['Cora'],['Gluten'],4,"['E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E412 - Gomme de guar', 'E415 - Gomme xanthane', 'E160c - Extrait de paprika', 'E300 - Acide ascorbique', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E407a - Algues euchema transformées', '', 'Risque élevé de sur-exposition']",6.2 g,en quantité modérée,2.5 g,en quantité modérée,0.4 g,en faible quantité,1.35 g,en quantité modérée,,,,,
1957,Pistaches coques grillees salees - 500g,5400247032775,['France'],[],[],?,591,2473 kj(591 kcal),47,6,7,7,30,"1,8","0,72",D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Pistaches', 'Pistaches grillées']",,-3%,-3%,-4%,-7%,-53%,+3%,+33%,+49%,+49%,10,+59%,C,+59%,80.2%,0.0%,5.4%,8.3%,3.7%,2.3%,40,"['EMB 13117E', 'Vitrolles (Bouches-du-Rhône, France)']",500 g,,,,,,,,47 g,en quantité élevée,6 g,en quantité élevée,7 g,en quantité modérée,1.8 g,en quantité élevée,,,,,
1958,Amandes Effilées,5400247032812,['France'],[],[],?,635,2657 kj(635 kcal),56,"4,5","4,9","4,3",24,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959,Mini Cakes aux pépites de chocolat - Winny - 360g,5400247033369,['France'],"['Farine de blé - huile de colza - sucre - pépites de chocolat 16% ', 'sucre - pâte de cacao - beurre de cacao - émulsifiant : E322 - arôme vanille', ' - oeufs - sirop de glucose - poudres à lever ', 'dont amidon de blé', ' : E450', 'E500 - eau - stabilisant : E422 - sirop de sucre inverti - dextrose - sel - arôme - épaississant : E415']",['Non végétalien'],1919,?,1919 kj(459 kcal),"24,2","3,8","54,4",28,"5,8","0,73","0,292",D,['Winny'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat']",+5%,,+5%,+3%,-52%,+11%,-9%,+1%,+40%,+40%,17,-8%,D,-8%,82.4%,11.4%,2.3%,2.6%,1.2%,0.0%,38,"['EMB 29102', 'Landeleau (Finistère, France)']",360 g,"['Sachet', 'Plastique']",,,['Cora'],"['Œufs', 'Gluten']",4,"['E322 - Lécithines', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', 'E422 - Glycérol', 'E415 - Gomme xanthane']",24.2 g,en quantité élevée,3.8 g,en quantité modérée,28 g,en quantité élevée,0.73 g,en quantité modérée,,,,,
1960,Barre Bretonne - Winny - 800g,5400247033376,['France'],"['Farine de blé - sucre - huile de colza - oeufs - eau - sirop de glucose - stabilisant : glycérol - poudres à lever ', 'dont amidon de blé', ' : E450', ""E500 - sel - correcteur d'acidité : acide citrique - arôme""]","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",1873,?,1873 kj(448 kcal),"24,1",2,"52,7","24,7",5,"1,1","0,44",D,['Winny'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Quatre-quarts']",+5%,,+5%,+6%,-84%,+8%,-12%,-13%,+8%,+8%,15,-34%,D,-34%,83.1%,9.9%,3.4%,1.8%,1.8%,0.0%,50,,800 g,"['Sachet', 'Plastique', 'Carton']",,,['Cora'],"['Œufs', 'Gluten']",4,"['E422 - Glycérol', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', 'E330 - Acide citrique']",24.1 g,en quantité élevée,2 g,en quantité modérée,24.7 g,en quantité élevée,1.1 g,en quantité modérée,,,,,
1961,Pur jus d'orange flash pasteurisé réfrigéré - Winny - 1l,5400247033505,['France'],"[""Jus d'orange"", 'flash pasteurisé', 'réfrigéré']",[],198,?,198 kj(47 kcal),0,0,11,11,"0,5",0,0,C,['Winny'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Frais', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'orange"", 'Jus de fruits pur jus', ""Jus d'orange pur jus""]",+8%,,+9%,-100%,-100%,+13%,+20%,-21%,-100%,-100%,5,+68%,C,+68%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,1l,"['Brique', 'Tetra Brik', 'Tetra Pak']","['en:European Fruit Juice Control System', 'Sans colorants', 'Sans conservateurs']",,['Cora'],,,,0 g,en faible quantité,0 g,en faible quantité,11 g,en quantité élevée,0 g,en faible quantité,,,,,
1962,Rillettes Pur Porc - Winny - 220g,5400247033512,['France'],"['Viande de porc 81 %', 'gras de porc', 'sel', 'épices', 'conservateur : nitrite de sodium']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,?,,?,,?,,?,,,D,"['Winny', 'Bloc cvba', 'Groupe Louis Delhaize']","['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Frais', 'Rillettes', 'Rillettes de viande', 'Rillettes françaises', 'Rillettes de viande rouge', 'Rillettes de porc']",,,,,,,,,,,,,,,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,"['FR 56.246.008 CE', 'Sourn (Morbihan, France)', 'EMB 56246E', 'Sourn (Morbihan, France)']",220 g,"['Frais', 'Pot', 'Couvercle', 'Plastique', 'Opercule', 'Film plastique']","['Point Vert', 'Eco-Emballages']","[""Salaisons Celtiques (Filiale du Groupement Les Mousquetaires) - Parc d'Activités Tréhonin - 56300 Le Sourn"", 'Morbihan', 'Bretagne', 'France']",['Cora'],,3,"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,,,,,,,,Rillettes pur porc,,,
1963,Madeleines Coquilles aux Œufs Frais - Winny - 500g e,5400247033536,['France'],"['Farine de blé', 'sucre', 'huile de colza', 'oeufs frais 14%', 'sirop de glucose', 'stabilisant : sorbitols', 'sirop de sucre inverti', 'poudres à lever : diphosphates et carbonates de sodium ', 'amidon de blé', 'sel', 'arôme']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",1787,?,1787 kj(427 kcal),"18,6","1,7","58,2","30,4","5,7","0,97","0,388",B,['Winny'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Madeleines']",-4%,,-3%,-18%,-75%,+10%,+11%,+0%,+20%,+20%,16,-13%,D,-13%,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,"['EMB 17283A', 'Pons (Charente-Maritime, France)']",500 g e,"['Sachet', 'Plastique']",['Point Vert'],,['Cora'],"['Œufs', 'Gluten']",4,"['E420 - Sorbitol', 'E450i - Pyrophosphate de sodium acide', 'E500 - Carbonates de sodium']",18.6 g,en quantité modérée,1.7 g,en quantité modérée,30.4 g,en quantité élevée,0.97 g,en quantité modérée,,Madeleines - Madeleines Coquilles aux Œufs Frais,,,
1964,Jambon cru fumé - Winny - 150g,5400247033703,['France'],"['Jambon de porc', 'sel', 'épices', 'dextrose', 'sirop de glucose', 'sucre', 'antioxydant : ascorbate de sodium', ' conservateurs : nitrite de sodium', 'nitrate de potassium', ' ferments', 'fumée de bois de hêtre']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",974,?,974 kj(233 kcal),14,"5,6","0,6","< 0,4",26,5,2,,['Winny'],"['Viandes', 'Charcuteries', 'Jambons', 'Jambons crus', 'Jambons crus fumés', 'en:raw-cured-ham']",-5%,,-9%,-14%,-12%,-29%,-26%,-1%,+8%,+8%,17,-7%,D,-7%,,,,,,,,['DE EV 313 EG'],150 g,"['Barquette', 'Plastique']",,['Allemagne'],['Cora'],,4,"['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition']",14 g,en quantité modérée,5.6 g,en quantité élevée,0.4 g,en faible quantité,5 g,en quantité élevée,['Union européenne'],,,,
1965,Chorizo Fort - Winny - 250g,5400247044044,['France'],"['Maigre de porc', 'gras de porc', 'sel', 'lactose', 'dextrose', 'piment 2%', ""épices et extraits d'épices"", 'ferments', '\rConservateurs : E301', 'E250', ""\rBoyau naturel de porc : conservateur de l'enveloppe : E202""]","['Non végétalien', 'Non végétarien']",2061,?,2061 kj(493 kcal),46,17,"3,2","2,6",17,"3,5","1,4",D,['Winny'],"['Viandes', 'Charcuteries', 'Saucissons', 'Chorizo']",+18%,,+21%,+35%,+32%,+10%,+45%,-26%,-7%,-7%,24,+1%,E,+1%,76.1%,16.6%,0.6%,1.8%,1.0%,3.9%,35,"['FR 60.463.013 CE', 'Nogent-sur-Oise (Oise, France)', 'EMB 60612', 'Senlis (Oise, France)']",250 g,"['Sachet', 'Plastique']",,,['Cora'],['Lait'],4,"['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",46 g,en quantité élevée,17 g,en quantité élevée,2.6 g,en faible quantité,3.5 g,en quantité élevée,,Chorizo pur porc fort,,,
