,name,bar_code,categories,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_energy_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,markets,quantity,packaging,traceability_code,manufacturing,link,allergens,nova_score,ingredients_origins,generic_name,additives,origin_detail
77,cioccolato extra fondente,3260711090289,,['France'],[],[],?,,605,,50,,20,,11,,31,15,2531 kj(605 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Chewing gum,6253502691144,,['France'],[],[],?,,378,,"11,6",,"67,3",,"0,5",,"6,5",4,1582 kj(378 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Sucre complet bio,3075310441208,,['France'],[],[],?,,387,,0,,"95,63",,"1,16",,0,"68,04",1619 kj(387 kcal),,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Panettone - 750g,0029981006870,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone']",['France'],[],[],?,,367,-2%,14,-7%,52,+1%,7,+2%,11,20,1536 kj(367 kcal),"0,3","0,12",C,,14 g,en quantité modérée,11 g,en quantité élevée,20 g,en quantité élevée,0.3 g,en quantité modérée,-2%,+22%,-23%,-32%,-32%,19,+2%,E,+2%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,750 g,,,,,,,,,,
81,Bande multifruit,,,['France'],[],[],?,,203,,10,,25,,"2,8",,7,"9,7",849 kj(203 kcal),"0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Dinde,2414226022704,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Rhum arrangé,3760264128038,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Eminces en sauce,3256228480293,,['France'],[],[],?,,?,,?,,?,,?,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['ASC-C-01050', 'MSC-C-55169']",,,,,,,,
85,Dominosteine (in Zartbitterschokolade) - 140g,4015537230796,,['France'],[],[],?,,386,,13,,61,,"3,7",,"5,7",48,1615 kj(386 kcal),,,,['Sans gluten'],,,,,,,,,,,,,,,,,,,,,,,,,,,140 g,,,,,,,,,,
86,La Tranche Végane - 90g,8053853071606,,['France'],[],[],?,,227,,"6,3",,13,,29,,"0,6","3,3",950 kj(227 kcal),"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,90 g,,['FSC-C115753'],,,,,,,,
