,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,traceability_code,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,eco_score,quantity,brand,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,labels,packaging,allergens,ingredients_origins,additives,nova_score,markets,generic_name,brand_owner,manufacturing,link,producer_info,palm_ingredients
693,Hareng fumé Bouffis -,2869929026373,['France'],[],[],?,183,11,"0,9",19,766 kj(183 kcal),"2,3","0,5","3,5","1,4",,"['Produits de la mer', 'Poissons', 'Harengs', 'Poissons fumés', 'Harengs fumés']",,0%,-10%,+108%,+12%,B,,,64.6%,0.0%,6.7%,24.9%,3.0%,0.8%,76,11 g,en quantité modérée,2.3 g,en quantité modérée,0.5 g,en faible quantité,3.5 g,en quantité élevée,+1%,-23%,+116%,-5%,-5%,14,+1%,D,+1%,,,,,,,,,,,,,
694,Salade Strasbourgeoise,3181580276676,['France'],[],[],?,171,"12,6","8,8","4,6",715 kj(171 kcal),"3,1","1,3","1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
695,Enjoy,2031189899992,['France'],[],[],?,544,"31,4","58,8","6,4",2276 kj(544 kcal),"18,8","57,2","0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
696,Sangaria sukkiri to hachimitsu lemin,4902179015587,['France'],[],[],?,20,0,5,0,84 kj(20 kcal),0,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697,Pizza buffalo mozarella,20924294,['France'],[],[],?,216,"5,2","30,8","9,6",904 kj(216 kcal),"2,8","3,2","0,88","0,352",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
698,Crème entière de Normandie x3 - Elle & Vire - 60cl (3*20cl),3451790936128,['France'],"['crème de Normandie', 'amidon modifié', 'stabilisant : pectine', 'émulsifiants : E471', 'E472b', 'épaississant : carraghénanes']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",?,?,?,?,?,,,,,,,"['Produits laitiers', 'Produits fermentés', 'Crèmes', 'Produits laitiers fermentés', 'Crèmes épaisses', 'Crèmes entières']",,,,,,B,60 cl (3*20cl),"['Elle & Vire', 'Savencia']",68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,,,,,,,,,,,,,,,,,,,['Carton'],['Lait'],,"['E14XX - Amidons modifiés', 'E440 - Pectines', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", ""E472b - Ester diacétyl-lactique de mono- et diglycérides d'acides gras"", 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",4,,,,,,,
699,Mélange duo gourmande,2600271030171,['France'],[],[],?,566,40,34,16,2368 kj(566 kcal),16,24,"0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,Poulet fumé - Carrefour,0276382039888,['France'],[],[],?,?,?,?,?,,,,,,,"['Viandes', 'Charcuteries', 'Volailles', 'Poulets', 'Volailles cuites', 'Charcuteries cuites', 'Blancs de volaille en tranches', 'Blancs de poulet en tranches', 'Blancs de poulet fumé']",,,,,,D,,['Carrefour'],84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],,,,,,
701,Garda v'ours - Rochambeau,3439495207385,['France'],[],[],?,324,0,76,"5,1",1356 kj(324 kcal),0,62,"0,02","0,008",,,,,,,,,,['Rochambeau'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
702,6167730718200,6167730718200,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
703,Cairane - Terranéa - 75cl,3760093630696,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,75cl,['Terranéa'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
704,mini Mallows,3770006515187,['France'],[],[],?,323,0,79,"3,5",1351 kj(323 kcal),0,64,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
705,Poire Williams confiture - Maison Perrotte,3701090800040,['France'],"['Poire Williams 62 %', 'sucre', 'jus de citron', 'vanille Tahiti grand cru de Raiatea 0', '10%', 'gélifiant:pectine de fruits']",[],?,191,"0,6",46,"0,6",799 kj(191 kcal),"0,6",45,"0,125","0,05",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de poires']",,-13%,+88%,-13%,+79%,B,,['Maison Perrotte'],38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,0.6 g,en faible quantité,0.6 g,en faible quantité,45 g,en quantité élevée,0.125 g,en faible quantité,-13%,+745%,-12%,+233%,+233%,9,-1%,C,-1%,,,,,['E440 - Pectines'],4,,,,,,,
706,Sirop de nappage al'Orange,3760230174892,['France'],[],[],?,?,?,?,?,,,,,,,"['Boissons', 'Sirops', 'Sirops aromatisés', ""Sirops d'orange""]",,,,,,B,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
707,Bonhomme De Neige Choc Noir SS Gluten 100G,3760077183309,['France'],[],[],?,451,"19,1","61,9","5,8",1887 kj(451 kcal),"11,6","26,9","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'en:gluten-free']",,,,,,,,,,,,
708,Jambon cuit tranché,2207118027228,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
709,Pate de nougat,3486721121007,['France'],[],[],?,374,"0,66","92,74","0,84",1565 kj(374 kcal),"0,02","83,15","0,17","0,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
710,Saucisson de cheval,2670232014373,['France'],[],[],?,265,20,8,13,1109 kj(265 kcal),"7,5","1,3","2,3","0,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
711,Lait demi ecreme UHT AREILLADOU,3254150008868,['France'],[],[],?,49,"4,6","4,6","3,96",205 kj(49 kcal),0,"1,26",0,0,,"['Produits laitiers', 'Laits', 'Laits demi-écrémés']",,+4%,+193%,-4%,+22%,D,,,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,4.6 g,en quantité modérée,0 g,en faible quantité,1.26 g,en faible quantité,0 g,en faible quantité,+5%,-100%,-74%,-100%,-100%,-2,,A,,,,,,,,,,,,,,
712,Raisin sec,3569880000298,['France'],[],[],?,293,"0,51","70,17","2,46",1226 kj(293 kcal),"0,2","66,8","2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
713,Roti de porc cuit supérieur x4,0281452029522,['France'],[],[],?,170,"3,2","1,4",22,711 kj(170 kcal),"3,2",0,"1,6","0,64",,"['Viandes', 'Porc', 'Rôtis de porc']",,+18%,-36%,+71%,-2%,E,,,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,3.2 g,en quantité modérée,3.2 g,en quantité modérée,0 g,en faible quantité,1.6 g,en quantité élevée,+19%,+53%,-100%,-7%,-7%,12,+68%,D,+68%,,,,,,,,,,,,,
714,Pates fleur de lys,3770002979013,['France'],[],[],?,350,"1,9",71,11,1464 kj(350 kcal),"0,4","3,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
715,Schoko Drink,4100290004033,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
716,Cube amandes noisettes,3327370608894,['France'],[],[],?,617,"50,7","18,7","15,4",2582 kj(617 kcal),"12,7","17,7","0,053","0,021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717,Creme a fouetter,8030141096213,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
718,Noix de coco morceaux,0291439016018,['France'],[],[],?,365,"33,5","7,15","3,6",1527 kj(365 kcal),"29,7","6,23","0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
719,Lentilles vertes,3760177742000,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720,Chips-up,6191547200177,['France'],[],[],?,479,23,"63,5","4,6",2004 kj(479 kcal),"11,3",7,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Eclair au café,0202663019027,['France'],[],[],?,300,"8,7","30,3","4,9",1255 kj(300 kcal),"5,1","19,4","0,33","0,132",,"['Biscuits et gâteaux', 'Pâtisseries', 'Éclairs', 'Éclairs au café']",,+20%,-22%,-5%,+20%,,,,,,,,,,,8.7 g,en quantité modérée,5.1 g,en quantité élevée,19.4 g,en quantité élevée,0.33 g,en quantité modérée,+21%,-11%,-2%,-14%,-14%,13,+2%,D,+2%,,,,,,,,,,,,,
722,Lemon fizz,3770009345064,['France'],[],[],?,35,"0,5","8,8","0,5",146 kj(35 kcal),0,"8,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
723,Greek 0% - Brooklea Aldi - 500g,25434071,"['France', 'Royaume-Uni']",[],[],?,62,"0,5","4,9",10,259 kj(62 kcal),"0,1","3,5","0,1","0,04",,,,,,,,,500g,['Brooklea Aldi'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
