,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,brand,ingredients_origins,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,packaging,markets,additives,allergens,manufacturing,palm_ingredients,link,traceability_code,brand_owner,origin_detail,producer_info
1819,Cocktail S Cascara 1KG F R - Frit Ravich - 1kg,8410564011268,['en:gluten-free'],['France'],[],[],?,530,2218 kj(530 kcal),32,"5,2",38,"2,7",19,"1,2","0,48",,,,,,,,,,,,,,,1 kg,['Frit Ravich'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1820,Cocktail Tropical Frit Ravich,8410564011350,,['France'],"['sucre', 'ananas', 'raisin', 'cs', 'papaye', 'noix de coco', 'myrtilles', 'banane', 'graisse végétale de noix de coco', 'acidifiant ', 'E-330', ""arôme d'ananas"", 'huile de tournesol', 'miel', 'arôme de banane et conservateur ', 'dioxyde de soufre', "" Peut contenir des traces d'arachides et de fruits à coque""]",['Non végétalien'],?,329,1377 kj(329 kcal),"7,2","6,2",63,44,"1,2","0,13","0,052",,,,,,,,,,,,,,,,['Frit ravich'],,4,,,,,,,,,,,,,,,,,,,,,"['E330 - Acide citrique', 'E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition']",,,,,,,,
1821,Boolies,8410564013279,,['France'],[],[],?,20,84 kj(20 kcal),"0,5","0,1",5,5,"0,5","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1822,Noix de coco séchée - Frit Ravich,8410564027214,['en:gluten-free'],"['France', 'Espagne']",[],[],?,478,2000 kj(478 kcal),25,21,57,51,"2,1","0,07","0,028",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Aliments à base de fruits et de légumes', 'Snacks sucrés', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Noix de coco sèches']",,-2%,-26%,+144%,-81%,,,,,,,,,['Frit Ravich'],,,25 g,en quantité élevée,21 g,en quantité élevée,51 g,en quantité élevée,0.07 g,en faible quantité,-1%,-27%,+286%,-60%,-60%,19,+181%,E,+181%,,,,,,,,,,,,
1823,Chips & Snacks - Frit Ravich,8410564029270,,['France'],[],[],?,496,2075 kj(496 kcal),30,"3,1",40,1,10,"1,4","0,56",,,,,,,,,,,,,,,,['Frit Ravich'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1824,Ganchitos - Frit ravich,8410564030092,,"['France', 'Espagne']","['Farine de maïs', 'graisse végétale de palme', 'arôme de fromage [lactosérum', 'sel et exhausteur de goût ', 'E-621', ' ] colorant ', 'E-160c']","['Huile de palme', 'Non végétalien']",?,491,2054 kj(491 kcal),27,11,55,"2,4","5,1","2,8","1,12",,"['Snacks', 'Snacks salés', 'Apéritif']",,+5%,+12%,+7%,-33%,,,,,,,,,['Frit ravich'],,4,27 g,en quantité élevée,11 g,en quantité élevée,2.4 g,en faible quantité,2.8 g,en quantité élevée,+5%,+168%,-23%,+79%,+79%,23,+81%,E,+81%,,,,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E160c - Extrait de paprika']",['Lait'],,['Huile de palme'],,,,,
1825,Patatas fritas - Frit Ravich,8410564032027,['en:gluten-free'],['France'],[],[],?,537,2247 kj(537 kcal),35,"3,7",47,"0,6","5,9","2,4","0,96",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre']",,+1%,+7%,-9%,-1%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,,['Frit Ravich'],,,35 g,en quantité élevée,3.7 g,en quantité modérée,0.6 g,en faible quantité,2.4 g,en quantité élevée,+1%,+20%,-57%,+85%,+85%,19,+68%,E,+68%,,,,,,,,,,,,
1826,Ananas séché - Frit Ravich,8410564035981,['en:gluten-free'],"['France', 'Espagne']",[],[],?,344,1439 kj(344 kcal),"0,5","0,1",84,74,"0,5","0,72","0,288",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Ananas séchés']",,+5%,+25%,+12%,-57%,,,,,,,,,['Frit Ravich'],,,0.5 g,en faible quantité,0.1 g,en faible quantité,74 g,en quantité élevée,0.72 g,en quantité modérée,+4%,+190%,+20%,+122%,+122%,12,+78%,D,+78%,,,,,,,,,,,,
1827,Tacos De Cefalópodos - Pescamar,8410599010120,,['France'],[],[],?,159,665 kj(159 kcal),"7,2","2,2","0,4",0,"23,2",1,"0,4",,,,,,,,,,,,,,,,['Pescamar'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1828,El Santo Polvorones Selección De Sabores Calidad Suprema - 300g,8410609102562,['Fabriqué en Espagne'],['France'],"['sucre', 'saindoux ', 'antioxydant:extrait romarin', 'amande', 'poudre de cacao coco', 'vin', 'cannelle en poudre', 'graines de sésame', 'anis Information sur les allergies: Contient du gluten', 'amande', 'sésame et sulfites', 'Peut contenir des traces ', ""l'arachidcs et soja"", 'Schmalzgebâck', ' Produkt aus Spanien', ' ZUTATEN:']",[],?,499,2088 kj(499 kcal),"23,78","10,06","64,27","19,54","5,91",0,0,B,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",,+5%,+14%,+0%,-9%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,300 g,['El Santo'],['Espagne'],,23.8 g,en quantité élevée,10.1 g,en quantité élevée,19.5 g,en quantité élevée,0 g,en faible quantité,+5%,-0%,-34%,-100%,-100%,18,-9%,D,-9%,,['sachets individuels'],['intermarché'],,,['Séville  (Espagne)'],,http://www.el-santo.com,['RSI 20.4974/SE'],,,
1829,Consorcio Bonito Del Norte En Aceite De Oliva - 295g,8410628458930,,"['France', 'Espagne']","['Bonito del norte', 'aceite de oliva', 'sal']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,202,845 kj(202 kcal),10,"1,9",0,0,28,"1,4","0,56",,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve']",,-5%,-29%,-100%,+39%,,,,,,,,295g,['Consorcio'],,3,10 g,en quantité modérée,1.9 g,en quantité modérée,0 g,en faible quantité,1.4 g,en quantité modérée,-4%,-33%,-100%,+40%,+40%,4,-8%,C,-8%,,['Glass'],,,,,,,,,,
1830,Tortas de aceite - Inés Rosales - 120g,8410637116210,"['Végétarien', 'Végétalien', 'Sans lactose', 'Sans conservateurs']",['France'],[],"['Végétalien', 'Végétarien']",?,513,2146 kj(513 kcal),26,"3,9",62,15,"6,6","0,31","0,124",,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'es:Torta sevillana']",,+2%,+2%,+4%,-2%,,,,,,,,120 g,['Inés Rosales'],,,26 g,en quantité élevée,3.9 g,en quantité modérée,15 g,en quantité élevée,0.31 g,en quantité modérée,+2%,-8%,+9%,-45%,-45%,13,-1%,D,-1%,,,,,,,,,,,,
1831,Extra virgin olive oil - La Española - 5L,8410660101436,"['Point Vert', 'Fabriqué en Espagne']","['France', 'Suisse']","[""Huile d'olive vierge extra""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",3381,822,3381 kj(822 kcal),"91,4","12,8",0,0,0,0,0,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",-4%,-4%,-4%,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,5 L,['La Española'],,2,91.4 g,en quantité élevée,12.8 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,-6%,-9%,,-100%,-100%,6,-2%,C,-2%,,"['Bidon', 'métal']",,,,['Espagne'],,,,,,
1832,Calamares en su Tinta - Cuca - 115g,8410698061559,,['France'],[],[],?,146,611 kj(146 kcal),"8,7","1,1","5,7","2,7",11,"1,2","0,48",,"['Produits de la mer', 'Mollusques', 'Calamars']",,-8%,-7%,+29%,-16%,,,,,,,,115g,['Cuca'],,,8.7 g,en quantité modérée,1.1 g,en faible quantité,2.7 g,en faible quantité,1.2 g,en quantité modérée,-11%,-23%,+269%,+6%,+6%,2,-24%,B,-24%,,,,,,,,,,,,
1833,Mango - Juver,8410707001286,['Sans sucre ajouté'],"['France', 'Espagne']",[],[],?,16,67 kj(16 kcal),"0,1",0,"3,4",3,"0,2","0,01","0,004",D,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Nectars de mangue']",,-69%,-43%,-73%,-26%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,['Juver'],,,0.1 g,en faible quantité,0 g,en faible quantité,3 g,en quantité modérée,0.01 g,en faible quantité,-69%,-100%,-74%,-3%,-3%,5,-68%,C,-68%,,,,,,,,,,,,
1834,Selección mango - Juver,8410707003815,,['France'],[],[],?,25,105 kj(25 kcal),0,0,"5,5","4,9","0,3","0,01","0,004",,,,,,,,,,,,,,,,['Juver'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1835,100%veggie - Juver,8410707004232,['Sans sucre ajouté'],['France'],"['Apple 55% ', 'apple purée', 'juice and juice from concentrate', 'pear purée ', '14%', 'carrot juice from concentrate ', '25% ', 'fennel purée ', '5%', 'lime juice from concentrate ', '1', '5 % ', ' ', 'ginger extract ', '0', '003%', ' and antioxidant: ascorbic acid']",[],?,53,222 kj(53 kcal),"0,2",0,"12,1","11,6","0,5","0,04","0,016",C,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits à base de concentré', 'Jus multifruits', 'Jus multifruits à base de jus concentré']",,+13%,+31%,+10%,+42%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,['Juver'],,,0.2 g,en faible quantité,0 g,en faible quantité,11.6 g,en quantité élevée,0.04 g,en faible quantité,+13%,-100%,+12%,+326%,+326%,6,+39%,D,+39%,,['Tetrapak'],,,,,,,,,,
1836,Juver Naranja Orange Juice - 200ml,8410707103386,,"['France', 'Espagne']",[],[],?,25,105 kj(25 kcal),"0,1",0,"5,6","4,2","0,4",0,0,,['es:zumo'],,-38%,+50%,-41%,+38%,,,,,,,,200ml,['Juver'],,,0.1 g,en faible quantité,0 g,en faible quantité,4.2 g,en faible quantité,0 g,en faible quantité,-38%,-100%,-52%,-100%,-100%,0,-100%,B,-100%,,,,,,,,,,,,
1837,Truvia,8410714106790,,['France'],"['AGENTE DE CARGA: ERITRITOL', ' EDULCORANTE: GLICÓSIDOS DE ESTEVIOL ', '1%', 'EXTRACTO DE LA HOJA DE STEVIA', ' Y AROMAS NATURALES']",[],?,0,0 kj(0 kcal),0,0,99,0,0,0,0,,"['Édulcorants', 'Additifs alimentaires', 'Succédanés du sucre', 'Édulcorants artificiels']",,-100%,-100%,+92%,-100%,,,,,,,,,['Truvia'],,4,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,-100%,-100%,-100%,-100%,-100%,,,,,,,,"['E968 - Érythritol', 'E960 - Glucosides de stéviol', '', 'Risque modéré de sur-exposition']",,,,,,,,
1838,Escopinyes Al Natural Dani 65 Peces - 111g,8410721092550,,"['France', 'Espagne']","['Berberechos', 'agua y sal']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,270,1130 kj(270 kcal),1,"0,3",0,0,14,"1,5","0,6",,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve']",,+27%,-93%,-100%,-30%,,,,,,,,111 g,['Dani'],,3,1 g,en faible quantité,0.3 g,en faible quantité,0 g,en faible quantité,1.5 g,en quantité modérée,+28%,-89%,-100%,+50%,+50%,4,-8%,C,-8%,,"['Caja', 'Cartón', 'Lata', 'En conserva']",,,,,,,['ES 40.04941/B CE'],,,
1839,Berberechos Dani Cockles In Brine - 111g,8410721094523,,"['France', 'Espagne']","['Berberechos', 'agua y sal']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,65,272 kj(65 kcal),1,0,0,0,14,"1,5","0,6",,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve']",,-69%,-93%,-100%,-30%,,,,,,,,111 g,['Dani'],,3,1 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,1.5 g,en quantité modérée,-69%,-100%,-100%,+50%,+50%,1,-77%,B,-77%,Berberechos al natural,"['Caja', 'Cartón', 'Lata', 'En conserva']",,,,,,,['ES 40.04941/B CE'],,,
1840,Zamburinas (petoncles) - Dani,8410721113590,['en:gluten-free'],"['France', 'Espagne']","['NGRED{ENTES: Zamburiôas', 'aceite de gitasotè tomate', 'Smar sca//ops in saucv Scal/ops', 'sunt70vser toma to,']",[],?,110,460 kj(110 kcal),"6,5","1,4",3,1,"14,5","0,6","0,24",,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Mollusques', 'Noix de Saint-Jacques', 'es:Zamburiñas']",,+25%,+282%,+5%,-8%,,,,,,,,,['Dani'],,3,6.5 g,en quantité modérée,1.4 g,en faible quantité,1 g,en faible quantité,0.6 g,en quantité modérée,+21%,+85%,+58%,+9%,+9%,-1,,A,,,"['Caja', 'Cartón', 'Lata', 'En conserva']",,,,,,,,,,
1841,Dani 5 Pimientas Molinillo - 180g,8410721439539,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,180 g,['Dani'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1842,Delasheras Lemon Mini Muffins,8410722552800,,['France'],[],[],?,427,1787 kj(427 kcal),"18,8","3,2","58,9","28,4",5,"0,7","0,28",,"['Biscuits et gâteaux', 'Gâteaux', 'Muffins', 'en:Biscuits et gâteaux', 'en:Gâteaux']",,+6%,+1%,+11%,0%,,,,,,,,,,,,18.8 g,en quantité modérée,3.2 g,en quantité modérée,28.4 g,en quantité élevée,0.7 g,en quantité modérée,+4%,-55%,-6%,+13%,+13%,17,-4%,D,-4%,,,,,,,,,,,,
1843,Lacasitos Chocolate con leche - Lacasa,8410740012324,,['France'],[],[],?,550,2301 kj(550 kcal),32,19,58,57,5,"0,17","0,068",,,,,,,,,,,,,,,,['Lacasa'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1844,Lacasitos - Lacasa,8410740096201,['Fabriqué en Espagne'],['France'],[],[],?,481,2013 kj(481 kcal),"19,5","11,8","70,2","69,6","5,7","0,2","0,08",,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat']",,-9%,-39%,+34%,-3%,,,,,,,,,['Lacasa'],,,19.5 g,en quantité modérée,11.8 g,en quantité élevée,69.6 g,en quantité élevée,0.2 g,en faible quantité,-9%,-32%,+47%,+31%,+31%,26,+7%,E,+7%,,,,,,,,,,,,
1845,Tortilla De Patata - Argal,8410764001069,,['France'],[],[],?,160,669 kj(160 kcal),10,"1,6",11,"0,9","5,3",1,"0,4",B,"['Plats préparés', 'Omelettes de pommes de terre']",,+1%,+6%,-7%,+1%,70.9%,11.4%,6.8%,5.8%,3.0%,2.1%,76,,['Argal'],,,10 g,en quantité modérée,1.6 g,en quantité modérée,0.9 g,en faible quantité,1 g,en quantité modérée,+1%,-9%,-4%,-7%,-7%,3,-20%,C,-20%,,,,,,,,,,,,
1846,Pepifruit,8410803000084,,['France'],[],[],?,366,1531 kj(366 kcal),"15,3","3,1","58,7","34,8","5,88","0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1847,Chorizo Ibérico Legado - 75g,8410843016083,['Fabriqué en Espagne'],"['France', 'Espagne']",[],[],?,479,2004 kj(479 kcal),43,"15,5","0,5","0,5","22,5","3,5","1,4",,"['Viandes', 'Charcuteries']",,+84%,+123%,-66%,+20%,,,,,,,,75 g,,,,43 g,en quantité élevée,15.5 g,en quantité élevée,0.5 g,en faible quantité,3.5 g,en quantité élevée,+86%,+113%,-37%,+47%,+47%,25,+56%,E,+56%,,,,,,,,,,,,
1848,Chorizo Extra All Natural 70gr. El Pozo - ElPozo - 80,8410843035909,['Sans colorants'],"['France', 'Espagne']",[],[],?,317.5,1328 kj(317 kcal),"25,5",10,"0,5","0,5","21,5",3,"1,2",,"['Viandes', 'Charcuteries']",,+22%,+32%,-66%,+15%,,,,,,,,80,['ElPozo'],,,25.5 g,en quantité élevée,10 g,en quantité élevée,0.5 g,en faible quantité,3 g,en quantité élevée,+23%,+38%,-37%,+26%,+26%,22,+38%,E,+38%,,['1'],,,,['España'],,,,,,
1849,Calmars à l'encre - 112g,8410890476007,,['France'],[],[],?,236,987 kj(236 kcal),"17,8","2,5",2,"1,8","16,5","0,7","0,28",,,,,,,,,,,,,,,112 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1850,Rio Verde Ail Doux Huile Olive 120 GRS - Rioverde - 212ml,8410954005150,,"['France', 'Espagne']","['Ails', ""vinaigre huile d'olive"", 'sel', 'exhausteur de gout : E-621', 'E-631', 'E-627', ""correcteurs d'acité : E-330"", ' E-260 et antioxydant : E-300']",[],?,35,146 kj(35 kcal),"2,3","0,5","2,3","0,5",2,"2,2","0,88",,"['Snacks', 'Snacks salés', 'Apéritif']",,-93%,-90%,-96%,-74%,,,,,,,,212 ml,['Rioverde'],,4,2.3 g,en faible quantité,0.5 g,en faible quantité,0.5 g,en faible quantité,2.2 g,en quantité élevée,-93%,-88%,-84%,+41%,+41%,8,-37%,C,-37%,,,,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E631 - Inosinate disodique', 'E627 - Guanylate disodique', 'E330 - Acide citrique', 'E260 - Acide acétique', 'E300 - Acide ascorbique']",,,,,,,,
1851,Sin Lactosa nata líquida para cocinar - Kaiku - 200ml,8410981297290,['Sans lactose'],"['France', 'Espagne']","['Ingredientes: Nata ligera ', 'M', 'G', ' 15%', ' almidones modificados ', 'E-1442 y E-1450', ' y estabilizantes ', 'E-331 y E-412', 'No apta para atérgicos a la proteina de teche de vaca']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,165,690 kj(165 kcal),15,"9,8","4,8","3,4","2,6","0,43","0,172",C,"['Produits laitiers', 'Crèmes', 'Crèmes sans lactose']",,-38%,-41%,+8%,+6%,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,200 ml,['Kaiku'],,4,15 g,en quantité modérée,9.8 g,en quantité élevée,3.4 g,en faible quantité,0.43 g,en quantité modérée,-36%,-43%,-10%,+356%,+356%,12,-2%,D,-2%,,['Brik'],['Lupa'],"['E14XX - Amidons modifiés', 'E1442 - Phosphate de diamidon hydroxypropyle', ""E1450 - Octényle succinate d'amidon sodique"", 'E412 - Gomme de guar', 'E331 - Citrates de sodium']",['es:Nata'],,,,['FI 60245 EY'],,,
1852,Gaspacho Sans Colorant Ni Conservateur - Ferrer,8411026031008,"['Sans colorants', 'Sans conservateurs', 'en:gluten-free', 'Sans colorants ou conservateurs']","['France', 'Pays-Bas']",[],[],?,34,142 kj(34 kcal),"2,4","0,4","2,6","1,8","0,6","0,875","0,35",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Soupes de légumes', 'Soupes froides', 'Gaspacho']",,-17%,-2%,-23%,-24%,8.9%,40.5%,20.0%,12.5%,12.7%,5.4%,98,,['Ferrer'],,,2.4 g,en faible quantité,0.4 g,en faible quantité,1.8 g,en faible quantité,0.875 g,en quantité modérée,-18%,+4%,-29%,+31%,+31%,3,+152%,C,+152%,,['Bouteille'],['Albert Heijn'],,,,,,,,,
1853,Corte Fresco - Filet de Porc Sec d'Espagne - Serrano - 80g e,8411030050965,,['France'],"['Longe de porc', 'sel', 'épices', 'maltodextrine et dextrose de maïs', 'sucre', 'ail', 'antioxydants ', 'E-331', 'E-316', 'conservateurs ', 'E-252']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,207,866 kj(207 kcal),"6,7","2,4",1,"0,6",36,"3,5","1,4",,"['Viandes', 'Charcuteries', 'Lomos']",,-21%,-65%,-32%,+93%,,,,,,,,80 g e,['Serrano'],,4,6.7 g,en quantité modérée,2.4 g,en quantité modérée,0.6 g,en faible quantité,3.5 g,en quantité élevée,-20%,-67%,-25%,+47%,+47%,13,-19%,D,-19%,,"['Frais', 'Plastique']",,"['E331 - Citrates de sodium', 'E316 - Érythorbate de sodium', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition']",,,,,,,,
1854,Chocolate Brownies - Lazaro,8411037800037,['Fabriqué en Espagne'],['France'],['INFORMACIÔN NUTRICIONAL I NUTRITIONAL INFORMATION /'],[],?,474,1983 kj(474 kcal),25,"4,1",55,46,"5,5","0,41","0,164",D,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat', 'Brownies']",,+4%,-2%,+15%,-7%,84.5%,9.8%,2.3%,2.2%,1.2%,0.0%,37,,"['Lazaro', 'Mr. Brownie']",,,25 g,en quantité élevée,4.1 g,en quantité modérée,46 g,en quantité élevée,0.41 g,en quantité modérée,+4%,-50%,+35%,+7%,+7%,18,-6%,D,-6%,,,,,,,,,,,,
1855,Epicerie / Epicerie Sucrée / Chocolat - Chocolates Solé - 100g,8411066002846,"['en:gluten-free', 'Point Vert', 'Fabriqué en Espagne']",['France'],['Pâte de cacao'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,590,2469 kj(590 kcal),53,"33,5",7,"0,9","11,8","0,01","0,004",E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",,+6%,+35%,-82%,+54%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,100 g,['Chocolates Solé'],,3,53 g,en quantité élevée,33.5 g,en quantité élevée,0.9 g,en faible quantité,0.01 g,en faible quantité,+6%,+45%,-97%,-79%,-79%,17,-20%,D,-20%,,['Carton'],,,,['Espagne'],,,,,,
1856,Tapas integral - Quely,8411145202075,,"['France', 'Espagne']",[],[],?,451,1887 kj(451 kcal),"16,6","1,7",63,"4,8","9,6","1,53","0,612",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains spéciaux']",,+55%,+225%,+29%,+3%,,,,,,,,,['Quely'],,,16.6 g,en quantité modérée,1.7 g,en quantité modérée,4.8 g,en faible quantité,1.53 g,en quantité élevée,+55%,+90%,+8%,+25%,+25%,13,+246%,D,+246%,,,,,,,,,,,,
1857,Galletas Boer Sabores Pack 2 - asinez,8411192052111,['Fabriqué en Espagne'],"['France', 'Espagne']",[],[],?,518,2167 kj(518 kcal),"27,2","12,3",62,"28,7","5,6","0,35","0,14",,['Biscuits et gâteaux'],,+20%,+42%,+9%,-5%,,,,,,,,,['Asinez'],,,27.2 g,en quantité élevée,12.3 g,en quantité élevée,28.7 g,en quantité élevée,0.35 g,en quantité modérée,+20%,+44%,-1%,-38%,-38%,23,+24%,E,+24%,,,,,,,,,,,,
1858,Thon Albacore à L´huile D´olive Bio - Ortiz,8411320336007,"['Bio', 'Bio européen', 'ES-ECO-026-VAS']",['France'],"['Thon', ""huile d'olive vierge extra biologique "", '27%', ' et sel']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,217,908 kj(217 kcal),"13,6","2,1",0,0,25,"1,7","0,68",C,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Thons', 'Thons tropicaux', 'Thons albacore']",,+75%,+551%,-100%,0%,86.9%,0.0%,2.5%,9.0%,1.2%,0.3%,41,,['Ortiz'],,3,13.6 g,en quantité modérée,2.1 g,en quantité modérée,0 g,en faible quantité,1.7 g,en quantité élevée,+76%,+286%,-100%,+75%,+75%,11,+2685%,D,+2685%,,,,,['Poisson'],,,,,,,
1859,Fresquito cereza - Fiesta,8411402050005,"['en:gluten-free', 'es:No vegan']","['France', 'Espagne']","['sugar', 'dextrose', 'glucose syrup', 'acid: E330', ' flavourings', 'colour: E120']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,398,1665 kj(398 kcal),0,0,"99,9","87,2",0,0,0,E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",,+12%,-100%,+20%,-100%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,['Fiesta'],,4,0 g,en faible quantité,0 g,en faible quantité,87.2 g,en quantité élevée,0 g,en faible quantité,+11%,-100%,+50%,-100%,-100%,14,-3%,D,-3%,,,,"['E330 - Acide citrique', 'E120 - Acide carminique']",,,,,,,,
1860,Gaufrette vanille - Florbu,8411414012596,,['France'],"['Farine de blé', 'graisse végétale de palme ', 'avec des antioxydants: extrait riche en tocophérols et E304', 'sucre', 'dextrose', 'farine de riz', 'fibre de petit pois', 'poudre à lever ', 'bicarbonate de sodium', 'carbonate de calcium et carbonate de magnésium', 'arôme et colorant ', 'E160a', 'Peut contenir des traces de dérivé du lait']",['Huile de palme'],?,499,2088 kj(499 kcal),24,13,65,28,"4,5","0,07","0,028",C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Gaufrettes', 'Gaufrettes fourrées', 'Gaufrettes fourrées à la vanille']",,-4%,-10%,+4%,+2%,76.6%,12.3%,5.4%,2.8%,2.9%,0.0%,70,,['Florbu'],,4,24 g,en quantité élevée,13 g,en quantité élevée,28 g,en quantité élevée,0.07 g,en faible quantité,-4%,-18%,-13%,-70%,-70%,22,-2%,E,-2%,,,,"['E306 - Extrait riche en tocophérols', 'E304 - Acide palmityle-6-L-ascorbique', 'E500ii - Carbonate acide de sodium', 'E160a - Carotènes mélangés']",['Gluten'],,"['Huile de palme', ""E304 - Palmitate d'ascorbyle""]",,,,,
1861,Arroz bomba selección - Nomen,8411495113724,,['France'],[],[],?,333,1393 kj(333 kcal),"0,5","0,1","77,9","0,2","7,1",0,0,,,,,,,,,,,,,,,,['Nomen'],,,,,,,,,,,,,,,,,,,,,,,,,,,,['FSC-C150421'],,,
1862,Zure Mat Aardbei 210 Stuks,8411500110298,,['France'],[],[],?,342,1431 kj(342 kcal),"1,5","1,2",80,61,"1,9","0,133","0,053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
