,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,labels,traceability_code,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,quantity,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,packaging,manufacturing,allergens,nova_score,ingredients_origins,additives,link,generic_name,brand_owner
900,Creme glacée noisette,00650750,['France'],[],[],?,197,12,16,"4,9",,,824 kj(197 kcal),"8,1",14,"0,06","0,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901,Cacao intense,3760146190719,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
902,Apéro Snack-Salade Tomme jurassienne Curry-Galanga - Sans marque - 100g,3324440472966,['France'],"['LAIT pasteurisé de vache', 'sel', 'curry 1,8 % ', 'curcuma', 'gingembre', 'coriandre', 'oignon', 'fenouil', 'fenugrec', 'paprika', 'cardamome', 'échalote', 'sel', 'ail', 'girofle', 'cannelle', 'galanga 0,2 %', 'ferments lactiques', 'enzyme coagulante']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",1395,?,27,"0,8",21,['Bleu Blanc Cœur'],"['FR 25.155.001 CE', 'Cléron (Doubs, France)']",1395 kj(333 kcal),16,"< 0,5","1,4","0,56",B,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages pasteurisés']",+7%,,+4%,-27%,+13%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,"['Sans marque', 'Jean Perrin']",100 g,,27 g,en quantité élevée,16 g,en quantité élevée,0.5 g,en faible quantité,1.4 g,en quantité modérée,+6%,-10%,-34%,-3%,-3%,15,+5%,D,+5%,['Plastique'],"['Franche-Comté', 'France']",['Lait'],3,['France'],,,,
903,Pêche Melba,3528161505679,['France'],[],[],?,110,"2,9","20,6","0,4",,,460 kj(110 kcal),"2,6","14,7","0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
904,EVOQ - Nutrend,8594014864823,['France'],[],[],?,353,14,"18,5",35,['en:gluten-free'],,1477 kj(353 kcal),"10,8","3,5","0,5","0,2",,,,,,,,,,,,,,,['Nutrend'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
905,Oignons à la figue,3770010137078,['France'],[],[],?,337,25,"26,7","1,6",['en:gluten-free'],,1410 kj(337 kcal),"2,5","20,6",3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
906,Apéro Snack-Salade Comté - Sans marque - 100g,3324440472720,['France'],"['LAIT cru de vache', 'sel', 'ferments lactiques', 'présure']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",1734,?,?,?,?,['AOP'],"['FR 25.155.001 CE', 'Cléron (Doubs, France)']",1734 kj(414 kcal),,,,,C,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",+0%,,,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,"['Sans marque', 'Jean Perrin']",100 g,,,,,,,,,,-1%,,,,,,,,,['Plastique'],"['Franche-Comté', 'France']",['Lait'],3,['France'],,,,
907,Apero snack salade tomme jurassienne pesto - Sans marque - 100g,3324440472850,['France'],"['LAIT pasteurisé de vache', 'sel', 'mélange pesto 2,5 % ', 'ail', 'persil', 'basilic', 'épinard', 'huile de colza', 'ferments lactiques', 'enzyme coagulante']",['Non végétalien'],1395,336,27,"0,8",21,['Bleu Blanc Cœur'],"['FR 25.155.001 CE', 'Cléron (Doubs, France)']",1395 kj(336 kcal),16,"0,5","1,4","0,56",B,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Produits de montagne', 'Fromages de montagne', 'Fromages pasteurisés', 'Tommes']",-6%,-7%,-8%,-32%,-7%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,"['Sans marque', 'Jean Perrin']",100 g,,27 g,en quantité élevée,16 g,en quantité élevée,0.5 g,en faible quantité,1.4 g,en quantité modérée,-8%,-21%,+64%,-14%,-14%,15,-3%,D,-3%,['Plastique'],"['France', 'Franche-Comté']",['Lait'],3,['France'],,,,
908,Régnié 2016 - Domaine de la Croix Mulins - 75cl,3257650084578,['France'],"['Vin rouge Régnié AOC', ' Contient des sulfites']",[],?,?,?,?,?,['Déconseillé aux femmes enceintes'],,,,,,,B,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Régnié']",,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,['Domaine de la Croix Mulins'],75 cl,,,,,,,,,,,,,,,,,,,"['Bouteille', 'Verre']","['Beaujolais', 'France']",['Anhydride sulfureux et sulfites'],,['France'],,,,
909,4 beignets à la pomme,0000183013125,['France'],[],[],?,310,"9,6",49,"6,6",,,1297 kj(310 kcal),"1,5",20,"0,72","0,288",,"['Snacks', 'Snacks sucrés', 'Beignets sucrés']",,-13%,-39%,+8%,+4%,,,,,,,,,,,9.6 g,en quantité modérée,1.5 g,en quantité modérée,20 g,en quantité élevée,0.72 g,en quantité modérée,-13%,-57%,+23%,-2%,-2%,11,-8%,D,-8%,,,,,,,,,
910,CHÂTEAU LA BLANQUERIE,3760237470355,['France'],[],[],?,?,?,?,?,['Bio'],,,,,,,,"['Boissons', 'Boissons alcoolisées', 'Vins']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
911,Antepfistikli tahin helva pistachio - 350g,8690661080316,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,350 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
912,Briquette Bio - Ets Schoepfer,3252540969249,['France'],[],[],?,337,28,"1,3",18,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,1410 kj(337 kcal),20,"0,2","1,2","0,48",,,,,,,,,,,,,,,['Ets Schoepfer'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
913,Saucisse de jambon - Saint Alby,4056489036418,['France'],[],[],?,260,23,1,13,"['Nutriscore', 'Nutriscore D']",,1088 kj(260 kcal),8,"0,5",2,"0,8",,,,,,,,,,,,,,,['Saint Alby'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
914,Nutricia olvarit tomate boeuf pomme de terre,5900852033155,['France'],[],[],?,63,2,"7,6","3,2",,,264 kj(63 kcal),"0,8","1,4","0,05","0,02",,,,,,,,,,,,,,,['Olvarit'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
915,Sylvaner 2016,3274550222169,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
916,Pâtes aux oeufs Fabrication artisanale,3760133672600,['France'],[],[],?,333,"2,3","62,8","13,6",,,1393 kj(333 kcal),"0,6","1,9","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
917,Delice de bourgogne,2449291026111,['France'],[],[],?,408,40,2,10,['Point Vert'],,1707 kj(408 kcal),"28,8","0,4",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
918,Passion De La Danse - Vol. 8 : Tango 2 - Merengue 2,3546520029857,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919,Flavour burst,5010034006102,['France'],[],[],?,123,"1,7",26,"0,5",,,515 kj(123 kcal),"0,2",26,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
920,Pain de mie grande tranche,06487416,['France'],[],[],?,296,6,"51,1","7,5","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,1238 kj(296 kcal),"0,5",6,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
921,Salsa Barbacoa - prima,8410118041154,"['France', 'Espagne']",[],[],?,130,0,32,"0,6",['en:gluten-free'],,544 kj(130 kcal),0,26,"2,5",1,,"['Epicerie', 'Sauces']",,-45%,-100%,+223%,-78%,,,,,,,,['Prima'],,,0 g,en faible quantité,0 g,en faible quantité,26 g,en quantité élevée,2.5 g,en quantité élevée,-45%,-100%,+302%,+3%,+3%,16,+38%,D,+38%,,,,,,,,,
922,Brie de Meaux AOP,0209650023685,['France'],[],[],?,286,22,"0,5",22,,,1197 kj(286 kcal),15,"0,5","1,8","0,72",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Fromages de France', 'Bries', 'Brie de Meaux']",,+3%,+1%,+5%,+6%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,22 g,en quantité élevée,15 g,en quantité élevée,0.5 g,en faible quantité,1.8 g,en quantité élevée,+2%,-2%,+98%,+1%,+1%,15,-1%,D,-1%,,,,,,,,,
923,Saucisse sèche,3760050080052,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
924,Le crouton du poissonnier - 100g,3273670002415,['France'],[],[],?,?,?,?,?,,,,,,,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Croûtons']",,,,,,87.8%,8.3%,1.9%,1.8%,0.2%,0.0%,35,,100 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
925,saucisson corde ariola,2228230040018,['France'],[],[],?,366,"26,3","0,4",31,,,1531 kj(366 kcal),"10,18","0,2","4,8","1,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
926,vin rouge,3211209969136,['France'],[],[],?,?,?,?,?,,,,,,,,D,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges']",,,,,,38.9%,16.2%,33.0%,8.1%,2.4%,1.3%,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927,Rillettes de Maquereaux -,3394610002323,['France'],[],[],?,198,"15,6","1,6","12,5",,,828 kj(198 kcal),"7,3","1,2","1,2","0,48",E,"['Viandes', 'Produits de la mer', 'Produits à tartiner', 'Poissons', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Préparations de poisson', 'Rillettes de poissons', 'Rillettes de maquereau']",,-15%,-17%,-30%,-1%,88.2%,4.1%,1.6%,5.2%,0.7%,0.2%,25,,,,15.6 g,en quantité modérée,7.3 g,en quantité élevée,1.2 g,en faible quantité,1.2 g,en quantité modérée,-16%,-2%,+8%,+8%,+8%,14,+9%,D,+9%,,,,,,,,,
928,Noix japonaises,0269074016076,['France'],[],[],?,424,20,55,0,,,1774 kj(424 kcal),"8,5",42,"0,35","0,14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
929,Jambon sec -,2449876026246,['France'],[],[],?,?,?,?,?,,,,,,,,E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons crus', 'Jambons secs', 'en:raw-cured-ham']",,,,,,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930,Chipolatas x10,0204969038054,['France'],[],[],?,?,?,?,?,,,,,,,,E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas']",,,,,,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
931,Instant Falafel,8719322001559,['France'],[],[],?,411,22,40,14,,,1720 kj(411 kcal),3,3,"1,194","0,478",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
932,Papy pop corn,3701253400278,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
933,Purée d'Orange Sanguine,3389132000049,['France'],[],[],?,?,?,?,?,['Fabriqué en France'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
934,Soupe de poisson,3424150010455,['France'],[],[],?,37,"2,6","0,2","3,1",['Fabriqué en France'],,155 kj(37 kcal),"0,4",0,"0,83","0,332",E,"['Plats préparés', 'Soupes', 'Soupes à réchauffer', 'Soupes de poissons']",,-23%,+37%,-89%,-40%,89.9%,2.6%,1.2%,5.2%,0.8%,0.3%,25,,,,2.6 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,0.83 g,en quantité modérée,-22%,-11%,-100%,-6%,-6%,2,+129%,B,+129%,,,,,,,,,
935,"Sartori Bardolino Chiaretto Doc 0,75 L",8005390004944,['France'],[],[],?,?,?,?,?,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
936,Rillettes d'oie - Le Vieux Chêne,3563480000221,['France'],[],[],?,285,"22,4","0,5","18,1",,,1192 kj(285 kcal),"8,3","0,5","1,4","0,56",D,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande blanche', 'Rillettes de volaille', ""Rillettes d'oie""]",,-29%,-39%,+42%,+14%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,['Le Vieux Chêne'],,,22.4 g,en quantité élevée,8.3 g,en quantité élevée,0.5 g,en faible quantité,1.4 g,en quantité modérée,-29%,-30%,+120%,+8%,+8%,17,-12%,D,-12%,,,,,,,,,
937,"Glace vanille, cacao, banane, pistache - 2x 100g",5202336103058,['France'],[],[],?,170,"6,2",26,"2,9",,,711 kj(170 kcal),"5,6",24,"0,21","0,084",,,,,,,,,,,,,,,,2 x 100 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
938,Candy burger,8719831323470,['France'],[],[],?,100,0,"83,4",0,['Halal'],,418 kj(100 kcal),0,"57,8","0,013","0,005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
939,Bière Grand Duc American Pale Ale,3760297310011,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940,Xtra,3289095652005,['France'],[],[],?,42,0,10,0,,"['EMB 97218', 'Morne-Rouge (Martinique, France)']",176 kj(42 kcal),0,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
941,Snack Gusto Classico,8019730038315,['France'],[],[],?,535,32,57,"3,5",,,2238 kj(535 kcal),"3,3","0,6",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
942,Infusion digestion bio,5430001360110,['France'],[],[],?,?,?,?,?,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
943,Carottes râpées,0200527011682,['France'],[],[],?,115,"9,7","4,8","0,6",['Point Vert'],,481 kj(115 kcal),"0,7","2,6","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
944,Galce Cassata - 300g,8007437114777,['France'],[],[],?,232,11,31,"2,7",['en:gluten-free'],,971 kj(232 kcal),"7,9",24,"0,2","0,08",,,,,,,,,,,,,,,,300 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
945,Fougassettes Grattons Porc X2,2020001649921,['France'],[],[],?,402,28,28,"6,7",,,1682 kj(402 kcal),13,"2,1",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
946,Comté - Nos régions ont du talent,2860060023757,['France'],[],[],?,427,35,"0,5",28,,,1787 kj(427 kcal),24,"0,5","0,92","0,368",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",,+2%,+1%,+8%,+4%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,['Nos régions ont du talent'],,,35 g,en quantité élevée,24 g,en quantité élevée,0.5 g,en faible quantité,0.92 g,en quantité modérée,+2%,+6%,+87%,+10%,+10%,14,+8%,D,+8%,,,,,,,,,
947,Pâté de canard à l'orange,3330720652157,['France'],[],[],?,310,29,0,11,"['Point Vert', 'Fabriqué en France']",,1297 kj(310 kcal),14,0,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
948,Baguette Honfleuraise,3289664414300,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
949,La Magnague,3613042684342,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950,Artisanale PINK - Lorina,3551720005730,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,['Lorina'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
951,Dômes glacés vanille cœur de meringue,3428420007145,['France'],[],[],?,217,"9,8",29,"2,6",,,908 kj(217 kcal),"5,1",25,"0,09","0,036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
952,Vin,3559630001958,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
953,Coppa de L'île de beauté,0236741095054,['France'],[],[],?,254,"16,7",0,"25,7",['Sans colorants'],,1063 kj(254 kcal),7,0,"8,92","3,568",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
954,Saucisson sec de volaille hallal,2720046001721,['France'],[],[],?,416,"34,2","1,56","25,5",,,1741 kj(416 kcal),"14,4","1,56","4,15","1,66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
955,Crema carciofi e tonno,8033945804121,['France'],[],[],?,412,44,"0,7","2,1",,,1724 kj(412 kcal),"7,1",0,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
956,Éclair café/chocolat décongelé X 6,0232011015098,['France'],[],[],?,240,11,32,"4,2",,,1004 kj(240 kcal),"6,1",18,"0,48","0,192",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
957,Patates chocolat blanc cœur nougatine,3470201015894,['France'],[],[],?,529,28,63,"5,9",,,2213 kj(529 kcal),15,53,"0,14","0,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
958,Turron de coco - Berclau,8436000412635,['France'],[],[],?,500,28,53,4,,,2092 kj(500 kcal),24,48,0,0,E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron', 'Touron à la noix de coco']",,+4%,+4%,+2%,+25%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,['Berclau'],,,28 g,en quantité élevée,24 g,en quantité élevée,48 g,en quantité élevée,0 g,en faible quantité,+4%,+22%,+20%,-100%,-100%,26,+20%,E,+20%,,,,,,,,,
959,Beignets à la pomme E. Leclerc - 300g,3243768000180,['France'],[],['Sans huile de palme'],?,310,"9,7",49,"6,7",['en:palm-oil-free'],,1297 kj(310 kcal),"1,5",20,"0,73","0,292",,,,,,,,,,,,,,,,300 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
960,Piment d'Espelette A.O.P,15541109,['France'],[],[],?,347,11,23,14,,,1452 kj(347 kcal),2,20,"0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
961,Pate au laguiole fromage AOC,3263480090016,['France'],[],[],?,403,38,"0,5",15,,,1686 kj(403 kcal),"9,7","0,5","1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
962,H2o immune - Prozis,5600499534717,['France'],[],[],?,2,0,"0,5",0,,,8 kj(2 kcal),0,0,0,0,,,,,,,,,,,,,,,['Prozis'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
963,Gatosport muffins chocolat,3700153150399,['France'],[],[],?,386,"6,4",71,9,['Sans conservateurs'],,1615 kj(386 kcal),"3,6",42,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
964,Saucisse de Toulouse,2007413040737,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
965,Cantal jeune,2467430024736,['France'],[],[],?,371,"30,3","0,18","24,7",,,1552 kj(371 kcal),19,0,"2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
966,Suisse longue au chocolat,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
967,Cuisiné de tomates,3760111164578,['France'],[],[],?,20,"0,4","2,8","1,4",,,84 kj(20 kcal),"0,07","2,5","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
968,Sorbet à la fraise - Glace de la Ferme,8717524102319,['France'],[],[],?,599,"0,3","33,3","0,7",,,2506 kj(599 kcal),0,27,0,0,,,,,,,,,,,,,,,['Glace de la Ferme'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
969,Bocadillo veleño de guayaba -,1011010022769,['France'],[],[],?,80,0,12,0,,,335 kj(80 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
970,Sorbet citron - 350g,,['France'],[],[],?,139,0,33,"1,6",,,582 kj(139 kcal),0,27,"0,02","0,008",,,,,,,,,,,,,,,,350 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
971,100% arabica,8000719001031,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
972,Cocktail de la mer - 50g,3770009122573,['France'],[],[],?,185,"1,6",15,"21,67",,,774 kj(185 kcal),"0,29","0,082","4,57","1,828",,,,,,,,,,,,,,,,50 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
973,Paté de foie de canard du Périgord,3700697800316,['France'],[],[],?,403,39,"1,3","11,6",,,1686 kj(403 kcal),16,1,"0,85","0,34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
974,Côtes de Gascogne,3760174330811,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
975,Pierre Chanau Corse Blanc,3254565365273,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,['Pierre Chanau'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
976,Sarrasin Demeter (500 GR),5425006847667,['France'],[],[],?,346,"1,7",71,"9,8",,,1448 kj(346 kcal),"0,4","0,3","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977,Amande effilee,3760177743939,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
978,"Domaine du Moutin rose 13,50% vol 2011",3273942006882,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
979,Fromage frais lissé - 2kg,3332621060178,['France'],[],[],?,114,"8,1","3,5","6,8",,,477 kj(114 kcal),"5,6",3,"0,1","0,04",,,,,,,,,,,,,,,,2 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
980,Pate de campagne,3760054958043,['France'],[],[],?,307,"27,9","2,1","11,8",,,1284 kj(307 kcal),"11,6","1,8","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
981,Jambon de porc à l'auvergnate,3334640001934,['France'],[],[],?,787,"10,7","0,8","22,1",,,3293 kj(787 kcal),"3,3","0,8","2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
982,Pain aux graines - Trader Joe's,00650496,['France'],[],[],?,280,0,"1,5",3,,,1172 kj(280 kcal),0,"0,2",2,"0,8",,,,,,,,,,,,,,,"[""Trader Joe's""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
983,Bacon curado ahumado lonchas sin gluten - 90g,8008706026289,['France'],[],[],?,325,23,"0,5",29,['en:gluten-free'],,1360 kj(325 kcal),"8,9","0,5",5,2,,,,,,,,,,,,,,,,90 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
984,Sel parmesan fromage & basilic,5707644487338,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
985,frutos secos - Frit Ravich,8410564002969,['France'],[],[],?,608,50,10,"2,5",,,2544 kj(608 kcal),11,"4,2","0,27","0,108",,,,,,,,,,,,,,,['Frit Ravich'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
986,"Bottega Nero Cioccolato 15% 0,50 CL",8005829120474,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
987,Palometas cortezas de trigo semielaboradas,8411238003022,['France'],[],[],?,335,"2,1","68,4","9,5",,,1402 kj(335 kcal),"0,6","2,6","4,9","1,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
988,Léa,1395466032,['France'],[],[],?,2,3,6,3,,,8 kj(2 kcal),2,3,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989,Nesquik - Nestlé,32175059,['France'],[],[],?,10,0,1,1,,,42 kj(10 kcal),0,1,0,0,,,,,,,,,,,,,,,['Nestlé'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
990,Morbier EQC,0200281024935,['France'],[],[],?,?,?,?,?,,,,,,,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Morbiers']",,,,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991,Vin rouge les bastions,3270040312211,['France'],[],[],?,?,?,?,?,,,,,,,,D,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges']",,,,,,38.9%,16.2%,33.0%,8.1%,2.4%,1.3%,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
