,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,labels,traceability_code,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,quantity,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,packaging,manufacturing,allergens,nova_score,ingredients_origins,additives,link,generic_name,brand_owner
68,Miel de Châtaignier,3760299890252,['France'],[],[],?,?,?,?,?,,,,,,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de châtaignier']",,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Palets et Galettes - DV SAS,3555081148860,['France'],[],[],?,480,22,63,"6,6",['Fabriqué en France'],,2008 kj(480 kcal),14,27,1,"0,4",,,,,,,,,,,,,,,['DV SAS'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Bun Gao Rice Vermicel. 400g (reisnudeln),8934863339149,['France'],[],[],?,322,0,0,3,['Halal'],,1347 kj(322 kcal),0,0,"0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Grillades de porc à la provençale,2666155025589,['France'],[],[],?,248,20,"1,1",16,"['Viande Française', 'Viande Porcine Française', 'Point Vert']",,1038 kj(248 kcal),7,"0,8","0,79","0,316",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,6 crepes fraiches - 340g,3760036410446,['France'],[],[],?,262,"3,1","50,4","8,1",,"['FR 53.107.003 CE', 'Gorron (Mayenne, France)']",1096 kj(262 kcal),"0,76","12,4","0,9","0,36",,,,,,,,,,,,,,,,340 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Pesto Rosso,8015559570111,['France'],[],[],?,390,37,"6,5","4,9",,,1632 kj(390 kcal),"4,2",5,"3,2","1,28",C,"['Epicerie', 'Sauces', 'Sauces Pesto', 'Sauces Pesto Rosso']",,+8%,+11%,-23%,+22%,77.0%,10.9%,4.6%,4.2%,2.0%,1.4%,56,,,,37 g,en quantité élevée,4.2 g,en quantité modérée,5 g,en quantité modérée,3.2 g,en quantité élevée,+9%,-14%,-11%,+55%,+55%,19,+19%,E,+19%,,,,,,,,,
74,Bloc de foie de canard avec 50% de morceaux,2333560010287,['France'],[],[],?,247,57,2,"6,5",,,1033 kj(247 kcal),24,"1,5","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Sucettes au caramel - La Maison d'Armorine,3561770013081,['France'],[],[],?,437,"10,3","84,7","1,5","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,1828 kj(437 kcal),"6,3","63,9","0,6","0,24",,,,,,,,,,,,,,,"[""La Maison d'Armorine""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Lulu,3017760038539,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Crackers 3 Graines,3760166540037,['France'],[],[],?,413,12,63,11,,,1728 kj(413 kcal),"5,4","5,5",10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
