,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,traceability_code,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,packaging,labels,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,quantity,brand,markets,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins,manufacturing,allergens,nova_score,additives,link,generic_name,palm_ingredients
1619,Gouda Fruite,0275585021454,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1620,Jus de poire,3770014850010,['France'],[],[],?,49,"0,5","9,8","0,5",,205 kj(49 kcal),"0,1","8,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1621,Carawmel,8594183250953,['France'],[],[],?,533,"35,3","39,1","15,2",,2230 kj(533 kcal),"4,1","31,3","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1622,Donnut assortiment,0202719026894,['France'],[],[],?,436,27,39,"7,7",,1824 kj(436 kcal),14,25,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1623,Vinagre Paladin Vinho Tinto,5601517111163,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1624,TÄISSUITSUVORST,4740189053614,['France'],[],[],?,461,"40,4","1,2","23,1",,1929 kj(461 kcal),"16,6","0,9","3,2","1,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1625,Raisin bio,4260168010266,['France'],[],[],?,45,0,25,10,,188 kj(45 kcal),0,5,0,0,,"['Bio', 'Bio européen', 'IT-BIO-007']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1626,Sip sAp,4779031611313,['France'],[],[],?,20,0,5,0,,84 kj(20 kcal),0,"4,8",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1627,0208154006231,0208154006231,['France'],[],[],?,?,?,?,?,,,,,,,,['Point Vert'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1628,Le thé merveilleux - Palais des Thés,2700821001092,['France'],[],[],?,1,0,"0,2","0,1",,4 kj(1 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Palais des Thés'],,,,,,,,,,,,,,,,
1629,Parmentier de poisson écrasé de pommes de terre,3264295101751,['France'],[],[],?,129,"6,7","9,1","7,5",,540 kj(129 kcal),"4,4","1,4","0,85","0,34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630,Peanut butter banana - Clif,0722252316424,['France'],[],[],?,262,"44,1","4,41",10,,1096 kj(262 kcal),"0,24","0,59","0,66","0,264",,,,,,,,,,,,,,,,,,,,,,,,,,,,['Clif'],,,,,,,,,,,,,,,,
1631,Gouda de chevre,0204564022502,['France'],[],[],?,386,32,0,25,,1615 kj(386 kcal),22,0,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1632,Sauce noire à la truffe,8025386021496,['France'],[],[],?,359,36,"4,7","2,9",,1502 kj(359 kcal),"4,1","0,9","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1633,Cornetti al mais al gusto formaggio - Coop,8001120596802,['France'],[],[],?,502,26,59,"6,8",,2100 kj(502 kcal),"3,3","1,2","2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,['Coop'],,,,,,,,,,,,,,,,
1634,Crème de truffe,8025386021229,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1635,Via Emilia Irrinunciabile Macarons - 125g,8126790218875,['France'],[],[],?,462,23,52,"9,3",,1933 kj(462 kcal),"7,9",47,"0,18","0,072",,,"['Desserts', 'Biscuits et gâteaux', 'Pâtisseries', 'Macarons']",23 g,en quantité élevée,7.9 g,en quantité élevée,47 g,en quantité élevée,0.18 g,en faible quantité,,+8%,+9%,+29%,+75%,-6%,-7%,+9%,+26%,+26%,22,+25%,E,+25%,D,125 g,,,88.9%,5.7%,2.0%,2.2%,1.2%,0.0%,37,,,,,,,,
1636,base pour spritz,3394210005038,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1637,Purée de châtaignes sans sucre,3665186000052,['France'],[],[],?,102,"0,9","20,7","1,7",,427 kj(102 kcal),"0,18","3,9",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1638,Pain chocolat au beurre,3523000000957,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1639,Vipan baby,4001942007306,['France'],[],[],?,457,13,"0,1",2,,1912 kj(457 kcal),12,"0,1","0,4","0,16",,['Point Vert'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1640,Piment vert fort,3366507120151,['France'],[],[],?,26.7,"0,3","4,2","0,9",,112 kj(26 kcal),"0,1",0,"6,8","2,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1641,Fresubin Energie Drink,4051895004129,['France'],[],[],?,100,"5,8","18,8","5,6",,418 kj(100 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fresubin'],,,,,,,,,,,,,,,,
1642,Basil seed drink with stawberry flavor,8855044011978,['France'],[],[],?,110,0,28,0,,460 kj(110 kcal),0,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1643,Udon,4976774393005,['France'],[],[],?,333,"1,6","69,2","8,1",,1393 kj(333 kcal),"0,25","2,5","3,8","1,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1644,Pata negra NAVACASTAÑO,8437013496544,['France'],[],[],?,462,"36,4",1,"32,2",,1933 kj(462 kcal),"14,7","0,5","2,9","1,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1645,Thermo Speed,5901330077210,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1646,Good goût patate douce,3470002327264,['France'],[],[],?,88,0,19,"1,5",,368 kj(88 kcal),0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1647,Multivitamins,5056049512863,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1648,Gaufre liégeoise aux perles de sucre,3760250173684,['France'],[],[],?,467,"25,9","51,3","6,3",,1954 kj(467 kcal),"12,6","24,2","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649,beignets,,['France'],[],[],?,?,?,?,?,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1650,Sardine tomato sauce,6191458100290,['France'],[],[],?,0,?,?,?,,0 kj(0 kcal),,,,,,['Point Vert'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1651,Whey,000080534,['France'],[],[],?,417,"7,5","8,7","76,3",,1745 kj(417 kcal),5,"8,7","0,371","0,148",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1652,Farine de blé complète type 150,3770012967048,['France'],[],[],?,?,?,?,?,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-10', 'AB Agriculture Biologique']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de blé']",,,,,,,,,,,,,,,,,,,,,,,B,,,,77.8%,3.5%,0.0%,10.3%,8.3%,0.0%,97,,,,,,,,
1653,Grissini artigianali,3760787537218,['France'],[],[],?,442,11,73,11,,1849 kj(442 kcal),1,"2,9","2,1","0,84",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Gressins']",11 g,en quantité modérée,1 g,en faible quantité,2.9 g,en faible quantité,2.1 g,en quantité élevée,,+5%,+5%,+2%,-56%,+9%,+16%,-4%,+11%,+11%,14,+9%,D,+9%,B,,,,58.5%,23.6%,10.3%,6.6%,0.9%,0.0%,93,,,,,,,,
1654,Brioche à la coupe,0205946030764,['France'],[],[],?,0,?,?,?,,0 kj(0 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1655,Peanut bar,5201041026508,['France'],[],[],?,528,32,"41,5","18,6",,2209 kj(528 kcal),5,"23,6","9,01","3,604",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1656,Donut sucre,0250601017055,['France'],[],[],?,368,17,47,"5,5",,1540 kj(368 kcal),"8,9",10,"1,2","0,48",,,"['Biscuits et gâteaux', 'Gâteaux', 'Donuts']",17 g,en quantité modérée,8.9 g,en quantité élevée,10 g,en quantité modérée,1.2 g,en quantité modérée,,-10%,-10%,-25%,-16%,+5%,-40%,-7%,+26%,+26%,19,-3%,E,-3%,B,,,,65.3%,17.3%,8.4%,4.6%,4.4%,0.0%,87,,,,,,,,
1657,nourrishing protein,0735850718965,['France'],[],[],?,390,"5,8","17,8",2,,1632 kj(390 kcal),"1,7","7,3","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1658,Saucisson artisanal,19378335,['France'],[],[],?,454,37,4,27,,1900 kj(454 kcal),15,3,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1659,Corn Flakes,3356587234305,['France'],[],[],?,376,1,83,"7,7",,1573 kj(376 kcal),"0,2","3,6","1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1660,Huile d'olive -,3760281170829,['France'],[],[],?,900,100,0,0,,3766 kj(900 kcal),17,0,0,0,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",100 g,en quantité élevée,17 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,+5%,+5%,+5%,+21%,,,,-100%,-100%,7,+14%,C,+14%,D,,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,
1661,Coca mini sans sucres,5449000663788,['France'],[],[],?,0.30000001192093,0,0,0,,1 kj(0 kcal),0,0,"0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1662,Brie aux truffes,0206488055635,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1663,Shoku pan,3760044870027,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1664,Jus de pomme bio,3760074503032,['France'],[],[],?,?,?,?,?,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-09', 'Sans sucre ajouté']","['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de pomme']",,,,,,,,,,,,,,,,,,,,,,,B,,,,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,,,,,,,,
1665,Poulet,0253077013125,['France'],[],[],?,134,"6,9",0,18,,561 kj(134 kcal),"1,8",0,"0,2","0,08",['Film en plastique'],['Bleu Blanc Cœur'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1666,Comte,2411860041528,['France'],[],[],?,?,?,?,?,,,,,,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",,,,,,,,,,,,,,,,,,,,,,,D,,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,
1667,Epate en Bourgogne,3770009148016,['France'],[],[],?,2,0,0,5,,8 kj(2 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1668,Barre cereale specail K,54629035,['France'],[],[],?,394,6,67,"6,8",,1648 kj(394 kcal),"4,7",28,"0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1669,Pâte à tartiner banania,3700478003936,['France'],[],[],?,540,31,58,"5,6",,2259 kj(540 kcal),"6,2",54,"0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1670,Ananas yuzu cardamone,3228170022685,['France'],[],[],?,103,0,24,"0,5",,431 kj(103 kcal),0,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1671,Harmony - Cora,3257986695134,['France'],[],[],?,19,"0,5","4,2","0,5",,79 kj(19 kcal),"0,1","4,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Cora'],,,,,,,,,,,,,,,,
1672,Farine pois chiche,3760274682100,['France'],[],[],?,359,"6,69",47,"22,4",,1502 kj(359 kcal),"0,69","10,9","0,16","0,064",,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1673,Poulpe,8436560590088,['France'],[],[],?,88,1,"2,1",20,,368 kj(88 kcal),"0,2","0,5",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1674,Nougat,8412080001389,['France'],[],[],?,400,7,78,4,,1674 kj(400 kcal),"0,5",68,,,,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Nougats']",7 g,en quantité modérée,0.5 g,en faible quantité,68 g,en quantité élevée,,,,-11%,-10%,-58%,-75%,+19%,+25%,-44%,,,,,,,E,,,,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,,,
1675,Câpres au sel,3272970120003,['France'],[],[],?,20.2,"0,5",1,"2,8",,85 kj(20 kcal),0,1,30,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1676,Organic Original Hummus,0099482488307,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677,Confiture,6388953258469,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678,Tomme savoie Igor 29% PP,2489455025192,['France'],[],[],?,?,?,?,?,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679,Filet de poulet,2227365065408,['France'],[],[],?,?,?,?,?,,,,,,,,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,,,,,,,,,,,,,,,,,,D,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,
1680,Itchebai brebis et chèvre,2804476022171,['France'],[],[],?,0,?,?,?,,0 kj(0 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1681,Banane,0208010004791,['France'],[],[],?,89,"0,3","19,6","1,1",,372 kj(89 kcal),"0,099","14,8",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1682,Oignon,9327072005896,['France'],[],[],?,0,?,?,?,,0 kj(0 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683,Rillettes de saint jacques - Pêcheurs d'Islande,3760025370171,['France'],[],[],?,126.90000152588,7,"0,8",13,,531 kj(126 kcal),"4,6","0,8","0,94","0,376",,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""Pêcheurs d'Islande""]",,,,,,,,,,,,,,,,
1684,Anjou,3222472049999,['France'],[],[],?,?,?,?,?,,,,,0,0,['Bouteille en verre'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1685,Saucisse sèche pur porc perche,0208104017515,['France'],[],[],?,324,24,4,23,,1356 kj(324 kcal),13,"3,8",4,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686,"Bulgur,Mittel Grob",8691440505006,['France'],[],[],?,347,"1,7","69,4",11,,1452 kj(347 kcal),"0,3","2,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1687,Falooda drink pistache,5060471600272,['France'],[],[],?,81,"2,5","13,5","1,2",,339 kj(81 kcal),"0,9","7,2",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688,Pomme Framboise,9700269311169,['France'],[],[],?,45,"0,3","9,7","0,4",,188 kj(45 kcal),0,"8,7",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689,Brie de meaux,0253143028275,['France'],[],[],?,?,?,?,?,,,,,,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Fromages de France', 'Bries', 'Brie de Meaux']",,,,,,,,,,,,,,,,,,,,,,,D,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,
1690,Morceaux choisis de poulet recette mexicaine,0215674028018,['France'],[],[],?,?,?,?,?,,,,,,,,"['Nutriscore', 'Nutriscore C']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1691,Fruité de framboise,3706200001881,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692,Veggie salad & sauce au gorgonzola,0748367061479,['France'],[],[],?,68,3,5,3,,285 kj(68 kcal),1,3,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1693,Graines de courges,3393823324710,['France'],[],[],?,570,"45,2","1,2","36,4",,2385 kj(570 kcal),"8,8","1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1694,Poitrine plate decouennee des pyrenees,8413107005328,['France'],[],[],?,240,"12,8",1,"30,3",,1004 kj(240 kcal),"2,9","0,5","2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1695,Mélange aperitif - Alesto,03154530,['France'],[],[],?,462,24,47,10,,1933 kj(462 kcal),"6,1",37,"0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,['Alesto'],,,,,,,,,,,,,,,,
1696,Aiguillette de poulet,0213329032403,['France'],[],[],?,105,"1,3","0,4",23,"['FR 79.185.003 CE', 'Mougon (Deux-Sèvres, France)']",439 kj(105 kcal),"0,4","0,074","0,11","0,044",,,"['Viandes', 'Volailles', 'Poulets', 'Aiguillettes de poulet']",1.3 g,en faible quantité,0.4 g,en faible quantité,0.074 g,en faible quantité,0.11 g,en faible quantité,,-17%,-16%,-30%,-16%,-56%,-75%,+1%,-75%,-75%,-4,,A,,D,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,
1697,Saucisson sec de l’ile de beauté,2658962054319,['France'],[],[],?,381,28,"0,6",33,,1594 kj(381 kcal),12,0,"5,2","2,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1698,Bruschetta Savoyarde,0209949029527,['France'],[],[],?,195,6,23,"8,5",,816 kj(195 kcal),"3,1",2,"0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699,Brassé banane,3288130540987,['France'],[],[],?,69,"0,7","13,3","1,5",,289 kj(69 kcal),"0,2","6,7",,,,"['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1700,Protéine de chanvre,3701298100034,['France'],[],[],?,395,12,20,50,,1653 kj(395 kcal),"1,6","4,5",0,0,,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1701,Ravioli mozzarella e pomodoro,8022230061578,['France'],[],[],?,269,"7,2",39,10,,1125 kj(269 kcal),"3,6","2,2",2,"0,8",,"['Bio', 'Bio européen', 'IT-BIO-006']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702,Bière,3760032530162,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703,Lard paysan,2485078030377,['France'],[],[],?,313,28,"0,9",15,"['FR 70.093.001 CE', 'Breuches (Haute-Saône, France)']",1310 kj(313 kcal),11,"0,7","2,8","1,12","['Barquette', 'Film en plastique', 'Etui en carton']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1704,Chorizo a griller,2273337039823,['France'],[],[],?,217,16,"2,2",16,,908 kj(217 kcal),"6,3","0,9","1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1705,Gouda hollande igp,2287220002245,['France'],[],[],?,484,35,0,27,,2025 kj(484 kcal),24,0,"2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1706,Saumon aux algues - L'Atelier du Poissonnier,3760007091520,['France'],[],[],?,220.80000305176,"18,3","1,7","11,9",,924 kj(220 kcal),"9,3","1,5","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""L'Atelier du Poissonnier""]",,,,,,,,,,,,,,,,
1707,Fripon chocolat,0205109016406,['France'],[],[],?,0,?,?,?,,0 kj(0 kcal),,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1708,Crousty Chocoyo,3770011732388,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1709,Petit salé,2677618032549,['France'],[],[],?,262,21,0,19,,1096 kj(262 kcal),"1,2",0,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1710,Ribs à griller,2874028054189,['France'],[],[],?,290,24,"1,9",17,,1213 kj(290 kcal),10,"1,9","0,64","0,256",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1711,Escalope extrafine de dinde,2201275013582,['France'],[],[],?,114,2,0,25,,477 kj(114 kcal),"0,7",0,"0,1","0,04",['Film en plastique'],,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",2 g,en faible quantité,0.7 g,en faible quantité,0 g,en faible quantité,0.1 g,en faible quantité,,-6%,-5%,+52%,+74%,-100%,-100%,+9%,-82%,-82%,-4,,A,,D,,,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,
1712,Jambon blanc,2408515032345,['France'],[],[],?,188,11,0,22,,787 kj(188 kcal),"4,6",0,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1713,Miel de creuse,3760239753128,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1714,Beurre,5411873181263,['France'],[],[],?,725,80,"0,6","0,6",,3033 kj(725 kcal),"48,5","0,6","2,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1715,Supreme de langoustine,3272640020039,['France'],[],[],?,53,"2,3","2,5","5,2",,222 kj(53 kcal),"1,1","1,9","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1716,6 galettes fraîches + 1 offerte,3760038930041,['France'],[],[],?,171,"1,7","33,2","5,9",,715 kj(171 kcal),"0,3","0,7","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1717,Jambon à l’Ancienne - Tallec,2264757042517,['France'],[],[],?,161,"7,9","0,5",22,"['EMB 23004', 'Anzême (Creuse, France)']",674 kj(161 kcal),"2,9","0,5","1,9","0,76",,,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', ""Jambons cuits à l'ancienne""]",7.9 g,en quantité modérée,2.9 g,en quantité modérée,0.5 g,en faible quantité,1.9 g,en quantité élevée,,+6%,+6%,+28%,+20%,+1%,+3%,-1%,-3%,-3%,12,+23%,D,+23%,E,,['Tallec'],,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,,,,,,
1718,Fromage du pays de Retz,3373670000074,['France'],[],[],?,315,25,"0,5",22,,1318 kj(315 kcal),"16,7","0,5","1,7","0,68",,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",25 g,en quantité élevée,16.7 g,en quantité élevée,0.5 g,en faible quantité,1.7 g,en quantité élevée,,-4%,-4%,-6%,-6%,-59%,-33%,+8%,+31%,+31%,15,+9%,D,+9%,D,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,
1719,Big bowl lobster flavor,8801073211438,['France'],[],[],?,400,13,65,8,,1674 kj(400 kcal),6,3,"3,9","1,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1720,Ribs de porc,0210998040470,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1721,Nougat au miel  de bretagne,3770011407248,['France'],[],[],?,491.89999389648,"25,7",53,"4,2",,2058 kj(491 kcal),"1,9","51,7",0,0,,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Nougats']",25.7 g,en quantité élevée,1.9 g,en quantité modérée,51.7 g,en quantité élevée,0 g,en faible quantité,,+10%,+10%,+56%,-4%,-19%,-5%,-41%,-100%,-100%,17,+6%,D,+6%,E,,,,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,,,
1722,Lamelles de kebab,19024875,['France'],[],[],?,603,"5,6",7,16,,2523 kj(603 kcal),"1,3","3,5","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
