,name,bar_code,eco_score,quantity,brand,categories,labels,ingredients_origins,sales_countries,ingredients_list,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,generic_name,packaging,manufacturing,additives,markets,allergens,link,palm_ingredients,producer_info
31,"Entremets Façon Sushi : Saumon, Riz Vinaigré et Tartare d'Algues - Guyader - 540g",3276770243412,,540 g,"['Guyader', 'Guyader Gastronomie', 'Guyader Gamme Professionnelle']","['Plats préparés', 'Plats préparés au poisson', 'Réfrigérés', 'Entrées', 'Entrées froides']","['Fabriqué en France', 'en:produced-in-bretagne', 'Produits destinés aux professionnels']",,['France'],"['Riz rond cuit ', '32,5 %', 'saumon ', '28 %', 'surimi ', 'chair de poissons', 'sucre', 'stabilisant : sorbitol', ""blanc d'œuf"", 'eau', 'tartare ď algues ', '5% ', ' ', 'algues ', 'Laitue de mer', 'Dulse', 'Haricots de mer', "" huile d'olive"", 'câpres ', 'câpres', 'vinaigre', 'eau', 'sel', 'cornichons ', 'cornichons', 'eau', ""vinaigre d'alcool"", 'sel', 'conservateur : disulfite de sodium', 'échalotes', ' oignons', ' huile de noix', 'ail', 'vinaigre de riz ', '3,5 %', 'crème fraîche', 'lait', 'laitue de mer', 'tapioca', 'huile de colza', 'jus de citron', 'gélifiants : E407 - E410 - E415', 'sel', 'dextrose', 'arômes ', 'poisson', 'sucre', 'fécule de pomme de terre', 'protéines de soja', 'feuille de nori', 'protéines de lait', 'farine de blé', 'wakamé', 'fibres de pousse de bambou', 'ail']","['Non végétalien', 'Non végétarien']",4,6.2 g,en quantité modérée,1.4 g,en faible quantité,1.2 g,en faible quantité,0.9 g,en quantité modérée,?,,141,+23%,590 kj(141 kcal),+20%,"6,2",-13%,"1,4",+72%,12,+57%,"1,2",-50%,"9,1",+157%,"0,9",+0%,"0,36",+0%,0,-100%,B,-100%,,,,,,,,,"Préparation à base de riz vinaigré, saumon, et tartare d'algues. - Entremets Façon Sushi : Saumon, Riz Vinaigré et Tartare d'Algues","['Frais', 'Carton', 'Plastique']","['France', 'Bretagne', 'Landrévarzec']","['E420 - Sorbitol', 'E223 - Disulfite de sodium', '', 'Risque élevé de sur-exposition', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E410 - Gomme de caroube', 'E415 - Gomme xanthane']",,"['Œufs', 'Poisson', 'Gluten', 'Lait', 'Fruits à coque', 'Soja', 'Anhydride sulfureux et sulfites', 'Surimi']",,,
32,Noix de saint Jacques pomme et vinaigre - Guyader - 120g,3276770243467,,120g,['Guyader'],"['Produits à tartiner', 'Produits à tartiner salés']","['en:gluten-free', 'FACE']",,['France'],"['chair de POISSONS ', '33,5%', 'eau', 'noix de SAINT-JACQUES"" ', '12%', 'huile de colza', 'pommes ', 'pommes - acidifiant: acide citrique - antioxydant : acide ascorbique', ' ', '9,5%', 'échalotes', 'BEURRE', 'carottes', 'farine de BLÉ', 'vinaigre de cidre ', '19%', 'protéines de LAIT', 'sel', 'persil', 'dextrose', 'épaississant : gomme xanthane', 'arômes', 'ail', ' Traces éventuelles de : celeri', 'crustacés', 'fruits à Coques', 'lupin', 'moutarde', 'oeuf', 'graines de sésame', 'soja', 'sulfites', '*Amusum permet Agopecten purpuratus', 'Chlamys albidus', 'Chlamys circularis', 'Chlamys išandia', 'Glama edi Pecten maximus', 'Placopecten magellanicus', 'Zygochlamys patogónia', 'Origne Peu', 'Hape Rusie Ecose', 'Face', 'le Froe le de Man', 'Rojaume-Un', 'USA', 'Argentné Ungay', 'indoor St lacobsnoten appels en diderazi Beroiding baci']","['Non végétalien', 'Non végétarien']",4,13.8 g,en quantité modérée,3.3 g,en quantité modérée,1.6 g,en faible quantité,1.1 g,en quantité modérée,?,,175,-41%,732 kj(175 kcal),-40%,"13,8",-47%,"3,3",-57%,"3,6",+3%,"1,6",+26%,"8,4",-4%,"1,1",-17%,"0,44",-17%,4,-68%,C,-68%,,,,,,,,,,,,"['E330 - Acide citrique', 'E300 - Acide ascorbique', 'E415 - Gomme xanthane']",,"['Poisson', 'Gluten', 'Lait', 'Mollusques']",,,
33,Compotée de poivrons rouges et son fromage au piment - Guyader,3276770243559,,,['Guyader'],,,,['France'],[],[],,,,,,,,,,?,,143,,598 kj(143 kcal),,"10,8",,"2,4",,"8,7",,"6,2",,3,,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,,
34,Thon et compotée de légumes du soleil - Guyader,3276770243573,,,['Guyader'],,,,['France'],[],[],,,,,,,,,,?,,460,,1925 kj(460 kcal),,"7,8",,1,,"4,7",,"3,9",,4,,"1,24",,"0,496",,,,,,,,,,,,,,,,,,,,,,
35,Cake chorizo/poivron rouge - Guyader,3276770243900,,,['Guyader'],,,,['France'],[],[],,,,,,,,,,?,,311,,1301 kj(311 kcal),,22,,"6,3",,18,,"3,2",,11,,2,,"0,8",,,,,,,,,,,,,,,,,,,,,,
36,Mon p'tit pain de thon - Guyader,3276770243993,,,['Guyader'],,,,['France'],"['THON listao 256 OEUFS', 'IIT', 'CREME Îquide', 'poi?orus rouges etjaunes', 'tomates pelées conasées ', 't0fT* pelées conasées jus de tomates', 'sel', 'acidifiant : acide citrique', 'affermÉsant : chlorure de calcium', ' 6,506 courgettes fibres de poise de fame de BLE', 'dextrose', 'sel', 'échalotes géftnts : et faine de graine de caroube', ""huile d'olive"", 'bagTlC pers]', 'ail', 'arôme Agent de démoulage : huile végétale de colz agent épaSiwt : cire de carnauba', 'émulsifiant : lécifrine de SOJA Traz de : céleri', 'crustacés', 'fruits à coques', 'graines de sésame', 'lupin', 'mollusques', 'moutarde', 'sulfites', 'Produit conditionné sous atmosphère protectrice']","['Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,155,,649 kj(155 kcal),,"7,6",,"3,8",,"4,3",,"3,1",,15,,"2,2",,"0,88",,,,,,,,,,,,,,,,,"['E330 - Acide citrique', 'E903 - Cire de carnauba']",,"['Crustacés', 'Œufs', 'Poisson', 'Gluten', 'Lupin', 'Lait', 'Mollusques', 'Moutarde', 'Fruits à coque', 'Graines de sésame', 'Soja', 'Anhydride sulfureux et sulfites']",,,
37,La terrine de truite de Bretagne aux amandes - Guyader - 350g,3276770244013,,350 g,['Guyader'],"['Terrines', 'Terrines de poisson']","['Point Vert', 'en:produced-in-bretagne']",,['France'],"['TRUITE ', '28,5 %', 'eau', ""COLIN d'ALASKA "", '10,5 %', 'huile de colza', 'TRUITE fumée ', 'TRUITE', 'sel', ' CRÈME fraîche', 'courgettes', 'double concentré de tomate', 'tapioca', 'AMANDES', ""blanc d'ŒUF"", 'carottes', 'dextrose', 'fécule de pomme de terre', 'gélifiants : carraghénanes et farine de graine de caroube', 'protéines de LAIT', 'échalotes', 'sel', 'fumet de POISSONS ', 'arômes naturels', 'maltodextrine', 'sel', 'POISSON en poudre', 'LACTOSE', 'extrait de vin blanc', 'zestes de citron', 'jus concentré de carottes', 'poivre', 'ciboulette']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,17 g,en quantité modérée,2.8 g,en quantité modérée,1.8 g,en faible quantité,1.18 g,en quantité modérée,?,,216,+7%,904 kj(216 kcal),+7%,17,+13%,"2,8",-29%,4,+2%,"1,8",+36%,11,-4%,"1,175",+0%,"0,47",+0%,3,-60%,C,-60%,,,,,,,,,,"['Frais', 'Carton', 'Plastique']","['Bretagne', 'France']","['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E410 - Gomme de caroube']",,"['Œufs', 'Poisson', 'Lait', 'Fruits à coque']",,,
38,Saumon au tartare d'algues - Guyader,3276770244235,,,['Guyader'],,,,['France'],[],[],,,,,,,,,,?,,300,,1255 kj(300 kcal),,28,,"2,9",,"4,4",,"1,5",,"7,8",,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,,
39,Calamar aux tomates confites - Guyader,3276770244259,,,['Guyader'],,,,['France'],[],[],,,,,,,,,,?,,190,,795 kj(190 kcal),,14,,"3,1",,"8,1",,"5,6",,"5,8",,17,,"6,8",,,,,,,,,,,,,,,,,,,,,,
40,Entremets Saint-Jacques & Bloc de Foie Gras - Guyader - 120g,3276770244754,,120 g,['Guyader'],"['Plats préparés', 'Terrines', 'Entrées', 'Entrées froides', 'Terrines de Saint-Jacques']",['Fabriqué en France'],,['France'],"['Noix de SAINT-JACQUES ', '25 %', 'bloc de foie gras de canard ', 'foie gras de canard', 'eau', 'Armagnac', 'sel', 'sucre', 'poivre', 'antioxydant : ascorbate de sodium', 'conservateur : nitrite de sodium', ' ', '22,9 %', ""COLIN d'Alaska"", 'eau', 'huile de colza', 'épinards', 'surimi ', 'chair de POISSONS', 'sucre', 'sorbitol', ""blanc d'ŒUF"", 'carottes', 'CRÈME fraîche', 'tapioca', 'fécule de pomme de terre', 'sel', 'gélifiants : carraghénanes et farine de graines de caroube', 'ciboulette', 'arômes ', 'contient POISSONS', 'CRUSTACÉS', 'dextrose', 'poivre']","['Non végétalien', 'Non végétarien']",4,20 g,en quantité modérée,5.8 g,en quantité élevée,1.2 g,en faible quantité,,,954,+30%,?,,954 kj(228 kcal),+32%,20,+59%,"5,8",+111%,"5,3",+13%,"1,2",-26%,?,,,,,,,,,,,,,,,,,"['FR 56.094.012 CE', 'Kervignac (Morbihan, France)']",,"['Frais', 'Plastique']","['France', 'Bretagne']","['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E420 - Sorbitol', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E410 - Gomme de caroube']",['Carrefour'],"['Crustacés', 'Œufs', 'Poisson', 'Lait', 'Mollusques']",,,
41,Guyader,3276770244853,,,['Guyader'],,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Cake saumon fume bio - Guyader,3276770244938,,,['Guyader'],,,,['France'],[],[],,,,,,,,,,?,,295,,1234 kj(295 kcal),,20,,"4,3",,13,,"2,4",,16,,"1,8",,"0,72",,,,,,,,,,,,,,,,,,,,,,
43,Mini cake traiteur poulet curry - Guyader,3276770245270,,,['Guyader'],,,,['France'],[],[],,,,,,,,,,?,,262,,1096 kj(262 kcal),,16,,"3,5",,15,,"3,1",,14,,"1,8",,"0,72",,,,,,,,,,,,,,,,,,,,,,
44,Cake Tranché tomates marinées féta - Guyader,3276770245522,,,['Guyader'],"['Snacks', 'Snacks salés', 'Cake aux legumes']",,,['France'],[],[],,21 g,en quantité élevée,5.7 g,en quantité élevée,4.5 g,en faible quantité,1.5 g,en quantité modérée,?,,305,+13%,1276 kj(305 kcal),+14%,21,+16%,"5,7",+33%,17,+4%,"4,5",+31%,11,+26%,"1,5",+9%,"0,6",+9%,14,+28%,D,+28%,,,,,,,,,,,,,,,,,
45,Cake courgette chevre - Guyader,3276770245591,,,['Guyader'],"['Snacks', 'Snacks salés', 'Cake aux legumes']",,,['France'],[],[],,20 g,en quantité modérée,3.5 g,en quantité modérée,4.4 g,en faible quantité,1.4 g,en quantité modérée,?,,286,+6%,1197 kj(286 kcal),+7%,20,+10%,"3,5",-19%,15,-9%,"4,4",+28%,7,-20%,"1,4",+2%,"0,56",+2%,12,+10%,D,+10%,,,,,,,,,,,,,,,,,
46,Petit plat vegetal curry de potiron et riz - Guyader,3276770280004,,,['Guyader'],,"['en:gluten-free', 'Sans lactose']",,['France'],"['potiron ', '28', '5%', 'riz cuit ', '21', '5%', ' ', 'eau', 'riz', 'huile végétale de tournesol ou de colza', 'eau', 'oignons', 'lait de coco ', 'extrait noix de coco 60%', 'eau ', 'pois chiche ', 'pois chiche', 'sel', ""huile d'olive"", 'vinaigre', 'ai farine de riz complet', 'jus de citron jaune', 'sel', 'persil', 'farine de haricot blanc', 'curry ', 'curcuma', ' coriandre', 'MOUTARDE', 'fenugrec', 'cumin', ' piment huile de colza', 'fécule de pommè de terre', ' p ment f9rWpoivre', 'coriandre', ' Traces éventuelles de', 'céleri', ' céréales', 'crustacés', 'fruits à coques', 'graines de sésame', 'lait', 'lupin', 'mollusques', 'oeufs', 'poissons', ' soja', 'sulfites']","['Non végétalien', 'Non végétarien']",,,,,,,,,,?,,122,,510 kj(122 kcal),,"5,7",,"0,8",,13,,"1,7",,"2,9",,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,['Moutarde'],,,
47,Plat Végétal Carottes Lentilles aux Epices douces - Guyader,3276770280011,,,['Guyader'],,,,['France'],[],[],,,,,,,,,,?,,116,,485 kj(116 kcal),,"4,3",,"0,8",,11,,"2,1",,"4,9",,"0,9",,"0,36",,,,,,,,,,,,,,,,,,,,,,
48,Tajine petits legumes et raisins secs - Guyader,3276770280028,,,['Guyader'],"['Plats préparés', 'Légumes préparés', 'Tajine']",['en:gluten-free'],,['France'],"['pomimes de terre ', '27,5%', 'poivrons rouges et jaunes ', '13,5%', 'eau', 'pois chiche ', 'pois chiche', 'sel', ' ', '9,2%', 'cOL rgettes ', '8,3%', 'auhergines', '8,3%', 'échalotes', 'oignons', 'raisins secs ', 'raisins secs 99,5%', 'huile de colza ou huile de coton', ' ', '2%', ""thuile d'olive"", 'vinaigre', 'ail', 'graine de SESAME', 'farine de riz complet', 'persil', 'sel', 'farine de haricot blanc', 'huile de colza', 'fécule de pomme de terre', 'curnin', 'coriandre', 'poivre', 'piment', 'Traces éventuelles de cél eri', 'céréales', 'crustacés', 'fruits à coques', 'lait', 'lupin', 'mollusques', 'moutarde', 'oeufs', 'poissons', 'soja', 'sulfites']","['Non végétalien', 'Non végétarien']",3,4.1 g,en quantité modérée,0.6 g,en faible quantité,5.3 g,en quantité modérée,1.3 g,en quantité modérée,?,,105,+13%,439 kj(105 kcal),+11%,"4,1",+17%,"0,6",-2%,12,+21%,"5,3",+22%,"2,6",-27%,"1,3",+65%,"0,52",+65%,-3,-15973%,A,-15973%,,,,,,,,,,,,,,['Graines de sésame'],,,
49,Cake chevre et basilic sans gluten - Guyader - 260g,3276770280042,,260 g,['Guyader'],"['Plats préparés', 'Tartes', 'Pizzas tartes salées et quiches', 'Tartes salées', 'Réfrigérés', 'Entrées', 'en:savoury-cake-with-cheese-vegetables-meat-fish-poultry']","['en:gluten-free', 'Peu de gluten']",,['France'],"['ŒUFS', 'courgettes', 'LAIT', 'EMMENTAL', 'huile de colza', 'farine de riz', 'FROMAGE de chèvre ', '7 %', 'préparation de tomates ', 'tomates 90 %', 'huile de colza', 'sel', 'ail', 'origan', 'farine de haricot blanc', 'BEURRE', 'poudre à lever : E450i-E500ii', 'fibres pousses de bambou', 'vin blanc', 'sel', 'sucre', 'basilic ', '0,3 %', 'poivre', 'persil']",['Non végétalien'],4,19 g,en quantité modérée,5.4 g,en quantité élevée,2.1 g,en faible quantité,1.4 g,en quantité modérée,?,,265,-10%,1109 kj(265 kcal),-10%,19,-3%,"5,4",+14%,13,-18%,"2,1",-21%,"9,2",-16%,"1,4",-7%,"0,56",-7%,1,-91%,B,-91%,,,,,,,,"['FR 56.094.001 CE', 'Kervignac (Morbihan, France)']",,"['Frais', 'Plastique', 'Sachet', 'Carton']",['France'],"['E450i - Pyrophosphate de sodium acide', 'E500ii - Carbonate acide de sodium']",['Auchan'],"['Œufs', 'Lait']",,,
50,Cake tomates et chorizo à très faible teneur en gluten - Guyader,3276770280059,,,['Guyader'],,['en:gluten-free'],,['France'],"['TOMATES ET CHORIZO A TRES FAIBLE TE EN GLUTEN - 260G ng EllFS LAIT,huile colza,tomate pelée concassée ', 'toi nates', ' pelées,jus tomates', 'sel,acidifiant:acide citrique', 'affl mis chlorure calcium', ' ', '1 U E', ' ', 'maigre porc,gras porc: sel', 'dextrose', 'piment e ices ct ', 'f', 'lrails épiceqierm 096', ' F', ""M P/lEN'lALtfarine de riz blanc,préparation tomates"", 'tomate ln i', ' séch lie', 'huile de colza', 'seL', 'ail', 'origan', '8,2%', ',farine de litiliq', ""ct't tilanc"", 'fibres pousse de bambou', 'poudre à lever : i!chalotes', 'sel', 'sucre', ""huile d'olive"", 'poivre', 'liti! ilic', 'persil', 'ail', ' Traces éventuelles de céleri', 'ceréales', 's', 'à coques', 'graines de sésame', 'lupin', 'moutarde,poissons', 'soia,sulfites', ' Ita eurs nutritionn elles pour 1 00g: Énergie: 1261 Kj/']","['Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,304,,1272 kj(304 kcal),,23,,5,,14,,"2,4",,10,,"1,8",,"0,72",,,,,,,,,,,,,,,,,['E330 - Acide citrique'],,"['Gluten', 'Lait']",,,
51,Cake jambon & emmental sans gluten - Guyader - 260g,3276770280066,,260 g,['Guyader'],['Traiteur'],['en:gluten-free'],,['France'],"['jambon cuit supérieur de porc 91%', 'eau', 'sel', 'arômes naturels', 'dextrose ou c']",[],4,21 g,en quantité élevée,6 g,en quantité élevée,1.9 g,en faible quantité,1.3 g,en quantité modérée,?,,299,+29%,1251 kj(299 kcal),+29%,21,+123%,6,+71%,12,-52%,"1,9",-13%,16,+68%,"1,3",+21%,"0,52",+21%,10,+87%,C,+87%,,,,,,,,"['FR 56.034.001 CE', 'Carnac (Morbihan, France)']",,['barquette carton alimentaire'],['29510 Landrevarzec'],,['Leclerc'],"['Œufs', 'Lait']",,,
52,Cake préparé legumes - Guyader,3276770280073,,,['Guyader'],"['Snacks', 'Snacks salés', 'Cake aux legumes']",['en:gluten-free'],,['France'],[],[],,20 g,en quantité modérée,3.4 g,en quantité modérée,4 g,en faible quantité,1.5 g,en quantité modérée,?,,273,+1%,1142 kj(273 kcal),+2%,20,+10%,"3,4",-21%,14,-15%,4,+16%,7,-20%,"1,5",+9%,"0,6",+9%,8,-27%,C,-27%,,,,,,,,,,,,,,"['Œufs', 'Gluten', 'Lait']",,,
53,Soupe vegetale Bio Carotte&Lait de coco - Guyader,3276770280110,,,['Guyader'],,['Bio'],,['France'],"[""de préparaüon : Oter l'opercule et réchauffer rtlfi3ûtü micro-ondes à à base de 900 C'est prêt à déguster ! et de lait de cateotte• "", '29,5%', ' lait de coco* ', '9,5%', 'rizpmptqt*', ""huiledecofa'jsiropeç"", 'tsg de haricots sel féculp', ""ds pomme de céréal'econtenant gun 3"", 'fruits lupin', 'mlluswesîrnoutar e', 'Œufs', 'poison', 'graines de sésame', 'soja', ""selfitese *Ingrédients issus de !'agriculture bio/os"", 'que', ' Infomy3ns liftiüonnelLes pour 100 g : /']","['Non végétalien', 'Non végétarien']",,,,,,,,,,?,,54,,226 kj(54 kcal),,"3,9",,2,,"2,7",,"2,2",,"0,6",,"0,36",,"0,144",,,,,,,,,,,,,,,,,,,"['Œufs', 'Graines de sésame', 'Soja']",,,
54,Soupe vegetale bio - Guyader,3276770280127,,,['Guyader'],,,,['France'],[],[],,,,,,,,,,?,,33,,138 kj(33 kcal),,"1,9",,"0,3",,"2,1",,"1,3",,"0,5",,"0,35",,"0,14",,,,,,,,,,,,,,,,,,,,,,
55,Soupe carotte lait de coco -,3276770280158,E,,,"['Produits laitiers', 'Desserts', 'Biscuits et gâteaux', 'Desserts lactés', 'Pâtisseries', 'Tiramisu']","['Bio', 'Bio européen', 'IT-BIO-007']",,['France'],[],[],,3.9 g,en quantité modérée,2 g,en quantité modérée,2.2 g,en faible quantité,0.36 g,en quantité modérée,?,,54,-79%,226 kj(54 kcal),-79%,"3,9",-67%,2,-75%,"2,7",-92%,"2,2",-90%,"0,6",-86%,"0,36",+106%,"0,144",+106%,2,-85%,B,-85%,84.5%,12.9%,0.8%,1.3%,0.4%,0.1%,11,,,,,,,,,,
56,Soupe Bio Butternut oignon et huile d'olive - Le jardin d'Harmonie,3276770280165,,,"[""Le jardin d'Harmonie""]",,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,['France'],"['Eau', '27%', 'carotte*', 'Oignon* ', '75%', ""huile d'olive* "", 'l ', '5%', 'ail*', 'farine de riz complet*', 'huile de colza*', 'farine de haricots blancs*', 'sel', 'fécule de pomme de terre*', 'Traces éventuelles de : céleri', 'céréales contenant du gluten', 'crustacés', 'fruits à coques', 'lait', 'lupin', 'mollusques', 'moutarde', 'œufs', 'poisson', 'graines de sésame', 'soja', 'sulfites', "" *Ingrédients issus de l'agriculture biologique,""]",[],,,,,,,,,,?,,33,,138 kj(33 kcal),,"1,9",,"0,3",,"2,1",,"1,3",,"0,5",,"0,35",,"0,14",,,,,,,,,,,,,,,,,,,,,,
57,Soupe bio poivron rouge,3276770280172,,,,,,,['France'],[],[],,,,,,,,,,?,,46,,192 kj(46 kcal),,"2,7",,"0,4",,"4,3",,"1,9",,"0,7",,"0,35",,"0,14",,,,,,,,,,,,,,,,,,,,,,
58,Soupe froide bio - poivron jaune & gingembre,3276770280615,,,,,['Bio'],,['France'],[],[],,,,,,,,,,?,,46,,192 kj(46 kcal),,"2,5",,"0,3",,"4,9",,"4,8",,"0,7",,"0,63",,"0,252",,,,,,,,,,,,,,,,,,,,,,
59,Soupe froide bio,3276770280622,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,['France'],[],[],,,,,,,,,,?,,254,,1063 kj(254 kcal),,"3,5",,"0,5",,"5,9",,"4,4",,"1,1",,"0,37",,"0,148",,,,,,,,,,,,,,,,,,,,,,
60,Potager malin - Tomate et vermicelles,3276811366384,,,,,,,['France'],[],[],,,,,,,,,,?,,37,,155 kj(37 kcal),,"0,8",,"0,4",,"6,1",,"3,3",,"1,1",,"0,68",,"0,272",,,,,,,,,,,,,,,,,,,,,,
61,Lor Nougat Barre,3276842005719,,,,,,,['France'],[],[],,,,,,,,,,?,,410,,1715 kj(410 kcal),,8,,"0,7",,"79,2",,"68,9",,"4,4",,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,,,,
62,Brioche au sucre - Regnier - 400g,3276861402339,B,400 g,['Regnier'],"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Pains briochés']",,,['France'],"['Farine de BLE CEUFS entiers', 'beurre 9,8 % ', 'LAIT', 'eau', 'suore perle 7%', 'sucre 5,3%', 'sucre inverti 5', '3%', ' levure', 'gluten de BLÉ', ""émulsifiants: mono - et diglycérides d'acides gras"", 'stéaroyl-2-lactylate de sodium', ' sel', 'conservateur: propionate de calcium', ' arôme naturel de vanille ', 'LAIT', 'colorant: caroténoides', ' farine de BLE malté', 'agent de traitement de la farine: acide ascorbique', ' Traces possibles de soja', 'sésame', 'poissons', 'crustacés', 'mollusques', 'moutardes', 'celeri', 'fruits à Coques']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,12 g,en quantité modérée,8 g,en quantité élevée,16 g,en quantité élevée,0.27 g,en faible quantité,1464,+3%,350,+7%,1464 kj(350 kcal),+7%,12,+30%,8,+145%,50,-1%,16,+51%,"9,5",+12%,"0,27",-74%,"0,108",-74%,15,+61%,D,+61%,71.4%,16.0%,8.3%,3.7%,0.6%,0.0%,82,,,,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E481 - Stéaroyl-2-lactylate de sodium', '', 'Risque élevé de sur-exposition', 'E282 - Propionate de calcium', 'E160 - Caroténoïdes', 'E300 - Acide ascorbique']",,"['Gluten', 'Lait']",,,
63,Le Croquansel aux Éclats de Caramel - La Galette Goulebenèze - 300g,3276990000062,C,300 g,['La Galette Goulebenèze'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",['Pur beurre'],,['France'],"['Farine de froment', 'sucre roux 22 %', 'beurre 22%', 'éclats de caramel 8 % ', 'sirop de glucose', 'sucre', 'lait concentré sucré', 'beurre et beurre salé', 'sel', ' œufs entiers', 'sel', 'fleur de sel', 'poudre à lever :', 'diphosphates', 'phosphates de calcium', 'carbonates de sodium', 'amidon de blé']","['Sans huile de palme', 'Non végétalien']",4,21 g,en quantité élevée,14 g,en quantité élevée,33 g,en quantité élevée,0.25 g,en faible quantité,?,,478,+1%,2000 kj(478 kcal),+1%,21,+1%,14,+39%,65,+2%,33,+12%,"6,3",-3%,"0,25",-58%,"0,1",-58%,23,+16%,E,+16%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,Biscuit au caramel - Le Croquansel aux Éclats de Caramel,"['Sachet', 'Plastique']",['France'],"['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E341 - Phosphates de calcium', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium']",,"['Œufs', 'Gluten', 'Lait']",http://www.lagalettegoulebeneze.com/croquansel/32-galette-croquansel-caramel-300-gr.html,,
64,Galette goulebenèse,3276990000505,,,,,,,['France'],[],[],,,,,,,,,,?,,427,,1787 kj(427 kcal),,19,,12,,58,,39,,"5,4",,"0,9",,"0,36",,,,,,,,,,,,,,,,,,,,,,
65,Crème de caramel au beurre salé,3276990000604,,,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner au caramel', 'Crème de caramel au beurre salé']",['AOP'],,['France'],[],[],,28 g,en quantité élevée,18 g,en quantité élevée,41.1 g,en quantité élevée,0.48 g,en quantité modérée,?,,488,+16%,2042 kj(488 kcal),+16%,28,+44%,18,+51%,58,-1%,"41,1",-13%,1,-45%,"0,48",-21%,"0,192",-21%,27,+10%,E,+10%,,,,,,,,,,,,,,,,,
66,Caramel tendre au beurre salé,3276990000628,,,,,,,['France'],[],[],,,,,,,,,,?,,418,,1749 kj(418 kcal),,"12,5",,7,,72,,"47,4",,"4,3",,"1,08",,"0,432",,,,,,,,,,,,,,,,,,,,,,
67,Galette goulebeneze,3276990000703,,,,,,,['France'],[],[],,,,,,,,,,?,,425,,1778 kj(425 kcal),,17,,11,,60,,27,,7,,"0,59",,"0,236",,,,,,,,,,,,,,,,,,,,,,
68,Gateau Moelleux Vanille,3276990000901,,,,,,,['France'],[],[],,,,,,,,,,?,,441,,1845 kj(441 kcal),,22,,14,,54,,34,,"6,1",,"0,89",,"0,356",,,,,,,,,,,,,,,,,,,,,,
69,Galette charentaise,3276990011006,,,,,,,['France'],[],[],,,,,,,,,,?,,429,,1795 kj(429 kcal),,17,,11,,61,,28,,"7,1",,"0,59",,"0,236",,,,,,,,,,,,,,,,,,,,,,
70,Le croquansel - La Galette Goulebeneze,3276990032346,,,['La Galette Goulebeneze'],,,,['France'],"['A CONSOMMER DE PREFERENCE AVANT LE 213 31112/2017 276990 032346 croq nature - POIDS NET 300 gr A TEMPERATURE AMBIANTE Traces possibles de soja', 'dlarachides et de fruits à coque']",[],,,,,,,,,,?,,477,,1996 kj(477 kcal),,22,,15,,62,,27,,"6,7",,"0,28",,"0,112",,,,,,,,,,,,,,,,,,,,,,
71,Sauterne 2003 grand cru classé en 1855,3277031702235,,,,,,,['France'],[],[],,,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
