,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,brand,quantity,markets,generic_name,packaging,nova_score,allergens,brand_owner,additives,manufacturing,ingredients_origins,palm_ingredients,link
1437,Comté 12 mois d'affinage minimum - Auchan,2600423020661,['France'],[],[],?,418,"34,6",0,"26,7",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Fromages au lait cru', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",,34.6 g,en quantité élevée,22.5 g,en quantité élevée,0 g,en faible quantité,0.82 g,en quantité modérée,,+24%,1749 kj(418 kcal),+24%,+26%,"22,5",+22%,-100%,0,-100%,+22%,"0,82",-45%,"0,328",-45%,13,-12%,D,-12%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,['Auchan'],,['Auchan'],,,,,,,,,,
1438,Gingembre confit - 175g,3506070023767,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175 g,,,,,,,,,,,
1439,Araignées de porc,3018170401517,['France'],[],[],?,168,10,"0,9",19,,,,,,,,,,,,,,703 kj(168 kcal),,,"2,1",,,"0,5",,,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,,
1440,Kopitam Roast Coffe,8886311100279,['France'],[],[],?,6,0,"1,3","0,3",,,,,,,,,,,,,,25 kj(6 kcal),,,0,,,0,,,"0,4",,"0,16",,,,,,,,,,,,,,,,,,,,,,,,,,
1441,Terrine de truite au wisky,3384110003036,['France'],[],[],?,311,28,"5,6","8,9",,,,,,,,,,,,,,1301 kj(311 kcal),,,"6,5",,,"1,1",,,"1,6",,"0,64",,,,,,,,,,,,,,,,,,,,,,,,,,
1442,Gouda de mai,0203533012278,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1443,jambon supérieur cuit au torchon,0209083018760,['France'],[],[],?,137,"6,2","0,7","19,8",,,"['Viande-francaise', 'Viande-porcine-francaise']",,,,,,,,,,,573 kj(137 kcal),,,"2,8",,,"0,7",,,"1,91",,"0,764",,,,,,,,,,,,,"['FR 29.247.022 CE', 'Saint-Évarzec (Finistère, France)']",,,,,,,,,,,,,
1444,Poulet,2268437167606,['France'],[],[],?,?,?,?,?,,,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1445,Part de tarte aux pommes - 2x 200g,3522870028443,['France'],[],[],?,161,"8,9","17,8","2,5",,,,,,,,,,,,,,674 kj(161 kcal),,,"4,9",,,"10,5",,,"0,05",,"0,02",,,,,,,,,,,,,,,2 x 200 g,,,,,,,,,,,
1446,Salade Toscane - Les Crudettes,3701035101355,['France'],[],[],?,156,"11,4","4,9","7,7",,,,,,,,,,,,,,653 kj(156 kcal),,,3,,,"2,2",,,"1,39",,"0,556",,,,,,,,,,,,,,['Les Crudettes'],,,,,,,,,,,,
1447,Eichhof Alkoholfrei,7610096010611,['France'],[],[],?,23,0,"4,6","0,5",,,,,,,,,,,,,,96 kj(23 kcal),,,0,,,"0,5",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1448,Crêmet d'Anjou,3760237460080,['France'],[],[],?,242,"21,3","6,5",6,,,,,,,,,,,,,,1013 kj(242 kcal),,,"13,39",,,"4,5",,,"0,08",,"0,032",,,,,,,,,,,,,"['FR 49.007.500 CE', 'Angers (Maine-et-Loire, France)']",,,,,,,,,,,,,
1449,Morbier AOP 100 jours âge or,0202463026638,['France'],[],[],?,550,12,25,12,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Morbiers']",,12 g,en quantité modérée,2 g,en quantité modérée,5 g,en quantité modérée,1.2 g,en quantité modérée,,+55%,2301 kj(550 kcal),+55%,-58%,2,-90%,+3118%,5,+1105%,-47%,"1,2",-16%,"0,48",-16%,8,-46%,C,-46%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,
1450,Oh Mega Almond Butter,6009801544809,['France'],[],[],?,596,"53,6","4,5","25,9",,,,,,,,,,,,,,2494 kj(596 kcal),,,"4,4",,,"4,5",,,"0,002",,"0,001",,,,,,,,,,,,,,,,,,,,,,,,,,
1451,Glissa condiment a base du apéro balsamico,8014259753428,['France'],[],[],?,226,0,54,1,,,,,,,,,,,,,,946 kj(226 kcal),,,0,,,47,,,"0,125",,"0,05",,,,,,,,,,,,,,,,,,,,,,,,,,
1452,Hoisin stir fry sauce - Tesco,5052109996765,['France'],[],"['Végétalien', 'Végétarien']",?,55,"0,9","11,3","0,3",,"['Epicerie', 'Sauces', 'Sauces hoisin']","['Végétarien', 'Végétalien']",0.9 g,en faible quantité,0.1 g,en faible quantité,9 g,en quantité modérée,0.9 g,en quantité modérée,,-74%,230 kj(55 kcal),-74%,-53%,"0,1",-65%,-75%,9,-78%,-85%,"0,9",-81%,"0,36",-81%,4,-79%,C,-79%,,,,,,,,,['Tesco'],,,,,,,,,,,,
1453,Weichsel + Vitamin BCE,4099200025698,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454,Soufflé de Homard au Champagne - Valette - 85g,3598960030061,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Valette'],85 g,,,,,,,,,,,
1455,Pure boost amande épices,3760206000156,['France'],[],"['Végétalien', 'Végétarien']",?,396,"18,5","37,8","9,9",,,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'Sans sucre ajouté', 'Sans lactose', 'AB Agriculture Biologique']",,,,,,,,,,,1657 kj(396 kcal),,,"6,6",,,"36,5",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1456,Caramel - 320g,3760072741443,['France'],[],[],?,?,?,?,?,,,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320 g,,,,,,,,,,,
1457,Rainbow belts,00352741,['France'],[],"['Végétalien', 'Végétarien']",?,371,3,"83,2","2,4",E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']","['Végétarien', 'Végétalien']",3 g,en quantité modérée,1.6 g,en quantité modérée,55.3 g,en quantité élevée,0.1 g,en faible quantité,,+4%,1552 kj(371 kcal),+3%,+61%,"1,6",+51%,-0%,"55,3",-5%,+13%,"0,1",-17%,"0,04",-17%,15,+4%,D,+4%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,,,,,,,
1458,Roti de porc cuit - Carrefour Bio,2227849025782,['France'],[],[],?,?,?,?,?,E,"['Viandes', 'Porc', 'Rôtis de porc']",['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,"['EMB 29004', 'Bannalec (Finistère, France)']",['Carrefour Bio'],,['Carrefour'],,,,,,,,,,
1459,Steaks Hachés,3770008726000,['France'],[],[],?,226,17,1,17,,,['Halal'],,,,,,,,,,,946 kj(226 kcal),,,"8,6",,,"0,5",,,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,,,,,,
1460,Dessert pomme banane,3770012793036,['France'],[],[],?,88,"0,1","19,6","0,4",,,,,,,,,,,,,,368 kj(88 kcal),,,0,,,"17,2",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1461,Dessert pomme fraise,3770012793029,['France'],[],[],?,81,"0,1","17,9","1,4",,,,,,,,,,,,,,339 kj(81 kcal),,,0,,,16,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1462,Poire déshydratée,2600155031096,['France'],[],[],?,356,0,88,0,,,,,,,,,,,,,,1490 kj(356 kcal),,,0,,,73,,,"0,55",,"0,22",,,,,,,,,,,,,,,,,,,,,,,,,,
1463,Cabernet Sauvignon,3257980197801,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1464,Jambon a l'ancienne salé a la veine,2402828021522,['France'],[],[],?,?,?,?,?,E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', ""Jambons cuits à l'ancienne""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,"['EMB 29004D', 'Bannalec (Finistère, France)']",,,,,,,,,,,,,
1465,Les Prunes de Monsieur - Jours Heureux,3700956433521,['France'],[],[],?,447,21,57,"4,7",,,,,,,,,,,,,,1870 kj(447 kcal),,,14,,,53,,,"0,11",,"0,044",,,,,,,,,,,,,,['Jours Heureux'],,,,,,,,,,,,
1466,Poulet fermier jaune,2209333007153,['France'],[],[],?,166,"7,5","0,5",24,D,"['Viandes', 'Volailles', 'Poulets', 'Poulets fermiers']",['Label Rouge'],7.5 g,en quantité modérée,2 g,en quantité modérée,0.5 g,en faible quantité,0.15 g,en faible quantité,,+19%,695 kj(166 kcal),+20%,+21%,2,+23%,+34%,"0,5",+64%,+17%,"0,15",-7%,"0,06",-7%,-2,,A,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,
1467,Happy pop-rice,4021496011413,['France'],[],[],?,551,34,54,"6,4",,,,,,,,,,,,,,2305 kj(551 kcal),,,20,,,39,,,"0,15",,"0,06",,,,,,,,,,,,,,,,,,,,,,,,,,
1468,Cacao soluble - Aliada,8433329043694,['France'],[],[],?,383,"2,8",79,"6,3",,,,,,,,,,,,,,1602 kj(383 kcal),,,"1,8",,,74,,,"0,05",,"0,02",,,,,,,,,,,,,,['Aliada'],,,,,,,,,,,,
1469,Chips de bananes,2412206009974,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1470,Klarer apfelsaft,4009999001018,['France'],[],[],?,47,"0,5",11,"0,5",,,,,,,,,,,,,,197 kj(47 kcal),,,"0,1",,,11,,,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,,
1471,Cookie Chunk Chocolat,0232911022967,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1472,Basil Seed,8936143031002,['France'],[],[],?,42,0,"10,5",0,,,,,,,,,,,,,,176 kj(42 kcal),,,0,,,10,,,"0,25",,"0,1",,,,,,,,,,,,,,,,,,,,,,,,,,
1473,Pan Ducale Bastoncini Moscatello,69145102055,['France'],[],[],?,125,14,12,3,,,,,,,,,,,,,,523 kj(125 kcal),,,13,,,11,,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,
1474,Filet de perches avec peau - 800g,3760121992789,['France'],[],[],?,478,3,0,"21,6",,,,,,,,,,,,,,2000 kj(478 kcal),,,"0,6",,,0,,,"0,1",,"0,04",,,,,,,,,,,,,,,800 g,,,,,,,,,,,
1475,Pains au chocolat pur beurre,2644772011154,['France'],[],[],?,397,"17,6","51,7",8,,,,,,,,,,,,,,1661 kj(397 kcal),,,"12,2",,,"12,2",,,"1,04",,"0,416",,,,,,,,,,,,,,,,,,,,,,,,,,
1476,Thé vert de chine,6926977400244,['France'],[],[],?,?,?,?,?,B,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés verts', 'Thé vert de Chine']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,,,,,,
1477,Empro instant oat meal,0744430252522,['France'],[],[],?,351,"8,2","58,8","13,23",,,,,,,,,,,,,,1469 kj(351 kcal),,,"1,1",,,"0,8",,,"0,03",,"0,012",,,,,,,,,,,,,,,,,,,,,,,,,,
1478,U,3256221654080,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['U'],,,,,,,,,,,,
1479,Glycanéa,3401560227611,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1480,Choco biscuits,5712872291176,['France'],[],[],?,499,24,62,"6,4",,,,,,,,,,,,,,2088 kj(499 kcal),,,14,,,35,,,"0,56",,"0,224",,,,,,,,,,,,,,,,,,,,,,,,,,
1481,Bef stick,0852675006036,"['France', 'États-Unis']","['Grass-fed and grass-finished beef', 'honey', 'lemon peel', 'sea salt', 'dried jalapeno flakes', 'encapsulated lactic acid', 'chili pepper', 'celery juice ', 'celery', 'sea salt', 'garlic', 'onion', 'white pepper', 'ginger', 'black pepper', 'in collagen casing']",['Non végétalien'],?,321,"21,43","7,14","21,43",,['Snacks'],,21.4 g,en quantité élevée,8.93 g,en quantité élevée,3.57 g,en faible quantité,1.7 g,en quantité élevée,,-29%,1343 kj(321 kcal),-29%,+3%,"8,93",-1%,-87%,"3,57",-88%,+241%,"1,698",+223%,"0,679",+223%,16,-11%,D,-11%,,,,,,,,,,,,,,3,['Céleri'],"The New Primal, LLC",['E270 - Acide lactique'],,,,
1482,Carres amande 280 g - Leader Price,3263852662827,['France'],[],[],?,384,"14,4","57,5","5,4",,,,,,,,,,,,,,1607 kj(384 kcal),,,"5,8",,,"37,1",,,"0,5",,"0,2",,,,,,,,,,,,,,['Leader Price'],280 g,['Leader Price'],,,,,,,,,,
1483,"Natural Energy Gel Himalayan salt, Guarana",8594157872136,['France'],[],[],?,315,"2,22",70,2,,,,,,,,,,,,,,1318 kj(315 kcal),,,"1,3",,,63,,,"0,236",,"0,094",,,,,,,,,,,,,,,,,,,,,,,,,,
1484,Sauce Tigre,16659835,['France'],[],[],?,261,"0,4",65,"0,2",,"['Epicerie', 'Sauces']",,0.4 g,en faible quantité,0.1 g,en faible quantité,58 g,en quantité élevée,1.5 g,en quantité modérée,,+10%,1092 kj(261 kcal),+11%,-98%,"0,1",-95%,+556%,58,+798%,-93%,"1,5",-38%,"0,6",-38%,19,+64%,E,+64%,,,,,,,,,,,,,,,,,,,,,
1485,Pain de beauford,2210957055031,['France'],[],[],?,140,4,5,14,,,,,,,,,,,,,,586 kj(140 kcal),,,3,,,3,,,3,,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,
1486,Calem Port 10 Years Old - Tawny Porto,5601077171010,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1487,Fromage de chèvre,2865980029322,['France'],[],[],?,218,"16,2","2,9","14,5",E,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de chèvre']",,16.2 g,en quantité modérée,11.3 g,en quantité élevée,2 g,en faible quantité,1.2 g,en quantité modérée,,-23%,912 kj(218 kcal),-23%,-29%,"11,3",-29%,+74%,2,+106%,-16%,"1,2",-11%,"0,48",-11%,12,-10%,D,-10%,91.6%,3.0%,2.1%,2.1%,0.9%,0.3%,33,,,,,,,,,,,,,,
1488,Quiche au saumon et épinard,3348700069543,['France'],[],[],?,299,"23,6",15,"6,6",D,"['Plats préparés', 'Pizzas tartes salées et quiches', 'Plats préparés au poisson', 'Quiches', 'Quiches au poisson', 'Quiches au saumon']",,23.6 g,en quantité élevée,9.8 g,en quantité élevée,0.4 g,en faible quantité,0.59 g,en quantité modérée,,+17%,1251 kj(299 kcal),+19%,+45%,"9,8",+23%,-10%,"0,4",-75%,-18%,"0,59",-26%,"0,236",-26%,14,+27%,D,+27%,78.6%,9.0%,2.6%,2.8%,1.5%,5.5%,46,,,,,,,,,,,,,,
1489,Vermicelles complets Bio - 500g,3760005721382,['France'],[],[],?,351,1,73,12,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'ES-ECO-019-CT']",,,,,,,,,,,1469 kj(351 kcal),,,"0,1",,,2,,,"0,06",,"0,024",,,,,,,,,,,,,,,500 g,,,,,,,,,,,
1490,Poulet basquaise,3508760365324,['France'],[],[],?,126,"2,1","2,1","11,7",,,,,,,,,,,,,,527 kj(126 kcal),,,0,,,"0,2",,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,
1491,Fizzy Colabottles,5411011000296,['France'],[],[],?,330,"0,2","76,5","5,4",,,,,,,,,,,,,,1381 kj(330 kcal),,,"0,2",,,"62,7",,,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,,,,,,,,
1492,Ingwer & Zitrone,8717853491344,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1493,Fresubin Fresubin 2kcal Vanille Fibre - 4 x 200 ML,4086000013543,['France'],[],[],?,200,"7,8","21,8",10,,,,,,,,,,,,,,837 kj(200 kcal),,,"0,6",,,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1494,Roasted chana,6152987482134,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1495,Mélange japonais,2600153020931,['France'],[],[],?,399,"6,9","73,3","10,1",,,,,,,,,,,,,,1669 kj(399 kcal),,,"1,5",,,"2,6",,,"0,85",,"0,34",,,,,,,,,,,,,,,,,,,,,,,,,,
1496,Poulet fermier,0253084057990,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1497,Tablette blonde de pâques - 90g,3701265000213,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90 g,,,,,,,,,,,
1498,samoussa boeuf 50g x3 + 1 offert,3412610939170,['France'],[],[],?,907,"11,9","19,9","6,4",,,,,,,,,,,,,,3795 kj(907 kcal),,,"1,6",,,"1,9",,,"0,4",,"0,16",,,,,,,,,,,,,,,,,,,,,,,,,,
1499,Seb,2205344056029,['France'],[],[],?,108,"1,3",0,24,,,,,,,,,,,,,,452 kj(108 kcal),,,"0,4",,,0,,,"0,15",,"0,06",,,,,,,,,,,,,,,,,,,,,,,,,,
1500,Seb,2205344056029,['France'],[],[],?,108,"1,3",0,24,,,,,,,,,,,,,,452 kj(108 kcal),,,"0,4",,,0,,,"0,15",,"0,06",,,,,,,,,,,,,,,,,,,,,,,,,,
1501,Sauce beurre blanc,3448117032014,['France'],[],[],?,203,18,"6,1","1,8",,,,,,,,,,,,,,849 kj(203 kcal),,,12,,,"2,7",,,"0,45",,"0,18",,,,,,,,,,,,,,,,,,,,,,,,,,
1502,yuppo filled stick chocolate,8690840178896,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1503,Mix de confiserie acidulée - 600g,27042403,['France'],[],[],?,327,"0,5",77,"4,3",,,,,,,,,,,,,,1368 kj(327 kcal),,,"0,1",,,48,,,"0,2",,"0,08",,,,,,,,,,,,,,,600 g,,,,,,,,,,,
1504,Tem's ROOT BEER,4260231222152,['France'],[],[],?,55,0,"13,4","0,1",,,,,,,,,,,,,,230 kj(55 kcal),,,0,,,"13,4",,,"0,05",,"0,02",,,,,,,,,,,,,,,,,,,,,,,,,,
1505,Korean Rice Cake,8809197640516,['France'],[],[],?,249,"2,1",53,6,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Galettes de céréales soufflées', 'Galettes de riz soufflé']",,2.1 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.115 g,en faible quantité,,-42%,1042 kj(249 kcal),-42%,-82%,0,-100%,-25%,0,-100%,-19%,"0,115",-37%,"0,046",-37%,0,-100%,B,-100%,57.0%,19.3%,12.5%,10.4%,0.8%,0.0%,92,,,,,,,,,,,,,,
1506,Chorizo doux,3344080096513,['France'],[],[],?,213,"6,8",7,31,,,"['Viande-francaise', 'Viande-porcine-francaise']",,,,,,,,,,,891 kj(213 kcal),,,"2,1",,,"4,6",,,"4,3",,"1,72",,,,,,,,,,,,,,,,,,,,,,,,,,
1507,Grüntee & Minze - Kleine Anregung,8717853491368,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1508,"Highland Park 10 Years Old + GB 40% Vol. 0,7 L Merken",5010314303556,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1509,Variantes Provence Olives - 400g,3366507100405,['France'],[],[],?,32,0,4,1,,,['Sans conservateurs'],,,,,,,,,,,134 kj(32 kcal),,,0,,,3,,,7,,"2,8",,,,,,,,,,,,,,,400 g,,,,,,,,,,,
1510,Lasagne à la bolognaise,8029342007906,['France'],[],[],?,?,?,?,?,D,"['Plats préparés', 'Plats à base de pâtes', 'Lasagnes préparées', 'Lasagnes à la bolognaise']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.9%,12.1%,2.7%,2.8%,1.5%,1.1%,47,,,,,,,,,,,,,,
1511,Sauce tomate aux champignons,8005360001065,['France'],[],[],?,64,"3,5",5,"2,2",,,,,,,,,,,,,,268 kj(64 kcal),,,"0,4",,,"4,2",,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,
1512,Limo's fruits du verger,3522522593619,['France'],[],[],?,33,"0,5","7,8","0,1",,,,,,,,,,,,,,138 kj(33 kcal),,,"0,5",,,"7,6",,,"0,05",,"0,02",,,,,,,,,,,,,,,,,,,,,,,,,,
1513,Jus de pomme,8410707004904,['France'],[],[],?,46,"0,1","11,1","0,1",,,,,,,,,,,,,,192 kj(46 kcal),,,0,,,"9,5",,,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,,
1514,Brandade de morue,0206987083245,['France'],[],[],?,156,"9,6","10,1","7,2",E,"['Plats préparés', 'Plats préparés au poisson', 'Brandades de morue']",,9.6 g,en quantité modérée,0.9 g,en faible quantité,0.3 g,en faible quantité,0.8 g,en quantité modérée,,-29%,653 kj(156 kcal),-29%,-42%,"0,9",-57%,+28%,"0,3",-58%,+6%,"0,8",-8%,"0,32",-8%,0,-100%,B,-100%,90.1%,2.6%,1.1%,5.1%,0.6%,0.4%,21,,,,,,,,,,,,,,
1515,Cidre d'Alsace - Sautter,3331720000641,['France'],[],[],?,?,?,?,?,D,"['Boissons', 'Boissons alcoolisées', 'Cidres']",,,,,,,,,,,,,,,,,,,,,0,-100%,0,-100%,,,,,31.6%,5.6%,37.9%,16.7%,6.5%,1.8%,53,,['Sautter'],,,,,,,,,,,,
1516,Popcorn sucré,2081150180017,['France'],[],[],?,523,"30,1","52,8","5,7",,,,,,,,,,,,,,2188 kj(523 kcal),,,"2,89",,,"19,3",,,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,,
1517,Olives noires Grec - Barral,3101150033195,['France'],[],[],?,363,"35,9","4,5","1,9",,,,,,,,,,,,,,1519 kj(363 kcal),,,"5,7",,,0,,,8,,"3,2",,,,,,,,,,,,,,['Barral'],,,,,,,,,,,,
1518,Mezze Pennine Rigate 273,8003940022332,['France'],[],[],?,352,"1,2","72,3",13,,,,,,,,,,,,,,1473 kj(352 kcal),,,"0,2",,,"3,8",,,"0,003",,"0,001",,,,,,,,,,,,,,,,,,,,,,,,,,
1519,Morbier - Jura Flore,2285476035093,['France'],[],[],?,343,"28,1","0,5",22,C,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Morbiers']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01', 'AOP']",28.1 g,en quantité élevée,19.6 g,en quantité élevée,0 g,en faible quantité,1.76 g,en quantité élevée,,-3%,1435 kj(343 kcal),-3%,-2%,"19,6",+1%,-36%,0,-100%,-3%,"1,76",+23%,"0,704",+23%,16,+7%,D,+7%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,['Jura Flore'],,,,,,,,,,,,
1520,Escalope Extra Fine de dinde,2264817044741,['France'],[],[],?,108,"1,3",0,24,D,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']","['Nutriscore', 'Nutriscore A']",1.3 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,0.15 g,en faible quantité,,-11%,452 kj(108 kcal),-10%,-2%,"0,4",-1%,-100%,0,-100%,+5%,"0,15",-73%,"0,06",-73%,-4,,A,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,,,,,,,
1521,Pain bucheron,0209869008862,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1522,Mortadella,2303122801523,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1523,Palet Pépite de Chocolat,3980177617119,['France'],[],[],?,486,21,69,"4,7",,,['en:gluten-free'],,,,,,,,,,,2033 kj(486 kcal),,,"9,3",,,27,,,"0,25",,"0,1",,,,,,,,,,,,,,,,,,,,,,,,,,
1524,filet de poulet fermier normand - volaé - 2,0210402044674,['France'],[],[],?,?,?,?,?,C,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']","['IGP', 'Label Rouge']",,,,,,,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,['volaé'],2,['Intermarché'],,['Barquette'],,,,,['France'],['France'],,
1525,Chipos persillées,2238521024474,['France'],[],[],?,205,15,"0,6",17,,,['Sans colorants'],,,,,,,,,,,858 kj(205 kcal),,,"5,8",,,"0,6",,,"1,8",,"0,72",,,,,,,,,,,,,,,,,,,,,,,,,,
1526,Tournesol grillé salé,4559559504843,['France'],[],[],?,582,50,24,19,,,,,,,,,,,,,,2435 kj(582 kcal),,,"5,2",,,"2,7",,,8,,"3,2",,,,,,,,,,,,,,,,,,,,,,,,,,
1527,Thé,8964000577370,['France'],[],[],?,0,0,0,0,,,,,,,,,,,,,,0 kj(0 kcal),,,0,,,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1528,Los calorie bar,8718774023713,['France'],[],[],?,343,"11,1","39,8",24,,,,,,,,,,,,,,1435 kj(343 kcal),,,"5,2",,,"9,7",,,"0,74",,"0,296",,,,,,,,,,,,,,,,,,,,,,,,,,
