,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,brand,quantity,markets,generic_name,packaging,nova_score,allergens,brand_owner,additives,manufacturing,ingredients_origins,palm_ingredients,link
565,Hellas-beer-330ml-greece,5201246002376,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
566,Porc cote echine - Monoprix,2201749021389,['France'],[],[],?,?,?,?,?,,,"['Viande-francaise', 'Viande-porcine-francaise']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Monoprix'],,['Monoprix'],,,,,,,,,,
567,Sugo all'arrabbiata - Sacla,8001060019454,['France'],[],[],?,98,"7,4",9,"1,4",B,"['Epicerie', 'Sauces', 'Sauces pour pâtes', 'Sauces tomate', 'Sauces Arrabiata']",,7.4 g,en quantité modérée,0.9 g,en faible quantité,4.5 g,en faible quantité,1 g,en quantité modérée,,-8%,410 kj(98 kcal),-4%,+13%,"0,9",+10%,+40%,"4,5",-15%,-12%,1,-8%,"0,4",-8%,5,+27%,C,+27%,48.3%,19.8%,11.8%,11.5%,5.0%,3.5%,91,,['Sacla'],,,,,,,,,,,,
568,Tassimo - Carte Noire,8711000425626,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Carte Noire', 'Senseo']",,,,,,,,,,,,
569,Fondants chocolat - Auchan,2090000179293,['France'],[],[],?,?,?,?,?,D,"['Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.4%,11.4%,2.3%,2.6%,1.2%,0.0%,38,,['Auchan'],,['Auchan'],,,,,,,,,,
570,Tutti-frutti mini-gum,8435055002471,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
571,Le Pur jus - Joker,60240033,['France'],[],[],?,44,0,"9,4","0,7",,,,,,,,,,,,,,184 kj(44 kcal),,,0,,,"8,7",,,0,,0,,,,,,,,,,,,,,['Joker'],,,,,,,,,,,,
572,Yobu,8033116900027,['France'],[],[],?,137,"6,1","15,9","3,8",,,,,,,,,,,,,,573 kj(137 kcal),,,"4,1",,,"15,9",,,"0,11",,"0,044",,,,,,,,,,,,,,,,,,,,,,,,,,
573,Cuisses de poulet - La Nouvelle Agriculture,0213312032540,['France'],[],[],?,198,14,0,18,D,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",,14 g,en quantité modérée,3.5 g,en quantité modérée,0 g,en faible quantité,0.18 g,en faible quantité,,+4%,828 kj(198 kcal),+3%,+13%,"3,5",+4%,-100%,0,-100%,-2%,"0,18",-76%,"0,072",-76%,0,-100%,B,-100%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,['La Nouvelle Agriculture'],,,,,,,,,,,,
574,Tarticitron,3770008914209,['France'],[],[],?,335,"9,3","60,2","1,7",,,,,,,,,,,,,,1402 kj(335 kcal),,,"7,8",,,"49,6",,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,
575,Saucisson au sanglier,2410994046973,['France'],[],[],?,315,"21,9",0,"29,1",,,,,,,,,,,,,,1318 kj(315 kcal),,,"9,1",,,0,,,"4,5",,"1,8",,,,,,,,,,,,,,,,,,,,,,,,,,
576,Olives à l'oriental,3519200131546,['France'],[],[],?,153,16,"0,1",1,,,,,,,,,,,,,,640 kj(153 kcal),,,0,,,0,,,3,,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,
577,Tartare Ail & Fines Herbes - format familial,3234730099417,['France'],[],[],?,333,32,"2,2",9,,,,,,,,,,,,,,1393 kj(333 kcal),,,22,,,"2,2",,,1,,"0,4",,,,,,,,,,,,,,"['Tartare', 'Savencia']",,,,['Frais'],,,,,,,,
578,Vin,3479184121004,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
579,Rhum de Martinique,3267130003128,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
