,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,traceability_code,quantity,markets,packaging,brand_owner,generic_name,ingredients_origins,manufacturing,link,palm_ingredients,producer_info,origin_detail
1796,"Jelzin Liqueur De Vodka Peppermint 16,6°",3263280105149,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1797,Castagnicia,3770002419151,,,,['France'],[],,,['Sans huile de palme'],,,,,,,,,,?,,254,,1063 kj(254 kcal),,"5,5",,"2,9",,48,,31,,"1,7",,"0,02",,"0,008",,,,,,,,,,,,,['en:palm-oil-free'],,,,,,,,,,,,
1798,Roquefort,0253004016991,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte persillée', 'Fromages à pâte persillée français', 'Fromages de brebis', 'Roqueforts']",['France'],[],,,[],,32 g,en quantité élevée,20 g,en quantité élevée,0 g,en faible quantité,3.5 g,en quantité élevée,?,,364,-1%,1523 kj(364 kcal),-0%,32,+0%,20,-10%,0,-100%,0,-100%,19,-2%,"3,5",-2%,"1,4",-2%,19,0%,E,0%,88.4%,4.4%,2.4%,3.1%,1.4%,0.4%,44,,,,,,,,,,,,,
1799,Le Chamois - Dolin - 70cl,3274510003180,,['Dolin'],,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,70 cl,,,,,,,,,,
1800,Protein blend - Sanitarium,9300652808049,,['Sanitarium'],,"['France', 'Polynésie française']","['eau filtrée', 'mélange de protéines ', '7% ', ' [protines de lait ', 'calcium de caséine', 'protéine concentrée de Whey', ' protéine de soja]', 'lait caillé', 'sucre de canne', 'sucre de canne protéines de lait concentré', 'huiles végétales ', 'tournesol', 'coiz fructose', 'arôme de vanille', ""régulateur d'acidité "", '32', 'gommes végétales ', '460', '466', '407', 'stabilisateur ', '452', 'sel']",,,"[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,,,,,,,,,?,,61,,255 kj(61 kcal),,"1,5",,"0,2",,"5,1",,"5,1",,"6,6",,64,,"25,6",,,,,,,,,,,,,,,,,,,,,,,,,
1801,Chocolate éclair,9414014680089,,,,['France'],[],,,[],,,,,,,,,,?,,873,,3653 kj(873 kcal),,"9,7",,"6,9",,"27,5",,"24,8",,"2,9",,"0,48",,"0,192",,,,,,,,,,,,,"['en:gluten-free', 'Halal']",,,,,,,,,,,,
1802,Tostada multigranos - Bauducco,7891962040622,,['Bauducco'],,"['Brésil', 'France']",[],,,[],,,,,,,,,,?,,350,,1464 kj(350 kcal),,8,,"2,3",,"5,7",,"5,3",,14,,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,,,,,
1803,biscuit sésame - GERBLÉ - 230g,3400936463233,C,['GERBLÉ'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",['France'],['voir photo'],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,"['Sans colorants', 'Sans conservateurs']",,230g,['Carrefour'],,,,,['France'],,,,
1804,opti pro 2 - Nestlé,7613034089984,,['Nestlé'],,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1805,Barre cereale proteine,7350068294136,,,,['France'],[],,,[],,,,,,,,,,?,,366,,1531 kj(366 kcal),,14,,"5,8",,27,,"4,2",,36,,"0,4",,"0,16",,,,,,,,,,,,,,,,,,,,,,,,,
