,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,eco_score,generic_name,quantity,packaging,brand,categories,labels,ingredients_origins,manufacturing,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nova_score,traceability_code,additives,allergens,link,palm_ingredients,brand_owner
1708,Huile d'olive Alquezrana,8437012129108,['France'],[],[],?,900,3766 kj(900 kcal),100,13,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,
1709,Mix Merienda - Eurochoc,8437012340978,['France'],"[""beurre de cacao,flailentiéïe raisse de Èhocolat lait : minimuni 30% dgcaqao 'Tra es éVen ue lesesésame"", 'fruits à coque ', ""amandes ecnoi$etteslx UN L'HUMIDITÉ""]",[],?,390,1632 kj(390 kcal),"16,58","9,12","51,55","24,07","7,96",,,,,['Eurochoc'],,,,,,,,,,,,,,,,,,,,,,"0,84",,"0,336",,,,,,,,,,,,,,,,['Fruits à coque'],,,
1710,Quinoa Real Bio Equitable - Quinua Real,8437012461093,['France'],['quinoa royal'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,378,1582 kj(378 kcal),6,"0,8",64,5,14,,,,,['Quinua Real'],,"['Bio', 'Bio européen', 'en:gluten-free', 'Agriculture non UE']",,,,,,,,,,,,,,,,,,,,"0,01",,"0,004",,,,,,,,,,,,,,,,['Gluten'],,,
1711,Aceite de Oliva Virgen Extra,8437012884014,['France'],[],[],?,900,3766 kj(900 kcal),100,19,0,0,0,D,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,,,,100 g,en quantité élevée,19 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,+5%,+5%,+5%,+36%,,,,0,-100%,0,-100%,7,+14%,C,+14%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,
1712,rosette extra chiffonade,8437013039710,['France'],[],[],?,320,1339 kj(320 kcal),"22,2","8,39","4,4","1,6","25,6",,,,,,,,,,,,,,,,,,,,,,,,,,,"3,17",,"1,268",,,,,,,,,,,,,,,,,,,
1713,Harina de garbanzos,8437013916042,['France'],[],[],?,857,3586 kj(857 kcal),"98,9","48,5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,20,,,,,,,,,,,,,,,,,,,
1714,Pate vegetal,8437014342284,['France'],[],[],?,82,343 kj(82 kcal),"5,3","0,7","5,2","0,8","3,3",,,,,,,,,,,,,,,,,,,,,,,,,,,"2,4",,"0,96",,,,,,,,,,,,,,,,,,,
1715,Miel de fleurs sauvages cru - Bona Mel,8437014473292,['France'],[],[],?,245,1025 kj(245 kcal),17,"2,5","0,01","0,01",23,B,,,,['Bona Mel'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']",,,,,17 g,en quantité modérée,2.5 g,en quantité modérée,0.01 g,en faible quantité,1.9 g,en quantité élevée,,-18%,-18%,+15355%,+7253%,-100%,-100%,+6685%,"1,9",+8020%,"0,76",+8020%,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,
1716,Natural Zero Ketchup,8437015195025,['France'],"['u-naloes nero', 'conservatore ', 'E-202', "" e edu!corame 'maye acidulante l'amidon modifié"", 'arôme', 'et ', 'EQI', 'arôme naurel', 'concenté ', 'radis', 'carotE ', 'E-Q', ' et édulcorant ', 'E-955']",[],?,29,121 kj(29 kcal),0,0,"5,9","3,4","0,8",,,,,['natural zero'],,,,,,,,,,,,,,,,,,,,,,"2,95",,"1,18",,,,,,,,,,,,,4,,"['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E955 - Sucralose']",,,,
1717,Paul and Pippa Galetes Orgánicas,8437015921082,['France'],[],[],?,446,1866 kj(446 kcal),15,2,68,17,6,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,"0,903",,"0,361",,,,,,,,,,,,,,,,,,,
1718,Bioterráneo Gazpacho Ecológico Con Aceite De Oliva V - Gourmet - 1l,8437016022009,"['France', 'Allemagne']",[],[],?,44,184 kj(44 kcal),"2,6","0,4","3,7","2,8","0,9",B,,1l,,['Gourmet'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Soupes de légumes', 'Soupes froides', 'Gaspacho']","['Bio', 'Bio européen']",,,,2.6 g,en faible quantité,0.4 g,en faible quantité,2.8 g,en faible quantité,0.8 g,en quantité modérée,,+7%,+6%,+6%,+4%,+10%,+10%,+14%,"0,8",+20%,"0,32",+20%,3,+152%,C,+152%,8.9%,40.5%,20.0%,12.5%,12.7%,5.4%,98,,,,,,,
1719,Organic juice smoothie Veggies Bang,8437016390023,['France'],[],[],?,38,159 kj(38 kcal),"0,2",0,"7,9","6,8","0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,"0,3",,"0,12",,,,,,,,,,,,,,,,,,,
1720,Mojo Rojo Picón,8443352000748,['France'],[],[],?,382,1598 kj(382 kcal),"35,9","3,7","14,8","2,2","1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,3,,"1,2",,,,,,,,,,,,,,,,,,,
1721,Pizza de Jabugo-Brie,8445566703859,['France'],[],[],?,277,1159 kj(277 kcal),13,"7,5","20,4","1,7","19,5",,,,,,,,,,,,,,,,,,,,,,,,,,,"2,5",,1,,,,,,,,,,,,,,,,,,,
1722,Croissants et pains aux chocolats - Les 3 Meuniers,8451493831008,['France'],[],[],?,346,1448 kj(346 kcal),20,13,36,"8,6","6,1",B,,,,['Les 3 Meuniers'],"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Croissants', 'Assortiment de croissants et pains au chocolat']",,,,,20 g,en quantité modérée,13 g,en quantité élevée,8.6 g,en quantité modérée,0.79 g,en quantité modérée,,-5%,-5%,-3%,+3%,-5%,-5%,-22%,"0,79",-22%,"0,316",-22%,18,-2%,D,-2%,69.2%,17.2%,8.1%,4.9%,0.6%,0.0%,86,,,,,,,
1723,Sardinas en Escabeche - SPAR,8480013034964,['France'],"['Sardinas ', 'Sardina pilchardus', 'aceite de girasol vinagret vinagre ', '1815%', ' éleo vegetal Évinegar ', '18,5%', 'vegetable oil ', '10%', 'salt ', '1%', ' and spices salyespecias', 'Consetvar enunlugar ', '10%', 'sal ', '1%', ' e especiarias ', '0,5%', ' Store ina cool dry ', '0,5%', ' Consetvar em lugar fresco y seco']","['Non végétalien', 'Non végétarien']",?,174,728 kj(174 kcal),"9,6","2,6",1,0,21,D,,,,['SPAR'],"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve']",,,,['Spar'],9.6 g,en quantité modérée,2.6 g,en quantité modérée,0 g,en faible quantité,1.8 g,en quantité élevée,,-25%,-24%,-40%,-28%,+78%,-100%,+2%,"1,8",+95%,"0,72",+95%,11,+114%,D,+114%,26.2%,30.3%,28.3%,13.4%,0.9%,0.9%,42,,,,['Poisson'],,,
1724,Massa Spar Grossa,8480013091158,['France'],[],[],?,344,1439 kj(344 kcal),2,"0,5",68,"3,5",12,,,,,['Spar'],,,,,['Spar'],,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,
1725,Soluble de Cacao - Spar,8480013150022,['France'],[],[],?,381,1594 kj(381 kcal),3,"1,9",78,66,"6,5",,,,,['Spar'],,,,,['Spar'],,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,
1726,Nectar tropical - Dia - 1l,8480017276223,['France'],"['Eau', 'jus de fruits à base de concentré en proportion variable ', '45,5 %', ' ', 'orange', 'mangue', 'tomate et fruit de la passion', 'jus de carotte à base de concentré ', '2,5 %', 'purée de kiwi ', '2 %', 'acidifiant ', 'acide citrique', 'antioxydant ', 'acide ascorbique', ' et édulcorants ', 'acésulfame-K et néohespéridine DC']","['Sans huile de palme', 'Végétalien', 'Végétarien']",98,23,98 kj(23 kcal),"0,1",0,"5,1","4,1","0,3",C,Nectar de fruits tropicaux à la carotte et à la tomate partiellement à base de concentré avec édulcorants,1 l,"['Brique', 'Carton']",['Dia'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits']",,,['Espagne'],['Dia'],0.1 g,en faible quantité,0 g,en faible quantité,4.1 g,en quantité modérée,0.03 g,en faible quantité,-48%,-53%,-51%,-44%,-100%,-55%,-62%,-5%,"0,03",+213%,"0,012",+213%,5,-63%,C,-63%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,4,,"['E330 - Acide citrique', 'E300 - Acide ascorbique', 'E950 - Acésulfame K', 'E959 - Néohespéridine dihydrochalcone']",,,,
1727,Sel fin de mer iodé - Dia,8480017457707,['France'],[],[],?,0,0 kj(0 kcal),?,0,?,0,0,B,,,,['Dia'],"['Epicerie', 'Condiments', 'Sels', 'Sels marins', 'Sels fins', 'Sels iodés']",,,,['Dia'],,,0 g,en faible quantité,0 g,en faible quantité,100 g,en quantité élevée,,,,,,,,,100,+31%,40,+31%,,,,,50.9%,0.0%,27.5%,11.1%,10.5%,0.0%,98,,,,,,,
1728,Cacao Soluble Día,8480017579652,['France'],"['sucre', 'cacao dégraissé en poudre ', '20%', 'farine de blé', 'arômes', 'anti-agglomérant ', 'E341', ""extrait de malt d'orge"", 'extrait de cola en poudre ', 'maltodextrine', 'caféine', 'extrait de cola', 'sel']",[],?,378,1582 kj(378 kcal),"2,3","1,4",81,72,"4,9",D,Préparation alimentaire en poudre à base de cacao dégraissé,,['Sachet plastique'],['Dia'],"['Boissons', 'Petit-déjeuners', 'Cacao et dérivés', 'Cacaos et chocolats en poudre', 'Boissons instantanées', 'Chocolats en poudre', 'Boissons avec sucre ajouté']",,,,['Dia'],,,,,,,,,,+14%,+11%,-47%,-45%,+28%,+28%,-23%,"0,04",-81%,"0,016",-81%,,,,,75.0%,1.1%,15.1%,5.7%,3.2%,0.0%,52,4,,"['E341 - Phosphates de calcium', '', 'Risque élevé de sur-exposition']",['Gluten'],,,
1729,Energy drink - Dia,8480017644497,"['France', 'Espagne']",[],[],?,44,184 kj(44 kcal),0,0,"10,5","0,4","0,2",,,,,['Dia'],"['Boissons', 'Boissons énergisantes']",,,,['Dia'],0 g,en faible quantité,0 g,en faible quantité,0.4 g,en faible quantité,2 g,en quantité élevée,,+22%,+23%,-100%,-100%,+31%,-94%,+38%,2,+1639%,"0,8",+1639%,16,+48%,E,+48%,,,,,,,,,,,,,,
1730,Graisse à frire 100% végétale - Dia,8480017729002,['France'],[],[],?,900,3766 kj(900 kcal),100,100,0,0,0,,,,,['Dia'],,,,,['Dia'],,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,
1731,500 G-miel De Abeja Apisun,8500004100031,['France'],[],[],?,304,1272 kj(304 kcal),78,0,0,0,"0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,
1732,Banane 4 + mois - Olvarit,8591119002341,['France'],[],[],?,83,347 kj(83 kcal),"0,2","0,1","18,5",15,1,,,,,['Olvarit'],,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,
1733,Olvarit pomme peche mangue,8591119002419,['France'],[],[],?,230,962 kj(230 kcal),"0,1",0,"11,2","7,62","0,5",,,,,['Olvarit'],,['en:gluten-free'],,,,,,,,,,,,,,,,,,,,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,
1734,"Staropramen - 0,33l",8593868110193,['France'],"['Bière', ' Contient malt d Orge', 'orge']",[],?,?,,?,,?,,?,C,,"0,33 l",['Verre'],['Staropramen'],"['Boissons', 'Boissons alcoolisées', 'Bières']",['Point Vert'],,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,,,,
1735,Rowntrees Randoms Pouch 150G - 150g,8593893751743,"['France', 'Royaume-Uni']","['glucose syrup', 'sugar', 'gelatine', 'concentrated fruit juices ', '1,3%', ' ', 'apple', 'blueberry', 'black carrot', 'orange', 'lemon', 'raspberry', 'mandarin', 'strawberry', 'acids ', 'citric acid', 'malic acid', 'tartaric acid', 'lactic acid', 'acetic acid', 'fructose', 'fruit puree concentrates ', 'blueberry', 'raspberry', 'strawberry', 'humectant ', 'glycerol', 'vegetable oils ', 'palm', 'coconut', 'rapeseed', 'fruit and vegetable concentrates ', 'black carrot', 'carrot', 'safflower', 'hibiscus', 'natural flavourings', 'acidity regulators ', 'sodium ascorbate', 'sodium citrate', 'stabilisers ', 'carrageenan', 'locust bean gum', 'salt', 'spirulina concentrate', 'glazing agent ', 'carnauba wax', ' ', 'invert sugar syrup', 'colours ', 'paprika extract', 'beta-carotene', 'chlorophylls and chlorophyllins', 'curcumin']","['Huile de palme', 'Non végétalien', 'Non végétarien']",?,330,1381 kj(330 kcal),"0,1","0,1","76,3","54,6","4,7",E,,150 g,['mixed plastic-packet'],['Rowntrees'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",,,,,0.1 g,en faible quantité,0.1 g,en faible quantité,54.6 g,en quantité élevée,0.08 g,en faible quantité,,-7%,-8%,-95%,-91%,-8%,-6%,+122%,"0,08",-34%,"0,032",-34%,14,-3%,D,-3%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,4,,"['E428 - Gélatine', 'E330 - Acide citrique', 'E296 - Acide malique', 'E334 - Acide L-tartrique', 'E270 - Acide lactique', 'E260 - Acide acétique', 'E422 - Glycérol', 'E331 - Citrates de sodium', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E410 - Gomme de caroube', 'E903 - Cire de carnauba', 'E160c - Extrait de paprika', 'E160ai - Bêta-carotène', 'E140 - Chlorophylles et Chlorophyllines', 'E100 - Curcumine']",,,,
1736,Chicken jerky - Leon Jerkey,8594055310013,['France'],"['Viande de poulet', 'sel', 'sel mineral naturel', 'sucre', 'hydrolysat de protéines de soja', 'extrait de levure', 'vinaigre de vin', 'colorant: caramel', 'dextrose', 'poivre', 'maltodextrine', 'arôme', 'arôme de fumée', 'ail', 'conservateur: nitrite de sodium']","['Non végétalien', 'Non végétarien']",?,240,1004 kj(240 kcal),4,"1,6",1,"0,1",53,,,,,['Leon Jerkey'],,,,,,,,,,,,,,,,,,,,,,4,,"1,6",,,,,,,,,,,,,4,,"['E150 - Caramel', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,,
1737,Lifebar Cerises (47 GR) - Lifefood - 47g,8594071484521,"['France', 'Suisse']","[""'grédents: dattes•"", 'cerises sécYées• ', '22,5 %', 'noix de cajou crues•', 'amandes•', ' • issu de sric&', 're bicbgiqœ', "" Peu cotterir des traces d'adres tuts à coque et de sésame"", "" Peu corterir 'tes coquSes ou royaux"", ' nutritbnnelies pour 100 g: Erer', 'ie: œ3kJl 4E *cat &aisses: 18 g: • dort acides gras satt', 'rés: 2 g: Gœdes: 47 g', ' • dort sœres: 35 g: fibres: 12 g', ' 9 g', ' Sel: 0,02 g', ' Embau sous atmospttre protectice', ' Corser•eer à rabn de crabier', 'de e et Corsonvœr dam Es 5 pus après ovartve', ' A corsotm•er de préErerce']","['Végétalien', 'Végétarien']",?,406,1699 kj(406 kcal),18,2,47,35,9,,,47 g,,['Lifefood'],,"['Bio', 'Végétarien', 'Végétalien']",,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,['Fruits à coque'],,,
1738,Melange d'épices aux legumes,8600015002567,['France'],[],[],?,148,619 kj(148 kcal),"0,6","0,1",29,17,"5,7",B,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', ""Mélanges d'épices""]",,,,,0.6 g,en faible quantité,0.1 g,en faible quantité,17 g,en quantité élevée,58 g,en quantité élevée,,-35%,-35%,-88%,-86%,-5%,+52%,-24%,58,+300%,"23,2",+300%,,,,,57.6%,0.0%,22.5%,15.7%,4.2%,0.0%,86,,,,,,,
1739,Granny's Secret Tartinade De Prunes 580 mL,8600103831451,['France'],[],[],?,243,1017 kj(243 kcal),0,0,58,53,1,,,,,"[""Granny's Secret""]",,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,
1740,Ajvar épicé - Granny's Secret - 200g,8606018020041,['France'],[],[],?,500,2092 kj(500 kcal),"8,6",1,7,"5,9","1,7",,,200 g,['Glas'],"[""Granny's Secret""]","['Epicerie', 'Condiments']",,,['Serbie'],,8.6 g,en quantité modérée,1 g,en faible quantité,5.9 g,en quantité modérée,1.7 g,en quantité élevée,,+257%,+249%,+45%,+57%,-47%,-14%,-60%,"1,7",-70%,"0,68",-70%,14,+39%,D,+39%,,,,,,,,,,,,https://www.grannyssecret.com/ajvar/ajvar.html,,
1741,Ajvar poivrons et tomates,8606018021031,['France'],[],[],?,195,816 kj(195 kcal),18,2,6,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,"0,8",,,,,,,,,,,,,,,,,,,
1742,Infusée aux plantes,8610746303024,['France'],[],[],?,26,109 kj(26 kcal),0,0,"6,4","6,3",0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,
1743,Pişmaniye,8680738450180,['France'],[],[],?,415,1736 kj(415 kcal),"12,9","12,9","60,2","2,8","4,87",,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,
1744,Didi Eistee Pfirsich,8690105005356,['France'],[],[],?,82,343 kj(82 kcal),0,0,20,"8,5",0,,,,,['Didi'],['Boissons'],,,,,0 g,en faible quantité,0 g,en faible quantité,8.5 g,en quantité élevée,0 g,en faible quantité,,+46%,+42%,-100%,-100%,+77%,-10%,-100%,0,-100%,0,-100%,16,+109%,E,+109%,,,,,,,,,,,,,,
1745,didi soguk cay - 250ml,8690105006209,['France'],[],[],?,?,,?,,?,,?,,,250 ml,,['Didi'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1746,Bordo Turnip Juice - Torku - 1000ml,8690120050850,['France'],[],[],?,10,42 kj(10 kcal),0,0,0,0,0,,,1000ml,,['Torku'],,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,
1747,Fruit snack - Bebeto,8690146106586,['France'],"['granen oevatten', ' Koel en droog bewaren', ' FR - Confiserie', 'avec vitamines et calcium ajoutées', ' Ingrédients je pommes à base de concentré ', '85%', 'fibre de racine de chicorée', 'sirop de glucose', 'sucre', 'amidon de maïs modifié', 'gélatin ', 'oeuf', ""correcteur d'acidité "", 'E330', 'concentrés de jus de fruits et - légumes ', 'carotte noire', 'hibiscus', 'radis', 'pomme', 'cassis', 'spiru carthame', 'huile de palme', 'arômes', 'colorants ', 'El 63', 'El 60c', 'EIOO', 'poudre de fruits ', 'O,l%', 'fraise', 'citron', 'orange', 'poire', 'ban ananas', 'mangue', 'pêche', 'fruit de la passion', 'framboise', 'prune', 'jus de raisin à base de concentré ', '0,1%', 'carbonate de calc vitamine C', 'vitamine E', 'vitamine A', ""agents d'enrobage "", 'E903', ' E901', ' Peut contenir des traces de lait', 'de soja et des céré contenant du gluten']","['Huile de palme', 'Non végétalien', 'Non végétarien']",?,325,1360 kj(325 kcal),0,0,75,62,5,,,,,['Bebeto'],,['Sans conservateurs'],,,,,,,,,,,,,,,,,,,,"0,025",,"0,01",,,,,,,,,,,,,4,,"['E428 - Gélatine', 'E330 - Acide citrique', 'E502 - Carbonates', 'E903 - Cire de carnauba', ""E901 - Cire d'abeille""]",['Œufs'],,['Huile de palme'],
1748,Alpella Donut,8690504057116,['France'],"['sucre,farine de blé', 'huile végétale', 'palme,coton,colza,tournesol', 'palme et palmiste entièrement hydrogénées', ',eau', 'sirop de glucose,cacao maigre en poudre', '2,9%', ',sirop de sucre inverti,oeuf entier,amidon de mais,humectant', 'glycerol', 'poudre de lactosérum', 'lait', "",blanc d'oeuf,sel,chocolat au lait "", '0,3%', ',poudre de lait entier,émulsifiants  ', 'mono et diglycerides des acides gras,tristearate de sorbitane,lécithine de soja', 'polyricinoleate de polyglycerol', 'poudre à lever  ', 'diphosphate disodique', 'carbonate de sodium', 'amidon modifié,arômes', 'concervateurs  ', 'sorbate de potassium', 'propionate de sodium', 'acide sorbique', ',epaissant', 'carraghenane,gomme de guar', "",correcteur d'acidité "", 'acide citrique', 'peut contenir des traces de fruits à coques et graines de sésame']","['Huile de palme', 'Non végétalien']",?,496,2075 kj(496 kcal),"25,2","12,7","63,1","40,9",4,B,,,,,"['Biscuits et gâteaux', 'Gâteaux', 'Donuts', 'en:Biscuits et gâteaux', 'en:Gâteaux']",,,,,25.2 g,en quantité élevée,12.7 g,en quantité élevée,40.9 g,en quantité élevée,0.33 g,en quantité modérée,,+24%,+21%,+35%,+80%,+19%,+35%,-20%,"0,33",-47%,"0,132",-47%,26,+47%,E,+47%,65.3%,17.3%,8.4%,4.6%,4.4%,0.0%,87,4,,"['E422 - Glycérol', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E492 - Tristéarate de sorbitane', '', 'Risque élevé de sur-exposition', 'E322i - Lécithine', ""E476 - Esters polyglycériques d'acides gras d'huile de ricin"", 'E450i - Pyrophosphate de sodium acide', 'E500i - Carbonate de sodium', 'E14XX - Amidons modifiés', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E281 - Propionate de sodium', 'E200 - Acide sorbique', '', 'Risque élevé de sur-exposition', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E412 - Gomme de guar', 'E330 - Acide citrique']","['Œufs', 'Gluten', 'Lait', 'Soja']",,['Huile de palme'],
1749,O'lala - Ülker,8690504080893,['France'],[],[],?,400,1674 kj(400 kcal),22,10,47,33,"3,4",,,,,['Ülker'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1750,Eti Hosbes Wafer With Strawberry Cream 142G -,8690526095264,['France'],"['Strawberry Cream 73% [Sugar', 'Coconut Oil', 'Milk Powder Grese dencahey Powde Milk Product', 'Vegetable 01 ', 'Sunfiower', 'Cottonsee rawberry Powder 0,5%', 'Emulsifier ', 'Sunflower Lecilsin', 'folorant ', 'Beetroot red', 'Citric Acid', 'Salt', 'Flavourings', 'Crispy Wafers 27% [Wheat Flour ', 'Contains Gluten', 'Starch', 'Salt', 'Emulsifier ', 'Sunfilower Lecithin', 'Coronut ng Agents ', 'Sodium Hydrogen Cartbonate', 'Sodium Acid Pyrophosphae mmonium Hydrogen Carbonate', 'Cocoa', 'Yeast Extract', ' My sontain trace amounts of Hazelnut', 'Soy Product', 'Sesame and Peanut', 'F HOSBES - GAUFRETTE A LA CREME DE FRAISE - Ingrédients: Crème à la Fris 720% ile de Noix de Coco', 'Lait en poudre', 'Sirop de GlucOse', 'Poudre e actosérum ', 'Produit Laitier', 'Huile Végétale ', 'Tournesoi', 'Grekn de Coton', 'Poudre de Fraise 0,5%', 'Emulsifient ', 'Lécithine de tournesol', 'Colorant ', 'Rouge de Betterave', 'Acide Citrique', 'Sel', 'Aromes', 'Feuille de Gaufrete 27% IFarine de blé ', 'Contient du gluten', 'Amidon Sa EmuNAFEL MET Burnesol', 'Huile de Noix de Coco', 'Poudres à Lever ', 'Carbonate sdium Hydrogéné', ""Pyrophosphate d'Acide de Sodium"", ""Carbonate d'Ammonium Hydrogéné"", 'Cacao', 'Extrait de Levure] Peut contenir des traces du Noisette du Prodsit de Soja', 'du Sésame et d arachide', 'ARDBEIENROOM-Ingrediënten: Aardbeienroom 73% [Suiker', 'Kaa10otolie', 'Melkpoeder', 'Glucosesiroop', 'Weipoeder ', 'Zuivelproducten', 'Plantaardige Olie ', 'Zonnebloem', 'Katoen', 'Aardbeienpoeder 0,5%', 'Emulgator ', 'Zonneblosmerithine', 'Kleurstof ', 'Bietenrood', 'Citroenzu Lok farwebloem ', 'Bevat gluten', 'Zetmeel', 'Zout', 'Emulgator ', 'Zonnebloemizathine', 'Kokosnootolie', 'Rijsmiddelen ', 'Natriumbicarbonaat', 'Zuur Natriumpyrofosfaat', 'Ammoniumbicarbonaat', 'Cacao', 'Gistextract] Kan sporen van Hazelnoten', 'Soijaproducten', 'Sesam en Pinda s delatter der importeur für Deutschland', 'Belgien', 'Österreich', 'Schweizer', 'Schweden und Danemark ist VINCI FOOD BVBA Centrum - Zuid 3023 bus 3 3530 Houthalen-Belgien NL Fatih Sultan Bv Valmuiden 4 1046 Bv Amsterdam Holland Z lakalat Veyseloglu LLC', 'Keslie Kasabas', 'a Campbelilheld VIC 3061 aku/Azerbaijan F Importé en France par Sarl Birlik 1/13 Avenue Laennec 2/8 Chemin Des Fourches 93380 Pierrentte Sur Seine et par Sarl Euro Inter Food 13 Avenue Bataillon Carmagnole Liberte 69120 Vaulx-En-Velin GR-USA-CAN Imported inta Australia by Grand Foods 82 Barry RU', 'Campucineia e 1', ' 613', '93579244 GB-USA-CAN Imported into UK by EDA Quality Foods LTD 9 Morson Road Enfield', 'London EN3 4NQ 44 208 805 5978 GB-USA-CAN Imported into USA by TURKANA FOOD INC 555 N Michigan Ave', 'Kenilworth NJ07033 stam E Ortalama Besin Değerleri 100i için Durchschnitiliche Nährwerte Für 100 g Avarase Nutritinnal Valves Per 100 g ISabrated Fali ', 'Dovmus Yağl 5,0 170 1433kJ/343 Keal 359 DATE D HISTOIP SARL EL Enerpie ', 'Eneran LEneri Felt ', 'Fal Yao', ' BINT 4,50 2,6 0 Türk Gida Kod İŞLETME KAYIT TR-42-K-001449 Кeyin Tebidl Sofralik tarihi kapaktadır CEBEL ZEYTİN V Fetih Mah', 'Çevre OLL NVS VANON Seriny lmiştir', 'ifaza edi 444 2250 www', 'eytinliova Yolu üzeri 4']",['Non végétalien'],?,500,2092 kj(500 kcal),"24,2","21,6","67,1","38,1","5,4",,,,,,,,,,,,,,,,,,,,,,,,,,,"0,5",,"0,2",,,,,,,,,,,,,4,,"['E162 - Rouge de betterave', 'E330 - Acide citrique', 'E322i - Lécithine', 'E502 - Carbonates', 'E450i - Pyrophosphate de sodium acide', ""E503i - Carbonate d'ammonium""]",['Gluten'],,,
1751,SOUR CHERRY,8690558027554,['France'],[],[],?,200,837 kj(200 kcal),0,0,12,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,
