,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,eco_score,generic_name,quantity,packaging,brand,categories,labels,ingredients_origins,manufacturing,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nova_score,traceability_code,additives,allergens,link,palm_ingredients,brand_owner
791,Saucisson abbruzze - Villani,8002974025692,['France'],"['viande de porc', 'sel', 'dextrose', 'saccharose', 'épices', 'arômes naturels', 'vin', 'antioxydant ', 'ascorbate de sodium', 'conservateurs ', 'nitrite de sodium', 'nitrate de potassium']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,342,1431 kj(342 kcal),26,10,1,1,26,,,,,['Villani'],"['Viandes', 'Porc']",['en:gluten-free'],,,,26 g,en quantité élevée,10 g,en quantité élevée,1 g,en faible quantité,3.8 g,en quantité élevée,,+78%,+81%,+132%,+133%,+12%,+63%,+31%,"3,8",+99%,"1,52",+99%,23,+107%,E,+107%,,,,,,,,4,,"['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition']",,,,
792,Prosciutto cotto al tartufo,8002974026057,['France'],[],[],?,170,711 kj(170 kcal),10,4,1,1,19,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,9",,"0,76",,,,,,,,,,,,,,,,,,,
793,Spianata piccante,8002974030771,['France'],[],[],?,335,1402 kj(335 kcal),27,11,1,1,22,,,,,,,['en:gluten-free'],,,,,,,,,,,,,,,,,,,,"3,4",,"1,36",,,,,,,,,,,,,,,,,,,
794,Effervescente Tortoroglio,8002979620083,['France'],[],[],?,243,1017 kj(243 kcal),0,0,61,61,0,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,"4,8",,,,,,,,,,,,,,,,,,,
795,Venchi 56% Extra Dark Chocolate Bar (45G),8002996000165,['France'],[],[],?,564,2360 kj(564 kcal),37,22,"48,1","42,7","6,2",,,,,,,,,,,,,,,,,,,,,,,,,,,"0,11",,"0,044",,,,,,,,,,,,,,,,,,,
796,Gianduja - Venchi,8002996028008,['France'],[],[],?,623,2607 kj(623 kcal),"48,9","15,5","32,1","30,1","10,8",,,,,['Venchi'],,['en:gluten-free'],,,,,,,,,,,,,,,,,,,,"0,16",,"0,064",,,,,,,,,,,,,,,,,,,
797,Extra dark rhum chocolate spread - Venchi,8002996130107,['France'],[],[],?,353,1477 kj(353 kcal),"17,4","10,4","30,2","28,8","3,5",,,,,['Venchi'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner au chocolat']",,,,,17.4 g,en quantité modérée,10.4 g,en quantité élevée,28.8 g,en quantité élevée,0.03 g,en faible quantité,,-35%,-35%,-49%,+33%,-41%,-38%,-47%,"0,03",-73%,"0,012",-73%,20,-3%,E,-3%,,,,,,,,,,,,,,
798,Ecuador organic - Venchi - 70g,8002996303181,['France'],"[""Pâte de cacao de l'Equateur biologique""]",[],?,623,2607 kj(623 kcal),54,"32,4","12,5",1,14,E,,70 g,,['Venchi'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",['Point Vert'],['Équateur'],,,54 g,en quantité élevée,32.4 g,en quantité élevée,1 g,en faible quantité,0.25 g,en faible quantité,,+12%,+12%,+37%,+40%,-68%,-97%,+83%,"0,25",+435%,"0,1",+435%,18,-15%,D,-15%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,,,,,
799,Cameo Dolceneve,8003000116001,['France'],[],[],?,170,711 kj(170 kcal),"8,7","7,8",20,14,"3,4",,,,,,,,,,,,,,,,,,,,,,,,,,,"0,12",,"0,048",,,,,,,,,,,,,,,,,,,
800,Snack Friends - Cameo,8003000130717,['France'],[],['Sans huile de palme'],?,605,2531 kj(605 kcal),50,"6,1","9,1","6,2",26,,,,,['Cameo'],,['en:palm-oil-free'],,,,,,,,,,,,,,,,,,,,1,,"0,4",,,,,,,,,,,,,,,,,,,
801,Mousse - Cameo,8003000147401,['France'],[],[],?,787,3293 kj(787 kcal),"7,2","5,4",23,21,"5,8",,,,,['Cameo'],,,,,,,,,,,,,,,,,,,,,,"0,17",,"0,068",,,,,,,,,,,,,,,,,,,
