,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,allergens,generic_name,quantity,packaging,ingredients_origins,manufacturing,link,additives,palm_ingredients,nova_score,markets,traceability_code,producer_info
34,Deep ridged saveur nature - Lay's - 37g,3168930007913,B,"[""Lay's""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre']",['France'],"['Pommes de terre ', '53,7%', 'huile de maïs ', '35,1%', 'sel ', '1,2%']","['Sans huile de palme', 'Végétalien', 'Végétarien']",35.1 g,en quantité élevée,4.6 g,en quantité modérée,0.6 g,en faible quantité,1.3 g,en quantité modérée,2252,+1%,?,,2252 kj(538 kcal),+1%,"35,1",+8%,"4,6",+49%,"47,7",-7%,"0,6",-57%,"6,3",+6%,"1,3",0%,"0,52",0%,11,-3%,D,-3%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,"['Sans colorants artificiels', 'Sans colorants', 'en:palm-oil-free']",,Chips de pommes de terre extra ondulées nature,37 g,"['Sachet', 'Plastique']",,,,,,3,,,
35,Deep Ridged Barbecue - Lay's,3168930007920,B,"[""Lay's""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre', 'Chips de pommes de terre aromatisées', 'Chips barbecue']",['France'],[],[],33 g,en quantité élevée,4.5 g,en quantité modérée,3.2 g,en faible quantité,1.1 g,en quantité modérée,?,,532,+1%,2226 kj(532 kcal),+1%,33,+4%,"4,5",+57%,49,-5%,"3,2",+9%,"6,5",+4%,"1,1",-20%,"0,44",-20%,14,+25%,D,+25%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,"['Sans colorants', 'Sans huile de palme', 'Sans conservateurs']",,,,"['Sachet', 'Plastique']",,,,,,,,,
36,Deep Ridged Sour Cream & Onion - Lay's - 37g,3168930007937,B,"[""Lay's""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre', 'Chips de pommes de terre aromatisées']",['France'],"['pommes de terre', 'huile de maïs', 'base aromatisante crème et oignon ', 'sucre', 'poudre d’oignon', 'arômes ', 'contiennent lactose et protéines de lait', 'chlorure de potassium', 'poudre de persil', 'herbes', 'épices', 'sel']",['Sans huile de palme'],34 g,en quantité élevée,4.7 g,en quantité modérée,2.2 g,en faible quantité,1.2 g,en quantité modérée,?,,532,+1%,2226 kj(532 kcal),+1%,34,+6%,"4,7",+60%,49,-5%,"2,2",-5%,"6,5",+6%,"1,2",-16%,"0,48",-16%,11,-4%,D,-4%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,"['Sans colorants artificiels', 'Sans colorants', 'Sans conservateurs', 'en:palm-oil-free']",['Lait'],Chips de pomme de terre extra ondulées saveur crème et oignon,37 g,"['Point vert', 'Pensez au tri!', 'Sachet plastique à jeter']",,,,,,4,,,
37,Chips Paysannes Nature - Lay's - 135g,3168930008033,B,"[""Lay's""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre', 'Chips de pommes de terre aromatisées']",['France'],"['Pommes de terre', 'huiles végétales 38% ', 'tournesol', 'colza', 'sel']","['Sans huile de palme', 'Végétalien', 'Végétarien']",38 g,en quantité élevée,3.1 g,en quantité modérée,0.5 g,en faible quantité,1.5 g,en quantité élevée,2446,+11%,?,,2446 kj(585 kcal),+11%,38,+19%,"3,1",+5%,52,+1%,"0,5",-78%,"6,2",+1%,"1,501",+5%,"0,6",+5%,12,+5%,D,+5%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,"['Sans colorants artificiels', 'Sans conservateurs', 'en:palm-oil-free']",,Chips de pommes de terre paysannes goût nature,135 g,"['Sachet', 'Plastique']",,,,,,3,['Cora'],,
38,Twinuts bacon benenuts,3168930008248,,['Benenuts'],,['France'],"['cacahuètes ', '38%', 'farine de riz', 'amidon de blé', 'huile de tournesol', 'sucre', 'base aromatisante saveur bacon [poudre doignon et dail', 'poudre de fromage', 'arôme', 'chlorure de potassium', 'arôme de fumée', 'acidifiant ', 'acide citrique', 'sel', 'colorant ', 'jus de betterave concentré', 'extrait de paprika', "" Peut contenir des traces d'autres fruits à coque""]",['Non végétalien'],,,,,,,,,?,,548,,2293 kj(548 kcal),,35,,"5,1",,42,,"7,3",,14,,"2,8",,"1,12",,,,,,,,,,,,,,['Arachides'],,,,,,,"['E330 - Acide citrique', 'E160c - Extrait de paprika']",,4,,,
39,Benenuts cocktail fruits rouges,3168930008521,,,,['France'],[],[],,,,,,,,,?,,413,,1728 kj(413 kcal),,18,,"1,5",,51,,51,,"7,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Deep Ridged Cheese & Onion - Lay's,3168930008552,B,"[""Lay's""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre']",['France'],[],[],31 g,en quantité élevée,2.6 g,en quantité modérée,2 g,en faible quantité,1.5 g,en quantité modérée,?,,520,-2%,2176 kj(520 kcal),-2%,31,-5%,"2,6",-16%,52,+1%,2,+43%,"6,4",+7%,"1,5",+15%,"0,6",+15%,14,+24%,D,+24%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,"['Sans colorants', 'Sans huile de palme', 'Sans conservateurs']",,,,"['Sachet', 'Plastique']",,,,,,,,,
41,Saveur Barbecue Style - Lay's - 200g,3168930008910,B,"[""Lay's""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre', 'Chips de pommes de terre aromatisées', 'Chips barbecue']",['France'],"['Pommes de terre', 'huiles végétales 32 % ', 'tournesol', 'colza', 'base aromatisante barbecue style [lactose ', 'dont lait', 'sucre', ""poudres d'oignon"", ""d'ail"", 'de paprika', 'persil', 'exhausteurs de goût ', 'glutamate monosodique', ""5'ribonucléotide disodique"", 'dextrose', 'protéines de soja hydrolysées', 'arômes', ""correcteurs d'acidité "", 'acide citrique', 'acide malique', 'colorant ', 'extrait de paprika', 'édulcorant ', 'aspartame', 'protéines de lait', 'arôme de fumée]', 'sel']","['Sans huile de palme', 'Non végétalien']",32 g,en quantité élevée,2.6 g,en quantité modérée,3.4 g,en faible quantité,2.1 g,en quantité élevée,2204,+0%,?,,2204 kj(527 kcal),-0%,32,+1%,"2,6",-9%,52,+1%,"3,4",+16%,"5,7",-9%,"2,1",+53%,"0,84",+53%,13,+16%,D,+16%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,"['Sans colorants artificiels', 'Sans conservateurs', 'en:palm-oil-free']","['Lait', 'Soja']",Chips de pommes de terre saveur barbecue style,200 g,"['Sachet', 'Plastique']",,,,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', ""E635 - 5'-ribonucléotide disodique"", 'E330 - Acide citrique', 'E296 - Acide malique', 'E160c - Extrait de paprika', 'E951 - Aspartame']",,4,['LIDL'],,
42,Sweet Chili Pepper - Doritos,3168930009146,B,['Doritos'],"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de maïs']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,,,,,,,,,,,,,,
43,Mélange de noix nobles - Bénénuts - 90g,3168930009160,,['Bénénuts'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Snacks salés', 'Fruits à coques et dérivés', 'Fruits à coques', 'Fruits à coques décortiqués', 'Fruits à coque grillés', 'Fruits à coque salés']",['France'],"['Amandes', 'noix du Brésil', 'noisette noix', 'noix de cajou', 'huile de tournesol', 'sel', "" Peut contenir des traces d'autres fruits à coque et d'arachides""]",[],64 g,en quantité élevée,8.7 g,en quantité élevée,3.4 g,en faible quantité,0.48 g,en quantité modérée,?,,666,+9%,2787 kj(666 kcal),+9%,64,+30%,"8,7",+13%,7,-55%,"3,4",-43%,18,-22%,"0,48",-58%,"0,192",-58%,13,+88%,D,+88%,,,,,,,,,['Fruits à coque'],Mélange de graines grillées et salées,90 g,"['Sachet', 'Plastique']",,,,,,3,"['Simply Market', 'Magasins U']",,
44,Biscuits apéritif Apéro Cracks fins & fondants - Benenuts,3168930009559,,['Benenuts'],,['France'],[],[],,,,,,,,,?,,504,,2109 kj(504 kcal),,?,,24,,?,,60,,"9,6",,"1,9",,"0,76",,,,,,,,,,,,,,,,,,,,,,,,['Magasins U'],,
45,Les incraquables goût jambon fromage - Benenuts - 70g,3168930009672,B,['Benenuts'],"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs']",['France'],"['Flocons de pomme de terre', 'huile de maïs ', '23 %', 'amidon de pomme de terre', 'farines de riz et de maïs', 'base aromatisante fromage [lactose', 'arômes', 'poudre de petit-lait', 'fromage en poudre', 'exhausteurs de goût ', 'glutamate monosodique', 'guanylate disodique', 'inosinate disodique', 'chlorure de potassium', 'colorants ', 'extrait de paprika', 'annatto', 'arôme de fumée]', 'levure', 'sel']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",23.1 g,en quantité élevée,3.3 g,en quantité modérée,1.8 g,en faible quantité,1.3 g,en quantité modérée,2009,+0%,?,,2009 kj(480 kcal),+2%,"23,1",+16%,"3,3",-39%,"60,3",+2%,"1,8",-54%,"5,7",-42%,"1,3",-35%,"0,52",-35%,9,-42%,C,-42%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,,['Lait'],Biscuit apéritif goût jambon fromage,70 g,"['Sachet', 'Plastique']",,,,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E627 - Guanylate disodique', 'E631 - Inosinate disodique', 'E508 - Chlorure de potassium', '', 'Risque modéré de sur-exposition', 'E160c - Extrait de paprika', 'E160b - Rocou']",,4,,,
46,Fritelle goût Emmental (lot de 2) - Bénénuts - 80g,3168930009931,B,['Bénénuts'],"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs', 'Biscuits apéritifs soufflés']",['France'],"['Semoule de maïs', 'poudre de pomme de terre ', '28 %', ' ', 'dont sulfites', 'huile de colza', 'base aromatisante emmental [poudre de fromage ', 'lait', 'poudre de petit-lait', 'exhausteurs de goût ', 'glutamate monosodique', 'guanylate disodique', 'inosinate disodique', 'arômes', 'huile de beurre ', 'lait', 'colorant ', 'annatto', ']', 'sel']",['Non végétalien'],16 g,en quantité modérée,2 g,en quantité modérée,2.5 g,en faible quantité,1.9 g,en quantité élevée,1899,-7%,?,,1899 kj(454 kcal),-7%,16,-33%,2,-36%,68,+15%,"2,5",-27%,"8,2",+10%,"1,9",-5%,"0,76",-5%,12,-19%,D,-19%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,,"['Lait', 'Anhydride sulfureux et sulfites']",Bâtonnets soufflés goût Emmental,80 g,"['Sachet', 'Plastique']",,,,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E627 - Guanylate disodique', 'E631 - Inosinate disodique', 'E160b - Rocou']",,4,['Noz'],,
47,Saveur Bacon fumé - Lay's - 120g,3168930010074,B,"[""Lay's""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre', 'Chips de pommes de terre aromatisées']",['France'],"['Pommes de terre', 'huiles végétales 33% ', 'tournesol', 'colza', 'en proportion variable', 'base aromatisante saveur bacon fumé [sel', 'lactose ', 'lait', 'exhausteurs de goût ', 'glutamate de sodium', 'guanylate de sodium', 'inosinate de sodium', 'protéines de soja hydrolysées', 'arômes ', 'dont blé', 'lait', 'arômes de fumée', 'acidifiant ', 'acide citrique', ']']","['Sans huile de palme', 'Non végétalien']",30.9 g,en quantité élevée,2.6 g,en quantité modérée,1.7 g,en faible quantité,1.6 g,en quantité élevée,2167,-2%,?,,2167 kj(518 kcal),-2%,"30,9",-3%,"2,6",-12%,"52,2",+1%,"1,7",-27%,"6,2",+1%,"1,6",+12%,"0,64",+12%,11,-4%,D,-4%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,"['Sans colorants artificiels', 'Sans colorants', 'Sans conservateurs', 'en:palm-oil-free']","['Gluten', 'Lait', 'Soja']",Chips de pommes de terre saveur bacon fumé,120 g,"['Sachet', 'Plastique']","['France', 'Belgique', 'Allemagne']",,,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E627 - Guanylate disodique', 'E631 - Inosinate disodique', 'E330 - Acide citrique']",,4,['Cora'],,
48,Cruesli goût Vanille - Quaker - 500g,3168930010104,B,"['Quaker', 'PepsiCo']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Flocons', 'Mueslis', 'Flocons de céréales', 'Céréales extrudées', 'Flocons extrudés', 'Céréales au miel', 'Pétales multicéréales', 'Cereales-a-la-vanille']",['France'],"['Avoine complète ', '47%', ' sucre', 'huile de tournesol', ' sirop de glucose', 'maïs', ' farine de riz', ' farine de blé', 'sel', 'mélasse', 'miel', ""extrait de malt d'orge"", ' arôme vanille', ' antioxydant ', 'tocophérol']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",17 g,en quantité modérée,1.8 g,en quantité modérée,21 g,en quantité élevée,0.7 g,en quantité modérée,?,,462,+17%,1933 kj(462 kcal),+16%,17,+261%,"1,8",+71%,68,-13%,21,-16%,"6,9",-7%,"0,7",+50%,"0,28",+50%,8,+6%,C,+6%,53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,"['Riche en fibres', 'Source de céréales complètes']","['Gluten', 'Avoine']",Pépites de céréales croquantes saveur vanille,500 g,"['Carton', 'Sachet', 'Plastique', 'PAP']",,,,['E307c - Tocophérol'],,4,"['Leclerc', 'Auchan', ""Ocady'Plus"", 'Leader Price']",,
49,L'apero - Benenuts,3168930010135,,['Benenuts'],,['France'],['• torr www beoenLtsft ASSOR'],['Sans huile de palme'],,,,,,,,,?,,508,,2125 kj(508 kcal),,25,,"3,2",,56,,"4,3",,12,,2,,"0,8",,,,,,,,,,,,,['en:palm-oil-free'],,,,,,,,,,,,,
50,Apéro Cracks Maxi Craquants goût Fromage Frais & Ciboulette - Bénetuts - 90g,3168930010340,B,['Bénetuts'],"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs']",['France'],"['Farine ', 'blé', 'blé complet', 'maïs', 'huile de colza ', '15%', 'sirop de glucose-fructose', 'amidon', 'base aromatisante goût fromage frais et ciboulette [poudre de petit-lait', 'sel', ""poudre d'oignon"", 'fromage ', 'lait', 'poudre de babeurre ', 'lait', 'ciboulette', 'herbes et épices', 'arômes ', 'dont blé et céleri', 'sucre ', ""flocons d'avoine"", 'germes de blé', 'émulsifiant ', 'lécithine de soja', 'poudres à lever ', 'bicarbonate de sodium', 'phosphate de calcium', 'poudre de levure']","['Sans huile de palme', 'Non végétalien']",17 g,en quantité modérée,1.8 g,en quantité modérée,12 g,en quantité modérée,2.2 g,en quantité élevée,?,,457,-2%,1912 kj(457 kcal),-2%,17,-15%,"1,8",-67%,65,+9%,12,+206%,"7,3",-26%,"2,2",+10%,"0,88",+10%,12,-22%,D,-22%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,['en:palm-oil-free'],"['Céleri', 'Gluten', 'Lait', 'Avoine', 'Soja']",Crackers goût fromage frais et ciboulette,90 g,"['Boîte', 'Carton', 'Plastique', 'Sachet']",,,,"['E322i - Lécithine', 'E500ii - Carbonate acide de sodium', 'E341 - Phosphates de calcium', '', 'Risque élevé de sur-exposition']",,4,,,
51,Gourmet Nature très croustillant - Lay's - 45g,3168930010432,B,"[""Lay's""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre', ""Chips de pommes de terre à l'huile de tournesol""]",['France'],"['Pommes de terre', 'huile de tournesol 31%', 'sel']","['Sans huile de palme', 'Végétalien', 'Végétarien']",32 g,en quantité élevée,2.6 g,en quantité modérée,0.5 g,en faible quantité,1.5 g,en quantité modérée,2108,-5%,?,,2108 kj(504 kcal),-6%,32,-4%,"2,6",-12%,46,-9%,"< 0,5",-61%,"7,7",+31%,"1,5",+14%,"0,6",+14%,10,-8%,C,-8%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,"['Sans colorants artificiels', 'Sans colorants', 'Sans conservateurs', 'en:palm-oil-free']",,,45 g,"['Sachet', 'Plastique']",,,,,,3,['Auchan'],,
52,Chips gourmet Saveur Jambon de pays - Lay's - 45g,3168930010449,B,"[""Lay's""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre', 'Chips de pommes de terre aromatisées', ""Chips de pommes de terre à l'huile de tournesol""]",['France'],"['Pommes de terre', 'huile de tournesol ', '30%', 'base aromatisante jambon de pays [poudre de petit-lait', 'sel', 'chapelure de blé', 'exhausteurs de goût ', 'glutamate monosodique', 'guanylate disodique', 'inosinate disodique', 'protéines de soja hydrolysées', 'arômes', 'arôme de fumée]']","['Sans huile de palme', 'Non végétalien']",31 g,en quantité élevée,2.6 g,en quantité modérée,1.7 g,en faible quantité,1.3 g,en quantité modérée,?,,502,-5%,2100 kj(502 kcal),-5%,31,-3%,"2,6",-12%,46,-11%,"1,7",-27%,8,+31%,"1,3",-9%,"0,52",-9%,9,-21%,C,-21%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,"['Sans colorants artificiels', 'Sans colorants', 'Sans conservateurs', 'en:palm-oil-free']","['Gluten', 'Lait', 'Soja']",,45 g,"['Sachet', 'Plastique']",,,,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E627 - Guanylate disodique', 'E631 - Inosinate disodique']",,4,,,
53,Chips nature - Lay's - 200g,3168930010494,B,"[""Lay's""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre']",['France'],"['Pommes de terre', 'huiles végétales 34% ', 'tournesol', 'colza en proportion variable', 'sel']","['Sans huile de palme', 'Végétalien', 'Végétarien']",34 g,en quantité élevée,2.7 g,en quantité modérée,0.3 g,en faible quantité,1.3 g,en quantité modérée,?,,541,+2%,2264 kj(541 kcal),+2%,34,+4%,"2,7",-13%,52,+1%,"0,3",-79%,"6,1",+2%,"1,3",0%,"0,52",0%,9,-20%,C,-20%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,"['Sans colorants artificiels', 'Sans colorants', 'Sans conservateurs', 'en:palm-oil-free']",,Chips de pommes de terre goût nature,200 g,"['Sachet', 'Plastique']",,,,,,3,['Netto'],,
54,Saveur Barbecue - Lay's - 200g,3168930010500,B,"[""Lay's""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre', 'Chips de pommes de terre aromatisées', 'Chips barbecue']",['France'],"['pommes de terre', 'huiles végétales 32% ', 'tournesol', 'colza en proportion variable', 'base aromatisante barbecue ', 'sucre', 'arôme ', 'contient du soja', 'chapelure ', 'de blé', 'exhausteur de goût ', 'glutamate de sodium', 'paprika', ""poudre d'oignon"", 'poudre de tomate', ""poudre d'ail"", ""correcteurs d'acidité "", 'acide citrique', 'acide malique', 'colorant ', 'extrait de paprika', 'arômes de fumée', 'sel']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",32 g,en quantité élevée,2.6 g,en quantité modérée,2.8 g,en faible quantité,1.3 g,en quantité modérée,2221,+1%,?,,2221 kj(531 kcal),+0%,32,+1%,"2,6",-9%,52,+1%,"2,8",-5%,"6,4",+3%,"1,3",-5%,"0,52",-5%,9,-20%,C,-20%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,"['Sans colorants artificiels', 'Sans colorants', 'Sans conservateurs', 'en:palm-oil-free']","['Gluten', 'Soja']",Chips de pommes de terre saveur barbecue,200 g,"['sachet', 'plastique', 'Pensez au tri!', 'Green dot', 'Sachet plastique à jeter']",,,,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E296 - Acide malique', 'E160c - Extrait de paprika']",,4,['Netto'],,
55,Golden muesli Dattes & Noix Coco - Quaker,3168930010562,B,['Quaker'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Mueslis']",['France'],"['Avoine complète ', '65%', 'raisins secs', 'noix de coco ', '7%', 'pétales de blé ', 'farine de blé complet', 'farine de maïs', 'inuline', ""extrait de malt d'orge"", 'sel', 'datte ', '4%', 'graines de tournesol ', '2,9%', 'amande', 'seigle complet', 'oligofructose', 'arôme naturel de raisin']",[],11 g,en quantité modérée,5 g,en quantité modérée,12 g,en quantité modérée,0 g,en faible quantité,?,,388,-7%,1623 kj(388 kcal),-7%,11,-16%,5,+51%,66,+9%,12,-29%,11,+12%,0,-100%,0,-100%,0,-100%,B,-100%,53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,,"['Gluten', 'Fruits à coque', 'Avoine']",,,,,,,,,3,,,
56,Sweet chilli pepper - Doritos,3168930011316,,['Doritos'],,['France'],[],[],,,,,,,,,?,,504,,2109 kj(504 kcal),,26,,"2,1",,59,,3,,"7,1",,2,,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,
57,Cocktail Classique,3168930098850,,,,['France'],[],[],,,,,,,,,?,,507,,2121 kj(507 kcal),,35,,"4,8",,36,,26,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Chips saveur Bolognaise - Lay's - 20 * 45g,3168930104346,B,"[""Lay's""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre', 'Chips de pommes de terre aromatisées', 'Chips bolognaise']",['France'],"['Pommes de terre', 'huiles végétales 32% ', 'tournesol', 'colza', 'base aromatisante saveur bolognaise [lactosérum en poudre ', 'lait', 'arômes ', 'dont paprika en poudre', 'persil', 'oignon en poudre', 'poivre noir', 'piment', 'tomate et origan', 'sucre', 'chlorure de potassium', ""correcteur d'acidité "", 'acide citrique', 'arômes de fumée]', 'sel']",['Non végétalien'],32 g,en quantité élevée,2.6 g,en quantité modérée,2.8 g,en faible quantité,1.4 g,en quantité modérée,2222,-1%,?,,2222 kj(531 kcal),-1%,32,-4%,"2,6",-11%,52,+1%,"2,8",+24%,6,-1%,"1,4",+1%,"0,56",+1%,10,-9%,C,-9%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,,['Lait'],,20 * 45 g,"['Carton', 'Sachet', 'Plastique']",,,,['E330 - Acide citrique'],,4,,,
