,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,brand,labels,markets,generic_name,packaging,additives,allergens,nova_score,traceability_code,ingredients_origins,manufacturing,link,palm_ingredients,brand_owner
769,TRANCHÉ Oriental,3700656404982,,,['France'],[],[],,,,,,,,,?,,221,,925 kj(221 kcal),,"5,8",,"3,1",,"9,2",,"2,8",,31,,"2,2",,"0,88",,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,
770,Régal Abricots - Provenance Nature,3490090050448,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'abricot""]",['France'],"['Fruits* 65 g pour 100 g', 'jus de fruits*', 'jus de citron', 'pectine', "" *Issu de l'Agriculture Biologique"", ' Teneur totale en sucres: 45g pour 100 g']",[],0.1 g,en faible quantité,0 g,en faible quantité,45 g,en quantité élevée,0 g,en faible quantité,?,,173,-21%,724 kj(173 kcal),-21%,"0,1",-56%,0,-100%,45,-15%,45,-11%,"0,6",+20%,0,-100%,0,-100%,9,+0%,C,+0%,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,,['Provenance Nature'],"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,['E440 - Pectines'],,4,,,,,,
771,jacobs Kaffee Granulat -  - 200g,0088100003220,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés']","['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,200 g,,,,,,,,,,,,,,
772,Cassoulet au confit de canard (manchons) - Larroque,3700038000085,C,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à la volaille', 'Plats à base de haricots', 'Plats au canard', 'Cassoulets', 'Cassoulets au confit de canard']",['France'],[],[],7 g,en quantité modérée,2.4 g,en quantité modérée,1.3 g,en faible quantité,0.98 g,en quantité modérée,?,,140,-8%,586 kj(140 kcal),-8%,7,-10%,"2,4",-15%,"8,5",+8%,"1,3",+81%,"8,7",-17%,"0,98",+10%,"0,392",+10%,2,+22%,B,+22%,66.0%,17.7%,6.2%,5.5%,2.7%,2.0%,72,,['Larroque'],,,,,,,,,,,,,
773,Fou d'érable,0692136500990,,,['France'],[],[],,,,,,,,,?,,220,,920 kj(220 kcal),,0,,0,,54,,48,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
774,Palet gourmand mendiant hiver lait,3760078998223,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
775,Régal de Fraises - Provenance Nature,3490090050479,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Provenance Nature'],"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,,,,,,
776,Pâte de curry biryani,5015821149840,,"['Epicerie', 'Sauces', 'Pâtes de curry']",['France'],[],[],19 g,en quantité modérée,1.9 g,en quantité modérée,6.7 g,en quantité modérée,10.3 g,en quantité élevée,?,,237,+23%,992 kj(237 kcal),+24%,19,+54%,"1,9",-6%,12,-6%,"6,7",+27%,"4,5",+37%,"10,3",+49%,"4,12",+49%,14,+12%,D,+12%,,,,,,,,,,,,,,,,,,,,,,
777,Super sours,0745092011359,,,['France'],[],[],,,,,,,,,?,,371,,1552 kj(371 kcal),,"0,4",,"0,28",,"92,4",,74,,"0,04",,"0,075",,"0,03",,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,,,
778,Chips de banane - 078kg,2800745003544,E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Bananes séchées']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,59.6%,25.6%,2.0%,11.4%,1.4%,0.0%,29,078 kg,,,,,,,,,,,,,,
779,Macarrão Di Gragnano Fusilli Di Capri N85,8033406265850,,,['France'],[],[],,,,,,,,,?,,350,,1464 kj(350 kcal),,1,,"0,3",,73,,"2,5",,13,,"0,005",,"0,002",,,,,,,,,,,,,,,,,,,,,,,,,,,
780,Flour - 00 Grade (1kg) - Molino - 1kg,8001918000078,,,['France'],[],[],,,,,,,,,?,,339,,1418 kj(339 kcal),,"0,8",,"0,2",,73,,1,,9,,0,,0,,,,,,,,,,,,,1 kg,,,,,,,,,,,,,,
781,Régal Framboises - Provenance Nature,3490090050493,,,['France'],[],[],,,,,,,,,?,,166,,695 kj(166 kcal),,"0,3",,0,,45,,45,,"0,9",,0,,0,,,,,,,,,,,,,,['Provenance Nature'],"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,,,,,,
782,5205247199097,5205247199097,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
783,Rizola,3359810125357,,,['France'],[],[],,,,,,,,,?,,316,,1322 kj(316 kcal),,"0,8",,"0,05",,"70,7",,"9,7",,"5,9",,3,,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,
784,Sci Mx Flapjack - Yoghurt And Honey,5060161302486,,,['France'],[],[],,,,,,,,,?,,373,,1561 kj(373 kcal),,11,,"5,2",,52,,"3,8",,26,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,
785,pâté de foie de porc - jambons du bocage - 188g,2408487014639,,"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Pâté', 'Pâtés de foie']",['France'],"['FR sg292', '001 CE SARL Jambons du bocage PATE DE FOIE M GHEDIENTS Foe de porc[36%ld origine france', 'gras et rge de porc francais LAIT frais pasteurisé blanc 0EU chalote sel povre fécule ail dextrosemuscade', 'con ervateur E250 antioxydantE316', 'colorant de surface caramel SOUS RTI 1OSPHERE M10DIFIE ACONSERVER DE O°C A+4°C 026290 13', '11', '18 0,188kg Date demballage No de lot:']",[],31 g,en quantité élevée,12.1 g,en quantité élevée,0.7 g,en faible quantité,3.53 g,en quantité élevée,?,,340,-4%,1423 kj(340 kcal),-3%,31,-5%,"12,05",-2%,?,,"0,7",-13%,13,+14%,"3,531",+117%,"1,412",+117%,24,+19%,E,+19%,,,,,,,,188 g,['jambons du bocage'],,,,,,['Lait'],,,,,,,
786,Chocolat au lait aux granulés de sucre,2030912099999,,,['France'],[],[],,,,,,,,,?,,533,,2230 kj(533 kcal),,30,,"18,1",,"58,8",,56,,"5,8",,"0,16",,"0,064",,,,,,,,,,,,,,,,,,,,,,,,,,,
787,Comté 15 mois d'affinage minimum,2671308034707,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",['France'],[],[],35 g,en quantité élevée,23 g,en quantité élevée,0 g,en faible quantité,0.9 g,en quantité modérée,?,,418,+5%,1749 kj(418 kcal),+6%,35,+7%,23,+6%,0,-100%,0,-100%,27,+7%,"0,9",-8%,"0,36",-8%,13,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,,
788,Pur jus de tomate - Gilbert,3439495404944,,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Boissons à base de végétaux', 'Aliments et boissons à base de légumes', 'Légumes et dérivés', 'Jus et nectars', 'Tomates et dérivés', 'Boissons aux légumes', 'Jus de légumes', 'Jus de tomates']",['France'],[],[],0.5 g,en faible quantité,0.1 g,en faible quantité,3.8 g,en quantité modérée,0.6 g,en quantité modérée,?,,21,+5%,88 kj(21 kcal),+7%,"0,5",+181%,"0,1",+248%,"3,8",+3%,"3,8",+18%,"0,8",+7%,"0,6",+42%,"0,24",+42%,-2,,B,,,,,,,,,,['Gilbert'],,['Metro'],,,,,,,,,,,
789,2 BIFTECKS TENDRES ET SAVOUREUX - Charal,0292472033260,,,['France'],[],[],,,,,,,,,?,,113,,473 kj(113 kcal),,"2,3",,"0,8",,0,,0,,23,,"0,17",,"0,068",,,,,,,,,,,,,,['Charal'],"['Viande Française', 'Viande-bovine-francaise']",,,,,,,,,,,,
790,Saucisson original coeur de chevre,3351160000797,,,['France'],[],[],,,,,,,,,?,,409,,1711 kj(409 kcal),,"30,5",,"10,7",,"4,1",,"1,6",,"26,3",,"3,4",,"1,36",,,,,,,,,,,,,,,,,,,,,,,,,,,
791,Palette de porc demi sel,2253645034635,,,['France'],[],[],,,,,,,,,?,,158,,661 kj(158 kcal),,10,,4,,"0,1",,"0,1",,17,,"2,1",,"0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,
792,Huile vegetale colza olive tournesol,3760105020057,,,['France'],[],"['Végétalien', 'Végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,"['Végétarien', 'Végétalien']",,,,,,,,,,,,
793,Cacahuètes grillées salées,03646603,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Snacks', 'Légumineuses', 'Snacks salés', 'Fruits à coques et dérivés', 'Fruits à coques', 'Fruits à coque grillés', 'Cacahuètes', 'Fruits à coque salés', 'Cacahuètes grillées', 'Cacahuètes salées']",['France'],[],[],2.1 g,en faible quantité,1 g,en faible quantité,5.1 g,en quantité modérée,1 g,en quantité modérée,?,,618,+2%,2586 kj(618 kcal),+2%,"2,1",-96%,1,-86%,11,-11%,"5,1",-3%,27,+6%,1,-15%,"0,4",-15%,2,-67%,B,-67%,91.0%,1.7%,3.2%,2.0%,2.2%,0.0%,45,,,,,,,,,,,,,,,
794,"Indian Tonic - Schwesppes - 0,25L",8594008041940,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"0,25 L",['Schwesppes'],,,,,,,,,,,,,
795,"Marinade, Florida - Mcennedy",20406387,,,['France'],[],[],,,,,,,,,?,,103,,431 kj(103 kcal),,"1,5",,"0,2",,20,,16,,1,,12,,"4,8",,,,,,,,,,,,,,['Mcennedy'],,,,,,,,,,,,,
796,Chevre de l'ecaillon,3770001532264,,,['France'],[],[],,,,,,,,,?,,259,,1084 kj(259 kcal),,21,,"16,1",,"0,5",,"0,5",,17,,"0,5",,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,
797,2 biftecks tendres et savoureux - Charal,0292472038647,,,['France'],[],[],,,,,,,,,?,,113,,473 kj(113 kcal),,"2,3",,"0,8",,0,,0,,23,,"0,17",,"0,068",,,,,,,,,,,,,,['Charal'],,,,,,,,,,,,,
798,Parmentier canard,3394920379337,,,['France'],[],[],,,,,,,,,?,,139,,582 kj(139 kcal),,"7,9",,"3,4",,11,,"1,2",,6,,"0,51",,"0,204",,,,,,,,,,,,,,,,,,,,,,"['FR 38.565.001 CE', 'Voreppe (Isère, France)']",,,,,
799,Goldbears - Haribo,2103206444802,,,['France'],[],[],,,,,,,,,?,,343,,1435 kj(343 kcal),,"0,5",,"0,1",,77,,46,,"6,9",,"0,07",,"0,028",,,,,,,,,,,,,,['Haribo'],,,,,,,,,,,,,
800,Fried Small Cricket,8859202600158,,,['France'],[],[],,,,,,,,,?,,466,,1950 kj(466 kcal),,23,,6,,6,,0,,53,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
801,Pizza bûche de chèvre,3565270011165,,,['France'],[],[],,,,,,,,,?,,239,,1000 kj(239 kcal),,"9,8",,"5,5",,"29,3",,"4,7",,"7,5",,"1,27",,"0,508",,,,,,,,,,,,,,,,,,,,,,,,,,,
802,confinade de tomate,2600147017190,,,['France'],[],[],,,,,,,,,?,,188,,787 kj(188 kcal),,16,,"1,1",,"6,9",,"6,3",,"2,5",,"5,81",,"2,324",,,,,,,,,,,,,,,['Fabriqué en France'],,,,,,,,,,,,
803,3250391544233,3250391544233,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
804,Pate de fruits,3760045460128,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Aliments à base de fruits et de légumes', 'Snacks sucrés', 'Confiseries', 'Fruits et produits dérivés', 'Pâtes de fruits']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,82.2%,8.9%,4.6%,3.2%,1.0%,0.0%,58,,,,,,,,,,,,,,,
805,Antioxidant infusion antioxidant beverage,0813694023640,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux']","['France', 'États-Unis']","['Filtered water', 'bai proprietary sweetener blend ', 'erythritol', 'stevia leaf extract', 'lemon juice concentrate', 'natural flavors', 'strawberry juice concentrate', 'citric acid', 'coffeefruit extract', 'white tea extract', 'vegetable juice ', 'for color', 'malic acid', 'vitamin c ', 'ascorbic acid', 'sodium citrate']",[],0 g,en faible quantité,0 g,en faible quantité,0.42 g,en faible quantité,0.005 g,en faible quantité,?,,2,-95%,8 kj(2 kcal),-95%,0,-100%,0,-100%,"2,53",-70%,"0,42",-94%,0,-100%,"0,005",-80%,"0,002",-80%,2,-66%,C,-66%,,,,,,,,,,,,,,"['E968 - Érythritol', 'E330 - Acide citrique', 'E296 - Acide malique', 'E331 - Citrates de sodium']",,4,,,,,,Bai Brands LLC
806,00960388,00960388,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
807,Soupe printaniere - La Cuisine des Potagers,3770006126321,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['La Cuisine des Potagers'],,,,,,,,,,,,,
808,Power Balls - Whole Earth,5013665113997,,,['France'],[],[],,,,,,,,,?,,405,,1695 kj(405 kcal),,"17,5",,"2,5",,"42,8",,"37,8",,16,,"0,1",,"0,04",,,,,,,,,,,,,,['Whole Earth'],['en:gluten-free'],,,,,,,,,,,,
809,Palmiers au Fromage Pur Beurre - Jean d'Audignac - 80g,3700238320518,B,"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs', 'Palmiers salés']",['France'],"['Farine de blé ', 'gluten', 'beurre ', 'lait', ' 29', '3%', 'Gouda ', 'lait', ' 11,8%', 'Edam ', 'lait', ' 5,9%', 'sel', 'levure', 'colorant : extrait de paprika', ' Peut contenir des traces de sésame', 'soja', 'oeuf', 'fruits à coque']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",24.2 g,en quantité élevée,16.5 g,en quantité élevée,1.5 g,en faible quantité,3.1 g,en quantité élevée,?,,458,-11%,1916 kj(458 kcal),-12%,"24,2",-18%,"16,5",-14%,"46,9",-7%,"1,5",+3%,"12,2",+15%,"3,1",+10%,"1,24",+10%,25,0%,E,0%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,80 g,"[""Jean d'Audignac""]",,,,,['E160c - Extrait de paprika'],"['Gluten', 'Lait']",4,,,,,,
810,Sirop de menthe,3041311028335,B,"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de menthe']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,,,,,,,,,,
811,Jambon blanc,3760142300341,E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,,,,,,,,,,,,,
812,Crème dessert - 125g,3010000005742,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,125 g,,,,,,,,,,,,,,
813,saucisse sèche perche,0246431029320,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Sans colorants'],,,,,,,,,,,,
814,Amandes décortiquées - 12 3 bio - 100g,13564285,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs']",['France'],"['Graines de sésames', ""de la moutarde et d'autres fruits à la coque""]",[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,100g,['12 3 bio'],"['Bio', 'Bio européen', 'FR-BIO-10', 'AB Agriculture Biologique']",,,['Sachet'],,"['Moutarde', 'Fruits à coque', 'Graines de sésame']",1,,['France'],['Cavaillon'],,,
815,Thé de Noël - Le temps des cerises,3564884009322,B,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés noirs', 'Thés aromatisés', 'Thés noirs aromatisés']",['France'],"['thé noir', 'arôme 5%', ""zestes d'orange 2%"", ' pétales de bleuet', 'pétale de rose', 'pétales de Souci', ' Traces de fruits à coque']",[],,,,,,,,,?,,0,-100%,0 kj(0 kcal),-100%,?,,,,?,,,,?,,0,-100%,0,-100%,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,['Le temps des cerises'],,,,,,,4,,,,,,
816,Saussisses de Toulouse,3760001972641,,,['France'],[],[],,,,,,,,,?,,284,,1188 kj(284 kcal),,"24,5",,"4,5",,17,,"0,91",,"14,54",,"2,1",,"0,84",,,,,,,,,,,,,,,,,,,,,,"['FR 43.177.003 CE', 'Saint-Didier-en-Velay (Haute-Loire, France)']",,,,,
817,Mini andouille,2210279033328,,,['France'],[],[],,,,,,,,,?,,294,,1230 kj(294 kcal),,25,,11,,"0,5",,"0,5",,18,,"2,2",,"0,88",,,,,,,,,,,,,,,,,,,,,,"['FR 29.058.021 CE', 'Fouesnant (Finistère, France)']",,,,,
818,Follaert  raison,2030000025329,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
819,Sel de mer /fin,3183280000520,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820,Halwat turc aux amande - 350g,6132500920497,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,350 g,,,,,,,,,,,,,,
821,Ice cream,5413495104590,,,['France'],[],[],,,,,,,,,?,,196,,820 kj(196 kcal),,"6,7",,"4,2",,"33,6",,27,,"2,3",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
822,Himbeer Fruchtlikör - Mitterhof - 500g,23142749,E,"['Boissons', 'Boissons alcoolisées', 'Liqueurs']","['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,57.4%,11.3%,20.5%,8.1%,1.7%,1.0%,33,500 g,['Mitterhof'],,,,['Flasche'],,,,,,,,,
823,Saucisse de foie,3377440010041,,,['France'],[],[],,,,,,,,,?,,343,,1435 kj(343 kcal),,"23,1",,"9,5",,"4,1",,"2,7",,"29,8",,"4,2",,"1,68",,,,,,,,,,,,,,,['Sans colorants'],,,,,,,,,,,,
824,100% végetal : Avoine-Riz-Amande,0211121008275,,,['France'],[],[],,,,,,,,,?,,93,,389 kj(93 kcal),,"1,8",,"0,7",,17,,"9,7",,"1,5",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,
825,Milde Currypaste - Rajah - 300G - 300g,5015821149789,,,['France'],[],[],,,,,,,,,?,,252,,1054 kj(252 kcal),,20,,2,,14,,8,,4,,"11,3",,"4,52",,,,,,,,,,,,,300 g,,,,,,,,,,,,,,
826,St Maure De Touraine Aop,0202800036733,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
827,Biscuit fins,0654479012097,,,['France'],[],[],,,,,,,,,?,,516,,2159 kj(516 kcal),,26,,17,,65,,31,,"5,7",,"0,8",,"0,32",,,,,,,,,,,,,,,['Fabriqué en France'],,,,,,,,,,,,
828,Tarte artisanale aux 4 céréales,8002963019510,,,['France'],[],[],,,,,,,,,?,,412,,1724 kj(412 kcal),,"13,3",,"7,2",,"68,6",,"27,3",,3,,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,
829,Haricots mange-tout au naturel - Karine & Jeff,3760052231742,,,['France'],[],[],,,,,,,,,?,,33,,138 kj(33 kcal),,"0,2",,0,,"5,1",,"2,2",,"1,3",,"0,8",,"0,32",,,,,,,,,,,,,,['Karine & Jeff'],['Bio'],,,,,,,,,,,,
830,Pois cassés,3664887000859,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
831,12 Minis Macarons,0202593038709,D,"['Snacks', 'Desserts', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Macarons']",['France'],[],[],18 g,en quantité modérée,4.3 g,en quantité modérée,52 g,en quantité élevée,0.16 g,en faible quantité,?,,416,-2%,1741 kj(416 kcal),-2%,18,+1%,"4,3",-5%,52,-6%,52,+3%,"9,8",+14%,"0,16",+12%,"0,064",+12%,19,+8%,E,+8%,88.9%,5.7%,2.0%,2.2%,1.2%,0.0%,37,,,,,,,,,,,,,,,
832,2218448015410,2218448015410,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,
833,Garbure landaise,3443800001360,,,['France'],[],[],,,,,,,,,?,,77,,322 kj(77 kcal),,"3,8",,"1,3",,"4,3",,"0,4",,"6,4",,"0,45",,"0,18",,,,,,,,,,,,,,,,,,,,,,,,,,,
834,The original doony's,0207025018045,B,"['Biscuits et gâteaux', 'Gâteaux', 'Donuts']",['France'],[],[],20 g,en quantité modérée,9.3 g,en quantité élevée,16 g,en quantité élevée,1.1 g,en quantité modérée,?,,397,-3%,1661 kj(397 kcal),-3%,20,-12%,"9,3",-12%,48,+7%,16,-5%,"6,8",+15%,"1,1",+16%,"0,44",+16%,20,+3%,E,+3%,65.3%,17.3%,8.4%,4.6%,4.4%,0.0%,87,,,,,,,,,,,,,,,
835,Tagliatelle aux oeufs et truffe - Perrin - 250g,3760018712315,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Nouilles', 'Pâtes alimentaires', 'Pâtes de blé dur', ""Pâtes de blé dur à l'œuf"", 'Nouilles aux oeufs', 'Tagliatelles aux œufs']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,250 g,['Perrin'],,,,,,,,,,,,,
836,"Peanuts, raisins and milk chocolate peanuts - Tesco",5057753097455,,,['France'],[],[],,,,,,,,,?,,492,,2059 kj(492 kcal),,"29,2",,"7,1",,"36,7",,"32,2",,"17,1",,"0,1",,"0,04",,,,,,,,,,,,,,['Tesco'],,,,,,,,,,,,,
837,Pâtes artisanal,3760218930090,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
838,Soubressade forte,2853249026441,,,['France'],[],[],,,,,,,,,?,,547,,2289 kj(547 kcal),,55,,20,,"1,8",,"1,2",,11,,"2,8",,"1,12",,,,,,,,,,,,,,,,,,,,,,,,,,,
839,Raclette en tranche nature - Pâturages,3250391737741,C,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Raclettes', 'Fromages en tranches']",['France'],"['Lait de vache pasteurisé ', 'origine : France', 'matière grasse laitière ', 'lait', 'sel', 'ferments actiques ', 'lait', 'enzyme coagulante', 'Conservateur:natamycine']",['Non végétalien'],28 g,en quantité élevée,19 g,en quantité élevée,0.5 g,en faible quantité,1.8 g,en quantité élevée,?,,349,+1%,1460 kj(349 kcal),+1%,28,+2%,19,+3%,"0,9",+22%,"0,5",+17%,"23,4",-1%,"1,8",+7%,"0,72",+7%,16,+2%,D,+2%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,['Pâturages'],,['Intermarché'],,,['E235 - Natamycine'],['Lait'],3,,,,,,
840,Coppa - Oberti - 1,2447449057277,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,1,['Oberti'],,,,,,,,,,,,,
841,ST NECTAIRE AOP PAST (28%MG),2817896010697,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
842,Munghetto (mascarpone et gorgonzola),2480667016206,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Gorgonzola et mascarpone']",['France'],[],[],36.5 g,en quantité élevée,26 g,en quantité élevée,1.54 g,en faible quantité,0.67 g,en quantité modérée,?,,381,-0%,1594 kj(381 kcal),-0%,"36,5",0%,26,+2%,"1,54",+36%,"1,54",+57%,"11,8",-2%,"0,67",-17%,"0,268",-17%,11,-8%,D,-8%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,['Gorgonzola et mascarpone'],,,,,,,,,
843,Organic Jersey,8711258018496,,,['France'],[],[],,,,,,,,,?,,397,,1661 kj(397 kcal),,34,,21,,"0,5",,"0,5",,24,,2,,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,
844,Saucisson Lorrain,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
845,Vegetable soup,5051882108723,,,['France'],[],[],,,,,,,,,?,,19,,79 kj(19 kcal),,"0,4",,"0,2",,"3,4",,"1,5",,"0,5",,"0,5",,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,
846,Blood Balls - Vidal,8413178286398,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Chewing-gum', ""Aliments et boissons d'Halloween""]",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Vidal'],['en:gluten-free'],,,,,,,,,,,,
