,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,nutriment_salt_tr,nutriment_sodium_tr,salt_quantity,salt_comment,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,packaging,labels,ingredients_origins,manufacturing,markets,additives,allergens,nova_score,traceability_code,generic_name,palm_ingredients,link
1597,Chipolata superieur - 0.319kg,0210648022832,E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas']",['France'],[],[],9.4 g,en quantité modérée,3.8 g,en quantité modérée,0.5 g,en faible quantité,?,,183,-23%,766 kj(183 kcal),-23%,"9,4",-50%,"3,8",-47%,"0,5",-57%,"0,5",-21%,17,+10%,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,"2,1","0,84",2.1 g,en quantité élevée,+17%,+17%,14,-16%,D,-16%,0.319 kg,,"['Viande Française', 'Viande Porcine Française', 'Bleu Blanc Cœur', 'Label Rouge']",,,,,,,,,,
1598,Chipolata Supérieure,0210648022894,E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas']",['France'],[],[],9.4 g,en quantité modérée,3.8 g,en quantité modérée,0.5 g,en faible quantité,?,,183,-23%,766 kj(183 kcal),-23%,"9,4",-50%,"3,8",-47%,"0,5",-57%,"0,5",-21%,17,+10%,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,"2,1","0,84",2.1 g,en quantité élevée,+17%,+17%,14,-16%,D,-16%,,,"['Viande Française', 'Viande Porcine Française']",,,,,,,,,,
1599,Saucisse de toulouse - Boucher Jean Rozé,0210649031352,E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses de Toulouse']",['France'],"['SE DE PUR PORC ROUGE ET BLANC', ' CŒUR', ' Ingrédients viande de [origine : 93%', 'eau', 'sel', 'dextrose de mois', 'poivre', 'antioxydants : de sodium et acide ascorbique', '\\KûreldeprtYALEL16']",[],9.4 g,en quantité modérée,3.8 g,en quantité modérée,0.5 g,en faible quantité,?,,183,-16%,766 kj(183 kcal),-17%,"9,4",-43%,"3,8",-41%,"0,5",-70%,"0,5",-19%,17,+13%,82.4%,13.2%,3.1%,0.8%,0.4%,0.1%,11,['Boucher Jean Rozé'],"2,1","0,84",2.1 g,en quantité élevée,+22%,+22%,14,-7%,D,-7%,,,"['Sans colorants', 'Label Rouge']",,,,,,,,,,
1600,4 saucisses de Toulouse supérieur,0210649032731,E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses de Toulouse']",['France'],[],[],9.4 g,en quantité modérée,3.8 g,en quantité modérée,0.5 g,en faible quantité,?,,183,-16%,766 kj(183 kcal),-17%,"9,4",-43%,"3,8",-41%,"0,5",-70%,"0,5",-19%,17,+13%,82.4%,13.2%,3.1%,0.8%,0.4%,0.1%,11,,"2,1","0,84",2.1 g,en quantité élevée,+22%,+22%,14,-7%,D,-7%,,,"['Viande Française', 'Viande Porcine Française', 'Sans colorants']",,,,,,,,,,
1601,Saucisse de Toulouse,0210649033066,E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses de Toulouse']",['France'],[],[],9.4 g,en quantité modérée,3.8 g,en quantité modérée,0.5 g,en faible quantité,?,,183,-16%,766 kj(183 kcal),-17%,"9,4",-43%,"3,8",-41%,"0,5",-70%,"0,5",-19%,17,+13%,82.4%,13.2%,3.1%,0.8%,0.4%,0.1%,11,,"2,1","0,84",2.1 g,en quantité élevée,+22%,+22%,14,-7%,D,-7%,,,"['Sans colorants', 'Label Rouge']",,,,,,,,,,
1602,Saucisses de Toulouse superieur,0210649033196,E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses de Toulouse']",['France'],[],[],9.4 g,en quantité modérée,3.8 g,en quantité modérée,0.2 g,en faible quantité,?,,183,-16%,766 kj(183 kcal),-17%,"9,4",-43%,"3,8",-41%,"0,5",-70%,"0,2",-68%,17,+13%,82.4%,13.2%,3.1%,0.8%,0.4%,0.1%,11,,"2,1","0,84",2.1 g,en quantité élevée,+22%,+22%,14,-7%,D,-7%,,,"['Sans colorants', 'Label Rouge']",,,,,,,,,,
1603,Saucisse de Toulouse,0210649033325,E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses de Toulouse']",['France'],[],[],9.4 g,en quantité modérée,3.8 g,en quantité modérée,0.5 g,en faible quantité,?,,183,-16%,766 kj(183 kcal),-17%,"9,4",-43%,"3,8",-41%,"0,5",-70%,"0,5",-19%,17,+13%,82.4%,13.2%,3.1%,0.8%,0.4%,0.1%,11,,"2,1","0,84",2.1 g,en quantité élevée,+22%,+22%,14,-7%,D,-7%,,,"['Viande Française', 'Viande Porcine Française', 'Sans colorants']",,,,,,,,,,
1604,Saucisse de Toulouse - Jean Rozé,0210649033653,D,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses de Toulouse']",['France'],[],[],9.4 g,en quantité modérée,3.8 g,en quantité modérée,0.5 g,en faible quantité,?,,183,-16%,766 kj(183 kcal),-17%,"9,4",-43%,"3,8",-41%,"0,5",-70%,"0,5",-19%,17,+13%,82.4%,13.2%,3.1%,0.8%,0.4%,0.1%,11,['Jean Rozé'],"2,1","0,84",2.1 g,en quantité élevée,+22%,+22%,14,-7%,D,-7%,,"['Barquette', 'Plastique']","['Viande Française', 'Viande Porcine Française', 'Sans colorants', 'Bleu Blanc Cœur', 'Label Rouge']",['France'],['France'],['Intermarché'],,,,,,,
1605,Saucisse de Toulouse - 0.520kg,0210649033783,E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses de Toulouse']",['France'],[],[],9.4 g,en quantité modérée,3.8 g,en quantité modérée,0.5 g,en faible quantité,?,,183,-16%,766 kj(183 kcal),-17%,"9,4",-43%,"3,8",-41%,"0,5",-70%,"0,5",-19%,17,+13%,82.4%,13.2%,3.1%,0.8%,0.4%,0.1%,11,,"2,1","0,84",2.1 g,en quantité élevée,+22%,+22%,14,-7%,D,-7%,0.520 kg,,"['Viande Française', 'Viande Porcine Française', 'Label Rouge']",,,,,,,,,,
1606,Saucisse de Toulouse,0210651033917,E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses de Toulouse']",['France'],[],[],9.4 g,en quantité modérée,3.8 g,en quantité modérée,0.5 g,en faible quantité,?,,183,-16%,766 kj(183 kcal),-17%,"9,4",-43%,"3,8",-41%,"3,8",+128%,"0,5",-19%,17,+13%,82.4%,13.2%,3.1%,0.8%,0.4%,0.1%,11,,"2,1","0,84",2.1 g,en quantité élevée,+22%,+22%,14,-7%,D,-7%,,,"['Sans colorants', 'Label Rouge']",,,,,,,,,,
1607,Chouquettes,0210661021652,,,['France'],[],[],,,,,,,?,,383,,1602 kj(383 kcal),,19,,"9,9",,43,,28,,"7,8",,,,,,,,,,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,
1608,Beignet pomme - Leclerc,0210712017054,,"['Snacks', 'Snacks sucrés', 'Beignets sucrés']",['France'],[],['Sans huile de palme'],8.7 g,en quantité modérée,1.2 g,en faible quantité,12 g,en quantité modérée,?,,282,-21%,1180 kj(282 kcal),-21%,"8,7",-45%,"1,2",-65%,41,-9%,12,-26%,"6,1",-4%,,,,,,,,['Leclerc'],"0,69","0,276",0.69 g,en quantité modérée,-6%,-6%,6,-50%,C,-50%,,,['en:palm-oil-free'],,,,,,,,Beignets fourrés à la purée de pomme,,
1609,P chocolat,0210718044610,,,['France'],[],[],,,,,,,?,,330,,1381 kj(330 kcal),,19,,13,,34,,10,,"5,7",,,,,,,,,,"0,73","0,292",,,,,,,,,,,,,,,,,,,,,
1610,2 Pavés marinés 2poivres extra tendre - Boucher Jean Rozé,0210734019357,,,['France'],[],[],,,,,,,?,,116,,485 kj(116 kcal),,"3,6",,1,,"0,5",,"0,5",,20,,,,,,,,,['Boucher Jean Rozé'],"1,1","0,44",,,,,,,,,,,"['Viande Française', 'Viande-bovine-francaise']",,,,,,,,,,
1611,2paves marines au 2poivres,0210734020735,,,['France'],[],[],,,,,,,?,,116,,485 kj(116 kcal),,"3,6",,1,,"0,5",,"0,5",,20,,,,,,,,,,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,
1612,2 pavés marinés,0210734023095,,,['France'],[],[],,,,,,,?,,116,,485 kj(116 kcal),,"3,6",,1,,"0,5",,"0,5",,20,,,,,,,,,,"1,19","0,476",,,,,,,,,,,"['Viande Française', 'Viande-bovine-francaise']",,,,,,,,,,
1613,Paves marines - Jean Roze,0210734023880,,,['France'],"['Viande bovine ', 'Origine: France', ' 90%', 'eau', 'matières grasses de tournesol et de karité', 'sel', 'poivres 0,5%', 'légumes ', 'poivron rouge', 'ail', 'coriandre', 'piment doux', ""extraits d'épices"", ""correcteurs d'acidité : E262-E327"", 'antioxydant : E300', ""arômes naturels d'échalote et de poivre""]","['Non végétalien', 'Non végétarien']",,,,,,,?,,116,,485 kj(116 kcal),,"3,6",,1,,"0,5",,"0,5",,20,,,,,,,,,['Jean Roze'],"1,1","0,44",,,,,,,,,,,,,,['Intermarché'],"['E262 - Acétates de sodium', 'E327 - Lactate de calcium', 'E300 - Acide ascorbique']",,4,,,,
1614,2 pavés marinés - Jean Rozé,0210734024078,,,['France'],[],[],,,,,,,?,,116,,485 kj(116 kcal),,"3,6",,1,,"0,5",,"0,5",,20,,,,,,,,,['Jean Rozé'],"1,1","0,44",,,,,,,,,,,"['Viande Française', 'Viande-bovine-francaise']",,,['Intermarché'],,,,"['FR 35.360.005 CE', 'Vitré (Ille-et-Vilaine, France)']",,,
1615,Pavés marinés - Jean Rozé,0210734024474,,,['France'],"['viande bovine ', 'Origine : France', ' 90%', 'eau', 'matières grasses de tournesol et de karité', 'sel', 'poivres légumes ', 'poivron rouge', 'ail', 'coriandre', 'piment doux', ""extraits d'épices"", ""correcteurs d'acidité : E262-E321/ antioxydant : E300"", ""arômes naturels d'échalote et de poivre""]","['Non végétalien', 'Non végétarien']",,,,,,,?,,116,,485 kj(116 kcal),,"3,6",,1,,"0,5",,"0,5",,20,,,,,,,,,['Jean Rozé'],"1,1","0,44",,,,,,,,,,,"['Viande Française', 'Viande-bovine-francaise']",,,['Intermarché'],"['E262 - Acétates de sodium', 'E321 - Butylhydroxytoluène', 'E300 - Acide ascorbique']",,4,"['FR 35.360.005 CE', 'Vitré (Ille-et-Vilaine, France)']",,,
1616,2 pavés marinés,0210734025198,,,['France'],[],[],,,,,,,?,,116,,485 kj(116 kcal),,"3,6",,1,,"0,5",,"0,5",,20,,,,,,,,,,"1,14","0,456",,,,,,,,,,,,,,,,,,,,,
1617,2 Pavés marinés ( 2 poivres,0210734026171,,,['France'],[],[],,,,,,,?,,116,,485 kj(116 kcal),,"3,6",,1,,"0,5",,"0,5",,20,,,,,,,,,,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,
1618,Pavés marinés,0210734026379,,,['France'],[],[],,,,,,,?,,116,,485 kj(116 kcal),,"3,6",,1,,"0,5",,"0,5",,20,,,,,,,,,,"1,1","0,44",,,,,,,,,,,"['Viande Française', 'Viande-bovine-francaise']",,,,,,,"['FR 35.360.005 CE', 'Vitré (Ille-et-Vilaine, France)']",,,
1619,Pavé mariné 2 poivres,0210734026966,,,['France'],[],[],,,,,,,?,,116,,485 kj(116 kcal),,"3,6",,1,,"0,5",,"0,5",,20,,,,,,,,,,"1,1","0,44",,,,,,,,,,,"['Viande Française', 'Viande-bovine-francaise']",,,,,,,,,,
1620,Pavés marinés,0210734027161,,,['France'],[],[],,,,,,,?,,116,,485 kj(116 kcal),,"3,6",,1,,"0,5",,"0,5",,20,,,,,,,,,,"1,1","0,44",,,,,,,,,,,"['Viande Française', 'Viande-bovine-francaise']",,,,,,,,,,
1621,2 pavés marinés,0210734027758,,,['France'],[],[],,,,,,,?,,116,,485 kj(116 kcal),,"3,6",,1,,0,,0,,20,,,,,,,,,,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,
1622,2 Pavés marinés 2 Poivres,0210734028731,,,['France'],[],[],,,,,,,?,,116,,485 kj(116 kcal),,"3,6",,1,,"0,5",,"0,5",,20,,,,,,,,,,"1,1","0,44",,,,,,,,,,,,,,,,,,"['FR 35.360.005 CE', 'Vitré (Ille-et-Vilaine, France)']",,,
1623,2 Pavés marinés,0210735019158,,,['France'],[],[],,,,,,,?,,95,,397 kj(95 kcal),,"1,3",,"0,6",,"0,7",,"0,5",,20,,,,,,,,,,1,"0,4",,,,,,,,,,,"['Viande Française', 'Viande-bovine-francaise']",,,,,,,,,,
1624,2 pavés marinés,0210735021328,,,['France'],[],[],,,,,,,?,,401,,1678 kj(401 kcal),,"1,3",,"0,6",,"0,7",,"0,5",,20,,,,,,,,,,1,"0,4",,,,,,,,,,,"['Viande Française', 'Viande-bovine-francaise']",,,,,,,"['FR 35.360.005 CE', 'Vitré (Ille-et-Vilaine, France)']",,,
1625,2 pavés marinés,0210735022301,,,['France'],[],[],,,,,,,?,,95,,397 kj(95 kcal),,"1,3",,"0,6",,"0,7",,"0,5",,20,,,,,,,,,,1,"0,4",,,,,,,,,,,"['Viande Française', 'Viande-bovine-francaise']",,,,,,,,,,
1626,Pavés marinés,0210735023292,,,['France'],[],[],,,,,,,?,,95,,397 kj(95 kcal),,"1,3",,"0,6",,"0,7",,"0,5",,20,,,,,,,,,,1,"0,4",,,,,,,,,,,"['Viande Française', 'Viande-bovine-francaise']",,,,,,,,,,
1627,2 pavés marinés - Boucher Jean Rozé,0210735023681,,,['France'],[],[],,,,,,,?,,95,,397 kj(95 kcal),,"1,3",,"0,6",,"0,7",,"0,5",,20,,,,,,,,,['Boucher Jean Rozé'],1,"0,4",,,,,,,,,,,"['Viande Française', 'Viande-bovine-francaise']",,,,,,,,,,
1628,Pavés marines échalotes - Jean Rozé,0210735024077,,,['France'],[],[],,,,,,,?,,95,,397 kj(95 kcal),,"1,3",,"0,6",,"0,7",,"0,5",,20,,,,,,,,,['Jean Rozé'],"0,975","0,39",,,,,,,,,,,"['Viande Française', 'Viande-bovine-francaise']",,,['Intermarché'],,,,"['FR 35.360.005 CE', 'Vitré (Ille-et-Vilaine, France)']",,,
1629,2 pavés marinés échalote,0210735024992,,,['France'],[],[],,,,,,,?,,95,,397 kj(95 kcal),,"1,3",,"0,6",,"0,7",,"0,5",,20,,,,,,,,,,1,"0,4",,,,,,,,,,,,,,,,,,,,,
1630,Pavés marinés,0210735026965,,,['France'],[],[],,,,,,,?,,93,,389 kj(93 kcal),,"1,3",,"0,6",,"0,7",,"0,5",,20,,,,,,,,,,1,"0,4",,,,,,,,,,,"['Viande Française', 'Viande-bovine-francaise']",,,,,,,"['FR 35.360.005 CE', 'Vitré (Ille-et-Vilaine, France)']",,,
1631,2 pavés marinés échalote,0210735027559,,,['France'],[],[],,,,,,,?,,95,,397 kj(95 kcal),,"1,3",,"0,6",,"0,7",,"0,5",,20,,,,,,,,,,1,"0,4",,,,,,,,,,,,,,,,,,,,,
1632,Lard,0210742018762,,,['France'],[],[],,,,,,,?,,293,,1226 kj(293 kcal),,25,,"9,1",,"2,2",,"1,3",,"1,3",,,,,,,,,,1,"0,4",,,,,,,,,,,,,,,,,,,,,
1633,0210748011743,0210748011743,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1634,Jambon,0210748013846,,,['France'],[],[],,,,,,,?,,274,,1146 kj(274 kcal),,18,,"7,5",,1,,"0,5",,27,,,,,,,,,,"5,9","2,36",,,,,,,,,,,,,,,,,,,,,
1635,Jambon sec superieur calixte -,0210749020737,E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons crus', 'Jambons secs', 'en:raw-cured-ham']",['France'],[],[],18 g,en quantité modérée,7.5 g,en quantité élevée,0.5 g,en faible quantité,?,,274,+14%,1146 kj(274 kcal),+15%,18,+33%,"7,5",+45%,1,+54%,"0,5",+15%,27,-6%,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,,"5,9","2,36",5.9 g,en quantité élevée,+20%,+20%,20,+18%,E,+18%,,,['Qualité supérieure'],,,,,,,,,,
1636,Jambon sec supérieur -,0210749021321,E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons crus', 'Jambons secs', 'en:raw-cured-ham']",['France'],[],[],18 g,en quantité modérée,7.5 g,en quantité élevée,0.5 g,en faible quantité,?,,274,+14%,1146 kj(274 kcal),+15%,18,+33%,"7,5",+45%,1,+54%,"0,5",+15%,27,-6%,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,,"5,9","2,36",5.9 g,en quantité élevée,+20%,+20%,20,+18%,E,+18%,,,['Qualité supérieure'],,,,,,,,,,
1637,Jambon sec supérieur calixte -,0210749023882,E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons crus', 'Jambons secs', 'en:raw-cured-ham']",['France'],[],[],18 g,en quantité modérée,7.5 g,en quantité élevée,0.5 g,en faible quantité,?,,274,+14%,1146 kj(274 kcal),+15%,18,+33%,"7,5",+45%,1,+54%,"0,5",+15%,27,-6%,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,,"5,9","2,36",5.9 g,en quantité élevée,+20%,+20%,20,+18%,E,+18%,,,['Qualité supérieure'],,,,,,,,,,
1638,SUCETTE CHOCOLAT BLANC,0210764013127,,,['France'],[],[],,,,,,,?,,235,,983 kj(235 kcal),,"8,3",,"5,2",,37,,25,,"1,8",,,,,,,,,,"0,37","0,148",,,,,,,,,,,,,,,,,,,,,
1639,Pain aux raisons,0210768017718,,,['France'],[],[],,,,,,,?,,264,,1105 kj(264 kcal),,"9,8",,"6,3",,40,,16,,"5,1",,,,,,,,,,"0,53","0,212",,,,,,,,,,,,,,,,,,,,,
1640,Jambon cuit supérieur Aoste -,0210797018373,E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",['France'],[],[],7.5 g,en quantité modérée,2.7 g,en quantité modérée,1 g,en faible quantité,?,,156,+18%,653 kj(156 kcal),+19%,"7,5",+56%,"2,7",+47%,1,+49%,1,+68%,21,-0%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,2,"0,8",2 g,en quantité élevée,+7%,+7%,11,+56%,D,+56%,,,"['Viande Française', 'Viande Porcine Française', 'Qualité supérieure']",,,,,,,"['FR 38.012.001 CE', 'Aoste (Isère, France)']",,,
1641,Jambon cuit supérieur Aoste -,0210797018830,E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",['France'],[],[],7.5 g,en quantité modérée,2.7 g,en quantité modérée,1 g,en faible quantité,?,,156,+18%,653 kj(156 kcal),+19%,"7,5",+56%,"2,7",+47%,1,+49%,1,+68%,21,-0%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,2,"0,8",2 g,en quantité élevée,+7%,+7%,11,+56%,D,+56%,,,['Qualité supérieure'],,,,,,,,,,
1642,Jambon cuit superieur AOSTE -,0210797020475,E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",['France'],[],[],7.5 g,en quantité modérée,2.7 g,en quantité modérée,1 g,en faible quantité,?,,156,+18%,653 kj(156 kcal),+19%,"7,5",+56%,"2,7",+47%,1,+49%,1,+68%,21,-0%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,2,"0,8",2 g,en quantité élevée,+7%,+7%,11,+56%,D,+56%,,,"['Viande Française', 'Viande Porcine Française', 'Qualité supérieure']",,,,,,,"['FR 38.012.001 CE', 'Aoste (Isère, France)', 'EMB 38012', 'Aoste (Isère, France)']",,,
1643,Pavé de Pontault - Leclerc - Un pain,0210801008208,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains']",['France'],"['Farine de BLÉ T65 ', '90', '4 %', ': farine de BLÉ', 'GLUTEN de BLÉ', 'farine de BLÉ malté', 'enzymes : alpha-amylases', 'eau ', '6', '4 %', 'sel ', '2 %', 'Levure ', '1', '2 %']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",0.7 g,en faible quantité,0 g,en faible quantité,1.4 g,en faible quantité,?,,263,-20%,1100 kj(263 kcal),-20%,"0,7",-89%,0,-100%,53,-3%,"1,4",-64%,"9,7",+2%,,,,,,,,['Leclerc'],"1,4","0,56",1.4 g,en quantité modérée,+9%,+9%,4,-22%,C,-22%,Un pain,"['Papier', 'Sachet']",,,,['Leclerc'],['E1100 - Amylases'],['Gluten'],4,,,,
1644,Pavé d' Aoste,0210830014898,,,['France'],[],[],,,,,,,?,,388,,1623 kj(388 kcal),,32,,13,,"2,1",,"1,6",,23,,,,,,,,,,"4,2","1,68",,,,,,,,,,,,,,,,,,"['FR 38.012.001 CE', 'Aoste (Isère, France)']",,,
1645,Pavé Aoste,0210830015413,,,['France'],[],[],,,,,,,?,,388,,1623 kj(388 kcal),,32,,13,,"2,1",,"1,6",,23,,,,,,,,,,"4,2","1,68",,,,,,,,,,,,,,,,,,,,,
1646,Pain chocolat 3 meuniers - Leclerc,0210835026247,,,['France'],[],[],,,,,,,?,,399,,1669 kj(399 kcal),,23,,15,,41,,12,,"6,9",,,,,,,,,['Leclerc'],"0,87","0,348",,,,,,,,,,,,,,['Leclerc'],,,,,,,
1647,Tomme de savoie,0210836027090,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Produits de montagne', 'Fromages de montagne', 'Tommes', 'en:tomme-cheese-from-mountain-or-savoy']",['France'],[],[],29 g,en quantité élevée,19 g,en quantité élevée,0.5 g,en faible quantité,?,,357,+1%,1494 kj(357 kcal),+1%,29,+3%,19,-3%,"0,5",-48%,"0,5",+61%,24,-3%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,"1,5","0,6",1.5 g,en quantité modérée,+3%,+3%,15,+1%,D,+1%,,,,,,,,,,"['FR 74.012.160 CE', 'Annemasse (Haute-Savoie, France)']",,,
1648,Fromage du Jura,0210836028608,,,['France'],[],[],,,,,,,?,,410,,1715 kj(410 kcal),,34,,22,,"0,5",,"0,5",,26,,,,,,,,,,1,"0,4",,,,,,,,,,,,,,,,,,,,,
1649,Comté AOP 16 mois,0210841031167,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",['France'],[],[],35 g,en quantité élevée,23 g,en quantité élevée,0.5 g,en faible quantité,?,,427,+8%,1787 kj(427 kcal),+8%,35,+7%,23,+6%,1,+116%,"0,5",+80%,27,+7%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,"0,9","0,36",0.9 g,en quantité modérée,-8%,-8%,13,-3%,D,-3%,,,,,,,,,,,,,
1650,Comté,0210841035363,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",['France'],[],[],35 g,en quantité élevée,23 g,en quantité élevée,0.5 g,en faible quantité,?,,427,+8%,1787 kj(427 kcal),+8%,35,+7%,23,+6%,1,+116%,"0,5",+80%,27,+7%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,"0,9","0,36",0.9 g,en quantité modérée,-8%,-8%,13,-3%,D,-3%,,,,,,,,,,,,,
1651,Comte AOP 16 mois minimum,0210841038906,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",['France'],[],[],35 g,en quantité élevée,23 g,en quantité élevée,0.5 g,en faible quantité,?,,427,+8%,1787 kj(427 kcal),+8%,35,+7%,23,+6%,1,+116%,"0,5",+80%,27,+7%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,"0,9","0,36",0.9 g,en quantité modérée,-8%,-8%,13,-3%,D,-3%,,,,,,,,,,,,,
1652,Comté - 0.314kg,0210841041067,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",['France'],[],[],35 g,en quantité élevée,23 g,en quantité élevée,0.5 g,en faible quantité,?,,427,+8%,1787 kj(427 kcal),+8%,35,+7%,23,+6%,1,+116%,"0,5",+80%,27,+7%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,"0,9","0,36",0.9 g,en quantité modérée,-8%,-8%,13,-3%,D,-3%,0.314 kg,,,,,,,,,,,,
1653,Comté - 0.328g,0210841042835,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",['France'],"['lait cru', 'sel', 'ferments lactiques', 'présure']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",35 g,en quantité élevée,23 g,en quantité élevée,0.5 g,en faible quantité,?,,427,+8%,1787 kj(427 kcal),+8%,35,+7%,23,+6%,1,+116%,"< 0,5",+80%,27,+7%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,['Comté'],"0,9","0,36",0.9 g,en quantité modérée,-8%,-8%,13,-3%,D,-3%,0.328 g,['Plastique'],['AOP'],,,,,['Lait'],3,"['FR 25.039.003 CE', 'Avoudrey (Doubs, France)']",,,
1654,Comté - 0.364kg,0210841047496,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",['France'],[],[],35 g,en quantité élevée,23 g,en quantité élevée,0.5 g,en faible quantité,?,,427,+8%,1787 kj(427 kcal),+8%,35,+7%,23,+6%,1,+116%,"0,5",+80%,27,+7%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,"0,9","0,36",0.9 g,en quantité modérée,-8%,-8%,13,-3%,D,-3%,0.364 kg,,,,,,,,,,,,
1655,Jour et nuit,0210842110861,,,['France'],[],[],,,,,,,?,,431,,1803 kj(431 kcal),,30,,20,,27,,23,,"3,6",,,,,,,,,,"0,15","0,06",,,,,,,,,,,,,,,,,,,,,
1656,Yaourt fermier fermé de Corly framboise,0210843024075,,,['France'],[],[],,,,,,,?,,98,,410 kj(98 kcal),,"2,9",,"1,9",,15,,14,,3,,,,,,,,,,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,
