,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,quantity,packaging,categories,labels,manufacturing,additives,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,markets,ingredients_origins,generic_name,link,origin_detail,brand_owner,producer_info
782,sweet & sour chicken - m&s food - 540g,29144709,['France'],"['Poulet aigre-doux ', '37%', ' Blanc de poulet cuit ', '23%', ' Eau Sucre Vinaigre de vin rouge Poivrons rouges ', '7%', ' Oignons Ananas ', '6%', "" · Jus d'ananas concentré Fécule de mais Concentré de tomate Sauce soja foncée "", 'Eau Fèves de soja Blé ', 'contient Gluten', ' Sel', ' Vinaigre Sel Gélifiant : Pectine Huile de sésame grillé ', 'Graines de sésame', ' - Purée de gingembre Colorant : Extrait de paprika Paprika moulu Ail déshydraté - Poivre blanc moulu', ' Légumes chow mein ', '28%', ' Nouilles cuites ', '43%', ' ', 'Eau Farine de blé contient Gluten ', 'avec Farine de blé', 'Carbonate de calcium', 'Fer', 'Niacine', 'Thiamine', ' Euf pasteurisé Poudre à lever : E501', ""Bicarbonate de soude Sel Paprika moulu Curcuma Correcteur d'acidité : Acide citrique"", ' · Germes de haricot ', '16%', ' Eau Carottes ', '8%', ' Sauce soja foncée ', 'Eau Fèves de soja Blé ', 'contient Gluten', ' Sel', ' Chou ', '4%', ' Poivrons rouges ', '4%', ' · Alcool Salt/Sel/Sůl de riz Shaoxing ', 'contient Blé', 'Gluten', ' Huile de colza Sucre Fécule de mais Huile de sésame grillé ', 'Graines de sésame', ' Vinaigre Fèves de soja Farine de blé contient Gluten ', 'avec Farine de blé', 'Carbonate de calcium', 'Fer', 'Niacine', 'Thiamine', "" Sel Sirop de sucre caramélisé Correcteur d'acidité : Acide acétique"", ' Riz frit aux eufs ', '22%', ' Riz long grain cuit ', '71%', ' ', 'Eau Riz long grain', ' Petits pois ', '10%', ' Euf pasteurisé ', '8%', ' Huile de colza Huile de sésame grillé ', 'Graines de sésame', ' Émulsifiant : Lécithine de soja Sel Pâtés impériaux aux légumes ', '13%', ' Farine de blé contient Gluten ', 'avec Farine de blé', 'Carbonate de calcium', 'Fer', 'Niacine', 'Thiamine', ' Huile de colza Germes de haricot ', '13%', ' - Carottes ', '9%', "" · Châtaignes d'eau "", '9%', ' Fèves de soja edamame ', '9%', ' Eau Poivrons rouges ', '5%', ' Nouilles de riz cuites ', '2%', ' ', 'Farine de riz Eau', ' Fécule de mais Sauce soja foncée ', 'Eau Fèves de soja Blé ', 'contient Gluten', ' · Sel', ' Gingembre Piments rouges Sel Huile de sésame grillé ', 'Graines de sésame', "" · Sucre Purée d'ail - Purée de gingembre Graisse de palme déshydratée Toban djan "", ""Piments rouges Sel Fèves de soja Huile de colza Eau - Purée de gingembre Piments déshydratés Correcteur d'acidité : Acide citrique Blé "", 'contient Gluten', ' Cinq épices ', 'Fenouil Cannelle Anis étoilé · Clous de girofle Gingembre', "" Dextrose Concentré de champignons Fèves de soja Huile de tournesol Émulsifiant : E471 Riz Anis étoilé moulu Champignons déshydratés Antioxydant : E307 Extrait d'oignon Levure"", ' Pour les allergènes', 'voir les ingrédients indiquěs en gras', ' Ne convient pas aux personnes allergiques au lait', ' IMPORTANT Peut contenir de petits os', "" Ce produit contient de l'alcool"", ' CUISSON Retirer les produits de leur emballage', ' FOUR Préchauffer le four', ' Percer le film du poulet aigre-doux', 'des egumes chow mein et du riz frit aux eufs', "" Retirer les pâậtés impériaux aux légumes de l'emballage"", 'les placer sur une plaque de four préalablement chauffée et cuire pendant 5 min', ' Après 5 min', 'retourner les pâtés impériaux et tacer les barquettes de poulet aigre-doux', 'de légumes chow mein et de riz frit aux ceufs sur la même plaque', ' cuire pendant 15 min supplémentaires', ' 190°C 20 min', ' CHALEUR TOURNANTE 170°C 20 min', ' Mélanger aprés la cuisson et laisser reposer pendant 1 min avant de servir', ' FOUR Pâtés impériaux aux légumes uniquement', ' Préchauffer le four', "" Retirer la totalité de l'emballage"", ' Placer sur une plaque de four prealablement chauffée', ' Retourner à mi-cuisson', ' 190°C 20 min', ' CHALEUR TOURNANTE 170 C 20 min', ' MICRO-ONDES Poulet aigre-doux', 'légumes chow mein et riz frit aux ceufs', ' Cuire chaque barquette séparément', ' Percer le film de chaque barquette', ' Poulet aigre-doux 900 W 2 min', ' Légumes chow mein 900 W 1 min 30 sec', ' Riz frit aux eufs 900 W1 min', ' per 100g 540g pack Typical values']","['Non végétalien', 'Non végétarien']",?,?,,?,,?,,?,,,['m&s food'],540g,['Carton'],['Plats préparés'],,,"['E440 - Pectines', 'E160c - Extrait de paprika', 'E501 - Carbonates de potassium', 'E500ii - Carbonate acide de sodium', 'E330 - Acide citrique', 'E260 - Acide acétique', 'E322i - Lécithine', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E307 - Alphatocophérol']","['Gluten', 'Graines de sésame']",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['FSC-C012938'],,,,,,,
783,Nectar orange,3256228433930,['France'],[],[],?,35,146 kj(35 kcal),"0,5","0,1",7,7,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['FSC-C014047'],,,,,,,
784,Farine de châtaignes,17874055,['France'],[],[],?,350,1464 kj(350 kcal),"4,5","1,3",65,25,"6,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
785,0213312032601,0213312032601,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786,Jésuite,2005693170007,['France'],[],[],?,277,1159 kj(277 kcal),14,"6,6",34,13,"3,8","0,58","0,232",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
787,Mel de rosmaninho serras do algarve,5602132652086,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
788,Lait extra fin,17942449,['France'],[],[],?,545,2280 kj(545 kcal),32,19,56,55,7,"0,24","0,096",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
789,Ravioles a poeler,3266140062743,['France'],[],[],?,225,941 kj(225 kcal),"9,3","4,6",25,"0,9","9,2","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
790,Speculos,3245413812506,['France'],[],[],?,81,339 kj(81 kcal),"3,1","1,4",12,"5,9","0,9","0,14","0,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
791,Noir intense,40062037,['France'],[],[],?,643,2690 kj(643 kcal),56,35,18,13,"8,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
792,Spécialité au pruneau,2600166017324,['France'],[],[],?,250,1046 kj(250 kcal),"0,5","0,5",55,37,"1,4","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
793,Mélange 4 épices créoles,3548250708460,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
794,Sodebo le Méga jambon sweet mustard,3242272982050,['France'],[],[],?,217,908 kj(217 kcal),"8,4","0,7",26,"3,6","7,9","1,3","0,52",['Sodébo'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
795,Sauté de porc,3266110902499,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
796,Om Shanti Chai,3330036000055,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
797,Vinaigre balsamique de modene,3061435003360,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
798,Foie de boeuf,2409382013581,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
799,Tomate basilic,3780201379156,['France'],[],[],?,27,113 kj(27 kcal),"0,4","0,1","4,7","2,1","0,6","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,meito fraise,4902757111403,['France'],[],[],?,539,2255 kj(539 kcal),"29,7",1,"63,6",29,"3,6","0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801,Granola fruits,09054905,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
802,Rice coconut - Provamel,5411188119531,['France'],[],[],?,64,268 kj(64 kcal),"0,9","0,7","13,4","7,5","0,3",,,['Provamel'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
803,Sauzero! Blueberry flavour,7427029591655,['France'],[],[],?,19,79 kj(19 kcal),0,0,"4,3",2,0,"0,35","0,14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
804,Framboise Kwanza,5607056000401,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
