,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,quantity,packaging,categories,labels,manufacturing,additives,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,markets,ingredients_origins,generic_name,link,origin_detail,brand_owner,producer_info
1550,Salade de Boulgour bio asperges verte & dinde - Seazon,3701456308944,['France'],[],[],?,137,573 kj(137 kcal),7,1,9,3,7,1,"0,4",['Seazon'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1551,Miel d’acacia,3770018242187,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1552,Moutarde de Charroux,3760110470342,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1553,Eminces de poulet et son riz,3257987249954,['France'],[],[],?,120,502 kj(120 kcal),4,"2,2",16,"0,9","4,4","0,96","0,384",,,,,"['Nutriscore', 'Nutriscore C']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1554,Pois chiche ail et fines herbes,31319843,['France'],[],[],?,252,1054 kj(252 kcal),"20,5",7,"8,5",1,"6,5","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1555,Mirabelles de nancy,3541600006223,['France'],[],[],?,85,356 kj(85 kcal),0,0,"19,5","17,5","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1556,Ras el hanout,3265960021602,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1557,Thé infusé glacé,3168930164432,['France'],[],[],?,19,79 kj(19 kcal),46,11,"4,5","4,4","0,01","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1558,Merguez,2410231029264,['France'],[],[],?,241,1008 kj(241 kcal),"18,8","8,5","2,9","1,6","15,1","2,45","0,98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1559,Bo Bun,0637913696770,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1560,Trere,5414885559617,['France'],[],[],?,79.400001525879,332 kj(79 kcal),"0,34","0,094","16,4","0,59","1,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561,bar mélange de noix - pural,3184340026450,['France'],[],[],?,?,,?,,?,,?,,,['Pural'],,['Plastique'],"['Snacks', 'Snacks sucrés', 'Barres', 'Barres de céréales']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['France'],,,,,
1562,Saussices,2410232020666,['France'],[],[],?,193,808 kj(193 kcal),13,"5,1","1,6","0,2","17,2","1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1563,Jambon cuit,2454484049853,['France'],[],[],?,136,569 kj(136 kcal),"4,8","1,8",0,0,23,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1564,Sandwich au pain special aux graines garni de legumes confits - Monoprix,3350033832022,['France'],[],[],?,229,958 kj(229 kcal),"7,4","5,3",31,"3,6",7,"1,1","0,44",['Monoprix'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Monoprix'],,,,,,
1565,Insalata di farro,8008082008367,['France'],[],[],?,178,745 kj(178 kcal),12,"1,4",13,0,"3,5","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1566,Knack fumeee,2402213038906,['France'],[],[],?,223,933 kj(223 kcal),19,"8,14","0,6","0,6","12,5","1,88","0,752",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1567,Paupiette de Veau Sauce Madère,3760094445879,['France'],[],[],?,185,774 kj(185 kcal),"9,9","3,9",15,"1,3","8,7","1,13","0,452",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1568,Appetit,7824247,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1569,Garbure béarnaise,3579370906115,['France'],[],[],?,82,343 kj(82 kcal),"4,2","1,2","4,3","1,1","6,5","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1570,Domaine de Bresse,2449295036413,['France'],[],[],?,434,1816 kj(434 kcal),42,29,1,1,13,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1571,Tagliatelles au surimi,2283990011814,['France'],[],[],?,216,904 kj(216 kcal),16,"1,2",14,1,"3,8","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1572,Crunchie Rocks,7622201432386,['France'],[],[],?,478,2000 kj(478 kcal),19,11,71,55,"4,7","0,61","0,244",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1573,Crusty épeautre - Pural,9104540061079,['France'],[],[],?,?,,?,,?,,?,,,['Pural'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1574,Sardine,3263670003574,['France'],[],[],?,274,1146 kj(274 kcal),20,4,"3,1","3,1",20,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1575,Quart de jambon sec,0264579054776,['France'],[],[],?,226,946 kj(226 kcal),"11,8","4,2","0,5","0,4","29,5",6,"2,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1576,Epinards hachés à la crème surgelés,3292590839420,['France'],[],[],?,69,289 kj(69 kcal),"3,3","2,2","5,9","1,4","2,7","0,71","0,284",,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Légumes-feuilles', 'Épinards', 'Epinards haches']",,,,,,3.3 g,en quantité modérée,2.2 g,en quantité modérée,1.4 g,en faible quantité,0.71 g,en quantité modérée,,+86%,+93%,+203%,+433%,+206%,+131%,-8%,+90%,+90%,-1,,A,,B,45.1%,0.0%,0.0%,22.1%,31.7%,1.1%,99,,,,,,,,
1577,"Fagottini artisanaux, crème au grana padano - Seazon",3701456310008,['France'],[],[],?,216,904 kj(216 kcal),13,8,16,2,6,1,"0,4",['Seazon'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1578,Grissini al Parmigiano Reggiano DOP & olio d'olivia,3770016433372,['France'],[],[],?,406,1699 kj(406 kcal),9,"1,5",68,"3,3","11,9","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1579,Gorgonzola aop,2449187020018,['France'],[],[],?,315,1318 kj(315 kcal),27,19,0,0,18,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1580,Olives vertes dénoyautées au basilic,3700029206564,['France'],[],[],?,171.80000305176,719 kj(171 kcal),"17,4","2,5","3,2","0,4","0,61","2,73","1,092",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1581,Pop corn maïs soufflé,8801151150017,['France'],[],[],?,460,1925 kj(460 kcal),13,1,1,"0,85",78,"0,85","0,34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1582,Gourdes bananes,3760269312722,['France'],[],[],?,331,1385 kj(331 kcal),0,0,18,16,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1583,Tavaillon,2309602001155,['France'],[],[],?,204,854 kj(204 kcal),59,"1,29","0,79","0,69","38,89","4,529","1,812",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1584,Pomme de terre a la mexicaine,2227590017456,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1585,sauce rouille,3660088169715,['France'],[],[],?,?,,?,,?,,?,,,,,,"['Epicerie', 'Sauces', 'Mayonnaises', 'Sauce rouille', 'Rouille']",,,,,,,,,,,,,,,,,,,,,,,,,,,,D,81.1%,9.7%,5.1%,2.2%,1.9%,0.0%,53,,,,,,,,
1586,Miel crémeux de fleurs sauvages,3520831120083,['France'],[],[],?,?,,?,0,?,0,?,,,,,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']",,,,,,,,0 g,en faible quantité,0 g,en faible quantité,,,,,,,-100%,,-100%,,,,,,,,B,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,
1587,Gnocchi dIGPatate,8051770850380,['France'],[],[],?,178,745 kj(178 kcal),"0,3","0,2",40,7,"2,4","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1588,Comté Bio AOP,2251656036419,['France'],[],[],?,?,,?,,?,,?,0,0,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'Comté AOP']",,,,,,,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,D,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,
1589,Scorched barley & rice,8809159100263,['France'],[],[],?,395,1653 kj(395 kcal),0,0,87,0,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1590,Pâte de dattes dadelpasta,5430000252348,['France'],[],[],?,308,1289 kj(308 kcal),"0,7","0,25",68,"64,4","2,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1591,Tome du Lomont,3308100010866,['France'],[],[],?,362,1515 kj(362 kcal),28,18,1,1,26,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 25.531.001 CE', 'Santoche (Doubs, France)']",,,,,,,
1592,Museau de porc,0211967017585,['France'],[],[],?,251,1050 kj(251 kcal),"21,8",8,"1,1","0,5","12,5","2,9","1,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593,Petit Tempura pour okonomiyaki,4950612204425,['France'],[],[],?,588,2460 kj(588 kcal),"40,4","0,3","45,6","2,9","10,6",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1594,Sorbet abricot,3760295051350,['France'],[],[],?,137,573 kj(137 kcal),"0,2",0,"32,5","23,5","0,7",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 42.234.002 CE', 'Saint-Héand (Loire, France)']",,,,,,,
1595,Muesli croustillant nature 5kg,0201244009518,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1596,Pomme de terre entières,3571090000463,['France'],[],[],?,37,155 kj(37 kcal),"0,5","0,5","8,1","0,5","0,7","0,83","0,332",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1597,Pain au mais,,['France'],[],[],?,298,1247 kj(298 kcal),"6,2","0,4",47,"1,1",12,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1598,Glace artisanale au Yaourt,3483640005180,['France'],[],[],?,150,628 kj(150 kcal),"3,5","3,5",26,22,"3,6","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1599,Oeufs feuilletes noir,2030000019472,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600,Salami parizer,3324321276034,['France'],[],[],?,238,996 kj(238 kcal),18,18,3,0,16,"2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601,Frutti Strawberry juice,3900167230814,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1602,"Huile d'olive de Corse - A Merula - 0,5L",3760211460198,['France'],"[""Huile d'olive""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",3389,823,3389 kj(823 kcal),"91,5","12,6",0,0,0,"< 0,002","0,001",['A Merula'],"0,5L","['Bouchon plastique', 'Bouteille métal']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive de France"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra"", ""Huile d'olive de Corse""]",['AOP'],['20213 Folleli'],,,2,91.5 g,en quantité élevée,12.6 g,en quantité élevée,0 g,en faible quantité,0.0025 g,en faible quantité,,-1%,-3%,-1%,-5%,,,,+151%,+151%,6,0%,C,0%,C,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,"['France', 'Corse']",Huile d'olive de Corse vierge extra,,,,
1603,Sandwich schinken gouda,4061458027236,['France'],[],[],?,3,13 kj(3 kcal),17,"4,2",17,17,21,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1604,Sorbet Fraise Mara des Bois,3510160000002,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1605,Poivre vert en saumure,3417960023005,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,Oreille de porc x2 artisanale,2677607023688,['France'],[],[],?,230,962 kj(230 kcal),10,"4,7",0,0,21,3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1607,Miel de Fleurs Bio,3520059919407,['France'],[],[],?,?,,?,0,?,0,?,,,,,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']",,,,,,,,0 g,en faible quantité,0 g,en faible quantité,,,,,,,-100%,,-100%,,,,,,,,B,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,
1608,Noix,4251032611238,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1609,Mokarana,5407005904183,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1610,Fun color lolly,8719831324590,['France'],[],[],?,380,1590 kj(380 kcal),0,0,95,60,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1611,Graines de basilic avec pastèque,8936126164048,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1612,Champagne,3029440007742,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1613,Le tendre magret,0275958053334,['France'],[],[],?,305,1276 kj(305 kcal),26,"8,7","1,2","1,2",16,"0,69","0,276",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1614,Thé vert en fête,3760167534615,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,2",0,"0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1615,Goldbears,8691216098671,['France'],[],[],?,30,126 kj(30 kcal),30,30,30,30,30,20,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1616,Ravioles à poêler au chèvre affiné ciboulette,3266140062613,['France'],[],[],?,218,912 kj(218 kcal),"8,7","4,1",25,1,9,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1617,Liqueur crème de fraise,3052910000912,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1618,Crème glacée vanille,3760072744864,['France'],[],[],?,197,824 kj(197 kcal),"5,3","5,3",22,19,"4,7","0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1619,Miel Bio de Forêt - Moulin des moines - 500g,3347430013604,['France'],['Miel de forêt'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,330,1381 kj(330 kcal),0,0,"82,3",82,"0,3","0,004","0,002",['Moulin des moines'],500 g,"['bocal en verre', 'couvercle en métal']","['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de forêt']",,,,,2,0 g,en faible quantité,0 g,en faible quantité,82 g,en quantité élevée,0.004 g,en faible quantité,,+17%,+19%,-100%,-100%,+12%,+20%,+12%,-37%,-37%,,,,,B,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,
1620,3181730021101,3181730021101,['France'],[],[],?,?,,?,,?,,?,,,,,['Etui en carton'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1621,Ravioli di carne,8001821002565,['France'],[],[],?,290,1213 kj(290 kcal),"7,5","3,2",44,"3,5",11,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1622,Gidjdd,,['France'],[],[],?,120,502 kj(120 kcal),"3,78","1,28","9,92","0,72","10,69","0,82","0,328",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1623,Tendre noir,7622201432508,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1624,Slimfast chunk chocolate,5055967500891,['France'],[],[],?,364,1523 kj(364 kcal),"1,1","0,2","14,1","7,7","5,8","0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1625,Apibul,3301591004055,['France'],[],[],?,54,226 kj(54 kcal),0,0,11,10,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1626,graines de sarrasin aux champignons,5901008703014,['France'],[],[],?,173,724 kj(173 kcal),10,"0,8","15,2","0,8","4,4","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1627,Vegan pea protein,5902150286431,['France'],[],[],?,?,,?,,?,,?,"0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1628,Saucisson noix Casino,3222477640269,['France'],[],[],?,539,2255 kj(539 kcal),47,19,4,"3,1",25,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1629,Green banana flour,8718774022808,['France'],[],[],?,390,1632 kj(390 kcal),1,0,90,49,4,"0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630,Céréales NAT,5365038379173,['France'],[],[],?,435,1820 kj(435 kcal),15,"1,7",60,17,"11,4","0,21","0,084",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1631,Mélange de graines et fruits séchés,2006050027132,['France'],[],[],?,484,2025 kj(484 kcal),30,"2,7",38,37,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1632,Panini ×4 - E.Leclerc,3478920014211,['France'],[],[],?,336,1406 kj(336 kcal),"1,3","0,4",68,"1,8",11,"4,5","1,8",['E.Leclerc'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1633,Cannabis beer,8719189155099,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1634,Volvic limotion,3057640561443,['France'],[],[],?,19,79 kj(19 kcal),0,0,"4,3","4,3",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1635,Purée de Patate Douce,3469164005271,['France'],[],[],?,159,665 kj(159 kcal),"5,4","3,4",23,"8,9","2,6","0,476","0,19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1636,Tonic Water- Brut & naturel,9002490249601,['France'],[],[],?,37,155 kj(37 kcal),0,0,"8,9","8,9",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1637,Beignets à la framboise,3248288142471,['France'],[],[],?,296,1238 kj(296 kcal),11,"1,3",43,13,"5,2","0,92","0,368",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1638,Mélatonine - bio conseil essentiels - 15gélule,3515450071113,['France'],[],[],?,?,,?,,?,,?,,,['bio conseil essentiels'],15 gélule,['Vidrio'],['es:complément alimentaire'],,['France'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1639,Canela moída - Continente,5601312061885,['France'],[],[],?,?,,?,,?,,?,,,['Continente'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1640,Sel de guerande IGP,05062959,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1641,Tomates séchées en pulpe,3363293537163,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1642,POULET JAUNE - La Nouvelle Agriculture,0213319037463,['France'],[],[],?,190,795 kj(190 kcal),11,"2,8",0,0,20,"0,15","0,06",['La Nouvelle Agriculture'],,,"['Viandes', 'Volailles', 'Poulets']",,,,,,11 g,en quantité modérée,2.8 g,en quantité modérée,0 g,en faible quantité,0.15 g,en faible quantité,,+26%,+26%,+89%,+87%,-100%,-100%,-2%,-82%,-82%,-1,-171%,A,-171%,D,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,"['FR 79.195.003 CE', 'Nueil-les-Aubiers (Deux-Sèvres, France)']",,,,,,,
1643,Omelette norvégienne rhum et raisins - La Manufacture des Belles Glaces - 2x 72g,3433871230257,['France'],"['Crème glacée au rhum avec raisins macérés au rhum ', '69,4%', ': LAIT écrémé reconstitué', 'sucre', 'raisins macérés au rhum 5,7%* ', 'raisins', 'huile de tournesol', 'rhum', 'sucre', 'eau', 'conservateur: anhydride sulfureux ', 'SULFITES', 'BEURRE', 'sirop de glucose', 'rhum 2,5%*', 'CREME', ""émulsifiant: mono et diglycérides d'acides gras"", 'stabilisants: farine de caroube', 'alginate de sodium', 'gomme de guar et carraghénanes', 'Meringue ', '23,6%', ': sucre', 'eau', 'sirop de glucose déshydraté', ""blanc d'ŒUF en poudre"", 'jus de citron ', 'citron', 'sucre', 'fécule de pomme de terre', 'stabilisants: gomme de guar et farine de caroube', 'Biscuit ', '6%', ': farine de BLÉ', 'sucre', 'ŒUF entier', 'eau', ""blanc d'ŒUF"", 'poudre de sirop de glucose', 'stabilisant: sorbitol ', 'GLUTEN', ""émulsifiant: mono et diglycérides d'acides gras"", ' poudres à lever: diphosphates et carbonates de sodium', 'farine de pois', 'conservateur: propionate de calcium', 'fécule de pomme de terre', 'sel', 'PROTÉINES LACTIQUES', 'arôme vanille', ""* Pourcentages exprimés sur l'ensemble du produit""]","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",899,214,899 kj(214 kcal),"5,62","3,79","33,45","27,36","4,02","0,17","0,068",['La Manufacture des Belles Glaces'],2 x 72 g,"['Surgelé', 'Plateau', 'Plastique', 'Boite', 'Carton']","['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Crèmes glacées en pot']","['Sans arômes artificiels', 'Fabriqué en France', 'Triman', 'Artisan', 'Glaces Artisanales de France']","['Isère', 'France']","['E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E410 - Gomme de caroube', 'E401 - Alginate de sodium', 'E412 - Gomme de guar', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E420 - Sorbitol', 'E450i - Pyrophosphate de sodium acide', 'E500 - Carbonates de sodium', 'E282 - Propionate de calcium']","['Œufs', 'Gluten', 'Lait', 'Anhydride sulfureux et sulfites']",4,5.62 g,en quantité modérée,3.79 g,en quantité modérée,27.4 g,en quantité élevée,0.17 g,en faible quantité,-0%,-3%,-2%,-48%,-45%,+28%,+22%,+20%,+13%,+13%,11,-13%,D,-13%,B,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,"['EMB 38468A', 'Salaise-sur-Sanne (Isère, France)']",,,,https://www.lamanufacturedesbellesglaces.fr,"France, Afrique du sud",Glaces de Lyon,Glaces de Lyon
