,name,bar_code,quantity,packaging,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,brand_owner,nova_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,manufacturing,link,markets,additives,generic_name,allergens,ingredients_origins,traceability_code,palm_ingredients,producer_info
43,Pain d ' épices à l ' orange,3562510612519,,,,['France'],[],[],?,329,"1,7",73,"4,4","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', ""Pains d'épices""]",,1.7 g,en faible quantité,0.8 g,en faible quantité,48 g,en quantité élevée,0.37 g,en quantité modérée,,-2%,1377 kj(329 kcal),-3%,-51%,"0,8",-35%,+3%,48,+18%,+1%,"0,37",-15%,"0,148",-15%,15,+6%,D,+6%,B,,,61.5%,18.9%,9.5%,5.0%,5.0%,0.0%,90,,,,,,,,,,
44,Merguez pur porc,2238092023098,,,,['France'],[],[],?,248,20,"1,1",16,,['Sans colorants'],,,,,,,,,,,1038 kj(248 kcal),,,"7,3",,,"0,6",,,"1,9",,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,
45,Spaghetti,8000253001320,,,,['France'],[],[],?,368,"1,4",75,12,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Spaghetti']",,1.4 g,en faible quantité,0.3 g,en faible quantité,3.7 g,en faible quantité,0.03 g,en faible quantité,,+5%,1540 kj(368 kcal),+4%,-20%,"0,3",-19%,+9%,"3,7",+25%,+2%,"0,03",+24%,"0,012",+24%,-1,,A,,,,,,,,,,,,,,,,,,,,,
46,Boudin noir de Clamecy,0233740028540,,,,['France'],[],[],?,291,"25,9","3,4","11,2",,,,,,,,,,,,,1218 kj(291 kcal),,,"10,3",,,"1,3",,,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,,,,,
47,Le gallichon,2396687002665,,,,['France'],[],[],?,128,4,2,21,,,,,,,,,,,,,536 kj(128 kcal),,,"0,56",,,"1,33",,,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,
48,Coppa,2488652016408,,,,['France'],[],[],?,249,"13,5","0,4","31,7",,,,,,,,,,,,,1042 kj(249 kcal),,,"5,1",,,0,,,"5,2",,"2,08",,,,,,,,,,,,,,,,,,,,,,,,,
49,Filets de pintades fermières d'Auvergne,2643099030046,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Chocolate - 5.64oz,5600354580231,5.64 oz,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"Cordon bleu - Intermarché - 0,248kg",2887903009716,"0,248kg",,['Intermarché'],['France'],[],[],?,?,?,?,?,"['Viandes', 'Préparations de viande', 'Produits panés', 'Cordons bleus']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,76.4%,12.7%,2.3%,2.9%,1.2%,4.4%,39,,,['Intermarché'],,,,,,,
52,Haricots lingots - 500g,3446400000054,500 g,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Ravioles sauce foie gras,3432770040387,,,,['France'],[],[],?,?,?,?,?,"['Plats préparés', 'Plats à base de pâtes', 'Pâtes farcies', 'Ravioles']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Tomates & Artichauts - Sacla Italia - 190g,8001060007819,190g,,['Sacla Italia'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Violife Cheese Block,5202390007934,,,['Violife'],['France'],[],"['Végétalien', 'Végétarien']",?,270,21,21,0,,"['Végétarien', 'Végétalien']",,,,,,,,,,,1130 kj(270 kcal),,,19,,,0,,,"2,3",,"0,92",,,,,,,,,,,,,,,,,,,,,,,,,
56,Carbure du pays basque au jambon de bayonne,3482970005198,,,,['France'],[],[],?,47,"2,1","5,43","2,65",,"['en:gluten-free', 'Sans colorants', 'Sans conservateurs']",,,,,,,,,,,197 kj(47 kcal),,,"0,8",,,0,,,"0,73",,"0,292",,,,,,,,,,,,,,,,,,,,,,,,,
57,vin - bordeaux superieur - 0.75cl,3760226004417,0.75cl,['bouteille verre'],['bordeaux superieur'],['France'],[],[],?,?,?,?,?,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins mutés', 'Vins vinés']",['Selection 2014'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bordeaux'],,,,,,['Raisins'],,,
58,Poitrine fumée roulée - André Loussouarn,2418369023819,,,['André Loussouarn'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Colin d'Alaska à la marinière - Toupargel,3512030014164,,,['Toupargel'],['France'],[],[],?,80,"2,7","3,2","10,5",,,,,,,,,,,,,335 kj(80 kcal),,,"1,5",,,"0,5",,,"0,6",,"0,24",,,,,,,,,,,,,,,,,,,,,,,,,
60,Brownies décongelés -,0209481020990,,,,['France'],[],[],?,470,29,45,6,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat', 'Brownies']",,29 g,en quantité élevée,11 g,en quantité élevée,36 g,en quantité élevée,0 g,en faible quantité,,+4%,1966 kj(470 kcal),+3%,+13%,11,+34%,-6%,36,+5%,+1%,0,-100%,0,-100%,22,+15%,E,+15%,D,,,84.5%,9.8%,2.3%,2.2%,1.2%,0.0%,37,,,,,,,,,,
61,gnocchi di patate - albaluna - 500g,8018146000046,500 g,['barquette plastique'],['Albaluna'],['France'],[],[],?,198,0,?,2,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Gnocchi', 'Gnocchi de pommes de terre']",,0 g,en faible quantité,47 g,en quantité élevée,12 g,en quantité modérée,1.8 g,en quantité élevée,,+19%,828 kj(198 kcal),+18%,-100%,47,+12501%,,12,+900%,-52%,"1,8",+59%,"0,72",+59%,20,+460%,E,+460%,B,,,46.0%,1.2%,22.2%,18.3%,9.7%,2.6%,97,,,,,,,,,,
62,Ketchup,4260024180010,,,,['France'],[],[],?,79,"0,044","18,1","0,5","['Epicerie', 'Sauces', 'Sauces tomate', 'Ketchup']",,0.044 g,en faible quantité,0 g,en faible quantité,13 g,en quantité élevée,2.3 g,en quantité élevée,,-25%,331 kj(79 kcal),-25%,-82%,0,-100%,-20%,13,-34%,-62%,"2,3",+16%,"0,92",+16%,12,-1%,D,-1%,B,,,37.2%,25.2%,17.2%,12.9%,5.9%,1.6%,94,,,,,,,,,,
63,Viande des Grisons,2454806043620,,,,['France'],[],[],?,190,"3,5",1,38,"['Viandes', 'Bœuf', 'Préparations de viande', 'Préparations de viande bovine', 'Viandes séchées', 'Viande des grisons']",,3.5 g,en quantité modérée,1.5 g,en quantité modérée,0.5 g,en faible quantité,4.8 g,en quantité élevée,,-4%,795 kj(190 kcal),-4%,-9%,"1,5",-3%,+21%,"0,5",-17%,-3%,"4,8",+2%,"1,92",+2%,13,+2%,D,+2%,,,,,,,,,,,,,,,,,,"['EMB 84007', 'Avignon (Vaucluse, France)', 'FR 84.007.006 CE', 'Avignon (Vaucluse, France)']",,
64,Sebahat Raspberry Jam,5411944363604,,,,['France'],[],[],?,280,0,70,0,,,,,,,,,,,,,1172 kj(280 kcal),,,0,,,52,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
65,Rocky road  bites,5060139661164,,,,['France'],[],"['Végétalien', 'Végétarien']",?,474,28,54,2,,"['Végétarien', 'Végétalien']",,,,,,,,,,,1983 kj(474 kcal),,,13,,,39,,,"0,27",,"0,108",,,,,,,,,,,,,,,,,,,,,,,,,
66,gressins aux olives - 200g,02311120,200g,['emballage plastique'],,['France'],"['Farine de froment 84%', 'olives noires ', 'E579', ' 5%', 'huile de palme 4%', ""huile d'olive vierge 2%"", 'sel 2%', 'levure de biere 2%', 'farine de blé au malt 1%']",['Huile de palme'],?,400,"9,9",65,"11,4","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Gressins']",['Fabriqué en Italie'],9.9 g,en quantité modérée,4 g,en quantité modérée,2.2 g,en faible quantité,2.75 g,en quantité élevée,,-5%,1674 kj(400 kcal),-5%,-8%,4,+77%,-3%,"2,2",-12%,0%,"2,75",+45%,"1,1",+45%,14,+9%,D,+9%,B,,3,58.5%,23.6%,10.3%,6.6%,0.9%,0.0%,93,['Italie'],,,['E579 - Gluconate de fer'],,['Gluten'],,,['Huile de palme'],
67,Flûtes mit Käse - Dorati - 150g,4306188003212,150 g,,['Dorati'],"['France', 'Allemagne']",[],[],?,?,?,?,?,"['Biscuits et gâteaux', 'Pâtisseries']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hefe-Gebäckstangen mit Käse,,,,,
68,Sel gros special festif,3760197500659,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Choco supreme,3760113466779,,,,['France'],[],[],?,535,31,56,"6,8",,,,,,,,,,,,,2238 kj(535 kcal),,,18,,,43,,,"0,4",,"0,16",,,,,,,,,,,,,,,,,,,,,,,,,
70,Fromage de chèvre,0206553021459,,,,['France'],[],[],?,281,23,0,18,,,,,,,,,,,,,1176 kj(281 kcal),,,18,,,0,,,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,,,,,"['FR 41.043.002 CE', 'Châtillon-sur-Cher (Loir-et-Cher, France)']",,
71,Jus de pomme,3184670502426,,,,['France'],[],[],?,?,?,?,?,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de pomme']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,,,,,,,,,,
72,Rodajas de Merluza del Cabo - 580g,8435035300061,580 g,,,"['France', 'Allemagne', 'Espagne']",[],[],?,72,"0,2",1,17,['Surgelés'],,0.2 g,en faible quantité,0.1 g,en faible quantité,0.5 g,en faible quantité,0.24 g,en faible quantité,,-58%,301 kj(72 kcal),-58%,-97%,"0,1",-97%,-95%,"0,5",-95%,+241%,"0,24",-41%,"0,096",-41%,-4,-170%,A,-170%,,,,,,,,,,,,,,,,,,,,
73,Velouté Châtaigne Foie Gras,3700238368466,,,,['France'],[],[],?,82,"4,6","8,3","1,3",,,,,,,,,,,,,343 kj(82 kcal),,,"2,3",,,"1,8",,,"0,77",,"0,308",,,,,,,,,,,,,,,,,,,,,,,,,
74,camomille fix - herbapol - 45g,5900956300832,45 g,['Carton'],['Herbapol'],['France'],"['INGREDIENTS: Camomile INGREDIENTS: Camomille SKŁAD: Koszyczek rumianku ', 'Chamomillae anthodium']",[],?,0,0,0,0,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Infusions', 'Tisanes de plantes mélangées']",,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,,,-100%,0 kj(0 kcal),-100%,-100%,0,-100%,-100%,0,-100%,-100%,,,,,,,,,A,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,,
75,Schinken - Ökoland,4031829234105,,,['Ökoland'],['France'],[],[],?,227,15,1,22,,"['Bio', 'Bio européen', 'DE-ÖKO-003']",,,,,,,,,,,950 kj(227 kcal),,,"6,3",,,1,,,"5,1",,"2,04",,,,,,,,,,,,,,,,,,,,,,,,,
76,Huile d'olive vierge extra fruité vert,3330140600059,,,,['France'],[],[],?,?,?,?,?,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,
77,Falafel Balls,0060822400204,,,,['France'],[],"['Végétalien', 'Végétarien']",?,250,"11,7","28,3","8,3",,"['Végétarien', 'en:gluten-free', 'Végétalien']",,,,,,,,,,,1046 kj(250 kcal),,,"0,83",,,5,,,"0,7",,"0,28",,,,,,,,,,,,,,,,,,,,,,,,,
78,Reblochon de Savoie - Saveurs de nos Régions,2233409003350,,,['Saveurs de nos Régions'],['France'],[],[],?,332,"27,6","0,1","20,8","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Reblochons', 'en:aoc-cheeses', 'en:labeled-cheeses']",['Point Vert'],27.6 g,en quantité élevée,16.9 g,en quantité élevée,0.1 g,en faible quantité,1.19 g,en quantité modérée,,+2%,1389 kj(332 kcal),+3%,+3%,"16,9",-10%,-73%,"0,1",-56%,+4%,"1,19",-11%,"0,476",-11%,14,-2%,D,-2%,D,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,
79,L'andouille bigoudene,2354610005121,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Ma pause Gerlinea,3175681493360,,,,['France'],[],[],?,415,14,50,22,,,,,,,,,,,,,1736 kj(415 kcal),,,8,,,39,,,"0,43",,"0,172",,,,,,,,,,,,,,,,,,,,,,,,,
81,Olives vertes piquante,8429424020708,,,,['France'],[],[],?,154,15,"0,27",1,,,,,,,,,,,,,644 kj(154 kcal),,,"2,3",,,0,,,"2,7",,"1,08",,,,,,,,,,,,,,,,,,,,,,,,,
82,Entrecote XXL - Charal,0292462052677,,,['Charal'],['France'],[],[],?,229,17,0,19,,"['Viande Française', 'Viande-bovine-francaise']",,,,,,,,,,,958 kj(229 kcal),,,"7,8",,,0,,,"0,15",,"0,06",,,,,,,,,,,,,,,,,,,,,,,,,
83,Island Explosion,3301182902036,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Volaille de ma région,2268496032143,,,,['France'],[],[],?,?,?,?,?,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Coated peanuts Chili - 200g,5712870426662,200 g,,,['France'],[],[],?,507,30,43,14,,,,,,,,,,,,,2121 kj(507 kcal),,,4,,,"8,4",,,"2,2",,"0,88",,,,,,,,,,,,,,,,,,,,,,,,,
86,Bio-Puten-Leberwurst,4021851150221,,,,['France'],[],[],?,266,"20,2","1,2","16,6",,"['Bio', 'Bio européen', 'DE-ÖKO-060']",,,,,,,,,,,1113 kj(266 kcal),,,0,,,"0,5",,,"1,9",,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,
87,Eau minérale naturelle,3448781300501,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Bisnaguinhas,7898903443290,,,,"['Brésil', 'France']",[],[],?,131,"2,6",25,"3,7",,,,,,,,,,,,,548 kj(131 kcal),,,"0,8",,,0,,,"0,166",,"0,066",,,,,,,,,,,,,,,,,,,,,,,,,
89,Macarons de Joyeuse - Maison Charaix - 300g,3770002216002,300 g,"['Carton', 'boîte']",['Maison Charaix'],['France'],"['Sucre', 'amandes', ""blanc d'œuf"", 'noisettes']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,471,"17,5","70,8","8,68","['Snacks', 'Desserts', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Pâtisseries', 'Macarons']",,17.5 g,en quantité modérée,1.37 g,en faible quantité,66.1 g,en quantité élevée,0.05 g,en faible quantité,,+11%,1971 kj(471 kcal),+11%,-2%,"1,37",-70%,+27%,"66,1",+31%,+1%,"0,05",-65%,"0,02",-65%,16,-9%,D,-9%,D,,3,88.9%,5.7%,2.0%,2.2%,1.2%,0.0%,37,,,,,,"['Œufs', 'Fruits à coque']",,,,
90,Calissous,3465170900449,,,,['France'],[],[],?,409,16,62,"6,6",,['Fabriqué en France'],,,,,,,,,,,1711 kj(409 kcal),,,0,,,58,,,"0,05",,"0,02",,,,,,,,,,,,,,,,,,,,,,,,,
91,Bauletto chèvre citron,3254566502172,,,,['France'],[],[],?,247,"9,2",28,12,,,,,,,,,,,,,1033 kj(247 kcal),,,"3,11",,,"2,5",,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,
92,Herb Keeper,20049591,,,,['France'],[],[],?,126,"3,6","19,1","2,4",,,,,,,,,,,,,527 kj(126 kcal),,,"0,3",,,"0,5",,,6,,"2,4",,,,,,,,,,,,,,,,,,,,,,,,,
93,Moelleux chocolat 6/8 part,0202456032806,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Poelee porc figues miel,2450900037855,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,3428420018271,3428420018271,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Four Oak - Laphroaig - 1l,5010019638144,1l,,['Laphroaig'],"['France', 'Espagne']",[],[],?,?,?,?,?,"['Boissons', 'Boissons alcoolisées', 'Alcools forts', 'Eaux-de-vie', 'Whiskys', 'Whisky écossais']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,0.0%,41.3%,42.0%,11.2%,3.5%,2.0%,57,,,,,,,,,,
97,Oergranen,8715700422992,,,,['France'],[],[],?,327,"2,8",63,11,,,,,,,,,,,,,1368 kj(327 kcal),,,"0,5",,,"1,1",,,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,
98,Aiguillettes de Poulet - Carrefour,2227488018893,,,['Carrefour'],['France'],[],[],?,?,?,?,?,"['Viandes', 'Volailles', 'Poulets', 'Aiguillettes de poulet']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,['Carrefour'],,,,,,,
99,Prune reine-claude de Bavay - Fort & Vert - 500g,3588050000975,500 g,"['Barquette', 'Carton', 'Sachet', 'Plastique']",['Fort & Vert'],['France'],[],[],?,?,?,?,?,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits frais', 'Prunes', 'Prunes fraîches']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,92.5%,0.0%,0.0%,3.3%,3.2%,1.0%,63,,,,,,,['France'],,,
100,20093198,20093198,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Carottes rapes,0200990014432,,,,['France'],[],[],?,141,12,"6,1","0,9",,,,,,,,,,,,,590 kj(141 kcal),,,"1,2",,,"4,5",,,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,,,,,,,
102,Crémant de Loire -  - 75cl,26012995,75 cl,,,['France'],[],[],?,?,?,?,?,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Crémant de Loire']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,['France'],,,
103,Saucisson pour porc,2435866051626,,,,['France'],[],[],?,380,"30,8","0,96","24,9",,,,,,,,,,,,,1590 kj(380 kcal),,,"11,9",,,"0,96",,,"4,4",,"1,76",,,,,,,,,,,,,,,,,,,,,,,,,
104,Sucette au sirop d'érable,0842161006244,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Tarte citron meringuée,0203039039038,,,,['France'],[],[],?,343,17,42,"4,6",,,,,,,,,,,,,1435 kj(343 kcal),,,10,,,26,,,"0,15",,"0,06",,,,,,,,,,,,,,,,,,,,,,,,,
106,Freez mix mojito,0762571311113,,,,['France'],[],[],?,0,0,7,0,,['Produits faisant référence au Mojito'],,,,,,,,,,,0 kj(0 kcal),,,0,,,7,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
107,Anchaud Perigourdin,3462643000187,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,I primi Ssimi,8017268123558,,,,"['France', 'Italie']",[],[],?,264,"9,9",34,"8,6",,,,,,,,,,,,,1105 kj(264 kcal),,,"3,46",,,"2,9",,,"1,8",,"0,72",,,,,,,,,,,,,,,,,,,,,,,,,
109,Schlunder Cake Orange Liqueur,0079344002216,,,,['France'],[],[],?,400,18,53,"3,9",,,,,,,,,,,,,1674 kj(400 kcal),,,"7,9",,,34,,,"0,65",,"0,26",,,,,,,,,,,,,,,,,,,,,,,,,
110,Emmental de savoie - Monoprix Gourmet,0209009020075,,,['Monoprix Gourmet'],['France'],[],[],?,399,31,1,29,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages de France', 'Emmentals français', 'Emmentals de Savoie']",,31 g,en quantité élevée,21 g,en quantité élevée,0 g,en faible quantité,0.33 g,en quantité modérée,,+1%,1669 kj(399 kcal),+1%,0%,21,+3%,+79%,0,-100%,-1%,"0,33",+7%,"0,132",+7%,10,0%,C,0%,D,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,
111,Salaison fumé viande de boeuf,2411859009553,,,,['France'],[],[],?,199,"3,5",0,41,,,,,,,,,,,,,833 kj(199 kcal),,,0,,,0,,,"4,1",,"1,64",,,,,,,,,,,,,,,,,,,,,,,,,
112,Jambon cuit supérieur tradition,0229606036149,,,,['France'],[],[],?,156,8,"0,9",20,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",['Qualité supérieure'],8 g,en quantité modérée,3.2 g,en quantité modérée,0.9 g,en faible quantité,2 g,en quantité élevée,,+18%,653 kj(156 kcal),+19%,+67%,"3,2",+74%,+35%,"0,9",+51%,-5%,2,+7%,"0,8",+7%,12,+70%,D,+70%,E,,,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,,,,,,,,
113,Cafés Nadal - 10capsules,3760277130028,10 capsules,,['NADAL'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,8010503059155,8010503059155,,,,['France'],[],[],?,?,?,?,?,,['Fabriqué en Italie'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Songe De Neptune,4021269100412,,,,['France'],[],[],?,?,?,?,?,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Extra long basmati rice,8908004076316,,,,['France'],[],[],?,361,1,"77,2","10,9","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz parfumés', 'Riz de variété indica', 'Riz long grain', 'Riz Basmati']",,1 g,en faible quantité,0.5 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,+10%,1510 kj(361 kcal),+9%,-4%,"0,5",+108%,+8%,0,-100%,+44%,0,-100%,0,-100%,-1,,A,,C,,,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,,,,,,,,,,
117,4740012036630,4740012036630,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,3024744020121,3024744020121,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 72.054.002 CE', 'Champagné (Sarthe, France)']",,
119,Bacon -  - 290g,2359160002101,290 g,,,"['France', 'Allemagne']",[],[],?,?,?,?,?,"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Porc', 'Allumettes de porc', 'Lardons de porc']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,85.6%,9.1%,2.1%,1.8%,1.1%,0.3%,36,,,,,,,,,,
120,Tonno All olio di oliva - Bennet,8019514069146,,,['Bennet'],['France'],[],[],?,172,"7,5",0,26,,,,,,,,,,,,,720 kj(172 kcal),,,"1,1",,,0,,,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,
121,2450701021435,2450701021435,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Fromage ail et fines herbes - U - 150g,25627442,150 g,,['U'],['France'],[],[],?,?,?,?,?,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'en:uncured-soft-cheese-spreadable-around-30-40-fat-flavoured']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,
123,zilia,00277723,,['Plastique'],,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
