,name,bar_code,quantity,packaging,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,brand_owner,nova_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,manufacturing,link,markets,additives,generic_name,allergens,ingredients_origins,traceability_code,palm_ingredients,producer_info
30,Petits sablés au chocolat noir,3571374110901,,,,['France'],[],[],?,521,31,51,"7,9",,,,,,,,,,,,,2180 kj(521 kcal),,,20,,,13,,,"3,2",,"1,28",,,,,,,,,,,,,,,,,,,,,,,,,
31,Escalope fine de poulet,0217455052618,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Potimarron - Bio Village,3564707127028,,['Plastique'],"['Bio Village', 'Marque Repère']",['France'],[],[],?,?,?,?,?,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Leclerc'],,,,,,,
33,nectar de poire bio,3760187441627,,,,['France'],[],[],?,?,?,?,?,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Nectars de poire']",['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,"['EMB 66172G', 'Saint-Estève (Pyrénées-Orientales, France)']",,
34,potages légume pôelés - d aucy - 2.5kg,3248451088759,2.5kg,['2.5 kg'],['d aucy'],['France'],[],[],?,315,"3,4","8,2","1,7",['Potatoes légumes pôelés'],,3.4 g,en quantité modérée,0.4 g,en faible quantité,2 g,en faible quantité,0.58 g,en quantité modérée,,,1318 kj(315 kcal),,,"0,4",,,2,,,"0,58",,"0,232",,2,,B,,,,,,,,,,,,,,['Promocash'],,,,,,,
35,Chipolatas,2600178016087,,,,['France'],[],[],?,253,21,"1,7",18,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas']","['en:gluten-free', 'Sans colorants']",21 g,en quantité élevée,8 g,en quantité élevée,0.5 g,en faible quantité,2.3 g,en quantité élevée,,+6%,1059 kj(253 kcal),+6%,+11%,8,+11%,+45%,"0,5",-21%,+17%,"2,3",+28%,"0,92",+28%,20,+20%,E,+20%,E,,,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,,,,,,,"['FR 49.239.001 CE', 'Pin-en-Mauges (Maine-et-Loire, France)']",,
36,Goulache de Boeuf - Conserverie St Christophe - 900g,3565700000103,900 g,,['Conserverie St Christophe'],['France'],"['Beuf 450g', 'Oignons', 'Tomates', 'CRÉME FRAÎCHE', 'Paprika', 'Farine ', 'GLUTEN', 'Sel', 'Poivre', ' Viandes origine France']","['Non végétalien', 'Non végétarien']",583,140,"8,6","2,7",13,"['en:Beef goulash', 'en:Goulash']",,8.6 g,en quantité modérée,3.6 g,en quantité modérée,2.4 g,en faible quantité,0.34 g,en quantité modérée,,,583 kj(140 kcal),,,"3,6",,,"2,4",,,"0,34",,"0,136",,0,,B,,,,4,,,,,,,,,,,,,"['Gluten', 'Lait']",,,,
37,Crespini Brödpinnar Med Havssalt,8015565051123,,,,['France'],[],[],?,436,14,"67,4","10,3",,['Sans conservateurs'],,,,,,,,,,,1824 kj(436 kcal),,,"5,9",,,"3,4",,,2,,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,
38,Struky,8001543000368,,,,['France'],[],[],?,489,31,46,"7,4",,['Sans conservateurs'],,,,,,,,,,,2046 kj(489 kcal),,,17,,,24,,,"0,45",,"0,18",,,,,,,,,,,,,,,,,,,,,,,,,
39,Nouilles aux légumes - Sushishop - 250grammes,3701035400502,250 grammes,,['Sushishop'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Magret de canard fumé,2272090076090,,,,['France'],[],[],?,374,32,"0,6",21,"['Viandes', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Volailles', 'Plats à la volaille', 'Plats au canard', 'Canards', 'Magrets de canard', 'Magrets de canard fumés']",,32 g,en quantité élevée,11 g,en quantité élevée,0.6 g,en faible quantité,2.5 g,en quantité élevée,,+6%,1565 kj(374 kcal),+6%,+7%,11,+6%,-48%,"0,6",-18%,+7%,"2,5",-17%,1,-17%,24,+3%,E,+3%,E,,,78.4%,9.2%,2.0%,2.1%,1.0%,7.2%,27,,,,,,,,,,
41,Coulommiers bio,3390010004868,,,,['France'],[],[],?,220,16,"2,5",17,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Fromages de France', 'Coulommiers']",['Bio'],16 g,en quantité modérée,12 g,en quantité élevée,0.5 g,en faible quantité,1.6 g,en quantité élevée,,-21%,920 kj(220 kcal),-21%,-28%,12,-23%,+390%,"0,5",+92%,-10%,"1,6",+7%,"0,64",+7%,14,-1%,D,-1%,D,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,
42,Fleur de Sel de l’Ile de Noirmoutier au Thym -  - 125g,3770006084126,125g,,,['France'],[],[],?,?,?,?,?,"['Epicerie', 'Condiments', 'Sels', 'Sels marins', 'Sels non raffinés', 'Fleurs de sel']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,50.9%,0.0%,27.5%,11.1%,10.5%,0.0%,98,,,,,,,,,,
