,name,bar_code,quantity,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,brand,eco_score,packaging,categories,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,manufacturing,traceability_code,additives,nova_score,allergens,brand_owner,ingredients_origins,link,palm_ingredients,origin_detail
874,Huile d’olive de Myons,5410551025875,,['France'],[],[],?,899,3761 kj(899 kcal),"99,1","15,2",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
875,Sel Marin de l’Atlantique,26054049,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
876,Biopur active - Léa Nature,3456300013344,,['France'],[],[],?,?,,?,,?,,?,,,"['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01', 'AB Agriculture Biologique']",['Léa Nature'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
877,Delice de Volaille,2250680119068,,['France'],[],[],?,211,883 kj(211 kcal),"7,9","5,3","9,9",1,"14,3","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
878,Parmigiano reggiano rapé 18 mois d'affinage AOP 30%mg - U Bio - 60g,3256228130280,60 g,['France'],"['LAIT* cru de vache', 'sel', 'présure', "" * ingrédient issu de l'agriculture biologique""]","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,402,1682 kj(402 kcal),30,20,0,0,32,"1,6","0,64","['Bio', 'AOP']","['U Bio', 'U']",D,['Frais'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages râpés', 'Parmigiano Reggiano']","['Magasins U', 'Super U']",30 g,en quantité élevée,20 g,en quantité élevée,0 g,en faible quantité,1.6 g,en quantité élevée,,+0%,+1%,+1%,+1%,-100%,,-1%,0%,0%,17,+2%,D,+2%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,3,['Lait'],,,,,
879,Falooda 3 in 1,3760184323926,,['France'],[],[],?,35,146 kj(35 kcal),4,3,26,0,0,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
880,Edam les tranchettes - Pâturages - 250g,3250392931216,250 g,['France'],"['Lait de vache pasteurisé', 'sel', 'ferments lactiques ', 'dont lait', 'coagulant microbien']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,312,1305 kj(312 kcal),24,17,"0,5","0,5",24,2,"0,8","['Nutriscore', 'Nutriscore D']",['Pâturages'],D,['Barquette en plastique'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages des Pays-Bas', 'Fromages en tranches', 'Edam']",,24 g,en quantité élevée,17 g,en quantité élevée,0.5 g,en faible quantité,2 g,en quantité élevée,,-2%,-2%,-0%,+4%,+121%,+178%,-5%,-6%,-6%,16,-5%,D,-5%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,['NL Z 0507 EG'],,3,['Lait'],,,,,
881,Frutti rossi,8017596102225,,['France'],[],[],?,38,159 kj(38 kcal),0,0,"9,3","9,2",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
882,Camembert de Normandie - Gillot,3267031605025,,['France'],[],[],?,284,1188 kj(284 kcal),22,17,"0,5","0,5",21,"1,7","0,68","['Bio', 'Bio européen', 'FR-BIO-10']",['Gillot'],C,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Camemberts', 'Fromages de France', 'Fromages au lait cru', 'Camemberts au lait cru', 'Camemberts de Normandie']",,22 g,en quantité élevée,17 g,en quantité élevée,0.5 g,en faible quantité,1.7 g,en quantité élevée,,+2%,+2%,+3%,+17%,-3%,+49%,+1%,0%,0%,15,+1%,D,+1%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,"['FR 61.402.001 CE', 'Saint-Hilaire-de-Briouze (Orne, France)']",,,,,,,,
883,Ma farine bio de chataigne - Naturéo,3701091705627,,['France'],[],[],?,350,1464 kj(350 kcal),"4,5","1,3",65,25,"6,2",,,"['Bio', 'Bio européen', 'FR-BIO-01']",['Naturéo'],,['Sachet'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
884,Lungo - Tassimo,8711000469323,,['France'],[],[],?,?,,?,,?,,?,,,,['Tassimo'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
885,Biscuit enrobés chocolat lait - Céliane,3700566452561,,['France'],[],[],?,249,1042 kj(249 kcal),30,17,61,33,4,"0,4","0,16",['en:gluten-free'],['Céliane'],D,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Sablés nappés de chocolat', 'Biscuits au chocolat au lait']",,30 g,en quantité élevée,17 g,en quantité élevée,33 g,en quantité élevée,0.4 g,en quantité modérée,,-50%,-50%,+26%,+42%,-3%,+21%,-42%,-47%,-47%,21,-2%,E,-2%,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,,,,,,,,,,,
886,"Saveur agrumes - Lidl - 1,5L",4056489236993,"1,5 L",['France'],[],[],?,2,8 kj(2 kcal),0,0,"0,3","0,3",0,"0,01","0,004",,['Lidl'],,"['Bouteille', 'Plastique']","['Boissons', 'Boissons gazeuses', 'Boissons édulcorées', 'Sodas', 'Boissons light', 'Sodas light']",,0 g,en faible quantité,0 g,en faible quantité,0.3 g,en faible quantité,0.01 g,en faible quantité,,+100%,+100%,-100%,-100%,+105%,+170%,-100%,-39%,-39%,2,+79%,C,+79%,,,,,,,,,,,,,,,,,,
887,Ketchup & Mayo,5701018052283,,['France'],[],[],?,398,1665 kj(398 kcal),37,"3,6",14,12,"1,2","2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
888,Gingembre tranche,2600121022301,,['France'],[],[],?,347,1452 kj(347 kcal),0,0,93,75,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
889,Classic «T55»,5430002019017,,['France'],[],[],?,340,1423 kj(340 kcal),"1,2","0,2","68,2","0,5",12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
890,Petits sablés apérp,3423720031227,,['France'],[],[],?,499,2088 kj(499 kcal),"25,8",12,"51,8","6,5","11,6","1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
