,name,bar_code,quantity,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,brand,eco_score,packaging,categories,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,manufacturing,traceability_code,additives,nova_score,allergens,brand_owner,ingredients_origins,link,palm_ingredients,origin_detail
1702,Miel des Pyrénées Ariégoise - GAEC Miellerie de la rive faite - 500gr,3770013811173,500gr,['France'],[],[],?,?,,?,,?,,?,,,"['Bio', 'Bio européen', 'FR-BIO-01']",['GAEC Miellerie de la rive faite'],A,['pot verre'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de bruyère']",,,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,
1703,3484250000039,3484250000039,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1704,Plasma Marin Hypertonique - Méthode Quinton - 200ml,3440819930872,200ml,['France'],"['100% eau de mer', ' Non chauffé à haute température', 'non irradié', ' Peut contenir des traces de crustacés', 'poissons', 'mollusques', ' Pour 4 ampoules cas Magnésium 56,25 mg 15% AR* s de *AR : Apports de Référence sser ariée 200ml']",[],?,?,,?,,?,,?,,,['France'],['Méthode Quinton'],,['Ampoules'],['Complément aliment'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1705,19170721,19170721,,['France'],[],[],?,?,,?,,?,,?,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1706,2890678031035,2890678031035,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1707,03470624,03470624,,['France'],"['Semoule de maïs 76 %', 'sucre', 'miel 5 %', 'sirop de sucre caramélisé', 'sel', ' Traces de gluten', 'fruits à coque', 'lait et graines de sésame']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1708,soupe lentilles corail - danival - 520g,04838227,520g,['France'],"['Lentilles corail* ', '11%', 'tomates cubetées* ', '11%', 'oignons*', 'huile de tournesol*', 'eau', 'désodorisée', ""sel marin non raffiné de l'Atlantique"", 'gingembre* ', '0,4%', 'coriandre* ', '0,4%', 'cardamome* ', '< 0,1%', 'carvi* ', '< 0,1%', ' *Ingrédients biologiques']",[],258,62,258 kj(62 kcal),"2,5","0,3","5,8","0,8","2,8","0,76","0,304","['Bio', 'Bio européen', 'Sans arômes artificiels', 'Riche en fibres', 'Riche en protéines', 'AB Agriculture Biologique']",['Danival'],B,['Plastique'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Soupes de légumes']",['Biocoop'],2.5 g,en faible quantité,0.3 g,en faible quantité,0.8 g,en faible quantité,0.76 g,en quantité modérée,+52%,+51%,+50%,+45%,-47%,+27%,-59%,+201%,+16%,+16%,0,-100%,B,-100%,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,,['France'],,,3,['Aucun'],,,,,
1709,3590003012003,3590003012003,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1710,2278599094061,2278599094061,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1711,0201021032609,0201021032609,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1712,3349145211009,3349145211009,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1713,Bulk Powders Gainer Chocolate,000113425,,['France'],[],[],?,399,1669 kj(399 kcal),"6,6","3,1","49,1","1,3","29,9","0,52","0,208",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1714,0201517032472,0201517032472,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1715,07391422,07391422,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1716,Cubes knorr,64682761,,['France'],[],[],?,?,,?,,?,,?,,,,['Knorr'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1717,02222615,02222615,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1718,vernis ongles - MAVALA - 5ml,7618900910225,5 ml,['France'],[],[],?,?,,?,,?,,?,,,,['MAVALA'],,['Verre'],['Maquillage'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Suisse'],,,,,,,,,
1719,41939040884,41939040884,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1720,apero et tapas - ferrigno - 276g,3251870004781,276g,['France'],[],[],?,?,,?,,?,,?,,,,['Ferrigno'],B,['Carton'],"['Produits de la mer', 'Poissons', 'Sardines']",,,,,,,,,,,,,,,,,,,,,,,,56.5%,0.0%,7.4%,31.3%,3.7%,1.0%,85,,,,,,,,,,,
1721,yaourt fermier au lait brebis - la bergerie de Piero et Mano - 750g,3760035460015,750 g,['France'],[],[],?,?,,?,,?,,?,,,,['la bergerie de Piero et Mano'],,['Verre'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1722,organic hemp - OCB - 100,30105591,100,['France'],['Gomme arabique 100% naturelle - Papier à rouler chanvre bio non blanchi FR DE 100%'],[],?,?,,?,,?,,?,,,['Bio'],['OCB'],,['Carton'],['Papier à rouler'],['Tabac'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['France'],,"[""E414 - Gomme d'acacia""]",4,,,,http://www.ocb.net,,
1723,Nature Valley,42046707,,['France'],[],[],?,?,,?,,?,,?,,,,['Nature Valley'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1724,11338079,11338079,,['France'],"['Jus de soja* 78%', 'sucre de canne non rafiné“', 'framboise* 7%', 'jus de fruit de !sion* 2', ' arómes naturels*', 'jus concentré de sureau""', ""- farine de graines de caroube epaississants: pectine Correcteur d'acidité : citrate de calcium"", 'ferments selectionnés dont Bifidus et Lactobacillus acidaphilus Jus de soja conforme à la norme NFV 29 001 Sucre de canne issu du commerce équitable']",[],?,?,,?,,?,,?,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E410 - Gomme de caroube', 'E440 - Pectines']",4,,,,,,
1725,Maggi,11281177,,['France'],[],[],?,?,,?,,?,,?,,,,['Maggi'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1726,comelit - 1,8023903246919,1,['France'],[],[],?,?,,?,,?,,?,,,,['Comelit'],,['Carton'],['Alimentation'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1727,KREMALI - ulker - 165,8690504109969,165,['France'],[],[],?,?,,?,,?,,?,,,,['Ulker'],C,['Plastique'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",,,,,,,,,,,,,,,,,,,,,,,,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,['Turkie'],['8690504109969'],,,,,['tr:Turquie'],,,
1728,02258171,02258171,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1729,3760074620043,3760074620043,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1730,boudin,2499919032864,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1731,98140565,98140565,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732,pâte olive - bio sanare - 200g,8432722492139,200 g,['France'],"['Olives noires*', ""huile d'olive extra vierge*"", 'sel marin', ' ', '*', ""lssus de l'agriculture biologique Gluten Free Ingredients: Black Olives"", '*', 'Extra Virgen Olive Oil', '*', 'sea salt', ' ', '*', ' Organically Grown', ' PRODUCT']",[],?,?,,?,,?,,?,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['bio sanare'],,['Verre'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner']",['satoriz Grenoble'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Spain'],['ES ECO 019 CT'],,,,,['Europe'],,,
1733,L’assortiment fume cru supérieur morceau - Tempe - 1,0252879061006,1,['France'],[],[],?,?,,?,,?,,?,,,,['Tempe'],,['sachet polyéthylène'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1734,Farine de blé T55 - Sans marque - 5Kg,3162780362093,5 Kg,['France'],[],[],?,335,1402 kj(335 kcal),"1,1","0,2",69,"0,7",?,0,0,,['Sans marque'],A,['sac papier crantée'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de blé']",,1.1 g,en faible quantité,0.2 g,en faible quantité,0.7 g,en faible quantité,0 g,en faible quantité,,-3%,-3%,-18%,-15%,-1%,-54%,,-100%,-100%,,,,,77.8%,3.5%,0.0%,10.3%,8.3%,0.0%,97,,,,,,,,,,,
1735,JAMBONNEAU DEMI SEL - UNIFERME - 362g,2201652033257,362g,['France'],[],[],?,?,,?,,?,,?,,,,['UNIFERME'],,['Verre'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['BEAUVALLON (69)'],,,,,,['France'],,,
1736,Girasoli jambon cru mozzarella,3240931546063,,['France'],[],[],?,275,1151 kj(275 kcal),12,"4,9",30,"5,4",11,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1737,Olives Kalamata dénoyautées,5203447711255,,['France'],[],[],?,298,1247 kj(298 kcal),31,"4,1","0,5","0,5","1,8","2,8","1,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1738,Grandes tranches - Maître Jean Pierre - 750g,05648979,750 g,['France'],"['65% farine de blé', 'eau', 'sucre', 'huile de colza', 'sel', 'farine de fève', 'levure', 'arôme ', 'contient alcool']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",1133,268,1133 kj(268 kcal),"3,7","0,4",49,"9,1","8,3","0,95","0,38",,['Maître Jean Pierre'],,['Plastique'],,['Lidl'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,['Allemagne'],,,
1739,la fine Saint agaune - 200g,14636776,200g,['France'],[],[],?,?,,?,,?,,?,,,,['Saint agaune'],,['Carton'],"['Viandes', 'Charcuteries']",['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Inconnu'],"['FR 43.211.010 CE', 'Saint-Maurice-de-Lignon (Haute-Loire, France)']",,,,,['Europe'],,,
1740,Organic raw,0658010111287,,['France'],[],[],?,120,502 kj(120 kcal),15,0,8,1,20,"0,375","0,15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1741,5600249315009,5600249315009,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1742,nuggets de poulet bio - nature de france - 200g,14720535,200 g,['France'],"['Viandes* ', 'poulet* 39%', 'dinde*', ' ', 'Origine : France', 'eau', 'chapelure* ', 'farine de blé*', 'levure*', 'sel', 'farine de blé*', 'amidon de blé*', 'fécule""', 'sel', 'poivre*', ' Huile végétale de tournesol*', "" \r*Ingrédients issus de l'agriculture biologique"", '\rAllergène : gluten', ' \rSusceptible de contenir des traces de céréales contenant du gluten', 'lait et d’œuf']","['Non végétalien', 'Non végétarien']",?,?,,?,,?,,?,,,"['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01']",['nature de france'],B,,"['Viandes', 'Préparations de viande', 'Volailles', 'Produits panés', 'Poulets', 'Préparations au poulet', 'Nuggets de volaille', 'Poulets panés', 'Nuggets de poulet', 'Volaille biologique']",['Chronodrive'],,,,,,,,,,,,,,,,,,,,,,,71.2%,17.5%,4.4%,1.9%,1.1%,4.0%,36,,,['44014B'],,4,['Gluten'],,['France'],,,
1743,Huile d'olive vierge - extra -  - 750ml,5604898888884,750 ml,['France'],[],[],?,120,502 kj(120 kcal),14,2,0,0,0,0,0,,,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,,,,,,,,,,,,,,,,,,,,,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,
1744,01610642,01610642,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1745,Pain croustillant Round Fr. Herbs - Wasa - 205g,7300400482592,205 g,['France'],"['Farine de BLÉ ', '93%', 'huile de tournesol', 'levure', 'sucre', 'arôme naturel', 'émulsifiant ', ""mono - et diglycérides d'acides gras végétaux"", 'sel', 'sel de mer ', '0,56%', 'mélange de plantes aromatiques ', 'romarin', 'persil', 'basilic', ' ', '0,19%', ' Peut contenir des traces de GRAINES DE SÉSAME']",[],?,385,1611 kj(385 kcal),"6,5","0,8","67,2",4,11,1,"0,4",['Non-bio'],['Wasa'],B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'en:zwieback']",,6.5 g,en quantité modérée,0.8 g,en faible quantité,4 g,en faible quantité,1 g,en quantité modérée,,-2%,-2%,-3%,-57%,-2%,-31%,-7%,-14%,-14%,-2,-132%,A,-132%,48.2%,30.5%,12.1%,8.1%,1.1%,0.0%,95,,,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires""]",4,['Gluten'],,,,,
1746,Pain croustillant Round Sesam Salt - Wasa - 235g,7300400482608,235 g,['France'],"['Farine de BLÉ ', '83%', 'GRAINES DE SÉSAME ', '10%', 'huile de tournesol', 'levure', 'sucre', 'sel', 'sel de mer ', '0,58%']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,407,1703 kj(407 kcal),10,"1,2","64,3","3,5",12,"1,28","0,512",['Non-bio'],['Wasa'],B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'en:zwieback']",,10 g,en quantité modérée,1.2 g,en faible quantité,3.5 g,en faible quantité,1.28 g,en quantité modérée,,+3%,+3%,+50%,-35%,-6%,-40%,+2%,+10%,+10%,6,-4%,C,-4%,48.2%,30.5%,12.1%,8.1%,1.1%,0.0%,95,,,,,3,"['Gluten', 'Graines de sésame']",,,,,
1747,Haricots plats - Saint Eloi,3250392948665,,['France'],[],[],?,28,117 kj(28 kcal),"0,5","0,1","3,6","1,8","1,6",,,"['Nutriscore', 'Nutriscore A']",['Saint Eloi'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1748,3760279740249,3760279740249,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1749,Petits pois doux extra fins - Leaderprice,3263859880699,,['France'],[],[],?,99,414 kj(99 kcal),70,2,12,4,7,0,0,,['Leaderprice'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1750,Grated Cheddar - Arla,5000246726554,,['France'],[],[],?,414,1732 kj(414 kcal),34,21,"1,7","0,5",25,"1,8","0,72",,['Arla'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1751,2402735047691,2402735047691,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1752,Chili sauce - Cholimex Foods - 330g,8934637514253,330 g,['France'],"['Water', 'Chili ', '30 %', 'Sugar', 'tomato', 'garlic', 'salt', 'vinegar', 'Monosodium L-glutamate ', '621', ' modified starch ', '1422', ' preservative ', '211']",[],?,?,,?,,?,,?,,,,['Cholimex Foods'],,['Glass'],"['Epicerie', 'Sauces', 'Sauces chili']",['Thanh Binh Jeune'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Vietnam'],,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés', 'E1422 - Adipate de diamidon acétylé', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition']",4,,,['Viêt Nam'],,,
1753,Pasta classica,4006196097042,,['France'],[],[],?,351,1469 kj(351 kcal),1,"0,4",72,"3,5",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1754,Pur chocolat - La pateliere,3278584810019,,['France'],[],[],?,583,2439 kj(583 kcal),42,25,39,34,"7,5",,,,['La pateliere'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1755,28916222,28916222,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1756,Salade américaine au thon - Nixe - 280g,22227867,280 g,['France'],"['24% mais', '23% thon ', 'poisson', ' lisas Wat 9,7% carottes', '9,7% oignons', '9,7% petts p ons prétraités au vinaigre et au sel ', 'comichons', 'eau in aicool', 'sel', 'affermissant : chlorure de calcium', 'eau', '4,7%pm 12 Touges', 'huile de colza', '1% olives noires confites ', 'olves 5 stabilisant : gluconate ferreux', ""vinaigre d'alcool"", 'persil', 'amid z', 'sel', 'sucre', 'moutarde de Dijon ', 'eau', ""graines de moutarde d'alcool"", 'sel', 'acidifiant : acide citrique', 'épaississant: gomme Avant ouverture,']","['Non végétalien', 'Non végétarien']",410,98,410 kj(98 kcal),"3,2","0,5","7,1","2,6","8,9","0,85","0,34",,['Nixe'],,['Boite métal'],['Salade au maïs et thon'],['Lidl'],3.2 g,en quantité modérée,0.5 g,en faible quantité,2.6 g,en faible quantité,0.85 g,en quantité modérée,,,,,,,,,,,-1,,A,,,,,,,,,,,"['FR 85.222.009 CE', 'Saint-Gilles-Croix-de-Vie (Vendée, France)']","['E509 - Chlorure de calcium', '', 'Risque modéré de sur-exposition', 'E579 - Gluconate de fer', 'E330 - Acide citrique']",4,['Poisson'],,,http://www.lidl.fr/poissons,,
1757,3700211131551,3700211131551,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1758,Pois cassés,3263850781865,,['France'],[],[],?,334,1397 kj(334 kcal),"1,8","0,3",53,"2,6",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1759,Fleury Michon,302741858108,,['France'],[],[],?,?,,?,,?,,?,,,['Nutriscore'],['Fleury Michon'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1760,La pépite Brooklyn Mama Carotte et Pain d'épices - Toomaï - 40g,3770016534086,40g,['France'],"['Céréales complètes ', ""flocons d'avoine'"", 'flocons de petit épeautre 20%', ""farine de sorgho'"", ""'"", ' 5%', 'raisins secs*o ', 'raisins*', ""huile de tournesol'"", ""graines de courge'"", ""farine de pois chiche*'"", ' 8,4%', ""huile de colza'"", ""poudre de carotte'"", ' 6%', ""graines de tournesol'"", ""épices pain d'épices 3% "", 'cannelle“', ""fenouil'"", ""badiane'"", ""cardamome'"", ""girofle'"", ""gingembre'"", 'fleur de sel de Camargue', ""  * Issus de l'agriculture biologique"", "" '"", 'Garantis por Nature & Progrès', ' Issus du Commerce équitable contrôlé selon le référentiel Fair for Life']",[],?,414,1732 kj(414 kcal),"17,8","2,2","47,3","10,4","12,9","0,41","0,164","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Riche en fibres', 'Sans additifs', 'Sans conservateurs', 'Source de protéines']",['Toomaï'],,,['Encas'],['en ligne'],17.8 g,en quantité modérée,2.2 g,en quantité modérée,10.4 g,en quantité modérée,0.41 g,en quantité modérée,,,,,,,,,,,0,,B,,,,,,,,,,['Montpellier'],,,3,,,['France'],http://tributoomai.fr,,
1761,Advent calendar,5202659801013,,['France'],[],[],?,559,2339 kj(559 kcal),"36,4","35,9","53,3","50,1","2,7","0,63","0,252",,,,,"['Aliments et boissons de Noël', ""Calendriers de l'avent""]",,36.4 g,en quantité élevée,35.9 g,en quantité élevée,50.1 g,en quantité élevée,0.63 g,en quantité modérée,,+10%,+9%,+24%,+105%,-5%,-3%,-55%,+228%,+228%,28,+12%,E,+12%,,,,,,,,,,,,,,,,,,
1762,vegan protéine - zumub - 2kg,5600985804324,2kg,['France'],[],[],?,?,,?,,?,,?,,,,['Zumub'],,['Plastique'],['Supplément alimentaire'],['Zumub'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Cacem'],['5600985 804324'],,,,,['Portugal'],zumub,,
1763,Whipped cream Krem santi,8694587127193,,['France'],[],[],?,498,2084 kj(498 kcal),"22,2","1,3","73,2",58,"1,3","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764,3251391161393,3251391161393,,['France'],[],[],?,?,,?,,?,,?,,,"['Nutriscore', 'Nutriscore D']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1765,01601921,01601921,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1766,Kellogg's Special K Red Berries - KELLOGGS - 500g,13049536,500g,['France'],[],[],?,?,,?,,?,,?,,,,"['KELLOGGS', ""Kellogg's""]",C,['carton + plastique'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Flocons', 'Flocons de céréales', 'Céréales extrudées', 'Flocons extrudés', 'Corn-flakes']",,,,,,,,,,,,,,,,,,,,,,,,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,,,,,,,,,,
1767,2220526034312,2220526034312,,['France'],[],[],?,?,,?,,?,,?,,,,,,['Film en plastique'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 85.223.001 CE', 'Sainte-Hermine (Vendée, France)', 'FSC-C013535']",,,,,,,,
1768,10697218,10697218,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1769,Roquefort Papillon Le Bio - 100g,11366401,100g,['France'],[],[],?,?,,?,,?,,?,,,"['Bio', 'Bio européen', 'FR-BIO-01', 'AOP', 'AB Agriculture Biologique']","['Roquefort', 'Papillon']",B,['Plastique'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte persillée', 'Fromages à pâte persillée français', 'Fromages de brebis', 'Roqueforts', 'en:Uncured-soft-cheese-spreadable-around-25-fat-in-a-tub']",,,,,,,,,,,,,,,,,,,,,,,,88.4%,4.4%,2.4%,3.1%,1.4%,0.4%,44,,['Roquefort sur Soulzon'],['12 203.026 EC'],,,,,['France'],,,
1770,3400939108209,3400939108209,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1771,Petit beurre lot de 2,3263852903364,,['France'],[],[],?,430,1799 kj(430 kcal),"9,3","5,9",78,23,"7,4","0,96","0,384",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1772,pom potes brassés fraise - Maternes - 85g,01880700,85 g,['France'],[],[],341,81,341 kj(81 kcal),"2,4","1,5",11,10,"3,4","0,14","0,056",,['Maternes'],,['Plastique'],['Lait fermenté pasteurisé sucré à la fraise avec arômes naturels'],['Auchan'],2.4 g,en faible quantité,1.5 g,en quantité modérée,10 g,en quantité modérée,0.14 g,en faible quantité,,,,,,,,,,,2,,B,,,,,,,,,,['France'],,,,,,,,,
1773,2471248022891,2471248022891,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1774,Huile d’olive vierge extra - De Cecco,8001250011480,,['France'],[],[],?,824,3448 kj(824 kcal),"91,6",14,0,0,0,0,0,,['De Cecco'],D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra"", 'en:Huile d’Olive vierge Extra']",,91.6 g,en quantité élevée,14 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,-3%,-3%,-3%,+2%,,,,,,6,-1%,C,-1%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,['Union européenne'],,,
1775,Coenzyme Q10 - Granions - 15g,3760155210491,15g,['France'],[],[],?,?,,?,,?,,?,,,,['Granions'],,['emballage carton et contenant en plastique'],['Compléments alimentaires'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1776,Mozzarella - Metro Chef - 1kg,4337182141068,1 kg,['France'],[],[],?,276,1155 kj(276 kcal),22,"15,2","0,5","0,5",19,1,"0,4",,"['Metro Chef', 'Metro']",D,['Frais'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à pâte filée', 'Mozzarella']",,22 g,en quantité élevée,15.2 g,en quantité élevée,0.5 g,en faible quantité,1 g,en quantité modérée,,+6%,+7%,+6%,+9%,-51%,-34%,+13%,+48%,+48%,12,+18%,D,+18%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,['IT 03-159 CE'],,,,,,,,
