,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,quantity,traceability_code,packaging,additives,palm_ingredients,allergens,nova_score,manufacturing,markets,ingredients_origins,link,generic_name,brand_owner
1488,Caroline,7610148210273,['France'],[],[],?,552,2310 kj(552 kcal),34,21,54,44,7,"0,23","0,092",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1489,Magret de canard,2205794003826,['France'],[],[],?,366,1531 kj(366 kcal),33,11,"0,6","0,6",16,"0,1","0,04",,E,"['Viandes', 'Volailles', 'Canards', 'Magrets de canard']",33 g,en quantité élevée,11 g,en quantité élevée,0.6 g,en faible quantité,0.1 g,en faible quantité,,+8%,+8%,+13%,+10%,-52%,-10%,-11%,-94%,-94%,14,-24%,D,-24%,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,,,,,,,,,,,,,,
1490,madeleine recette de commercy - St Michel - 300g,00171250,['France'],"['Farine de blé', 'sucre', 'ceufs de poules élevées en plein air ', '21%', 'beurre påtissier ', '20%', 'sirop de glucose-fructose', 'stabilisants:sorbitols et glycérol', 'poudres à lever : diphosphates et carbonates de sodium ', 'blé', 'arôme naturel', "" Conserver au sec et à l'abri de la chaleur aces éventuelles de soja et de fruits à coque""]",['Non végétalien'],?,?,,?,,?,,?,,,['St Michel'],B,"['Biscuits et gâteaux', 'Gâteaux', 'Madeleines']",,,,,,,,,,,,,,,,,,,,,,,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,"['Plein air', 'Œufs de poules élevées en plein air']",300g,,['Sachets'],"['E420 - Sorbitol', 'E422 - Glycérol', 'E450i - Pyrophosphate de sodium acide', 'E500 - Carbonates de sodium']",,"['Gluten', 'Lait', 'Fruits à coque']",4,,,,,,
1491,Fresubin,4051895003276,['France'],[],[],?,2,8 kj(2 kcal),"7,8","0,55","22,5","13,4",10,"0,16","0,064",['Fresubin'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['en:gluten-free', 'Sans lactose']",,,,,,,,,,,,,
1492,Oeuf de pâques,3273070001209,['France'],[],[],?,542,2268 kj(542 kcal),32,20,57,55,6,"0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1493,Clairette de die,3433347036222,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1494,Levure De Bière Revivifiable 320 MG - 90 Gél.,3700292870646,['France'],[],[],?,?,,?,,?,,?,,,,C,"['Additifs alimentaires', 'Levures de bière']",,,,,,,,,,,,,,,,,,,,,,,35.8%,54.7%,4.4%,2.7%,2.4%,0.0%,60,,,,,,,,,,,,,,
1495,Moulage de chocolat noir decoré,3760059938569,['France'],[],[],?,578,2418 kj(578 kcal),43,27,33,28,"9,3","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1496,pâte à tartiner noisettes cacao - la vie claire - 390g,07675610,['France'],"['Sucre de canne', 'huile de tournesol', 'pâte de noisette 11%', 'lait en poudre', 'poudre de cacao maigre 6%,beurre de cacao', 'farine de riz', 'lécithine de tournesol', 'extrait naturel de vanille']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,560,2343 kj(560 kcal),35,5,54,53,5,"0,02","0,008",['la vie claire'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390 g,,['Pot'],['E322i - Lécithine'],,,,['Italie'],['la vie claire'],"['République dominicaine', 'Italie', 'Madagascar', 'Pérou']",,,
1497,Les perles de Montpellier au miel de garrique,3770006854040,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans colorants'],,,,,,,,,,,,,
1498,Porto vintage,5010867400702,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1499,Sucre de canne complet,59830924,['France'],[],[],?,326,1364 kj(326 kcal),0,0,86,86,"0,65","0,06","0,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500,Porto vintage,5010867400702,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1501,Sucre de canne complet,59830924,['France'],[],[],?,326,1364 kj(326 kcal),0,0,86,86,"0,65","0,06","0,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1502,Creme de mure védrénne,3376373522508,['France'],[],[],?,?,,?,,?,,?,,,['Vedrenne'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1503,Patatouillles,3344690001143,['France'],[],[],?,539,2255 kj(539 kcal),"30,9","18,6","57,4","56,6","6,3","0,08","0,032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1504,Oeufs feuilletés,3340390003753,['France'],[],[],?,494,2067 kj(494 kcal),21,"11,9","70,5","56,9","4,5","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1505,Abricots secs,2600110040149,['France'],[],[],?,?,,?,,?,,?,,,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Abricots secs']",,,,,,,,,,,,,,,,,,,,,,,45.6%,45.5%,2.7%,4.3%,1.9%,0.0%,38,,,,,,,,,,,,,,
1506,Deca gourmand - ESPRESSO MONTE-CARLO,3770004609130,['France'],['Café fraichement torréfié et moulu en capsule -'],[],?,?,,?,,?,,?,,,['ESPRESSO MONTE-CARLO'],,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Cafés', 'Dosettes', 'Cafés en dosettes', 'Cafés en dosettes compatible Nespresso']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Commerce équitable', 'AB Agriculture Biologique', 'Max Havelaar']",,,,,,,,,,,,,
1507,Nougatine artisanale - Fortwenger,3279130107591,['France'],[],[],?,448,1874 kj(448 kcal),"14,3","1,11","70,1","55,4","6,9","0,01","0,004",['Fortwenger'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1508,Colomba aux pépites de chocolat,8001130811827,['France'],[],[],?,355,1485 kj(355 kcal),"19,5","10,6","41,1","18,3","6,4","0,49","0,196",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1509,Les petits moulages en chocolat au lait extra fin - Rohan,3273070151508,['France'],[],[],?,542,2268 kj(542 kcal),32,20,57,56,6,"0,15","0,06",['Rohan'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1510,Petits œufs Tendresse Fruits,3340390003739,['France'],[],[],?,360,1506 kj(360 kcal),"0,2","0,04",87,"75,1","0,63","0,08","0,032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1511,Haut du clos,3760279310008,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1512,Boisson au melon,8801105914320,['France'],[],[],?,54,226 kj(54 kcal),0,0,"13,4","13,4",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1513,Fireman SAM,8714786290129,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1514,Oeuf praliné lait,3395250200698,['France'],[],[],?,532,2226 kj(532 kcal),"31,9","7,1","54,9","50,3","8,2","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1515,Bonbons chocolat - 7500g,5412254757824,['France'],[],[],?,562,2351 kj(562 kcal),35,22,56,54,"3,7","0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7500 g,,,,,,,,,,,,
1516,Assortiment de friture pleines,0404144620016,['France'],[],[],?,563,2356 kj(563 kcal),"37,7",23,48,"46,4","7,1","0,17","0,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1517,Chocolate accents,0715483012715,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1518,Gâteau basque - Ederki,3277510004928,['France'],[],['Sans huile de palme'],?,407,1703 kj(407 kcal),14,"8,8","65,5",30,"4,7","0,8","0,32",['Ederki'],,"['Biscuits et gâteaux', 'Gâteaux']",14 g,en quantité modérée,8.8 g,en quantité élevée,30 g,en quantité élevée,0.8 g,en quantité modérée,,+1%,+1%,-28%,+15%,+32%,+8%,-14%,+32%,+32%,22,+23%,E,+23%,,,,,,,,['en:palm-oil-free'],,,,,,,,,,,,,
1519,Roquefort AOP,0259080014760,['France'],[],[],?,365,1527 kj(365 kcal),31,20,"1,5","0,5",21,"3,1","1,24",,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte persillée', 'Fromages à pâte persillée français', 'Fromages de brebis', 'Roqueforts']",31 g,en quantité élevée,20 g,en quantité élevée,0.5 g,en faible quantité,3.1 g,en quantité élevée,,-1%,-0%,-3%,-10%,+130%,+1297%,+8%,-13%,-13%,19,0%,E,0%,88.4%,4.4%,2.4%,3.1%,1.4%,0.4%,44,,,,,,,,,,,,,,
1520,Bouchée praliné cajou,3700840147183,['France'],[],[],?,585,2448 kj(585 kcal),"42,2","31,5","40,8","36,7",0,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1521,Biscuit fourré au chocolat,3760145851703,['France'],[],[],?,497,2079 kj(497 kcal),22,"9,9",68,34,"5,6","0,18","0,072",,C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits fourrés']",22 g,en quantité élevée,9.9 g,en quantité élevée,34 g,en quantité élevée,0.18 g,en faible quantité,,+6%,+6%,+15%,+16%,+2%,+3%,-4%,-68%,-68%,22,+11%,E,+11%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,,,,,,,,,
1522,Ad Hazot - 190g,7290107939003,['France'],[],[],?,514,2151 kj(514 kcal),26,"13,4",63,36,"6,9","0,038","0,015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190 g,,,,,,,,,,,,
1523,Nougat - 60g,3490450560914,['France'],[],[],?,456,1908 kj(456 kcal),"11,8",1,"80,7","70,6","5,6","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60 g,,,,,,,,,,,,
1524,Chateau belair,3660989144415,['France'],[],[],?,?,,?,,?,,?,,,,D,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges']",,,,,,,,,,,,,,,,,,,,,,,38.9%,16.2%,33.0%,8.1%,2.4%,1.3%,43,,,,,,,,,,,,,,
1525,Léo de la Gaffelière,3662312014907,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1526,Stimium antioxydant,3583310000047,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en France'],,,,,,,,,,,,,
1527,BEARS,8436014441041,['France'],[],[],?,371,1552 kj(371 kcal),"0,76","0,76","86,2","48,09","3,89","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,,,,
1528,Petit carrés,9770395203362,['France'],[],[],?,508,2125 kj(508 kcal),25,17,62,34,"7,5","0,38","0,152",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1529,Fantaisie croustibille caramelia,3395328160428,['France'],[],[],?,533,2230 kj(533 kcal),31,19,54,45,"7,7","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1530,Mini croissant,0141530029007,['France'],[],[],?,280,1172 kj(280 kcal),8,2,48,12,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1531,Limonade Citron,27001479,['France'],[],[],?,42,176 kj(42 kcal),0,0,10,10,0,"0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1532,La poule garnie,3760268983411,['France'],[],[],?,561,2347 kj(561 kcal),38,23,49,45,"5,6","0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1533,Les oeufs - Galler - 2g,5412038011050,['France'],[],[],?,589,2464 kj(589 kcal),36,18,"51,3","46,8","8,3","0,1","0,04",['Galler'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 g,,,,,,,,,,,,
1534,Chair a saucisse,0220030020209,['France'],[],[],?,856,3582 kj(856 kcal),"15,7","2,25",5,"0,9","15,9","1,86","0,744",,E,"['Viandes', 'Charcuteries', 'Saucisses', 'Chair à saucisse']",15.7 g,en quantité modérée,2.25 g,en quantité modérée,0.9 g,en faible quantité,1.86 g,en quantité élevée,,+224%,+226%,-31%,-74%,+335%,+40%,+20%,+11%,+11%,20,+13%,E,+13%,77.3%,16.5%,4.1%,1.3%,0.7%,0.2%,25,,,,,,,,,,,,,,
1535,Super water vitamins apple juice elderflower,369282,['France'],[],[],?,9,38 kj(9 kcal),"0,1","0,1","2,3","2,2","0,1","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1536,Croc party espelette,3173660022488,['France'],[],[],?,467,1954 kj(467 kcal),38,14,"2,3","2,2",30,"4,9","1,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Viande-francaise', 'Viande-porcine-francaise']",,"['FR 42.334.001 CE', 'Violay (Loire, France)', 'EMB 42334A', 'Violay (Loire, France)']",,,,,,,,,,,
1537,"Chocolat noir, Noir nature",3700238382738,['France'],[],[],?,576,2410 kj(576 kcal),44,26,31,27,"7,7","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1538,Rillettes de saumon - Kritsen - 500g,3321433004586,['France'],[],[],?,229,958 kj(229 kcal),20,"1,9","1,2","0,7","9,9","1,3","0,52",['Kritsen'],E,"['Viandes', 'Produits de la mer', 'Produits à tartiner', 'Poissons', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Préparations de poisson', 'Rillettes de poissons', 'Rillettes de saumon', 'Rilettes de saumon']",20 g,en quantité modérée,1.9 g,en quantité modérée,0.7 g,en faible quantité,1.3 g,en quantité modérée,,+9%,+9%,+30%,-52%,-53%,-31%,-13%,+20%,+20%,3,-62%,C,-62%,88.2%,4.1%,1.6%,5.2%,0.7%,0.2%,25,['Fabriqué en France'],500 g,"['FR 29.026.501 CE', 'Châteaulin (Finistère, France)']",,,,,,,,,,,
1539,"Lapin chocolat au lait, décoré - Frey",7616500661462,['France'],[],[],?,559,2339 kj(559 kcal),35,22,53,52,7,"0,2","0,08",['Frey'],,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Moulages en chocolat', 'Aliments de Pâques', 'Lapins en chocolat']",35 g,en quantité élevée,22 g,en quantité élevée,52 g,en quantité élevée,0.2 g,en faible quantité,,+1%,+1%,+2%,+6%,-1%,-0%,+7%,+3%,+3%,26,-1%,E,-1%,,,,,,,,,,,,,,,,,,,,,
1540,Dessert châtaigne vanille Favols,3469676045079,['France'],[],[],?,190,795 kj(190 kcal),"0,5",0,45,"12,3","1,45","0,011","0,004",['Favols'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1541,4x 125g,3160074370748,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 x 125 g,,,,,,,,,,,,
1542,Rognon de porc,2695376023425,['France'],[],[],?,97,406 kj(97 kcal),"3,2",1,0,0,17,"0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1543,Bruschetta aux légumes,4102590091652,['France'],[],[],?,238,996 kj(238 kcal),"24,2","2,9",4,4,"0,8","1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1544,Corn grain - Marmara - 500g,4012625432902,['France'],[],[],?,365,1527 kj(365 kcal),"4,5","0,7",74,"0,6","9,4","0,04","0,016",['Marmara'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500 g,,,,,,,,,,,,
1545,Boisson gazéifiée aromatisée coquelicot,3760138620590,['France'],[],[],?,36,151 kj(36 kcal),0,0,9,9,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1546,Domaine gaujal merlot,3760061790025,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1547,Jack Daniel´s Honey Bourbon 35º,0082184000328,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1548,Turron blando - San Andrés - 200g,8413725001368,['France'],[],[],?,575,2406 kj(575 kcal),37,4,38,4,17,"0,05","0,02",['San Andrés'],E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron']",37 g,en quantité élevée,4 g,en quantité modérée,4 g,en faible quantité,0.05 g,en faible quantité,,+10%,+10%,+18%,-24%,-16%,-90%,+42%,-22%,-22%,5,-70%,C,-70%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,200 g,,,,,,,,,,,,
1549,Ricard,3250392273514,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1550,Purrée de carotte - Paso,3760114579584,['France'],[],[],?,66,276 kj(66 kcal),"3,3","1,4","4,8","2,9","3,3","0,097","0,039",['Paso'],B,"['Plats préparés', 'Légumes préparés', 'Purées', 'Purées de légumes', 'Purées de carottes']",3.3 g,en quantité modérée,1.4 g,en faible quantité,2.9 g,en faible quantité,0.097 g,en faible quantité,,+29%,+31%,+162%,+106%,-9%,-19%,+252%,-76%,-76%,-1,,A,,38.4%,0.0%,18.3%,18.7%,15.4%,9.3%,95,['Sans conservateurs'],,,,,,,,,,,,,
1551,Oreilles de cochon & lieu jaune - 4dl,3760282430120,['France'],[],[],?,173,724 kj(173 kcal),14,"9,5","1,9","1,2","9,5","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 dl,,,,,,,,,,,,
1552,Une histoire de famille chocolat,3364474468962,['France'],[],[],?,583,2439 kj(583 kcal),40,24,48,48,"5,3","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1553,Paris Brest praliné,0207664045266,['France'],[],[],?,365,1527 kj(365 kcal),25,12,24,"1,8","9,8","1,2","0,48",,C,"['Biscuits et gâteaux', 'Pâtisseries', 'Paris-Brest']",25 g,en quantité élevée,12 g,en quantité élevée,1.8 g,en faible quantité,1.2 g,en quantité modérée,,+5%,+5%,-1%,-8%,-8%,-89%,+74%,+245%,+245%,19,+7%,E,+7%,74.4%,15.8%,4.4%,3.1%,2.3%,0.0%,60,,,,,,,,,,,,,,
1554,Plateau cocktail,0202981025328,['France'],[],[],?,55,230 kj(55 kcal),"3,7","0,3","3,1","1,9","1,4","0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1555,Sugo alla Napoletana - agnesi - 150g,8001200047736,['France'],"['SUGO ALLA NAPOLETANA DE Napoletana Sauce Zutaten gehacde Tomaten ', '68,9%', ' Zebein ', '11', '4N', ' Tomatenmark ', '7', '3 %', ' Sonnentlumenol Karoten TBasikum ', '0', '9%Meersaz Knoolauch Zucker Reisete Seilene sahwarzer Plefier Rosmarm', 'Baokrebmite Zironensaure Pesurisiertes produkt ', 'FR', 'Sauce Napolitaine ngrédients: puipe dn tomate ', '689% ', ' ognons ', '11 A4%', ' concentre de tomates ', '73%', 'de toumesol', 'caotes ', '3%', 'baslic ', '0', '9%', ' se marn', 'al sucre', 'amidon de rz céleri poiwre nor romann comecteur dacde Bode cihque Produl pesteurise ', 'IT', ' Sugo ala Napoletana ngredienti poipe d pomodoro ', '68P%', ' apole ', '11', '4%', 'concentraio di pomodaro ', '73%', ' olod girasole carcte ', '%basilico ', '0', '9', 'sale mano', 'aglo zucchero amido drso', 'sedano', 'pepe nero', 'rosmarno', 'comtore di acidt aodo cmco Prodoto pastorzzalo ', 'EN', ' Napoletana Sauce Ingredients: qusned tomatbes ', '68', '9%', ' onions ', '1', '4', ' DTato pase ', '73%', ' surtower ol camus ', '35', ' basi ', '0', '9%', ' sea sat garicsugar', 'noe starch celery', 'biack pepper rosemary', 'acidity regulaior ctnic sod Pasteurised product', ' Produid unler Schutzatmosphare verpack Nach dem Oefnen im Knischrank aubewaren Srunger 3 Tage/ Condlionne sous atmosphere proectrice Apres ouverture', 'conserver au refrigerateur environ prur 3 ours/Prodotn cntezionato in atmoslera protetiva Uha vota aperto conservare in trigorfero e consumare entro 3 giom/Paokaged maprotective atmosphere Refregerate afer opening and use wihin 3 days GEBRAUCHSANWEISUNG der inhat in einem Toof ur zen MKROWELLENOFEN durchstechen Sie die Schale n den oberen Tel und emizen Se fur 1 Minute be 750 WI MODE DEMPLO verser le contenu dans un casseroe et réchauffer MICRO-ONDE percer le bol cans la Denie supenieure et chaufer pendant 1 mnue à 750 W/ MODALITA DUSO versare l contenuto in un teçame e riscaidare IN MICROONDE forare la vascheta nela pare superiore e scaldare per 1 minuto 2750 WI SERVING INSTRUCTION pour the conterts into a pan and heat MICROWAVE dil ne pan n he upper part and heal for 1 minute at 750 W NAHRWERTDEKLARATION DECLARATION NUTRITIONNELLE Pro-Pour Pe Per 100g TRION DECLARATION 8 0012']",[],?,109,456 kj(109 kcal),9,"1,1",5,5,"1,7","0,62","0,248",['Agnesi'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150g,,,,,['Céleri'],,,,,,,
1556,Filet mignon fumé,2215341048484,['France'],[],[],?,121,506 kj(121 kcal),"1,7","0,7","0,7","0,7",26,"2,3","0,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1557,Chocolat noir,3274648170594,['France'],[],[],?,565,2364 kj(565 kcal),43,26,31,28,"7,6","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1558,Tempralino Rosé,4740158004395,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1559,Valencia almendras - Almondeli,8436536120912,['France'],[],[],?,637,2665 kj(637 kcal),"55,9","4,42","10,3","2,8","23,2","0,87","0,348",['Almondeli'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1560,Tomette aux herbes de Provence,0254806030314,['France'],[],[],?,354,1481 kj(354 kcal),"28,1",10,"1,1","0,3",24,"2,06","0,824",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561,Apero sympa,3443210982389,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1562,Bouchées de poulet herbes de provence surgelées 300g - 300g,3230890001871,['France'],[],[],?,185,774 kj(185 kcal),9,"2,7","3,3",0,22,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300 g,,,,,,,,,,,,
1563,Colorant Alimentaire En Poudre - Violet Myrtille - 10 G,3760185304054,['France'],[],[],?,?,,?,,?,,?,,,,,"['Additifs alimentaires', 'Colorants alimentaires']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 g,,,,,,,,,,,,
1564,Comté,2441827032863,['France'],[],[],?,402,1682 kj(402 kcal),32,19,"0,5",0,28,"0,3","0,12",,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",32 g,en quantité élevée,19 g,en quantité élevée,0 g,en faible quantité,0.3 g,en quantité modérée,,+1%,+2%,-2%,-12%,+8%,-100%,+11%,-69%,-69%,11,-18%,D,-18%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,"['FR 25.039.003 CE', 'Avoudrey (Doubs, France)']",,,,,,,,,,,
1565,Micellar casein,5453001852409,['France'],[],[],?,343,1435 kj(343 kcal),2,"1,3","2,3",2,79,"2,9","1,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1566,Salsa nera al tartufo,8025386004581,['France'],[],[],?,359,1502 kj(359 kcal),36,"4,1","4,7","0,9","2,9","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1567,Café moulu pur arabica décaféiné,3760159102242,['France'],[],[],?,?,,?,,?,,?,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1568,Pesto con basilico genovese dop,8008378002765,['France'],[],[],?,732,3063 kj(732 kcal),78,10,"1,2","1,2","3,9","2,1","0,84",,C,"['Epicerie', 'Sauces', 'Sauces Pesto', 'Pestos au basilic']",78 g,en quantité élevée,10 g,en quantité élevée,1.2 g,en faible quantité,2.1 g,en quantité élevée,,+63%,+64%,+76%,+53%,-80%,-48%,-18%,-15%,-15%,27,+38%,E,+38%,77.0%,10.9%,4.6%,4.2%,2.0%,1.4%,56,,,,,,,,,,,,,,
1569,BBQ MARSHMALLOWS,8717677178254,['France'],[],[],?,334,1397 kj(334 kcal),0,0,71,71,"3,6","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
