,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,quantity,traceability_code,packaging,additives,palm_ingredients,allergens,nova_score,manufacturing,markets,ingredients_origins,link,generic_name,brand_owner
577,Jambon cuit à l'ancienne,2470526036087,['France'],[],[],?,123,515 kj(123 kcal),"3,1","1,4","0,5","0,5",23,2,"0,8",,E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', ""Jambons cuits à l'ancienne""]",3.1 g,en quantité modérée,1.4 g,en faible quantité,0.5 g,en faible quantité,2 g,en quantité élevée,,-19%,-19%,-50%,-42%,+1%,+3%,+3%,+3%,+3%,5,-49%,C,-49%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,,,,,,,,,,,,
578,Roasted onion BBQ sauce,5000157143006,['France'],[],[],?,160,669 kj(160 kcal),"0,2",0,37,32,"1,3","1,7","0,68",,B,"['Epicerie', 'Sauces', 'Sauces barbecue']",0.2 g,en faible quantité,0 g,en faible quantité,32 g,en quantité élevée,1.7 g,en quantité élevée,,+3%,+2%,-79%,-100%,+19%,+23%,+45%,-16%,-16%,15,+3%,D,+3%,42.3%,24.8%,16.7%,9.7%,5.1%,1.3%,92,,,,,,,,,,,,,,
579,Fumet de poisson - 90g,2306446446661,['France'],[],[],?,2,8 kj(2 kcal),2,2,0,0,63,10,4,,,"['Epicerie', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Bouillons', 'Bouillons déshydratés', 'Fumets de poisson']",,,,,,,,,,-99%,-99%,+18%,+543%,-100%,-100%,+651%,-25%,-25%,,,,,,,,,,,,,90 g,,,,,,,,,,,,
580,Taj Mahal,8901030624247,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581,Sirop d'Agave organique - 330g,88732572,['France'],[],[],?,306,1280 kj(306 kcal),0,0,"76,7",70,0,0,0,,,"['Édulcorants', 'Sirops', 'Sirops simples', ""Sirops d'agave""]",0 g,en faible quantité,0 g,en faible quantité,70 g,en quantité élevée,0 g,en faible quantité,,-1%,-2%,-100%,-100%,-0%,-4%,-100%,-100%,-100%,13,+1%,D,+1%,,,,,,,,,330 g,,,,,,,,,,,,
582,Tendresse de caramel,3760145826114,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
583,Marshmallow,5704383004475,['France'],[],[],?,330,1381 kj(330 kcal),0,0,76,48,"6,2","0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
584,Confiserie,2600280027421,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
585,Chocolat,2031714399997,['France'],[],[],?,528,2209 kj(528 kcal),30,18,59,59,5,"0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,,,,
586,Knack Cocktail - Saveurs des mauges,3340584106925,['France'],[],[],?,309,1293 kj(309 kcal),28,11,"0,5","0,5",13,"2,5",1,['Saveurs des mauges'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Viande-francaise', 'Viande-porcine-francaise']",,,,,,,,,,,,,
