,name,bar_code,quantity,brand,categories,markets,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,allergens,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,traceability_code,labels,ingredients_origins,manufacturing,link,palm_ingredients,brand_owner,origin_detail,producer_info
24,Wakamé - marinoë - 120g,3565840306127,120g,['marinoë'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits de la mer', 'Algues et dérivés', 'Algues wakame']",['Naturalia'],['France'],"['Algue marine* ', 'Undaria pinnatifida', 'sel de mer', "" *Issue de l'agriculture biologique""]",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,0.5 g,en faible quantité,0.1 g,en faible quantité,0.5 g,en faible quantité,1.8 g,en quantité élevée,77,,18,-86%,77 kj(18 kcal),-86%,"< 0,5",-82%,"< 0,1",-76%,"0,5",-90%,"< 0,5",-21%,"1,7",-79%,"1,8",-69%,"0,72",-69%,1,-86%,B,-86%,D,,53.3%,42.5%,1.8%,1.6%,0.8%,0.0%,25,Algues fraîches,['Plastique'],,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'FR-BIO-01']",,"['Bretagne', 'France']",,,,,
25,Agar-agar - Marinoe - 6x2g,3565840406636,6x2g,['Marinoe'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits de la mer', 'Algues et dérivés', ""Produits à base d'algues"", 'Agar-agar']",['Le Retour à la Terre'],['France'],"[""100% Agar-agar* extrait d'algues marines "", 'Gelidium', "" *Issu de l'agriculture biologique""]",,"['Végétalien', 'Végétarien']",,0.5 g,en faible quantité,0.1 g,en faible quantité,0.5 g,en faible quantité,2 g,en quantité élevée,757,,181,+51%,757 kj(181 kcal),+58%,"< 0,5",+255%,"< 0,1",+438%,"< 0,5",-97%,"< 0,5",-59%,"< 0,5",-51%,2,+578%,"0,8",+578%,5,+513%,C,+513%,C,,53.3%,42.5%,1.8%,1.6%,0.8%,0.0%,25,Gélifiant extrait d'algues marines,['Dosettes en papier'],,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'FR-BIO-01', 'Point Vert', 'AB Agriculture Biologique']",['France'],['France'],http://marinoe.fr,,,,
26,Gâteau gourmet aux amandes et chocolat - Biscuiterie de Provence - 225g,3571375922206,225 g,['Biscuiterie de Provence'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Produits sans gluten', 'Gâteaux au chocolat', 'Gâteaux aux amandes']",,['France'],"['Œufs*', 'amandes 30 %*,', 'sucre de canne roux*', 'beurre de baratte*', 'chocolat en poudre 13 %', 'poudre de vanille* de Madagascar', "" *Produits issus de l'Agriculture Biologique""]",,"['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,23 g,en quantité élevée,7.5 g,en quantité élevée,19 g,en quantité élevée,0.11 g,en faible quantité,1841,+2%,441,+1%,1841 kj(441 kcal),+1%,23,0%,"7,5",-7%,44,-6%,19,-35%,12,+47%,"0,11",-64%,"0,044",-64%,11,-39%,D,-39%,D,"['Œufs', 'Lait', 'Fruits à coque']",82.4%,11.4%,2.3%,2.6%,1.2%,0.0%,38,Gâteau bio aux amandes et au chocolat sans gluten.,"['Carton', 'Plastique', 'Etui en carton']",,"['Bio', 'Bio européen', 'en:gluten-free', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Point Vert', 'Fabriqué en France', 'AB Agriculture Biologique', 'Afdiag']",,['France'],,,,,
27,Céréales Croc cooki - Lucien Georgelin - 375g e,3572420000412,375 g e,['Lucien Georgelin'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Céréales au chocolat', 'Céréales au caramel']",,['France'],"['Céréales ', '74%', ' ', 'semoule de blé complet', 'semoule de maïs', 'sucre', 'caramel au beurre salé ', '9,5% * ', ' [sirop de glucose', 'sucre', 'beurre ', 'lait', ' ', '1%*', 'eau', 'crème ', 'lait', 'sel de Guérande ', '0,13%*', ' ]', 'sirop de glucose', 'cacao en poudre ', '1,4%*', ""émulsifiant : mono - et diglycérides d'acides gras "", 'colza', 'vitamines ', 'niacine ', 'B3 ou PP', 'E', 'acide pantothénique ', 'B5', 'B6', 'riboflavine ', 'B2', 'thiamine ', 'B1', 'acide folique ', 'B9', 'B12', ' et fer', '* % dans le produit fini']","[""E471 - Mono- et diglycérides d'acides gras alimentaires""]","['Sans huile de palme', 'Non végétalien']",4,3.5 g,en quantité modérée,1.9 g,en quantité modérée,30 g,en quantité élevée,0.41 g,en quantité modérée,?,,380,-7%,1590 kj(380 kcal),-6%,"3,5",-49%,"1,9",+1%,75,-0%,30,+8%,8,+5%,"0,41",-11%,"0,164",-11%,7,-22%,C,-22%,C,"['Gluten', 'Lait']",74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,"['Boite', 'Carton', 'Sachet', 'Plastique']",,"['Point Vert', 'Fabriqué en France', 'en:palm-oil-free', 'Blé français', 'Entrepreneurs + Engagés', 'Maïs du Sud-Ouest']","['Blé : France', 'Maïs : France']",,,,,,
28,4 feuilletés au saumon sauvage du Pacifique - Française de Gastronomie,3576280232730,,['Française de Gastronomie'],"['Plats préparés', 'Plats préparés au poisson', 'Feuilleté salé']",['Magasins U'],['France'],[],,[],,19 g,en quantité modérée,10 g,en quantité élevée,2.4 g,en faible quantité,0.94 g,en quantité modérée,?,,289,-1%,1209 kj(289 kcal),-1%,19,+7%,10,-3%,22,-9%,"2,4",+2%,"6,6",-17%,"0,94",-16%,"0,376",-16%,16,+1%,D,+1%,,,,,,,,,,,,,"['Pêche durable', 'Pêche durable MSC']",,,,,,,
29,Tofu Nature - Sojabio - 200g (2 * 100g),3576566901107,200 g (2 * 100 g),['Sojabio'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Substituts de viande', 'Tofu']",,['France'],"['Eau filtrée', 'graines de soia* dépelliculées ', '22%', 'ferments sélectionnés', "" *issu de l'agriculture biologique Fabriqué dans un atelier qui utilise : moutarde"", 'amande', 'noisette', 'noix']",,"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",3,12 g,en quantité modérée,1.8 g,en quantité modérée,0 g,en faible quantité,0 g,en faible quantité,?,,195,+32%,816 kj(195 kcal),+31%,12,+37%,"1,8",+26%,0,-100%,0,-100%,21,+51%,0,-100%,0,-100%,-2,,A,,B,,15.9%,34.2%,17.4%,15.8%,9.7%,7.0%,97,,,"['EMB 47091K', 'Estillac (Lot-et-Garonne, France)']","['Bio', 'Bio européen', 'Agriculture UE', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,
30,Mandorlini - AGIDRA - (SANS MARQUE) - 200g,3580280745725,200 g,['AGIDRA - (SANS MARQUE)'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",['Grand Frais'],['France'],"['Sucre', 'amande 25%', ""amandon d'abricot"", ""albumen d'œuf"", 'miel', 'fécule de pomme de terre', 'poudres à lever : E450 - E500  - E34l - amidon de maïs', 'sucre glace ', 'sucre', 'amidon de maïs']","['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium']",['Non végétalien'],4,20.3 g,en quantité élevée,1.4 g,en faible quantité,55 g,en quantité élevée,0.225 g,en faible quantité,1903,-5%,455,-4%,1903 kj(455 kcal),-4%,"20,3",-2%,"1,4",-86%,"55,9",-13%,55,+86%,"10,3",+58%,"0,225",-62%,"0,09",-62%,16,-19%,D,-19%,C,"['Œufs', 'Fruits à coque']",80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,Biscuits aux amandes,"['Barquette plastique', 'Barquette', 'Plastique']",,['Fabriqué en Italie'],,['Italie'],,,,,
31,Tapenadine Olivade verte - LES SAVEURS DE SAVINO - 180g,3580281780039,180 g,['LES SAVEURS DE SAVINO'],"['Produits à tartiner', 'Produits à tartiner salés', 'Tapenades', 'Tapenades vertes']",,['France'],"['Olives vertes 84% ', 'origine Maroc', ""huile d'olive"", 'huile de colza', 'câpres 2%', 'sel', 'arôme naturel']",,"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,21 g,en quantité élevée,2.3 g,en quantité modérée,0.5 g,en faible quantité,3.1 g,en quantité élevée,?,,203,-8%,849 kj(203 kcal),-8%,21,-3%,"2,3",-29%,"0,9",-59%,"0,5",+30%,"1,5",-8%,"3,1",+8%,"1,24",+8%,14,+3%,D,+3%,B,,58.6%,12.7%,16.0%,8.1%,2.7%,1.9%,71,,"['Bocal', 'Verre', 'Couvercle', 'Métal']",,['Fabriqué en France'],['Maroc'],['France'],,,,,
32,Legumes pour couscous - Gustadéa - 660g,3580282213116,660 g,['Gustadéa'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de plantes en conserve', 'Légumes pour couscous']",['Grand Frais'],['France'],"['légumes 65% ', 'navets', 'carottes', 'courgetes,pois chiche', 'poivrons rouges et verts arniture de céleri', 'eau', 'sel', 'purée de tomat double concentre', 'amidon modifie de manioc', 'arôme naturel ', 'contient du celeri', 'colorant: extrait de paprika']","['E14XX - Amidons modifiés', 'E160c - Extrait de paprika']",[],4,0.5 g,en faible quantité,0 g,en faible quantité,1.7 g,en faible quantité,0.44 g,en quantité modérée,?,,27,-50%,113 kj(27 kcal),-49%,"0,5",-10%,0,-100%,"3,5",-52%,"1,7",-47%,"1,2",-47%,"0,44",-34%,"0,176",-34%,-1,,A,,,['Céleri'],,,,,,,,,"['Bocal', 'Bouteille verre']",,,['France'],['France'],,,,,
33,Feuilles de Riz - Chao An - 400g,3580282816348,400 g,['Chao An'],['Feuilles de riz'],,['France'],"['farine de tapioca 74,5%', 'farine de riz 15%', 'eau', 'sel']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,1 g,en faible quantité,0.2 g,en faible quantité,0 g,en faible quantité,0.29 g,en faible quantité,1162,,274,,1162 kj(274 kcal),,1,,"0,2",,"56,7",,0,,"8,6",,"0,29",,"0,116",,-1,,A,,,,,,,,,,,Feuilles de riz à base de farine de tapioca et de farine de riz,"['Sachet', 'Plastique']",,,,['Vietnam'],,,,,
34,Jus De Pomme Framboise - Agidra - 1L,3580283510207,1 L,['Agidra'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits pur jus']",,['France'],"['Jus de pomme 92%', 'jus de framboise 8%']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0 g,en faible quantité,0 g,en faible quantité,10 g,en quantité élevée,0 g,en faible quantité,?,,43,-7%,180 kj(43 kcal),-7%,0,-100%,0,-100%,10,-7%,10,0%,0,-100%,0,-100%,0,-100%,3,-24%,C,-24%,C,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,"['Verre', 'Bouteille']",,"['Fabriqué en France', 'Pur jus']",,['France'],,,,,
35,Boisson gazeuse bio goût fraise,3580283530045,,,,,['France'],[],,[],,,,,,,,,,?,,30,,126 kj(30 kcal),,0,,0,,"7,4",,"7,4",,0,,"0,01",,"0,004",,,,,,,,,,,,,,,,,,"['Bio', 'Fabriqué en France']",,,,,,,
36,"Moricettes, x5 - Poulaillon",3581082102501,,['Poulaillon'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains spéciaux', 'Pains Bretzels']",,['France'],"['Farine de BLÉ', 'eau', 'huile de colza', 'levure', 'sel', ""correcteur d'acidité : hydroxyde de sodium"", 'GLUTEN de BLÉ', 'farine de BLÉ malté', 'sucre', 'conservateur : propionate de calcium', 'agents de fermentation désactivés']","['E524 - Hydroxyde de sodium', 'E282 - Propionate de calcium']",[],4,6.5 g,en quantité modérée,0.52 g,en faible quantité,4.7 g,en faible quantité,1.1 g,en quantité modérée,?,,289,-9%,1209 kj(289 kcal),-10%,"6,5",-5%,"0,52",-46%,"47,5",-11%,"4,7",+25%,"8,5",-2%,"1,1",-39%,"0,44",-39%,3,-66%,C,-66%,,['Gluten'],,,,,,,,,['Plastique'],,,,,,,,,
37,Pains burgers Gourmet - La Fournée Dorée - 300g,3587220002597,300 g,['La Fournée Dorée'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains spéciaux', 'Pains Burger']",,['France'],"['Farine de BLÉ française 55%', 'eau', 'sucre', 'huile de colza', 'graines de SÉSAME', 'ŒUFS entiers frais 1,5%', 'poudre de LAIT entier', 'GLUTEN de BLÉ', 'levure', 'sel', 'émulsifiant\xa0', 'E471', 'arôme naturel ', 'contient alcool', 'protéines de LAIT', 'farine de SEIGLE maltée,\xa0levure désactivée']","[""E471 - Mono- et diglycérides d'acides gras alimentaires""]","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,9.1 g,en quantité modérée,1.9 g,en quantité modérée,12 g,en quantité modérée,1.23 g,en quantité modérée,1357,+12%,322,+11%,1357 kj(322 kcal),+12%,"9,1",+57%,"1,9",+83%,50,+3%,12,+94%,"8,9",-1%,"1,23",+8%,"0,492",+8%,12,+436%,D,+436%,B,"['Œufs', 'Gluten', 'Lait', 'Graines de sésame']",72.6%,15.0%,7.8%,4.1%,0.5%,0.0%,81,,"['film en plastique', 'Plastique', 'Film en plastique']",,,,,https://www.lafourneedoree.fr/produit/4-pains-burgers/,,,,
38,Yaourts Brassés 0% - Auchan - 1kg (8 * 125g),3596710017027,1 kg (8 * 125 g),['Auchan'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts nature', 'Yaourts brassés', 'Yaourts brassés nature']",['Auchan'],['France'],[],,[],,0.1 g,en faible quantité,0.1 g,en faible quantité,3.6 g,en faible quantité,0.1 g,en faible quantité,?,,34,-58%,142 kj(34 kcal),-57%,"0,1",-98%,"0,1",-97%,"3,6",-24%,"3,6",-18%,"4,6",+15%,"0,1",-17%,"0,04",-17%,-2,-240%,A,-240%,B,,70.1%,13.1%,6.5%,5.7%,3.7%,1.0%,85,,['Pot'],,,,,,,,,
39,Boudin noir aux pommes 2x125 g - Auchan - 250g,3596710170463,250 g,['Auchan'],"['Viandes', 'Charcuteries', 'Poissons et viandes et oeufs', 'Abats', 'Boudins', 'Produits tripiers', 'Boudins noirs', 'Boudins noirs aux pommes', 'Boudin noir rayon frais']",['Auchan'],['France'],"['Sang de porc', 'gras de porc', 'oignons', 'pommes 5%', 'eau', 'caramel ', 'sucre', 'eau', 'couenne de porc', 'sirop de sucre inverti', 'sel', 'alcoolat de pomme', 'sucre', 'jus concentré de pomme', 'épices', 'plantes aromatiques', 'boyau naturel de porc', ' Traces éventuelle de gluten', 'lait', 'œufs', 'moutarde', 'fruits à çoque', 'mollusques', ' Élaboré à partir de viande de porc origine France et de pommes ne provenant pas de France']",,"[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",4,20 g,en quantité modérée,7.7 g,en quantité élevée,6.4 g,en quantité modérée,1.5 g,en quantité modérée,1051,+10%,253,+7%,1051 kj(253 kcal),+7%,20,+8%,"7,7",+8%,"6,4",+25%,"6,4",+55%,11,+4%,"1,5",+27%,"0,6",+27%,16,+18%,D,+18%,C,,87.1%,4.2%,2.1%,1.8%,1.0%,3.9%,35,,"['plastique carton', 'Etui en carton']","['FR 72.331.001 CE', 'Sceaux-sur-Huisne (Sarthe, France)', 'EMB 72331A', 'Sceaux-sur-Huisne (Sarthe, France)']","['Produit en braille', 'Nutriscore', 'Nutriscore D']",['France'],['France'],http://www.auchan.fr,,,,
40,Velouté de Potiron 2x30cl - Auchan - 60cl (2 * 30cl e),3596710207787,60 cl (2 * 30 cl e),['Auchan'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Veloutés', 'Soupes de légumes', 'Veloutés de légumes', 'Veloutés de potiron']",['Auchan'],['France'],"['Eau', 'légumes 42,2% ', 'potiron 25%', 'carotte 14%', 'purée de tomates reconstituée 1,9%', 'oignon 1,3%', 'crème fraîche ', 'lait', ' 1,9%', 'amidon transformé de mais', 'sel', 'sirop de glucose', 'Sucre', 'arôme naturel']",['E14XX - Amidons modifiés'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,0.8 g,en faible quantité,0.5 g,en faible quantité,2.6 g,en faible quantité,0.68 g,en quantité modérée,?,,31,-14%,130 kj(31 kcal),-13%,"0,8",-45%,"0,5",-42%,"4,6",+1%,"2,6",+23%,"0,7",+1%,"0,68",+8%,"0,272",+8%,1,-47%,B,-47%,A,['Lait'],25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,Velouté de potiron,"['Brique', 'Carton']","['EMB 84092D', 'Pontet (Vaucluse, France)']","['Point Vert', 'Produit en braille', 'Fabriqué en France']",,['France'],,,,,
41,Compotes - Auchan,3596710212408,,['Auchan'],,['Auchan'],['France'],[],,[],,,,,,,,,,?,,66,,276 kj(66 kcal),,"0,2",,"0,09",,14,,14,,"0,3",,0,,0,,,,,,,,,,,,,,,,['Pots'],,,,,,,,,
42,Levure chimique - Auchan - 66g,3596710217205,66 g,['Auchan'],"['Additifs alimentaires', 'Levures de boulanger', 'Levure chimique']",['Auchan'],['France'],"['diphosphate disodique', 'carbonate acide de sodium', 'amidon de blé ', 'contient gluten']","['E450i - Pyrophosphate de sodium acide', 'E500ii - Carbonate acide de sodium']","['Sans huile de palme', 'Végétalien', 'Végétarien']",4,13.5 g,en quantité modérée,1 g,en faible quantité,1 g,en faible quantité,0 g,en faible quantité,?,,287,+196%,1201 kj(287 kcal),+194%,"13,5",+1540%,1,+817%,15,-5%,1,-4%,48,+1828%,0,-100%,0,-100%,,,,,C,['Gluten'],35.2%,53.8%,4.4%,2.6%,3.9%,0.0%,59,,['Sachet'],,,,,,,,,
43,Auchan Sauce Béarnaise,3596710241910,,['Auchan'],"['Epicerie', 'Sauces', 'Sauces béarnaises']",['Auchan'],['France'],[],,[],,59 g,en quantité élevée,4.7 g,en quantité modérée,3.6 g,en faible quantité,2 g,en quantité élevée,?,,554,+26%,2318 kj(554 kcal),+29%,59,+34%,"4,7",-17%,"5,1",+6%,"3,6",+51%,"0,6",-49%,2,+23%,"0,8",+23%,18,+10%,D,+10%,D,,82.5%,9.1%,4.3%,2.2%,1.2%,0.8%,39,,['Bocal'],,,,,,,,,
44,Liégeois au Café (4 pots) - Auchan - 400g (4x 100g),3596710258345,400 g (4 x 100 g),"['Auchan', ""L'oiseau"", 'Auchan Production', 'Groupe Auchan']","['Produits laitiers', 'Desserts', 'Frais', 'Desserts lactés', 'Desserts au café', 'Liégeois', 'Desserts lactés au café', 'Liegeois-au-cafe']","['Banque alimentaire', 'Auchan']",['France'],"['Lait écrémé 61%', 'crème ', 'lait', ' 22%', 'sucre 11,5%', 'amidon modifié de maïs', 'protéines de lait', ' épaississants : carraghénanes', 'gomme guar ', ' café soluble 0,9%', 'gélatine bovine', 'colorant : caramel ordinaire', 'arôme', ""émulsifiant: esters lactiques des mono - et diglycérides d'acides gras"", 'arôme naturel de vanille', 'lactose ', 'lait', ' et minéraux du lait', ' Élaboré à partir de lait origine France']","['E14XX - Amidons modifiés', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E412 - Gomme de guar', 'E428 - Gélatine', 'E150a - Caramel E150a', ""E472b - Ester diacétyl-lactique de mono- et diglycérides d'acides gras""]","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",4,6.9 g,en quantité modérée,4.5 g,en quantité modérée,15 g,en quantité élevée,0.11 g,en faible quantité,600,-1%,154,-3%,600 kj(154 kcal),-7%,"6,9",-3%,"4,5",-6%,17,-8%,15,-8%,"2,9",+7%,"0,11",-21%,"0,044",-21%,7,-11%,C,-11%,B,['Lait'],72.9%,16.3%,3.6%,4.6%,2.0%,0.5%,58,Dessert lacté au café,"['Frais', 'Pot et opercule plastique à jeter', 'Plastique 05 (PP)', 'Etui carton à recycler']","['FR 62.853.030 CE', 'Vieil-Moutier (Pas-de-Calais, France)', 'EMB 62853', 'Vieil-Moutier (Pas-de-Calais, France)']","['Lait Français', 'Produit en braille', 'Nutriscore', 'Nutriscore C', 'Triman', 'Info-tri-point-vert']","['France', 'Lait']","['Novandie (Filiale Groupe Andros) - 11 Rue du Centre - 62240 Vieil-Moutier', 'Pas-de-Calais', 'Nord-Pas-de-Calais', 'France']",,,,,
45,"Poisson sauce Beurre citron, Surgelé - Auchan - 400g (2portions)",3596710275380,400 g (2 portions),"['Auchan', ""L'oiseau"", 'Auchan Production', 'Groupe Auchan']","['Surgelés', 'Plats préparés', 'Plats préparés au poisson', 'Plats préparés surgelés', 'Plats préparés à réchauffer au micro-ondes', ""Colins d'Alaska sauce beurre citron"", 'Colins préparés', 'Poissons préparés']",['Auchan'],['France'],"[""Colin d 'Alaska 50 % "", 'Theragra chalcogramma', 'eau', 'crème fraîche', 'échalote', 'beurre 2,9 %', 'amidons transformés de maïs', 'concentré de citron 0,6 %', 'fumet de poisson aromatisé ', 'maltodextrine de pomme de terre et/ou blé et/ou maïs', 'sel', 'farine de blé', 'poisson', 'sucre', 'légumes ', 'oignon', 'poireau', 'céleri', 'crème', 'extrait de levure', ""huile d'olive vierge extra"", 'arôme', 'lactose', 'crevette', 'épices et aromates', 'extrait de vin blanc', 'zeste de citron 0,4 %', 'arômes', 'vin blanc concentré', 'sucre', 'sel', 'thym', ""mélange d'épices "", 'épices', 'colorants : curcumine', 'extrait de paprika', 'carmin de cochenille', 'fécule de pomme de terre', 'maltodextrine de blé']","['E14XX - Amidons modifiés', 'E100 - Curcumine', 'E160c - Extrait de paprika', 'E120 - Acide carminique']","['Non végétalien', 'Non végétarien']",4,4.9 g,en quantité modérée,2.3 g,en quantité modérée,1.3 g,en faible quantité,0.64 g,en quantité modérée,?,,93,+1%,389 kj(93 kcal),+8%,"4,9",+30%,"2,3",+29%,"3,2",+7%,"1,3",+20%,"8,8",-6%,"0,64",-8%,"0,256",-8%,0,,B,,,"['Céleri', 'Crustacés', 'Poisson', 'Gluten', 'Lait']",,,,,,,,Colin d'Alaska accompagné d'une sauce beurre citron,"['Surgelé', 'Boîte', 'Carton']","['FR 29.188.020 CE', 'Plougasnou (Finistère, France)', 'MSC-C-50624', 'EMB 29188A', 'Plougasnou (Finistère, France)']","['Produit en braille', 'Sans colorants', 'Sans conservateurs', 'Nutriscore', 'Nutriscore B', 'Pêche durable', 'Pêche durable MSC', '100% filet', 'Qualité sans arête']","[""Colin d'Alaska (Theragra chalcogramma)""]","['Primel Gastronomie [Filiale Groupe Sill (Société Industrielle Laitière du Léon)] - 235 Route de Kerastren - Lieu dit Kerfeunteun - 29630 Plougasnou', 'Finistère', 'Bretagne', 'France']",,,,,
