,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,brand,labels,traceability_code,markets,allergens,nova_score,additives,eco_score,packaging,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins,manufacturing,generic_name,link,palm_ingredients,origin_detail,producer_info
39,Complexe vitaminé,3770013219368,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,rillettes de sardine - Odyssée,3250392925895,['France'],[],[],?,221,925 kj(221 kcal),"17,4","1,9","3,9",2,"11,2","0,99","0,396",,"['Produits de la mer', 'Produits à tartiner', 'Poissons', 'Produits à tartiner salés', 'Rillettes', 'Préparations de poisson', 'Rillettes de poissons', 'Rillettes de sardine']",17.4 g,en quantité modérée,1.9 g,en quantité modérée,2 g,en faible quantité,0.99 g,en quantité modérée,,-3%,-3%,-3%,-74%,+83%,+80%,-19%,-5%,-5%,0,-100%,B,-100%,"['Odyssée', 'Intermarché']","['Nutriscore', 'Nutriscore B']",,,,,,D,,74.4%,12.5%,3.8%,7.2%,1.7%,0.5%,51,,,,,,,
41,Œufs - Auchan,3596710479214,['France'],[],[],?,140,586 kj(140 kcal),"9,8","2,6","0,5","0,5",13,"0,31","0,124",,,,,,,,,,,,,,,,,,,,,,,,,['Auchan'],,,['Auchan'],,,,,,,,,,,,,,,,,,,
42,Riz Jasmin Thaï Bio,8858306006293,['France'],[],[],?,347,1452 kj(347 kcal),"1,3","0,9","76,5",0,"7,3",0,0,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz parfumés', 'Riz de variété indica', 'Riz long grain', 'Riz thaï']",1.3 g,en faible quantité,0.9 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,-1%,-1%,+24%,+250%,+1%,-100%,-1%,-100%,-100%,0,,B,,,"['Bio', 'Bio européen', 'en:USDA Organic', 'en:TH-BIO-132']",,,,,,B,,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,,,,,,,
43,Mélange pour frites buffalo Mix - Ducros,3166296300143,['France'],[],[],?,310,1297 kj(310 kcal),"4,9","0,8",50,20,"8,7","11,2","4,48",,,,,,,,,,,,,,,,,,,,,,,,,['Ducros'],,,,,,,,['Bouchon en plastique'],,,,,,,,,,,,,,
44,Miel de fleur,3520059919469,['France'],[],[],?,?,,?,,?,,?,,,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,
45,Pâte à tartiner chocolat feuilleté - 200g,3760123456777,['France'],[],[],?,566,2368 kj(566 kcal),33,"5,7",50,50,"6,76","0,13","0,052",200 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Froment empesé - Foo Lung Ching Kee - 450g,4895072413782,['France'],['Froment 100%'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1491,356,1491 kj(356 kcal),"0,7","0,2",86,"0,2","0,2","0,012","0,005",450 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Amidons', 'Amidons de céréales', 'Amidon de blé']",0.7 g,en faible quantité,0.2 g,en faible quantité,0.2 g,en faible quantité,0.0125 g,en faible quantité,+0%,+0%,+0%,+91%,+223%,-1%,+3%,-45%,-70%,-70%,4,+4%,C,+4%,['Foo Lung Ching Kee'],,,,"['Gluten', 'Dioxyde de soufre']",1,,,"['Sachet', 'Plastique']",,,,,,,,,['Hong-Kong'],Amidon de blé,,,,
47,Krem şanti,8690629229634,['France'],[],[],?,180,753 kj(180 kcal),"10,5","8,45","18,5","17,04",3,"0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Sauce vinaigrette à la cardamome,3760274290077,['France'],[],[],?,540,2259 kj(540 kcal),57,"6,5","5,8","0,7","0,8","2,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
