,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,labels,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,quantity,markets,packaging,traceability_code,ingredients_origins,generic_name,manufacturing,additives,allergens,nova_score,origin_detail,link,brand_owner
402,Foie frais,2870973177577,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,Roti cuit - 166g,2425781026700,['France'],[],[],?,127,531 kj(127 kcal),"4,3","1,7","0,9","0,9","21,2",,"2,38","0,952",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166 g,,,,,,,,,,,,
404,Feijao branco cozido,5605458120000,['France'],[],[],?,104,435 kj(104 kcal),"0,8","0,3",15,"0,2","6,6",,"0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,flan hyperproteiné - Milical,3175681805309,['France'],[],[],?,338,1414 kj(338 kcal),5,"0,6",34,"27,6","36,8",,"0,63","0,252",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Milical'],,,,,,,,,,,,,
406,Pepticate Syneo - Nutricia,8718117609444,['France'],[],[],?,285,1192 kj(285 kcal),"3,2","1,5","7,8","3,6","1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Nutricia'],,,,,,,,,,,,,
407,Saucisson,2270206038963,['France'],[],[],?,355,1485 kj(355 kcal),25,"8,6","2,6","1,4",30,,"5,6","2,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,Backfee,4316268352130,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Backfee'],,,,,,,,,,,,,
409,Pavé aux céréales,0271054005840,['France'],[],[],?,280,1172 kj(280 kcal),4,"0,9",50,"3,3","8,6",,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,Tuilettes de Nemours,3386941206198,['France'],[],[],?,584,2443 kj(584 kcal),40,20,"49,1",38,"8,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,Pennoni Rigati n 39 - De Cecco,8001250006165,['France'],[],[],?,345,1443 kj(345 kcal),"2,8","0,6",61,"2,4",15,['Fabriqué en Italie'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['De Cecco'],,,,,,,,,,,,,
