,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,labels,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,quantity,markets,packaging,traceability_code,ingredients_origins,generic_name,manufacturing,additives,allergens,nova_score,origin_detail,link,brand_owner
1471,Sprits pur beurre 2*9,8480017036186,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1472,Thé Militant - Les Jardins de Gaïa,3582810362129,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,2",0,"0,1","['Bio', 'Bio européen', 'Bio-dynamie', 'Demeter']",0,0,B,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés verts', 'Thés aromatisés', 'Thés verts aromatisés']",,,,,,,,,,-50%,-60%,-100%,-100%,-35%,-100%,-66%,,,1,,B,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,['Les Jardins de Gaïa'],,,,,,,,,,,,,
1473,Mini Duo creme patissiere - E.Leclerc,3478920000764,['France'],[],[],?,?,,1,,?,,?,['Point Vert'],0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['E.Leclerc'],,,,,,,,,,,,,
1474,La rosée d'eté à vis,3454781508403,['France'],[],[],?,0,0 kj(0 kcal),?,0,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1475,Quesada pasiega,8411992000169,['France'],[],[],?,283,1184 kj(283 kcal),"9,7","6,7","41,4","3,2","5,9",,"0,89","0,356",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1476,CHIPIRONES EN SU TINTA -,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1477,Tomate cherry rama tarrina,8423223210421,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1478,Chocolat Au Lait 37% - Napolitain Lait Entier,3595180302053,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1479,Coupe faim,3578835502572,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1480,Kirkland Omega 3 Fish Oil 1000 MG 400 Softgels,0096619850600,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Kirkland'],,,,,,,,,,,,,
1481,75cl,3438910875765,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75 cl,,,,,,,,,,,,
1482,Paves boeuf - Charal,0292473052741,['France'],[],[],?,113,473 kj(113 kcal),"2,3","0,8",0,0,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Charal'],,,,,,,,,,,,,
1483,Les fritons de canard,3760082247003,['France'],[],[],?,321,1343 kj(321 kcal),29,"9,2",0,0,16,,"1,6","0,64",,"['Friton de canard', 'Fritons de canard']",29 g,en quantité élevée,9.2 g,en quantité élevée,0 g,en faible quantité,1.6 g,en quantité élevée,,,,,,,,,,,20,,E,,,,,,,,,,,,,,,,,,,,,,
1484,"Maped Gomme En Plastique Pyramide, Présentoir De 24",3154141195112,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1485,Salt Terre Exotique Black Hawaii,3760063321906,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1486,Raisins Médium Corinthe,3502490020584,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1487,Roti de magrets de canards au piment d'espelette,0200503128571,['France'],[],[],?,?,,?,,?,,?,,,,E,"['Viandes', 'Volailles', 'Canards', 'Magrets de canard']",,,,,,,,,,,,,,,,,,,,,,,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,,,,,,,,,,,,,,
1488,"Nappage Caramel Au Rhum, Flacon De 210 Grammes, Marque Vahiné",3179142073207,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1489,0029000021594,0029000021594,['France'],"['Farine de maïs jaune dégermé', 'huile de soja et/ou maïs et/ou colza', 'mélange de fromage séché ', 'protéines du lait', 'fromage semi-tendre ', 'lait pasteurisé', 'cultures', 'sel', 'enzymes', 'huile de tournesol', 'lactose', 'amidon alimentaire modifié', 'maltodextrine', 'protéines de blé']",['Non végétalien'],500,?,500 kj(120 kcal),"21,4","3,57","64,3","3,57","7,14",,"1,34","0,536",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Lait'],4,,,
1490,Dark Chocolate & Nordic Berry,5900130030913,['France'],[],[],?,356,1490 kj(356 kcal),23,14,33,27,"3,8",,"0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491,Sel Fin Camargue Romarin Citron Boite Metal,3554745017009,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1492,Libido Women,3700225620607,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1493,Eric Favre Energy Sticks Endurance,3525722012751,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1494,Canela rama,8433329069113,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1495,Milk Chocolate Buttons,5051790885631,['France'],[],[],?,536,2243 kj(536 kcal),"29,3","17,9",60,60,"7,6",,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1496,Confiture de cerises noires,3760025641172,['France'],[],[],?,239,1000 kj(239 kcal),"0,5","0,5",58,57,1,,"0,5","0,2",D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de cerises']",0.5 g,en faible quantité,0.5 g,en faible quantité,57 g,en quantité élevée,0.5 g,en quantité modérée,,+8%,+8%,+105%,+1011%,+7%,+10%,+56%,+1794%,+1794%,13,+32%,D,+32%,73.9%,8.9%,10.5%,4.6%,1.7%,0.4%,50,,,,,,,,,,,,,,
1497,tetine biberons bébé,3574660428773,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1498,Laurel hojas,3166291360630,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1499,Magret de canard,2685323037858,['France'],[],[],?,?,,?,,?,,?,,,,E,"['Viandes', 'Volailles', 'Canards', 'Magrets de canard']",,,,,,,,,,,,,,,,,,,,,,,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,,,,,,,,,,,,,,
1500,Salsa hn queso cabrales sin gluten,8436543243475,['France'],[],[],?,461,1929 kj(461 kcal),"47,25","3,73","5,79","2,14","3,22",,"2,4","0,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1501,Powersante Myrtille,3535411222118,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1502,Langnese Pure Bee Honey,4023300850102,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1503,Fenugrec Graines,3417960005797,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,2",0,"0,1",,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1504,Mr Proper Badkamer Spray 500ML,4084500847002,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1505,Moringa Pomegranate Infusion - 18 Tea Bags By Grenera Nutrients,0859803002090,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,2",0,"0,1",,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1506,2 tournedos dans le filet - Charal,0292451071634,['France'],[],[],?,206,862 kj(206 kcal),14,"4,8",0,0,20,"['Nutriscore', 'Nutriscore B']","0,16","0,064",,"['Viandes', 'Bœuf', 'Tournedos de boeuf']",14 g,en quantité modérée,4.8 g,en quantité modérée,0 g,en faible quantité,0.16 g,en faible quantité,,+15%,+15%,+44%,+21%,-100%,-100%,-0%,-86%,-86%,1,-81%,B,-81%,,,,,,,,['Charal'],,,,,,,,,,,,,
1507,Cerises rouges Burlat,3000048033449,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1508,Sal baja sodio,8410798000397,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1509,Bimi bandeja 200 g,8437010437120,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1510,Magic Remover ALIVER Professional,5307372069358,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1511,Herdade Do Esporao Olive Oil Extra Virgin,5601989003218,['France'],[],[],?,?,,?,,?,,?,,,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,,,,,,,,,,,,,,,,,,,,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,,,
1512,Balsamic Vinegar of Modena Igp Oro,8053259245106,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1513,Rillettes d'oie bio - Fermiers du Bord de Sèvre - 180g,3760056080308,['France'],"[""viande d'oie bio et graisse d'oie bio"", 'sel de Guérande', 'poivre bio', 'épice bio']",[],?,?,,?,,?,,?,['Bio'],,,D,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande blanche', 'Rillettes de volaille', ""Rillettes d'oie"", ""Rilettes d'oie""]",,,,,,,,,,,,,,,,,,,,,,,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,['Fermiers du Bord de Sèvre'],180 g,,"['Verre', 'Bocal']","['FR 79.147.001 CE', 'Largeasse (Deux-Sèvres, France)']",,,,,,3,,,
1514,Rillettes de canard bio - Fermiers du Bord de Sèvre - 180g,3760056080544,['France'],"['viande de canard bio et graisse de canard bio', 'bouillon de canard bio', 'sel de Guérande', 'poivre bio', 'épice bio']",[],?,?,,?,,?,,?,['Bio'],,,D,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande blanche', 'Rillettes de volaille', 'Rillettes de canard']",,,,,,,,,,,,,,,,,,,,,,,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,['Fermiers du Bord de Sèvre'],180 g,,"['Verre', 'Bocal']","['FR 79.147.001 CE', 'Largeasse (Deux-Sèvres, France)']",,,,,,3,,,
1515,"""50CL Eau De Vie De Kirsch Cigogne 40 °""",3123023721404,['France'],[],[],?,0,0 kj(0 kcal),?,0,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1516,Saucisse de Boeuf Pays - 500g,,"['France', 'La Réunion']","['Viande de boeuf', 'oignon vert', 'eau', 'sel', 'dextrose', 'arômes naturels', 'épices', 'betterave', 'maltodextrine', 'huile végétale', 'boyau de boeuf']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",694,166,694 kj(166 kcal),10,"5,9","1,2","0,6",17,,"2,4","0,96",,['Saucisse de boeuf'],10 g,en quantité modérée,5.9 g,en quantité élevée,0.6 g,en faible quantité,2.4 g,en quantité élevée,,,,,,,,,,,17,,D,,,,,,,,,['Bœuf Pays'],500g,,,,,Saucisse de boeuf,['Réunion'],,,4,,,
1517,Saucisse créole Porki - 500g,,['France'],"['Viande de porc', 'eau', 'sel', 'dextrose', 'arômes naturels', 'ail', 'plante aromatique', 'épice', 'betterave', 'concentré de jus de fruit', 'boyau de porc']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",902,217,902 kj(217 kcal),17,"7,1","0,5","0,5",16,,"1,7","0,68",E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses de porc']",17 g,en quantité modérée,7.1 g,en quantité élevée,0.5 g,en faible quantité,1.7 g,en quantité élevée,-9%,-14%,-15%,-15%,-11%,-57%,-34%,+10%,-1%,-1%,16,-6%,D,-6%,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,['Porki'],500g,,,,,Saucisse créole,['Réunion'],,,4,,,
1518,Saucisse de Toulouse Porki - 500g,,"['France', 'La Réunion']","['Viande de porc', 'eau', 'sel', 'dextrose', 'arômes naturels', 'plante aromatique', 'ail', 'épice', 'betterave', 'concentré de jus de fruit', 'maltodextrine', ""extrait d'épices"", 'boyau de mouton']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",1322,320,1322 kj(320 kcal),30,13,"0,5","0,5",13,,"2,2","0,88",E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses de porc']",30 g,en quantité élevée,13 g,en quantité élevée,0.5 g,en faible quantité,2.2 g,en quantité élevée,+34%,+26%,+25%,+50%,+63%,-57%,-34%,-11%,+28%,+28%,22,+29%,E,+29%,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,['Porki'],500g,,,,,Saucisse de Toulouse,,,,4,,,
1519,Pain,0260049011157,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1520,Chipolatas sarcives Porcidou - 330g,,['France'],"['Viande de porc', 'miel', 'liqueur anisette ', '2,6%', 'sel', 'épices', 'ail', 'arômes naturels', 'dextrose', 'rouge de betterave', 'eau', 'soja*', 'farine de blé*', 'sucre', 'plantes arômatiques', 'boyau de mouton']","['Non végétalien', 'Non végétarien']",737,176,737 kj(176 kcal),10,"4,5",3,"1,5",18,,"1,6","0,64",E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas']",10 g,en quantité modérée,4.5 g,en quantité modérée,1.5 g,en faible quantité,1.6 g,en quantité élevée,-28%,-26%,-26%,-47%,-38%,+156%,+137%,+17%,-11%,-11%,13,-22%,D,-22%,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,['Porcidou'],330g,,,,,Chipolatas sarcives,['Réunion'],['E162 - Rouge de betterave'],"['Gluten', 'Soja']",4,,,
1521,Curry épicé Pã¢te Rajah,5015821147747,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1522,Gorgonzola,2481055033584,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1523,Huile vierge de Coco,3760091346469,['France'],[],[],?,862,3607 kj(862 kcal),100,87,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1524,Corazones D.O. - La Tudelana,8436012963552,['France'],[],[],?,35,146 kj(35 kcal),"0,5","0,1","5,4",0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['La Tudelana'],,,,,,,,,,,,,
1525,Cookies au chocolat - Auchan - 4,0203055433124,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Auchan'],4,['Auchan'],['sous vide'],,,,,,,,,,
1526,Maximo Kaffeepads Megabeutel Strong,5400337004866,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,3",0,"0,2",,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1527,Chorizo Stuffed Green Olives,8410134021512,['France'],[],[],?,203,849 kj(203 kcal),"21,3","3,8",0,0,"1,3",,"3,5","1,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1528,HERBES DE PROVENCE RUSTICA FLACON 20G,3564700371206,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Rustica'],,,,,,,,,,,,,
1529,Cocktail Jus de tomate Boody Mary,3287121175801,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1530,Whisky du jura,3570590109713,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,C,"['Boissons', 'Boissons alcoolisées', 'Alcools forts', 'Eaux-de-vie', 'Whiskys']",,,,,,,,,,-100%,-100%,,,,,,,,,,,,0.0%,41.3%,42.0%,11.2%,3.5%,2.0%,57,,,,,,,,,,,,,,
1531,Armagnac Vsop,3107192073298,['France'],[],[],?,0,0 kj(0 kcal),?,0,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1532,Takumi-aji Fry Sauce 500 ML.,8850250004011,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1533,Apta Spray Javel&mousse,3250391225705,['France'],[],[],?,0,0 kj(0 kcal),?,0,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1534,Gomme à La Menthe En Bouteille 60 Morceaux,0064900425059,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1535,Tarani Malbec 2015,3242160100603,['France'],[],[],?,0,0 kj(0 kcal),?,0,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1536,Confiserie la promotion de votre épicier gd frais,2600901062183,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1537,Steak haché 5% charolais façon bouchère,3423310001715,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1538,"Regional Malts Speyside Dun Bheagan 0,7 L",5010852003888,['France'],[],[],?,0,0 kj(0 kcal),?,0,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1539,Urgo Compresses Steriles 50 Sachets De 2,3401078681097,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1540,Histoire géographie,9782701197005,['France'],[],[],?,?,,?,,?,,?,,,,,['Non alimentaire'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1541,Jambon cuit supérieur Aoste cuisiné à l'os,0210797019097,['France'],[],[],?,652,2728 kj(652 kcal),"7,5","2,7",1,1,21,,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1542,Huile de foie de morue,3535400004787,['France'],[],[],?,?,,?,,?,,?,,,,B,"['Matières grasses', 'Matières grasses animales', 'Huiles de poissons', 'Huiles de foie de cabillaud']",,,,,,,,,,,,,,,,,,,,,,,43.8%,28.4%,11.3%,10.5%,6.0%,0.0%,92,,,,,,,,,,,,,,
1543,Crackers Beurre 250G,8935005305763,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1544,"Mûres, 125g",3760105310103,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1545,Eau minerale,3257981175815,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1546,Iphone 11 rouge,0190199221987,['France'],[],[],?,?,,?,0,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1547,Caffarellino Bitter 25 GR.,8013108042010,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1548,Tekirdag Rakisui,8697530204675,['France'],[],[],?,0,0 kj(0 kcal),?,0,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1549,Pure gelée royale,3088549183252,['France'],[],[],?,0,0 kj(0 kcal),?,0,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1550,Mixed Vegetable Jamaican Patty,5060035760022,['France'],[],[],?,293,1226 kj(293 kcal),"14,6","6,5","34,4","2,6","5,1",,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['mixed plastic-wrapper'],,,,,,,,,,
1551,"Epicerie / Thé Bio Et équitable / Tisanes, Infusions",3700110025654,['France'],[],[],?,4,17 kj(4 kcal),0,0,0,0,0,['Bio'],0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1552,Gourde,5701390592766,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1553,BDX Blanc Sec E.club MIL7,3250390032960,['France'],[],[],?,0,0 kj(0 kcal),?,0,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1554,Pinot noir-grenache,3552840393004,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1555,Heath & Heather Camomile Herbal Infusions Tea,5060123609042,['France'],[],[],?,0,0 kj(0 kcal),0,0,"0,2",0,"0,1",,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1556,"Cerise Burlat, Bio, calibre + 22, France, Barquette",3760034601044,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1557,Orgakiddy Carrés De Soin,3700769900371,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1558,Confiture Eglantine,3162900036859,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1559,"Giffard, Creme de mirabelle de Lorraine, la bouteille de",3180290042670,['France'],[],[],?,0,0 kj(0 kcal),?,0,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Giffard'],,,,,,,,,,,,,
1560,Rose Domaine De L'attilon,3760105594046,['France'],[],[],?,0,0 kj(0 kcal),?,0,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561,Sel De Bayonne Aux Aromates,8428647004007,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1562,Château Les Valentines Rosé,3760023949812,['France'],[],[],?,0,0 kj(0 kcal),?,0,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1563,Petits pains aux figues spécial foie gras,3033610092254,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1564,Fenugrec bio,3700446495848,['France'],[],[],?,?,,?,,?,,?,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1565,Refresco de cola classic,8433329063111,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1566,Cogollos de lechuga sucrine,8424134000194,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,B,"['Laitues', 'Sucrines', 'en:Laitue', 'en:Sucrines']",,,,,,,,,,-100%,-100%,,,,,,,,,,,,59.4%,0.0%,0.0%,13.2%,18.9%,8.4%,95,,,,,,,,,,,,,,
1567,Huile essentielle de menthe poivrée de Provence,02891,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1568,Chocolat noir patiser,15863344,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1569,Julienas,3257650086121,['France'],[],[],?,?,,?,0,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1570,Jambon a l'ancienne,2244057020538,['France'],[],[],?,827,3460 kj(827 kcal),13,"4,6","0,5","0,5","0,5",,"1,9","0,76",E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', ""Jambons cuits à l'ancienne""]",13 g,en quantité modérée,4.6 g,en quantité modérée,0.5 g,en faible quantité,1.9 g,en quantité élevée,,+444%,+442%,+111%,+91%,+1%,+3%,-98%,-3%,-3%,22,+125%,E,+125%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,,,,,,,,,,,,
