,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,generic_name,packaging,manufacturing,traceability_code,additives,nova_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins,link,markets,allergens,origin_detail,producer_info,palm_ingredients,brand_owner
27,Carré Frais - offre découverte - Elle & Vire - 200g (8x 25g),3480341000728,"['Elle & Vire', 'Savencia']",['France'],"['lait écrémé et crème ', 'origine : France', 'sel', 'ferments lactiques']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",802,193,802 kj(193 kcal),15,11,"2,5","2,5",12,"1,3","0,52",200g (8 x 25g),"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à la crème']",,15 g,en quantité modérée,11 g,en quantité élevée,2.5 g,en faible quantité,1.3 g,en quantité modérée,+14%,+30%,+28%,+42%,+58%,-54%,-48%,+78%,+289%,+289%,12,+193%,D,+193%,B,,"['Carton', 'Aluminium', 'Fresh']",,"['FR 01.179.001 CE', 'Grièges (Ain, France)']",,3,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,['France'],,,['Lait'],,,,
28,Beurre doux - Sovaco - 250g,3492510000057,"['Sovaco', 'Briois']","['France', 'La Réunion']","['beurre ', 'lait origine UE']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,745,3117 kj(745 kcal),82,55,1,"0,6","0,7","0,3","0,12",250 g,"['Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matières grasses animales', 'Matière grasse laitière', 'Produits laitiers à tartiner', 'Beurres', 'Beurres doux', 'Beurres pasteurisés']",,82 g,en quantité élevée,55 g,en quantité élevée,0.6 g,en faible quantité,0.3 g,en quantité modérée,,+1%,+2%,+1%,-1%,+47%,-3%,+0%,-59%,-59%,20,-7%,E,-7%,E,,"['Boite', 'Frais']",['France'],"['FR 62.510.102 CE', 'Liévin (Pas-de-Calais, France)']",,2,91.6%,4.9%,1.3%,1.2%,0.8%,0.2%,27,['Union européenne'],,['Leclerc'],['Lait'],,,,
29,Violettes sans sucres - Verquin - 100g,3501270058304,['Verquin'],['France'],"['Édulcorants : Maltitols', 'glycosides de stéviol - acidifiant : acide citrique - arômes - colorants : E151', 'E163']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",?,234,979 kj(234 kcal),0,0,"95,3","0,2",0,"0,01","0,004",100 g,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Violettes']","['Peu ou pas de sucre', 'Sans sucre']",0 g,en faible quantité,0 g,en faible quantité,0.2 g,en faible quantité,0.01 g,en faible quantité,,-34%,-35%,-100%,-100%,+14%,-100%,-100%,-92%,-92%,2,-86%,B,-86%,E,,"['Sachet', 'Plastique']",,,"['E965 - Maltitol', 'E960 - Glucosides de stéviol', '', 'Risque modéré de sur-exposition', 'E330 - Acide citrique', 'E151 - Noir brillant BN', 'E163 - Anthocyanes']",4,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,['Leclerc'],,,,,
30,Pate a tartiner bio Chocolat au Lait - Noisettes - Bovetti - 350g,3501940908007,['Bovetti'],['France'],"['Véritable pâte à tartiner BIO', 'Amande ', '40%', ' - Chocolat noir ', '2470', ' lingredlents AMANDES* chocolat noir* à 73% de cacao ', 'massed€ cacao*', ' sucre de Canne brut* ', 'beurre de cacao* ', ' poudre de cacao* poudre de vanille*', 'sucre de canne roux* ', ""huile de colza* Peutcontemr&s traces dau/res fru//s à coqoe & /ai/e/&sqa Issus l'agriculture biolwjwe Irgedjents conformes aux du commerce equ"", 'table Havelaar aao', 'sucre vanille ', '44% du total', ' - www']",['Sans huile de palme'],?,622,2602 kj(622 kcal),50,19,31,28,11,"0,01","0,004",350 g,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner']","['Bio', 'Bio européen', 'Commerce équitable', 'en:gluten-free', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Fabriqué en France', 'Max Havelaar', 'en:palm-oil-free', 'Entrepreneurs + Engagés']",50 g,en quantité élevée,19 g,en quantité élevée,28 g,en quantité élevée,0.01 g,en faible quantité,,+19%,+19%,+55%,+135%,-38%,-36%,+77%,-95%,-95%,23,+12%,E,+12%,,,,,,,,,,,,,,,,,,['Fruits à coque'],,,,
31,Amandes en poudre - PETIT PRIX - 400g,3502490191949,['PETIT PRIX'],['France'],['Amandes décortiquées non dépelliculées en poudre'],[],?,635,2657 kj(635 kcal),56,"4,5","4,9","4,3",24,"0,01","0,004",400 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Farines', 'Fruits à coques et dérivés', 'Farines de fruits à coques', 'Amandes en poudre']",,56 g,en quantité élevée,4.5 g,en quantité modérée,4.3 g,en faible quantité,0.01 g,en faible quantité,,+2%,+2%,+5%,+7%,-44%,+2%,+3%,-61%,-61%,6,+8%,C,+8%,,Amandes décortiquées non dépelliculées en poudre,"['Sachet', 'Plastique', 'Point vert', 'Pensez au tri!', 'Sachet plastique à jeter', 'sachet']",,,,,,,,,,,,,,['Carrefour Market'],['Fruits à coque'],,,,
32,Arachides coques grillées - Petit prix - 1kg,3502490192038,['Petit prix'],['France'],"['Arachides Coques Origine: Importation Conditionné dans un atelier qui manipule des fruits à coques', 'soja', 'sésame', 'sulfites et du gluten']",[],?,615,2573 kj(615 kcal),50,"8,7","6,1","4,7",30,"0,03","0,012",1kg,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques']",,50 g,en quantité élevée,8.7 g,en quantité élevée,4.7 g,en faible quantité,0.03 g,en faible quantité,,-0%,+0%,-1%,+38%,-62%,-13%,+55%,-94%,-94%,1,-80%,B,-80%,,,['Sachet'],['France'],['595150001'],,1,,,,,,,,['Importation'],,['Carrefour'],"['Gluten', 'Graines de sésame', 'Soja', 'Anhydride sulfureux et sulfites']",,,,
33,Granini orange - 25cl,3503780003881,['Granini'],['France'],"[""Jus d'orange à base de jus concentré""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,43,180 kj(43 kcal),"0,5","0,1",9,9,"0,7",0,0,25 cl,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits à base de concentré', ""Jus d'orange"", ""Jus d'orange à base de concentré""]",,0.5 g,en faible quantité,0.1 g,en faible quantité,9 g,en quantité élevée,0 g,en faible quantité,,0%,-1%,+163%,+203%,-7%,-1%,+12%,-100%,-100%,2,-33%,C,-33%,C,Jus d'orange,['Verre'],,,,1,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,['La Fontaine (rue Cuvier)'],,,,,
34,Granini ananas - 25cl,3503780004437,['Granini'],['France'],"['Teneur en fruits 50% minimum', ""jus d'ananas à base de jus concentré"", 'eau', 'sucre', 'acidifiants ', 'acide citrique', 'stabilisant ', 'pectine', 'antioxydant ', 'acide ascorbique']",[],?,45,188 kj(45 kcal),"0,2","0,1",11,11,"0,5",0,0,25 cl,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', ""Nectars d'ananas""]",,0.2 g,en faible quantité,0.1 g,en faible quantité,11 g,en quantité élevée,0 g,en faible quantité,,0%,0%,+90%,+777%,+3%,+11%,+130%,-100%,-100%,13,+8%,E,+8%,C,,"['Bouteille', 'Verre', 'Capsule', 'Métal']",,,"['E330 - Acide citrique', 'E440 - Pectines', 'E300 - Acide ascorbique']",4,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,
35,France Délices préparation pour Flan au Chocolat - 14g,3507570019182,['France Délices'],['France'],"['Poudre de cacao équitable* ', '51 %', 'amidon de maïs*', 'gélifiants* : carraghénanes', ""agar agar*\r *Ingredients agricoles issus de l'agriculture biologique""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,333,1393 kj(333 kcal),"5,7","3,6",46,1,"12,9","0,14","0,056",14 g,"['Produits laitiers', 'Desserts', 'Desserts lactés', 'Desserts au chocolat', 'Flans gélifiés', 'Préparations pour flans au chocolat']","['Bio', 'Bio européen', 'en:gluten-free', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Point Vert', 'Fabriqué en France', 'Sans sucre ajouté', 'AB Agriculture Biologique', 'Afdiag']",5.7 g,en quantité modérée,3.6 g,en quantité modérée,1 g,en faible quantité,0.14 g,en faible quantité,,+112%,+121%,+50%,+60%,+97%,-94%,+297%,-18%,-18%,2,-64%,B,-64%,,Préparation pour Flan au chocolat Bio sans gluten,['Sachet'],['France'],,"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E406 - Agar-agar']",4,,,,,,,,,,,,,,,
36,Jus d' ananas - Spring valley - Teneur en fruits,3516130001185,['Spring valley'],"['France', 'Martinique']",[],[],?,53,222 kj(53 kcal),0,0,13,12,0,"0,01","0,004",Teneur en fruits,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'ananas""]",['Fabriqué en France'],0 g,en faible quantité,0 g,en faible quantité,12 g,en quantité élevée,0.01 g,en faible quantité,,+8%,+8%,-100%,-100%,+11%,+7%,-100%,+49%,+49%,6,+17%,D,+17%,D,,,,,,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,
37,Miel de Fleurs -  - 375g,3520059915201,,['France'],[],[],?,320,1339 kj(320 kcal),0,0,78,78,1,0,0,375 g,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']",,0 g,en faible quantité,0 g,en faible quantité,78 g,en quantité élevée,0 g,en faible quantité,,+8%,+7%,-100%,-100%,+1%,+12%,+195%,-100%,-100%,,,,,B,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,['Non spécifiée'],,,,,,,
38,Délisucré - Deli Sucre - 330g,3520059917632,['Deli Sucre'],['France'],[],[],?,280,1172 kj(280 kcal),"0,1",0,70,0,0,"0,4","0,16",330 g,"['Édulcorants', 'Additifs alimentaires', 'Succédanés du sucre', 'Édulcorants naturels', 'Fructose']",['Fabriqué en France'],0.1 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.4 g,en quantité modérée,,-15%,-15%,+1100%,-100%,-13%,-100%,,+3900%,+3900%,,,,,B,,['boîte'],,,,,39.8%,41.1%,9.2%,7.6%,2.3%,0.0%,88,,,,,,,,
39,10 Batonnets De Surimi merlan bleu sauvage - La Compagnie des Pêches de Saint-Malo - 200g,3521048217078,['La Compagnie des Pêches de Saint-Malo'],['France'],"['Eau', 'chair de merlan bleu ', 'poisson Atlantique Nord Est', ' 36%', 'blanc d’œuf réhydraté ', '9,6%', 'fécule de pomme de terre ', '4,8%', 'huile de tournesol ', '3,6%', 'fécule de manioc ', '2,9%', 'sucre de canne ', '2,3%', 'sel de Guérande', 'arôme naturel ', 'contient crustacés', 'concentré ', 'carotte', 'potiron et pomme', ' ', '1%']",['Non végétalien'],?,107,448 kj(107 kcal),"3,8","0,3",11,"2,3","7,2","1,5","0,6",200 g,"['Produits de la mer', 'Poissons', 'Plats préparés', 'Préparations de poisson', 'Plats préparés au poisson', 'Surimi', 'en:preparations-made-from-fish-meat']","['Bio', 'Bio européen', 'FR-BIO-09', 'Fabriqué en France', 'en:produced-in-bretagne', 'Pêche durable', 'Pêche durable MSC', 'MSC C54514', 'Pêche française']",3.8 g,en quantité modérée,0.3 g,en faible quantité,2.3 g,en faible quantité,1.5 g,en quantité modérée,,-10%,-10%,-19%,-54%,-4%,-20%,-4%,-13%,-13%,3,-32%,C,-32%,B,,"['Frais', 'Plastique', 'boîte']","['France', 'Bretagne']","['EMB 35288T', 'Saint-Malo (Ille-et-Vilaine, France)', 'FR 35.288.009 CE', 'Saint-Malo (Ille-et-Vilaine, France)', 'MSC-C-54514']",,4,52.0%,22.5%,10.3%,8.6%,5.2%,1.4%,92,['FAO N°27'],,,"['Crustacés', 'Œufs', 'Poisson']",,,,
40,2 Pavés de Truite avec Peau sans arêtes - Filière Qualité Carrefour - 250g,3523680369030,"['Filière Qualité Carrefour', 'Carrefour', 'Bretagne Truite']",['France'],['Truite avec peau sans arêtes'],[],?,150,628 kj(150 kcal),8,2,0,0,19,,,250 g,"['Produits de la mer', 'Poissons', 'Frais', 'Filets de poissons', 'Truites', 'Pavés de truites']","['Origine France', 'Origine Bretagne', 'Sans arêtes', 'Truite nourrie sans OGM']",8 g,en quantité modérée,2 g,en quantité modérée,0 g,en faible quantité,,,,-9%,-8%,+2%,+23%,-100%,-100%,-15%,,,,,,,D,,"['Frais', 'Blister', 'Barquette', 'Polystérène']",,"['FR 29.199.503 CE', 'Plouigneau (Finistère, France)']",,,92.4%,0.0%,1.3%,5.5%,0.7%,0.2%,23,"['France', 'Bretagne']",,['Carrefour'],,,,,
41,Sève de pin - Bonbons aux arômes naturels - La vosgienne - 125g,3538280036220,['La vosgienne'],['France'],"['Sucre', 'sirop de glucose', 'Miel', 'Suc de réglisse', 'Menthol', ""Huiles essentielles d'eucalyptus et de pin""]",['Non végétalien'],?,390,1632 kj(390 kcal),0,0,98,74,"0,1",0,0,125 g,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']","['Bio', 'Fabriqué en Espagne', 'Arômes naturels', 'Ne convient pas aux enfants de moins de 4 ans']",0 g,en faible quantité,0 g,en faible quantité,74 g,en quantité élevée,0 g,en faible quantité,,+10%,+9%,-100%,-100%,+18%,+28%,-95%,-100%,-100%,14,-3%,D,-3%,D,Bonbons aux arômes naturels,"['Boite metal', 'Point vert', 'Tidyman wastebasket', 'Acier recyclable']",['Espagne'],,,4,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,['Leader Price'],,,,,
42,Hollywood 2 Fresh - 88g,3538280038934,['Hollywood'],['France'],"['Édulcorants ', 'Maltitols', 'sorbitols', ' Aspartame', 'Acésulfame K', 'Gomme base', 'Arômes', ' Humectant ', 'E422', 'Gélatine', 'Émulsifiant ', 'Lécithine de tournesol', 'Colorant ', 'E133', 'Agent d', 'enrobage ', 'E903', 'Épaississant ', 'E466']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,171,715 kj(171 kcal),"0,3","0,1",67,"0,1","1,1","0,03","0,012",88g,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Chewing-gum', 'Chewing-gum sans sucres']","['Peu ou pas de sucre', 'Contient une source de phénylalanine', 'Une consommation excessive peut avoir des effets laxatifs', 'Sans sucre']",0.3 g,en faible quantité,0.1 g,en faible quantité,0.1 g,en faible quantité,0.03 g,en faible quantité,,+7%,+7%,+52%,-14%,+7%,+72%,+753%,+40%,+40%,,,,,,Chewing-Gum Sans Sucres à la Menthe,['Boîte'],,['10MN15016'],"['E965 - Maltitol', 'E420 - Sorbitol', 'E951 - Aspartame', 'E950 - Acésulfame K', 'E422 - Glycérol', 'E428 - Gélatine', 'E322i - Lécithine', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition', 'E903 - Cire de carnauba', 'E466 - Carboxyméthylcellulose']",4,,,,,,,,,http://facebook.com/hollywoodchewinggum,['Magasins U'],,,,,
43,Tartare D'algues classique - Bord a bord - 110g,3545450813536,['Bord a bord'],['France'],"['algues 30% ', 'dulse', 'laitue de mer', 'wakamé', ""huile d'olive vierge extra"", 'cornichon et câpre au vinaigre', 'oignon', 'huile de noix', 'échalote', 'ail']",[],?,269,1125 kj(269 kcal),"27,7","4,2","5,6","1,2","2,4",1,"0,4",110g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Produits de la mer', 'Aliments à base de plantes en conserve', 'Algues et dérivés', 'Algues en conserve', ""Tartares d'algues""]","['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01']",27.7 g,en quantité élevée,4.2 g,en quantité modérée,1.2 g,en faible quantité,1 g,en quantité modérée,,+14%,+14%,+24%,+41%,-9%,-33%,+3%,-21%,-21%,11,+14%,D,+14%,C,,['Verre'],,,,3,53.3%,42.5%,1.8%,1.6%,0.8%,0.0%,25,"['France', 'Bretagne', 'Portugal']",,['Biocoop'],['Huile de noix'],,,,
44,Sardines à l'huile d'olive Titus - 125g. 88g. égoutté,3553460000136,"['Titus', 'Unicomex']",['France'],"['Sardines', ""Huile d'olive"", 'Sel']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,230,962 kj(230 kcal),16,4,4,4,21,"0,6","0,24",125 g. 88 g. égoutté,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', ""Sardines à l'huile"", ""Sardines à l'huile d'olive""]",,16 g,en quantité modérée,4 g,en quantité modérée,4 g,en faible quantité,0.6 g,en quantité modérée,,-7%,-7%,-10%,+4%,+1146%,+1805%,-1%,-34%,-34%,2,-64%,B,-64%,D,Sardines à l'huile d'olive,"['Conserve', 'Boîte', 'Fer blanc']",,,,3,26.2%,30.3%,28.3%,13.4%,0.9%,0.9%,42,['Maroc'],,['Carrefour'],['Poisson'],,,,
45,Pizza Cuite sur Pierre (Bolognese) - Carrefour - 400g,3560070205431,['Carrefour'],['France'],"['Farine de blé', 'purée de tomates 22%', 'emmental 10%', 'eau', 'viande de bœuf cuite 8%', 'oignons 7%', 'tomates 5%', 'huile de colza', 'sel', 'levure', 'dextrose', 'amidon de pommes de terre', 'amidon de blé', 'sucre', 'poireaux', 'amidon de pois', 'oignons frits 0,1% ', 'oignons 0,09%', 'huile de tournesol', 'champignons', 'épices 0,09%', 'plantes aromatiques 0,04%', 'ail déshydraté', 'huile de tournesol']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",883,210,883 kj(210 kcal),"6,8","2,9",26,"4,8","9,4","0,67","0,268",400 g,"['Surgelés', 'Plats préparés', 'Produits à la viande', 'Pizzas tartes salées et quiches', 'Plats préparés à la viande', 'Plats au bœuf', 'Pizzas', 'Pizzas au fromage', 'Pizzas et tartes surgelées', 'Pizzas à la bolognaise', 'Pizzas surgelées']","['Labels de distributeurs', 'Qualité Carrefour', 'Cuite sur pierre']",6.8 g,en quantité modérée,2.9 g,en quantité modérée,4.8 g,en faible quantité,0.67 g,en quantité modérée,-3%,0%,-1%,-3%,+2%,-2%,+34%,-3%,-32%,-32%,-1,-137%,A,-137%,D,"Pizza à la tomate, emmental, viande de bœuf cuite et de légumes : oignons, tomate , poireaux cuite sur pierre - Surgelé","['Surgelé', 'Boîte', 'Carton', 'Plastique']",,"['EMB 69194C', ""Saint-Didier-au-Mont-d'Or (Rhône, France)""]",,4,84.7%,5.8%,1.9%,2.3%,1.1%,4.2%,38,,Freiberger France - 12 Rue Claude Chappe - 69370 Saint-Didier-au-Mont-d'Or,"['Carrefour City', 'Carrefour']","['Gluten', 'Lait']",,,,
46,Raisins golden - Carrefour - 250g,3560070769438,['Carrefour'],['France'],"['Raisins secs 99,5%', 'huile de tournesol', 'conservateur : anhydride sulfureux', "" Peut contenir des traces d'arachide"", 'de fruits à coque', 'de graines de sésame', 'de gluten et de soja']","['Sans huile de palme', 'Végétalien', 'Végétarien']",1385,327,1385 kj(327 kcal),"0,6","0,1",76,67,"2,6","0,04","0,016",250 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Raisins secs']",['Riche en fibres'],0.6 g,en faible quantité,0.1 g,en faible quantité,67 g,en quantité élevée,0.04 g,en faible quantité,+3%,+3%,+5%,+4%,-29%,+5%,+7%,-8%,-26%,-26%,4,-29%,C,-29%,D,Raisins secs blonds,,,"['EMB 92002F', 'Antony (Hauts-de-Seine, France)']","['E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition']",3,37.4%,55.6%,3.3%,1.3%,2.3%,0.0%,44,,,['Carrefour'],['Anhydride sulfureux et sulfites'],Les raisins secs blonds sont importés d'Afrique du Sud et conditionnés en France.,Importé d'Afrique du Sud et conditionné en France par EMB 92002F pour Interdis.,,
47,Sirop d'orgeat - Frucci - 1l,3564700003343,"['Frucci', 'Marque Repère']",['France'],"['Sucre', 'eau', 'arôme naturel']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",1224,?,1224 kj(293 kcal),"0,5","0,1",72,72,"0,5",0,0,1 l,"['Boissons', 'Sirops', 'Sirops aromatisés', ""Sirops d'orgeat"", 'Boissons sans sucre ajouté']",['Sans colorants'],,,,,,,,,,,+6%,+186%,+47%,+9%,+10%,+242%,-100%,-100%,,,,,A,,"['Bouteille', 'Verre']",,,,4,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,['Leclerc'],,,,,
48,Petits pois carottes extra fins bocal - Notre Jardin - 420g,3564700004685,"['Notre Jardin', 'Marque Repère']",['France'],"['Légumes en proportions variables ', 'petits pois extra-fins', 'jeunes carottes', 'eau', 'sucre', 'sel', 'arôme naturel']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",263,?,263 kj(63 kcal),"0,6","0,2","8,8","3,7","3,4","0,6","0,24",420 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Légumineuses en conserve', 'Petits pois et carottes en conserve']","['Point Vert', 'Nutriscore', 'Nutriscore A']",0.6 g,en faible quantité,0.2 g,en faible quantité,3.7 g,en faible quantité,0.6 g,en quantité modérée,+11%,,+9%,+21%,+59%,+8%,+9%,+10%,+2%,+2%,-9,,A,,B,,"['Bocal', 'Verre', 'métal']",,,,4,26.6%,34.8%,16.3%,8.2%,7.5%,6.7%,88,,,['Leclerc'],,,,,
49,Haricots verts très fins - Notre Jardin - 1kg,3564700005668,"['Notre Jardin', 'Marque Repère']",['France'],"['Haricots verts très fins ', 'facultatif']","['Sans huile de palme', 'Végétalien', 'Végétarien']",142,?,142 kj(34 kcal),"0,5","0,1","4,7","2,1","1,7",0,0,1 kg,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Légumes et dérivés', 'Haricots verts']",,0.5 g,en faible quantité,0.1 g,en faible quantité,2.1 g,en faible quantité,0 g,en faible quantité,+30%,,+29%,+97%,+86%,+55%,+124%,+8%,-100%,-100%,-10,,A,,B,,['surgelé'],,,,1,71.3%,0.0%,0.0%,9.8%,14.0%,4.9%,95,,,['Leclerc'],,,,,
