,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,brand,categories,additives,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,quantity,packaging,generic_name,ingredients_origins,manufacturing,markets,link,palm_ingredients,traceability_code,brand_owner
1750,Jambon iberique,8435115037108,['France'],[],[],?,332,1389 kj(332 kcal),25,9,"0,2","0,2","26,5","4,3","1,72",E,,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons crus', 'Jambons secs', 'Jambons ibériques', 'en:raw-cured-ham']",,,,25 g,en quantité élevée,9 g,en quantité élevée,0.2 g,en faible quantité,4.3 g,en quantité élevée,,+9%,+11%,+27%,+24%,-52%,-41%,-13%,+6%,+6%,22,+11%,E,+11%,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,,,,,,,,,,,
1751,Jambon fumé,8435115037320,['France'],[],[],?,214,895 kj(214 kcal),"9,5","3,4","0,5",0,"31,5",5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1752,chorizo sarta dulce,8435115040597,['France'],[],[],?,464,1941 kj(464 kcal),"39,9","14,8","5,5","1,1","20,7","3,2","1,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1753,Jambon serrano jambon speciale melon - Juan Luna,8435115049255,['France'],[],[],?,214,895 kj(214 kcal),"9,5","3,4","0,5",0,"31,5",5,2,E,['Juan Luna'],"['Viandes', 'Charcuteries', 'Produits à la viande', 'Jambons', 'Jambons crus', 'Jambons secs', 'Produits carnés espagnols', 'Jambons Serrano', 'en:raw-cured-ham']",,,,9.5 g,en quantité modérée,3.4 g,en quantité modérée,0 g,en faible quantité,5 g,en quantité élevée,,-10%,-10%,-25%,-27%,-30%,-100%,+4%,+7%,+7%,15,-9%,D,-9%,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,,,,,,,,,,,
1754,Jugo de Aloe Vera - +Lanzarote,8435118400497,['France'],"['Aloe Vera J u i ce ', '49,98 ml', ' acidulant ', 'citric acid', ' and preservative ', 'Benzoato Sédico y Sorbato Potâsico', ' ', ' It contain no flavorings', 'sweeteners or colors', ' Por 50 ml']",[],?,212,887 kj(212 kcal),"1,5","0,1","0,2","0,1","8,34","0,025","0,01",,['+Lanzarote'],['Boissons'],['E330 - Acide citrique'],,,1.5 g,en quantité modérée,0.1 g,en faible quantité,0.1 g,en faible quantité,0.025 g,en faible quantité,,+279%,+268%,+332%,-15%,-98%,-99%,+1581%,-40%,-40%,10,+31%,E,+31%,,,,,,,,['Sans arômes ajoutés'],,,,,,,,,,
1755,Creme glacée - Toupargel,8435130114235,['France'],[],[],?,198,828 kj(198 kcal),"6,7","4,4",32,23,"2,1","0,11","0,044",,['Toupargel'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1756,Ichoc white with almonds,8435130115614,['France'],[],[],?,348,1456 kj(348 kcal),24,14,29,26,"3,9","0,19","0,076",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,
1757,Traviata xxl vanille café - Toupargel - 1L,8435130115874,['France'],[],[],?,252,1054 kj(252 kcal),"14,5","10,7","27,2","23,1","2,6","0,1","0,04",,['Toupargel'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1L,,,,,,,,['ES 28.00001/V CE'],
1758,Crème glacée à la crème brûlée - Toupargel,8435130120779,['France'],[],[],?,205,858 kj(205 kcal),"7,1","4,7",33,29,2,"0,13","0,052",,['Toupargel'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1759,Asterix Stick Irreductible,8435130122759,['France'],[],[],?,80,335 kj(80 kcal),"1,5","1,1",16,14,"0,5","0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['en:Asterix licensed products', 'en:Licensed products']",,,,,,,,,,
1760,Choco stick nata,8435130123503,['France'],[],[],?,319,1335 kj(319 kcal),22,16,29,26,"2,3","0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1761,Glace ichoc,8435130124043,['France'],[],[],?,330,1381 kj(330 kcal),22,14,31,28,"2,6","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,
1762,iChoc Fusion Vanille Caramel Beurre Salé,8435130124081,['France'],[],[],?,330,1381 kj(330 kcal),20,13,34,31,"2,9","0,09","0,036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1763,Squeeze up,8435130124159,['France'],[],[],?,90,377 kj(90 kcal),0,0,22,21,0,"0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764,Sorbet au citron,8435130124388,['France'],[],[],?,111,464 kj(111 kcal),0,0,28,22,"0,1","0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,
1765,Asterix paf,8435130124401,['France'],"[""Sorbet à l'orange 73,6% "", ' eau', ""sucre,jus d'orange à base de concentré 15%"", 'sirop de glucose de maïs', 'fructose', 'stabilisant : farine de graines de caroube', 'acidifiant : acide citrique', ""arôme naturel d'orange"", 'colorant : extrait de paprika', ' Sorbet fraise 8,8% eau', 'purée de fraise 25%', 'sucre', 'sirop de glucose de maïs', 'fructose', 'colorant : anthocyanes', 'stabilisant : farine de graines de caroube', 'acidifiant : acide citrique', 'arôme naturel', 'colorant : curcumine', ' Sorbet citron saveur citron vert 8,8% teau', 'sucre,jus de citron à base de concentré 15%', 'sirop de glucose de maïs', 'fructose', 'colorant : chlorophylles et chlorophyllines', 'stabilisant : farine de graines de caroube', 'arôme naturel de citron vert', 'colorant : curcumine', 'acidifiant : acide citrique', ' Sorbet ananas 8,8% : eau,jus ?ananas base de concentré 2096', 'sucre', 'sirop de glucose de maïs', 'fructose', 'stabiisants : méthilceltulose pectines farine de graines de caroube', 'acidifiant : acide citrique', 'concentré de carthame', 'arômes naturels', 'sirop de sucre caramélisé', ' Sans glutetu']",[],?,100,418 kj(100 kcal),0,0,25,20,"0,9","0,4","0,16",,['Asterix'],,"['E410 - Gomme de caroube', 'E330 - Acide citrique', 'E160c - Extrait de paprika', 'E163 - Anthocyanes', 'E100 - Curcumine', 'E140 - Chlorophylles et Chlorophyllines']",,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['en:gluten-free', 'en:Asterix licensed products', 'en:Licensed products']",,,,,,,,,,
1766,Batonnets framboise citron - Toupargel,8435130124661,['France'],[],[],?,100,418 kj(100 kcal),"0,5","0,1",23,20,"0,5","0,04","0,016",B,['Toupargel'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces']",,,,0.5 g,en faible quantité,0.1 g,en faible quantité,20 g,en quantité élevée,0.04 g,en faible quantité,,-57%,-57%,-96%,-99%,-18%,-15%,-84%,-73%,-73%,5,-63%,C,-63%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,,,,,,,,,,
1767,6 bâtonnets ananas coco - Toupargel,8435130124678,['France'],[],[],?,92,385 kj(92 kcal),"0,6","0,5","20,7","17,9","0,5","0,06","0,024",,['Toupargel'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768,Asperges vertes - Tanya's,8435137103782,['France'],[],[],?,12,50 kj(12 kcal),1,0,"2,04",0,"2,18","0,016","0,006",B,"[""Tanya's""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Frais', 'Légumes tiges', 'Asperges', 'Aliments à base de plantes frais', 'Légumes frais', 'Asperges fraîches', 'Asperges vertes']",,,,1 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.016 g,en faible quantité,,-45%,-45%,+266%,-100%,+9%,-100%,+9%,-98%,-98%,-6,,A,,87.5%,0.0%,0.0%,5.2%,5.7%,1.5%,80,,,,,,,,,,,
1769,Pa Alemany De Sègol I Multicereals Eco Veritas 500G,8435173001073,"['France', 'Espagne']",[],[],?,201,841 kj(201 kcal),"1,6","0,2",37,"2,2",5,"0,88","0,352",B,['Veritas'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains de seigle']",,,,1.6 g,en faible quantité,0.2 g,en faible quantité,2.2 g,en faible quantité,0.88 g,en quantité modérée,,-13%,-13%,-19%,-41%,-11%,-25%,-28%,-23%,-23%,2,+82%,B,+82%,51.1%,24.1%,13.7%,10.1%,1.0%,0.0%,94,,,,,,,,,,,
1770,Pebrot Escalivat,8435173010419,['France'],[],[],?,36,151 kj(36 kcal),"0,6","0,1","5,8","5,8","1,4","0,041","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1771,Clémentine s,8435177001093,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1772,1kg,8435177010156,"['France', 'Pologne']",[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits']",,,,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,-100%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,-5,-708%,A,-708%,,,,,,,,,1 kg,['Plastik'],,['Hiszpania'],"['Elcanar', 'Spine']",,,,,
1773,Citron vert,8435177019234,['France'],[],[],?,?,,?,,?,,?,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Agrumes', 'Citrons verts']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'ES-ECO-002-AN']",,,,,,,,,,
1774,Fraises - Bionest - 250g,8435177020377,['France'],['Fraises'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,B,['Bionest'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits rouges', 'Fruits frais', 'Fraises', 'Fraises fraîches']",,,1,,,,,,,,,,,,,,,,,,,,,,,94.3%,0.0%,0.0%,3.0%,2.5%,0.1%,60,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Catégorie I', 'ES-ECO-001-AN', 'CAAE']",250 g,"['Barquette', 'Plastique']","Fraises (variété Rabida), cat I.",['Espagne'],,"['Auchan', 'Simply Market']",,,,
1775,Framboises,8435177020438,['France'],[],[],?,15,63 kj(15 kcal),"0,1","0,1","0,3","0,1","0,3",10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'ES-ECO-001-AN']",,,,,,,,,,
1776,citrons eureka - premier prix auchan - 500g,8435177021664,['France'],[],[],?,?,,?,,?,,?,,,,['premier prix auchan'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500g,['Filet'],,['Argentine'],,['Auchan'],,,,
1777,Prune Bio Hiromi Red - Fuensana - 500g,8435177023620,['France'],[],[],?,?,,?,,?,,?,,,B,['Fuensana'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits frais', 'Prunes', 'Prunes fraîches']",,,,,,,,,,,,,,,,,,,,,,,,,,92.5%,0.0%,0.0%,3.3%,3.2%,1.0%,63,"['Bio', 'Bio européen', 'ES-ECO-021-EX', 'Agriculture UE']",500 g,"['Barquette', 'Sachet', 'Plastique']",,['Espagne'],,,,,,
1778,Mangue bio - Frunet bio - 1pièce,8435177026591,['France'],['Mangue'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,C,['Frunet bio'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Mangues']",,,1,,,,,,,,,,,,,,,,,,,,,,,15.0%,0.0%,0.0%,83.7%,1.0%,0.3%,25,"['Bio', 'Bio européen', 'Catégorie II', 'ES-ECO-001-AN', 'AB Agriculture Biologique', 'Agriculture écologique', 'CAAE']",1 pièce,['Sans emballage'],,['Espagne'],,,,,,
1779,Tomate grappe bio - Balcon de Nijar - 500g,8435177030987,['France'],[],[],?,?,,?,,?,,?,,,B,['Balcon de Nijar'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Frais', 'Tomates et dérivés', 'Aliments à base de plantes frais', 'Tomates', 'Légumes frais', 'Tomates fraîches']",,,,,,,,,,,,,,,,,,,,,,,,,,67.0%,0.0%,0.0%,15.7%,13.1%,4.3%,97,"['Bio', 'Bio européen', 'en:EG-Öko-Verordnung', 'AB Agriculture Biologique', 'CAAE']",500 g,,,['Espagne'],,,,,,
1780,Aubergine bio - FreshquitaBio - 500g,8435177031717,['France'],['Aubergines biologiques origine Espagne'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,B,['FreshquitaBio'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Frais', 'Aliments à base de plantes frais', 'Aubergines', 'Légumes frais', 'Aubergines fraîches']",,,1,,,,,,,,,,,,,,,,,,,,,,,94.7%,0.0%,0.0%,2.7%,2.4%,0.1%,54,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",500 g,,,['Espagne'],,,,,,
1781,Haricot coco plat -,8435177033292,['France'],[],[],?,?,,?,,?,,?,,,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Légumes et dérivés', 'Frais', 'Aliments à base de plantes frais', 'Haricots verts', 'Légumineuses frais', 'Légumes frais', 'Haricots verts frais', 'Haricots verts plats frais', 'Haricots verts plats']",,,,,,,,,,,,,,,,,,,,,,,,,,71.3%,0.0%,0.0%,9.8%,14.0%,4.9%,95,,,,,,,,,,,
1782,Concombre apéro - unicabio - 200g,8435177035555,['France'],[],[],?,?,,?,,?,,?,,,,['Unicabio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200g,,,,,,,,,
1783,Pasteque - Family Organics,8435177042959,['France'],[],[],?,?,,?,,?,,?,,,,['Family Organics'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Melons et pastèques', 'Pastèques']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'en:EG-Öko-Verordnung', 'ES-ECO-001-AN', 'CAAE']",,,,['Espagne'],,,,,,
1784,Tomate cerise allongée,8435177047077,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'en:EG-Öko-Verordnung', 'AB Agriculture Biologique']",,,,,,,,,,
1785,Noisettes coque - Sonbio - 200g,8435177048968,['France'],['Noisettes coque bio'],[],?,?,,?,,?,,?,,,B,['Sonbio'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noisettes']",,['Fruits à coque'],,,,,,,,,,,,,,,,,,,,,,,,92.4%,1.7%,0.0%,3.6%,2.2%,0.0%,45,"['Bio', 'Bio européen', 'ES-ECO-020-CV', 'AB Agriculture Biologique']",200 g,"['Barquette', 'Plastique']",,['Italie'],,['Auchan'],,,,
1786,"Courgette sans residus - Lara Castañeda Comercial - 0,750kg",8435177049545,['France'],['Courgette'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,,['Lara Castañeda Comercial'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Frais', 'Aliments à base de plantes frais', 'Légumes frais', 'Courgettes', 'Courgettes fraîches']",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Catégorie I', 'Sans résidu de pesticides']","0,750 kg","['Barquette', 'Carton', 'Plastique']",,"['Espagne', 'Almeria']",,['Auchan'],,,,
1787,Tomates grappe bio - FreshquitaBio - 1kg,8435177050206,['France'],[],[],?,?,,?,,?,,?,,,B,['FreshquitaBio'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Frais', 'Tomates et dérivés', 'Aliments à base de plantes frais', 'Tomates', 'Légumes frais', 'Tomates fraîches']",,,,,,,,,,,,,,,,,,,,,,,,,,67.0%,0.0%,0.0%,15.7%,13.1%,4.3%,97,"['Bio', 'Bio européen', 'Agriculture UE', 'AB Agriculture Biologique']",1 kg,,,['Espagne'],,,,,,
1788,Nectarines jaunes,8435177444951,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789,Schweppes,8435185944108,"['France', 'Espagne']",[],[],?,30,126 kj(30 kcal),0,0,72,7,0,0,0,,['Schweppes'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790,Citrus mix - Schweppes,8435185944153,"['France', 'Royaume-Uni']",[],[],?,30,126 kj(30 kcal),0,0,"7,3","7,2",0,,,,['Schweppes'],"['Boissons', 'Boissons gazeuses', 'Sodas']",,,,0 g,en faible quantité,0 g,en faible quantité,7.2 g,en quantité élevée,,,,+11%,+9%,-100%,-100%,+8%,+9%,-100%,,,,,,,,,,,,,,,,,,,,,,,,
1791,"Soft Drink Dr.pepper, 1,5 l, Pet - Est",8435185944160,['France'],"['water', 'sugar', 'carbon dioxjde', 'colo Caramel E150d', ' acide', ' acid', ' flavourings', 'flavouring: effeine', ' sweeteners: acesulfame K and sucralose', ' Store in cool', 'place', 'out ofthe sun', ' Best before end: See bottle neck']",[],?,28,117 kj(28 kcal),0,0,"6,9","6,8",0,"0,01","0,004",,['Est'],"['Boissons', 'Boissons édulcorées']","[""E150d - Caramel au sulfite d'ammonium"", 'E950 - Acésulfame K', 'E955 - Sucralose']",,4,0 g,en faible quantité,0 g,en faible quantité,6.8 g,en quantité élevée,0.01 g,en faible quantité,,+87%,+98%,-100%,-100%,+157%,+191%,-100%,-71%,-71%,9,+109%,D,+109%,,,,,,,,,,,,,,,,,,
1792,Schweppes lemon mint - 1L,8435185945853,"['France', 'Espagne']","['arôme de citron', 'arôme de citron vert', 'arôme de menthe', 'sucre', 'dioxyde de carbone ', 'E290', 'jus de pomme concentré', 'jus de citron vert concentré', 'conservateur ', 'sorbate de potassium', 'eau']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",139,33,139 kj(33 kcal),0,0,"7,9","7,8",0,0,0,,['Schweppes'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons gazeuses', 'Boissons aux fruits', 'Sodas', 'Sodas aux fruits']","['E290 - Dioxyde de carbone', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",,4,0 g,en faible quantité,0 g,en faible quantité,7.8 g,en quantité élevée,0 g,en faible quantité,+14%,+6%,+7%,-100%,-100%,+5%,+6%,-100%,-100%,-100%,11,+10%,E,+10%,,,,,,,,,1 L,,,,,,,,,
1793,Orangina Rouge,8435185953513,['France'],[],[],?,38,159 kj(38 kcal),0,0,"9,2","8,9","0,1","0,01","0,004",,"['Orangina', 'Orangina rouge']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1794,Snack 100% fruta sabor fresa - Snackissimo,8435199602346,['France'],[],[],?,322,1347 kj(322 kcal),"0,7","0,1","75,6","73,8","1,2","0,1","0,04",,['Snackissimo'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['en:gluten-free', 'Sans colorants']",,,,,,,,,,
1795,Choc Chip and Double Choc - Brompton House,8435201702415,['France'],"['Sugar', 'Vegelabh ', 'Sunflower', 'Egg', 'Wheat Starch', 'Milk Chocolate Chips Ylik Powder ', 'Cocoa Butter', 'Cocoa Mass', 'Emulsifier ', 'Soya Lecithin', 'Flavourirg', 'Wheat Flour', 'Corn Starch', 'Water', 'Cocoa Powder ', '1', '5%', 'Hunneclanl ', 'Glycerol', 'cose-Fructose Syrup', 'Raising Agents ', 'Disodium Diphosphate', 'Sodium Bicarbonate', 'Preservatives ', 'Sorbic Acid', 'Sodium Propionate', ',Mllk Powder', 'Sa\\t', 'Flavouring', 'Emulsifiers ', 'Mono and Diglycerides of Fatty Acids', 'Polyglycerol Esters of Fatty Acids', 'Fatty Acids Salts ', 'Acidity Regulator ', 'Malic Acid', 'Thickener ', ' Xanthan Gum', ' For allergens', 'including cereals containing Gluten', 'see ingredients in bold', ' O Suitable for Vegetarians', ' Chocorate 400g ', '16x25g', ' Net Weight:']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,415,1736 kj(415 kcal),20,4,"53,5",28,"4,5",1,"0,4",,['Brompton House'],,"['E322i - Lécithine', 'E422 - Glycérol', 'E450i - Pyrophosphate de sodium acide', 'E500ii - Carbonate acide de sodium', 'E200 - Acide sorbique', '', 'Risque élevé de sur-exposition', 'E281 - Propionate de sodium', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", ""E475 - Esters polyglycériques d'acides gras"", 'E296 - Acide malique', 'E415 - Gomme xanthane']","['Œufs', 'Gluten', 'Soja']",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""Fabriqué dans l'UE"", 'Pur beurre de cacao']",,,,,,,,,,
1796,Chocolate brownies -,8435201702422,['France'],[],[],?,451,1887 kj(451 kcal),"25,5","3,9","49,1","32,8","4,9","0,1","0,04",D,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat', 'Brownies']",,,,25.5 g,en quantité élevée,3.9 g,en quantité modérée,32.8 g,en quantité élevée,0.1 g,en faible quantité,,-1%,-1%,-0%,-52%,+2%,-4%,-17%,-74%,-74%,15,-22%,D,-22%,84.5%,9.8%,2.3%,2.2%,1.2%,0.0%,37,"[""Fabriqué dans l'UE""]",,,,,,,,,,
1797,Croquette de morue -,8435228286608,['France'],[],[],?,?,,?,,?,,?,,,E,,"['Snacks', 'Snacks salés', 'Produits de la mer', 'Apéritif', 'Poissons', 'Plats préparés', 'Préparations de poisson', 'Plats préparés au poisson', 'Morues', 'Acras de morue', 'en:preparations-made-from-fish-meat']",,,,,,,,,,,,,,,,,,,,,,,,,,93.2%,0.0%,0.9%,5.2%,0.5%,0.1%,14,,,,,,,,,,,
1798,Peche jaune,8435248050012,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1799,Yoco fraise - Nestlé,8435250438464,['France'],[],[],?,71,297 kj(71 kcal),"1,1","0,7","12,7","12,5","2,4","0,12","0,048",,['Nestlé'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800,Yoco fraise - Nestlé,8435250438464,['France'],[],[],?,71,297 kj(71 kcal),"1,1","0,7","12,7","12,5","2,4","0,12","0,048",,['Nestlé'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1801,Protector labial coco - Yes Love,8435255201179,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,,,,['Yes Love'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1802,Iogurte magro com pessego - Auchan,8435257008509,['France'],"['•urtc magro com pèssego', ' ntém edulcorantes', "" Ingredientes J'"", 'K', 'consentante Conselhos de conservaçâo i Produzido em Espanhapor Corsumir atéLote: Ver tampa liquido:']",[],?,46,192 kj(46 kcal),"0,1","0,1","6,7","6,5",4,"0,13","0,052",,['Auchan'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Auchan'],,,,
1803,yaos grego,8435257021874,['France'],[],[],?,126,527 kj(126 kcal),"6,2","4,1",15,14,"2,6","0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1804,Nestlé Yogur Griego Mango,8435257036175,['France'],[],[],?,159,665 kj(159 kcal),"7,7","5,2",19,18,"3,2","0,17","0,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1805,Nestlé Gold Mousse Supreme Chocolate,8435257037240,['France'],[],[],?,204,854 kj(204 kcal),12,"7,1",18,14,"5,4","0,4","0,16",,['Nestlé'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1806,Griego - Nestlé,8435257041148,['France'],[],[],?,160,669 kj(160 kcal),"8,9","5,9",17,17,"3,1","0,2","0,08",,['Nestlé'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1807,Turron - Tantoguste,8435265910214,['France'],"['Cacahouètes grillées ', '38%', 'sucre', 'sirop de glucose', 'miel', ""blanc d'oeuf"", 'pain azyme ', 'fécule de pomme de terre et huile de tournesol', ' et antyoxidant E-306 ', 'tocophérol', ' Contient des traces de noix et de sésame']",['Non végétalien'],?,538,2251 kj(538 kcal),32,4,46,39,15,0,0,E,['Tantoguste'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron']",['E307c - Tocophérol'],['Œufs'],4,32 g,en quantité élevée,4 g,en quantité modérée,39 g,en quantité élevée,0 g,en faible quantité,,+3%,+3%,+2%,-24%,+2%,+2%,+25%,-100%,-100%,17,+3%,D,+3%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,,,,,,
