,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,brand,categories,additives,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,quantity,packaging,generic_name,ingredients_origins,manufacturing,markets,link,palm_ingredients,traceability_code,brand_owner
41,Longanisse sèche - 0.30kg,8411111011014,['France'],[],[],?,390,1632 kj(390 kcal),"23,78","8,37","3,15","3,15","39,34",4,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.30 kg,,,,,,,,,
42,Jambon Serrano,8411124072200,['France'],[],[],?,254,1063 kj(254 kcal),16,"5,7","0,5","0,5",27,"3,2","1,28",E,,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Jambons', 'Jambons crus', 'Jambons secs', 'Produits carnés espagnols', 'Jambons Serrano', 'en:raw-cured-ham']",,,,16 g,en quantité modérée,5.7 g,en quantité élevée,0.5 g,en faible quantité,3.2 g,en quantité élevée,,+6%,+6%,+27%,+22%,-30%,+12%,-11%,-32%,-32%,18,+10%,D,+10%,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,,,,,,,,,,,
43,Saucisson - 864g,8411124151561,['France'],[],[],?,295,1234 kj(295 kcal),21,"7,8","3,6","2,6",23,"3,8","1,52",,,"['Viandes', 'Charcuteries', 'Saucissons']",,,,21 g,en quantité élevée,7.8 g,en quantité élevée,2.6 g,en faible quantité,3.8 g,en quantité élevée,,-24%,-24%,-32%,-34%,+67%,+95%,-9%,-10%,-10%,20,-15%,E,-15%,,,,,,,,,864 g,,,,,,,,,
44,Quelitas Integral Sésamo - Quely,8411145201450,['France'],"['J Ue/y Quelitas y gallctas cort noctìt,ra f6rmulo tratj', 'cjorjaJ y condimentadas cors de']",[],?,467,1954 kj(467 kcal),"20,2","2,2","58,6","4,2",10,"1,47","0,588",,['Quely'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Cloïses Ries 20 / 25 Montemar Ol-120,8411157011061,['France'],[],[],?,106,444 kj(106 kcal),2,"0,5",4,0,18,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Calamars sauce américaine - Mariscadora,8411157014246,['France'],[],[],?,248,1038 kj(248 kcal),20,"7,2",3,0,14,"1,5","0,6",,['Mariscadora'],"['Produits de la mer', 'Mollusques', 'Calamars']",,,,20 g,en quantité modérée,7.2 g,en quantité élevée,0 g,en faible quantité,1.5 g,en quantité modérée,,+56%,+52%,+113%,+407%,-32%,-100%,+7%,+33%,+33%,16,+508%,D,+508%,,,,,,,,,,,,,,,,,,
47,340g,8411163828127,"['France', 'Espagne']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340 g,,,,,,,,,
48,Mejillones en escabeche,8411186012374,"['France', 'Espagne']",[],[],?,185,774 kj(185 kcal),12,"1,7","4,3",0,15,1,"0,4",,,['Conserves'],,,,12 g,en quantité modérée,1.7 g,en quantité modérée,0 g,en faible quantité,1 g,en quantité modérée,,+61%,+65%,+130%,+47%,-16%,-100%,+85%,+15%,+15%,2,+371%,B,+371%,,,,,,,,,,,,,,,,,,
49,Melocotón en almíbar mitades,8411187254568,['France'],[],[],?,81,339 kj(81 kcal),0,0,20,17,"0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"Aceite de oliva suave 0,4º tapón antigoteo - La Española",8411190052472,"['France', 'Espagne']",[],[],?,822,3439 kj(822 kcal),91,12,0,0,0,0,0,D,['La Española'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive""]",,,,91 g,en quantité élevée,12 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,-4%,-4%,-5%,-14%,,,,-100%,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,
51,l'huile d'olive - coosur - 750ml,8411190146126,['France'],[],[],?,?,,?,,?,,?,,,D,['Coosur'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,,,,,,,,,,,,,,,,,,,,,,,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,750 ml,,,,,,,,,
52,Galletas Rizada Integral Fruct - Asinez,8411192020158,['France'],"['Farine de blé et seigle', 'graisse végétale ', 'huile de palme', 'fructose ', '19%', 'fibre alimentaire ', 'son de blé 2%', 'incline 1,3%', 'protéines de lait', 'poudres à lever ', 'bicarbonate de sodium', ""bicarbonate d'ammonium"", 'arôme ', 'orange', ' Peut contenir des traces de soja']","['Huile de palme', 'Non végétalien']",?,487,2038 kj(487 kcal),23,11,61,22,"5,7","0,14","0,056",,['Asinez'],,"['E500ii - Carbonate acide de sodium', ""E503ii - Carbonate acide d'ammonium""]","['Gluten', 'Lait']",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Huile de palme'],,
53,Barquillo Integral Con Fibra,8411192031000,['France'],[],[],?,514,2151 kj(514 kcal),"24,2","12,2","67,2","8,9","4,5","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
