,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,brand,labels,traceability_code,markets,quantity,additives,allergens,nova_score,palm_ingredients,ingredients_origins,manufacturing,generic_name,link,brand_owner
624,Arachide grillées enrobées de Sucre cuit,2600117030570,,['Pralines aux cacahuètes'],['France'],[],[],,,,,,,,,?,,0,-100%,0 kj(0 kcal),-100%,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625,Aceto balsamico di Modena - 250ml,2040001772979,B,"['Vinaigres', 'Vinaigres balsamiques', 'Vinaigres balsamiques de Modène']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,78 g,en quantité élevée,,,?,,316,+115%,1322 kj(316 kcal),+115%,0,-100%,0,-100%,78,+145%,78,+167%,"1,27",+91%,,,,,,,,,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,,['Fabriqué en Italie'],,,250 ml,,,,,['Italie'],,,,
626,Pain raisins,0200036019353,,,['France'],[],[],,,,,,,,,?,,269,,1125 kj(269 kcal),,"9,6",,"6,2",,40,,16,,5,,"0,62",,"0,248",,,,,,,,,,,,,,,,,,,,,,,,,,,
627,Morbier AOP Nature,0208861025860,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Morbiers']",['France'],[],[],29 g,en quantité élevée,20 g,en quantité élevée,0 g,en faible quantité,1.3 g,en quantité modérée,?,,353,-0%,1477 kj(353 kcal),-0%,29,+1%,20,+3%,0,-100%,0,-100%,23,+2%,"1,3",-9%,"0,52",-9%,14,-6%,D,-6%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,,
628,Gruyère suisse AOP,0299148049266,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629,Chicken Nuggets - 1000g,4025545400036,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,1000 g,,,,,,,,,
630,Italienische Kräuter - 100g,4008366015078,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,100 g,,,,,,,,,
631,Himbeeren - 750g,4337185629488,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,750 g,,,,,,,,,
632,Super seaweed peanuts - Holland & Barrett,5017174954874,,,['France'],[],[],,,,,,,,,?,,466,,1950 kj(466 kcal),,20,,"3,7",,56,,19,,13,,1,,"0,4",,,,,,,,,,,,,,['Holland & Barrett'],,,,,,,,,,,,,
633,ALCOOL MODIFIÉ,3250391503315,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634,Griottes conservée - Les Confitures de la Création,3760128080342,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Desserts', 'Aliments à base de plantes en conserve', 'Fruits en conserve', 'Fruits au sirop']",['France'],[],[],0.4 g,en faible quantité,0.1 g,en faible quantité,13.8 g,en quantité élevée,0.1 g,en faible quantité,?,,311,+326%,1301 kj(311 kcal),+340%,"0,4",+108%,"0,1",+196%,"74,6",+384%,"13,8",-1%,"1,7",+337%,"0,1",+456%,"0,04",+456%,0,,B,,,,,,,,,,['Les Confitures de la Création'],"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,
635,Marmelade,4061458176422,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Glas'],,,,,,,,,,,,,,
636,Reblochon de savoie,2204678002634,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Reblochons']",['France'],[],[],28.1 g,en quantité élevée,22.1 g,en quantité élevée,0.5 g,en faible quantité,1.29 g,en quantité modérée,?,,338,+4%,1414 kj(338 kcal),+5%,"28,1",+5%,"22,1",+18%,"0,6",+63%,"0,5",+121%,"20,5",+2%,"1,29",-4%,"0,516",-4%,14,-2%,D,-2%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,"['Fabriqué en France', 'AOP']",,,,,,,,,,,,
637,2 PATTES D'OURS,0218161010503,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638,Vacherin Vanille Chocolat,3480650001362,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
