,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,traceability_code,labels,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,markets,ingredients_origins,packaging,allergens,nova_score,manufacturing,generic_name,additives,brand_owner,link
1744,Judías Verdes,8412809075004,,['France'],[],[],?,21,88 kj(21 kcal),"0,1",0,"3,5",0,"0,8","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1745,Steak haché Kefta,0204929018171,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1746,Rillettes de saumon,3587190400775,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,E,"['Viandes', 'Produits de la mer', 'Produits à tartiner', 'Poissons', 'Plats préparés', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Préparations de poisson', 'Plats préparés au poisson', 'Rillettes de poissons', 'Rillettes de saumon']",,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,88.2%,4.1%,1.6%,5.2%,0.7%,0.2%,25,,,,,,,,,,
1747,Casa renant,8436554210954,,['France'],[],[],?,219,916 kj(219 kcal),"11,5","4,2",0,0,29,"6,1","2,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1748,Roi brioche,2040301420907,,['France'],[],[],?,368,1540 kj(368 kcal),11,"6,9",55,20,10,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1749,Câpres au sel marin,8004605012552,,['France'],[],[],?,23,96 kj(23 kcal),"0,9","0,2","4,9","0,4","2,4","9,6","3,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1750,Terrine de boudin noir - 180g,3770011079001,,['France'],[],[],?,?,,?,,?,,?,0,0,180 g,,['Sans colorants'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1751,ORSET napolitains assortis - 80g,3760246160803,['Orset'],['France'],[],[],?,582,2435 kj(582 kcal),40,"19,5",49,"45,9","2,5","6,7","2,68",80 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1752,Miel fleurs du Printemps - 1kg,3770000651003,,['France'],[],[],?,?,,?,,?,,?,0,0,1 kg,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']",,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,
1753,Fromage cheddar au poivre noir - 200g,5021427909245,,['France'],[],[],?,404,1690 kj(404 kcal),"33,9","21,2","0,5","0,4","24,5","1,7","0,68",200 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1754,Moilleux au citron,3760111203345,,['France'],[],[],?,425,1778 kj(425 kcal),22,"4,5",45,42,"9,4","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1755,Tomme de chèvre fermière,2488782028999,,['France'],[],[],?,387,1619 kj(387 kcal),33,21,"0,1","0,1","27,4",2,"0,8",,"['FR 69.273.010 CE', 'Corbas (Rhône, France)']",,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de chèvre', 'Produits de montagne', 'Fromages de montagne', 'Tommes', 'Tomme de chèvre']",33 g,en quantité élevée,21 g,en quantité élevée,0.1 g,en faible quantité,2 g,en quantité élevée,,+2%,+2%,+4%,-7%,-87%,-60%,+25%,+20%,+20%,17,-4%,D,-4%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,
1756,Polet fermier,2144860012884,,['France'],[],[],?,185,774 kj(185 kcal),"11,3","2,6","0,2",0,"20,7","0,14","0,056",,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1757,galette cuite sur place - Leaderprice,3263856511718,['Leaderprice'],['France'],[],[],?,287,1201 kj(287 kcal),16,11,31,10,"3,8","0,71","0,284",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1758,Salade de fruit,2868703029456,,['France'],[],[],?,44.93,188 kj(44 kcal),"0,01","0,01","10,68","8,64","0,76","0,01","0,004",,,['Sans conservateurs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1759,"Four,purée & potage",3360190046514,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1760,Orange juice pulp free,0025000054334,,"['France', 'États-Unis']",['100% orange juice'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,46,192 kj(46 kcal),0,0,"10,83","9,58","0,83",0,0,,,,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux']",0 g,en faible quantité,0 g,en faible quantité,9.58 g,en quantité élevée,0 g,en faible quantité,,+15%,+14%,-100%,-100%,+29%,+29%,+115%,-100%,-100%,4,-32%,C,-32%,,,,,,,,,,,,1,,,,SIMPLY ORANGE,
1761,Mild Taco Sauce - Casa Fiesta - 225g,8715186830410,['Casa Fiesta'],['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,0,0,225 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762,Echine avec os,0205374064942,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1763,Abondance,2215189018960,,['France'],[],[],?,393,1644 kj(393 kcal),"30,3","20,1","3,7","0,1","26,6","1,3","0,52",,,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Abondance']",30.3 g,en quantité élevée,20.1 g,en quantité élevée,0.1 g,en faible quantité,1.3 g,en quantité modérée,,-2%,-2%,-8%,-7%,+479%,-64%,+6%,-18%,-18%,14,-11%,D,-11%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,
1764,Filetés de anchoas,8414738002014,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1765,Langue de boeuf sauce piquante aux cornichons - Tendre & Plus,2498786030249,['Tendre & Plus'],['France'],[],[],?,153,640 kj(153 kcal),10,"3,6","3,8","1,7",12,1,"0,4",,"['FR 14.752.010 CE', 'Villers-Bocage (Calvados, France)']","['Viande Française', 'Viande-bovine-francaise']",E,"['Viandes', 'Bœuf', 'Préparations de viande', 'Préparations de viande bovine', 'Langues de bœuf', 'Langues de bœuf sauce piquante']",10 g,en quantité modérée,3.6 g,en quantité modérée,1.7 g,en faible quantité,1 g,en quantité modérée,,+3%,+3%,+1%,-10%,-4%,+31%,+14%,+1%,+1%,3,-35%,C,-35%,97.7%,0.4%,0.8%,0.7%,0.4%,0.1%,10,,,,,,,,,,
1766,Caraques de Noël,3760258881635,,['France'],[],[],?,547,2289 kj(547 kcal),32,"18,4",55,54,"7,2","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1767,Meringues vanille,3178880004023,,['France'],[],[],?,403,1686 kj(403 kcal),"1,1","0,1",95,84,"3,3",0,0,,,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768,Carvi entier kerouia,3102870003215,,['France'],[],[],?,?,,?,,?,,?,,,,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Plantes condimentaires', 'Plantes aromatiques', 'Herbes aromatiques', 'Graines de carvi']",,,,,,,,,,,,,,,,,,,,,,,70.8%,0.0%,20.1%,5.4%,3.7%,0.0%,83,,,,,,,,,,
1769,Parmigiano Reggiano AOP,0200296033786,,['France'],[],[],?,?,,?,,?,,?,,,,,['AOP'],D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Parmigiano Reggiano']",,,,,,,,,,,,,,,,,,,,,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,
1770,Infusion Tilleul Menthe,3700496338614,,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,2","0,1",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1771,Filet de poulet,2600234098200,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,
1772,Pâtes Aux Châtaignes (Artisanales Et Regionales?,3760004430070,,['France'],[],[],?,0,0 kj(0 kcal),"1,9","0,3",66,4,"0,4","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1773,Écorce d'orange confie en lamelles,2601481017129,,['France'],[],[],?,310,1297 kj(310 kcal),"0,3","0,2",76,55,1,"0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1774,Liqueur de date,6194021900761,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1775,Bavette de cheval,2262696016538,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1776,Ti Bwa piment,3503610010553,,['France'],[],[],?,495,2071 kj(495 kcal),"21,4","2,4",67,3,"7,9",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1777,Ahors carte noire,3531380085945,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1778,Mélange Vitalité,2600292017519,,['France'],[],[],?,328,1372 kj(328 kcal),"2,4","0,3","67,8","59,4","4,2","0,33","0,132",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1779,Donuts,3070500900008,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,B,"['Biscuits et gâteaux', 'Gâteaux', 'Donuts']",,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,65.3%,17.3%,8.4%,4.6%,4.4%,0.0%,87,,,,,,,,,,
1780,Magret de canard du sud-ouest,2210128006480,,['France'],[],[],?,363,1519 kj(363 kcal),33,11,"0,6","0,6",16,0,0,,,['Fabriqué en France'],E,"['Viandes', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Volailles', 'Plats à la volaille', 'Plats au canard', 'Canards', 'Magrets de canard']",33 g,en quantité élevée,11 g,en quantité élevée,0.6 g,en faible quantité,0 g,en faible quantité,,+7%,+7%,+13%,+10%,-52%,-10%,-11%,-100%,-100%,14,-24%,D,-24%,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,,,,,,,,,,
1781,LT UHT FIL.1/2E.LACTEL BLE X6 - 6x 50cl,3428274180131,['Lactel'],['France'],[],[],?,46,192 kj(46 kcal),"1,5",1,"4,8","4,8","3,3","0,11","0,044",6 x 50 cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1782,Asly,6130310000040,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1783,Vitalite royale,3700914603942,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784,Amande grille,0208052026119,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1785,Andouillettes superieures pur porc - Leaderprice,3263858855117,['Leaderprice'],['France'],[],[],?,209,874 kj(209 kcal),14,"5,9","1,8","0,5",19,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1786,Elle et ou la teuf,5410446002073,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1787,BCAA drink zero carbs - Prozis,5600499567074,['Prozis'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1788,Miel de lavande,3700816500349,,['France'],[],[],?,?,,?,,?,,?,,,,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de lavande']",,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,
1789,Mozzarella,7610900017508,,['France'],[],[],?,261,1092 kj(261 kcal),19,"11,4","1,5","1,5",21,"0,6","0,24",,,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à pâte filée', 'Mozzarella']",19 g,en quantité modérée,11.4 g,en quantité élevée,1.5 g,en faible quantité,0.6 g,en quantité modérée,,+0%,+1%,-8%,-19%,+46%,+99%,+25%,-11%,-11%,10,-2%,C,-2%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,
1790,Confiserie au miel,2550090230217,,['France'],[],[],?,387,1619 kj(387 kcal),"0,05",0,"98,8",81,"0,3","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1791,eau de source de montagne,9782035873996,,['France'],[],[],?,?,,?,,?,,?,,,,,,,['Non alimentaire'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1792,sevenup pâques 12 - 50cl,3502110124173,,['France'],[],[],?,?,,?,,?,,?,0,0,50 cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1793,Rayman contre les Lapins ENCORE+ crétins,3307210327758,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1794,P'tits toques - Yabon,3760128849765,['Yabon'],['France'],[],[],?,462,1933 kj(462 kcal),"3,3",2,"16,7","13,9","3,3","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1795,Sablés tomate émental origan,3395250008058,,['France'],[],[],?,395,1653 kj(395 kcal),"26,7","12,1","31,7","3,4","7,8","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1796,Rillette de Poulet Pimenté,0205963012347,,['France'],[],[],?,337,1410 kj(337 kcal),"30,5","10,1","0,5","0,3",15,"1,3","0,52",,,,D,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande blanche', 'Rillettes de volaille', 'Rillettes de poulet']",30.5 g,en quantité élevée,10.1 g,en quantité élevée,0.3 g,en faible quantité,1.3 g,en quantité modérée,,+6%,+6%,+10%,+14%,+1%,-24%,-10%,+9%,+9%,19,+12%,E,+12%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,,,,,
1797,Mendel ohana,7290101581628,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1798,Triangle d'amande,0209537022305,,['France'],[],[],?,405,1695 kj(405 kcal),21,13,48,19,"6,2","0,93","0,372",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1799,Croûtons,0201501009848,,['France'],[],[],?,627,2623 kj(627 kcal),"4,8","2,4",17,13,23,"2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800,Galette des rois pomme caramel sans gluten - Nature & Cie,3760154262330,['Nature & Cie'],['France'],[],[],?,472,1975 kj(472 kcal),32,18,40,19,"4,3","0,61","0,244",,,"['en:gluten-free', 'Fabriqué en France']",D,"['Biscuits et gâteaux', 'Pâtisseries', 'Galettes des rois']",32 g,en quantité élevée,18 g,en quantité élevée,19 g,en quantité élevée,0.61 g,en quantité modérée,,+12%,+12%,+21%,+22%,+4%,+47%,-32%,-12%,-12%,21,+9%,E,+9%,88.4%,6.6%,2.2%,1.6%,1.2%,0.0%,36,,,,,,,,,,
1801,Tahin - Sebahat,19277486,['Sebahat'],['France'],[],[],?,670,2803 kj(670 kcal),62,8,3,1,25,0,0,,,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Produits à tartiner', 'Céréales et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Purées de céréales', 'Purées de sésame']",62 g,en quantité élevée,8 g,en quantité élevée,1 g,en faible quantité,0 g,en faible quantité,,+5%,+5%,+11%,-3%,-53%,+59%,+12%,-100%,-100%,15,+13%,D,+13%,84.4%,6.1%,3.7%,4.2%,1.7%,0.0%,47,,,,,,,,,,
1802,Pot d'vache Gaec des Lilas,3760272580248,,['France'],[],[],?,103,431 kj(103 kcal),3,0,"15,2",7,"3,8",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1803,Pâtes epicoeur,3770009312301,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1804,Coppa de l'ile de beauté,2639605090260,,['France'],[],[],?,219,916 kj(219 kcal),"12,7","5,45","0,17",0,"26,1","7,35","2,94",,['FR 2B.042.001 CE'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1805,I soffiati,8018699000449,,['France'],[],[],?,371,1552 kj(371 kcal),"3,1","0,8",77,"0,4","8,6","0,01","0,004",,,"['Bio', 'Bio européen', 'IT-BIO-007', 'Sans sucre ajouté']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1806,Topkaki,6191595600684,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1807,Filet de poulet,2487391024149,,['France'],[],[],?,?,,?,,?,,?,0,0,,,"['Nutriscore', 'Nutriscore A']",D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,
1808,Escalope de Dinde l'extra Tendre - Le Gaulois,2431638017715,['Le Gaulois'],['France'],[],[],?,101,423 kj(101 kcal),1,"0,23","0,1",0,23,0,0,,,,D,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",1 g,en faible quantité,0.23 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,-17%,-16%,-24%,-43%,-97%,-100%,+0%,-100%,-100%,-4,,A,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,,,
1809,L'herboriste - Palais Des Thés,3700256730573,['Palais Des Thés'],['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1810,Noisettes trois chocolats,3664382102386,,['France'],[],[],?,549,2297 kj(549 kcal),35,17,52,49,"6,3","0,16","0,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1811,BCAA 2:1:1 - Prozis,5600380893725,['Prozis'],['France'],[],"['Végétalien', 'Végétarien']",?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,"['Végétarien', 'Végétalien']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1812,Couronne rois nature - 500g,0202657045599,,['France'],[],[],?,326,1364 kj(326 kcal),"9,1","5,7",51,12,9,"1,26","0,504",500 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1813,Frucht Snack Himbeere,4061458157445,,['France'],[],[],?,336,1406 kj(336 kcal),"1,6","0,2",76,71,"1,1","0,2","0,08",,,['Sans sucre ajouté'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1814,Amande enrobée chocolat noir,2600274038501,,['France'],[],[],?,540,2259 kj(540 kcal),37,14,37,33,"9,9","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1815,Cookies aux noix de macadamia et chocolat blanc,0202552015093,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1816,Rhum Agricole,3255610041715,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,C,"['Boissons', 'Boissons alcoolisées', 'Alcools forts', 'Eaux-de-vie', 'Rhums', 'Rhums agricoles', 'Rhums français']",,,,,,,,,,,,,,,,,,,,,,,0.0%,41.3%,42.0%,11.2%,3.5%,2.0%,57,,,,,,,,,,
1817,Lunch box spiderman fruity,8714786282322,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1818,Essential BCAA - MyProtein,5055534365069,['MyProtein'],['France'],[],[],?,?,,?,,?,,?,,,,,['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1819,Tisanes Pôles Menta,8426510014443,,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,2","0,1",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1820,Jambon traditionnel fumé au bois de hêtre - Saint Alby,2205880002061,['Saint Alby'],['France'],[],[],?,125,523 kj(125 kcal),"4,5","1,5",1,"0,5",20,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1821,Vermicelles de riz,8998008000080,,['France'],[],[],?,325,1360 kj(325 kcal),9,0,0,0,4,0,0,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Nouilles', 'Vermicelle de riz']",9 g,en quantité modérée,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,-3%,-2%,+1304%,-100%,-100%,-100%,-18%,-100%,-100%,2,+2%,B,+2%,,,,,,,,,,,,,,,,,
1822,Filet de coche,2388650000013,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1823,Galette Frangipane 6/8 personnes - Match,2010000006207,['Match'],['France'],[],[],?,450,1883 kj(450 kcal),27,17,45,15,"6,4","0,9","0,36",,,,D,"['Biscuits et gâteaux', 'Pâtisseries', 'Galettes des rois']",27 g,en quantité élevée,17 g,en quantité élevée,15 g,en quantité élevée,0.9 g,en quantité modérée,,+7%,+7%,+2%,+15%,+17%,+16%,+1%,+29%,+29%,21,+9%,E,+9%,88.4%,6.6%,2.2%,1.6%,1.2%,0.0%,36,,,,,,,,,,
1824,Anillas a la romana - El Corte Ingles,8433329090001,['El Corte Ingles'],['France'],[],[],?,176,736 kj(176 kcal),8,"0,9",18,0,"7,3","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1825,Comte,2360612011206,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,
1826,Toastine au saumon fumé,3760087789898,,['France'],[],[],?,211,883 kj(211 kcal),17,"2,5","0,6","0,6",14,"1,5","0,6",,"['FR 89.096.003 CE', 'Chemilly-sur-Yonne (Yonne, France)']",['Point Vert'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1827,Gamay,3425987301006,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1828,Galette frangipane,0202866014430,,['France'],[],[],?,456,1908 kj(456 kcal),32,17,34,"9,9","7,2","0,66","0,264",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829,Brioche,0217870038181,,['France'],[],[],?,?,,?,,?,,?,0,0,,,['Fabriqué en France'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830,Rillettes aux langoustines - L'Atelier du Poissonnier,3760007090400,"[""L'Atelier du Poissonnier""]",['France'],[],[],?,204,854 kj(204 kcal),"16,4","8,8","1,7","1,4","12,2","1,1","0,44",,,,,"['Produits de la mer', 'Produits à tartiner', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de crustacés', 'Rillettes de langoustine']",16.4 g,en quantité modérée,8.8 g,en quantité élevée,1.4 g,en faible quantité,1.1 g,en quantité modérée,,+36%,+36%,+53%,+32%,-40%,+5%,+18%,+14%,+14%,14,+21%,D,+21%,,,,,,,,,,,,,,,,,
1831,Soupe de moule,3200744510057,,['France'],[],[],?,122,510 kj(122 kcal),"7,3","1,6","8,3","2,8","4,8","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1832,Palette de porc,0278403040873,,['France'],[],[],?,182,761 kj(182 kcal),13,"4,5","1,5","0,8",14,"2,21","0,884",,"['FR 35.238.019 CE', 'Rennes (Ille-et-Vilaine, France)']","['Viande Française', 'Viande Porcine Française']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,TULSI ORIGINAL,8032749399321,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1834,Konjac en poudre,3701185700750,,['France'],[],[],?,?,,?,,?,,?,,,,,['Fabriqué en France'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1835,Spicy barbeque,08582000378,,['France'],[],[],?,50,209 kj(50 kcal),0,0,12,10,0,7,"2,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
